CS.357	L.008.M1	CS.281	CS.313	CS.005	CS.104	CS.003	CS.017	L.022.M1	CS.172	CS.263	CS.280	CS.259	L.006.M1	CS.314	CS.371.1	CS.334	CS.368	CS.153	CS.077	CS.287	CS.064	CS.161	CS.377	CS.072	CS.065	CS.127	CS.230	CS.115	CS.062	CS.125	CS.374	CS.380	CS.236	CS.378	CS.292	CS.376	CS.375	CS.232	CS.136	CS.213	CS.203	CS.224	CS.282	CS.041	CS.386	CS.349	CS.178	CS.369	CS.359	CS.148	CS.166	CS.385	CS.214	CS.395	CS.372	CS.129	CS.147	CS.268	CS.182	T.CS.059	T.CS.022	T.CS.048	T.CS.072	T.CS.069	T.CS.004	T.CS.040	T.CS.034	T.CS.058	T.CS.041	T.CS.016	T.CS.024	T.CS.028	T.CS.050	T.CS.042	T.CS.130	T.CS.131	T.CS.114	T.CS.124	T.CS.178	T.CS.180	T.CS.134	T.CS.132	T.CS.139	T.CS.167	T.CS.159	T.CS.125	T.CS.177	T.CS.115	T.CS.153	CS.015	CS.082	CS.087	CS.103	CS.246	L.034.M1	CS.356	CS.085	CS.238	CS.088	CS.006	CS.241	CS.110	L.024.M1	CS.237	CS.212	CS.165	CS.311	CS.228	CS.345.0	CS.387	CS.207	CS.336	CS.189	CS.346	CS.164	CS.347.0	CS.363	CS.330	CS.325	CS.318	CS.158	CS.202	CS.361	CS.194	CS.320	CS.285	CS.343	CS.152	CS.321	CS.080	CS.112	CS.163	CS.322	CS.227	CS.255	CS.390	CS.393	CS.326	CS.253	CS.270	CS.262	CS.370	CS.145	T.CS.043	TFS.022	T.CS.064	T.CS.061	T.CS.008	TFS.021	T.CS.026	TFS.025	T.CS.045	T.CS.049	TFS.020	T.CS.031	T.CS.066	TFS.027	T.CS.036	T.CS.152	T.CS.109	T.CS.142	T.CS.141	T.CS.158	T.CS.166	T.CS.157	T.CS.095	T.CS.151
CS.357	0	0.644627506456	0.495445259315	0.470952335081	0.54528607312	0.534864640983	0.575137276552	0.55181265203	0.574160754403	0.559356759295	0.549205057127	0.450813250343	0.460420785028	0.546396337537	0.533835781402	0.575226612663	0.706181579284	0.497387890947	0.589315860192	0.556814266748	0.659250711979	0.603101285384	0.674449950846	0.690777788566	0.497064400887	0.624676258237	0.541780821739	0.691503927993	0.687754161788	0.516811222709	0.634496135053	0.636296781555	0.521280414668	0.709467358915	0.69242509816	0.617908544388	0.641273442965	0.591302416901	0.562411440525	0.63181466994	0.667491730369	0.478438606729	0.73526244565	0.662647240439	0.669822349915	0.715736094873	0.654892624838	0.603521524985	0.76679167656	0.716832103199	0.709344884479	0.714323462633	0.661692639237	0.637632552487	0.677892009877	0.656272202911	0.622556332995	0.661172718842	0.706333363497	0.598171844669	0.645787915518	0.578998854097	0.540117896201	0.549007806277	0.536835269569	0.543694740571	0.458188686047	0.491426835936	0.555466713508	0.537170218809	0.547889619212	0.533721347308	0.545684026186	0.586704116885	0.460016706982	0.48791508117	0.472120999217	0.5522072805	0.50459195657	0.521703486102	0.559474775174	0.4616069025	0.553106416212	0.47325195548	0.442053082828	0.587914606346	0.498802508866	0.50832815958	0.498962873185	0.518694696014	0.530398153378	0.577326538537	0.53663613758	0.573935714948	0.50826434403	0.544404891832	0.659866127917	0.580528172667	0.55265729019	0.613052949163	0.479922809653	0.498846463687	0.652670405809	0.482457487156	0.64440959835	0.624878384019	0.647321377734	0.576411076163	0.622548649996	0.756968636814	0.57773084776	0.691225570931	0.591696720216	0.639156527084	0.73349157253	0.729274991378	0.688079457003	0.656615999858	0.634814646768	0.744919822031	0.633985445963	0.647371061146	0.630981763408	0.643183890846	0.719361266187	0.595477121366	0.734284204762	0.615171770936	0.520331511531	0.45384199136	0.602320696805	0.640222666374	0.645604466734	0.669383156278	0.772139169347	0.6161410873	0.658385581414	0.675625273821	0.611959927035	0.74438501472	0.661738411008	0.665798550276	0.668644012771	0.562131223442	0.435289888325	0.486769425608	0.493757518959	0.540521751642	0.531555742999	0.529780403708	0.717245670461	0.494424783919	0.523618371704	0.62037959111	0.461611105479	0.497042607378	0.472727678043	0.467160286757	0.550062764286	0.471064605859	0.455427022059	0.466288339395	0.461489893267	0.429241941694	0.443793784458	0.486569392396	0.47318234456	0.431904390748
L.008.M1	0.644627506456	0	0.64618719754	0.651285598096	0.687919707525	0.632314289851	0.68798117203	0.662833772577	0.680453685214	0.621190815778	0.636648285631	0.69149829198	0.636557543144	0.639996273448	0.633219134844	0.604330688249	0.602685613442	0.62838438126	0.657775283832	0.628257902168	0.591698953	0.678919696093	0.596471571127	0.632029432575	0.655193318617	0.631766956196	0.603658560377	0.622896959912	0.670669956119	0.653536930545	0.551915954246	0.602446646202	0.630723296672	0.687543516867	0.652918958652	0.644542283772	0.569605284867	0.60350184504	0.645000802593	0.604283617383	0.55984756321	0.650113486891	0.620704510759	0.569179921925	0.638854507251	0.616783456589	0.595297912668	0.665741369557	0.666565747061	0.618810269056	0.599907759035	0.633432704616	0.611240634702	0.64014779235	0.649827562998	0.586014842902	0.604424211844	0.554508453971	0.639320428904	0.575817550027	0.642421351135	0.623367581263	0.613420453224	0.637777150579	0.608509404768	0.577204253582	0.674089049268	0.667257518741	0.649850653217	0.625221030045	0.636298318802	0.612633428291	0.60826314156	0.628104595911	0.65124727159	0.656022344996	0.655471453037	0.673758561708	0.660655696107	0.662802157979	0.672348066626	0.6446260094	0.693045757814	0.65376943426	0.64550003259	0.704938107354	0.61140635104	0.675565766164	0.692687295696	0.67185335994	0.681121030704	0.674547653145	0.624256157849	0.653935625409	0.633592434403	0.622532170925	0.635371674069	0.628212181565	0.610344824463	0.675500667346	0.620914754852	0.683103985407	0.605548065154	0.659590838507	0.59401932232	0.654102024645	0.634355160985	0.636530787847	0.612566032491	0.648777725469	0.557482743838	0.597047652578	0.622771025063	0.634373660878	0.593524030993	0.668422082182	0.576876040327	0.561494516114	0.559898138806	0.629268897846	0.52328665386	0.584721170166	0.666132628528	0.626096011145	0.586087776646	0.569047220053	0.627748272678	0.550296829783	0.63963945218	0.643374148192	0.606420742749	0.620425494282	0.626577765451	0.563477625451	0.674702477709	0.568641820512	0.57015702913	0.666128488592	0.563734161097	0.674463824301	0.609594129297	0.575918761215	0.59602506446	0.613032148233	0.649078695133	0.686739072696	0.627072731845	0.590886240773	0.613012490204	0.637467875783	0.641437588633	0.562940532627	0.643629106129	0.515975162519	0.662735849057	0.634821376362	0.669964635643	0.63820255084	0.672947650971	0.653931913622	0.671303557009	0.617338112529	0.656500318663	0.654103500472	0.654006511818	0.637566773588	0.68509711587	0.636603259274
CS.281	0.495445259315	0.64618719754	0	0.486374829089	0.511954940086	0.52881589736	0.560007216239	0.595894416907	0.549399191066	0.549031558442	0.519499027366	0.512712184757	0.502893569639	0.537754173351	0.536367369536	0.547952374606	0.673024598035	0.475995797026	0.546243708027	0.578203584305	0.581208262235	0.569318195781	0.655748779622	0.609793067614	0.484813868062	0.585572122792	0.507757070559	0.683009479574	0.640850639453	0.508311110675	0.614844178843	0.619872513958	0.511323394503	0.674562239773	0.647887617619	0.559597073809	0.62917641436	0.5793117453	0.488704147231	0.590983259179	0.672728066674	0.518311342749	0.736381478482	0.635356799366	0.607197101563	0.666903050124	0.588600549428	0.535659454777	0.691456744996	0.722814564498	0.629573287324	0.625348782784	0.605235430478	0.602105332541	0.586851246876	0.597386227616	0.569518427257	0.63778875974	0.629181951473	0.557543479366	0.593777925086	0.534816088051	0.547663517486	0.51696863314	0.534203566442	0.527138248591	0.509201059479	0.48597054845	0.517284470974	0.527843609471	0.519828718116	0.511483257246	0.544955664609	0.561487031788	0.491296956338	0.489661033789	0.497434735211	0.56220915741	0.492076204045	0.488522517486	0.539569349192	0.509946428878	0.529054683697	0.507754828989	0.503432549414	0.541845740278	0.518064004815	0.493123668422	0.501382034024	0.517112029269	0.586052394396	0.523846725387	0.585574861691	0.562510522933	0.471120323828	0.562963262709	0.664814491854	0.518375243083	0.558900637016	0.654026961684	0.528579216282	0.525435646322	0.610139754377	0.553390833551	0.605157519671	0.641573349134	0.65695885384	0.568075329108	0.597451592263	0.750203058964	0.562707542368	0.651648705332	0.53384364776	0.619283278603	0.742152256268	0.715414237072	0.670006486554	0.598860462385	0.60874786509	0.722847009339	0.607008615349	0.616806854221	0.617931039433	0.635859759299	0.714351663301	0.555958715701	0.69941391238	0.634301648253	0.474493278743	0.498057704047	0.566802495523	0.603681459926	0.617434395213	0.641285106824	0.751581478513	0.573026510433	0.610116962331	0.605052566259	0.572707174209	0.698291150978	0.597302265668	0.641971744798	0.607403429633	0.547231088306	0.515995416652	0.482067595512	0.501910013969	0.556753711392	0.574913487532	0.552647062171	0.690358821474	0.518654701106	0.553175655675	0.634194725794	0.48776319949	0.528992603543	0.516068366786	0.498314497628	0.561615488111	0.512247025524	0.488329398088	0.561100210543	0.543441306173	0.427421362438	0.482170930875	0.535016910555	0.512749965279	0.517447492168
CS.313	0.470952335081	0.651285598096	0.486374829089	0	0.49055566959	0.565319041751	0.533158025372	0.568729036935	0.506265299261	0.574857412449	0.539987308957	0.484532350295	0.49192420117	0.529930977548	0.546418061594	0.615155598457	0.711109775994	0.537812156665	0.597987903879	0.58441308908	0.61927074808	0.584949294432	0.682191563258	0.682330468638	0.500588584403	0.657442861278	0.568934409804	0.716545608369	0.680488946313	0.527584472834	0.658722126859	0.670260835993	0.546801281114	0.700617456038	0.701442878598	0.591694676492	0.681835677209	0.64597125113	0.533426395635	0.634855015627	0.687466091374	0.564630661321	0.76374399537	0.691718754956	0.6674995311	0.72116040802	0.643098722494	0.605056525768	0.753933956078	0.737695658436	0.697910802931	0.691307777702	0.661040140784	0.667614848209	0.663915555852	0.664464781426	0.59627028041	0.67403022959	0.683537881184	0.582671170378	0.581471461987	0.601697678801	0.559003340156	0.529717828424	0.576447786035	0.584300045877	0.494272357769	0.524486001802	0.567657120218	0.550294616284	0.590955736573	0.570915508565	0.572423040068	0.601806274097	0.499829032443	0.500708726509	0.499841478	0.518257747361	0.483658191623	0.481293143777	0.565104874074	0.521200288792	0.494664935282	0.469591047893	0.486708760449	0.507517525617	0.53364736951	0.491605236328	0.465237809107	0.464943100286	0.564461276063	0.519289022392	0.604767809151	0.560390852785	0.504593259246	0.565093007769	0.693809934226	0.525880026631	0.555225200205	0.658235369826	0.546624774453	0.507771044761	0.651061773497	0.52986100434	0.649306482988	0.679153343871	0.70508269925	0.616132413776	0.618926740753	0.778677596866	0.613536926987	0.679035518396	0.597076176144	0.638775981878	0.763113375951	0.724935750116	0.694427542231	0.659137808815	0.638876819953	0.76259378724	0.660154415821	0.640434508291	0.664969656072	0.68054506525	0.759833138129	0.604808406059	0.738746008629	0.67433403683	0.521563086615	0.540508356141	0.611903352758	0.65846271487	0.658638772941	0.695594991012	0.790029320957	0.613001909877	0.666602117711	0.672463924333	0.615091081697	0.734025716213	0.671558142555	0.670708322128	0.67680637691	0.598930983647	0.542558460426	0.483453173245	0.524168666287	0.59925395294	0.619134021488	0.590995133126	0.72286326063	0.591909949675	0.573268972662	0.643153646101	0.482307704799	0.546131428732	0.494640267241	0.536637777444	0.528484620755	0.516917858569	0.435871775913	0.54990906906	0.550013016297	0.471813178089	0.4828922518	0.524760276271	0.447983560632	0.500649630805
CS.005	0.54528607312	0.687919707525	0.511954940086	0.49055566959	0	0.553492651637	0.4048129422	0.575844183259	0.492913519018	0.550239957063	0.54190387343	0.491874071435	0.516371759787	0.556363329973	0.553781967162	0.637544835346	0.722723233031	0.524699087387	0.525276893936	0.572230429714	0.634731754786	0.584372903606	0.681440705166	0.651791154018	0.47525518685	0.61743386101	0.587905464431	0.708958746836	0.661293452448	0.510377404028	0.682192160574	0.682768859504	0.555968001893	0.696682025911	0.702298640674	0.587546139732	0.687984403573	0.651724747734	0.482129584987	0.60928701007	0.690160639771	0.583422313539	0.764691881125	0.695782217174	0.653921671385	0.72182838909	0.643773346338	0.612543719661	0.736426032152	0.729568170471	0.6952763602	0.696405418836	0.657496716398	0.650399281317	0.651058558233	0.67070362158	0.590098344385	0.673768849526	0.665860806574	0.603862358106	0.585025951864	0.606684346068	0.58556073712	0.528181088159	0.592622828094	0.615852434059	0.519347682992	0.559651182853	0.583597117174	0.568405053537	0.59423516295	0.583076690086	0.578818600705	0.617344023114	0.503103041874	0.501949877294	0.496878197923	0.526032739326	0.483216710548	0.485312792	0.542587142426	0.559664539133	0.491892434429	0.479364341324	0.531729134001	0.474632083076	0.558722759948	0.49443843254	0.445257052865	0.443066693162	0.589131619684	0.475202275758	0.602856483996	0.53151213506	0.496909484431	0.594722536511	0.704058332013	0.475794766895	0.553443508755	0.680795921033	0.487759724562	0.520953473855	0.617980263878	0.577737880826	0.613738912199	0.68428728707	0.704234764092	0.617403333437	0.587227833908	0.760891409313	0.638668183162	0.679223269815	0.618896489866	0.624849909148	0.743942201951	0.713841998275	0.693599740525	0.682427417596	0.655895096851	0.778980478815	0.68533520938	0.623893921155	0.668428382524	0.693361161559	0.767361967557	0.617663205555	0.725660222675	0.689944169826	0.538515685973	0.578849539994	0.590912125749	0.63115376853	0.634336233368	0.71009069073	0.791193872107	0.613595519464	0.665214088314	0.677335043267	0.628851702392	0.733276634689	0.679187551212	0.694341472258	0.676309148797	0.613431729508	0.586029128237	0.503237796916	0.568157144735	0.614482717945	0.667864308597	0.630055747352	0.733492962004	0.624296275419	0.602841181095	0.66644007955	0.507986878208	0.574620307484	0.527411251761	0.589803023554	0.513874523522	0.532992500351	0.474145586292	0.611081014461	0.596193053416	0.516698064889	0.534363721291	0.555515911827	0.509881188648	0.551379632346
CS.104	0.534864640983	0.632314289851	0.52881589736	0.565319041751	0.553492651637	0	0.560257769643	0.558521264299	0.579611517554	0.541043908796	0.528159399582	0.562570431775	0.540233130062	0.550362591526	0.551219407287	0.590848022377	0.653403276738	0.503862891026	0.518860841476	0.509958496698	0.602273683531	0.537445494589	0.5955114371	0.621841120239	0.524937579405	0.551775688418	0.535678723883	0.6452527748	0.617302178043	0.501992534981	0.614296060449	0.619643560331	0.53733755415	0.619315323724	0.653514594952	0.542254403395	0.604793507429	0.565062115136	0.540166800314	0.546277378539	0.651198266375	0.533854423721	0.729451726192	0.640699516128	0.607712261333	0.682645818609	0.602797307168	0.577282873479	0.704303854667	0.685199623362	0.646039279783	0.659665713556	0.611095504164	0.606117758215	0.628152761991	0.607561542662	0.588491391829	0.626867390732	0.619770942561	0.591763468241	0.592608725974	0.55015509643	0.547912763592	0.534391323679	0.571635669032	0.568393056125	0.521949238319	0.524936115163	0.560663173794	0.54924240781	0.565240993905	0.532546327461	0.554998900383	0.581994862781	0.537894200292	0.531288352424	0.566562926587	0.599075321305	0.559788395538	0.542923369461	0.569920155422	0.591781351672	0.602423822896	0.574193838661	0.549793695456	0.616467049102	0.567254687604	0.582035241692	0.576295588138	0.563915618514	0.558776782218	0.536394659477	0.538232398926	0.534515225628	0.542225308562	0.555768990376	0.647033262825	0.523258399037	0.518924241855	0.592113394636	0.511456600884	0.523528787625	0.589614623974	0.575109997849	0.585713038944	0.631696411533	0.612800666593	0.530553376911	0.54910047932	0.691204738221	0.560458318685	0.650852967738	0.586129668772	0.624700981577	0.674442393708	0.67596558901	0.63331731047	0.617333641405	0.615911886785	0.745197874792	0.614827097757	0.571482883887	0.636822426172	0.615654757827	0.723154900087	0.57227713251	0.63602198442	0.628950086549	0.520785684392	0.511641097573	0.534249890106	0.575076773746	0.574708235268	0.663728113031	0.728552164422	0.589918219432	0.601408479458	0.606200688848	0.61116830764	0.706087460489	0.634022430258	0.639063534905	0.610444092809	0.553479008705	0.548950426477	0.547024486173	0.527451867293	0.562418081519	0.600180740071	0.573425063043	0.699852243296	0.564662769002	0.566031329661	0.635700398837	0.551256972999	0.562909051102	0.558874619904	0.543798436209	0.564652055616	0.526553287032	0.556559580248	0.578241396669	0.575343796878	0.532025591414	0.541180998539	0.567445680912	0.587214978246	0.572793305878
CS.003	0.575137276552	0.68798117203	0.560007216239	0.533158025372	0.4048129422	0.560257769643	0	0.571593227477	0.525630702391	0.529297437218	0.549694338988	0.534691770528	0.545079919357	0.570369439964	0.557990425407	0.656056521258	0.726262743155	0.561869260042	0.541613932692	0.57107837312	0.653915284249	0.55732470104	0.659130350265	0.652707085177	0.50002946083	0.628314559285	0.611376288411	0.692034331194	0.639831851941	0.525190405902	0.687922129063	0.672526981856	0.57283586546	0.670408575607	0.695550293509	0.610552632096	0.691124247433	0.650135534011	0.518075282784	0.604585725591	0.685118265743	0.59045157219	0.767998083607	0.705566331492	0.647059012151	0.709246843381	0.652205144691	0.622641754617	0.723269167946	0.718726404235	0.704831862764	0.692529764123	0.657984699186	0.66601798824	0.648911276274	0.669888255881	0.599722557275	0.681415738195	0.672934291108	0.622520471759	0.569776457477	0.633259219959	0.591354489639	0.546062028654	0.61607506074	0.635516991439	0.520683504536	0.564557885311	0.598159088255	0.571291909634	0.599260636781	0.600327576302	0.585831140043	0.612573005435	0.532310702463	0.538237895658	0.544214922815	0.537803456285	0.51224775995	0.512928776916	0.539267264504	0.558790721909	0.536419040963	0.53782215397	0.557248510018	0.54108910448	0.588484812313	0.549054252726	0.518955632542	0.491303262443	0.591647264894	0.517674062073	0.591366295789	0.53167407361	0.536261622241	0.582326830006	0.721208949739	0.508660474534	0.544891563927	0.664044576234	0.530591105965	0.534016786797	0.617444814988	0.604728978697	0.603032814413	0.699626159575	0.724667348819	0.614957296977	0.577859938381	0.755351266009	0.652417043806	0.671211576649	0.64182112855	0.655235101026	0.736306600962	0.68160213979	0.684192237843	0.688153325042	0.663289464979	0.775175349338	0.688103314178	0.606127604811	0.65894625738	0.683283539258	0.767514840817	0.652045153956	0.718095959881	0.700451603644	0.557190343869	0.579706041135	0.60018079262	0.620959131028	0.607218906215	0.722462387821	0.783070761044	0.620550347548	0.672565321357	0.673673828825	0.646259720729	0.721323172657	0.705151517001	0.697519404703	0.678119312007	0.622385258617	0.603571377819	0.54302356083	0.575285453571	0.63176486217	0.664716573578	0.637737476924	0.73710056888	0.65529277869	0.615138177302	0.684654757037	0.5434635709	0.591253023688	0.538635645221	0.601841453407	0.531107728069	0.54040903939	0.544307025975	0.633238088336	0.624806242254	0.547640175215	0.557386024163	0.570830607645	0.545213754865	0.586354298571
CS.017	0.55181265203	0.662833772577	0.595894416907	0.568729036935	0.575844183259	0.558521264299	0.571593227477	0	0.620632819903	0.547083725898	0.563948884652	0.546508904973	0.562955199547	0.563345798979	0.581780954859	0.622072032087	0.687137645118	0.596323859625	0.589610218181	0.560711190023	0.660485230065	0.585991121312	0.671759867145	0.703313009649	0.581550575019	0.613376845257	0.622457841714	0.716384534523	0.658167404885	0.542246241489	0.697719758912	0.664223398401	0.60753043162	0.658846170682	0.679278419909	0.616265031303	0.678211234635	0.629816947481	0.601261327705	0.626154189295	0.667324729668	0.556617545876	0.747324431172	0.698515197329	0.638533562216	0.711584821749	0.66574605727	0.657107098251	0.730640882304	0.75004574791	0.695893617351	0.695507232658	0.683758924307	0.666766157525	0.666953199544	0.663404901101	0.618640819644	0.684138392878	0.688385507463	0.646849261636	0.610291141051	0.604091754449	0.592815613326	0.593659676931	0.628067207509	0.639940948649	0.553677338642	0.588359829361	0.590984337176	0.572036604177	0.599868674718	0.584427940735	0.586393977998	0.600216779043	0.570117479587	0.568646051774	0.599065390273	0.589356717947	0.567100525598	0.56585865925	0.604419841891	0.598132336653	0.633735863469	0.592288749253	0.561688623729	0.611211616788	0.609734181684	0.583681188502	0.587416221186	0.604474451276	0.519716555685	0.598148545343	0.586749348162	0.563194579104	0.604361680555	0.554696606714	0.692809305267	0.564123531781	0.566945118105	0.622786952726	0.549883311659	0.527692841086	0.619765786787	0.607980277866	0.635249239923	0.673198570939	0.674319036849	0.579895247806	0.586585531368	0.746023015305	0.630527951259	0.691877260437	0.663292933897	0.671555972976	0.737552622355	0.692954228618	0.684751849787	0.674484226736	0.663563404456	0.761126783924	0.662216743628	0.615457128658	0.675926317296	0.657588347411	0.740201270532	0.627000515986	0.720722839622	0.671459651272	0.58874103118	0.563644237861	0.607744974441	0.60934894568	0.646967951573	0.699390248794	0.766260678054	0.641863662453	0.678471048035	0.649032395829	0.668096661141	0.741795861636	0.676835048396	0.648155543064	0.649764726646	0.62154530346	0.600419660955	0.602182699356	0.569949757736	0.62864266103	0.623557435708	0.63281555338	0.726174287275	0.629441812964	0.578542765812	0.663277449773	0.594504770108	0.571661614606	0.570281200017	0.578562893219	0.585365020391	0.599583664275	0.570271771389	0.597032296264	0.570805381951	0.593350573708	0.610119176748	0.576595259544	0.56649420418	0.57432779352
L.022.M1	0.574160754403	0.680453685214	0.549399191066	0.506265299261	0.492913519018	0.579611517554	0.525630702391	0.620632819903	0	0.604300689195	0.553972488162	0.517045158387	0.548523678674	0.559125389185	0.593267571436	0.66714679402	0.748046907958	0.570075595686	0.608700487295	0.621823745869	0.647305323486	0.600379333192	0.70515121593	0.679041839632	0.534056927819	0.672434510164	0.614780883047	0.742295545333	0.692402098559	0.569909327788	0.690580701214	0.688577000155	0.553601719171	0.71885599733	0.713735304579	0.618668667759	0.700829529742	0.688172906775	0.554591784444	0.648641747406	0.73237852854	0.604826102011	0.78102147042	0.7154756578	0.684532123568	0.723148177573	0.651876250789	0.626547133371	0.764207737108	0.750431867268	0.703396571824	0.705941863782	0.678645479325	0.68807195703	0.669852657864	0.676445651943	0.619543992139	0.696976847786	0.690232546568	0.63024437966	0.606336583699	0.645293357923	0.596804624136	0.550158470851	0.624254025397	0.637021914261	0.553987808047	0.590331730284	0.606329122273	0.604323906213	0.625945667181	0.621528541164	0.60326905077	0.627120711652	0.526299645861	0.524730435136	0.52474108264	0.497046782296	0.497359697306	0.496807583652	0.566242506591	0.590236681951	0.449052616643	0.487110400821	0.550309557645	0.439612019902	0.580272189991	0.489758781645	0.483348685197	0.451157602879	0.615352006269	0.529803978523	0.652901685036	0.560202633145	0.543332090276	0.621663090153	0.743302551413	0.545921341627	0.607724612957	0.70441150144	0.58024234599	0.555422248917	0.670212054049	0.576603520763	0.674570898263	0.719308247523	0.746909710111	0.669456069792	0.644908320986	0.785575789652	0.660000621837	0.694153850748	0.641067147071	0.642346473615	0.782604926874	0.741745716452	0.720805981712	0.680607514635	0.674892235412	0.778867860706	0.702097462813	0.672376220059	0.685454346967	0.727820601841	0.787955389927	0.630441176336	0.752058767053	0.698874980462	0.567031284858	0.604784791153	0.635383884201	0.668725127664	0.670886936581	0.723771651951	0.809876289334	0.621926287958	0.687254258769	0.707541771943	0.626651667938	0.759619425135	0.687938807284	0.702838630589	0.68751633618	0.628628794954	0.610951910913	0.520159734598	0.578522780656	0.656316372895	0.67118688274	0.628422171633	0.746609601283	0.65563529375	0.632050098898	0.687638673699	0.510454899783	0.603459124291	0.525080711999	0.605409598308	0.539305326347	0.566037869075	0.483264886045	0.63838943088	0.621401219994	0.53967794552	0.582928573301	0.578961994658	0.497500826336	0.569730373504
CS.172	0.559356759295	0.621190815778	0.549031558442	0.574857412449	0.550239957063	0.541043908796	0.529297437218	0.547083725898	0.604300689195	0	0.544697179224	0.593808588915	0.568263715411	0.592038865316	0.547448616679	0.596175847832	0.690267008961	0.583788870703	0.548857057135	0.562084171239	0.652133803806	0.568936217449	0.618969198409	0.657281343081	0.55520303548	0.614794464174	0.589464595167	0.652211109774	0.626443045992	0.498284319362	0.65004367078	0.639101897075	0.610496698577	0.642707711224	0.617991478876	0.589162328956	0.624908303212	0.579211249222	0.541456334083	0.574044507665	0.643934073198	0.578339723152	0.723646079202	0.656421076861	0.594283866927	0.689077820687	0.654676975275	0.62358034509	0.687923532862	0.685982030547	0.658815536076	0.683286212139	0.654398048907	0.635031342483	0.654624396648	0.660132319064	0.590176008943	0.640799625297	0.64985509166	0.633013533673	0.561378346369	0.6005042504	0.586104457136	0.592180227419	0.620370649499	0.593838566945	0.547285670279	0.574832619043	0.580246877175	0.559373515202	0.583778116969	0.585881532768	0.593488313618	0.562131506667	0.592693055511	0.577055887208	0.606607904991	0.567068883212	0.546992323725	0.584030514314	0.553386437362	0.585709681055	0.625260058176	0.604686394596	0.574735569267	0.626240346025	0.572715492435	0.594341343877	0.598550689485	0.565872327435	0.549137438336	0.544736335762	0.526599599824	0.557543087981	0.559991396246	0.574018875464	0.639385135601	0.515128710231	0.554135609864	0.602821868557	0.506917118132	0.576781465056	0.598581971135	0.585408095356	0.570553039206	0.638297263303	0.614409627701	0.542507003716	0.543655325079	0.657801687956	0.611082077952	0.612763428467	0.594372528236	0.621269688846	0.660338082127	0.639071833369	0.605507544221	0.645095071889	0.633903733083	0.7014748687	0.635846177193	0.546481638775	0.609350693236	0.62368115986	0.711696559684	0.619182432667	0.66999378663	0.638984744636	0.593955781009	0.542872794291	0.549947465411	0.535602029024	0.546491194019	0.664394902586	0.715605625093	0.62173672142	0.646954720436	0.635789718036	0.606682196552	0.682630239837	0.658273762444	0.634268439543	0.663617475241	0.616452054451	0.570747848038	0.600445615074	0.565322425288	0.600036642142	0.605888037861	0.611659819685	0.67757068702	0.575191743065	0.56252545814	0.626534720581	0.59194584183	0.548778842758	0.567485777567	0.58039701297	0.566797452895	0.578406772852	0.599845342429	0.590544566493	0.577179748107	0.57576324875	0.586092441661	0.545778703057	0.592031997594	0.576570115419
