CS.245	CS.007	CS.084	CS.313	L.005.M1	CS.101	L.012.M1	CS.022	L.036.M1	CS.259	CS.172	CS.059	L.035.M1	CS.281	CS.260	CS.367	CS.137	CS.382	CS.248	CS.230	CS.335	CS.117	CS.229	CS.122	CS.341	CS.040	CS.371.1	CS.365	CS.056	CS.161	CS.203	CS.374	CS.282	CS.041	CS.292	CS.205	CS.128	CS.136	CS.380	CS.232	CS.378	CS.213	CS.376	CS.126	CS.302	CS.181	CS.256	CS.369	CS.359	CS.268	CS.385	CS.147	CS.386	CS.372	CS.323	CS.389	CS.348	CS.214	CS.177	CS.166	T.CS.035	T.CS.071	T.CS.024	T.CS.059	TFS.024	T.CS.069	T.CS.019	T.CS.056	T.CS.025	T.CS.023	T.CS.058	T.CS.041	T.CS.079	T.CS.042	T.CS.038	T.CS.144	T.CS.132	T.CS.124	T.CS.128	T.CS.108	T.CS.117	T.CS.123	T.CS.180	T.CS.167	T.CS.159	T.CS.116	T.CS.100	T.CS.091	T.CS.156	T.CS.120	CS.246	L.024.M1	CS.241	CS.242	CS.085	CS.238	CS.237	CS.110	L.034.M1	CS.087	CS.088	CS.103	CS.082	CS.006	CS.015	CS.387	CS.308.0	CS.274	CS.325	CS.338	CS.345.0	CS.363	CS.336	CS.311	CS.233	CS.150	CS.189	CS.165	CS.044	CS.191	CS.112	CS.194	CS.361	CS.163	CS.331	CS.223	CS.152	CS.227	CS.202	CS.158	CS.285	CS.320	CS.321	CS.322	CS.318	CS.390	CS.262	CS.370	CS.270	CS.326	CS.145	CS.393	CS.253	CS.255	T.CS.055	T.CS.043	TFS.021	T.CS.066	T.CS.036	T.CS.026	TFS.025	T.CS.008	TFS.022	T.CS.064	T.CS.061	TFS.020	TFS.027	T.CS.049	T.CS.031	T.CS.152	T.CS.095	T.CS.151	T.CS.141	T.CS.142	T.CS.109	T.CS.157	T.CS.158	T.CS.166
CS.245	0	0.553358586359	0.616286553208	0.566863452913	0.533599291958	0.589936441907	0.579247458786	0.601092285121	0.526422850119	0.533214427968	0.552994348193	0.570332185341	0.575926513439	0.53634800086	0.611424445388	0.683820438533	0.567702031402	0.540470804532	0.640354737198	0.670300260135	0.701166480232	0.568603066081	0.616945024156	0.588956737289	0.639103089596	0.592567442178	0.508751477418	0.552390183409	0.667250519127	0.63040431222	0.57649850057	0.626572589731	0.661754938583	0.619370614737	0.64035849383	0.666950968129	0.613068254643	0.627187731737	0.561645893278	0.600315040808	0.651906385477	0.660241379628	0.608776393383	0.5483570838	0.667010957624	0.647972268561	0.669284034588	0.717791189455	0.70469353603	0.683236541813	0.665198634368	0.640925224004	0.684159932555	0.643079798851	0.658953847016	0.639907119815	0.629379092473	0.62322866129	0.662755413699	0.694867437792	0.541897243474	0.560527372907	0.54112343042	0.641789458635	0.538603947372	0.56754668551	0.56007103222	0.58115445238	0.573156915897	0.693757269295	0.584168549047	0.542235735719	0.637006675845	0.570426017601	0.625536286733	0.543701260044	0.624444590599	0.580303867371	0.64353351145	0.58452516365	0.544059090055	0.546164992153	0.619010834176	0.528820035182	0.632309752152	0.592438476208	0.598608324046	0.555835534511	0.535971117806	0.534610889269	0.56996697783	0.563357182119	0.580949777652	0.539199389228	0.598282231994	0.602864250413	0.619858138041	0.621278491384	0.585988980302	0.568401831488	0.590422044873	0.592303794741	0.615040905601	0.535174458787	0.559949990857	0.557819823251	0.65817007386	0.629408966978	0.703032399998	0.646009683519	0.705438675506	0.638704700695	0.591049266449	0.564597489609	0.628507877059	0.60628717685	0.650846564591	0.617456133411	0.542245052625	0.557109578181	0.60539560157	0.708908494907	0.613337073452	0.622187941601	0.647446540252	0.622195064583	0.574859461884	0.744128296286	0.586220867218	0.616196127561	0.683498877727	0.585883783485	0.544374522967	0.662988117056	0.640248024507	0.640068338588	0.626284132889	0.65907355061	0.645149889173	0.619479517207	0.587532873781	0.636571296825	0.727249385162	0.636039918931	0.552461584437	0.549394721371	0.54615210201	0.581576272554	0.608812889953	0.674017998252	0.529124179642	0.533892113095	0.581718840683	0.54141794112	0.560478540773	0.570629594229	0.513133717842	0.61883814636	0.52619114946	0.530010968929	0.584214780792	0.538640720879	0.497322240392	0.531778518221	0.577621981157	0.514737046035	0.559571715164	0.563456983781
CS.007	0.553358586359	0	0.584589115042	0.540427467448	0.530365088283	0.513203815115	0.559093020985	0.635308036762	0.542422045668	0.498712539994	0.563897183599	0.525367386408	0.570375152309	0.516920716941	0.632378520822	0.741899009227	0.507892436905	0.507789788995	0.608634577409	0.702483449855	0.740740648035	0.563402309668	0.608974661385	0.536542933147	0.644180689045	0.541861068312	0.569618229123	0.534626228561	0.648133083596	0.664735733513	0.505717753422	0.657946337735	0.655647334921	0.648220091819	0.571505744732	0.684155510239	0.55587296215	0.60652465219	0.514745281083	0.542848365897	0.690087169011	0.65136526046	0.640608598568	0.501016001939	0.721672300385	0.616703352446	0.623020847051	0.727971421239	0.718356702364	0.649469552683	0.636710964559	0.626326783596	0.680693140355	0.607717177821	0.60792283562	0.616439585113	0.604309544858	0.604911810605	0.653545177325	0.651137000249	0.525611533347	0.535044783284	0.547867577141	0.643782452246	0.543555393939	0.55620837324	0.613700208564	0.638498585178	0.548146343413	0.755378006104	0.533613114217	0.534255546664	0.678108059347	0.523793381118	0.568983515644	0.526810003757	0.567811461523	0.55307109381	0.558568505319	0.527329880567	0.502038645566	0.506647851871	0.584563107625	0.504703385109	0.584575434305	0.580124074895	0.590728622958	0.50128041142	0.52219896333	0.528562652653	0.519934664006	0.551785743977	0.479225241861	0.524773465153	0.574315222843	0.513028745123	0.637114946742	0.638289162782	0.577121229512	0.607073102699	0.655171746864	0.568888894381	0.577314292953	0.529429559267	0.563218278814	0.561112783748	0.671659559941	0.645075709096	0.756428420335	0.623325731687	0.763282072617	0.626560021876	0.569786047611	0.555032798282	0.601839793763	0.582973035218	0.662025310487	0.667780908135	0.518028658757	0.505479000569	0.639670000518	0.723213718306	0.643073301446	0.650674663718	0.561050387833	0.620231805536	0.518820171209	0.7680653925	0.612385010568	0.643007438184	0.708227083503	0.563914795289	0.51596391915	0.662264751486	0.638356846166	0.611215817885	0.639897190363	0.624850082562	0.636336881561	0.628710488623	0.532828653831	0.665015575722	0.748459047354	0.60910202022	0.538931397269	0.549707025935	0.557862880099	0.508808691294	0.591500324277	0.724973671837	0.553650773511	0.571738839604	0.509995842719	0.500098085443	0.54883920245	0.513313530423	0.515248724403	0.65162898048	0.526599032163	0.516844761327	0.537464600821	0.505378809821	0.55485441433	0.57166113499	0.506477729019	0.561155426072	0.508980346719	0.499328627579
CS.084	0.616286553208	0.584589115042	0	0.546049058943	0.6099048282	0.556077170399	0.570103704398	0.607564394604	0.600367175696	0.570740716073	0.541595002959	0.554901166008	0.633522973085	0.547304888674	0.627975458236	0.732633031378	0.614455626102	0.660594300474	0.606374728663	0.689261056781	0.756364365879	0.531609738997	0.64835289112	0.515385555905	0.675468402192	0.57141463395	0.654000203888	0.580169054561	0.653787631037	0.634756824735	0.622969362187	0.659568335551	0.6902974964	0.589116664715	0.569490160431	0.724500135555	0.637486230106	0.567376407168	0.572055118949	0.506160480301	0.672961459278	0.67952526059	0.669425020405	0.595129125479	0.731043991296	0.633573691732	0.669136255634	0.701184253991	0.738262301565	0.64634578824	0.631723906979	0.676552600617	0.698330395713	0.652795367795	0.634459123043	0.649772206105	0.600800318121	0.680782848066	0.698878347195	0.669633656982	0.59764719851	0.583649562935	0.584660567786	0.549793860022	0.61727307267	0.609090911312	0.628927857126	0.620307923382	0.59733863519	0.730450949639	0.587482996104	0.572891662905	0.689420899074	0.562924767193	0.545732887031	0.615520304354	0.574855615871	0.515075698286	0.552316814101	0.568214339489	0.597192230627	0.619905323886	0.539481700768	0.587860211326	0.563603931031	0.574544451098	0.566277104399	0.589481166123	0.601128796112	0.593202024719	0.577317706889	0.635089004629	0.566346601495	0.540476812934	0.444795197456	0.568822182243	0.587137778649	0.594200319573	0.598294703109	0.617506501665	0.686400214127	0.54376959644	0.486500095304	0.555213030262	0.625111355851	0.641624624982	0.652546471397	0.70177504253	0.757749262161	0.60494357505	0.724386033909	0.666293741235	0.630846543036	0.622907103714	0.498204377879	0.555730559213	0.629639957168	0.70778760265	0.575072379782	0.562023676128	0.554057422326	0.749124792842	0.683389969946	0.596922650017	0.574835194211	0.658470370209	0.56190335014	0.769445982722	0.66903960477	0.579848512644	0.71828627866	0.62902862194	0.609410411058	0.696855760825	0.666654605834	0.663826941397	0.66410167126	0.650973166672	0.671442616619	0.622384824982	0.620400596764	0.650969883678	0.712118241538	0.616164350806	0.598172851204	0.623291115371	0.630612281233	0.575882382483	0.512705726273	0.703646801208	0.651937793673	0.663916724868	0.570137900911	0.590242180563	0.632296274538	0.546366769113	0.612464907588	0.672665397661	0.587047124815	0.588142286733	0.584767832027	0.630143196237	0.643545835095	0.666945802962	0.568042455588	0.594863881964	0.580878564234	0.603552411521
CS.313	0.566863452913	0.540427467448	0.546049058943	0	0.46882909622	0.515329508821	0.49647862964	0.639582939838	0.512543763495	0.49192420117	0.574857412449	0.526235558932	0.582216024226	0.486374829089	0.623578240713	0.746037654194	0.560486156908	0.569788771296	0.642146078873	0.716545608369	0.75749157889	0.566600326684	0.663555582928	0.533221577005	0.696445030162	0.605395689474	0.615155598457	0.533549622821	0.705161462622	0.682191563258	0.564630661321	0.670260835993	0.691718754956	0.6674995311	0.591694676492	0.71358531448	0.592316118378	0.634855015627	0.546801281114	0.533426395635	0.701442878598	0.687466091374	0.681835677209	0.544803411308	0.739901133994	0.63559195288	0.673698137899	0.753933956078	0.737695658436	0.683537881184	0.661040140784	0.67403022959	0.72116040802	0.664464781426	0.654950268911	0.656232096453	0.616887834408	0.667614848209	0.698594557715	0.691307777702	0.572906309316	0.540638989109	0.570915508565	0.581471461987	0.567672596528	0.576447786035	0.609463377007	0.631467123919	0.552431192042	0.743453077251	0.567657120218	0.550294616284	0.694287518858	0.499829032443	0.528366264063	0.505546736846	0.494664935282	0.483658191623	0.547376383807	0.487499915534	0.502846644801	0.516321570938	0.565104874074	0.486708760449	0.507517525617	0.560864089286	0.502212753952	0.45736507896	0.50229153928	0.519427110064	0.504593259246	0.52986100434	0.507771044761	0.483635617193	0.525880026631	0.555225200205	0.649306482988	0.651061773497	0.565093007769	0.604767809151	0.658235369826	0.560390852785	0.519289022392	0.546624774453	0.564461276063	0.613536926987	0.709527804166	0.693102053761	0.76259378724	0.620829716024	0.778677596866	0.659137808815	0.597076176144	0.616132413776	0.555822729391	0.566441027221	0.638775981878	0.70508269925	0.559116316309	0.498577624028	0.65846271487	0.759833138129	0.68054506525	0.658638772941	0.551645181564	0.667208278039	0.521563086615	0.790029320957	0.664969656072	0.640434508291	0.738746008629	0.604808406059	0.540508356141	0.695594991012	0.660154415821	0.666602117711	0.670708322128	0.67680637691	0.671558142555	0.615091081697	0.598930983647	0.672463924333	0.734025716213	0.613001909877	0.535203897784	0.542558460426	0.590995133126	0.494640267241	0.528484620755	0.72286326063	0.591909949675	0.619134021488	0.483453173245	0.524168666287	0.59925395294	0.482307704799	0.536637777444	0.643153646101	0.546131428732	0.516917858569	0.447983560632	0.500649630805	0.550013016297	0.54990906906	0.435871775913	0.524760276271	0.471813178089	0.4828922518
L.005.M1	0.533599291958	0.530365088283	0.6099048282	0.46882909622	0	0.521889543534	0.505859712232	0.657737122929	0.508646658323	0.449527879233	0.586398479786	0.577105425758	0.615322327666	0.515456386841	0.642711259406	0.753695194655	0.539246832347	0.526274020237	0.691460113468	0.742227511095	0.761620776188	0.591693647413	0.688985122409	0.554344263493	0.680949045799	0.617766318791	0.614667746713	0.496287795191	0.732480407004	0.715861790922	0.526836728016	0.681641501422	0.712623033209	0.692308028819	0.651307222477	0.702912691442	0.625487975842	0.675692280642	0.535622026526	0.59519432061	0.708192684742	0.702125453944	0.685877483267	0.557980950747	0.74041744101	0.680689374552	0.685941102076	0.785473788529	0.755347404345	0.722754640557	0.704842100459	0.690471711933	0.735711963407	0.682837467657	0.67689599835	0.704104460495	0.662770196832	0.685344732182	0.713724501397	0.735598026088	0.554658608529	0.527970276964	0.564008090814	0.662528905132	0.537808276725	0.574711235494	0.645957400638	0.6389553038	0.552082213636	0.763111770477	0.56970892445	0.569256814073	0.704889506414	0.496276819486	0.603068045182	0.435755963209	0.540219938427	0.511230072281	0.582820108496	0.474725234737	0.512081381094	0.536545584177	0.586791719791	0.436331858179	0.579115151841	0.591605984905	0.505624223441	0.425573995144	0.459476618477	0.506002202313	0.542594482881	0.471278020676	0.504683457533	0.494078019527	0.58409982225	0.564221027642	0.684707001766	0.67101029769	0.572105888982	0.577212735983	0.638883089851	0.582598411405	0.601019477842	0.504323281988	0.524220739841	0.627715936453	0.740974434229	0.696105091614	0.750373212173	0.683715312595	0.797485168336	0.692293813765	0.628924779981	0.624527211316	0.614566644201	0.625326196061	0.674535072821	0.694642115662	0.553077827232	0.484887579108	0.682020850575	0.750748882668	0.70345846165	0.691526483151	0.610825495844	0.693017522699	0.557735864632	0.792147233638	0.671571088424	0.679875455723	0.761482585962	0.614729260928	0.507640628692	0.697775806925	0.681181878438	0.690025223791	0.691202929228	0.686355730364	0.686525249642	0.65134385365	0.601397742644	0.706757760937	0.76676564922	0.643211384456	0.512929170719	0.46994096677	0.540659495886	0.473383576922	0.582138999721	0.730532675148	0.556318030343	0.578107236944	0.479621899557	0.507561113869	0.58497637267	0.47710349953	0.472391318473	0.645037256654	0.535250406912	0.506951699452	0.421791601287	0.431406468203	0.458748057708	0.457786125003	0.449416991553	0.492204678617	0.469561376123	0.484597992573
CS.101	0.589936441907	0.513203815115	0.556077170399	0.515329508821	0.521889543534	0	0.546008250681	0.650267348744	0.568411894238	0.508539735474	0.566339036955	0.538018325998	0.648100346577	0.543710711558	0.67014894103	0.774653954044	0.584766817318	0.601813274934	0.653062268608	0.744154122241	0.790097916627	0.516983634961	0.68005506354	0.513976030353	0.701555793704	0.538000286545	0.633784199479	0.556621574558	0.698855666946	0.704590745812	0.554241327428	0.691646010133	0.73336312711	0.669028435861	0.609327893625	0.729099038913	0.626433665755	0.638520945649	0.554366974215	0.543968919264	0.718858641745	0.70443874085	0.697425432545	0.573459996245	0.762619452482	0.663431543493	0.705883421278	0.765897504552	0.739516144242	0.70976606474	0.686313771305	0.696471874484	0.727828324483	0.675221876152	0.658331319988	0.665108622272	0.636670472026	0.677523127744	0.70323142394	0.709112391928	0.581219295291	0.580374250629	0.601990093769	0.620926544692	0.60365448753	0.611483333093	0.655788446554	0.609146851576	0.579999977944	0.780814636091	0.576562352168	0.605017217984	0.721443285258	0.531478479161	0.563567531002	0.544615102283	0.56486966613	0.502857213227	0.581022214176	0.507605493107	0.535102510914	0.580517470585	0.577286533165	0.532435980402	0.552749908824	0.601763680008	0.573677002111	0.502099173465	0.543169876885	0.558394043373	0.556327557825	0.543868277663	0.458854116669	0.538138756932	0.553630111569	0.546692162446	0.682788076794	0.659809788386	0.607081981328	0.610534496744	0.6281797007	0.459140300821	0.55965210266	0.528977705579	0.537296797237	0.655782242189	0.707274510991	0.714488799603	0.784202620068	0.663093136712	0.787500311632	0.710170736512	0.646412902946	0.599442175301	0.567355777366	0.614922522144	0.672481854105	0.707733136742	0.54257899539	0.509420601846	0.650019142581	0.791198248232	0.691674781378	0.673432855978	0.597417270623	0.689942090598	0.555537260146	0.809901390006	0.659059168303	0.64912600768	0.755430065029	0.644522495428	0.542899674895	0.729157006238	0.701349152328	0.688034331605	0.697668412701	0.684245976754	0.698598420203	0.677394514618	0.606790952334	0.68637346069	0.754830765828	0.633709922516	0.558343268478	0.575798552574	0.5918024782	0.526573181135	0.57148449537	0.74361117429	0.625030471804	0.645755028975	0.525979293123	0.553124084512	0.636421476893	0.520937666453	0.565219140433	0.69601401026	0.555128199744	0.556836508526	0.509942576893	0.559198925113	0.568426080275	0.590793413964	0.52129418416	0.569511529441	0.531276232424	0.55709282727
L.012.M1	0.579247458786	0.559093020985	0.570103704398	0.49647862964	0.505859712232	0.546008250681	0	0.626768891873	0.523876509021	0.510201105509	0.602746907384	0.576501883546	0.601325057365	0.547297528787	0.621070140642	0.764965039628	0.564282780754	0.569319646912	0.665133921247	0.705578360957	0.738900678828	0.592363218967	0.6543825711	0.584658072101	0.673049530055	0.589748430156	0.621400929198	0.560308317478	0.680313311309	0.691101434672	0.552428890958	0.68712316321	0.680431249574	0.669456719364	0.629999375361	0.715071532924	0.630736770805	0.647370139801	0.54181943658	0.604515817185	0.708666244291	0.690136103182	0.657953432205	0.567923830373	0.730883906043	0.652076936578	0.676477553977	0.758414203614	0.76500890322	0.706124296621	0.685594781499	0.677666807978	0.724605902946	0.675414447663	0.670855328766	0.679274289881	0.61295453849	0.689990406363	0.704461534636	0.69969629107	0.577814990984	0.545678338364	0.565360052694	0.619203560454	0.555465815137	0.557435734655	0.644976750868	0.641649776241	0.558372931347	0.739616084046	0.588654580277	0.552833992926	0.688613314503	0.533641800321	0.568856019707	0.536307204282	0.541053151714	0.54913468356	0.571037572303	0.517389409089	0.565906783796	0.562688861079	0.602083896029	0.529114024567	0.540552641657	0.606637444341	0.553278350504	0.516950704242	0.571215879502	0.550533287473	0.578213017108	0.576925594436	0.531999760615	0.535210368912	0.566733335716	0.600803146745	0.662529500504	0.661426972393	0.5711603283	0.626447567036	0.662423900481	0.584654805876	0.584452547823	0.562688258187	0.591318282757	0.614272979378	0.704490086107	0.681630209562	0.753549341672	0.654391467233	0.772388736566	0.664476517415	0.625578687227	0.62652173781	0.615565761089	0.599442154892	0.648257579449	0.678991646377	0.563947506186	0.525576206867	0.665155020735	0.75347123477	0.686198596859	0.671296307335	0.590631271668	0.674926194589	0.575868874654	0.786153906739	0.676250718527	0.658112663565	0.733409833133	0.603796692243	0.568662640382	0.689233593062	0.650600907201	0.675817036163	0.673656058681	0.66963516151	0.692684273835	0.645003423525	0.607534140738	0.692391600978	0.754244178332	0.629699354037	0.551538130633	0.562389534488	0.565796978908	0.547828598156	0.577344652553	0.70596108325	0.575377789008	0.587063332828	0.530086299451	0.546158062523	0.581799400258	0.506931719812	0.522296923685	0.628720874688	0.567434852243	0.554724537571	0.508880045579	0.552224429848	0.548892525272	0.5581884894	0.515976392039	0.546844535029	0.553558593829	0.580914757916
CS.022	0.601092285121	0.635308036762	0.607564394604	0.639582939838	0.657737122929	0.650267348744	0.626768891873	0	0.626752243777	0.644679289801	0.57771664861	0.632612006224	0.602604453637	0.629225527916	0.571631653815	0.658019815243	0.64979784853	0.624074545116	0.566524474711	0.608726742535	0.673848436652	0.594783601292	0.572675593806	0.584913998349	0.617303828237	0.624152157441	0.598300709926	0.607101893886	0.583240897682	0.560102932306	0.646848674873	0.613983948731	0.61239570935	0.568220709184	0.574163264533	0.628336306744	0.612907595362	0.558689448035	0.648821049531	0.594864098165	0.614159088793	0.616018801584	0.577091005504	0.632593215212	0.648033340875	0.594914465917	0.624886412284	0.638540376299	0.646189622881	0.61894292415	0.612116136341	0.5851334704	0.652178583577	0.602758052962	0.632898974706	0.61083889927	0.608773552402	0.619732740272	0.635787611748	0.642166226961	0.628207793843	0.651933260497	0.585785601639	0.588318505249	0.608691410878	0.625040993463	0.605809735482	0.62118339274	0.647523488012	0.720439286398	0.633217988127	0.615684440087	0.596980641434	0.654241429772	0.645542364624	0.660860085571	0.675788729406	0.630488144344	0.630174270124	0.676268164509	0.635760412155	0.608950409851	0.619866604965	0.635524935653	0.667908480096	0.609651578809	0.656848354634	0.674233260553	0.637487720788	0.622151942291	0.62066330419	0.635123900237	0.645448233253	0.612128829327	0.592437292746	0.593261899107	0.5379488735	0.551676843701	0.597591049719	0.583999229177	0.611712921903	0.594418388731	0.615625999823	0.53067302263	0.632699957516	0.593004168414	0.588273428462	0.622045518363	0.702431443739	0.612253745411	0.630129319968	0.596263529435	0.620601334686	0.586572464563	0.616023276955	0.579027211182	0.580961440927	0.610723966167	0.603139126687	0.65664947094	0.550515832275	0.673446226108	0.63692585761	0.554623407844	0.604016710535	0.592144540092	0.622312250478	0.66660331915	0.666463146207	0.540395645564	0.601035398755	0.589637515168	0.62084462199	0.622104037818	0.604307348665	0.583541872375	0.610254372293	0.614347343822	0.608659994552	0.599299827097	0.633603003377	0.62603638954	0.672500162501	0.60644131432	0.595657130594	0.636575541286	0.635512247442	0.665984863019	0.610628506623	0.64702105753	0.634681766288	0.653412500667	0.675035895484	0.627187009162	0.62870366734	0.652137160449	0.64167038883	0.612272195861	0.605726953292	0.630532878195	0.676137728946	0.652529493766	0.637667329649	0.638372419471	0.664877427817	0.604730322435	0.652638997502	0.639781519361
L.036.M1	0.526422850119	0.542422045668	0.600367175696	0.512543763495	0.508646658323	0.568411894238	0.523876509021	0.626752243777	0	0.487752169894	0.565471310092	0.536788224273	0.588081384812	0.526080565663	0.611683654621	0.737355182227	0.52998788868	0.529303928633	0.645076762921	0.691546601421	0.73095299274	0.58693286125	0.623412466349	0.5718169445	0.647960465599	0.575584027841	0.556796233546	0.541905606437	0.651500358664	0.682005985394	0.526742286572	0.670336764816	0.67817595589	0.626612369036	0.609312522558	0.702895557865	0.572094633948	0.627883314343	0.542272417082	0.583512629802	0.693782967234	0.674439475343	0.644682723371	0.524758275464	0.72356204298	0.636153404088	0.658677161535	0.709493831982	0.74517673575	0.670865763127	0.654519561402	0.650187835902	0.716895847591	0.62828910804	0.635974230062	0.661709771025	0.596925738003	0.634747537112	0.683468579879	0.6606462127	0.510628182428	0.53351034604	0.536721393743	0.628675019788	0.562947741574	0.554534571263	0.595490119107	0.609976278677	0.558201434196	0.714415121686	0.533578595959	0.518471038864	0.653671322864	0.512401058093	0.552781450767	0.4856360988	0.526480166927	0.530322843661	0.550812589232	0.540927698451	0.534684236737	0.527359072336	0.584764757343	0.49279000183	0.581725778515	0.58513067109	0.540863948115	0.505268722208	0.518511345008	0.507921965796	0.548666032605	0.592929920271	0.564649793596	0.492854289312	0.564179708488	0.592475157538	0.650076096633	0.637370273797	0.527520530964	0.595323308728	0.625110446501	0.592623178049	0.591114398863	0.551210330141	0.554653728581	0.570293443891	0.685156956939	0.67945648869	0.745599964195	0.619767651908	0.761086183601	0.636758159923	0.579747309335	0.600993292161	0.627781181172	0.591624892044	0.680576612386	0.676166624483	0.529931829785	0.529936852254	0.620539006941	0.74044821777	0.648353361189	0.642947119433	0.585396745433	0.644839229353	0.537278333144	0.779841184931	0.636665318066	0.644088625647	0.726202993109	0.585991855504	0.573340817354	0.670737910024	0.649816892307	0.655887518241	0.633980215393	0.626736941878	0.638757171951	0.630707237971	0.574082733446	0.636096439851	0.750035629418	0.626234527641	0.525206511778	0.507172769001	0.581165869308	0.527024370154	0.574398770253	0.70615887665	0.569814950435	0.543943991263	0.511182683537	0.521282460504	0.551454114614	0.527645259077	0.507677887176	0.629902054819	0.528902186264	0.540515522907	0.504175435656	0.489533765232	0.538707107074	0.548375896469	0.516339244908	0.524567006214	0.509061666858	0.547286955248
CS.259	0.533214427968	0.498712539994	0.570740716073	0.49192420117	0.449527879233	0.508539735474	0.510201105509	0.644679289801	0.487752169894	0	0.568263715411	0.546146802757	0.561121962579	0.502893569639	0.612669196463	0.741462764273	0.497636422637	0.518668869976	0.642899481206	0.692677041512	0.741935648089	0.553419367798	0.649973804888	0.541705055607	0.642174855393	0.571118349047	0.566914081456	0.487575938693	0.690365287483	0.694395577888	0.534160375004	0.680394144006	0.671507234407	0.663641789472	0.626083822604	0.678307828306	0.584768262467	0.627198358804	0.469753210673	0.562125351538	0.689656095462	0.670624302113	0.646007030729	0.495321590566	0.708260659977	0.631133769864	0.664769469104	0.74459764694	0.718882293262	0.688265691436	0.660916616498	0.657005277021	0.715820424235	0.63963334045	0.637075714638	0.649682017536	0.599423693528	0.635472988688	0.6879333355	0.665184696727	0.51368108423	0.494740704913	0.530614174015	0.620352804238	0.534106666321	0.53283597328	0.618096703719	0.619177305987	0.549705072108	0.720861288026	0.531931785541	0.528213218784	0.673400406941	0.466519881813	0.560836059564	0.455875237865	0.515335485184	0.498406356455	0.551383029911	0.48347997884	0.525791172478	0.505776935014	0.585471237002	0.473094839146	0.562297324679	0.584759090563	0.531933842338	0.446941477718	0.488980225943	0.509821644788	0.515664571901	0.527411454417	0.530888694688	0.470631985959	0.551822380851	0.559654750858	0.66641813033	0.65679625249	0.572840851721	0.577905848068	0.63304933174	0.563109951163	0.557246303986	0.520745344902	0.554888657435	0.566292477595	0.695864847802	0.649943061192	0.750775019989	0.639401022611	0.774484529482	0.637615585498	0.572637078842	0.592012539392	0.605900461497	0.577436155229	0.643569046156	0.677168414363	0.516548478737	0.461411934681	0.643361837387	0.731845487908	0.662357768254	0.647604274254	0.582954242005	0.633739844272	0.529432725493	0.776455105728	0.641124647702	0.654761567805	0.72758461425	0.593664903197	0.510768768465	0.679401396401	0.638019457544	0.652326138088	0.631220257338	0.635459983023	0.645513768193	0.617899625141	0.550554636321	0.671805190317	0.734104648151	0.613743460007	0.519619482044	0.460098041644	0.541131324771	0.463650436291	0.558344737574	0.702162720764	0.529186995337	0.551228364421	0.471521875104	0.475284558907	0.543402707636	0.446846556424	0.491092508396	0.632475907819	0.525834676595	0.478005637288	0.469530958135	0.435962724149	0.489515160373	0.471359420064	0.469096254859	0.51703901961	0.479599498093	0.505714589185
