CS.108	CS.296	L.005.M1	CS.260	CS.105	CS.297	CS.176	CS.244	CS.219	CS.174	L.025.M1	CS.354	CS.019	CS.314	L.007.M1	CS.287	CS.155	CS.065	CS.063	CS.064	CS.137	CS.153	CS.067	CS.388	CS.230	CS.382	CS.056	CS.290	CS.301	CS.269	CS.375	CS.374	CS.232	CS.380	CS.126	CS.203	CS.282	CS.125	CS.224	CS.128	CS.136	CS.236	CS.292	CS.376	CS.205	CS.256	CS.166	CS.129	CS.348	CS.349	CS.147	CS.389	CS.177	CS.178	CS.254	CS.323	CS.214	CS.181	CS.385	CS.395	T.CS.076	T.CS.025	T.CS.058	T.CS.001	T.CS.079	T.CS.071	T.CS.046	T.CS.012	T.CS.023	T.CS.028	T.CS.082	T.CS.022	T.CS.034	T.CS.040	T.CS.056	T.CS.129	T.CS.116	T.CS.132	T.CS.131	T.CS.114	T.CS.128	T.CS.119	T.CS.110	T.CS.134	T.CS.126	T.CS.122	T.CS.139	T.CS.178	T.CS.160	T.CS.102	CS.242	CS.015	CS.006	CS.246	CS.087	CS.085	CS.088	CS.237	CS.082	CS.356	CS.110	CS.238	L.024.M1	L.034.M1	CS.241	CS.212	CS.191	CS.165	CS.274	CS.188	CS.308.0	CS.336	CS.387	CS.189	CS.150	CS.338	CS.233	CS.207	CS.228	CS.304	CS.080	CS.322	CS.227	CS.202	CS.361	CS.285	CS.339	CS.321	CS.163	CS.158	CS.320	CS.318	CS.319	CS.152	CS.112	CS.370	CS.326	CS.253	CS.270	CS.262	CS.390	CS.145	CS.255	CS.393	T.CS.064	TFS.020	T.CS.031	T.CS.026	TFS.025	T.CS.061	TFS.022	T.CS.066	T.CS.045	T.CS.055	TFS.021	TFS.027	T.CS.049	T.CS.008	T.CS.043	T.CS.142	T.CS.109	T.CS.152	T.CS.157	T.CS.158	T.CS.095	T.CS.141	T.CS.151	T.CS.166
CS.108	0	0.580948437359	0.642677558933	0.666256045771	0.591091124193	0.63993718428	0.631135540571	0.630246543122	0.494494429453	0.597459378289	0.683525563842	0.667108585275	0.602945211335	0.64359209387	0.625575862205	0.653922179676	0.605540282641	0.660681748438	0.639549509142	0.566606949398	0.647086944117	0.596916661424	0.762057888521	0.780339304391	0.706351735433	0.689264196917	0.668357808869	0.712421779138	0.620809228827	0.736986950667	0.69575735881	0.688588316297	0.563858788711	0.635784201329	0.621742091082	0.650741300102	0.706344858219	0.700308803771	0.780521028466	0.636381270632	0.61955417632	0.615258462161	0.601060523443	0.689459800679	0.754435078122	0.711775704714	0.698627277077	0.63637519464	0.590171914128	0.653229826896	0.690989720148	0.664662186136	0.713517870944	0.66240047635	0.687604268776	0.656151172534	0.685027327692	0.652583023931	0.646633553129	0.647676103888	0.609492452441	0.63771651641	0.63785689231	0.747088602104	0.739437220528	0.660726355771	0.6941942768	0.764606170791	0.784799358299	0.659167109283	0.644461835963	0.679035326866	0.644232048803	0.578130185454	0.662335099064	0.610259096263	0.595156398448	0.578438909881	0.620124607003	0.570847815337	0.537226761899	0.537091790014	0.570260882266	0.649324740481	0.600133988538	0.596164939936	0.599167503362	0.546226235289	0.573778040287	0.609771192132	0.58212073651	0.629769912551	0.59855774507	0.597846485898	0.656863651879	0.539053443715	0.707689012166	0.638700342033	0.557750966523	0.744868203239	0.656434132582	0.612874635896	0.648391242419	0.646801862211	0.56261165017	0.760532973776	0.614073957395	0.753827902935	0.73789037129	0.741246304081	0.666008899174	0.679130032663	0.692764869719	0.641205536784	0.616056991013	0.618383453145	0.548478879519	0.678525969328	0.617742505365	0.703149294509	0.616123529981	0.735841279714	0.791148019637	0.710815808917	0.727123513557	0.722404976855	0.700599722406	0.621056109912	0.626054485675	0.623309530314	0.659010531098	0.696518266702	0.689535647975	0.593871496403	0.633456291713	0.684903895609	0.643846218538	0.732181433534	0.693527965942	0.713799002089	0.670546137065	0.655851877472	0.634953383515	0.685806889258	0.632346042665	0.572256751006	0.644496561173	0.747437092106	0.717202328437	0.704235520283	0.597133875974	0.599751102397	0.666140650246	0.621592454437	0.682027830075	0.681137539211	0.721349586171	0.734897893353	0.66646115203	0.719891352164	0.601302677232	0.616854368196	0.641204845789	0.610255465434	0.608237505542	0.686151559378	0.679283028435	0.634117877209
CS.296	0.580948437359	0	0.443967306681	0.61981770115	0.508261891554	0.432071303643	0.565628080171	0.660980616532	0.591614624988	0.406615158896	0.606028268635	0.608389000871	0.517015777509	0.550567851838	0.462713471223	0.625516687363	0.568085230826	0.612001376497	0.693522965814	0.587916006881	0.521338513209	0.591811684903	0.759424359694	0.689715033375	0.694106803916	0.519387079784	0.692382088377	0.658897534709	0.559869140108	0.742334006052	0.60407534593	0.664233327853	0.551060992625	0.509238528948	0.51342417439	0.490109531602	0.671792501355	0.649749492039	0.765736604442	0.571669052826	0.63308309065	0.711227821402	0.628021018702	0.654750475852	0.673695745352	0.679528116837	0.693561176088	0.60693829903	0.606099045138	0.632881655005	0.670851462792	0.647574739311	0.682351011111	0.590014667499	0.655913058927	0.618534591585	0.625953205621	0.633090277232	0.648390034951	0.635115993103	0.545004081135	0.518187940114	0.536565384633	0.718522520213	0.676789743883	0.502927672457	0.60324857566	0.669180883976	0.734504605315	0.549237055321	0.505945075741	0.58499565873	0.480286415718	0.467746140223	0.632343169026	0.476250756416	0.569459839185	0.501625290222	0.437333447651	0.561891513602	0.527317075578	0.556407398306	0.505171546103	0.461964353804	0.453672254686	0.443902463257	0.456413006329	0.479704867813	0.480974619873	0.50431597177	0.459691916018	0.576441196669	0.520848834931	0.47684663343	0.569237763831	0.542420985626	0.622391765307	0.660838834232	0.538516492385	0.694165211837	0.657334927487	0.55795221932	0.514899931657	0.560700696478	0.511253722515	0.666439598853	0.465067461317	0.691957824161	0.653478579603	0.63486027664	0.693671564447	0.586429521356	0.594021867728	0.657159723295	0.582281853834	0.632114706238	0.613383390798	0.679901010579	0.617780657358	0.696309273727	0.619092269764	0.694833852154	0.788314719437	0.646584973022	0.654640162011	0.733814162604	0.605963639777	0.483159871838	0.643872048195	0.654982459724	0.625586021246	0.654349625736	0.640474101076	0.490172011875	0.658603161491	0.655965044676	0.639898739843	0.74383138195	0.666896359237	0.680865386512	0.668885626766	0.541797246809	0.600710863075	0.662499677341	0.513756468495	0.459627697948	0.534044337931	0.732690309398	0.550133922006	0.549887856155	0.440842645949	0.48125218332	0.551957523352	0.525201151606	0.563486695986	0.496931035029	0.641829017862	0.582311183618	0.477488677948	0.51677789434	0.441723834931	0.494237131917	0.517359640827	0.421449840699	0.470102819312	0.533918385724	0.471241125226	0.453349418014
L.005.M1	0.642677558933	0.443967306681	0	0.642711259406	0.561084449413	0.420693078178	0.639283090522	0.661084268953	0.658550689858	0.433254519501	0.586216768024	0.608189579564	0.555829003923	0.562646592189	0.390179823011	0.676238914972	0.591619459299	0.663407608043	0.748852909573	0.640934617072	0.539246832347	0.64320099336	0.765693573661	0.703353026357	0.742227511095	0.526274020237	0.732480407004	0.696426182491	0.608924561251	0.77940550366	0.650391110156	0.681641501422	0.59519432061	0.535622026526	0.557980950747	0.526836728016	0.712623033209	0.686516945681	0.763750922127	0.625487975842	0.675692280642	0.744792293265	0.651307222477	0.685877483267	0.702912691442	0.685941102076	0.735598026088	0.638789429835	0.662770196832	0.673476808581	0.690471711933	0.704104460495	0.713724501397	0.622157450099	0.701113207025	0.67689599835	0.685344732182	0.680689374552	0.704842100459	0.6989052353	0.59332970331	0.552082213636	0.56970892445	0.720483921561	0.704889506414	0.527970276964	0.634383400801	0.697028782512	0.763111770477	0.573304609411	0.536125148273	0.618684304682	0.517154344484	0.492524064042	0.6389553038	0.519127341676	0.591605984905	0.540219938427	0.510191439816	0.562288624872	0.582820108496	0.607556837466	0.513947963627	0.485705978929	0.507167370595	0.488874684048	0.451414719047	0.533885018291	0.519405410017	0.467127682091	0.494078019527	0.524220739841	0.504323281988	0.542594482881	0.577212735983	0.58409982225	0.638883089851	0.684707001766	0.601019477842	0.698888779602	0.67101029769	0.564221027642	0.471278020676	0.572105888982	0.504683457533	0.668844443936	0.484887579108	0.694642115662	0.696105091614	0.645079439837	0.740974434229	0.628924779981	0.627715936453	0.674535072821	0.625326196061	0.683715312595	0.614566644201	0.716417680359	0.650889381143	0.726377929425	0.641494378643	0.697775806925	0.792147233638	0.671571088424	0.70345846165	0.761482585962	0.654273895355	0.507640628692	0.691526483151	0.679875455723	0.614729260928	0.681181878438	0.678361294693	0.557735864632	0.682020850575	0.686355730364	0.65134385365	0.76676564922	0.686525249642	0.691202929228	0.690025223791	0.601397742644	0.643211384456	0.706757760937	0.507561113869	0.47710349953	0.535250406912	0.730532675148	0.556318030343	0.58497637267	0.479621899557	0.473383576922	0.557244613298	0.512929170719	0.540659495886	0.472391318473	0.645037256654	0.578107236944	0.46994096677	0.457786125003	0.449416991553	0.506951699452	0.492204678617	0.469561376123	0.421791601287	0.458748057708	0.431406468203	0.484597992573
CS.260	0.666256045771	0.61981770115	0.642711259406	0	0.600155764296	0.614849262684	0.595518519795	0.694268911221	0.579155495257	0.622261472653	0.657310321862	0.645631668742	0.616917280882	0.621467461279	0.649563504871	0.53288735932	0.541331243446	0.573974360651	0.63172811031	0.624901095023	0.564358764699	0.608719837665	0.621281048629	0.663594411161	0.604471359511	0.56368817311	0.611867770007	0.544923280921	0.530641656249	0.637917708437	0.57966629134	0.563997530404	0.590410870465	0.59841714433	0.574418924756	0.611274157219	0.54621365826	0.510997819574	0.660942984601	0.580398814682	0.548223909469	0.642787042628	0.568868383081	0.506692760779	0.548901749385	0.569378131911	0.587879664153	0.605256689911	0.578573223997	0.551645824872	0.532444453035	0.526916011073	0.591001557847	0.583755759492	0.535123902101	0.536736602979	0.605064471155	0.542942465755	0.548239945256	0.598202799552	0.558945618197	0.58960211081	0.616544785124	0.56366604624	0.544732112418	0.597237194415	0.5251944749	0.64565138156	0.684513790612	0.594670049109	0.624638812578	0.605468078187	0.619279100695	0.628770299544	0.671952779556	0.62530655374	0.63768801637	0.635399346011	0.613827922977	0.642696167134	0.603511243168	0.63923130359	0.616086288636	0.618747984705	0.599665726546	0.584594999338	0.642022371319	0.609300617895	0.646191277139	0.670945535993	0.597248380922	0.675427195555	0.610524266829	0.606537215707	0.632613634289	0.605680199194	0.673730294405	0.601885963987	0.613148668724	0.620327298176	0.593148022039	0.62189834586	0.665685254847	0.60278054373	0.653920030758	0.622048807879	0.607522392489	0.621273162915	0.554810451069	0.604719084126	0.600762102634	0.544085411905	0.542404000448	0.599867695835	0.564640541086	0.568042260964	0.655580463153	0.580800969068	0.595807973547	0.633046560048	0.590126704134	0.531514026873	0.68947204099	0.650434920838	0.609731391189	0.611692058104	0.593827058816	0.616510182546	0.596392235014	0.577516835934	0.538342757866	0.514035351848	0.552501895743	0.565526642113	0.571581240713	0.544788568389	0.540837468473	0.616630543067	0.547630770139	0.574274137475	0.560016790122	0.559218159724	0.557549657894	0.62237146505	0.604543651466	0.618957307215	0.603386472479	0.613396036904	0.572974953956	0.578866318016	0.633570357405	0.663574142647	0.596806180569	0.601777835082	0.617085916196	0.606427072807	0.564377548882	0.567658933388	0.620662342198	0.639487946026	0.639427594239	0.592947726278	0.63192404025	0.613325477607	0.654895262054	0.651835461773	0.63319713624	0.590299476357
CS.105	0.591091124193	0.508261891554	0.561084449413	0.600155764296	0	0.476176864416	0.554438342197	0.660747929961	0.533147138354	0.516458072749	0.640498489814	0.608365644186	0.500541451318	0.574902215852	0.545140486124	0.614936823716	0.530912040395	0.568129891677	0.652880767022	0.533882256535	0.481812176273	0.535379735617	0.724137307621	0.670047319769	0.678843279439	0.531191417548	0.656415574879	0.643094179553	0.550670175494	0.738669579257	0.592921740662	0.658925628615	0.50900916494	0.504287495929	0.490116273839	0.502218768351	0.665825426797	0.636985678069	0.743887713028	0.570732601164	0.575927281996	0.670347758728	0.596703614987	0.624025718539	0.691451383575	0.653240683498	0.659179706552	0.61371469936	0.571678411473	0.586749475471	0.635293174066	0.616161706884	0.682129503878	0.586582147524	0.630670605182	0.595808181784	0.617321092077	0.619187578188	0.613102536457	0.626672445265	0.544092827634	0.520585359246	0.519275826876	0.686934388634	0.655026621147	0.502345682892	0.593900787605	0.67483947551	0.737432046673	0.51820850875	0.499420729879	0.564144293752	0.524300198461	0.50203898627	0.619148000806	0.535430580937	0.581843735278	0.548554867052	0.515068271137	0.580735217015	0.550874800906	0.574551979619	0.542031692396	0.499568196161	0.480741603206	0.465144244682	0.538945732325	0.524058974651	0.52893173417	0.558501781121	0.485305202248	0.602241015052	0.525610277988	0.510859757177	0.588447723777	0.521244560059	0.639049811819	0.636169605997	0.531759726275	0.671659401298	0.626505074482	0.546996050393	0.58336312233	0.576653810095	0.514188473219	0.64334767394	0.493768008506	0.645036009709	0.648305124476	0.626347738902	0.654049158293	0.554226634873	0.562950176266	0.646724158574	0.574429734771	0.60589259224	0.576570477138	0.675947052139	0.599303562908	0.685152762495	0.492381881941	0.673630584812	0.770987335059	0.634305858426	0.655710292017	0.70305381986	0.610070344752	0.517106244618	0.619953405293	0.625600572575	0.579903070213	0.628471720539	0.627692881571	0.484009601765	0.624431715348	0.609135489762	0.602860337722	0.7291730326	0.630858727556	0.65416465774	0.638884610596	0.550924740866	0.597702067078	0.653473096151	0.503337592185	0.495197674914	0.518366789954	0.693399416437	0.515341306909	0.54141000321	0.489559145706	0.521044908075	0.523688568715	0.551335593914	0.556721874214	0.523570040727	0.628999962872	0.556448308545	0.531002669371	0.585881454423	0.525296035115	0.499027248907	0.556822019886	0.49011994429	0.549570959278	0.591905270276	0.533193281311	0.511390589083
CS.297	0.63993718428	0.432071303643	0.420693078178	0.614849262684	0.476176864416	0	0.564811810345	0.664216670147	0.622931026931	0.425440054009	0.589527652346	0.579387520866	0.48424480956	0.529438614977	0.444424722193	0.623274788896	0.512788184423	0.573966848602	0.707380802743	0.580957445173	0.47314645591	0.572386742901	0.738703409996	0.642049386827	0.689941481791	0.452536050943	0.686684294952	0.646148179571	0.549542896589	0.749544583876	0.588200608711	0.653187831722	0.562559175912	0.468301628924	0.474225906441	0.465647337836	0.658341846185	0.629382453734	0.748484020419	0.556055804079	0.619520296508	0.706219436147	0.621687327516	0.638206780558	0.667130920372	0.644057282619	0.676125901031	0.591095744111	0.60883277383	0.628250178467	0.640423252148	0.63195038549	0.670290809276	0.56466320359	0.646650388618	0.624108407223	0.615827320827	0.62522144178	0.65675932153	0.647474767446	0.551618524893	0.493486090058	0.504958587512	0.69623776556	0.655254272844	0.456029946117	0.58576814614	0.652053235517	0.720263111347	0.485311803684	0.47845676278	0.555420102561	0.46565634792	0.463174810995	0.599383245118	0.50020685722	0.566430520446	0.54496263171	0.481342212374	0.565549635157	0.560992520287	0.609856757066	0.512547971693	0.440891861697	0.444749207547	0.453245764981	0.473163703184	0.491947938183	0.514689800024	0.518671296857	0.468394313953	0.554988985322	0.501382704965	0.498467871564	0.575118328972	0.564636854875	0.60145127061	0.647974938892	0.562736715163	0.659768430425	0.63350656851	0.549921117073	0.51238675758	0.560047087073	0.492339429683	0.613184516784	0.430184718299	0.656650164202	0.631163269021	0.579128580723	0.683618172799	0.56168047043	0.553047748196	0.64520318262	0.588129328162	0.645537882973	0.615748010123	0.68627146826	0.634019699412	0.702369529588	0.596229911074	0.660064770987	0.766698643433	0.617021652853	0.634901394302	0.735573689394	0.600039926215	0.449648215147	0.648190534431	0.64385221043	0.560334946445	0.626530772156	0.617320651405	0.496317208474	0.634879483911	0.631978529724	0.619020629874	0.752649757137	0.646713810949	0.644115332882	0.649343754868	0.525358689343	0.599394092462	0.660815760224	0.447927676746	0.462118770498	0.501922868956	0.68555353447	0.499367445931	0.509955889234	0.463552911363	0.470136380202	0.489328915437	0.488232419012	0.503739117186	0.433367431061	0.60709115319	0.492733506789	0.438819072923	0.449965764194	0.471949446114	0.483976743749	0.495258398065	0.429976625042	0.471237142597	0.46425536727	0.429649980822	0.454952627818
CS.176	0.631135540571	0.565628080171	0.639283090522	0.595518519795	0.554438342197	0.564811810345	0	0.713635083035	0.575426464364	0.589882095158	0.663400294635	0.655736068777	0.554528489893	0.602745903303	0.634752648453	0.594593285108	0.579336913105	0.501907146541	0.615074778101	0.579573075403	0.539266594178	0.576036252278	0.716528126746	0.647716993476	0.628965016411	0.53670735028	0.571126315167	0.579852966092	0.532823539879	0.700349315485	0.541682909639	0.591092001491	0.577509430928	0.580833019238	0.52032531896	0.552781902517	0.593846086623	0.576773681589	0.69910548119	0.521197464821	0.561879331367	0.646137465088	0.575439320352	0.575577352324	0.616374698028	0.611275161402	0.621384222216	0.606336378299	0.564248488174	0.573350421018	0.601183682989	0.5888312158	0.634671206313	0.596783770111	0.540245943934	0.523780408522	0.563848325139	0.573872789941	0.520005757187	0.555828692828	0.568028847991	0.548723258224	0.573408892161	0.673112637043	0.631678296792	0.559467974631	0.589644667111	0.642624995049	0.70159387674	0.537377148296	0.574209264024	0.558250542284	0.565389922503	0.575585780613	0.662368955844	0.60258723837	0.623052739923	0.609707542223	0.560003711866	0.655933458158	0.589886495725	0.632737639326	0.611983609394	0.591732440333	0.523059636343	0.545728749026	0.61546198203	0.593401361642	0.624390206406	0.639011481724	0.569393940022	0.645265271163	0.578935189087	0.555432931245	0.61280732567	0.597233423149	0.65500374691	0.598127640375	0.569922684816	0.66340510581	0.620025202428	0.586402626764	0.666178011488	0.59947753294	0.602472060663	0.613630779782	0.590575722974	0.62115181514	0.60684077719	0.573145386181	0.645202742068	0.586859535419	0.532268958835	0.638397634723	0.603281764475	0.585252300355	0.635460330638	0.641285233645	0.543545855206	0.640542130718	0.596751428157	0.605454790067	0.698006980674	0.638297364439	0.591303029721	0.628075019517	0.634621726045	0.554338031054	0.579016808335	0.595397047232	0.573760841616	0.57601795535	0.559553122949	0.505557579782	0.612091406155	0.547244156585	0.594967079581	0.70470994705	0.617122875556	0.639637939046	0.588988503485	0.485874913979	0.546945519018	0.577497790174	0.582043328559	0.592570374072	0.594747683409	0.703677228806	0.561197858264	0.562225618837	0.590030963742	0.609777949623	0.578160126482	0.605703310503	0.628477421267	0.575808057311	0.630866248846	0.571119507646	0.590103258723	0.651023511989	0.610697844997	0.575013517629	0.64494853825	0.559038698606	0.641585231197	0.648425564441	0.613573262546	0.553291172013
CS.244	0.630246543122	0.660980616532	0.661084268953	0.694268911221	0.660747929961	0.664216670147	0.713635083035	0	0.626188668091	0.671563306137	0.621238581592	0.588295086261	0.644208943775	0.62123674654	0.650422829603	0.704298505452	0.712136766892	0.718910118329	0.664099090765	0.641315438043	0.728308350644	0.617387742588	0.720701626366	0.750565954327	0.726263604722	0.701352769024	0.716147744812	0.74385969547	0.712036086419	0.766752195111	0.694202310372	0.706308103449	0.635186776856	0.69780066151	0.69899188571	0.687010583772	0.759624060601	0.738808595499	0.772240088393	0.697668670977	0.663828655128	0.715727968228	0.673513343789	0.730426513043	0.781858657961	0.700802910591	0.735963649771	0.621132156758	0.721244499093	0.712982009257	0.7161954895	0.718952928286	0.720382737715	0.67785430545	0.723772798833	0.749643312717	0.717829569437	0.708583019877	0.721829827605	0.700022428467	0.693198196783	0.672583742863	0.644971360638	0.714582650379	0.720107413035	0.693333562117	0.698297499523	0.736841779586	0.755097386206	0.685417832403	0.666681018739	0.68453689143	0.670918323851	0.638127667602	0.60466556469	0.681648080039	0.575055086442	0.672577099701	0.681665148664	0.574951748442	0.666179826864	0.633335451602	0.631014220295	0.6766955477	0.675577720963	0.672740608617	0.662649470391	0.64586280302	0.655637495369	0.648670259712	0.629301778608	0.642101809161	0.607812825098	0.642865836815	0.621725419759	0.589427671337	0.673104869942	0.659267462666	0.626062214953	0.715356863333	0.650505874128	0.636586261455	0.635049522471	0.637973158821	0.651360588902	0.725526858198	0.658564822731	0.723705583865	0.740253009312	0.751269477484	0.689052075909	0.698844525911	0.698995564098	0.673960864776	0.627268258646	0.661703283691	0.588450913274	0.688757740756	0.623968486774	0.718195770906	0.643272447345	0.754203643787	0.780235719256	0.703267984535	0.712998997996	0.749391820632	0.729409499014	0.6530885924	0.632986766853	0.640622462094	0.691561494273	0.74412855931	0.749736603922	0.680946605348	0.636912278068	0.713252116588	0.685607547811	0.727559821824	0.711238916043	0.710914767394	0.714337069713	0.720374387816	0.699021059071	0.679401476596	0.641488116169	0.680982054281	0.642451969519	0.740755688525	0.729295571418	0.710142472591	0.67564328206	0.649346456054	0.673817570494	0.635948299579	0.682997019056	0.697266307778	0.719447921783	0.717122485385	0.691851219051	0.682813836676	0.658022698504	0.664244575604	0.618865765505	0.663050564446	0.650844019576	0.642195837822	0.644225361824	0.689413597157
CS.219	0.494494429453	0.591614624988	0.658550689858	0.579155495257	0.533147138354	0.622931026931	0.575426464364	0.626188668091	0	0.606315437062	0.683239104008	0.629200289991	0.568366685883	0.607185744794	0.636208371765	0.593820593179	0.537436770506	0.590054580238	0.590751373329	0.542251451474	0.595450355335	0.52500913856	0.677710742291	0.707926421592	0.65838889185	0.640016163316	0.615047056642	0.641006508093	0.552901694282	0.719029800862	0.626097529577	0.621002816262	0.504795962751	0.588531080315	0.576580410319	0.627201229133	0.639777386895	0.629300096612	0.729581726163	0.580040693217	0.560109589017	0.599137235861	0.538166960613	0.61118113097	0.671184056966	0.636707580765	0.633361408376	0.603375731887	0.547531330759	0.594982373842	0.618768816598	0.583278020024	0.657075952023	0.598374728101	0.588164456462	0.58617873367	0.637324829799	0.605751111126	0.574548842647	0.580047655381	0.546261817268	0.599419129707	0.613600519959	0.67060279608	0.648939290177	0.621513505603	0.630248604458	0.695431066819	0.725491642361	0.606331817232	0.609087032537	0.608761770554	0.607886828944	0.552727707261	0.645721068462	0.580051611491	0.570646345599	0.581468719653	0.584915426236	0.583731001428	0.532812965387	0.544944644782	0.576842703735	0.620714815804	0.568449108598	0.564747483052	0.617764976604	0.552122433794	0.595433305392	0.628651453495	0.557231397878	0.635943629438	0.582438685312	0.55669897662	0.624642704299	0.506189469937	0.699967302814	0.578137668138	0.513315482969	0.679573870861	0.58973508173	0.58178344036	0.655532240541	0.617495768773	0.574479069201	0.680731290936	0.591565589511	0.671066856785	0.652586345451	0.67871682349	0.592879699084	0.620092662994	0.618092818983	0.599871321995	0.551838510233	0.559804321103	0.550751897113	0.63342829323	0.565944772857	0.667264504023	0.565847609479	0.658471314928	0.731983355928	0.678263972609	0.64703343959	0.654658086917	0.656570412381	0.600853030948	0.567802421553	0.567411934843	0.601447220875	0.616493049477	0.622861056716	0.562060484546	0.557799645702	0.613598554987	0.58739124702	0.676155512594	0.619741865047	0.639298637839	0.609548738056	0.595709683547	0.575352590903	0.629851934776	0.61153139791	0.587952878262	0.621363692134	0.677608949745	0.640178387137	0.645153645836	0.591350291833	0.623182806034	0.630449172428	0.618164385362	0.6572709713	0.642767336988	0.652626236112	0.667127010326	0.634055157073	0.694860168978	0.606239335417	0.581891073931	0.619989546161	0.576041876682	0.62431122188	0.680276534096	0.655555675514	0.593603403003
CS.174	0.597459378289	0.406615158896	0.433254519501	0.622261472653	0.516458072749	0.425440054009	0.589882095158	0.671563306137	0.606315437062	0	0.61677225617	0.623209014683	0.522582751747	0.557263606458	0.419307356441	0.643552744051	0.533627301415	0.61440696761	0.727411890766	0.61243626951	0.508724676719	0.61593989038	0.769260549117	0.720857940048	0.734548796092	0.506160862271	0.702524429737	0.665093187827	0.560579570954	0.771122665972	0.621255789944	0.669115601263	0.559756856733	0.474622455322	0.502940990295	0.50685441976	0.683614176905	0.65909608374	0.769830782438	0.567276548996	0.649746921392	0.731071357909	0.612988071089	0.660822677036	0.688377068182	0.659248922344	0.689187472504	0.614246441971	0.613798646868	0.63207764095	0.660739043599	0.646393509817	0.675719448812	0.582689748439	0.648522793972	0.62139209323	0.642383319786	0.622410202247	0.65619451293	0.658507250444	0.547807647205	0.536266555262	0.546153795471	0.722245723075	0.699889719244	0.501809563971	0.61745645432	0.682286541852	0.771951361816	0.519543636802	0.516286635127	0.573951167923	0.466827839096	0.448896640322	0.647572406667	0.455459857644	0.599524803776	0.478816256269	0.449649591096	0.556073309874	0.526608519077	0.546729045551	0.496778687213	0.483167672286	0.458114980599	0.446400900535	0.432564281788	0.45686469845	0.470691992644	0.452652494684	0.474297965092	0.54234331063	0.531452759724	0.496716893563	0.616494491122	0.566424983834	0.656226175621	0.690659303926	0.566213276528	0.704762520744	0.675040646667	0.560014394667	0.508427058311	0.557034615162	0.481633528854	0.655275511092	0.453381868126	0.700371922167	0.66854296549	0.623590762664	0.717338619463	0.591004374	0.582609574609	0.645790171699	0.596447294838	0.655320836733	0.612683843173	0.705399510825	0.662355980298	0.724766101604	0.629677210791	0.688717483347	0.801673774674	0.653449550088	0.686914339728	0.749794340802	0.636069201196	0.502421451112	0.683919005013	0.677391107818	0.592354293788	0.659892268786	0.649577510924	0.486823438706	0.673848653824	0.657983866145	0.633668147541	0.757943825926	0.659282936316	0.65768081003	0.656520993064	0.548137004201	0.595404894974	0.687562262187	0.484621522746	0.41584430248	0.501716738103	0.726746000636	0.534745748019	0.568423259307	0.423932135072	0.451117543559	0.530558024718	0.501842421242	0.546608175414	0.481272512473	0.65443684389	0.566044453233	0.490277608155	0.508626626581	0.424434679144	0.474453149089	0.527807631175	0.429306387983	0.419839325704	0.481900689123	0.421678636179	0.447612474918
