CS.002	CS.036	CS.019	CS.104	CS.091	CS.059	CS.017	CS.296	L.001.M1	L.008.M1	CS.086	CS.037	L.007.M1	CS.039	L.036.M1	CS.155	CS.371.1	CS.067	CS.366	CS.117	CS.305	CS.077	CS.367	CS.056	CS.327	CS.063	CS.058	CS.050	CS.153	CS.042	CS.128	CS.125	CS.232	CS.213	CS.376	CS.236	CS.126	CS.224	CS.302	CS.380	CS.378	CS.205	CS.203	CS.374	CS.282	CS.386	CS.147	CS.348	CS.214	CS.177	CS.166	CS.129	CS.268	CS.148	CS.372	CS.369	CS.182	CS.178	CS.323	CS.349	T.CS.067	T.CS.079	T.CS.025	T.CS.076	T.CS.012	T.CS.028	T.CS.080	T.CS.052	T.CS.001	T.CS.007	TFS.023	T.CS.057	T.CS.089	T.CS.016	T.CS.024	T.CS.159	T.CS.107	T.CS.122	T.CS.144	T.CS.106	T.CS.120	T.CS.126	T.CS.156	T.CS.124	T.CS.128	T.CS.129	T.CS.139	T.CS.132	T.CS.118	T.CS.114	CS.241	CS.006	CS.087	CS.356	CS.085	CS.082	CS.110	CS.246	L.024.M1	CS.103	CS.242	CS.237	CS.088	CS.015	CS.238	CS.151	CS.336	CS.330	CS.187	CS.233	CS.358	CS.363	CS.150	CS.207	CS.164	CS.308.0	CS.346	CS.189	CS.044	CS.347.0	CS.223	CS.319	CS.285	CS.158	CS.080	CS.227	CS.194	CS.318	CS.152	CS.320	CS.202	CS.331	CS.361	CS.112	CS.343	CS.262	CS.326	CS.393	CS.390	CS.255	CS.270	CS.253	CS.145	CS.370	T.CS.043	TFS.022	T.CS.026	T.CS.061	T.CS.008	T.CS.064	TFS.027	T.CS.066	T.CS.049	T.CS.055	TFS.025	T.CS.045	T.CS.036	T.CS.031	TFS.021	T.CS.095	T.CS.141	T.CS.158	T.CS.152	T.CS.109	T.CS.166	T.CS.157	T.CS.151	T.CS.142
CS.002	0	0.557807763627	0.546409454574	0.541882534634	0.637564801209	0.594740617804	0.565846025259	0.60935290077	0.562905274719	0.649063815941	0.559608822611	0.6116018043	0.658778819324	0.533794083887	0.593520600551	0.616999018768	0.641624774497	0.67675287401	0.702011786461	0.543754202936	0.613929686441	0.595342363259	0.71073820709	0.594003578209	0.624672563973	0.60046926467	0.541892882678	0.597087623626	0.518270044633	0.616920430215	0.587967992893	0.645011148731	0.528161440537	0.623215631076	0.638443965427	0.601158777781	0.597019873426	0.727870456301	0.722092693838	0.622422281919	0.653121324605	0.705665213974	0.621352394916	0.647874842138	0.648965770303	0.663280897818	0.643536248104	0.603822274213	0.638666607789	0.667717057486	0.612230742465	0.581788581239	0.578060427261	0.595539913685	0.593534434549	0.657017674837	0.589028554386	0.614545221616	0.619650916204	0.608468339246	0.635134341552	0.679943188747	0.636531320095	0.622662416277	0.730932497604	0.61482399697	0.659293220362	0.627228926927	0.681276500759	0.677351227823	0.673552527727	0.708207348715	0.619423751403	0.619826867355	0.603021195148	0.620517918394	0.637749911935	0.620814921781	0.60963653995	0.653386130347	0.611359555386	0.60010093532	0.639668071633	0.589786042478	0.590906707831	0.638368994648	0.636830546119	0.640243272483	0.611666371902	0.602143885553	0.591141933146	0.581377398972	0.623138484401	0.712012447067	0.504923497184	0.549525353994	0.566082384732	0.570775162882	0.669808094136	0.532246825488	0.595850220489	0.549684550355	0.673119645485	0.622822976329	0.579576238892	0.593992530081	0.617166514879	0.626391727431	0.618594991981	0.555030269042	0.732752362375	0.616171881255	0.561293239314	0.64617744221	0.610484260901	0.632709699677	0.695866434256	0.640073309681	0.580657617912	0.647992317241	0.617857735285	0.633312030066	0.666838711827	0.542323342106	0.554946905397	0.74497165279	0.722115966978	0.630935443127	0.589188837521	0.592041344858	0.6707838287	0.548922731315	0.657582279953	0.53746100743	0.656114242067	0.661815994858	0.637427156468	0.611944070507	0.598180692888	0.604550083115	0.624162794255	0.694409050447	0.625993811116	0.605682861714	0.61607241442	0.629540583368	0.71669450696	0.619514177583	0.66965463631	0.611312029274	0.641819424945	0.639701328873	0.662589599593	0.604686385495	0.665823532979	0.637087048222	0.564393601562	0.609607400625	0.65580091013	0.632551417734	0.653264828193	0.640995276117	0.619531234336	0.623842209927	0.61991504957	0.636414773522	0.646214848989	0.678370926429
CS.036	0.557807763627	0	0.594722708305	0.55351726902	0.626432443262	0.594602844699	0.63946004405	0.624274360817	0.622236183096	0.640171095615	0.617462997826	0.570763752641	0.70432541844	0.604518715749	0.638747101848	0.560185270864	0.666722996912	0.672571022539	0.672965016446	0.59291068491	0.629142580613	0.575879253144	0.685699229652	0.56869222837	0.660405423213	0.549248755776	0.538966698355	0.6519256674	0.558709450687	0.607257872083	0.594675481344	0.62248574505	0.567272697514	0.629041691519	0.583726390107	0.579883838562	0.615997640292	0.717081899592	0.677441127908	0.610765517917	0.66614635508	0.659595168266	0.630659168994	0.637911534202	0.631929924261	0.678998141673	0.633989118478	0.581267772383	0.628077908846	0.684114111759	0.641438642448	0.627636566035	0.604256286281	0.6631213016	0.583988982424	0.647724530175	0.581110895801	0.625654982553	0.590115011143	0.590221591554	0.646937715575	0.645352258329	0.609067373465	0.588225725427	0.718511734107	0.601336051619	0.659180776901	0.563254979349	0.671340821595	0.652520722642	0.662634434267	0.704455219242	0.610963442677	0.609970237747	0.595546572533	0.678780557922	0.657067898521	0.618337094953	0.664575226731	0.698989984581	0.651611280356	0.628508967136	0.665697508947	0.630734844914	0.592785957627	0.663843271489	0.675457725797	0.663436371898	0.594276713794	0.657895276793	0.635942042509	0.622482868931	0.631054653072	0.695331297418	0.581816478735	0.596091529265	0.634454888321	0.619450855883	0.713385385953	0.582193426356	0.637470912249	0.573358657682	0.669745394007	0.668884667354	0.609480027921	0.59430364472	0.617005478267	0.621095919804	0.60891199261	0.625895520157	0.712301260024	0.603336744759	0.61643011106	0.650345753383	0.647323251901	0.622826138626	0.634642317576	0.654696506819	0.598152143305	0.649397574855	0.61752254483	0.592265113754	0.610378542394	0.561005041347	0.587539530404	0.714978669488	0.740961742896	0.611130152835	0.582662123707	0.613997840334	0.676611536278	0.587026015838	0.647365406761	0.585643942317	0.630101394628	0.673391743271	0.652154925794	0.633933990882	0.618307513568	0.606425432986	0.655004360139	0.699344574367	0.631335747195	0.592973934784	0.63431045364	0.65455553436	0.707653452771	0.61462897813	0.675627947096	0.633179844685	0.643174653512	0.661149588099	0.657142935356	0.632258745453	0.642104640632	0.642682477489	0.61504651329	0.651183142323	0.668720093608	0.691921512268	0.713249726807	0.641516226962	0.629438665578	0.670376133348	0.63503686472	0.685806212831	0.695597517924	0.70289911201
CS.019	0.546409454574	0.594722708305	0	0.506621681573	0.652853496906	0.525482551758	0.529978519795	0.517015777509	0.604707766109	0.651108684527	0.526930721243	0.631533654287	0.54688548594	0.551769336475	0.539692740059	0.576795428911	0.579726186264	0.7258242198	0.688963451222	0.550828603757	0.519401076028	0.540795230917	0.704612179752	0.624534594632	0.583913002448	0.641847786951	0.581810579073	0.636654158175	0.550200714144	0.565346938859	0.558340495228	0.624229417227	0.560698537932	0.648284775743	0.622621867051	0.655627878915	0.538408620813	0.73758629409	0.694883075206	0.527708415614	0.671629680456	0.681576136246	0.508095834608	0.6311921865	0.659407357316	0.682898422096	0.635693635669	0.627606690368	0.628048608948	0.653075747613	0.663900503698	0.594786419393	0.642516200606	0.675402041392	0.627664414334	0.714343191545	0.594311639273	0.574115143506	0.625662808847	0.621254737354	0.537229722873	0.644807848582	0.541955631047	0.584742396504	0.658456961499	0.529273300074	0.57463390191	0.629404834902	0.694032642024	0.630838451596	0.563487411801	0.66924377231	0.572815282888	0.559882627427	0.55373772959	0.610593498619	0.501360102114	0.525402056698	0.540659620973	0.56564371654	0.489657672433	0.517248052854	0.50939780176	0.554158797891	0.591881551526	0.557452258358	0.564365644713	0.59241599235	0.573137613253	0.586976971429	0.525681999336	0.508015395131	0.559447018864	0.674343880596	0.558069176768	0.575465845119	0.611709229843	0.522954754439	0.554797162494	0.554936010678	0.525409849156	0.610598092493	0.595124258312	0.565751176174	0.53107264243	0.583478287374	0.599170929705	0.620035463104	0.592258225875	0.605667621201	0.719658590327	0.631189744411	0.601172465132	0.670536187381	0.676772006514	0.636828634336	0.718124735001	0.650595563934	0.523628037752	0.651213589952	0.633202927314	0.633340175294	0.68418758291	0.606547228358	0.554890016642	0.738646081871	0.727121730672	0.635396963168	0.533061041115	0.587708777339	0.635216317998	0.58850458855	0.624075885426	0.584372968623	0.616485712307	0.651505965019	0.63348189029	0.651328826263	0.632897313542	0.601993637432	0.65177387175	0.732808055917	0.526043946432	0.616667846911	0.538948386397	0.540747971458	0.696156450474	0.565681226364	0.575007550343	0.513299369971	0.516024132792	0.538799573187	0.63208914031	0.545340708308	0.550633117515	0.544950546548	0.558785927662	0.532485887945	0.57583481917	0.570124114215	0.562244927263	0.520318784681	0.53395252758	0.550048047669	0.526337861131	0.550767853938	0.528183227511	0.570157730529
CS.104	0.541882534634	0.55351726902	0.506621681573	0	0.598029753227	0.545474243004	0.558521264299	0.533803074723	0.57707501261	0.632314289851	0.540708192593	0.641860700631	0.5835314258	0.563674679688	0.577189015056	0.570436036956	0.590848022377	0.697732951043	0.674526448357	0.535084869012	0.524564486966	0.509958496698	0.702079429582	0.625861815716	0.568103315446	0.619935898372	0.553682628371	0.631737347299	0.518860841476	0.575843484709	0.536969229524	0.614296060449	0.540166800314	0.651198266375	0.604793507429	0.619315323724	0.534794219745	0.729451726192	0.690383114291	0.53733755415	0.653514594952	0.662737856514	0.533854423721	0.619643560331	0.640699516128	0.682645818609	0.626867390732	0.591308122865	0.606117758215	0.656798362649	0.659665713556	0.588491391829	0.619770942561	0.646039279783	0.607561542662	0.704303854667	0.591763468241	0.577282873479	0.601399267084	0.602797307168	0.545250266757	0.650690971457	0.547216792954	0.584101440423	0.672590263902	0.554998900383	0.619656588461	0.612392123226	0.67109630597	0.620513796256	0.565653156303	0.668141522262	0.578944814187	0.565240993905	0.532546327461	0.616467049102	0.543713124467	0.529545914351	0.552582309225	0.582626040898	0.545990982553	0.523875855306	0.533359726343	0.559788395538	0.590948071199	0.595755419397	0.574193838661	0.602423822896	0.5866918384	0.599075321305	0.523528787625	0.511456600884	0.538232398926	0.647033262825	0.523258399037	0.536394659477	0.589614623974	0.542225308562	0.575109997849	0.534515225628	0.535499214573	0.585713038944	0.592113394636	0.558776782218	0.518924241855	0.566780133751	0.586129668772	0.615911886785	0.591700278953	0.571618197333	0.725613922649	0.617333641405	0.572933293278	0.650852967738	0.67596558901	0.611035628961	0.674442393708	0.624700981577	0.50152399846	0.63331731047	0.622977153599	0.605091491961	0.63602198442	0.571482883887	0.534249890106	0.728552164422	0.723154900087	0.614827097757	0.520785684392	0.57227713251	0.636822426172	0.565848693874	0.615654757827	0.575076773746	0.628950086549	0.639063534905	0.61116830764	0.606200688848	0.601408479458	0.589918219432	0.634022430258	0.706087460489	0.553479008705	0.610444092809	0.548950426477	0.547024486173	0.699852243296	0.562418081519	0.600180740071	0.527451867293	0.543798436209	0.558874619904	0.635700398837	0.539242227706	0.564662769002	0.566031329661	0.564652055616	0.562909051102	0.573425063043	0.587214978246	0.575343796878	0.532025591414	0.526553287032	0.556559580248	0.541180998539	0.567445680912	0.572793305878	0.578241396669
CS.091	0.637564801209	0.626432443262	0.652853496906	0.598029753227	0	0.653354661052	0.673321114691	0.679367573278	0.673977362226	0.615502873859	0.670424817223	0.648831706537	0.689184459344	0.64803690025	0.673679639508	0.625195119403	0.641736310701	0.634717989028	0.609434753131	0.643270203066	0.671403533006	0.585320803476	0.628851643452	0.593519869272	0.683835289017	0.617468423774	0.573035332322	0.647294622526	0.617860921368	0.629046171138	0.60204215205	0.599348945718	0.615556587281	0.592164775654	0.575236441227	0.653057113892	0.60254005793	0.657047273827	0.624189956138	0.649368997943	0.633935496544	0.599934234823	0.65398002027	0.590344513873	0.602440802764	0.633642899238	0.573978393442	0.617058050893	0.584976202141	0.585747745273	0.616915953548	0.621799753081	0.602979199517	0.607796997719	0.576248226142	0.622624559083	0.583622127646	0.633870978415	0.566864684007	0.577915825452	0.650269319525	0.607088003003	0.631260264988	0.630813532579	0.668253323106	0.644414537996	0.626868722248	0.635389310136	0.640260650651	0.645673138317	0.648326974638	0.646425469291	0.649197759956	0.622458400568	0.642576850072	0.697685181822	0.683781139594	0.648350252854	0.679360183706	0.706720582659	0.643928442945	0.651683695052	0.666203527521	0.668473695086	0.62319492326	0.668908401379	0.702526134985	0.687475818675	0.611236961222	0.680189176551	0.668482059076	0.636858825948	0.653690740445	0.653374104747	0.616654416442	0.629815818598	0.60117876755	0.648002494769	0.691066357893	0.625760274416	0.65986153589	0.591414254023	0.706770624454	0.68731094086	0.630638573349	0.646170152743	0.612329709453	0.575300725787	0.591838672523	0.641427764585	0.655758409455	0.593409827968	0.590744136999	0.612086027328	0.678063421476	0.612517757843	0.657847978458	0.606934913991	0.632935729403	0.595287544756	0.575314251163	0.56948650895	0.614585299153	0.608201042985	0.584395620989	0.636678209721	0.664982165957	0.588031831924	0.62545218816	0.589657111457	0.653960598354	0.59333009622	0.620209294098	0.622108829513	0.567247007776	0.607573052032	0.584358624469	0.647181607244	0.562146185704	0.579821166252	0.579021189982	0.644860979719	0.622386889263	0.615450615685	0.671588652849	0.674664145966	0.665394560387	0.650939940153	0.660878115565	0.651786832661	0.677966531408	0.680388415063	0.635305462393	0.662373043497	0.638798046486	0.661896879901	0.65629291823	0.65924844437	0.659618910879	0.702469643689	0.707000162821	0.657891174495	0.650348332491	0.672990442325	0.646999934028	0.675727722662	0.683121461201	0.695690330518
CS.059	0.594740617804	0.594602844699	0.525482551758	0.545474243004	0.653354661052	0	0.588257943427	0.530011107201	0.553575903601	0.67672343637	0.55592188472	0.637241906342	0.553333326663	0.589207001372	0.536788224273	0.524323214375	0.601556381933	0.728556628976	0.70862753977	0.564045187428	0.532921547813	0.561953809965	0.727959223474	0.666135311625	0.592882758685	0.680645392587	0.593497646749	0.656434897397	0.574471551887	0.59131133256	0.572651544857	0.644097621319	0.5284020539	0.665160990297	0.643968645144	0.673941669486	0.512427333946	0.762361002302	0.703566971259	0.529057161288	0.689326524847	0.69595500564	0.561697409661	0.628493573134	0.685856399774	0.692267726204	0.644885668862	0.594023631552	0.630209420931	0.661872707331	0.65535170189	0.599875445983	0.661242580445	0.665822154865	0.614034609298	0.711289355814	0.551525284306	0.576885990475	0.612370472843	0.608603159493	0.53605748402	0.661618648336	0.534043122117	0.54611960176	0.660815903446	0.546068008333	0.597450778131	0.596117909297	0.676118729573	0.631447936856	0.57178879204	0.664767244879	0.572927104224	0.550125143429	0.551714417692	0.585362452548	0.515065721753	0.518388844562	0.54103576111	0.559026295401	0.553083295998	0.530277560534	0.540973931894	0.54236192951	0.561521635114	0.535159567403	0.557327745741	0.548388222585	0.538998001108	0.584683586784	0.516263265039	0.569877140586	0.635012887685	0.696759417007	0.530002999271	0.550280737438	0.626909409802	0.561438881177	0.603961831598	0.566943748936	0.521450460472	0.629059462031	0.654375962989	0.602466937235	0.567384857861	0.578872129676	0.579409069019	0.624097462689	0.612065499484	0.572682309297	0.749532196714	0.637048550173	0.586119900932	0.680835352439	0.719780992085	0.660826980607	0.748944951663	0.643284905387	0.540484183727	0.662961102686	0.633919255061	0.655489489214	0.701856700113	0.628278934588	0.575371028173	0.776279207402	0.740649872937	0.639796679328	0.51168339587	0.577422316515	0.647703533769	0.556242656377	0.653906274611	0.611985549693	0.656033203139	0.639948942412	0.633073825766	0.654172991431	0.639936114628	0.601398546993	0.63662039723	0.729270093909	0.569725976281	0.629577172251	0.567050171211	0.512940270048	0.691061615333	0.58440323999	0.58162999008	0.528335765543	0.529047311878	0.543034730956	0.641903318051	0.576174634048	0.576166613791	0.554453875112	0.557046336626	0.526842567857	0.568506711395	0.54658154376	0.59043684735	0.514870300375	0.50965036615	0.538357512789	0.541873259673	0.583598930259	0.562676589795	0.593705313432
CS.017	0.565846025259	0.63946004405	0.529978519795	0.558521264299	0.673321114691	0.588257943427	0	0.581202404032	0.598964373308	0.662833772577	0.546551631454	0.61691615033	0.560294875764	0.442619063247	0.549750236278	0.635844266913	0.622072032087	0.736637012365	0.720480257764	0.572649506087	0.592920016077	0.560711190023	0.740258655223	0.647200051178	0.60143834945	0.672533630778	0.615821240132	0.651055506572	0.589610218181	0.635267249636	0.621781504558	0.697719758912	0.601261327705	0.667324729668	0.678211234635	0.658846170682	0.616688159801	0.747324431172	0.722477341979	0.60753043162	0.679278419909	0.706554622154	0.556617545876	0.664223398401	0.698515197329	0.711584821749	0.684138392878	0.644520790178	0.666766157525	0.701796249829	0.695507232658	0.618640819644	0.688385507463	0.695893617351	0.663404901101	0.730640882304	0.646849261636	0.657107098251	0.669255165928	0.66574605727	0.620361654901	0.688563923777	0.622564518377	0.642983953431	0.713638646447	0.586393977998	0.654852801863	0.691140312724	0.696740590801	0.681289137407	0.663791522036	0.723671779755	0.595191526629	0.599868674718	0.584427940735	0.611211616788	0.576121477094	0.598218532155	0.561086630669	0.585065377454	0.572572417362	0.60522534606	0.582428812103	0.567100525598	0.627807633178	0.594120546479	0.592288749253	0.633735863469	0.613598816377	0.589356717947	0.527692841086	0.549883311659	0.586749348162	0.692809305267	0.564123531781	0.598148545343	0.619765786787	0.604361680555	0.607980277866	0.563194579104	0.585040179589	0.635249239923	0.622786952726	0.519716555685	0.566945118105	0.634989612571	0.663292933897	0.663563404456	0.655830900626	0.594617734977	0.755791890969	0.674484226736	0.614972628856	0.691877260437	0.692954228618	0.67716789316	0.737552622355	0.671555972976	0.536008057993	0.684751849787	0.690800986053	0.66188808918	0.720722839622	0.615457128658	0.607744974441	0.766260678054	0.740201270532	0.662216743628	0.58874103118	0.627000515986	0.675926317296	0.617215002737	0.657588347411	0.60934894568	0.671459651272	0.648155543064	0.668096661141	0.649032395829	0.678471048035	0.641863662453	0.676835048396	0.741795861636	0.62154530346	0.649764726646	0.600419660955	0.602182699356	0.726174287275	0.62864266103	0.623557435708	0.569949757736	0.578562893219	0.570281200017	0.663277449773	0.565728936659	0.629441812964	0.578542765812	0.585365020391	0.571661614606	0.63281555338	0.56649420418	0.570805381951	0.593350573708	0.599583664275	0.570271771389	0.610119176748	0.576595259544	0.57432779352	0.597032296264
CS.296	0.60935290077	0.624274360817	0.517015777509	0.533803074723	0.679367573278	0.530011107201	0.581202404032	0	0.562977843309	0.664942345707	0.537185009355	0.684406508861	0.462713471223	0.612791928005	0.502437951309	0.568085230826	0.585658434283	0.759424359694	0.719111225551	0.597134232806	0.439363705799	0.575658659854	0.742697170516	0.692382088377	0.600587148274	0.693522965814	0.607225822881	0.682071316371	0.591811684903	0.6488171621	0.571669052826	0.649749492039	0.551060992625	0.693319628628	0.654750475852	0.711227821402	0.51342417439	0.765736604442	0.736378614684	0.509238528948	0.697974136534	0.673695745352	0.490109531602	0.664233327853	0.671792501355	0.709236626876	0.670851462792	0.606099045138	0.625953205621	0.682351011111	0.693561176088	0.60693829903	0.68716050226	0.696192870551	0.649202558137	0.745557608691	0.605471260599	0.590014667499	0.618534591585	0.632881655005	0.483820180353	0.676789743883	0.518187940114	0.545004081135	0.669180883976	0.549237055321	0.610247846666	0.638337573506	0.718522520213	0.644234851259	0.559333049871	0.715467539287	0.556255741475	0.547082883209	0.544462221336	0.553623023123	0.410682479677	0.443902463257	0.476038965852	0.469999194504	0.482106186647	0.453672254686	0.462722515768	0.511212632788	0.527317075578	0.476250756416	0.456413006329	0.501625290222	0.57210194188	0.561891513602	0.511253722515	0.520848834931	0.569237763831	0.694165211837	0.542420985626	0.538516492385	0.657334927487	0.47684663343	0.514899931657	0.560478331429	0.459691916018	0.660838834232	0.622391765307	0.576441196669	0.55795221932	0.562837226481	0.586429521356	0.649369965026	0.618622723184	0.613383390798	0.761303393192	0.676916649349	0.582281853834	0.679901010579	0.736936616751	0.693671564447	0.746941458633	0.657159723295	0.53947905992	0.696057907843	0.648413760957	0.640474101076	0.733814162604	0.654982459724	0.619092269764	0.788314719437	0.756470381823	0.654349625736	0.490172011875	0.625586021246	0.646584973022	0.579024701122	0.654640162011	0.658603161491	0.658829828524	0.680865386512	0.639898739843	0.662499677341	0.668885626766	0.600710863075	0.666896359237	0.74383138195	0.541797246809	0.655965044676	0.477488677948	0.440842645949	0.732690309398	0.549887856155	0.582311183618	0.513756468495	0.496931035029	0.48125218332	0.641829017862	0.525201151606	0.550133922006	0.551957523352	0.543634603957	0.534044337931	0.563486695986	0.470102819312	0.533918385724	0.421449840699	0.494237131917	0.441723834931	0.453349418014	0.517359640827	0.471241125226	0.51677789434
L.001.M1	0.562905274719	0.622236183096	0.604707766109	0.57707501261	0.673977362226	0.553575903601	0.598964373308	0.562977843309	0	0.661160222307	0.531194012807	0.664899947218	0.59519049569	0.602450957752	0.568104305113	0.591845377509	0.647713410833	0.73632704827	0.724203241647	0.566927311544	0.553805430578	0.589180777173	0.735340318769	0.680619897155	0.609683838427	0.651330699125	0.585410337213	0.631621089186	0.550322685036	0.650266484152	0.623262286791	0.674023452252	0.544775225116	0.693895290837	0.670727978769	0.648849286425	0.58534919516	0.775295119672	0.740557986723	0.568072988554	0.658037549506	0.727744139296	0.587038440064	0.660939171832	0.692350143051	0.692876118701	0.69210209431	0.61053251134	0.683448605071	0.691014450357	0.67375132527	0.603158351577	0.644374323124	0.673505448084	0.664871236273	0.711287149179	0.613699777935	0.590020555672	0.657975131905	0.629254031008	0.572412157958	0.693764444963	0.57039264369	0.577591281657	0.711372455112	0.614060707123	0.653366890065	0.620232088176	0.695793933481	0.686104717604	0.639780648403	0.720234561567	0.600029659415	0.586175831798	0.585879587837	0.527090969166	0.576219102747	0.574548963408	0.59142691884	0.58319603539	0.602697798496	0.567259294841	0.57937209866	0.503938976978	0.559367097218	0.585152825478	0.572303878399	0.573635256822	0.597584997487	0.531709743156	0.605593563603	0.593881515155	0.621401851026	0.711752532283	0.52084851022	0.532562433426	0.62384332867	0.550884137829	0.618568900937	0.562166974944	0.53354295873	0.634837241272	0.689629663299	0.618992973152	0.595915393342	0.604123164722	0.614914292695	0.659470906115	0.644620792205	0.570041910648	0.768012163794	0.648898051517	0.571477958814	0.678663242788	0.691187746003	0.667278020586	0.749291649396	0.631833017493	0.57708300089	0.698737926064	0.665172590416	0.69013396361	0.728170850353	0.601868770485	0.620862936475	0.796572635457	0.751941519834	0.667758493996	0.56882468228	0.619548115303	0.646991341443	0.581509345828	0.685457018756	0.611083808143	0.696941969939	0.681622414666	0.624858333167	0.650368906401	0.665326649783	0.608917291121	0.663200343147	0.693526335938	0.631978897485	0.663127984644	0.595403697364	0.561507829211	0.695850256277	0.632585997283	0.634672491922	0.582714582268	0.597643568172	0.578663832347	0.658213717343	0.602948114375	0.645560539223	0.604014592326	0.531063606562	0.593661989089	0.630617795989	0.574499206362	0.612368927687	0.573155563955	0.566536613092	0.578170085755	0.589199915581	0.592583274391	0.605413279214	0.63109955491
L.008.M1	0.649063815941	0.640171095615	0.651108684527	0.632314289851	0.615502873859	0.67672343637	0.662833772577	0.664942345707	0.661160222307	0	0.672430949951	0.5950902409	0.651612770396	0.640879516093	0.641801240575	0.582071668787	0.604330688249	0.641007001848	0.57323716166	0.639201628002	0.655684888847	0.628257902168	0.619090827071	0.611557245481	0.644846820808	0.653829533965	0.610130257951	0.657664644759	0.657775283832	0.628940799148	0.622719339351	0.551915954246	0.645000802593	0.55984756321	0.569605284867	0.687543516867	0.616701998963	0.620704510759	0.642064406068	0.630723296672	0.652918958652	0.570435984341	0.650113486891	0.602446646202	0.569179921925	0.616783456589	0.554508453971	0.607634834239	0.64014779235	0.601066107341	0.633432704616	0.604424211844	0.639320428904	0.599907759035	0.586014842902	0.666565747061	0.575817550027	0.665741369557	0.593163239928	0.595297912668	0.607563407954	0.557688504677	0.605648519747	0.587211850274	0.6834161537	0.60826314156	0.613745673074	0.618923528346	0.596518949042	0.574314892649	0.616351836647	0.630050632831	0.598604663208	0.636298318802	0.612633428291	0.704938107354	0.664973531293	0.640389302925	0.66307806395	0.692695169227	0.616400256057	0.620761172426	0.660118589365	0.660655696107	0.639368548402	0.698134173062	0.65376943426	0.693045757814	0.558585537163	0.673758561708	0.683103985407	0.620914754852	0.624256157849	0.635371674069	0.628212181565	0.674547653145	0.605548065154	0.633592434403	0.659590838507	0.653935625409	0.639483916587	0.59401932232	0.675500667346	0.681121030704	0.610344824463	0.620324396441	0.622771025063	0.559898138806	0.575960882783	0.683108079353	0.641402810412	0.561494516114	0.595523095931	0.597047652578	0.668422082182	0.622409127054	0.593524030993	0.634373660878	0.626070592171	0.576876040327	0.573080763939	0.54170612209	0.627748272678	0.584721170166	0.606420742749	0.674702477709	0.586087776646	0.52328665386	0.63963945218	0.569047220053	0.666132628528	0.616633111053	0.626096011145	0.620425494282	0.550296829783	0.575918761215	0.563734161097	0.666128488592	0.57015702913	0.568641820512	0.609594129297	0.674463824301	0.613032148233	0.59602506446	0.649078695133	0.686739072696	0.641437588633	0.590886240773	0.613012490204	0.627072731845	0.63820255084	0.669964635643	0.515975162519	0.638151975099	0.562940532627	0.643629106129	0.672947650971	0.634821376362	0.637467875783	0.68509711587	0.656500318663	0.654103500472	0.653931913622	0.671303557009	0.654006511818	0.637566773588	0.636603259274	0.617338112529
