CS.104	L.012.M1	CS.017	CS.101	CS.022	CS.261	CS.265	CS.002	L.001.M1	CS.091	CS.108	CS.259	CS.001	CS.281	CS.098	CS.334	CS.076	CS.066	CS.230	CS.065	CS.161	CS.367	CS.067	CS.154	CS.137	CS.050	CS.155	CS.072	CS.360	CS.073	CS.136	CS.126	CS.375	CS.374	CS.378	CS.380	CS.205	CS.224	CS.125	CS.302	CS.203	CS.128	CS.041	CS.376	CS.232	CS.183	CS.348	CS.395	CS.386	CS.323	CS.177	CS.147	CS.129	CS.268	CS.385	CS.148	CS.389	CS.181	CS.178	CS.256	T.CS.046	T.CS.059	T.CS.058	T.CS.050	T.CS.040	T.CS.035	T.CS.082	T.CS.004	T.CS.072	T.CS.024	T.CS.001	T.CS.056	T.CS.025	T.CS.067	T.CS.048	T.CS.117	T.CS.134	T.CS.124	T.CS.105	T.CS.097	T.CS.120	T.CS.106	T.CS.116	T.CS.121	T.CS.132	T.CS.112	T.CS.091	T.CS.098	T.CS.147	T.CS.110	CS.238	CS.356	CS.088	CS.242	CS.085	CS.015	CS.237	CS.241	CS.087	CS.246	CS.082	CS.006	L.024.M1	CS.110	L.034.M1	CS.364	CS.207	CS.358	CS.151	CS.336	CS.150	CS.304	CS.363	CS.189	CS.346	CS.234	CS.345.0	CS.187	CS.228	CS.330	CS.321	CS.331	CS.339	CS.158	CS.285	CS.223	CS.227	CS.194	CS.112	CS.152	CS.343	CS.320	CS.080	CS.361	CS.202	CS.253	CS.255	CS.270	CS.370	CS.262	CS.393	CS.390	CS.145	CS.326	T.CS.026	T.CS.064	T.CS.008	T.CS.061	TFS.021	TFS.020	TFS.027	T.CS.031	TFS.022	T.CS.036	T.CS.055	T.CS.045	T.CS.043	T.CS.049	T.CS.066	T.CS.151	T.CS.141	T.CS.152	T.CS.166	T.CS.142	T.CS.095	T.CS.109	T.CS.157	T.CS.158
CS.104	0	0.579704817141	0.558521264299	0.528246671864	0.554136854994	0.52734934099	0.611861516411	0.541882534634	0.57707501261	0.598029753227	0.579524170728	0.540233130062	0.560978325139	0.52881589736	0.560203288264	0.653403276738	0.56519670559	0.554282036027	0.6452527748	0.551775688418	0.5955114371	0.702079429582	0.697732951043	0.718094342092	0.545985503747	0.631737347299	0.570436036956	0.524937579405	0.597812439566	0.601528348002	0.546277378539	0.534794219745	0.565062115136	0.619643560331	0.653514594952	0.53733755415	0.662737856514	0.729451726192	0.614296060449	0.690383114291	0.533854423721	0.536969229524	0.607712261333	0.604793507429	0.540166800314	0.690233997907	0.591308122865	0.628152761991	0.682645818609	0.601399267084	0.656798362649	0.626867390732	0.588491391829	0.619770942561	0.611095504164	0.646039279783	0.608055447628	0.602492942391	0.577282873479	0.625712606154	0.566065786571	0.592608725974	0.560663173794	0.581994862781	0.521949238319	0.54461703484	0.546476077159	0.568393056125	0.534391323679	0.532546327461	0.67109630597	0.609685810186	0.547216792954	0.545250266757	0.547912763592	0.545511232088	0.591781351672	0.559788395538	0.612928546721	0.570007039265	0.545990982553	0.582626040898	0.563532429658	0.558143127305	0.602423822896	0.529480626181	0.55831746729	0.571854735958	0.571557724616	0.554040655367	0.518924241855	0.647033262825	0.592113394636	0.535499214573	0.523258399037	0.558776782218	0.585713038944	0.523528787625	0.538232398926	0.542225308562	0.536394659477	0.511456600884	0.575109997849	0.589614623974	0.555768990376	0.667543636592	0.650852967738	0.725613922649	0.566780133751	0.586129668772	0.572933293278	0.666446858384	0.617333641405	0.624700981577	0.674442393708	0.65166358171	0.691204738221	0.591700278953	0.54910047932	0.615911886785	0.511641097573	0.565848693874	0.609383904107	0.571482883887	0.63602198442	0.622977153599	0.728552164422	0.723154900087	0.575076773746	0.520785684392	0.628950086549	0.57227713251	0.534249890106	0.615654757827	0.636822426172	0.706087460489	0.589918219432	0.634022430258	0.610444092809	0.639063534905	0.606200688848	0.601408479458	0.553479008705	0.61116830764	0.699852243296	0.527451867293	0.600180740071	0.562418081519	0.573425063043	0.551256972999	0.543798436209	0.562909051102	0.547024486173	0.564652055616	0.539242227706	0.566031329661	0.548950426477	0.635700398837	0.558874619904	0.572793305878	0.575343796878	0.526553287032	0.541180998539	0.578241396669	0.587214978246	0.556559580248	0.567445680912	0.532025591414
L.012.M1	0.579704817141	0	0.565802189073	0.546008250681	0.626768891873	0.511713935087	0.55460027366	0.622916954622	0.57462813063	0.686920698747	0.61134751943	0.510201105509	0.566769792694	0.547297528787	0.522148629338	0.70596556782	0.678399052864	0.595659662848	0.705578360957	0.632526370756	0.691101434672	0.764965039628	0.744170651088	0.779365922557	0.564282780754	0.676196020088	0.555489731941	0.552929707782	0.623080333362	0.662555624914	0.647370139801	0.567923830373	0.647230063727	0.68712316321	0.708666244291	0.54181943658	0.715071532924	0.756203149985	0.672771753537	0.730883906043	0.552428890958	0.630736770805	0.669456719364	0.657953432205	0.604515817185	0.745628614858	0.61295453849	0.673333550888	0.724605902946	0.670855328766	0.704461534636	0.677666807978	0.638974595769	0.706124296621	0.685594781499	0.713551846023	0.679274289881	0.652076936578	0.606615248205	0.676477553977	0.632550826484	0.619203560454	0.588654580277	0.619964094489	0.552167390955	0.577814990984	0.579405122503	0.569131299035	0.558866851917	0.565360052694	0.698265911458	0.641649776241	0.558372931347	0.554491317831	0.554649798113	0.565906783796	0.57341854237	0.54913468356	0.601249009517	0.534261957103	0.550533287473	0.509279374306	0.606637444341	0.565830738571	0.541053151714	0.554084676604	0.516950704242	0.519519202504	0.503682342489	0.503405252607	0.600803146745	0.702075729715	0.662423900481	0.535210368912	0.566733335716	0.591318282757	0.662529500504	0.531999760615	0.626447567036	0.578213017108	0.584452547823	0.562688258187	0.576925594436	0.661426972393	0.5711603283	0.736024460517	0.701214264402	0.756363772232	0.619486105159	0.625578687227	0.599442154892	0.724576623462	0.664476517415	0.648257579449	0.753928814788	0.695906684322	0.772388736566	0.646401459575	0.627983776872	0.665844873059	0.568662640382	0.590631271668	0.667627203055	0.658112663565	0.733409833133	0.674926194589	0.786153906739	0.75347123477	0.665155020735	0.575868874654	0.675451711835	0.603796692243	0.624252231056	0.686198596859	0.676250718527	0.754244178332	0.629699354037	0.692684273835	0.66963516151	0.673656058681	0.692391600978	0.675817036163	0.607534140738	0.645003423525	0.70596108325	0.546158062523	0.587063332828	0.581799400258	0.565796978908	0.506931719812	0.522296923685	0.567434852243	0.530086299451	0.577344652553	0.551538130633	0.569333674914	0.562389534488	0.628720874688	0.547828598156	0.552224429848	0.548892525272	0.554724537571	0.580914757916	0.5581884894	0.508880045579	0.515976392039	0.546844535029	0.553558593829
CS.017	0.558521264299	0.565802189073	0	0.526162816245	0.614451820094	0.558786984176	0.622892961621	0.565846025259	0.598964373308	0.673321114691	0.601317793571	0.562955199547	0.590531398607	0.595894416907	0.527114184494	0.687137645118	0.654215317485	0.539872448776	0.716384534523	0.613376845257	0.671759867145	0.740258655223	0.736637012365	0.735297748279	0.615219909218	0.651055506572	0.635844266913	0.581550575019	0.640847647537	0.603530915493	0.626154189295	0.616688159801	0.629816947481	0.664223398401	0.679278419909	0.60753043162	0.706554622154	0.747324431172	0.697719758912	0.722477341979	0.556617545876	0.621781504558	0.638533562216	0.678211234635	0.601261327705	0.73670031594	0.644520790178	0.666953199544	0.711584821749	0.669255165928	0.701796249829	0.684138392878	0.618640819644	0.688385507463	0.683758924307	0.695893617351	0.678874460107	0.666733727468	0.657107098251	0.672887166235	0.647542695219	0.610291141051	0.590984337176	0.600216779043	0.553677338642	0.580639532339	0.583210464378	0.639940948649	0.593659676931	0.584427940735	0.696740590801	0.611209904501	0.622564518377	0.620361654901	0.592815613326	0.578331215081	0.598132336653	0.567100525598	0.644213290798	0.570667600188	0.572572417362	0.585065377454	0.576336574316	0.599992524716	0.633735863469	0.576108181662	0.575439732308	0.591273399322	0.570222692173	0.579751338352	0.566945118105	0.692809305267	0.622786952726	0.585040179589	0.564123531781	0.519716555685	0.635249239923	0.527692841086	0.586749348162	0.604361680555	0.598148545343	0.549883311659	0.607980277866	0.619765786787	0.554696606714	0.718412956795	0.691877260437	0.755791890969	0.634989612571	0.663292933897	0.614972628856	0.696984274414	0.674484226736	0.671555972976	0.737552622355	0.695606773459	0.746023015305	0.655830900626	0.586585531368	0.663563404456	0.563644237861	0.617215002737	0.673391630047	0.615457128658	0.720722839622	0.690800986053	0.766260678054	0.740201270532	0.60934894568	0.58874103118	0.671459651272	0.627000515986	0.607744974441	0.657588347411	0.675926317296	0.741795861636	0.641863662453	0.676835048396	0.649764726646	0.648155543064	0.649032395829	0.678471048035	0.62154530346	0.668096661141	0.726174287275	0.569949757736	0.623557435708	0.62864266103	0.63281555338	0.594504770108	0.578562893219	0.571661614606	0.602182699356	0.585365020391	0.565728936659	0.578542765812	0.600419660955	0.663277449773	0.570281200017	0.57432779352	0.570805381951	0.599583664275	0.610119176748	0.597032296264	0.56649420418	0.570271771389	0.576595259544	0.593350573708
CS.101	0.528246671864	0.546008250681	0.526162816245	0	0.650267348744	0.476041860176	0.569231191495	0.607546408235	0.568413657773	0.665361877771	0.536973564264	0.508539735474	0.530713952944	0.543710711558	0.445599563128	0.731401645483	0.654366086849	0.555021456384	0.744154122241	0.645973105237	0.704590745812	0.774653954044	0.755261507784	0.783875917591	0.584766817318	0.663823390231	0.5879813683	0.521850469256	0.654918289315	0.630641125522	0.638520945649	0.573459996245	0.652486169432	0.691646010133	0.718858641745	0.554366974215	0.729099038913	0.785651514839	0.714385370652	0.762619452482	0.554241327428	0.626433665755	0.669028435861	0.697425432545	0.543968919264	0.769111583243	0.636670472026	0.660887044736	0.727828324483	0.658331319988	0.70323142394	0.696471874484	0.615304426852	0.70976606474	0.686313771305	0.727333291239	0.665108622272	0.663431543493	0.617541395681	0.705883421278	0.66397035041	0.620926544692	0.576562352168	0.624291794123	0.515889433699	0.581219295291	0.55829839478	0.639547677981	0.554714388867	0.601990093769	0.724544863698	0.609146851576	0.579999977944	0.569161079075	0.57710751888	0.535102510914	0.545803427818	0.502857213227	0.572375267883	0.532939198022	0.558394043373	0.513983792556	0.601763680008	0.567227207041	0.56486966613	0.586075013817	0.502099173465	0.526163001238	0.484939984837	0.535821725191	0.546692162446	0.70410288664	0.6281797007	0.538138756932	0.553630111569	0.537296797237	0.682788076794	0.458854116669	0.610534496744	0.556327557825	0.55965210266	0.528977705579	0.543868277663	0.659809788386	0.607081981328	0.749904684593	0.714880205359	0.796314461271	0.604284653386	0.646412902946	0.614922522144	0.711106805602	0.710170736512	0.672481854105	0.766650063743	0.687682868638	0.787500311632	0.671244477893	0.621457139933	0.68286726705	0.542899674895	0.597417270623	0.668225792545	0.64912600768	0.755430065029	0.689942090598	0.809901390006	0.791198248232	0.650019142581	0.555537260146	0.704863349963	0.644522495428	0.611367904935	0.691674781378	0.659059168303	0.754830765828	0.633709922516	0.698598420203	0.684245976754	0.697668412701	0.68637346069	0.688034331605	0.606790952334	0.677394514618	0.74361117429	0.553124084512	0.645755028975	0.636421476893	0.5918024782	0.520937666453	0.565219140433	0.555128199744	0.525979293123	0.57148449537	0.558343268478	0.594053208213	0.575798552574	0.69601401026	0.526573181135	0.559198925113	0.568426080275	0.556836508526	0.55709282727	0.590793413964	0.509942576893	0.52129418416	0.569511529441	0.531276232424
CS.022	0.554136854994	0.626768891873	0.614451820094	0.650267348744	0	0.645967692557	0.668469687924	0.570337749027	0.634423624686	0.623969272271	0.610622475144	0.644679289801	0.628206935877	0.629225527916	0.654751067638	0.639509424955	0.552648850876	0.603231374032	0.608726742535	0.592347175794	0.560102932306	0.658019815243	0.658052133581	0.660479446212	0.64979784853	0.566497850265	0.636122266966	0.631048206015	0.597189325983	0.591873413231	0.558689448035	0.632593215212	0.609839890046	0.613983948731	0.614159088793	0.648821049531	0.628336306744	0.670718688665	0.585984533724	0.648033340875	0.646848674873	0.612907595362	0.568220709184	0.577091005504	0.594864098165	0.645308023248	0.608773552402	0.627090506348	0.652178583577	0.632898974706	0.635787611748	0.5851334704	0.611096617092	0.61894292415	0.612116136341	0.628780023721	0.61083889927	0.594914465917	0.639337676124	0.624886412284	0.584686390142	0.588318505249	0.633217988127	0.598717632658	0.607925410832	0.628207793843	0.653486460601	0.620762643724	0.648994576979	0.585785601639	0.644318778012	0.62118339274	0.647523488012	0.620801917085	0.609621496716	0.635760412155	0.666604644275	0.630488144344	0.650396170336	0.663646012376	0.622151942291	0.681777857073	0.609651578809	0.65168019137	0.675788729406	0.590172077671	0.674233260553	0.65435402238	0.675535752921	0.638122048932	0.593261899107	0.655367252122	0.611712921903	0.612128829327	0.592437292746	0.632699957516	0.5379488735	0.645448233253	0.583999229177	0.62066330419	0.615625999823	0.53067302263	0.635123900237	0.551676843701	0.597591049719	0.629963302075	0.614987799144	0.682417849954	0.641779257017	0.620601334686	0.579027211182	0.640083209302	0.596263529435	0.580961440927	0.636511536501	0.630778654683	0.630129319968	0.587207522609	0.55837949977	0.600786895567	0.62084462199	0.604016710535	0.627405947588	0.540395645564	0.601035398755	0.592144540092	0.66660331915	0.673446226108	0.550515832275	0.622312250478	0.595190995909	0.589637515168	0.546699805586	0.63692585761	0.666463146207	0.672500162501	0.60644131432	0.608659994552	0.614347343822	0.610254372293	0.62603638954	0.583541872375	0.633603003377	0.599299827097	0.64702105753	0.627187009162	0.653412500667	0.62870366734	0.635512247442	0.652137160449	0.64167038883	0.605726953292	0.675035895484	0.610628506623	0.595657130594	0.628260289891	0.636575541286	0.612272195861	0.665984863019	0.652529493766	0.637667329649	0.630532878195	0.639781519361	0.638372419471	0.676137728946	0.664877427817	0.604730322435	0.652638997502
CS.261	0.52734934099	0.511713935087	0.558786984176	0.476041860176	0.645967692557	0	0.492308334815	0.602803418797	0.535509284638	0.655207591789	0.559949703863	0.461411330678	0.49055799972	0.465831057638	0.464316562615	0.690708334465	0.658147435232	0.587918746711	0.722408904058	0.59280404156	0.698994981298	0.752069688268	0.755946156697	0.775958159994	0.494286004589	0.673891596353	0.508148490018	0.467927865363	0.60465908167	0.649745622498	0.626186940475	0.497575250761	0.62281200844	0.666914643421	0.701281427711	0.487904683179	0.681142434172	0.75095069792	0.650026751358	0.731915718775	0.524849026376	0.567020928698	0.671419355701	0.641578027766	0.535440492768	0.737150772867	0.565064555089	0.62938406921	0.688117584807	0.599551028499	0.668572470474	0.643900155678	0.58826191901	0.665096169895	0.642754857581	0.67130549369	0.644757943952	0.615404201146	0.562694379427	0.637339265557	0.617296621497	0.614595937817	0.531371613687	0.574550021134	0.440821572701	0.500196784484	0.519484974711	0.545562715424	0.489681068701	0.539384054792	0.704227817816	0.630844195854	0.522790314397	0.51689788211	0.512374460869	0.469934545501	0.491342699536	0.470712793088	0.533359930592	0.446134072207	0.493854079728	0.416199582634	0.559066013433	0.483399199796	0.447522667481	0.512139152001	0.40516835291	0.465293561948	0.435000980272	0.447469264463	0.560919325882	0.695474227463	0.654520868128	0.450719724763	0.526180203405	0.57550605518	0.668350809315	0.467918305707	0.614294025458	0.484684838303	0.531190047929	0.537829684745	0.543752577749	0.637530738902	0.56682795362	0.723881862366	0.684998164424	0.774488044235	0.586385535566	0.579490316576	0.559225941692	0.694101220701	0.641986873397	0.631250337202	0.769127088281	0.670652982433	0.779659997091	0.614775919441	0.625225449576	0.631467774094	0.518640259921	0.549974958651	0.642082717249	0.65820840283	0.745832673254	0.641023755058	0.794261194978	0.744904334743	0.649687824802	0.489940977743	0.650856605647	0.575593951751	0.605505609708	0.671942001461	0.636621345053	0.745963036413	0.571597340837	0.649763299232	0.633697705337	0.657402000411	0.670767440846	0.650438168035	0.562510996776	0.612955946508	0.713482224678	0.47104285723	0.569280197451	0.56380664533	0.547592859635	0.445898776696	0.489212081618	0.511280034602	0.446366446324	0.540943416318	0.506820680179	0.54525751286	0.523484910655	0.65264670944	0.474622634249	0.48703014761	0.535310198058	0.495062000328	0.482145120634	0.55424064956	0.459838475378	0.445667995597	0.520367834134	0.437324063138
CS.265	0.611861516411	0.55460027366	0.622892961621	0.569231191495	0.668469687924	0.492308334815	0	0.610836090297	0.537396817524	0.689808401958	0.547831241746	0.537520740585	0.484276645771	0.536845272248	0.523403447188	0.715944887678	0.664119184034	0.648437023303	0.736645026625	0.667980953441	0.702717484724	0.773420678678	0.775093957464	0.797628300748	0.601158910069	0.686990778564	0.560364302225	0.525027547935	0.647049118271	0.682082907472	0.656820731655	0.577610978374	0.684532601052	0.685554477987	0.724382770384	0.571146621457	0.730830094843	0.782217770551	0.678653483704	0.768225495058	0.590726276457	0.602932965594	0.688949008475	0.696822014035	0.552531139558	0.746438636878	0.591512541078	0.642861246845	0.723669420031	0.643768481077	0.700166737802	0.696249868933	0.611196146214	0.670226445199	0.642104824938	0.68499099083	0.677836900152	0.644906815189	0.614564203431	0.658709843652	0.657775385127	0.614628448998	0.595036195122	0.642110465277	0.540387714828	0.59510335776	0.603410740492	0.637666075097	0.548560396774	0.613689664449	0.723470394439	0.689123401833	0.59849955167	0.621610918623	0.601694198859	0.542501066356	0.57614843885	0.512913397848	0.496057920408	0.502429025201	0.572775635351	0.463263758819	0.609177914785	0.524411572823	0.27422986446	0.599350704724	0.499595744979	0.491110313033	0.485984147646	0.495054666716	0.616922328671	0.750851270923	0.719109511033	0.513637299664	0.526054929374	0.630303817112	0.664682796926	0.575195447001	0.650916149509	0.535626561125	0.511741759423	0.596801877806	0.614122600618	0.641662639619	0.584241178575	0.748497016191	0.694314561195	0.785787265397	0.613384904501	0.645387901467	0.577443249607	0.728938835092	0.676195392171	0.647431355514	0.785928617474	0.684654596021	0.79096705924	0.643066028869	0.639854187179	0.667443372266	0.623322019942	0.546744710971	0.714534723984	0.670768326636	0.750826884491	0.665247077851	0.811513998632	0.77151346117	0.663662864014	0.541034133798	0.702224179748	0.616074551369	0.652606925928	0.72426818275	0.716098726716	0.753436441053	0.623070762748	0.677284177744	0.675644809833	0.695987241037	0.6928871714	0.684745293575	0.615078073845	0.645779981715	0.740288399448	0.576030789062	0.684785023821	0.668011649939	0.647299772177	0.51052594462	0.607737810048	0.614926184529	0.49675472575	0.547374016214	0.592035914141	0.63593972645	0.612122353044	0.693307578703	0.530979346262	0.574332177008	0.638609272265	0.57159594321	0.556340680986	0.642196703452	0.483326994976	0.471312210241	0.617240491992	0.512250764839
CS.002	0.541882534634	0.622916954622	0.565846025259	0.607546408235	0.570337749027	0.602803418797	0.610836090297	0	0.562905274719	0.637564801209	0.57079752775	0.616419579683	0.55053813054	0.576856716216	0.59861049476	0.638969426162	0.578335548247	0.564799592979	0.656115478134	0.602726261042	0.633351745685	0.71073820709	0.67675287401	0.713080326235	0.612389759583	0.597087623626	0.616999018768	0.586749015173	0.599666859089	0.599204695683	0.540183713306	0.597019873426	0.641772848935	0.647874842138	0.653121324605	0.622422281919	0.705665213974	0.727870456301	0.645011148731	0.722092693838	0.621352394916	0.587967992893	0.550624870786	0.638443965427	0.528161440537	0.653436634021	0.603822274213	0.576960609249	0.663280897818	0.619650916204	0.667717057486	0.643536248104	0.581788581239	0.578060427261	0.628321441104	0.595539913685	0.631228587903	0.599912939757	0.614545221616	0.612335028066	0.642252046372	0.541919499768	0.602390092737	0.596751648633	0.597865555944	0.606507314921	0.620464104651	0.642587198681	0.59809358149	0.603021195148	0.681276500759	0.620825702152	0.636531320095	0.635134341552	0.607925681778	0.614303380049	0.623988391663	0.589786042478	0.599859870905	0.635153197971	0.611359555386	0.653386130347	0.545390587819	0.613466973969	0.640243272483	0.619742190072	0.652954554959	0.625417357162	0.640521922554	0.609374499325	0.579576238892	0.712012447067	0.673119645485	0.595850220489	0.504923497184	0.622822976329	0.549684550355	0.591141933146	0.623138484401	0.570775162882	0.549525353994	0.581377398972	0.669808094136	0.566082384732	0.602510728987	0.688858959917	0.64617744221	0.732752362375	0.593992530081	0.617166514879	0.561293239314	0.673072076132	0.616171881255	0.640073309681	0.695866434256	0.641564240858	0.706163037888	0.618594991981	0.540795905279	0.626391727431	0.616173501572	0.548922731315	0.678322920088	0.542323342106	0.666838711827	0.617857735285	0.74497165279	0.722115966978	0.53746100743	0.589188837521	0.656114242067	0.592041344858	0.554946905397	0.657582279953	0.6707838287	0.694409050447	0.604550083115	0.624162794255	0.605682861714	0.661815994858	0.611944070507	0.598180692888	0.625993811116	0.637427156468	0.71669450696	0.611312029274	0.66965463631	0.619514177583	0.65580091013	0.632694537478	0.641819424945	0.609607400625	0.629540583368	0.564393601562	0.604686385495	0.637087048222	0.61607241442	0.662589599593	0.639701328873	0.646214848989	0.653264828193	0.619531234336	0.61991504957	0.678370926429	0.632551417734	0.623842209927	0.636414773522	0.640995276117
L.001.M1	0.57707501261	0.57462813063	0.598964373308	0.568413657773	0.634423624686	0.535509284638	0.537396817524	0.562905274719	0	0.673977362226	0.55729748026	0.565466958065	0.531376695837	0.539035392525	0.549372606807	0.702162369861	0.641572007401	0.59652446461	0.70727731203	0.654675827203	0.671241076914	0.735340318769	0.73632704827	0.751960536939	0.609106043718	0.631621089186	0.591845377509	0.564689525622	0.63615593542	0.62568223859	0.60560327603	0.58534919516	0.639977047506	0.660939171832	0.658037549506	0.568072988554	0.727744139296	0.775295119672	0.674023452252	0.740557986723	0.587038440064	0.623262286791	0.60688189381	0.670727978769	0.544775225116	0.718877020999	0.61053251134	0.632518760094	0.692876118701	0.657975131905	0.691014450357	0.69210209431	0.603158351577	0.644374323124	0.651190721145	0.673505448084	0.654817647123	0.644883717078	0.590020555672	0.67385979108	0.630240472544	0.542459096749	0.578672957034	0.580560747583	0.56147414716	0.583712964189	0.58006876871	0.614007132145	0.424340355866	0.585879587837	0.695793933481	0.605407514968	0.57039264369	0.572412157958	0.584301970746	0.581240878617	0.58593487352	0.503938976978	0.531979353323	0.556271023006	0.602697798496	0.58319603539	0.569859999623	0.587009654431	0.573635256822	0.596315533731	0.565813835135	0.554098855567	0.580322115191	0.52166090322	0.595915393342	0.711752532283	0.689629663299	0.53354295873	0.52084851022	0.618992973152	0.634837241272	0.605593563603	0.621401851026	0.550884137829	0.532562433426	0.593881515155	0.618568900937	0.62384332867	0.616225301061	0.721399142898	0.678663242788	0.768012163794	0.604123164722	0.614914292695	0.571477958814	0.690322463637	0.648898051517	0.631833017493	0.749291649396	0.660798930304	0.748497180508	0.644620792205	0.587010833326	0.659470906115	0.586906489548	0.581509345828	0.681960193853	0.601868770485	0.728170850353	0.665172590416	0.796572635457	0.751941519834	0.611083808143	0.56882468228	0.696941969939	0.619548115303	0.620862936475	0.685457018756	0.646991341443	0.693526335938	0.608917291121	0.663200343147	0.663127984644	0.681622414666	0.650368906401	0.665326649783	0.631978897485	0.624858333167	0.695850256277	0.582714582268	0.634672491922	0.632585997283	0.630617795989	0.561215806274	0.597643568172	0.593661989089	0.561507829211	0.531063606562	0.602948114375	0.604014592326	0.595403697364	0.658213717343	0.578663832347	0.605413279214	0.612368927687	0.566536613092	0.589199915581	0.63109955491	0.574499206362	0.578170085755	0.592583274391	0.573155563955
CS.091	0.598029753227	0.686920698747	0.673321114691	0.665361877771	0.623969272271	0.655207591789	0.689808401958	0.637564801209	0.673977362226	0	0.650755205991	0.678726743558	0.646606278479	0.634975678848	0.667979757162	0.596936436447	0.519377079033	0.664692136991	0.641861245666	0.596350893336	0.58346022163	0.628851643452	0.634717989028	0.658042847564	0.639461188045	0.647294622526	0.625195119403	0.641129519547	0.612125756055	0.633442055633	0.574826880994	0.60254005793	0.587707166895	0.590344513873	0.633935496544	0.649368997943	0.599934234823	0.657047273827	0.599348945718	0.624189956138	0.65398002027	0.60204215205	0.635168402225	0.575236441227	0.615556587281	0.642720142074	0.617058050893	0.608489038794	0.633642899238	0.566864684007	0.585747745273	0.573978393442	0.621799753081	0.602979199517	0.562890893694	0.607796997719	0.557448403015	0.573622849655	0.633870978415	0.580880283901	0.606653451347	0.666589562639	0.657544984479	0.665626541954	0.662702318248	0.645659959321	0.66500469759	0.631291381173	0.639167681607	0.642576850072	0.640260650651	0.695820782806	0.631260264988	0.650269319525	0.649687464517	0.644177794621	0.679684715637	0.668473695086	0.694311373047	0.689740872981	0.643928442945	0.706720582659	0.657220548117	0.6750391638	0.687475818675	0.638891588552	0.693420878667	0.692281292437	0.70293662671	0.680256804817	0.630638573349	0.653374104747	0.706770624454	0.65986153589	0.616654416442	0.68731094086	0.591414254023	0.668482059076	0.653690740445	0.648002494769	0.629815818598	0.636858825948	0.691066357893	0.60117876755	0.651363871708	0.61254858206	0.612086027328	0.655758409455	0.646170152743	0.612329709453	0.590744136999	0.633106506911	0.593409827968	0.606934913991	0.657847978458	0.636885755825	0.647516959295	0.591838672523	0.629132995827	0.575300725787	0.66000290009	0.59333009622	0.634933759015	0.608201042985	0.614585299153	0.575314251163	0.636678209721	0.664982165957	0.622108829513	0.62545218816	0.567247007776	0.589657111457	0.584395620989	0.620209294098	0.653960598354	0.644860979719	0.579821166252	0.579021189982	0.615450615685	0.607573052032	0.647181607244	0.562146185704	0.622386889263	0.584358624469	0.665394560387	0.651786832661	0.660878115565	0.650939940153	0.659618910879	0.677055872543	0.677966531408	0.65924844437	0.674664145966	0.65629291823	0.662373043497	0.661896879901	0.671588652849	0.635305462393	0.680388415063	0.683121461201	0.707000162821	0.650348332491	0.646999934028	0.695690330518	0.702469643689	0.672990442325	0.675727722662	0.657891174495
