CS.028	L.036.M1	CS.037	CS.172	L.002.M1	CS.263	CS.022	CS.357	L.008.M1	CS.002	CS.176	CS.007	CS.277	CS.009	CS.017	CS.073	CS.360	CS.287	CS.371.1	CS.335	CS.064	CS.065	CS.341	CS.063	CS.373	CS.077	CS.062	CS.186	CS.058	CS.115	CS.224	CS.236	CS.375	CS.126	CS.041	CS.376	CS.378	CS.302	CS.213	CS.374	CS.205	CS.380	CS.125	CS.203	CS.282	CS.386	CS.268	CS.178	CS.385	CS.129	CS.254	CS.372	CS.323	CS.182	CS.369	CS.166	CS.181	CS.256	CS.349	CS.148	T.CS.056	TFS.024	T.CS.035	T.CS.012	T.CS.041	T.CS.048	T.CS.050	T.CS.040	T.CS.024	T.CS.029	T.CS.071	T.CS.004	T.CS.019	T.CS.052	T.CS.042	T.CS.167	T.CS.104	T.CS.160	T.CS.097	T.CS.125	T.CS.091	T.CS.180	T.CS.131	T.CS.144	T.CS.105	T.CS.117	T.CS.102	T.CS.122	T.CS.118	T.CS.116	CS.241	CS.246	CS.088	CS.085	L.034.M1	CS.242	CS.237	CS.356	CS.103	CS.006	CS.087	CS.082	CS.238	CS.015	L.024.M1	CS.078	CS.228	CS.304	CS.347.0	CS.151	CS.363	CS.164	CS.330	CS.191	CS.187	CS.150	CS.358	CS.364	CS.044	CS.189	CS.285	CS.223	CS.319	CS.080	CS.322	CS.158	CS.112	CS.152	CS.318	CS.339	CS.202	CS.320	CS.343	CS.227	CS.163	CS.262	CS.270	CS.255	CS.326	CS.370	CS.145	CS.253	CS.390	CS.393	TFS.025	T.CS.045	T.CS.064	T.CS.049	TFS.022	T.CS.036	T.CS.008	T.CS.055	T.CS.061	TFS.021	T.CS.026	T.CS.043	T.CS.066	T.CS.031	TFS.020	T.CS.141	T.CS.166	T.CS.158	T.CS.152	T.CS.095	T.CS.157	T.CS.109	T.CS.151	T.CS.142
CS.028	0	0.560555423815	0.632928468615	0.529979882692	0.660221545475	0.543323511868	0.60009833553	0.563245014005	0.650636538509	0.533975858096	0.597193373816	0.55156478625	0.536734085992	0.633014344765	0.548366756331	0.595350282915	0.612129259557	0.612415518567	0.635077967658	0.743191943262	0.552128447974	0.618228190982	0.657147345	0.643153378494	0.593419111292	0.568098052653	0.527151009499	0.541111004116	0.564511995753	0.613001856246	0.7406917472	0.664703161289	0.64149443726	0.56823303491	0.598103721576	0.655877670264	0.663006186937	0.709135206552	0.657539720186	0.640737055671	0.694094389771	0.572436537746	0.656613767377	0.594541879312	0.671024243559	0.700870477755	0.636903419521	0.608621418545	0.623910233016	0.595815477922	0.640704209906	0.629001881737	0.626963047778	0.595042279625	0.70046337447	0.653316768471	0.616322595162	0.643485380717	0.614544521822	0.67036672393	0.633616492105	0.600613846635	0.577930782974	0.705869813788	0.564699795456	0.577590945444	0.599793166501	0.519390062846	0.569923365637	0.578360636201	0.591045837268	0.61705147208	0.614765854687	0.642931110044	0.546133028589	0.557746942427	0.547601676192	0.532012488305	0.534403020317	0.578527939165	0.534915054621	0.556231122404	0.557845026241	0.561056760374	0.538445849333	0.542582871049	0.589990876857	0.552108535377	0.565284077351	0.565499727259	0.531343414408	0.532958776384	0.658852426738	0.464574936739	0.59245910861	0.53023942613	0.579187416847	0.683250416096	0.505812837269	0.529063272689	0.608419352033	0.477603043409	0.542925592837	0.577929754757	0.612954830526	0.617040592762	0.561531644811	0.682491089321	0.653284401149	0.591558913721	0.644291357561	0.661623996517	0.632285358553	0.536382663683	0.605500931433	0.526332675727	0.729057602125	0.715929719761	0.555476055558	0.610698020954	0.700224025347	0.647395890817	0.648936638827	0.555475534669	0.684129902519	0.570434005227	0.561316870275	0.549274459137	0.642324628319	0.672294866077	0.658767818462	0.58632381923	0.663389595264	0.769361696256	0.594954374105	0.638544212243	0.627301047232	0.596202217834	0.608290498367	0.627484386929	0.609817431898	0.706458562808	0.64621372983	0.639306742463	0.62383323587	0.601753581558	0.559833856062	0.645684204209	0.537870298529	0.526008405139	0.653114537881	0.581132070601	0.633240772865	0.627922986259	0.708938805589	0.608376112398	0.551539161973	0.564673913516	0.541678845313	0.610703674724	0.565247241007	0.544497264057	0.567588688638	0.546384161918	0.574706541185	0.538300734664	0.580705423426	0.632411310734
L.036.M1	0.560555423815	0	0.607796141425	0.565471310092	0.648259034614	0.553871259768	0.626752243777	0.526648541393	0.641801240575	0.593520600551	0.595263579491	0.542422045668	0.521625242148	0.641460111262	0.549750236278	0.640339965539	0.588158789069	0.60412338134	0.556796233546	0.73095299274	0.595012240001	0.59671186463	0.647960465599	0.693257236012	0.592222750002	0.577664772794	0.557388794533	0.57323318607	0.617864590937	0.665232908883	0.769770300886	0.6896690477	0.610392893632	0.524758275464	0.626612369036	0.644682723371	0.693782967234	0.72356204298	0.674439475343	0.670336764816	0.702895557865	0.542272417082	0.654566318707	0.526742286572	0.67817595589	0.716895847591	0.670865763127	0.560034780815	0.654519561402	0.6079734458	0.652646005796	0.62828910804	0.635974230062	0.599266858837	0.709493831982	0.6606462127	0.636153404088	0.658677161535	0.608172623394	0.671562910401	0.609976278677	0.562947741574	0.510628182428	0.667547171956	0.518471038864	0.521625733898	0.567640054603	0.53914252299	0.536721393743	0.620758819581	0.53351034604	0.541173221213	0.595490119107	0.605829348752	0.512401058093	0.49279000183	0.525034293076	0.551218697568	0.486838257697	0.516879836787	0.505268722208	0.584764757343	0.509779061319	0.4856360988	0.636232758936	0.534684236737	0.571363890131	0.513645936075	0.54085574247	0.58513067109	0.564649793596	0.548666032605	0.625110446501	0.564179708488	0.527520530964	0.492854289312	0.650076096633	0.691764267007	0.592623178049	0.551210330141	0.595323308728	0.591114398863	0.592475157538	0.554653728581	0.592929920271	0.601788757332	0.609398810278	0.699360693643	0.698566510047	0.597680352222	0.636758159923	0.709684562773	0.638654767717	0.529936852254	0.621620297277	0.591624892044	0.745850511127	0.69831339071	0.529931829785	0.680576612386	0.726202993109	0.644839229353	0.644148703444	0.628409313024	0.670737910024	0.644088625647	0.620539006941	0.537278333144	0.649816892307	0.647041186964	0.636665318066	0.585991855504	0.673114271518	0.779841184931	0.642947119433	0.633980215393	0.638757171951	0.626234527641	0.630707237971	0.626736941878	0.574082733446	0.750035629418	0.655887518241	0.636096439851	0.569814950435	0.578257582603	0.521282460504	0.629902054819	0.511182683537	0.574398770253	0.543943991263	0.525206511778	0.551454114614	0.581165869308	0.70615887665	0.507172769001	0.527024370154	0.528902186264	0.527645259077	0.538707107074	0.547286955248	0.509061666858	0.540515522907	0.504175435656	0.524567006214	0.516339244908	0.489533765232	0.548375896469
CS.037	0.632928468615	0.607796141425	0	0.612249964748	0.618600558672	0.62942792065	0.606528645488	0.698689908115	0.5950902409	0.6116018043	0.640394286823	0.677832952758	0.624666476675	0.551925830919	0.61691615033	0.605451573623	0.60435103975	0.640957297998	0.638381586525	0.643368564192	0.651639107498	0.628070614705	0.64351608673	0.632092822677	0.620367056021	0.631071059801	0.656628404502	0.689339851617	0.608297031262	0.624800647792	0.71284078844	0.644270507782	0.654685881972	0.653132313713	0.619985975007	0.60454176879	0.669173180076	0.686083084576	0.595857018938	0.644844505024	0.670679276752	0.661246333348	0.643943756719	0.65303853785	0.651809627143	0.660087780377	0.665365031239	0.665498074191	0.645836923691	0.644195330111	0.637032775928	0.62272724815	0.634716420851	0.631935637434	0.674115135316	0.634641851176	0.645512648651	0.655626671446	0.597935201422	0.636254447384	0.67112897633	0.650332164165	0.656076203544	0.698576712578	0.641505916206	0.629372764869	0.656027402464	0.668142129818	0.636143152758	0.654134497878	0.690502155254	0.651472452296	0.643788622207	0.60590471576	0.690683445396	0.685633590029	0.705026964049	0.715737853125	0.694957984334	0.668180192233	0.722387206354	0.65643734435	0.687596265192	0.682677610228	0.698814321486	0.69050840889	0.720684092707	0.685994773352	0.607911572189	0.648763189826	0.683189794636	0.67067032035	0.671657265805	0.633490735288	0.593089304982	0.662201858182	0.619862781771	0.697076265471	0.658423580927	0.658219791957	0.652347922881	0.672215069691	0.648867121969	0.636241872116	0.725304213636	0.646407106988	0.606774328853	0.695323793779	0.63145047229	0.661821064333	0.612748185838	0.659962728873	0.622064530587	0.698029770591	0.620542396417	0.630718478798	0.691737827552	0.637956618865	0.602887095861	0.673235686728	0.638352479873	0.639475121557	0.601571125	0.625870687509	0.643003916194	0.594239702565	0.585505176461	0.670884632487	0.623036644657	0.650463811568	0.69235475205	0.644752939865	0.641716080154	0.693942283103	0.626592586088	0.593486733619	0.651136197964	0.636994868576	0.644548781508	0.605952250833	0.642172852496	0.7169276946	0.635723121035	0.639090915404	0.655004838693	0.667328289577	0.651001971315	0.616148655006	0.696772016363	0.667225092976	0.629281373647	0.675850129334	0.634166431323	0.659225020404	0.668300788979	0.686869837876	0.720454437969	0.663788998295	0.701919660693	0.676240359055	0.697467452467	0.69559357657	0.678117686786	0.719462007047	0.678767987184	0.708299661409	0.686005089774	0.690537125466
CS.172	0.529979882692	0.565471310092	0.612249964748	0	0.639429672876	0.544697179224	0.57771664861	0.559356759295	0.621190815778	0.574874170211	0.604490494021	0.563897183599	0.57919262156	0.586643651181	0.547083725898	0.557431790863	0.641731051207	0.652133803806	0.596175847832	0.721868446792	0.568936217449	0.614794464174	0.645654247201	0.605355367294	0.584203966573	0.562084171239	0.498284319362	0.588296962837	0.571258209713	0.626443045992	0.723646079202	0.642707711224	0.579211249222	0.581237651854	0.594283866927	0.624908303212	0.617991478876	0.696327207378	0.643934073198	0.639101897075	0.68016731229	0.610496698577	0.65004367078	0.578339723152	0.656421076861	0.689077820687	0.64985509166	0.62358034509	0.654398048907	0.590176008943	0.658736921109	0.660132319064	0.661528944187	0.633013533673	0.687923532862	0.683286212139	0.639959050731	0.673713364983	0.654676975275	0.658815536076	0.579999444004	0.592972040973	0.565683966157	0.645643019925	0.559373515202	0.586104457136	0.562131506667	0.547285670279	0.585881532768	0.58432345072	0.607469846062	0.593838566945	0.587443664021	0.653764171695	0.592693055511	0.574735569267	0.5813580107	0.616161993519	0.591400734257	0.572715492435	0.593645502237	0.553386437362	0.606607904991	0.60146445082	0.619897024068	0.572557017275	0.595589263429	0.587034774798	0.601691080304	0.544550217425	0.576781465056	0.559991396246	0.602821868557	0.515128710231	0.574018875464	0.558321575599	0.570553039206	0.639385135601	0.557543087981	0.506917118132	0.526599599824	0.544736335762	0.554135609864	0.549137438336	0.585408095356	0.576522536975	0.543655325079	0.659838073926	0.605507544221	0.614582942588	0.645095071889	0.639071833369	0.633903733083	0.565349767607	0.622036726196	0.563554331051	0.718048903392	0.678893003052	0.513741755149	0.621269688846	0.66999378663	0.649103427798	0.659800216627	0.549947465411	0.664394902586	0.546481638775	0.535602029024	0.593955781009	0.635846177193	0.611362749086	0.609350693236	0.619182432667	0.638984744636	0.715605625093	0.546491194019	0.634268439543	0.658273762444	0.62173672142	0.606682196552	0.663617475241	0.616452054451	0.682630239837	0.646954720436	0.635789718036	0.575191743065	0.56252545814	0.565322425288	0.626534720581	0.600445615074	0.566797452895	0.605888037861	0.588061431436	0.600036642142	0.611659819685	0.67757068702	0.570747848038	0.567485777567	0.548778842758	0.59194584183	0.577179748107	0.586092441661	0.57576324875	0.578406772852	0.592031997594	0.545778703057	0.599845342429	0.576570115419	0.590544566493
L.002.M1	0.660221545475	0.648259034614	0.618600558672	0.639429672876	0	0.625460158231	0.635292627312	0.647882636849	0.637491014633	0.654160251066	0.664319179546	0.637414857141	0.610231378842	0.602095557998	0.654820838642	0.624199703776	0.633659092764	0.611853520709	0.649606923211	0.67308672775	0.657720455612	0.649553647074	0.608010771088	0.650837667082	0.627278740796	0.644152248707	0.652662355273	0.672188121071	0.634856585811	0.654950938403	0.681312303302	0.663653035767	0.605227990404	0.624185181797	0.677281846309	0.595402019799	0.668649384503	0.692543865418	0.624279493696	0.61263531232	0.667111228695	0.632347201719	0.625286933451	0.649426479408	0.645048195323	0.56330761894	0.642334312856	0.650942795455	0.665053998903	0.594674643484	0.620066901835	0.600187268633	0.640632675747	0.626083861953	0.689448663976	0.63502583263	0.6411865235	0.603756399223	0.627492753535	0.617879589789	0.643808139875	0.628297260009	0.65549328434	0.681119282431	0.626283222414	0.606808205788	0.622453366028	0.628153123429	0.633098227551	0.645538620397	0.681490016915	0.644047982106	0.668049194778	0.62914320397	0.678702460884	0.64357273898	0.673297987129	0.670505149579	0.692216922405	0.636424361083	0.678320516907	0.646575488717	0.647210330931	0.674820468269	0.669518862014	0.640154078605	0.665751645001	0.645761674494	0.598090230991	0.660378990611	0.654705589318	0.658057015255	0.680883638997	0.652092154566	0.609139330676	0.63240610701	0.63608688284	0.685974201292	0.651376848816	0.654592287303	0.669309235997	0.688988205826	0.638358458114	0.673718068711	0.669342091192	0.640172299091	0.653831915132	0.687789556883	0.633209292984	0.662039018113	0.605450035357	0.692815276661	0.621569613263	0.650828317329	0.611172204016	0.600339825298	0.6725579454	0.66946222268	0.640280221493	0.658090750314	0.678929621301	0.642696973786	0.62248912794	0.625918486233	0.624896649371	0.632064889698	0.630579140837	0.635711991089	0.628738905138	0.654380697792	0.700911555468	0.629006583713	0.566700185491	0.682323095543	0.666151586056	0.590144173374	0.621261194884	0.59399752945	0.624420203544	0.607460599751	0.609350066976	0.68842637361	0.614996484573	0.664634394526	0.638274418151	0.639474883835	0.609330401046	0.6149431342	0.662637885097	0.643016220285	0.642311683672	0.642904023858	0.651429312163	0.626875937459	0.673211586848	0.652348041924	0.656638362842	0.617187138622	0.65827828182	0.639871154744	0.639852245717	0.646087781856	0.645188187333	0.684397602752	0.663003302937	0.674553341995	0.642689344503	0.672530037508
CS.263	0.543323511868	0.553871259768	0.62942792065	0.544697179224	0.625460158231	0	0.616166702603	0.549205057127	0.636648285631	0.58079880661	0.574983627536	0.554695400827	0.563023753185	0.623001027656	0.563948884652	0.608124811688	0.593130365225	0.60629456917	0.605875336932	0.726344710695	0.552981706494	0.590022452957	0.634047646696	0.655241622807	0.588951297301	0.549824131614	0.525849145653	0.561102006975	0.566569337116	0.627222293951	0.745907321067	0.661609748401	0.563438372903	0.530279031551	0.638526783832	0.653532894964	0.656811269964	0.723217358117	0.634916072077	0.613523596452	0.67091315383	0.539378136231	0.624679585992	0.534186019973	0.653831279922	0.665053400095	0.610484105809	0.577974872943	0.581643135433	0.554901123592	0.621559531315	0.611208985765	0.584132774777	0.548849445004	0.693797283305	0.641916174827	0.61236598997	0.622929417514	0.574479033504	0.647899627516	0.60629122215	0.572251582536	0.530570826646	0.655577707013	0.514179804979	0.565053123268	0.566737733679	0.523436638703	0.533806491124	0.570919176313	0.56079280503	0.576899497489	0.58632423751	0.605848477555	0.513397208398	0.541791024495	0.528439346593	0.529636627358	0.551203478466	0.56929019459	0.555316542855	0.504178113443	0.533851924936	0.556883017543	0.570158929978	0.519736547433	0.552693666709	0.51874523211	0.558736657926	0.538898899069	0.557585171366	0.512998696615	0.663433965198	0.523452687868	0.546898501082	0.524890418462	0.623216623456	0.679117835791	0.570784311415	0.555035243964	0.614816036449	0.539140293051	0.579701607617	0.580082364515	0.590861500009	0.596342062687	0.574406380612	0.680838620979	0.669689112449	0.591073114	0.620434727864	0.703251654152	0.598651782646	0.551400846244	0.594499751396	0.550050123658	0.73077173285	0.67605852213	0.536521397977	0.61230500823	0.697282324646	0.621019938635	0.638293002259	0.573024809642	0.651141348564	0.612310472077	0.604096785498	0.510320842134	0.625392460006	0.655591471478	0.642862568735	0.576736133525	0.637574725734	0.763965225573	0.610317596455	0.631484985706	0.622249048993	0.574525203523	0.581479751561	0.606517570476	0.546909005143	0.687923214281	0.619951598571	0.62116460753	0.593546191651	0.569955631176	0.525840124885	0.64158397352	0.539782253126	0.553996460002	0.618058929726	0.5458606773	0.588483398427	0.584623370277	0.701948063203	0.574286272534	0.545091503768	0.564983425303	0.535101807945	0.591180228974	0.545947886692	0.515342286232	0.539317771843	0.550898959135	0.572762397201	0.534347890262	0.553210728264	0.61782140189
CS.022	0.60009833553	0.626752243777	0.606528645488	0.57771664861	0.635292627312	0.616166702603	0	0.626357666655	0.603502083549	0.570337749027	0.607471367678	0.635308036762	0.591344643138	0.526145932054	0.614451820094	0.591873413231	0.597189325983	0.616196073846	0.598300709926	0.673848436652	0.604184550968	0.592347175794	0.617303828237	0.573115709926	0.57337539341	0.611046807119	0.582809169606	0.625646704106	0.546564747514	0.601455603129	0.670718688665	0.619273867248	0.609839890046	0.632593215212	0.568220709184	0.577091005504	0.614159088793	0.648033340875	0.616018801584	0.613983948731	0.628336306744	0.648821049531	0.585984533724	0.646848674873	0.61239570935	0.652178583577	0.61894292415	0.639337676124	0.612116136341	0.611096617092	0.604253019289	0.602758052962	0.632898974706	0.606566289372	0.638540376299	0.642166226961	0.594914465917	0.624886412284	0.624116834871	0.628780023721	0.62118339274	0.608691410878	0.628207793843	0.679111860427	0.615684440087	0.609621496716	0.598717632658	0.607925410832	0.585785601639	0.607409744062	0.651933260497	0.620762643724	0.605809735482	0.615535893778	0.654241429772	0.635524935653	0.665312519816	0.674430761363	0.663646012376	0.60897420302	0.674233260553	0.619866604965	0.671465021546	0.660860085571	0.650396170336	0.635760412155	0.678626121852	0.63642308433	0.596028357666	0.609651578809	0.645448233253	0.62066330419	0.611712921903	0.592437292746	0.597591049719	0.612128829327	0.5379488735	0.655367252122	0.594418388731	0.53067302263	0.583999229177	0.615625999823	0.593261899107	0.632699957516	0.635123900237	0.608425594177	0.55837949977	0.640083209302	0.593546080171	0.641779257017	0.596263529435	0.602590250386	0.600786895567	0.65664947094	0.587207522609	0.579027211182	0.682417849954	0.629963302075	0.603139126687	0.580961440927	0.601035398755	0.592144540092	0.60497773504	0.546699805586	0.622104037818	0.540395645564	0.550515832275	0.622312250478	0.604307348665	0.627405947588	0.666463146207	0.589637515168	0.595190995909	0.66660331915	0.554623407844	0.610254372293	0.608659994552	0.60644131432	0.599299827097	0.614347343822	0.633603003377	0.672500162501	0.583541872375	0.62603638954	0.634681766288	0.628260289891	0.627187009162	0.612272195861	0.675035895484	0.610628506623	0.653412500667	0.595657130594	0.62870366734	0.635512247442	0.64702105753	0.636575541286	0.665984863019	0.605726953292	0.652137160449	0.637667329649	0.639781519361	0.652638997502	0.630532878195	0.676137728946	0.604730322435	0.664877427817	0.652529493766	0.638372419471
CS.357	0.563245014005	0.526648541393	0.698689908115	0.559356759295	0.647882636849	0.549205057127	0.626357666655	0	0.644627506456	0.626597206842	0.591179460755	0.505231020386	0.541005199184	0.657663264997	0.55181265203	0.648315034317	0.632066888015	0.659250711979	0.575226612663	0.736851361485	0.603101285384	0.624676258237	0.646358045645	0.695954614561	0.600558852848	0.556814266748	0.516811222709	0.56474983916	0.620163279063	0.687754161788	0.73526244565	0.709467358915	0.591302416901	0.500182727453	0.669822349915	0.641273442965	0.69242509816	0.686802468271	0.667491730369	0.636296781555	0.671592306435	0.521280414668	0.634496135053	0.478438606729	0.662647240439	0.715736094873	0.706333363497	0.603521524985	0.661692639237	0.622556332995	0.659832294968	0.656272202911	0.642269973076	0.598171844669	0.76679167656	0.714323462633	0.650601217526	0.667526566011	0.654892624838	0.709344884479	0.607421168015	0.511864908569	0.536702264763	0.667912549047	0.537170218809	0.540117896201	0.586704116885	0.458188686047	0.533721347308	0.626109438997	0.500794606344	0.543694740571	0.612632389547	0.632481630435	0.460016706982	0.442053082828	0.481505208722	0.510730583408	0.487426929931	0.498802508866	0.46973092727	0.559474775174	0.472120999217	0.473977631812	0.622704670422	0.488528542207	0.471466587535	0.443273081905	0.565967956961	0.567203820764	0.498846463687	0.50826434403	0.613052949163	0.580528172667	0.544404891832	0.473956343039	0.64440959835	0.659866127917	0.573935714948	0.479922809653	0.53663613758	0.577326538537	0.55265729019	0.530398153378	0.482457487156	0.525865630001	0.622548649996	0.696398606333	0.688079457003	0.592834795212	0.656615999858	0.729274991378	0.634814646768	0.457912196359	0.625022809565	0.603367887099	0.738135342534	0.727047269509	0.516278918304	0.639156527084	0.734284204762	0.65269741548	0.629609573223	0.602320696805	0.669383156278	0.647371061146	0.640222666374	0.520331511531	0.633985445963	0.604713350562	0.630981763408	0.595477121366	0.615171770936	0.772139169347	0.645604466734	0.665798550276	0.661738411008	0.6161410873	0.611959927035	0.668644012771	0.562131223442	0.74438501472	0.658385581414	0.675625273821	0.494424783919	0.523618371704	0.493757518959	0.62037959111	0.486769425608	0.550062764286	0.531555742999	0.500621023751	0.540521751642	0.529780403708	0.717245670461	0.435289888325	0.472727678043	0.497042607378	0.461611105479	0.461489893267	0.443793784458	0.429241941694	0.471064605859	0.47318234456	0.486569392396	0.455427022059	0.431904390748	0.466288339395
L.008.M1	0.650636538509	0.641801240575	0.5950902409	0.621190815778	0.637491014633	0.636648285631	0.603502083549	0.644627506456	0	0.649063815941	0.625510658022	0.651455230872	0.617876094124	0.55819302179	0.662833772577	0.665244970228	0.577514852221	0.591698953	0.604330688249	0.596554954236	0.678919696093	0.631766956196	0.571845447022	0.653829533965	0.559577212024	0.628257902168	0.653536930545	0.662020119444	0.610130257951	0.670669956119	0.620704510759	0.687543516867	0.60350184504	0.616701998963	0.638854507251	0.569605284867	0.652918958652	0.642064406068	0.55984756321	0.602446646202	0.570435984341	0.630723296672	0.551915954246	0.650113486891	0.569179921925	0.616783456589	0.639320428904	0.665741369557	0.611240634702	0.604424211844	0.605361189111	0.586014842902	0.593163239928	0.575817550027	0.666565747061	0.633432704616	0.592438685239	0.570520298129	0.595297912668	0.599907759035	0.647245538025	0.607586757062	0.643052273781	0.6834161537	0.625221030045	0.613420453224	0.628104595911	0.674089049268	0.612633428291	0.651008534335	0.61960056875	0.577204253582	0.627182378657	0.618923528346	0.65124727159	0.64550003259	0.687512711712	0.673805542161	0.689053226428	0.61140635104	0.680877060989	0.672348066626	0.655471453037	0.66307806395	0.708202528983	0.64419997621	0.692433493823	0.640389302925	0.558585537163	0.630541637534	0.683103985407	0.633592434403	0.675500667346	0.628212181565	0.622532170925	0.639483916587	0.59401932232	0.635371674069	0.653935625409	0.620914754852	0.624256157849	0.674547653145	0.610344824463	0.681121030704	0.659590838507	0.634197986633	0.612566032491	0.673274484946	0.576876040327	0.620324396441	0.561494516114	0.668422082182	0.559898138806	0.680380877326	0.575960882783	0.595523095931	0.641402810412	0.620942041013	0.626070592171	0.634373660878	0.627748272678	0.573080763939	0.54170612209	0.606420742749	0.563477625451	0.584721170166	0.620425494282	0.63963945218	0.52328665386	0.595782665259	0.666132628528	0.569047220053	0.550296829783	0.674702477709	0.626577765451	0.575918761215	0.609594129297	0.568641820512	0.563734161097	0.59602506446	0.613032148233	0.674463824301	0.57015702913	0.666128488592	0.562940532627	0.643629106129	0.627072731845	0.515975162519	0.686739072696	0.672947650971	0.613012490204	0.638151975099	0.590886240773	0.637467875783	0.641437588633	0.649078695133	0.669964635643	0.634821376362	0.662735849057	0.656500318663	0.654006511818	0.654103500472	0.653931913622	0.68509711587	0.637566773588	0.671303557009	0.636603259274	0.617338112529
CS.002	0.533975858096	0.593520600551	0.6116018043	0.574874170211	0.654160251066	0.58079880661	0.570337749027	0.626597206842	0.649063815941	0	0.594224071486	0.553970541251	0.58381860227	0.622811941222	0.565846025259	0.599204695683	0.599666859089	0.587349269427	0.641624774497	0.727897974678	0.552006438352	0.602726261042	0.649279717884	0.60046926467	0.595352458849	0.595342363259	0.565044965022	0.592958181813	0.541892882678	0.595530522902	0.727870456301	0.601158777781	0.641772848935	0.597019873426	0.550624870786	0.638443965427	0.653121324605	0.722092693838	0.623215631076	0.647874842138	0.705665213974	0.622422281919	0.645011148731	0.621352394916	0.648965770303	0.663280897818	0.578060427261	0.614545221616	0.628321441104	0.581788581239	0.615882358761	0.593534434549	0.619650916204	0.589028554386	0.657017674837	0.612230742465	0.599912939757	0.612335028066	0.608468339246	0.595539913685	0.620825702152	0.630112425889	0.606507314921	0.730932497604	0.601233465068	0.607925681778	0.596751648633	0.597865555944	0.603021195148	0.549027221158	0.6114741378	0.642587198681	0.611653820956	0.627228926927	0.613671283803	0.625615935013	0.62542285384	0.629468894622	0.635153197971	0.629700166789	0.652954554959	0.580454658117	0.642291888671	0.60963653995	0.599859870905	0.614303380049	0.662828552392	0.620814921781	0.611666371902	0.545390587819	0.591141933146	0.570775162882	0.673119645485	0.504923497184	0.602510728987	0.595850220489	0.549684550355	0.712012447067	0.532246825488	0.581377398972	0.623138484401	0.549525353994	0.579576238892	0.622822976329	0.669808094136	0.645216205045	0.540795905279	0.673072076132	0.647992317241	0.593992530081	0.616171881255	0.610484260901	0.626391727431	0.604899365013	0.618594991981	0.561293239314	0.732752362375	0.688858959917	0.580657617912	0.640073309681	0.666838711827	0.617857735285	0.633312030066	0.554946905397	0.633464592478	0.542323342106	0.53746100743	0.589188837521	0.630935443127	0.678322920088	0.6707838287	0.592041344858	0.656114242067	0.74497165279	0.581083598544	0.661815994858	0.624162794255	0.604550083115	0.637427156468	0.605682861714	0.625993811116	0.694409050447	0.598180692888	0.611944070507	0.665823532979	0.637087048222	0.611312029274	0.662589599593	0.629540583368	0.564393601562	0.66965463631	0.604686385495	0.619514177583	0.65580091013	0.71669450696	0.61607241442	0.639701328873	0.609607400625	0.632694537478	0.653264828193	0.61991504957	0.640995276117	0.619531234336	0.632551417734	0.636414773522	0.623842209927	0.646214848989	0.678370926429
