g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Delftia	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.028	0.000459755016255624	0.0139896883517783	0.000361236084200847	0.00236445436931464	0	0.000459755016255624	0.000952349676529506	0.0189156349545171	0.00479458802666579	0.000459755016255624	0	0.00114938754063906	0	0.000952349676529506	0	0.0246954123017307	0.064956815868116	0.00509014482283012	3.28396440182588e-05	0.0023972940133329	3.28396440182588e-05	0.00229877508127812	0.0781255131194378	3.28396440182588e-05	0	0.194147975435946	0.0138911694197235	3.28396440182588e-05	0.00177334077698598	0.00499162589077534	0.0051886637548849	0.000591113592328659	0	0	9.85189320547765e-05	0.00259433187744245	0	0	0.00157630291287642	6.56792880365177e-05	3.28396440182588e-05	0.00121506682867558	0.016748218449312	9.85189320547765e-05	6.56792880365177e-05	0.00282420938557026	3.28396440182588e-05	0.00101802896456602	9.85189320547765e-05	0	0.00673212702374306	0.00190469935305901	0.00804571278447342	0.0085383074447473	0.000788151456438212	0.000952349676529506	0.00144494433680339	0.00085383074447473	0.00190469935305901	0.0238744212012742	0.000164198220091294	0.0358937309119569	0.000131358576073035	0.000591113592328659	0.0295228399724147	0.00371087977406325	0.0293586417523234	0	0.0102131292896785	6.56792880365177e-05	0.000164198220091294	0.00827559029260123	0.000820991100456471	6.56792880365177e-05	0.0289645660241043	0.000492594660273883	0.000689632524383436	0.000689632524383436	0.000131358576073035	0.0005582739483104	0.0178647663459328	0.00193753899707727	0.00154346326885817	0.00403927621424584	0.00114938754063906	0	0.000788151456438212	0	0.0106072050178976	0.000229877508127812	0.0317887754096746	0.000591113592328659	0	0	0	0.0586844438606286	0.00886670388492989	0.00282420938557026	0.00926077961314899	0.0712948671636399	0.0023972940133329	0.00229877508127812	0.00692916488785262	0.00282420938557026	0.00413779514630061	0.00479458802666579	0	0	3.28396440182588e-05	0.0286361695839217	0	0.000164198220091294	0.0005582739483104	6.56792880365177e-05	0.00108370825260254	0.000262717152146071	0.000262717152146071	0.00417063479031887	3.28396440182588e-05	3.28396440182588e-05	3.28396440182588e-05	0	0.00193753899707727	0	0.00968769498538636	0	0.00794719385241864	0	0.00233161472529638	0	0.00423631407835539	0.0114281961183541	0.0050244655347936	0.000492594660273883	0.000262717152146071	0
L.036.M1	0	0.00926269752857202	0.000144407311135867	0.000123777695259314	0	0.000722036555679333	0.00274373891158147	0.00798366134422577	0.00771547633783059	0.00323884969261872	0	0.0048067004992367	0	0.000495110781037257	0	2.06296158765524e-05	0.0716260263233899	0	0.0008664438668152	0.0182572100507489	0.000845814250938648	0.00245492428930973	0.00536370012790362	0	0	0.159797004579775	0.00808680942360853	0	0.0133473614721294	0	0.0110368444939555	0	4.12592317531048e-05	2.06296158765524e-05	4.12592317531048e-05	0.00509551512150844	0	4.12592317531048e-05	0.000701406939802781	0.000185666542888971	4.12592317531048e-05	0.0016916285018773	0.0332136815612493	0.00181540619713661	0	0.0065395882328671	0.00035070346990139	0.000391962701654495	0.000474481165160705	0	0.0035070346990139	0.00356892354664356	0.000474481165160705	0.00579692206131122	0.00152659157486488	0.00241366505755663	0	0.000206296158765524	0.00235177620992697	0.0267153525601353	0.000474481165160705	0.00325947930849528	0.000969591946197962	0.000144407311135867	0.0334818665676445	0.026178982547345	0.020691504724182	0.00152659157486488	0.00295003507034699	4.12592317531048e-05	0.000165036927012419	0.00340388661963114	0.00204233197177869	0	0.0110987333415852	0.00140281387960556	0.000556999628666914	2.06296158765524e-05	2.06296158765524e-05	2.06296158765524e-05	0.0156991376820564	0.00160911003837109	0.00222799851466766	0.0268185006395181	0.000639518092173124	0	0.00165036927012419	0	0.000845814250938648	0.000206296158765524	0.0157403969138095	0.0034657754672608	0	0.000453851549284152	0	0.128130544209267	0.0393819367083385	0.000453851549284152	0.00860254982052234	0.0788876511119363	0.00328010892437183	0.00554936667079259	0.0110987333415852	0.00276436852745802	6.18888476296571e-05	0.00755043941081817	2.06296158765524e-05	0.000123777695259314	0.000722036555679333	0.0383710855303874	6.18888476296571e-05	0	0	0	0.000123777695259314	2.06296158765524e-05	0.000639518092173124	0	0	0	0	0	0.00127903618434625	6.18888476296571e-05	0.00237240582580352	2.06296158765524e-05	0.00757106902669472	0.000165036927012419	0.00816932788711474	8.25184635062095e-05	0.0384536039938936	0.00379584932128564	0.00620951437884227	0.00111399925733383	0.000453851549284152	0
CS.037	0	0.0112310385064177	0	3.64644107351225e-05	0	0	0.00043757292882147	0.0131271878646441	0.0183780630105017	7.2928821470245e-05	0	0	0	0.00579784130688448	0	0.000109393232205368	0.37948512252042	0	0.00350058343057176	0	0.00116686114352392	0.00342765460910152	0	0	0	0.00014585764294049	0	0	0.00408401400233372	0	0.00280775962660443	0	0	0.000218786464410735	0	0.00441219369894983	0	0	3.64644107351225e-05	0	0	0.000838681446907818	0.0102829638273046	0	0	0.00204200700116686	0	7.2928821470245e-05	7.2928821470245e-05	0	0.00138564760793466	0.00897024504084014	0.00277129521586931	0.0243582263710618	0.000546966161026838	0.00014585764294049	0	0	0.00014585764294049	0.0204565344224037	0	0.0156067677946324	0.000218786464410735	0.012507292882147	0.0465650525087515	3.64644107351225e-05	0.0119603267211202	0.00240665110851809	0.0270565927654609	0	0	0.0137106184364061	0.000218786464410735	0	0.0218421820303384	0.00127625437572929	0.000802217036172695	0.00302654609101517	0.00058343057176196	0	0.0179404900816803	0.000838681446907818	0.000838681446907818	0.00072928821470245	7.2928821470245e-05	0	0.00138564760793466	0	7.2928821470245e-05	0.000255250875145858	0.0162631271878646	0.00029171528588098	0	0	0	0.0766481913652275	0.00649066511085181	0	3.64644107351225e-05	0.0210035005834306	0.000838681446907818	0.000255250875145858	0.0428092182030338	3.64644107351225e-05	7.2928821470245e-05	0.00689177362893816	3.64644107351225e-05	7.2928821470245e-05	0.00043757292882147	0.0389075262543757	0	0	0	0	0	0	3.64644107351225e-05	0	0	0	0	0	0	0	0	0.000109393232205368	0.0799299883313886	7.2928821470245e-05	0.000328179696616103	0	7.2928821470245e-05	0.00561551925320887	0.000218786464410735	0.000619894982497083	3.64644107351225e-05	3.64644107351225e-05
CS.172	3.36349265076856e-05	0.000470888971107598	0.00332985772426087	0.0321549897413474	0	0.00208536544347651	0.00154720661935354	0.0650163129393562	0.00659244559550637	0.00127812720729205	0	3.36349265076856e-05	0	0.000437254044599913	0	6.72698530153712e-05	0.0801856647943224	0	0	0.000403619118092227	0.000168174632538428	0.00030271433856917	0.00181628603141502	3.36349265076856e-05	0	0.259056203962194	0.0188355588443039	3.36349265076856e-05	0.000470888971107598	0	0.00107631764824594	0.00245534963506105	0	0.000134539706030742	0	0.00107631764824594	0.00100904779523057	0.000168174632538428	0.00874508089199825	0.000470888971107598	3.36349265076856e-05	0.0170529077393966	0.00867781103898288	3.36349265076856e-05	0	0.00030271433856917	0.000100904779523057	0.000437254044599913	3.36349265076856e-05	0	0.000235444485553799	0.0030271433856917	0.000706333456661397	0.0027916989001379	0.000269079412061485	0.000437254044599913	0.000975412868722882	0	0.000134539706030742	0.0334667518751472	0.000100904779523057	0.0187682889912886	0	0.0170865426659043	0.062258248965726	0	0.00531431838821432	0	0.0117385893511823	0	3.36349265076856e-05	0.0123103831018129	0.000369984191584541	0	0.0108640812619824	0.00403619118092227	0.000168174632538428	0	0.000269079412061485	0	0.0202482257576267	0.000571793750630655	0.000437254044599913	0.00121085735427668	6.72698530153712e-05	0	6.72698530153712e-05	0	0.000672698530153712	0.000672698530153712	0.00470888971107598	6.72698530153712e-05	0	0.000336349265076856	0	0.0979785409168881	0.0116713194981669	3.36349265076856e-05	0.000201809559046113	0.0170529077393966	0.000437254044599913	0.0034980323567993	0.00941777942215196	0.0136221452356127	0	0.0102922875113518	0	0.000100904779523057	3.36349265076856e-05	0.00585247721233729	0.0404628165887458	0	0	0.000201809559046113	0.0228381150987185	0.000100904779523057	0.00662608052201406	0.0025562544145841	0	6.72698530153712e-05	0.000134539706030742	0	0	0	0.00921596986310585	0	0.00470888971107598	3.36349265076856e-05	0.000134539706030742	0	0.000369984191584541	0.0025562544145841	0.00252261948807642	0.00299350845918402	0.000100904779523057	0.000672698530153712
L.002.M1	4.83547303014917e-05	4.83547303014917e-05	0.00041101520756268	0.0673097845796765	4.83547303014917e-05	0	2.41773651507459e-05	9.67094606029835e-05	2.41773651507459e-05	0	0.00345736321655666	0	0.000241773651507459	0	0	0	0.0993931481347163	0	0	0	2.41773651507459e-05	0	0	0.0312371557747637	0	0.00041101520756268	2.41773651507459e-05	0	0.00575421290587752	0	4.83547303014917e-05	0	0	0.00425521626653127	0	0	4.83547303014917e-05	9.67094606029835e-05	0.0325910882232054	0	0	0.00171659292570296	0.0182539106888131	0.00191001184690892	0.00135393244844177	0.00154735136964774	0.000604434128768647	0	0.000241773651507459	0	2.41773651507459e-05	0.00599598655738498	9.67094606029835e-05	0.00483547303014917	0.000652788859070139	0.00331229902565218	2.41773651507459e-05	0.00452116728318948	0	0.024830154009816	0	0.0137085660404729	0.000652788859070139	0.0129107129904983	0.0433500157152873	0	0.0115326031769058	9.67094606029835e-05	0.0107347501269312	9.67094606029835e-05	7.25320954522376e-05	0.0203089867266265	0.000362660477261188	0	0.0360000967094606	0	0	0	0.000894562510577597	0	0.0884891564517299	0.00406179734532531	0.00137810981359251	0.0188583448175818	0	0	0.000967094606029835	0	0.0668504146418123	0	0.0183022654191146	0.00217596286356713	0	0	0	0.0817436715746718	0.0487415681439037	0	0.0075916926573342	0.00265951016658205	0.00362660477261188	0.00316723483474771	0.022073934382631	0.0901815720122821	0.000459369937864172	0.0671163656584705	0	0	0.000169241556055221	0.000145064190904475	0.000145064190904475	0	2.41773651507459e-05	0	0	0	0.000483547303014917	0.000193418921205967	0	0	0	0	0	2.41773651507459e-05	4.83547303014917e-05	2.41773651507459e-05	0.000217596286356713	2.41773651507459e-05	0	0	2.41773651507459e-05	0	0.000556079398467155	0	0	0
CS.263	0.00105694702453398	0.00224200883992057	0.000480430465697265	0.284671065274486	0	0.00185766446736276	0.000448401767984114	0.0508936006661969	0.0175837550445199	0.0102491832682083	0	0.00650182563576965	6.4057395426302e-05	0.00217795144449427	0.0016334635833707	0	0.0172634680673884	0	0.00198577925821536	0.0127474216898341	6.4057395426302e-05	0.000352315674844661	0.0420857087950804	3.2028697713151e-05	0.000864774838255077	0.0686374991992826	0.00214592274678112	0.000384344372557812	0.00214592274678112	0	0.00246620972391263	0.000128114790852604	0	0.000128114790852604	9.6086093139453e-05	0.001697520978797	3.2028697713151e-05	0	0.00121709051309974	0	0	0.00166549228108385	0.0161424636474281	0	9.6086093139453e-05	0.00032028697713151	6.4057395426302e-05	0.000608545256549869	6.4057395426302e-05	0	0.000352315674844661	0.00294664018960989	0.00172954967651015	0.000768688745115624	0.000448401767984114	0.00032028697713151	0	0.00137723400166549	0.00118506181538659	0.0494843379668183	9.6086093139453e-05	0.00749471526487733	0.000800717442828775	0.00425981679584908	0.0787905963743514	3.2028697713151e-05	0.00525270642495676	0.000288258279418359	0.00787905963743514	0.000128114790852604	9.6086093139453e-05	0.0100249823842163	0.000576516558836718	0.000192172186278906	0.00285055409647044	0.00032028697713151	0	0.000480430465697265	0.000192172186278906	0.00032028697713151	0.00832746140541926	0.000448401767984114	0.0017615783742233	0.00397155851643072	3.2028697713151e-05	0	0.000128114790852604	0	0.00195375056050221	0	0.00586125168150663	0.0177118698353725	0	0.000128114790852604	0	0.115655627442188	0.02927422970982	0.000192172186278906	0.000512459163410416	0.0275126513355967	0.00172954967651015	0.00317084107360195	0.000224200883992057	0.0141246556914996	0	0.000448401767984114	0	0	3.2028697713151e-05	0.000192172186278906	0	0	0	0.000128114790852604	0.00432387419127538	0.0049003907501121	3.2028697713151e-05	0	3.2028697713151e-05	0.000288258279418359	3.2028697713151e-05	0	0.00147332009480495	0	0.0103452693613478	0	0.00172954967651015	0.000160143488565755	0.00403561591185702	0	3.2028697713151e-05	0	0.000864774838255077	6.4057395426302e-05	0.000160143488565755	0.000384344372557812
CS.022	0	7.65990042129452e-05	0.000229797012638836	0.0156644963615473	0	0.00107238605898123	0	0.0917273075450019	0.00926847950976637	0.000229797012638836	0.00015319800842589	0.00072769054002298	0	3.82995021064726e-05	0	0	0.163040980467254	0	0	0.00819609345078514	0.000382995021064726	0.000114898506319418	0.000382995021064726	7.65990042129452e-05	0	0.0583684412102643	0.000191497510532363	0	0.000995787054768288	0	0.00467253925698966	0	7.65990042129452e-05	0	3.82995021064726e-05	0.000114898506319418	0.000229797012638836	3.82995021064726e-05	0.0121409421677518	0	0	0.00222137112217541	0.00570662581386442	0.00210647261585599	0.000957487552661815	0.000919188050555343	0	0.000421294523171199	0.000229797012638836	0	3.82995021064726e-05	0.00256606664113367	0.0981999234009958	0.00988127154346993	0	0.000306396016851781	0.00015319800842589	3.82995021064726e-05	0	0.0351589429337419	0	0.0264266564534661	0	0.00218307162006894	0.0222137112217541	0	0.00333205668326312	0	0.00310225967062428	3.82995021064726e-05	7.65990042129452e-05	0.00375335120643432	7.65990042129452e-05	0	0.00551512830333206	0	0.000919188050555343	3.82995021064726e-05	0	0	0.0604366143240138	0.00693220988127154	0.00015319800842589	0.00245116813481425	0	3.82995021064726e-05	0.00846418996553045	0.0211413251627729	0.070585982382229	0.00329375718115664	0.00823439295289161	0.000268096514745308	0.000191497510532363	0.00015319800842589	0.00164687859057832	0.0885101493680582	0.00317885867483723	0.00256606664113367	0.00164687859057832	0.0311374952125622	0.00107238605898123	0.000919188050555343	0.00229797012638836	0.000229797012638836	0.000268096514745308	0.0127920337035619	0	3.82995021064726e-05	0.000459594025277671	0.000804289544235925	0	0	0	0	0.0222520107238606	0	0.000114898506319418	0.00815779394867867	0	0	0	0	0	0	0.00015319800842589	0	0.0397548831865186	0.000574492531597089	0.000497893527384144	0	0.000114898506319418	0.00149368058215243	0.0012638835695136	0.000497893527384144	0	7.65990042129452e-05
CS.357	0	0	0.000159300237502172	0.0131350286740428	5.7927359091699e-05	0.000680646469327463	0.000144818397729248	0.0763482592828593	0.00402595145687308	0.000101372878410473	0	0.000637200950008689	0	0.00127440190001738	0.000448937032960667	0.00196953020911777	0.00143370213751955	1.44818397729248e-05	0.000144818397729248	0.0014047384579737	2.89636795458495e-05	0.000144818397729248	0.00645890053872444	0.00217227596593871	0	0.284597115217517	0.046776342466547	7.24091988646238e-05	0.000593755430689915	0.000868910386375485	4.34455193187743e-05	1.44818397729248e-05	1.44818397729248e-05	0	2.89636795458495e-05	0.000810983027283786	2.89636795458495e-05	0	0.00483693448415687	0.00057927359091699	0.00057927359091699	0.0155100503968024	0.00611133638417425	7.24091988646238e-05	4.34455193187743e-05	0.000868910386375485	0.000318600475004345	0.000868910386375485	0.000144818397729248	1.44818397729248e-05	0.000246191276139721	0.00501071656143196	0.00265017667844523	0.00228813068412211	0.000260673115912646	0.00137577477842785	1.44818397729248e-05	0.00114406534206106	0.000260673115912646	0.00955801425013034	2.89636795458495e-05	0.0658923709668076	2.89636795458495e-05	0.00144818397729248	0.0183774546718415	0	0.0141053119388287	0	0.016161733186584	0	0.000130336557956323	0.00278051323640155	0.000173782077275097	4.34455193187743e-05	0.00330185946822684	0.00212883044661994	0.000130336557956323	0	8.68910386375485e-05	5.7927359091699e-05	0.0174361350866014	0.000448937032960667	0.000550309911371141	0.00186815733070729	0.000115854718183398	0	0.0164368881422696	0	0.00441696113074205	4.34455193187743e-05	0.0109337890285582	8.68910386375485e-05	0	0	0	0.0720037073509819	0.00356253258413949	0.000144818397729248	8.68910386375485e-05	0.044270984185831	0.000767537507965012	0.000231709436366796	0.00632856398076812	0.0472107976597347	5.7927359091699e-05	0.0578549498928344	0	0	0.000347564154550194	0.00660371893645369	0	0.00260673115912646	0	0.000188263917048022	0.0178126629206974	0.00250535828071598	0.0108034524706019	8.68910386375485e-05	0	1.44818397729248e-05	0	0	0	0	0.00328737762845392	0	0.0030411863523142	0.000419973353414818	0.000405491513641893	0.000101372878410473	0.0346260788970631	0.00656027341713491	0.00172333893297805	0.000999246944331808	0	0
L.008.M1	0	4.17162046597001e-05	0.00206495213065515	0.010992219927831	6.25743069895501e-05	0	0.0001668648186388	0.110339361324907	0.0116388211000563	0	0.000771749786204451	0.0002920134326179	0.00010429051164925	0	0	4.17162046597001e-05	0.0280124314289886	2.085810232985e-05	0	0	2.085810232985e-05	0	0.000730033581544751	0	0	0.00022943912562835	0	0	4.17162046597001e-05	0	0.000563168762905951	0	0	0	0	0.000563168762905951	0.00010429051164925	0.00127234424212085	0.00123062803746115	0.0117222535093757	0.000896898400183551	0.154078801910602	0.00778007216903406	0	0	6.25743069895501e-05	0	0	0	0	2.085810232985e-05	0.00415076236364016	0.000709175479214901	0.000500594455916401	0.000834324093194001	0.0001251486139791	0	0	4.17162046597001e-05	0.0284713096802453	0	0.0249045741818409	2.085810232985e-05	0.00707089668981916	0.0755897628433765	8.34324093194001e-05	0.0133700435934339	0.0001251486139791	0.0162276036126233	0	0	0.0256763239680454	0.000730033581544751	2.085810232985e-05	0.00529795799178191	0.00456792441023716	0.00035458773960745	0.000375445841937301	6.25743069895501e-05	0	0.0114928143837474	0.00014600671630895	0	8.34324093194001e-05	0	0	0.00901070020649521	0	0.0030035667354984	0.00477650543353566	0.00467221492188641	0.0001668648186388	0	0.00018772292096865	0	0.142836284754813	0.00527709988945206	0	6.25743069895501e-05	0.0480153515633148	0.00168950628871785	0.000855182195523851	0.0139332123563398	2.085810232985e-05	0.000792607888534301	2.085810232985e-05	0	0.00014600671630895	0	0.002502972279582	0	0	0	0	0	0	0.0161024549986442	4.17162046597001e-05	0	0	0	0	0	0.00010429051164925	2.085810232985e-05	0	4.17162046597001e-05	2.085810232985e-05	0.00018772292096865	0	6.25743069895501e-05	0.136683144567507	0.0262186346286215	0.00896898400183551	0	0.0002085810232985
CS.002	0	0.001495034350194	0.000427152671484	0.00658527035204499	0.003524009539743	7.11921119139999e-05	3.5596055957e-05	0.00516142811376499	0.000213576335742	0.00035596055957	0.000640729007225999	0.000177980279785	0.000284768447656	0.001815398853807	0	0.000569536895311999	0.149183070515787	0	7.11921119139999e-05	0.000320364503613	0.002918876588474	0.000427152671484	0.004164738546969	0.000462748727441	0	0.0569892855871569	0.002562916028904	0	0.015199515893639	7.11921119139999e-05	0.00793792047841099	0	0	0.000106788167871	0.000213576335742	0.00740397963905599	0	0	0.000996689566795999	0	0	0.001744206741893	0.033353504431709	7.11921119139999e-05	0.000106788167871	0.000854305342967999	0	0.001708610685936	0.000249172391699	0	0.024774854946072	0.001317054070409	0.004378314882711	0.00751076780692699	0.00035596055957	0.002740896308689	0	0.000747517175096999	0.000783113231053999	0.049905670451714	0.000320364503613	0.00904139821307799	0	0.00822268892606699	0.0621863097568789	0.002171359413377	0.051863453529349	0.000177980279785	0.015128323781725	0.000177980279785	0.00035596055957	0.00569536895311999	0.000640729007225999	0.000391556615527	0.016196205460435	0.002669704196775	0	0.003239241092087	0	0.000177980279785	0.0427152671484	0.003346029259958	0.002028975189549	0.010572028619229	3.5596055957e-05	0	0.001922187021678	0	0.00886341793329299	0.000320364503613	0.013775673655359	0.000106788167871	0.000249172391699	0.000391556615527	0.000177980279785	0.0813369878617449	0.014380806606628	0.002028975189549	0.00569536895311999	0.178478624568398	0.003737585875485	0.001673014629979	0.00537500444950699	0.001317054070409	0	0.003381625315915	7.11921119139999e-05	3.5596055957e-05	0.000249172391699	0.018367564873812	0	0	7.11921119139999e-05	0	0.001708610685936	0	0.000106788167871	7.11921119139999e-05	3.5596055957e-05	0.000391556615527	0	0	0.000676325063182999	0	0.000462748727441	0	0.001281458014452	0	0.000711921119139999	0	0	0.000783113231053999	0.001744206741893	0.000142384223828	0.001174669846581	0.00035596055957
