CS.019	CS.104	CS.021	L.011.M1	CS.263	L.004.M1	CS.009	CS.039	CS.260	CS.243	CS.093	CS.314	CS.017	CS.172	CS.176	CS.371.1	CS.040	CS.360	CS.334	CS.388	CS.381	CS.060	CS.064	CS.248	CS.341	CS.368	CS.115	CS.127	CS.186	CS.076	CS.376	CS.224	CS.213	CS.125	CS.375	CS.126	CS.232	CS.236	CS.380	CS.205	CS.041	CS.302	CS.203	CS.128	CS.292	CS.182	CS.214	CS.395	CS.166	CS.349	CS.147	CS.348	CS.323	CS.369	CS.385	CS.389	CS.256	CS.372	CS.148	CS.178	T.CS.035	T.CS.067	T.CS.076	T.CS.042	T.CS.001	T.CS.071	T.CS.059	T.CS.004	T.CS.072	T.CS.012	T.CS.028	T.CS.079	T.CS.089	T.CS.048	T.CS.019	T.CS.147	T.CS.121	T.CS.129	T.CS.098	T.CS.128	T.CS.180	T.CS.132	T.CS.156	T.CS.123	T.CS.125	T.CS.139	T.CS.126	T.CS.106	T.CS.118	T.CS.130	CS.006	CS.087	CS.238	L.034.M1	L.024.M1	CS.015	CS.237	CS.085	CS.356	CS.082	CS.246	CS.103	CS.242	CS.088	CS.241	CS.234	CS.044	CS.338	CS.325	CS.336	CS.078	CS.233	CS.188	CS.346	CS.387	CS.212	CS.311	CS.187	CS.345.0	CS.151	CS.227	CS.163	CS.318	CS.285	CS.202	CS.322	CS.361	CS.223	CS.112	CS.152	CS.158	CS.080	CS.343	CS.331	CS.194	CS.253	CS.390	CS.262	CS.370	CS.326	CS.393	CS.270	CS.255	CS.145	T.CS.026	T.CS.055	T.CS.049	T.CS.061	TFS.020	T.CS.036	TFS.021	T.CS.045	TFS.022	T.CS.066	T.CS.043	T.CS.031	TFS.027	T.CS.064	T.CS.008	T.CS.142	T.CS.151	T.CS.157	T.CS.095	T.CS.141	T.CS.166	T.CS.152	T.CS.158	T.CS.109
CS.019	0	0.506621681573	0.579399948573	0.52124804406	0.55112446521	0.54743625945	0.606959905548	0.551769336475	0.616917280882	0.544946023405	0.554532699879	0.545893280671	0.529978519795	0.537469598991	0.554528489893	0.579726186264	0.551311849348	0.582461983246	0.666958710392	0.672315439998	0.540748678043	0.594406756177	0.57133930904	0.587549450842	0.656845100795	0.51978208017	0.659660234541	0.56085728249	0.600151201387	0.62044579291	0.622621867051	0.73758629409	0.648284775743	0.624229417227	0.568930223115	0.538408620813	0.560698537932	0.655627878915	0.527708415614	0.681576136246	0.606276820194	0.694883075206	0.508095834608	0.558340495228	0.577216785506	0.594311639273	0.628048608948	0.617049616236	0.663900503698	0.621254737354	0.635693635669	0.627606690368	0.625662808847	0.714343191545	0.626410265064	0.634979612204	0.644260017945	0.627664414334	0.675402041392	0.574115143506	0.544810205749	0.537229722873	0.584742396504	0.515174878642	0.694032642024	0.549390740996	0.625192651349	0.554955315379	0.549094819064	0.658456961499	0.529273300074	0.644807848582	0.572815282888	0.539388317568	0.598184648613	0.562569432762	0.531375597291	0.557452258358	0.576104721769	0.591881551526	0.566206515499	0.59241599235	0.50939780176	0.529362558751	0.549822310211	0.564365644713	0.517248052854	0.56564371654	0.573137613253	0.509693487698	0.508015395131	0.559447018864	0.53107264243	0.554810679572	0.554797162494	0.565751176174	0.610598092493	0.558069176768	0.674343880596	0.575465845119	0.522954754439	0.554936010678	0.525409849156	0.595124258312	0.525681999336	0.653270237603	0.523628037752	0.6164962912	0.754415501955	0.599170929705	0.532164282126	0.605667621201	0.606543749188	0.718124735001	0.570236563719	0.658874722395	0.515673476952	0.592258225875	0.724508135524	0.583478287374	0.738646081871	0.583149953933	0.635396963168	0.68418758291	0.635216317998	0.659082298322	0.624075885426	0.633202927314	0.584372968623	0.533061041115	0.606547228358	0.554890016642	0.616485712307	0.58850458855	0.727121730672	0.732808055917	0.632897313542	0.651505965019	0.616667846911	0.63348189029	0.651328826263	0.65177387175	0.601993637432	0.526043946432	0.696156450474	0.545340708308	0.63208914031	0.565681226364	0.541295583131	0.558785927662	0.57583481917	0.544950546548	0.540747971458	0.538799573187	0.538948386397	0.532485887945	0.516024132792	0.513299369971	0.575007550343	0.570157730529	0.528183227511	0.550767853938	0.570124114215	0.562244927263	0.526337861131	0.53395252758	0.520318784681	0.550048047669
CS.104	0.506621681573	0	0.563392646951	0.503427256054	0.528159399582	0.581243671166	0.590010450043	0.563674679688	0.599186164696	0.5514186237	0.546220679832	0.551219407287	0.558521264299	0.541043908796	0.533709218174	0.590848022377	0.53965278847	0.597812439566	0.653403276738	0.669583758292	0.533479791531	0.575258997306	0.537445494589	0.542659485342	0.659936899404	0.503862891026	0.617302178043	0.535678723883	0.597676720513	0.56519670559	0.604793507429	0.729451726192	0.651198266375	0.614296060449	0.565062115136	0.534794219745	0.540166800314	0.619315323724	0.53733755415	0.662737856514	0.607712261333	0.690383114291	0.533854423721	0.536969229524	0.542254403395	0.591763468241	0.606117758215	0.628152761991	0.659665713556	0.602797307168	0.626867390732	0.591308122865	0.601399267084	0.704303854667	0.611095504164	0.608055447628	0.625712606154	0.607561542662	0.646039279783	0.577282873479	0.54461703484	0.545250266757	0.584101440423	0.537894200292	0.67109630597	0.554067875047	0.592608725974	0.568393056125	0.534391323679	0.672590263902	0.554998900383	0.650690971457	0.578944814187	0.547912763592	0.601863411267	0.571557724616	0.558143127305	0.595755419397	0.571854735958	0.590948071199	0.569920155422	0.602423822896	0.533359726343	0.549655914168	0.567254687604	0.574193838661	0.523875855306	0.582626040898	0.5866918384	0.531288352424	0.511456600884	0.538232398926	0.518924241855	0.555768990376	0.575109997849	0.558776782218	0.585713038944	0.523258399037	0.647033262825	0.536394659477	0.542225308562	0.534515225628	0.535499214573	0.592113394636	0.523528787625	0.65166358171	0.50152399846	0.607779696188	0.745197874792	0.586129668772	0.543710360389	0.571618197333	0.61373171919	0.674442393708	0.560458318685	0.631696411533	0.530553376911	0.591700278953	0.691204738221	0.566780133751	0.728552164422	0.574708235268	0.614827097757	0.63602198442	0.636822426172	0.663728113031	0.615654757827	0.622977153599	0.575076773746	0.520785684392	0.571482883887	0.534249890106	0.628950086549	0.565848693874	0.723154900087	0.706087460489	0.601408479458	0.639063534905	0.610444092809	0.61116830764	0.606200688848	0.634022430258	0.589918219432	0.553479008705	0.699852243296	0.539242227706	0.635700398837	0.562418081519	0.551256972999	0.564652055616	0.573425063043	0.566031329661	0.547024486173	0.558874619904	0.548950426477	0.562909051102	0.543798436209	0.527451867293	0.600180740071	0.578241396669	0.572793305878	0.567445680912	0.587214978246	0.575343796878	0.541180998539	0.526553287032	0.532025591414	0.556559580248
CS.021	0.579399948573	0.563392646951	0	0.596327432238	0.609671993644	0.651317423478	0.526763994828	0.619454018525	0.531167074658	0.627430298331	0.639051202577	0.596291383983	0.632813267639	0.595124650627	0.564904940011	0.59550473358	0.627391748006	0.530266308156	0.597803566676	0.652980286477	0.588028169185	0.608947688213	0.585295322672	0.549051750231	0.552065574468	0.59424352506	0.60641779954	0.542290796714	0.652388990095	0.578043142462	0.525609261062	0.672671517811	0.586011405221	0.532094176665	0.572991464209	0.571149258636	0.610797576035	0.642304140867	0.608564359007	0.587033114654	0.577495815264	0.582362653268	0.618335848782	0.586573116714	0.575977297541	0.54540483404	0.590004309718	0.617552705526	0.629425717061	0.581546382353	0.55770158467	0.573260596917	0.571073621483	0.65460099371	0.566002368602	0.540717622962	0.589083439413	0.577687597864	0.630088339871	0.614240372031	0.589766755681	0.586990989086	0.567350668777	0.638821180212	0.582643239531	0.616109240191	0.647463568255	0.564892223708	0.600744065774	0.662871695807	0.564842191839	0.56751094323	0.579326258385	0.576748803226	0.604214336426	0.664450257698	0.606774502422	0.6536409769	0.663957116374	0.593740248454	0.638063646182	0.646007430655	0.630663212253	0.589054924505	0.574692186827	0.669609827864	0.600892665072	0.677275625143	0.499436632705	0.604904410468	0.557381035231	0.608142966288	0.587964718335	0.585318806827	0.651659711188	0.657258351914	0.575812929821	0.592064479314	0.63483616274	0.621246092362	0.609628407066	0.622176840054	0.604084494233	0.667744611581	0.652187158371	0.617126788332	0.56929937245	0.605319253106	0.66229639167	0.579765371699	0.614393200288	0.642671688345	0.605009832459	0.622618655324	0.526117261821	0.613286136066	0.60902543482	0.543969977464	0.623373310986	0.601338818051	0.652206794462	0.570838566199	0.530326181564	0.594546341044	0.643914709466	0.567411973052	0.606501374579	0.582572194101	0.566290090885	0.586780728685	0.575320119532	0.563424235547	0.557624021802	0.560033075281	0.632392882677	0.659145350691	0.599533188166	0.568561499512	0.582139917764	0.563407249698	0.635467662985	0.592613365268	0.547419900186	0.585323979723	0.601086405771	0.590362665147	0.557609203962	0.590481990552	0.635275576625	0.617738131898	0.607493184412	0.602426088195	0.642465821414	0.638834221441	0.616201227979	0.585342102589	0.597660819169	0.61202618972	0.590489904464	0.654748960879	0.648137562074	0.62925814202	0.672039708765	0.65093298383	0.608869204399	0.578433579513	0.617045821563	0.652267572482
L.011.M1	0.52124804406	0.503427256054	0.596327432238	0	0.53862153105	0.549505748843	0.602168434004	0.57250866124	0.595715298211	0.556079015789	0.564088309556	0.565860756309	0.557677651432	0.562036454935	0.562180366219	0.58145275677	0.56671713395	0.604762932495	0.673746194264	0.701192161114	0.56246498923	0.617782136934	0.599045123473	0.589828698197	0.657765051352	0.528510874304	0.677673319175	0.547084279449	0.597777319598	0.625793699246	0.632732732812	0.743057912451	0.652469410487	0.608048133486	0.594840166903	0.552947392621	0.575735591339	0.662444703589	0.538804515019	0.661169181163	0.637035745726	0.706200452729	0.540297958463	0.545348714909	0.599678016148	0.57604000829	0.630109394047	0.640414010088	0.66351892512	0.601335445098	0.614106937009	0.614177459155	0.598803870453	0.724543786295	0.605058088593	0.6325720389	0.621505076648	0.613464924256	0.671120911291	0.607194354674	0.538041071186	0.535164025349	0.567995843871	0.529435432955	0.667757458296	0.553250198667	0.611244129934	0.565371654747	0.556213747323	0.664483436994	0.560186344172	0.64862147272	0.564475271466	0.560943850678	0.588290546616	0.552287886587	0.551666926058	0.572005275252	0.56090026771	0.592873389065	0.563478986711	0.578875820768	0.512380157434	0.516837927653	0.548528543264	0.54800286623	0.50379797874	0.548671517089	0.555365694497	0.51111306264	0.510871396655	0.595770286554	0.563951096746	0.550525132271	0.573718910253	0.570821073325	0.633880152769	0.573102356049	0.659959225341	0.573934387941	0.526297869501	0.570927537857	0.527157132672	0.627452877839	0.52334781628	0.661868612535	0.532567879374	0.605189785485	0.738487389569	0.58774703606	0.560609834652	0.609415618775	0.629263375173	0.72569293528	0.567686831182	0.650224010552	0.565040501739	0.59020225462	0.741817406075	0.605059292134	0.747300513445	0.619658703346	0.611988605332	0.686614001999	0.639965119695	0.657533497019	0.611656071137	0.611032687177	0.610672221374	0.520725184805	0.627791590479	0.582284946899	0.625288155943	0.56277706058	0.716796302117	0.727447416651	0.6119968543	0.620981770163	0.625863132464	0.595876864274	0.638177137999	0.631098987612	0.59308636473	0.534089740892	0.697027832768	0.549572459152	0.623438330643	0.565804478862	0.537390651423	0.605508970774	0.564696470067	0.579158076987	0.538737228948	0.545817175949	0.574471415602	0.565848854384	0.525852468982	0.518633824746	0.575889051779	0.588226520099	0.540374973543	0.553027448413	0.556760258447	0.57314811745	0.522049317439	0.54802101018	0.510684599643	0.521722690412
CS.263	0.55112446521	0.528159399582	0.609671993644	0.53862153105	0	0.563501093647	0.623001027656	0.577164703178	0.602448445345	0.519761559608	0.539987336592	0.536903926483	0.563948884652	0.544697179224	0.574983627536	0.605875336932	0.576054384557	0.593130365225	0.684016472956	0.714337935635	0.515627972597	0.59334598156	0.552981706494	0.577762227217	0.634047646696	0.529813897973	0.627222293951	0.535904474989	0.561102006975	0.610560677635	0.653532894964	0.745907321067	0.634916072077	0.624679585992	0.563438372903	0.530279031551	0.53444520069	0.661609748401	0.539378136231	0.67091315383	0.638526783832	0.723217358117	0.534186019973	0.560078467947	0.571918975596	0.548849445004	0.624815535798	0.583308627615	0.641916174827	0.574479033504	0.618624917544	0.579211069991	0.584132774777	0.693797283305	0.581643135433	0.605329786387	0.622929417514	0.611208985765	0.647899627516	0.577974872943	0.530570826646	0.546972027316	0.561413106821	0.513397208398	0.665347374457	0.56079280503	0.568310838882	0.576899497489	0.544897397024	0.655577707013	0.551448075958	0.64932157468	0.553725405443	0.565053123268	0.58632423751	0.547895284326	0.560513330779	0.551381089474	0.546694776053	0.535476270829	0.504178113443	0.541898002947	0.523821200661	0.530063333643	0.56929019459	0.55470580129	0.511618424983	0.558896844899	0.558736657926	0.463156928847	0.555035243964	0.614816036449	0.579701607617	0.546898501082	0.590861500009	0.580082364515	0.623216623456	0.523452687868	0.679117835791	0.539140293051	0.512998696615	0.570784311415	0.524890418462	0.663433965198	0.557585171366	0.650608793515	0.536521397977	0.575978359923	0.71988434323	0.591158343471	0.596342062687	0.54902240123	0.625447293993	0.736962778045	0.581541396719	0.654859508095	0.577123970839	0.594499751396	0.733505878275	0.591073114	0.763965225573	0.610317596455	0.625392460006	0.697282324646	0.642862568735	0.651141348564	0.634841241141	0.621019938635	0.604096785498	0.510320842134	0.612310472077	0.573024809642	0.637574725734	0.509056100179	0.721097837624	0.687923214281	0.619951598571	0.631484985706	0.606517570476	0.581479751561	0.62116460753	0.622249048993	0.574525203523	0.546909005143	0.701948063203	0.5458606773	0.64158397352	0.588483398427	0.535101807945	0.553996460002	0.584623370277	0.569955631176	0.539782253126	0.545091503768	0.574286272534	0.564983425303	0.578833903253	0.525840124885	0.618058929726	0.61782140189	0.553210728264	0.572762397201	0.550898959135	0.591180228974	0.545947886692	0.539317771843	0.515342286232	0.534347890262
L.004.M1	0.54743625945	0.581243671166	0.651317423478	0.549505748843	0.563501093647	0	0.672290457394	0.600527918921	0.641944146736	0.546168341957	0.515681218092	0.544561083967	0.565573435206	0.578922826148	0.61752738807	0.595385080121	0.608376676286	0.641664841519	0.719107405945	0.702895663085	0.570116360525	0.64006990887	0.639769426626	0.669894702909	0.675099133525	0.518667841236	0.722330585135	0.591662763499	0.523449710102	0.684592966499	0.689321270151	0.758063232117	0.705640737992	0.685730206942	0.638507791875	0.525953846496	0.564201773036	0.745364008902	0.51532176234	0.703017860617	0.703971019308	0.743324787793	0.546436810454	0.611436691604	0.626478149444	0.605116233693	0.667291004848	0.674047192392	0.707394256701	0.650564390116	0.676516988169	0.627743590886	0.644319999792	0.766475383477	0.681599440148	0.681431140827	0.654984331789	0.680482627723	0.69825748898	0.597865006893	0.552302574796	0.509135577364	0.576160623524	0.479510212696	0.72288681993	0.518571297159	0.633415836934	0.542014184913	0.564359238305	0.684633160781	0.54383276099	0.696716181224	0.555309306571	0.560051811862	0.636342264484	0.401935962777	0.55749538917	0.506623036075	0.48186463499	0.555993536139	0.599493657986	0.500079839777	0.477974323081	0.516445486905	0.505431817554	0.423574425773	0.480339691593	0.403580671177	0.560133792298	0.485784183394	0.51141062823	0.603847302869	0.551727957165	0.586858858423	0.483839599603	0.572605646792	0.670694508233	0.55968189376	0.707138679414	0.575924896855	0.51455203359	0.562868996433	0.485008927931	0.654999887684	0.504614376399	0.692656240156	0.55672308722	0.667224725324	0.759474383134	0.608815421685	0.562213109554	0.604795590911	0.652695752385	0.776029652898	0.611927092457	0.673179647858	0.613910318935	0.636531959623	0.798514285988	0.622449694666	0.790098159648	0.685558994738	0.664092761883	0.764086388228	0.651371717354	0.680991928869	0.69604809709	0.684209506203	0.675783971617	0.524252309917	0.676919127054	0.6304359155	0.672949095976	0.585658746406	0.746650557972	0.754594373136	0.684600168768	0.677754792373	0.688223795371	0.635877837977	0.70981008903	0.677371877676	0.618199721969	0.573861572629	0.716506267433	0.522053474703	0.624192947567	0.56850796916	0.432330625229	0.544809903663	0.539449371013	0.53967537085	0.438660159026	0.45548212736	0.511423461182	0.521560533902	0.469696149315	0.493078816807	0.577847075612	0.489984388653	0.437269446794	0.517640105418	0.422021438182	0.500240406029	0.491123321244	0.50220657287	0.457385016708	0.406635814954
CS.009	0.606959905548	0.590010450043	0.526763994828	0.602168434004	0.623001027656	0.672290457394	0	0.588929583969	0.536950806256	0.623569343294	0.661199613984	0.603796258009	0.63033446495	0.586643651181	0.598603397141	0.615471276711	0.656556655654	0.567231763239	0.587694689867	0.664033418564	0.615140559726	0.585967338346	0.645863894124	0.579207639973	0.562301010677	0.62181058149	0.59578216406	0.590432436138	0.65186966257	0.581046130547	0.541918766906	0.642796401354	0.558015245483	0.531801221913	0.602487294767	0.616946677379	0.634918161888	0.630286340639	0.652639667241	0.58475121132	0.595514291737	0.603493442011	0.639078787786	0.614979641279	0.578433419139	0.595569404944	0.628315894859	0.611847478471	0.618463534988	0.60544370226	0.55730589417	0.607911464799	0.609215514712	0.627277305063	0.602422238962	0.571642061097	0.581864939788	0.606754307319	0.611224237913	0.632850117688	0.641601410441	0.609987505276	0.617269541058	0.668023983452	0.575604242093	0.645113912396	0.625656368166	0.605923810631	0.654079071398	0.660981209341	0.613957651577	0.512646570495	0.612956714515	0.586708481215	0.611205423151	0.693221968001	0.667878326763	0.674367504123	0.674088813447	0.646083085965	0.642189335002	0.69164399913	0.637611367396	0.611693729112	0.618972179459	0.692476679266	0.645415664656	0.709583252331	0.572328252581	0.651368930918	0.59613992055	0.61471763074	0.620274437303	0.579558938691	0.661637953451	0.664500505875	0.582546974503	0.621544069523	0.627426857181	0.655688634315	0.634799909827	0.632411675115	0.63281639909	0.642821720241	0.659568435171	0.627379048171	0.612228111398	0.586029867766	0.625164324812	0.613584888987	0.612332073921	0.654694608551	0.627948506657	0.613074342148	0.569729091105	0.614287864188	0.603174440501	0.552241030794	0.61782949748	0.621862838343	0.632000894953	0.575734900148	0.545814811657	0.565940648244	0.656777799921	0.554743040961	0.60242964483	0.576785460374	0.556702691127	0.635730578186	0.548960809737	0.577058096068	0.578799445241	0.593051098241	0.580142356305	0.647751538432	0.604833024523	0.5860174377	0.578349923625	0.560966726213	0.633567218902	0.592650881523	0.57862009549	0.61317226882	0.611766401303	0.632012233495	0.565432275096	0.614722126282	0.667571069175	0.627140839535	0.634291971661	0.635024891151	0.683583373645	0.680959881044	0.659118007618	0.617434212085	0.631320323359	0.635783302765	0.607836978109	0.642320277559	0.659973354986	0.639711681707	0.700229509335	0.656939960711	0.646819993239	0.61774321497	0.668117907362	0.691572907621
CS.039	0.551769336475	0.563674679688	0.619454018525	0.57250866124	0.577164703178	0.600527918921	0.588929583969	0	0.627626275551	0.592749986382	0.572636009795	0.569887821662	0.442619063247	0.559963810615	0.618580392814	0.614876748479	0.596691750534	0.616047791972	0.665361423369	0.69957120396	0.612717830905	0.558292230488	0.598959908595	0.621760096887	0.656196374132	0.605014378352	0.597382107506	0.619067238292	0.59888281507	0.590499063744	0.627333912961	0.729092615695	0.631309818651	0.664345325942	0.624627004369	0.615131780952	0.567852318584	0.637429939829	0.633268673928	0.682372128268	0.609054806358	0.685251946767	0.603994284766	0.622162500569	0.583116799241	0.615402173002	0.648537695595	0.637743037642	0.66786986496	0.638233978466	0.638657428699	0.646849690559	0.652399435472	0.669519061732	0.661695952784	0.635038691794	0.645972699052	0.64476316859	0.653304043009	0.640711301753	0.610701704673	0.613196427778	0.621205030656	0.604388646728	0.664326038061	0.637594848791	0.584031447151	0.621574842555	0.625461330264	0.677015462655	0.612912449088	0.660604049639	0.61231828074	0.599538333575	0.621502435504	0.619434788303	0.630997993713	0.627449493907	0.621814279114	0.633434229586	0.589609138282	0.645694586245	0.606738324493	0.60081442152	0.612782221393	0.631103222135	0.630762198652	0.632684972627	0.603895529817	0.61106669121	0.545936640922	0.573118372378	0.574729492828	0.565793394042	0.638106994416	0.575941439962	0.564788289409	0.550904459454	0.674149947274	0.587459539968	0.614766859098	0.520356090524	0.595060155023	0.623566418477	0.583624124907	0.664406886692	0.548793752733	0.613704255186	0.743030026051	0.644592894646	0.578200520236	0.569328875012	0.683894851719	0.690446463757	0.598227200636	0.665909909177	0.566757634562	0.618437679613	0.682717949508	0.64110521829	0.734025752339	0.584198058123	0.634910507759	0.645642395615	0.65601482199	0.673390833508	0.637976015107	0.655317480719	0.541305870032	0.601728189431	0.567234620691	0.580202639425	0.652816343861	0.607426195825	0.720584001545	0.68242520039	0.646281608054	0.631312073376	0.645905059742	0.643141614314	0.634074922305	0.652608863894	0.638425751948	0.62705440583	0.697268751079	0.604207909807	0.651475737951	0.618084024113	0.621956318647	0.581321295328	0.628742941503	0.603606677084	0.634179945916	0.629196227398	0.634230644324	0.589025586853	0.599017938447	0.582522673955	0.629141944146	0.626156113001	0.616116400342	0.597710691319	0.619399996489	0.609059680671	0.63801201554	0.605870405054	0.619441932983	0.602065543265
CS.260	0.616917280882	0.599186164696	0.531167074658	0.595715298211	0.602448445345	0.641944146736	0.536950806256	0.627626275551	0	0.626679851936	0.654655999173	0.621467461279	0.666417543635	0.609712426183	0.595518519795	0.608451913766	0.649834337467	0.544311644401	0.572438200492	0.663594411161	0.565356734692	0.595560806112	0.624901095023	0.559823886178	0.537415081117	0.581277048076	0.620323054552	0.537946022001	0.654331195583	0.563475732091	0.506692760779	0.660942984601	0.566759811386	0.510997819574	0.57966629134	0.574418924756	0.590410870465	0.642787042628	0.59841714433	0.548901749385	0.568762011586	0.619158937072	0.611274157219	0.580398814682	0.568868383081	0.521065852647	0.605064471155	0.598202799552	0.587879664153	0.551645824872	0.532444453035	0.578573223997	0.536736602979	0.60856775813	0.548239945256	0.526916011073	0.569378131911	0.554434292844	0.587369997801	0.583755759492	0.593040667139	0.575366695889	0.558945618197	0.606010151511	0.56366604624	0.597237194415	0.633304892961	0.550026708248	0.585660191619	0.64565138156	0.594670049109	0.544732112418	0.557817400268	0.590781071499	0.600820292726	0.653009582557	0.614138217404	0.62530655374	0.633217473664	0.603511243168	0.639167052927	0.635399346011	0.613322159547	0.582626152073	0.578648859948	0.642022371319	0.599665726546	0.670661796011	0.516827424567	0.609241952201	0.610524266829	0.632613634289	0.62189834586	0.60278054373	0.665685254847	0.675427195555	0.601885963987	0.605680199194	0.620327298176	0.613148668724	0.606537215707	0.624252523422	0.597248380922	0.673730294405	0.653920030758	0.597622066409	0.609129703139	0.568042260964	0.63361977915	0.544085411905	0.612180460365	0.655580463153	0.604719084126	0.65945858296	0.542404000448	0.622048807879	0.620850907243	0.524733278005	0.643648998973	0.57856744201	0.68947204099	0.596392235014	0.514035351848	0.611692058104	0.650434920838	0.531514026873	0.609731391189	0.547673751741	0.571581240713	0.565526642113	0.577516835934	0.590126704134	0.571655220142	0.543640204776	0.591354057865	0.616630543067	0.560016790122	0.574274137475	0.544788568389	0.540837468473	0.62237146505	0.547630770139	0.557549657894	0.559218159724	0.613396036904	0.601777835082	0.564377548882	0.578866318016	0.618957307215	0.629487665467	0.617085916196	0.596806180569	0.633570357405	0.663574142647	0.620662342198	0.603386472479	0.606427072807	0.604543651466	0.567658933388	0.639487946026	0.63319713624	0.63192404025	0.654895262054	0.651835461773	0.590299476357	0.592947726278	0.613325477607	0.639427594239
CS.243	0.544946023405	0.5514186237	0.627430298331	0.556079015789	0.519761559608	0.546168341957	0.623569343294	0.592749986382	0.626679851936	0	0.576889403983	0.543264556265	0.58352107759	0.576954121628	0.614740906297	0.599621680441	0.591613162741	0.615104671089	0.669683780638	0.713416439416	0.557346374019	0.575955832278	0.613149355647	0.628963122684	0.643085726963	0.542476105507	0.651335292861	0.555697055555	0.55433688871	0.635329019121	0.640106784552	0.734580363869	0.625447844485	0.638273508263	0.598402562432	0.559629640345	0.575352334073	0.657047131932	0.593753715784	0.684600143918	0.646952916119	0.694500864304	0.542912905348	0.571135968786	0.589538635647	0.610655685979	0.637697094099	0.637269434615	0.675811866732	0.640269245247	0.623884766507	0.642391016926	0.642733234523	0.705691835265	0.633418741287	0.656541669856	0.608155876526	0.626871081544	0.675194154338	0.59995918107	0.569800998469	0.559542098002	0.598680099447	0.556403423225	0.661910076267	0.587109490086	0.597573854571	0.583366645508	0.590368517816	0.66097291454	0.597076001315	0.650737508844	0.613960358618	0.559478361557	0.590058757773	0.548361756373	0.597821784188	0.561828115408	0.572881587277	0.579986924329	0.563193651488	0.584686168182	0.522721859815	0.518725006253	0.563756963431	0.563618998955	0.55636642299	0.558555158967	0.604605135322	0.53433085683	0.522095617021	0.595735468957	0.577905523485	0.562137819331	0.545368199487	0.554087060257	0.621521582348	0.575718753976	0.663489435318	0.601957541238	0.537730477847	0.568128744849	0.540314872793	0.633639960517	0.550783467335	0.66973490301	0.563962214982	0.611870595388	0.712255909916	0.610993831413	0.58667840496	0.575110206741	0.639494025871	0.736078254108	0.605669710367	0.654273437902	0.585719448724	0.612846793325	0.725846841189	0.613250428655	0.757450992911	0.622553323219	0.631064070685	0.70093365714	0.635445566936	0.645131060686	0.624836244042	0.620693771805	0.590938377984	0.560020345159	0.623934423368	0.591199344684	0.627117443931	0.58054051612	0.704945326044	0.701077909428	0.663551260461	0.648091608909	0.633758092661	0.610180199035	0.630045465375	0.643606974715	0.624620188548	0.597832289089	0.707118682682	0.558398356328	0.651262869606	0.604731937989	0.56137414708	0.567759968746	0.571604566549	0.602442324735	0.565216914738	0.542969460972	0.563200873711	0.567615889566	0.55817496662	0.555467503602	0.613645284648	0.576540270579	0.549393925748	0.556171179338	0.547799584473	0.562179754789	0.54075512242	0.550337750535	0.539485664655	0.530988553847
