L.033.M1	CS.019	CS.261	CS.039	CS.296	CS.293	CS.017	CS.257	L.022.M1	L.008.M1	CS.003	CS.101	CS.105	CS.043	L.012.M1	CS.067	CS.149	CS.064	CS.365	CS.171	CS.060	CS.042	CS.366	CS.077	CS.371.1	CS.072	CS.153	CS.063	CS.066	CS.373	CS.302	CS.292	CS.374	CS.205	CS.128	CS.282	CS.136	CS.375	CS.378	CS.232	CS.126	CS.203	CS.224	CS.376	CS.125	CS.268	CS.182	CS.147	CS.369	CS.348	CS.214	CS.148	CS.254	CS.372	CS.395	CS.323	CS.385	CS.129	CS.386	CS.178	T.CS.014	T.CS.025	T.CS.004	T.CS.069	T.CS.052	T.CS.082	T.CS.003	T.CS.062	T.CS.079	T.CS.042	T.CS.050	T.CS.038	T.CS.007	T.CS.046	T.CS.071	T.CS.160	T.CS.092	T.CS.100	T.CS.106	T.CS.091	T.CS.105	T.CS.131	T.CS.118	T.CS.102	T.CS.104	T.CS.159	T.CS.111	T.CS.139	T.CS.178	T.CS.110	CS.087	CS.356	CS.242	CS.088	CS.237	CS.103	CS.015	CS.085	CS.241	CS.082	CS.006	CS.246	L.034.M1	L.024.M1	CS.238	CS.387	CS.207	CS.311	CS.151	CS.188	CS.336	CS.346	CS.274	CS.330	CS.345.0	CS.325	CS.347.0	CS.165	CS.191	CS.113	CS.080	CS.152	CS.112	CS.194	CS.285	CS.318	CS.321	CS.227	CS.343	CS.319	CS.320	CS.158	CS.339	CS.163	CS.202	CS.326	CS.145	CS.390	CS.253	CS.393	CS.255	CS.262	CS.370	CS.270	T.CS.061	TFS.022	T.CS.036	T.CS.008	T.CS.049	TFS.027	T.CS.045	TFS.020	T.CS.064	T.CS.066	T.CS.031	TFS.025	T.CS.055	T.CS.043	T.CS.026	T.CS.142	T.CS.152	T.CS.166	T.CS.157	T.CS.151	T.CS.141	T.CS.109	T.CS.095	T.CS.158
L.033.M1	0	0.583300870393	0.612825127411	0.633380890546	0.587821307711	0.614067254319	0.643988789078	0.586014909649	0.647268565593	0.668839354972	0.633589866553	0.628981169409	0.605580237147	0.636659667297	0.63767628844	0.683776960293	0.628848039876	0.638128154748	0.604878372497	0.644107134271	0.597974392496	0.611913409248	0.676682821375	0.608454482379	0.597694178007	0.607440727226	0.637083456992	0.673204462095	0.588509466821	0.625978699077	0.669290652885	0.646284360706	0.642255709305	0.692555840571	0.611394005727	0.6694046672	0.629414744247	0.588219030847	0.652510946328	0.632688183318	0.59137361446	0.589596588117	0.725434829208	0.636801906248	0.647463072828	0.666111138645	0.653453970284	0.639105889803	0.716108063274	0.65742082698	0.623042853726	0.684927872572	0.651818876546	0.67479643343	0.680670355602	0.673493074591	0.663383194736	0.636806592139	0.680294667536	0.619565449095	0.621891295432	0.606583722358	0.591246886497	0.643719442883	0.628145918561	0.591150241535	0.583090583128	0.601415528181	0.632366877222	0.60917827012	0.616303158764	0.665292066889	0.646427017957	0.615997399689	0.646191256309	0.641450366857	0.653420594038	0.639914236601	0.642224155531	0.623694682916	0.668759787741	0.620174485847	0.630392672161	0.609551926535	0.627388678409	0.671616312086	0.544545132036	0.645337072557	0.63007274236	0.618487895818	0.569572183505	0.660823346163	0.604303735233	0.571966134267	0.637846692239	0.632291990336	0.587719845614	0.644229685512	0.614378425365	0.647215273118	0.563336891759	0.60604171083	0.583022344761	0.577163095707	0.599872468018	0.607379041966	0.655718156523	0.579869917198	0.655192741542	0.632165124616	0.592748606001	0.729053336763	0.65203553755	0.64189604126	0.708942313648	0.719401098233	0.659235152275	0.645956048928	0.607204656575	0.561922828939	0.605166703903	0.60031583782	0.623095301277	0.733234210835	0.684889519182	0.666309907656	0.561192951797	0.717831645218	0.652450087859	0.669453216098	0.632723556652	0.636033502238	0.587037578913	0.619345830093	0.588933817418	0.626037401357	0.604492497451	0.671957603793	0.69844000747	0.648123805562	0.656069551725	0.612715903516	0.663423519219	0.663337393206	0.631167886269	0.613127530613	0.623759781508	0.587409324249	0.648232250456	0.576213730253	0.59224898423	0.611320738635	0.582129795193	0.585216014555	0.569545348403	0.593321980575	0.576034604486	0.567210530288	0.671893051144	0.581257121996	0.58068482385	0.580874022224	0.556913182734	0.577281222701	0.587510285908	0.615974225445	0.613180999022	0.592235965516
CS.019	0.583300870393	0	0.531942055468	0.551769336475	0.517015777509	0.53330679123	0.529978519795	0.576275720941	0.612628126894	0.651108684527	0.550857039393	0.520310470162	0.500541451318	0.579596197392	0.566964116461	0.7258242198	0.608772636362	0.57133930904	0.496371435279	0.56647537969	0.594406756177	0.565346938859	0.688963451222	0.540795230917	0.579726186264	0.521385396412	0.550200714144	0.641847786951	0.558534081626	0.590005023493	0.694883075206	0.577216785506	0.6311921865	0.681576136246	0.558340495228	0.659407357316	0.593889143253	0.568930223115	0.671629680456	0.560698537932	0.538408620813	0.508095834608	0.73758629409	0.622621867051	0.624229417227	0.642516200606	0.594311639273	0.635693635669	0.714343191545	0.627606690368	0.628048608948	0.675402041392	0.63453710431	0.627664414334	0.617049616236	0.625662808847	0.626410265064	0.594786419393	0.682898422096	0.574115143506	0.577940489816	0.541955631047	0.554955315379	0.574960659703	0.629404834902	0.510460623232	0.526802660019	0.491629305147	0.644807848582	0.515174878642	0.571600556529	0.585883442339	0.630838451596	0.590298827552	0.549390740996	0.567579196665	0.599267232361	0.581226312301	0.56564371654	0.558316072528	0.636390450845	0.525878499804	0.573137613253	0.562426021194	0.548548899835	0.610593498619	0.512129201906	0.564365644713	0.544691516042	0.574721503328	0.559447018864	0.674343880596	0.525409849156	0.595124258312	0.610598092493	0.554936010678	0.565751176174	0.558069176768	0.525681999336	0.575465845119	0.508015395131	0.522954754439	0.554810679572	0.554797162494	0.53107264243	0.570236563719	0.670536187381	0.515673476952	0.583478287374	0.606543749188	0.599170929705	0.718124735001	0.631755875129	0.620035463104	0.724508135524	0.754415501955	0.651213589952	0.645277775626	0.539039031845	0.508953891044	0.554890016642	0.533061041115	0.584372968623	0.727121730672	0.68418758291	0.635396963168	0.511112159713	0.738646081871	0.616485712307	0.633340175294	0.587708777339	0.606547228358	0.621211009051	0.583149953933	0.635216317998	0.63348189029	0.526043946432	0.632897313542	0.732808055917	0.651328826263	0.601993637432	0.651505965019	0.616667846911	0.65177387175	0.565681226364	0.540747971458	0.558785927662	0.575007550343	0.63208914031	0.516024132792	0.544950546548	0.541295583131	0.513299369971	0.538799573187	0.532485887945	0.550633117515	0.545340708308	0.538948386397	0.696156450474	0.570157730529	0.53395252758	0.526337861131	0.550767853938	0.528183227511	0.562244927263	0.550048047669	0.570124114215	0.520318784681
CS.261	0.612825127411	0.531942055468	0	0.611789073722	0.441485561616	0.448098941508	0.558786984176	0.580051740085	0.469887867868	0.672140763203	0.524317160492	0.476041860176	0.491309561126	0.591763057702	0.511713935087	0.755946156697	0.628205980432	0.571915753306	0.508595274295	0.598708131471	0.615095107133	0.643634389289	0.725530799689	0.555812618515	0.586311098068	0.467927865363	0.579466250806	0.706517853782	0.587918746711	0.593980025077	0.731915718775	0.594010887952	0.666914643421	0.681142434172	0.567020928698	0.681815818634	0.626186940475	0.62281200844	0.701281427711	0.535440492768	0.497575250761	0.524849026376	0.75095069792	0.641578027766	0.650026751358	0.665096169895	0.569290490125	0.643900155678	0.743128702745	0.565064555089	0.625290439736	0.67130549369	0.64193212862	0.623175470803	0.62938406921	0.599551028499	0.642754857581	0.58826191901	0.688117584807	0.562694379427	0.541701877717	0.522790314397	0.545562715424	0.535891513004	0.61623124162	0.519484974711	0.436501622375	0.455695061488	0.681844019712	0.459211390256	0.574550021134	0.493267311927	0.633942850233	0.617296621497	0.508630729064	0.426603584821	0.547385337577	0.523572501597	0.416199582634	0.40516835291	0.533359930592	0.435948098755	0.53265781029	0.498751294319	0.436539081264	0.477473486571	0.469605052867	0.45428585335	0.424795819778	0.447469264463	0.614294025458	0.695474227463	0.450719724763	0.654520868128	0.668350809315	0.54529703333	0.57550605518	0.526180203405	0.467918305707	0.531190047929	0.537829684745	0.484684838303	0.56682795362	0.543752577749	0.560919325882	0.583448369764	0.684998164424	0.598903984563	0.586385535566	0.644775713206	0.579490316576	0.769127088281	0.669337536288	0.631467774094	0.779659997091	0.759168650549	0.711211928613	0.700130795594	0.464075474584	0.535824649219	0.605505609708	0.489940977743	0.649687824802	0.744904334743	0.745832673254	0.652424802453	0.518640259921	0.794261194978	0.650856605647	0.648895764802	0.575593951751	0.65820840283	0.642082717249	0.663268758166	0.636621345053	0.612955946508	0.562510996776	0.650438168035	0.745963036413	0.670767440846	0.571597340837	0.657402000411	0.633697705337	0.649763299232	0.56380664533	0.446366446324	0.540943416318	0.569280197451	0.65264670944	0.489212081618	0.54525751286	0.445898776696	0.47104285723	0.474622634249	0.511280034602	0.569631745288	0.506820680179	0.523484910655	0.713482224678	0.55424064956	0.495062000328	0.482145120634	0.520367834134	0.48703014761	0.535310198058	0.445667995597	0.459838475378	0.437324063138
CS.039	0.633380890546	0.551769336475	0.611789073722	0	0.612791928005	0.615675295748	0.442619063247	0.568218493056	0.633655580693	0.640879516093	0.582920548714	0.588737396619	0.59443572781	0.576811766066	0.594534151908	0.680992736035	0.616295904233	0.598959908595	0.591485173884	0.553343776874	0.558292230488	0.614448919858	0.698610663741	0.56864831925	0.614876748479	0.594558398974	0.550577020546	0.622889652601	0.572399981599	0.616737788345	0.685251946767	0.583116799241	0.629844703051	0.682372128268	0.622162500569	0.676308127227	0.580193697938	0.624627004369	0.626306254851	0.567852318584	0.615131780952	0.603994284766	0.729092615695	0.627333912961	0.664345325942	0.645727980622	0.615402173002	0.638657428699	0.669519061732	0.646849690559	0.648537695595	0.653304043009	0.642941447647	0.64476316859	0.637743037642	0.652399435472	0.661695952784	0.574808835396	0.669129183683	0.640711301753	0.619226627582	0.616416772714	0.621574842555	0.645283958118	0.647323367962	0.607614653762	0.623314585366	0.595454365861	0.660604049639	0.604388646728	0.586275952658	0.616946656194	0.6409945103	0.607906512485	0.637594848791	0.631079012705	0.645449337871	0.604363398273	0.632684972627	0.628901771148	0.631194515007	0.639552956088	0.603895529817	0.615779296345	0.618596886031	0.623554243175	0.602676292965	0.631103222135	0.612408276882	0.594042136424	0.573118372378	0.674149947274	0.595060155023	0.623566418477	0.564788289409	0.520356090524	0.575941439962	0.550904459454	0.583624124907	0.587459539968	0.545936640922	0.614766859098	0.565793394042	0.638106994416	0.574729492828	0.598227200636	0.658159180735	0.566757634562	0.64110521829	0.683894851719	0.644592894646	0.690446463757	0.668711634567	0.633660265946	0.682717949508	0.743030026051	0.65718331654	0.638558413576	0.611059122742	0.560614736486	0.580202639425	0.601728189431	0.541305870032	0.720584001545	0.645642395615	0.634910507759	0.605310753059	0.734025752339	0.652816343861	0.640811572338	0.619642023351	0.567234620691	0.656399799504	0.584198058123	0.65601482199	0.643141614314	0.62705440583	0.646281608054	0.68242520039	0.634074922305	0.638425751948	0.631312073376	0.645905059742	0.652608863894	0.618084024113	0.634179945916	0.581321295328	0.629141944146	0.651475737951	0.599017938447	0.603606677084	0.621956318647	0.582522673955	0.629196227398	0.589025586853	0.625343315433	0.604207909807	0.634230644324	0.697268751079	0.626156113001	0.605870405054	0.63801201554	0.597710691319	0.616116400342	0.609059680671	0.602065543265	0.619399996489	0.619441932983
CS.296	0.587821307711	0.517015777509	0.441485561616	0.612791928005	0	0.453413987045	0.581202404032	0.583025857484	0.539502062063	0.664942345707	0.51732250517	0.500323156069	0.508261891554	0.615129389894	0.532258532691	0.759424359694	0.64158840461	0.587916006881	0.484434210097	0.59793987859	0.631938380869	0.6488171621	0.719111225551	0.575658659854	0.585658434283	0.486663976135	0.591811684903	0.693522965814	0.590195303938	0.603052793541	0.736378614684	0.628021018702	0.664233327853	0.673695745352	0.571669052826	0.671792501355	0.63308309065	0.60407534593	0.697974136534	0.551060992625	0.51342417439	0.490109531602	0.765736604442	0.654750475852	0.649749492039	0.68716050226	0.605471260599	0.670851462792	0.745557608691	0.606099045138	0.625953205621	0.696192870551	0.655913058927	0.649202558137	0.635115993103	0.618534591585	0.648390034951	0.60693829903	0.709236626876	0.590014667499	0.541032409908	0.518187940114	0.559410345658	0.545119173026	0.638337573506	0.505945075741	0.452182879822	0.497943998542	0.676789743883	0.433836506336	0.603915203866	0.540184098206	0.644234851259	0.60324857566	0.502927672457	0.480974619873	0.522107935742	0.52291518324	0.469999194504	0.461342672308	0.572699797917	0.437333447651	0.57210194188	0.50431597177	0.469730605828	0.553623023123	0.491770847257	0.456413006329	0.479704867813	0.505171546103	0.569237763831	0.694165211837	0.459691916018	0.622391765307	0.660838834232	0.560478331429	0.576441196669	0.542420985626	0.511253722515	0.538516492385	0.520848834931	0.47684663343	0.560700696478	0.514899931657	0.55795221932	0.594021867728	0.679901010579	0.587251839156	0.562837226481	0.63486027664	0.586429521356	0.746941458633	0.653478579603	0.649369965026	0.769499202475	0.762088592158	0.696057907843	0.691957824161	0.465067461317	0.553366462547	0.619092269764	0.490172011875	0.658603161491	0.756470381823	0.733814162604	0.654349625736	0.483159871838	0.788314719437	0.658829828524	0.640474101076	0.625586021246	0.654982459724	0.605963639777	0.643872048195	0.646584973022	0.639898739843	0.541797246809	0.668885626766	0.74383138195	0.662499677341	0.600710863075	0.680865386512	0.655965044676	0.666896359237	0.549887856155	0.440842645949	0.543634603957	0.582311183618	0.641829017862	0.496931035029	0.551957523352	0.459627697948	0.513756468495	0.48125218332	0.534044337931	0.550133922006	0.525201151606	0.477488677948	0.732690309398	0.51677789434	0.494237131917	0.453349418014	0.517359640827	0.471241125226	0.533918385724	0.441723834931	0.470102819312	0.421449840699
CS.293	0.614067254319	0.53330679123	0.448098941508	0.615675295748	0.453413987045	0	0.553701036404	0.589134428417	0.523901537657	0.691732851957	0.541555932212	0.48226458782	0.533340404465	0.623549284999	0.503435411222	0.765499716988	0.682386357487	0.624460315534	0.5115108481	0.607700528978	0.635161296503	0.654898445964	0.748945406808	0.581247701803	0.611282569095	0.494985053473	0.612696154263	0.735238415822	0.586486471807	0.641605317034	0.727808032698	0.627946491226	0.695408294733	0.721169646766	0.607452496855	0.704621458648	0.671477744636	0.64506101373	0.712689115433	0.561170218122	0.5382606355	0.536220793655	0.774371641856	0.694797301816	0.681994156767	0.718009291363	0.625841423718	0.688781028526	0.773653437685	0.645094389327	0.65950388959	0.716553519456	0.679487215908	0.669756511644	0.676662297419	0.668791677287	0.695199702888	0.613538956846	0.714322769915	0.601030902145	0.568288026932	0.573838613155	0.57922340812	0.565205634445	0.677201611514	0.536296623337	0.441302521422	0.506258439584	0.701993045307	0.464221435152	0.607535153158	0.551499452952	0.655709115544	0.646799708741	0.526541751853	0.499664620917	0.543896001144	0.516735555817	0.41416843965	0.411057622755	0.594100949587	0.470635719757	0.573167599919	0.483336345232	0.458837986001	0.52872493321	0.445412567978	0.411705110405	0.500919604853	0.49476642773	0.588893865377	0.696940396582	0.48552798716	0.641063429269	0.687009858282	0.567237725224	0.536482557155	0.563622011286	0.466193310336	0.570127835084	0.525329367548	0.522016975001	0.588344226986	0.488195425846	0.56095739727	0.618695337657	0.714713192133	0.6140377341	0.620653873854	0.656804670511	0.622903166198	0.786021645266	0.691998950527	0.659589333104	0.80655081942	0.777941112964	0.726374004767	0.707428668003	0.47608840655	0.539670811942	0.639004085708	0.552954748308	0.680373245017	0.763019583743	0.767773806732	0.686395614715	0.528662795734	0.802917629954	0.674675160202	0.682908745837	0.614117352843	0.684272220861	0.661336971122	0.686493231134	0.65794602502	0.647667700023	0.593834019239	0.685388218859	0.761344609712	0.702300227615	0.644095674209	0.683205465107	0.67614614559	0.678635297557	0.583528621142	0.455203062448	0.545003037855	0.593553292295	0.653839013123	0.514291197089	0.544954784694	0.443384652829	0.511791740471	0.470982575536	0.525371900455	0.572500652674	0.515355401241	0.494816615392	0.725929768672	0.481176609709	0.488875936542	0.486749807545	0.510646188628	0.439225279013	0.480464737086	0.447455437376	0.423653917491	0.480008803387
CS.017	0.643988789078	0.529978519795	0.558786984176	0.442619063247	0.581202404032	0.553701036404	0	0.586321968735	0.620632819903	0.662833772577	0.571593227477	0.526162816245	0.564743373113	0.614177689131	0.565802189073	0.736637012365	0.646343515117	0.585991121312	0.564872357266	0.573477928677	0.630059580698	0.635267249636	0.720480257764	0.560711190023	0.622072032087	0.581550575019	0.589610218181	0.672533630778	0.539872448776	0.633630616235	0.722477341979	0.616265031303	0.664223398401	0.706554622154	0.621781504558	0.698515197329	0.626154189295	0.629816947481	0.679278419909	0.601261327705	0.616688159801	0.556617545876	0.747324431172	0.678211234635	0.697719758912	0.688385507463	0.646849261636	0.684138392878	0.730640882304	0.644520790178	0.666766157525	0.695893617351	0.681957413265	0.663404901101	0.666953199544	0.669255165928	0.683758924307	0.618640819644	0.711584821749	0.657107098251	0.636680065514	0.622564518377	0.639940948649	0.628067207509	0.691140312724	0.583210464378	0.567961449477	0.55808403189	0.688563923777	0.570117479587	0.600216779043	0.608784010974	0.681289137407	0.647542695219	0.609178450932	0.595449692005	0.634974866921	0.586622196485	0.585065377454	0.575439732308	0.644213290798	0.599065390273	0.613598816377	0.566647259221	0.576835299453	0.611211616788	0.576483384348	0.592288749253	0.56585865925	0.579751338352	0.586749348162	0.692809305267	0.585040179589	0.622786952726	0.635249239923	0.563194579104	0.519716555685	0.564123531781	0.527692841086	0.598148545343	0.549883311659	0.604361680555	0.554696606714	0.607980277866	0.566945118105	0.630527951259	0.691877260437	0.579895247806	0.634989612571	0.693131299841	0.663292933897	0.737552622355	0.701757052572	0.663563404456	0.746023015305	0.761126783924	0.684751849787	0.674319036849	0.575182357211	0.523079274711	0.607744974441	0.58874103118	0.60934894568	0.740201270532	0.720722839622	0.662216743628	0.563644237861	0.766260678054	0.671459651272	0.66188808918	0.627000515986	0.615457128658	0.673391630047	0.646967951573	0.675926317296	0.668096661141	0.62154530346	0.678471048035	0.741795861636	0.649032395829	0.641863662453	0.648155543064	0.649764726646	0.676835048396	0.62864266103	0.602182699356	0.585365020391	0.623557435708	0.663277449773	0.578562893219	0.578542765812	0.594504770108	0.569949757736	0.570281200017	0.571661614606	0.629441812964	0.565728936659	0.600419660955	0.726174287275	0.597032296264	0.599583664275	0.610119176748	0.576595259544	0.57432779352	0.570805381951	0.570271771389	0.56649420418	0.593350573708
CS.257	0.586014909649	0.576275720941	0.580051740085	0.568218493056	0.583025857484	0.589134428417	0.586321968735	0	0.582425893733	0.647476108654	0.572767369457	0.601477713111	0.598153400299	0.615166507985	0.60915748813	0.699455891726	0.64379840567	0.608284368104	0.580416094457	0.558341042073	0.588273370558	0.629569676933	0.712183589625	0.617979886608	0.628419608277	0.591151845847	0.57124372198	0.66616105292	0.56142034804	0.622693262785	0.721614533808	0.635133373254	0.657079042212	0.706015462615	0.618077797979	0.707886251963	0.609989367879	0.629748446717	0.646542925896	0.597625536921	0.622596766941	0.603010392888	0.724118154691	0.661523354279	0.66597921277	0.64679410016	0.646066424678	0.677120753673	0.705579161521	0.671327606894	0.673171045756	0.663106942051	0.667803169244	0.66732338331	0.657689536875	0.681686086323	0.675779308509	0.579842546963	0.682017432252	0.64246961159	0.624276922967	0.609147306203	0.647461419416	0.659932144034	0.678538105313	0.606703943171	0.599861476301	0.564411149203	0.68729787439	0.583473750878	0.595372996598	0.609705303003	0.670604159624	0.633697437964	0.625565905627	0.602097594177	0.610188826645	0.567382475707	0.608313141895	0.588503809185	0.598656047788	0.58716506149	0.624958836066	0.577232184318	0.560006071724	0.612845479669	0.566660563467	0.596210379806	0.578946649532	0.557629924209	0.557560840914	0.676566963988	0.564726952726	0.612052854074	0.609821576093	0.591589105153	0.590102981281	0.55671655141	0.582594892475	0.586367880088	0.548212507918	0.565376535847	0.545160737023	0.569840606645	0.593047114125	0.644281824844	0.65281321166	0.612004199906	0.647631787969	0.697566239163	0.641896699977	0.711318870222	0.685416540411	0.637185930516	0.710872386184	0.742968991298	0.668994103837	0.67310070446	0.611551533313	0.584709082639	0.603479423715	0.634077495452	0.601581358496	0.735340631457	0.70964263899	0.677072340007	0.582821952672	0.753195122602	0.665737253071	0.679715643257	0.63594887467	0.59209289659	0.65881742703	0.612099132449	0.649229131108	0.638374842827	0.653776816168	0.677606143492	0.702532078021	0.641780678641	0.63594375857	0.659313680397	0.673956583745	0.673156712256	0.639280992835	0.608443853105	0.582992167879	0.665049426701	0.673465047909	0.605733379461	0.625571539587	0.608569323764	0.587869542268	0.56157932779	0.592110893375	0.623268608588	0.58614635618	0.604870451913	0.703687383274	0.597041226958	0.56810088932	0.60284395499	0.544640947713	0.569621646788	0.567655059719	0.57963976751	0.589798290906	0.572126200976
L.022.M1	0.647268565593	0.612628126894	0.469887867868	0.633655580693	0.539502062063	0.523901537657	0.620632819903	0.582425893733	0	0.680453685214	0.525630702391	0.539840106051	0.578599836408	0.627679252423	0.513800322848	0.766977349485	0.673680834945	0.600379333192	0.592738596462	0.612049517136	0.641582127878	0.684259584569	0.752190128063	0.621823745869	0.66714679402	0.534056927819	0.608700487295	0.712472753005	0.613991608014	0.641441047765	0.760291198629	0.618668667759	0.688577000155	0.748240360492	0.636640207773	0.7154756578	0.648641747406	0.688172906775	0.713735304579	0.554591784444	0.587939422871	0.604826102011	0.78102147042	0.700829529742	0.690580701214	0.690232546568	0.63024437966	0.696976847786	0.764207737108	0.614746956294	0.68807195703	0.703396571824	0.690353049928	0.676445651943	0.669852657864	0.669787203695	0.678645479325	0.619543992139	0.723148177573	0.626547133371	0.590706405711	0.593796644803	0.637021914261	0.624254025397	0.663662914691	0.60239709576	0.549322693251	0.555159940528	0.721021781298	0.526299645861	0.627120711652	0.519623301276	0.688971017729	0.661792532953	0.590995493212	0.468498657787	0.519413519614	0.518523058667	0.472517415988	0.491894281029	0.492918884798	0.52474108264	0.609584040566	0.540626682701	0.467753028495	0.439612019902	0.579302532787	0.487110400821	0.496807583652	0.476651237528	0.652901685036	0.743302551413	0.531223978351	0.70441150144	0.674570898263	0.560202633145	0.615352006269	0.545921341627	0.555422248917	0.529803978523	0.58024234599	0.543332090276	0.621663090153	0.576603520763	0.607724612957	0.660000621837	0.694153850748	0.669456069792	0.629618785265	0.719060838354	0.641067147071	0.782604926874	0.730541974562	0.674892235412	0.785575789652	0.778867860706	0.720805981712	0.746909710111	0.542739803427	0.62496939429	0.635383884201	0.567031284858	0.668725127664	0.787955389927	0.752058767053	0.702097462813	0.604784791153	0.809876289334	0.698874980462	0.707659556967	0.630441176336	0.672376220059	0.695683468109	0.670886936581	0.685454346967	0.626651667938	0.628628794954	0.687254258769	0.759619425135	0.707541771943	0.621926287958	0.702838630589	0.68751633618	0.687938807284	0.656316372895	0.520159734598	0.539305326347	0.67118688274	0.687638673699	0.605409598308	0.632050098898	0.510454899783	0.578522780656	0.525080711999	0.603459124291	0.65563529375	0.60146759115	0.610951910913	0.746609601283	0.63838943088	0.566037869075	0.582928573301	0.578961994658	0.569730373504	0.621401219994	0.483264886045	0.497500826336	0.53967794552
L.008.M1	0.668839354972	0.651108684527	0.672140763203	0.640879516093	0.664942345707	0.691732851957	0.662833772577	0.647476108654	0.680453685214	0	0.68798117203	0.690047883937	0.649570116494	0.601431466217	0.626198341892	0.641007001848	0.580786063668	0.678919696093	0.625991098687	0.644281865906	0.625026736461	0.628940799148	0.57323716166	0.628257902168	0.604330688249	0.655193318617	0.657775283832	0.653829533965	0.664389259236	0.559577212024	0.642064406068	0.644542283772	0.602446646202	0.570435984341	0.622719339351	0.569179921925	0.604283617383	0.60350184504	0.652918958652	0.645000802593	0.616701998963	0.650113486891	0.620704510759	0.569605284867	0.551915954246	0.639320428904	0.575817550027	0.554508453971	0.666565747061	0.607634834239	0.64014779235	0.599907759035	0.605361189111	0.586014842902	0.649827562998	0.593163239928	0.611240634702	0.604424211844	0.616783456589	0.665741369557	0.650477528275	0.605648519747	0.577204253582	0.608509404768	0.618923528346	0.643762589559	0.651725880887	0.639922418103	0.557688504677	0.65124727159	0.628104595911	0.678971470338	0.574314892649	0.575810791802	0.61960056875	0.673805542161	0.690152193533	0.676507562617	0.692695169227	0.680877060989	0.708202528983	0.655471453037	0.558585537163	0.692433493823	0.687512711712	0.704938107354	0.657671320286	0.65376943426	0.662802157979	0.645410220444	0.624256157849	0.635371674069	0.639483916587	0.675500667346	0.59401932232	0.653935625409	0.681121030704	0.628212181565	0.683103985407	0.674547653145	0.620914754852	0.633592434403	0.622532170925	0.659590838507	0.610344824463	0.557482743838	0.597047652578	0.636530787847	0.620324396441	0.635993083165	0.622771025063	0.593524030993	0.552470548115	0.559898138806	0.648777725469	0.629268897846	0.576876040327	0.634355160985	0.680380877326	0.651940920127	0.606420742749	0.63963945218	0.620425494282	0.586087776646	0.627748272678	0.52328665386	0.643374148192	0.674702477709	0.550296829783	0.54170612209	0.569047220053	0.584721170166	0.595782665259	0.626577765451	0.666132628528	0.563734161097	0.613032148233	0.57015702913	0.674463824301	0.666128488592	0.568641820512	0.575918761215	0.59602506446	0.609594129297	0.590886240773	0.686739072696	0.672947650971	0.613012490204	0.515975162519	0.63820255084	0.643629106129	0.662735849057	0.627072731845	0.669964635643	0.634821376362	0.562940532627	0.638151975099	0.649078695133	0.641437588633	0.617338112529	0.653931913622	0.654006511818	0.637566773588	0.636603259274	0.656500318663	0.671303557009	0.68509711587	0.654103500472
