CS.313	L.005.M1	CS.245	L.002.M1	CS.099	CS.017	L.008.M1	CS.259	CS.005	CS.021	CS.043	CS.059	CS.261	CS.280	L.007.M1	CS.377	CS.155	CS.230	CS.269	CS.153	CS.067	CS.066	CS.382	CS.161	CS.287	CS.334	CS.381	CS.367	CS.388	CS.305	CS.236	CS.375	CS.205	CS.378	CS.232	CS.125	CS.380	CS.302	CS.376	CS.126	CS.128	CS.282	CS.374	CS.136	CS.224	CS.182	CS.178	CS.183	CS.147	CS.386	CS.214	CS.256	CS.323	CS.389	CS.148	CS.129	CS.348	CS.395	CS.254	CS.385	T.CS.025	T.CS.067	T.CS.071	T.CS.023	T.CS.014	T.CS.038	T.CS.059	T.CS.041	T.CS.019	T.CS.024	T.CS.035	T.CS.022	T.CS.029	T.CS.072	T.CS.016	T.CS.115	T.CS.161	T.CS.111	T.CS.122	T.CS.107	T.CS.147	T.CS.129	T.CS.128	T.CS.105	T.CS.126	T.CS.110	T.CS.178	T.CS.100	T.CS.180	T.CS.134	CS.088	CS.238	CS.237	CS.241	L.024.M1	CS.082	CS.006	CS.356	CS.103	L.034.M1	CS.246	CS.110	CS.085	CS.242	CS.015	CS.150	CS.311	CS.191	CS.387	CS.347.0	CS.345.0	CS.274	CS.228	CS.234	CS.338	CS.233	CS.363	CS.346	CS.164	CS.336	CS.331	CS.343	CS.080	CS.112	CS.223	CS.319	CS.318	CS.194	CS.361	CS.163	CS.322	CS.320	CS.202	CS.321	CS.339	CS.270	CS.390	CS.253	CS.145	CS.326	CS.393	CS.262	CS.255	CS.370	TFS.021	T.CS.043	T.CS.031	T.CS.049	T.CS.055	T.CS.026	T.CS.045	T.CS.066	TFS.027	T.CS.064	TFS.025	T.CS.036	T.CS.061	TFS.020	TFS.022	T.CS.157	T.CS.152	T.CS.158	T.CS.109	T.CS.095	T.CS.166	T.CS.141	T.CS.151	T.CS.142
CS.313	0	0.46882909622	0.566863452913	0.670819723424	0.523021076491	0.568729036935	0.651285598096	0.49192420117	0.49055566959	0.644722283651	0.592944135784	0.526235558932	0.477093861612	0.484532350295	0.473145189433	0.682330468638	0.543456350707	0.716545608369	0.766016764489	0.597987903879	0.763751569231	0.586472217767	0.569788771296	0.682191563258	0.61927074808	0.711109775994	0.572219636794	0.746037654194	0.718574318148	0.524206214005	0.700617456038	0.64597125113	0.71358531448	0.701442878598	0.533426395635	0.658722126859	0.546801281114	0.739901133994	0.681835677209	0.544803411308	0.592316118378	0.691718754956	0.670260835993	0.634855015627	0.76374399537	0.582671170378	0.605056525768	0.7599803275	0.67403022959	0.72116040802	0.667614848209	0.673698137899	0.654950268911	0.656232096453	0.697910802931	0.59627028041	0.616887834408	0.663915555852	0.66133099871	0.661040140784	0.552431192042	0.550878288566	0.540638989109	0.743453077251	0.54184742876	0.528366264063	0.581471461987	0.550294616284	0.609463377007	0.570915508565	0.572906309316	0.601697678801	0.623980580336	0.529717828424	0.590955736573	0.465237809107	0.494499793947	0.518511884306	0.491257673333	0.490464615991	0.468035313057	0.508887291054	0.547376383807	0.563139778779	0.488217750896	0.462845811254	0.481293143777	0.502212753952	0.565104874074	0.521200288792	0.658235369826	0.555225200205	0.649306482988	0.507771044761	0.52986100434	0.519289022392	0.546624774453	0.693809934226	0.560390852785	0.565093007769	0.504593259246	0.651061773497	0.525880026631	0.483635617193	0.564461276063	0.566441027221	0.616132413776	0.498577624028	0.613536926987	0.694427542231	0.778677596866	0.693102053761	0.618926740753	0.669654824309	0.620829716024	0.555822729391	0.659137808815	0.763113375951	0.724935750116	0.597076176144	0.551645181564	0.67433403683	0.611903352758	0.65846271487	0.667208278039	0.661713932469	0.660154415821	0.759833138129	0.68054506525	0.658638772941	0.695594991012	0.604808406059	0.664969656072	0.540508356141	0.669707524702	0.671558142555	0.666602117711	0.734025716213	0.598930983647	0.615091081697	0.672463924333	0.670708322128	0.613001909877	0.67680637691	0.590995133126	0.542558460426	0.546131428732	0.643153646101	0.535203897784	0.72286326063	0.573268972662	0.494640267241	0.536637777444	0.524168666287	0.591909949675	0.528484620755	0.59925395294	0.482307704799	0.483453173245	0.524760276271	0.516917858569	0.471813178089	0.435871775913	0.447983560632	0.4828922518	0.550013016297	0.500649630805	0.54990906906
L.005.M1	0.46882909622	0	0.533599291958	0.675179688168	0.528478141922	0.576144335769	0.66082325362	0.449527879233	0.550327189536	0.652132628218	0.629870232711	0.577105425758	0.481881441163	0.460351368344	0.390179823011	0.737236406007	0.591619459299	0.742227511095	0.77940550366	0.64320099336	0.765693573661	0.586420253924	0.526274020237	0.715861790922	0.676238914972	0.731511898345	0.593210868607	0.753695194655	0.703353026357	0.521501040895	0.744792293265	0.650391110156	0.702912691442	0.708192684742	0.59519432061	0.686516945681	0.535622026526	0.74041744101	0.685877483267	0.557980950747	0.625487975842	0.712623033209	0.681641501422	0.675692280642	0.763750922127	0.641920162799	0.622157450099	0.766436870091	0.690471711933	0.735711963407	0.685344732182	0.685941102076	0.67689599835	0.704104460495	0.70452241836	0.638789429835	0.662770196832	0.6989052353	0.701113207025	0.704842100459	0.552082213636	0.511667206266	0.527970276964	0.763111770477	0.568684878586	0.603068045182	0.662528905132	0.569256814073	0.645957400638	0.564008090814	0.554658608529	0.618684304682	0.663331239829	0.590071135525	0.589722162061	0.496959810678	0.568930829431	0.464224608733	0.488874684048	0.452051626311	0.436469031332	0.519127341676	0.582820108496	0.63665130294	0.507167370595	0.513947963627	0.533885018291	0.505624223441	0.586791719791	0.485705978929	0.638883089851	0.564221027642	0.684707001766	0.504683457533	0.471278020676	0.601019477842	0.504323281988	0.698888779602	0.582598411405	0.572105888982	0.542594482881	0.67101029769	0.58409982225	0.494078019527	0.524220739841	0.625326196061	0.624527211316	0.484887579108	0.627715936453	0.714039338831	0.797485168336	0.696105091614	0.650889381143	0.706474031173	0.683715312595	0.614566644201	0.692293813765	0.787322618622	0.760165656616	0.628924779981	0.610825495844	0.666747138555	0.641494378643	0.682020850575	0.693017522699	0.678361294693	0.681181878438	0.750748882668	0.70345846165	0.691526483151	0.697775806925	0.614729260928	0.671571088424	0.507640628692	0.654273895355	0.686525249642	0.690025223791	0.76676564922	0.601397742644	0.65134385365	0.706757760937	0.691202929228	0.643211384456	0.686355730364	0.540659495886	0.46994096677	0.535250406912	0.645037256654	0.512929170719	0.730532675148	0.557244613298	0.473383576922	0.472391318473	0.507561113869	0.556318030343	0.582138999721	0.58497637267	0.47710349953	0.479621899557	0.492204678617	0.506951699452	0.469561376123	0.449416991553	0.421791601287	0.484597992573	0.458748057708	0.431406468203	0.457786125003
CS.245	0.566863452913	0.533599291958	0	0.652413548231	0.605477571618	0.582744495369	0.613230329239	0.533214427968	0.612081257864	0.603879893231	0.60305756405	0.570332185341	0.533111515018	0.564970967318	0.552334191399	0.705265439745	0.606222619792	0.670300260135	0.705678192905	0.605191395585	0.691016632483	0.591704510896	0.540470804532	0.63040431222	0.638070413449	0.693938172701	0.600192408031	0.683820438533	0.628548047223	0.581782027325	0.694730253024	0.569575557489	0.666950968129	0.651906385477	0.600315040808	0.628261297061	0.561645893278	0.667010957624	0.608776393383	0.5483570838	0.613068254643	0.661754938583	0.626572589731	0.627187731737	0.694076220416	0.613482519275	0.599139243925	0.705906323709	0.640925224004	0.684159932555	0.62322866129	0.669284034588	0.658953847016	0.639907119815	0.664751597092	0.603021431048	0.629379092473	0.669890040906	0.64828097387	0.665198634368	0.573156915897	0.513443350664	0.560527372907	0.693757269295	0.574303939348	0.625536286733	0.641789458635	0.542235735719	0.56007103222	0.54112343042	0.541897243474	0.586993154453	0.620975636499	0.579601414179	0.549055992617	0.585764322706	0.608065718736	0.514404529712	0.575176356144	0.551495452261	0.591055075898	0.607312901401	0.64353351145	0.666947028582	0.565657882692	0.55894141465	0.589453146569	0.598608324046	0.619010834176	0.552322473651	0.590422044873	0.602864250413	0.619858138041	0.580949777652	0.563357182119	0.615040905601	0.535174458787	0.629783070292	0.592303794741	0.585988980302	0.56996697783	0.621278491384	0.598282231994	0.539199389228	0.559949990857	0.60628717685	0.564597489609	0.557109578181	0.557819823251	0.672623279545	0.705438675506	0.629408966978	0.63104628485	0.647998973842	0.646009683519	0.628507877059	0.638704700695	0.691795451456	0.685037115305	0.591049266449	0.647446540252	0.633264972553	0.596763902134	0.60539560157	0.622195064583	0.641722109069	0.640248024507	0.708908494907	0.613337073452	0.622187941601	0.662988117056	0.585883783485	0.586220867218	0.544374522967	0.612412928372	0.645149889173	0.640068338588	0.727249385162	0.587532873781	0.619479517207	0.636571296825	0.626284132889	0.636039918931	0.65907355061	0.54615210201	0.549394721371	0.52619114946	0.61883814636	0.552461584437	0.674017998252	0.535073161706	0.581576272554	0.513133717842	0.54141794112	0.529124179642	0.608812889953	0.560478540773	0.570629594229	0.581718840683	0.514737046035	0.530010968929	0.559571715164	0.577621981157	0.584214780792	0.563456983781	0.497322240392	0.538640720879	0.531778518221
L.002.M1	0.670819723424	0.675179688168	0.652413548231	0	0.690540966204	0.654820838642	0.637491014633	0.649811087563	0.69158531477	0.612108804234	0.647593397859	0.621690955205	0.64303205924	0.661754829739	0.678176508569	0.663023807162	0.611268791404	0.667982325606	0.717288294514	0.676412372978	0.639201696437	0.646988712204	0.611360179988	0.619990570069	0.611853520709	0.623344386993	0.635664164691	0.669447892997	0.723647249059	0.644598495065	0.663653035767	0.605227990404	0.667111228695	0.668649384503	0.660060469605	0.625286933451	0.632347201719	0.692543865418	0.595402019799	0.624185181797	0.627460468284	0.645048195323	0.61263531232	0.656829641241	0.681312303302	0.626083861953	0.650942795455	0.642472842789	0.625095818803	0.56330761894	0.641463448744	0.603756399223	0.640632675747	0.627674558807	0.617879589789	0.594674643484	0.653036746794	0.628542007396	0.620066901835	0.665053998903	0.625339597819	0.628898393709	0.681490016915	0.738617101436	0.647108077942	0.66020792638	0.667940778421	0.626283222414	0.668049194778	0.633098227551	0.65549328434	0.660555895927	0.645538620397	0.669606070648	0.625308724245	0.676748580476	0.66432848754	0.61683747971	0.645761674494	0.655726717001	0.678225341694	0.670494203113	0.635002370194	0.669518862014	0.653074081201	0.66264127226	0.652045367455	0.673305686464	0.646575488717	0.64762353591	0.680883638997	0.638358458114	0.63608688284	0.654705589318	0.669342091192	0.688988205826	0.654592287303	0.685974201292	0.651376848816	0.609139330676	0.658057015255	0.626346308969	0.652092154566	0.63240610701	0.673718068711	0.600339825298	0.639956134443	0.650828317329	0.600041185168	0.633209292984	0.704646937634	0.633344367292	0.653831915132	0.641087463008	0.620436629492	0.673579898836	0.605450035357	0.680903635672	0.692815276661	0.656050904689	0.611100494056	0.566700185491	0.625918486233	0.630579140837	0.642696973786	0.62248912794	0.628738905138	0.66890271868	0.658354971808	0.666151586056	0.624896649371	0.629006583713	0.700911555468	0.670803793674	0.654380697792	0.621261194884	0.614996484573	0.68842637361	0.609350066976	0.624420203544	0.664634394526	0.590144173374	0.59399752945	0.607460599751	0.626875937459	0.652348041924	0.617187138622	0.6149431342	0.642904023858	0.673211586848	0.639474883835	0.656638362842	0.658316830372	0.609330401046	0.638274418151	0.643016220285	0.651429312163	0.65827828182	0.662637885097	0.663003302937	0.645188187333	0.646087781856	0.674553341995	0.684397602752	0.639852245717	0.639871154744	0.642689344503	0.672530037508
CS.099	0.523021076491	0.528478141922	0.605477571618	0.690540966204	0	0.533471986288	0.677094179165	0.548294247393	0.496823200064	0.647807693572	0.606764485424	0.574159539221	0.536340598092	0.526468934663	0.531782600374	0.696897009995	0.642540094211	0.72285554362	0.762310358085	0.568163836632	0.744719348914	0.545412544987	0.632414166654	0.682261831589	0.675585405723	0.734175336188	0.612605888473	0.739700494553	0.731771639282	0.564451881765	0.687734524285	0.659370161235	0.737596370123	0.678788547863	0.551244960605	0.71067518382	0.604077217103	0.759870738748	0.697131763154	0.615095492067	0.640879887104	0.72308628535	0.691865659601	0.629563827483	0.77702877056	0.644927917677	0.640340622355	0.752511289894	0.686072827458	0.727121189185	0.670786719856	0.697967297007	0.68014116828	0.689425005634	0.712573461842	0.606380860117	0.668074837711	0.663010394213	0.702583847813	0.680232585306	0.5828071852	0.581486578944	0.595621459128	0.74663094933	0.599958710461	0.582141723665	0.586183558058	0.58680509767	0.645673727291	0.610064009766	0.578799036849	0.625723540006	0.602229690301	0.584069063758	0.613184167925	0.536434650589	0.546169662556	0.550447539445	0.553899798896	0.544127548561	0.511187009077	0.577129125537	0.582690395723	0.556224910453	0.563472596754	0.55526137616	0.544031266346	0.568368262915	0.557717708846	0.570501361853	0.636526086958	0.530728841462	0.634547939294	0.53454486903	0.541158440459	0.525681857172	0.485995529663	0.688389134099	0.532886639847	0.592572033165	0.545136209198	0.62874310945	0.520498178305	0.532982363623	0.550085019733	0.59086484377	0.601570792381	0.549647617029	0.654609720366	0.689907488913	0.763702891748	0.716181561962	0.582421746482	0.696855813933	0.648981744559	0.546643850307	0.692489653448	0.752890571725	0.695765559767	0.647211843952	0.601709516069	0.695858867759	0.603121778191	0.622548505134	0.698821845766	0.702927668087	0.696716269582	0.771440425484	0.685491673436	0.630265968756	0.720722939111	0.65203450018	0.666219160689	0.559301543709	0.663344891469	0.70247758175	0.694346355318	0.726911899571	0.644252844018	0.646430881411	0.69532163593	0.702030078971	0.64406335018	0.687139933277	0.596478776344	0.595394338363	0.575748137173	0.683654037456	0.556356185403	0.731142326403	0.603512051571	0.522838897998	0.568524919889	0.55387672997	0.635440095435	0.544506234598	0.636061907871	0.539003298739	0.534375669926	0.541076276267	0.562759430358	0.547772665504	0.511840399758	0.524555143634	0.558505261911	0.582165186773	0.555895533752	0.589888248758
CS.017	0.568729036935	0.576144335769	0.582744495369	0.654820838642	0.533471986288	0	0.662833772577	0.562955199547	0.575844183259	0.632813267639	0.614177689131	0.588257943427	0.558786984176	0.546508904973	0.560294875764	0.703313009649	0.635844266913	0.716384534523	0.750826783137	0.589610218181	0.736637012365	0.539872448776	0.601405771371	0.671759867145	0.660485230065	0.687137645118	0.60025420091	0.740258655223	0.707543816428	0.592920016077	0.658846170682	0.629816947481	0.706554622154	0.679278419909	0.601261327705	0.697719758912	0.60753043162	0.722477341979	0.678211234635	0.616688159801	0.621781504558	0.698515197329	0.664223398401	0.626154189295	0.747324431172	0.646849261636	0.657107098251	0.73670031594	0.684138392878	0.711584821749	0.666766157525	0.672887166235	0.669255165928	0.678874460107	0.695893617351	0.618640819644	0.644520790178	0.666953199544	0.681957413265	0.683758924307	0.622564518377	0.620361654901	0.609178450932	0.74327909388	0.636680065514	0.608784010974	0.610291141051	0.572036604177	0.652039192922	0.584427940735	0.580639532339	0.604091754449	0.631206571443	0.593659676931	0.599868674718	0.587416221186	0.617193817738	0.576483384348	0.598218532155	0.576121477094	0.570222692173	0.594120546479	0.627807633178	0.644213290798	0.60522534606	0.579751338352	0.56585865925	0.586622196485	0.604419841891	0.598132336653	0.622786952726	0.566945118105	0.635249239923	0.527692841086	0.607980277866	0.598148545343	0.549883311659	0.692809305267	0.563194579104	0.554696606714	0.604361680555	0.619765786787	0.564123531781	0.585040179589	0.519716555685	0.614972628856	0.579895247806	0.575182357211	0.630527951259	0.684751849787	0.746023015305	0.701757052572	0.586585531368	0.695606773459	0.644167796556	0.594617734977	0.674484226736	0.737552622355	0.692954228618	0.663292933897	0.617215002737	0.671459651272	0.607744974441	0.60934894568	0.690800986053	0.66188808918	0.662216743628	0.740201270532	0.657588347411	0.646967951573	0.699390248794	0.627000515986	0.675926317296	0.563644237861	0.673391630047	0.676835048396	0.678471048035	0.741795861636	0.62154530346	0.668096661141	0.649032395829	0.648155543064	0.641863662453	0.649764726646	0.63281555338	0.600419660955	0.571661614606	0.663277449773	0.565728936659	0.726174287275	0.578542765812	0.570281200017	0.578562893219	0.569949757736	0.629441812964	0.585365020391	0.62864266103	0.594504770108	0.602182699356	0.576595259544	0.599583664275	0.593350573708	0.570271771389	0.56649420418	0.610119176748	0.570805381951	0.57432779352	0.597032296264
L.008.M1	0.651285598096	0.66082325362	0.613230329239	0.637491014633	0.677094179165	0.662833772577	0	0.636557543144	0.687919707525	0.590591601412	0.601431466217	0.67672343637	0.672140763203	0.69149829198	0.651612770396	0.632029432575	0.582071668787	0.622896959912	0.634756112753	0.657775283832	0.641007001848	0.664389259236	0.591233046832	0.596471571127	0.591698953	0.602685613442	0.637763044448	0.619090827071	0.678528772086	0.655684888847	0.687543516867	0.60350184504	0.570435984341	0.652918958652	0.645000802593	0.551915954246	0.630723296672	0.642064406068	0.569605284867	0.616701998963	0.622719339351	0.569179921925	0.602446646202	0.604283617383	0.620704510759	0.575817550027	0.665741369557	0.650804785279	0.554508453971	0.616783456589	0.64014779235	0.570520298129	0.593163239928	0.571492100217	0.599907759035	0.604424211844	0.607634834239	0.649827562998	0.605361189111	0.611240634702	0.605648519747	0.607563407954	0.61960056875	0.726802900608	0.650477528275	0.678971470338	0.642421351135	0.625221030045	0.627182378657	0.612633428291	0.643052273781	0.623367581263	0.651008534335	0.637777150579	0.636298318802	0.692687295696	0.644635074872	0.657671320286	0.640389302925	0.664973531293	0.697299804623	0.698134173062	0.639368548402	0.708202528983	0.620761172426	0.645410220444	0.662802157979	0.676507562617	0.672348066626	0.6446260094	0.675500667346	0.610344824463	0.59401932232	0.683103985407	0.659590838507	0.674547653145	0.620914754852	0.635371674069	0.653935625409	0.622532170925	0.633592434403	0.605548065154	0.628212181565	0.639483916587	0.681121030704	0.595523095931	0.636530787847	0.680380877326	0.557482743838	0.576876040327	0.648777725469	0.552470548115	0.612566032491	0.623256308385	0.595546409642	0.683108079353	0.561494516114	0.593524030993	0.668422082182	0.622771025063	0.616633111053	0.550296829783	0.606420742749	0.620425494282	0.573080763939	0.54170612209	0.52328665386	0.586087776646	0.626096011145	0.626577765451	0.563477625451	0.569047220053	0.666132628528	0.643374148192	0.595782665259	0.609594129297	0.57015702913	0.674463824301	0.613032148233	0.563734161097	0.666128488592	0.575918761215	0.568641820512	0.59602506446	0.637467875783	0.649078695133	0.634821376362	0.515975162519	0.638151975099	0.641437588633	0.643629106129	0.669964635643	0.63820255084	0.627072731845	0.562940532627	0.672947650971	0.590886240773	0.662735849057	0.686739072696	0.637566773588	0.653931913622	0.654103500472	0.671303557009	0.68509711587	0.654006511818	0.656500318663	0.636603259274	0.617338112529
CS.259	0.49192420117	0.449527879233	0.533214427968	0.649811087563	0.548294247393	0.562955199547	0.636557543144	0	0.516371759787	0.624125854273	0.602548891192	0.546146802757	0.461411330678	0.483008122715	0.424739722273	0.668122409476	0.530134284332	0.692677041512	0.733821941218	0.585692047632	0.745958776925	0.550011493198	0.518668869976	0.694395577888	0.624671228653	0.689403077017	0.529598350887	0.741462764273	0.658757256908	0.482894900183	0.715249928418	0.607795585281	0.678307828306	0.689656095462	0.562125351538	0.652660558006	0.469753210673	0.708260659977	0.646007030729	0.495321590566	0.584768262467	0.671507234407	0.680394144006	0.627198358804	0.753951960916	0.589094822333	0.569829563382	0.730516164689	0.657005277021	0.715820424235	0.635472988688	0.664769469104	0.637075714638	0.649682017536	0.682611312958	0.598696583839	0.599423693528	0.640587610573	0.642491771328	0.660916616498	0.549705072108	0.49023990562	0.494740704913	0.720861288026	0.523090134357	0.560836059564	0.620352804238	0.528213218784	0.618096703719	0.530614174015	0.51368108423	0.574093534505	0.632118041307	0.52044803816	0.536561868624	0.491088222436	0.547277829627	0.456043127995	0.46377480414	0.464000274359	0.456692572904	0.475968278134	0.551383029911	0.609343796775	0.495504881095	0.498165882429	0.529864147346	0.531933842338	0.585471237002	0.468183719738	0.63304933174	0.559654750858	0.66641813033	0.530888694688	0.527411454417	0.557246303986	0.520745344902	0.675496017279	0.563109951163	0.572840851721	0.515664571901	0.65679625249	0.551822380851	0.470631985959	0.554888657435	0.577436155229	0.592012539392	0.461411934681	0.566292477595	0.697251905519	0.774484529482	0.649943061192	0.633651409582	0.662759583503	0.639401022611	0.605900461497	0.637615585498	0.751904769079	0.742731064035	0.572637078842	0.582954242005	0.66094230957	0.599621348378	0.643361837387	0.633739844272	0.638569567436	0.638019457544	0.731845487908	0.662357768254	0.647604274254	0.679401396401	0.593664903197	0.641124647702	0.510768768465	0.612832949511	0.645513768193	0.652326138088	0.734104648151	0.550554636321	0.617899625141	0.671805190317	0.631220257338	0.613743460007	0.635459983023	0.541131324771	0.460098041644	0.525834676595	0.632475907819	0.519619482044	0.702162720764	0.522203863603	0.463650436291	0.491092508396	0.475284558907	0.529186995337	0.558344737574	0.543402707636	0.446846556424	0.471521875104	0.51703901961	0.478005637288	0.479599498093	0.469096254859	0.469530958135	0.505714589185	0.489515160373	0.435962724149	0.471359420064
CS.005	0.49055566959	0.550327189536	0.612081257864	0.69158531477	0.496823200064	0.575844183259	0.687919707525	0.516371759787	0	0.636943954241	0.581044005881	0.540303297687	0.489611337414	0.491874071435	0.524326577199	0.651791154018	0.567531597053	0.708958746836	0.764140511848	0.525276893936	0.748229057503	0.587685822938	0.629764174049	0.681440705166	0.634731754786	0.722723233031	0.55533348705	0.753729499659	0.724909569196	0.503867115462	0.696682025911	0.651724747734	0.729427919259	0.702298640674	0.482129584987	0.682192160574	0.555968001893	0.737061096974	0.687984403573	0.552895552678	0.606233448657	0.695782217174	0.682768859504	0.60928701007	0.764691881125	0.603862358106	0.612543719661	0.745878871215	0.673768849526	0.72182838909	0.650399281317	0.665334664415	0.6490876971	0.654562436581	0.6952763602	0.590098344385	0.604827915448	0.651058558233	0.665122506984	0.657496716398	0.5793055801	0.578503018809	0.542161451705	0.76215304153	0.573240378722	0.482844346619	0.585025951864	0.568405053537	0.627824409194	0.583076690086	0.560880257853	0.606684346068	0.608734942402	0.528181088159	0.59423516295	0.445257052865	0.496411419336	0.564928899891	0.513756050395	0.503814877623	0.503533811762	0.511518053447	0.517084127642	0.509100887412	0.502326566564	0.493159090858	0.485312792	0.530551185231	0.542587142426	0.559664539133	0.680795921033	0.553443508755	0.613738912199	0.520953473855	0.577737880826	0.475202275758	0.487759724562	0.704058332013	0.53151213506	0.594722536511	0.496909484431	0.617980263878	0.475794766895	0.508859392581	0.589131619684	0.544090960233	0.617403333437	0.518547857749	0.638668183162	0.693599740525	0.760891409313	0.695199569437	0.587227833908	0.659147809003	0.615569126847	0.522070075927	0.682427417596	0.743942201951	0.713841998275	0.618896489866	0.565080542143	0.689944169826	0.590912125749	0.63115376853	0.661261559655	0.690013985892	0.68533520938	0.767361967557	0.693361161559	0.634336233368	0.71009069073	0.617663205555	0.668428382524	0.578849539994	0.671220059251	0.679187551212	0.665214088314	0.733276634689	0.613431729508	0.628851702392	0.677335043267	0.694341472258	0.613595519464	0.676309148797	0.630055747352	0.586029128237	0.574620307484	0.66644007955	0.577549188528	0.733492962004	0.602841181095	0.527411251761	0.589803023554	0.568157144735	0.624296275419	0.513874523522	0.614482717945	0.507986878208	0.503237796916	0.555515911827	0.532992500351	0.516698064889	0.474145586292	0.509881188648	0.534363721291	0.596193053416	0.551379632346	0.611081014461
CS.021	0.644722283651	0.652132628218	0.603879893231	0.612108804234	0.647807693572	0.632813267639	0.590591601412	0.624125854273	0.636943954241	0	0.576012354084	0.599153114213	0.628773268669	0.654303345233	0.661866414111	0.581924381494	0.560072296949	0.594556260694	0.649628793786	0.597105813299	0.647212157624	0.647748699024	0.562109415033	0.529775322819	0.582335652608	0.597803566676	0.588028169185	0.61523710139	0.652980286477	0.627049860512	0.642304140867	0.572991464209	0.587033114654	0.647843704744	0.610797576035	0.532094176665	0.608564359007	0.582362653268	0.525609261062	0.571149258636	0.586573116714	0.581361826243	0.574881927048	0.556096056637	0.672671517811	0.54540483404	0.614240372031	0.637184569475	0.55770158467	0.666066641105	0.590004309718	0.589083439413	0.571073621483	0.540717622962	0.630088339871	0.624661583611	0.573260596917	0.617552705526	0.575114166813	0.566002368602	0.598237349865	0.586990989086	0.616109240191	0.688282340309	0.597577311248	0.645170481363	0.647463568255	0.569752208668	0.604214336426	0.555157040741	0.589766755681	0.592542859551	0.613248825604	0.600744065774	0.570610600108	0.65204659716	0.612907753946	0.617702922346	0.596221476763	0.637240520947	0.664450257698	0.6536409769	0.593740248454	0.660194066808	0.600892665072	0.636020613058	0.626926074683	0.659140502081	0.638063646182	0.628783285695	0.667744611581	0.587964718335	0.575812929821	0.652187158371	0.651659711188	0.621246092362	0.557381035231	0.63483616274	0.622176840054	0.585318806827	0.609628407066	0.586823515648	0.592064479314	0.604084494233	0.657258351914	0.580708187993	0.60902543482	0.631430462489	0.526117261821	0.60181156692	0.623373310986	0.584572440047	0.605169662497	0.617126788332	0.605319253106	0.642671688345	0.546775466558	0.622618655324	0.662760529262	0.579765371699	0.560033075281	0.557624021802	0.563424235547	0.566290090885	0.582572194101	0.555064208697	0.530326181564	0.632392882677	0.606501374579	0.570838566199	0.567411973052	0.55257694664	0.643914709466	0.621371230817	0.604573191152	0.592613365268	0.599533188166	0.659145350691	0.585323979723	0.563407249698	0.635467662985	0.568561499512	0.547419900186	0.582139917764	0.607493184412	0.616201227979	0.585342102589	0.557609203962	0.590362665147	0.601086405771	0.602426088195	0.638834221441	0.597660819169	0.61202618972	0.561345788536	0.617738131898	0.590481990552	0.635275576625	0.642465821414	0.62925814202	0.578433579513	0.617045821563	0.652267572482	0.672039708765	0.608869204399	0.65093298383	0.648137562074	0.654748960879
