CS.009	CS.039	CS.017	CS.011	CS.106	L.004.M1	CS.257	CS.084	CS.092	CS.098	CS.037	CS.176	CS.263	CS.105	CS.091	CS.305	CS.171	CS.155	CS.154	CS.230	CS.056	CS.050	CS.067	CS.063	CS.062	CS.065	CS.366	CS.327	CS.115	CS.137	CS.213	CS.375	CS.376	CS.136	CS.232	CS.236	CS.378	CS.292	CS.126	CS.205	CS.374	CS.128	CS.224	CS.282	CS.302	CS.359	CS.166	CS.369	CS.268	CS.177	CS.214	CS.385	CS.178	CS.349	CS.254	CS.372	CS.348	CS.183	CS.147	CS.129	T.CS.079	T.CS.001	T.CS.014	T.CS.019	T.CS.089	T.CS.020	T.CS.025	T.CS.004	T.CS.071	T.CS.080	T.CS.038	T.CS.003	T.CS.062	T.CS.034	T.CS.048	T.CS.124	T.CS.104	T.CS.178	T.CS.118	T.CS.117	T.CS.120	T.CS.125	T.CS.119	T.CS.126	T.CS.112	T.CS.160	T.CS.122	T.CS.123	T.CS.144	T.CS.139	CS.241	CS.103	CS.015	CS.087	CS.246	CS.082	CS.006	L.034.M1	L.024.M1	CS.356	CS.088	CS.237	CS.085	CS.110	CS.238	CS.113	CS.387	CS.189	CS.191	CS.345.0	CS.233	CS.304	CS.078	CS.188	CS.207	CS.330	CS.364	CS.363	CS.358	CS.325	CS.158	CS.361	CS.318	CS.223	CS.227	CS.112	CS.194	CS.163	CS.322	CS.331	CS.080	CS.339	CS.152	CS.321	CS.285	CS.326	CS.255	CS.390	CS.270	CS.262	CS.253	CS.145	CS.370	CS.393	TFS.020	T.CS.066	T.CS.026	T.CS.055	TFS.022	TFS.025	T.CS.045	TFS.021	T.CS.036	T.CS.049	T.CS.061	T.CS.008	T.CS.031	T.CS.043	TFS.027	T.CS.109	T.CS.095	T.CS.142	T.CS.157	T.CS.151	T.CS.166	T.CS.141	T.CS.152	T.CS.158
CS.009	0	0.588929583969	0.63033446495	0.625075226151	0.603399588221	0.672290457394	0.641342073386	0.654542103788	0.650366756431	0.667526018588	0.551925830919	0.598603397141	0.623001027656	0.635234835821	0.610949179907	0.655473034392	0.619741899934	0.602699004704	0.625857927573	0.58995270523	0.597147419225	0.603607552404	0.615111736164	0.608970575352	0.619651745003	0.571996264915	0.586532065326	0.613292553613	0.59578216406	0.638617038703	0.558015245483	0.602487294767	0.541918766906	0.560559363159	0.634918161888	0.630286340639	0.613109928489	0.578433419139	0.616946677379	0.58475121132	0.56145435054	0.614979641279	0.642796401354	0.581994844945	0.603493442011	0.634202952391	0.618463534988	0.627277305063	0.639776321855	0.60418926753	0.628315894859	0.602422238962	0.632850117688	0.60544370226	0.592226084426	0.606754307319	0.607911464799	0.609839805315	0.55730589417	0.612401384492	0.512646570495	0.575604242093	0.636427804406	0.611205423151	0.612956714515	0.699618936048	0.633872218909	0.605923810631	0.645113912396	0.606949594038	0.672930320417	0.666356256168	0.634819744842	0.636746319197	0.586708481215	0.649061504312	0.690941753844	0.657051516597	0.572328252581	0.650737469513	0.628146621735	0.618972179459	0.676946257309	0.645415664656	0.609744169359	0.695038389641	0.645923813437	0.611693729112	0.67049653925	0.692476679266	0.659568435171	0.632411675115	0.664500505875	0.61471763074	0.634799909827	0.655688634315	0.59613992055	0.579558938691	0.661637953451	0.627426857181	0.642821720241	0.582546974503	0.621544069523	0.587925323562	0.620274437303	0.616958358618	0.569729091105	0.58056765455	0.675253478718	0.61782949748	0.654694608551	0.666175726493	0.612332073921	0.627948506657	0.597112595729	0.580665274535	0.585165972695	0.550079203918	0.606146144334	0.625164324812	0.548960809737	0.60242964483	0.545814811657	0.576785460374	0.632000894953	0.556702691127	0.580142356305	0.575734900148	0.554743040961	0.593051098241	0.577058096068	0.612777959024	0.635730578186	0.639040481081	0.565940648244	0.560966726213	0.57862009549	0.604833024523	0.592650881523	0.5860174377	0.647751538432	0.61317226882	0.578349923625	0.633567218902	0.667571069175	0.680959881044	0.611766401303	0.632012233495	0.683583373645	0.606689432759	0.635024891151	0.634291971661	0.627140839535	0.565432275096	0.614722126282	0.607836978109	0.617434212085	0.659118007618	0.631320323359	0.691572907621	0.700229509335	0.642320277559	0.639711681707	0.659973354986	0.646819993239	0.656939960711	0.61774321497	0.668117907362
CS.039	0.588929583969	0	0.442619063247	0.591652414565	0.54716396755	0.600527918921	0.568218493056	0.552451263574	0.567715154017	0.580104113334	0.562123782323	0.618580392814	0.577164703178	0.59443572781	0.64803690025	0.623989030104	0.553343776874	0.638409430561	0.701334551234	0.651145943389	0.628859912319	0.589669682469	0.680992736035	0.622889652601	0.561135338423	0.607945654695	0.698610663741	0.605724868538	0.597382107506	0.641826359956	0.631309818651	0.624627004369	0.627333912961	0.580193697938	0.567852318584	0.637429939829	0.626306254851	0.583116799241	0.615131780952	0.682372128268	0.629844703051	0.622162500569	0.729092615695	0.676308127227	0.685251946767	0.711034194348	0.66786986496	0.669519061732	0.645727980622	0.657567015485	0.648537695595	0.661695952784	0.640711301753	0.638233978466	0.642941447647	0.64476316859	0.646849690559	0.68285612965	0.638657428699	0.574808835396	0.660604049639	0.664326038061	0.619226627582	0.621502435504	0.61231828074	0.640082143464	0.616416772714	0.621574842555	0.637594848791	0.631563906703	0.616946656194	0.623314585366	0.595454365861	0.617038138456	0.599538333575	0.575109507346	0.618596886031	0.612408276882	0.603895529817	0.612741954972	0.592864795123	0.612782221393	0.626538286721	0.630762198652	0.582474346697	0.631079012705	0.628302682881	0.60081442152	0.606354424317	0.631103222135	0.583624124907	0.520356090524	0.575941439962	0.573118372378	0.614766859098	0.587459539968	0.545936640922	0.565793394042	0.638106994416	0.674149947274	0.623566418477	0.564788289409	0.550904459454	0.580268951832	0.574729492828	0.560614736486	0.598227200636	0.646600323085	0.611059122742	0.682717949508	0.569328875012	0.667549124593	0.578200520236	0.683894851719	0.658159180735	0.633660265946	0.676243808404	0.632553240828	0.709510920818	0.743030026051	0.567234620691	0.637976015107	0.634910507759	0.655317480719	0.734025752339	0.541305870032	0.720584001545	0.584198058123	0.673390833508	0.607426195825	0.580202639425	0.656399799504	0.601728189431	0.605310753059	0.645642395615	0.643141614314	0.638425751948	0.646281608054	0.652608863894	0.631312073376	0.68242520039	0.62705440583	0.645905059742	0.634074922305	0.621956318647	0.629196227398	0.697268751079	0.604207909807	0.634179945916	0.625343315433	0.603606677084	0.628742941503	0.581321295328	0.651475737951	0.618084024113	0.629141944146	0.589025586853	0.634230644324	0.599017938447	0.602065543265	0.619399996489	0.626156113001	0.597710691319	0.616116400342	0.63801201554	0.609059680671	0.605870405054	0.619441932983
CS.017	0.63033446495	0.442619063247	0	0.594764252944	0.577237017814	0.565573435206	0.586321968735	0.574436218742	0.574743449102	0.527114184494	0.61691615033	0.595835880521	0.563948884652	0.564743373113	0.673321114691	0.592920016077	0.573477928677	0.635844266913	0.735297748279	0.716384534523	0.647200051178	0.651055506572	0.736637012365	0.672533630778	0.542246241489	0.613376845257	0.720480257764	0.60143834945	0.658167404885	0.615219909218	0.667324729668	0.629816947481	0.678211234635	0.626154189295	0.601261327705	0.658846170682	0.679278419909	0.616265031303	0.616688159801	0.706554622154	0.664223398401	0.621781504558	0.747324431172	0.698515197329	0.722477341979	0.75004574791	0.695507232658	0.730640882304	0.688385507463	0.701796249829	0.666766157525	0.683758924307	0.657107098251	0.66574605727	0.681957413265	0.663404901101	0.644520790178	0.73670031594	0.684138392878	0.618640819644	0.688563923777	0.696740590801	0.636680065514	0.652039192922	0.595191526629	0.589685712447	0.622564518377	0.639940948649	0.609178450932	0.654852801863	0.608784010974	0.567961449477	0.55808403189	0.588359829361	0.592815613326	0.567100525598	0.576835299453	0.56585865925	0.613598816377	0.578331215081	0.572572417362	0.609734181684	0.616274092966	0.60522534606	0.576108181662	0.595449692005	0.598218532155	0.596281215556	0.561086630669	0.592288749253	0.527692841086	0.563194579104	0.519716555685	0.586749348162	0.604361680555	0.598148545343	0.549883311659	0.554696606714	0.607980277866	0.692809305267	0.622786952726	0.635249239923	0.564123531781	0.619765786787	0.566945118105	0.523079274711	0.630527951259	0.671555972976	0.575182357211	0.746023015305	0.594617734977	0.696984274414	0.610787220668	0.693131299841	0.691877260437	0.663563404456	0.718412956795	0.674484226736	0.755791890969	0.761126783924	0.615457128658	0.657588347411	0.662216743628	0.690800986053	0.766260678054	0.60934894568	0.740201270532	0.646967951573	0.699390248794	0.617215002737	0.607744974441	0.673391630047	0.58874103118	0.563644237861	0.720722839622	0.668096661141	0.641863662453	0.678471048035	0.676835048396	0.648155543064	0.741795861636	0.62154530346	0.649764726646	0.649032395829	0.594504770108	0.570281200017	0.726174287275	0.565728936659	0.602182699356	0.629441812964	0.578542765812	0.63281555338	0.585365020391	0.663277449773	0.62864266103	0.623557435708	0.571661614606	0.600419660955	0.578562893219	0.570271771389	0.56649420418	0.597032296264	0.576595259544	0.57432779352	0.610119176748	0.570805381951	0.599583664275	0.593350573708
CS.011	0.625075226151	0.591652414565	0.594764252944	0	0.552954776713	0.540208212968	0.594053488332	0.520496055335	0.451364319493	0.514741043181	0.68515710779	0.590108515194	0.549743049892	0.531404742647	0.654158631384	0.527107478457	0.589637145245	0.539839716843	0.766882262035	0.700223634695	0.666803297008	0.659059493241	0.73721919269	0.670677792497	0.544324631717	0.605393210918	0.725116653056	0.620139813958	0.648257703228	0.567587967467	0.68709382968	0.651903447445	0.664330776277	0.613846851211	0.512767536019	0.68497653622	0.691640443316	0.581317207233	0.551796439241	0.709301101682	0.656348249939	0.599719775847	0.759118151709	0.683194899289	0.720058327484	0.694941837711	0.680903363471	0.723195333768	0.660099216216	0.676150245318	0.638498785118	0.623579011925	0.606796344443	0.631403430626	0.640653005339	0.623477852145	0.574562058113	0.729391799538	0.654480367107	0.59792519751	0.687284893967	0.722409314121	0.565412622899	0.629091851477	0.605604096737	0.496039157135	0.592257619886	0.631060810965	0.574616819711	0.679015199044	0.470210488667	0.553434388616	0.560843228927	0.565606692482	0.58140897084	0.513297595012	0.495386331619	0.465552577939	0.571741752376	0.529010497328	0.565651592111	0.574044928411	0.464890410091	0.496163467155	0.586125678841	0.485753878115	0.513044741947	0.572571158321	0.555988339439	0.4975542511	0.523652009785	0.528340906919	0.60777650539	0.619830949099	0.519544057005	0.487870801714	0.531946412222	0.605795452915	0.593900370948	0.678740624747	0.68695013742	0.621845423001	0.497537823154	0.647499247606	0.553860258269	0.61232417736	0.622020006227	0.620874951115	0.539156892259	0.747232410777	0.547591360575	0.692543419038	0.639984032581	0.680796675202	0.657569060512	0.627985330901	0.718243937463	0.666945226938	0.774590513903	0.764815252075	0.633256218797	0.683264820271	0.668166429551	0.635614117457	0.774720643679	0.62859109864	0.755786391839	0.614671155925	0.700491422979	0.544296547709	0.600580860482	0.671838510562	0.515182236439	0.580129735735	0.705459642057	0.597106343243	0.593199015182	0.658676437606	0.665457467816	0.678782529494	0.718093623597	0.594894076309	0.648874803486	0.670802265277	0.502898949267	0.515961126232	0.705927490731	0.585515803361	0.503902536921	0.632406640785	0.620992388486	0.63119677703	0.512433299537	0.664511119984	0.62491883231	0.673578858684	0.585035619248	0.61109389817	0.602873775058	0.498906861158	0.529191860138	0.636628893353	0.585800616306	0.591755862615	0.521622648566	0.632314184381	0.535127454115	0.5179104203
CS.106	0.603399588221	0.54716396755	0.577237017814	0.552954776713	0	0.59947165701	0.575118438231	0.423216785698	0.49581688596	0.576594526715	0.62109151795	0.580715908898	0.553417007131	0.541360055635	0.612564598992	0.5774402083	0.529945317792	0.589316360935	0.727859508173	0.64606664803	0.615580767793	0.56805401647	0.685810175816	0.57780692114	0.554687762937	0.609364514798	0.690456262656	0.619834145985	0.582583605054	0.613093268895	0.657794170564	0.618248150655	0.629988470765	0.505392357602	0.501202436125	0.617961158334	0.646528834044	0.542051934943	0.589881933367	0.704226967594	0.630716649207	0.624496350537	0.738411882398	0.646956862494	0.703367975203	0.692003738294	0.657891613626	0.673044718811	0.618710903581	0.676250904834	0.657123444003	0.616537681909	0.61672107788	0.609737621379	0.640536269683	0.639010098602	0.593645540642	0.688436639849	0.646193131268	0.576142713081	0.660666504355	0.668704102875	0.586198327296	0.607967403998	0.576945414086	0.590114172387	0.583340144416	0.604708941792	0.593222569125	0.649986350285	0.5668399252	0.594106753645	0.572794392041	0.592719089279	0.611897004889	0.530343689044	0.590880113376	0.576743263528	0.583281577679	0.597284128297	0.586820034902	0.60563383817	0.547896182771	0.579181351187	0.603207929269	0.60244982241	0.589285698605	0.598323555024	0.617055792532	0.596588532108	0.598135428571	0.540522783219	0.611597314215	0.582863755931	0.576686503699	0.480947124248	0.535527663245	0.583663167492	0.63731816747	0.680162594758	0.670538772131	0.536578346005	0.424459997383	0.568192124576	0.577907264038	0.602229222026	0.616157372185	0.611421070443	0.590302867218	0.684131703203	0.500674016796	0.665725548696	0.623563779183	0.69584196219	0.628209831941	0.625853764443	0.668051827236	0.630824174157	0.741636811309	0.736977817453	0.504099847266	0.662797218159	0.617716683458	0.62256953468	0.737817132929	0.502303782056	0.735622255758	0.526276625123	0.669121833568	0.572728260765	0.502227588377	0.650896740538	0.568702338572	0.598143100829	0.675244816928	0.59202925693	0.592471529922	0.631758576065	0.650256571726	0.651473600065	0.703290188249	0.614694544241	0.636277040315	0.627738747845	0.581948186419	0.597241183991	0.694450644411	0.595176629949	0.594237025457	0.634869343718	0.607126794352	0.619318651905	0.52880975065	0.650573889753	0.642129332029	0.657126561334	0.595251888558	0.607313353817	0.621591312804	0.591099331602	0.602741178224	0.655878177225	0.585608595821	0.636982909064	0.596391689194	0.655842711666	0.587986514261	0.589470665796
L.004.M1	0.672290457394	0.600527918921	0.565573435206	0.540208212968	0.59947165701	0	0.600716724123	0.581586274551	0.575046370755	0.516907887417	0.711546496023	0.61752738807	0.563501093647	0.535340841643	0.689291533477	0.496524000042	0.612517777634	0.568922727297	0.802440069083	0.738223255301	0.725303563442	0.695457642239	0.767375133274	0.737811872089	0.540471098366	0.653713936243	0.745381535406	0.579381392328	0.722330585135	0.539086065391	0.705640737992	0.638507791875	0.689321270151	0.670903107513	0.564201773036	0.745364008902	0.715705065848	0.626478149444	0.525953846496	0.703017860617	0.684482048936	0.611436691604	0.758063232117	0.698656828873	0.743324787793	0.735869442366	0.707394256701	0.766475383477	0.708247323802	0.67118432778	0.667291004848	0.681599440148	0.597865006893	0.650564390116	0.670481991802	0.680482627723	0.627743590886	0.759169381374	0.676516988169	0.611554315237	0.696716181224	0.72288681993	0.568551493129	0.636342264484	0.555309306571	0.492620692286	0.532864732712	0.542014184913	0.518571297159	0.613565538045	0.567735686071	0.402923230673	0.505293135994	0.504718078722	0.560051811862	0.499935579895	0.456306837367	0.502287273471	0.560133792298	0.487743369224	0.499493135887	0.505431817554	0.566628598916	0.480339691593	0.533209331065	0.486704443746	0.474460292838	0.516445486905	0.482736776966	0.423574425773	0.504614376399	0.562868996433	0.572605646792	0.603847302869	0.51455203359	0.575924896855	0.51141062823	0.586858858423	0.483839599603	0.707138679414	0.654999887684	0.670694508233	0.55968189376	0.66190413654	0.551727957165	0.560680347765	0.611927092457	0.640112702643	0.47131249346	0.798514285988	0.604795590911	0.719195262609	0.562213109554	0.652695752385	0.704472464272	0.662726813998	0.75049462781	0.681611071516	0.771848897193	0.759474383134	0.676919127054	0.69604809709	0.664092761883	0.684209506203	0.790098159648	0.675783971617	0.746650557972	0.685558994738	0.680991928869	0.585658746406	0.6304359155	0.641811468814	0.524252309917	0.521395362326	0.764086388228	0.635877837977	0.618199721969	0.684600168768	0.677371877676	0.677754792373	0.754594373136	0.573861572629	0.688223795371	0.70981008903	0.432330625229	0.45548212736	0.716506267433	0.522053474703	0.438660159026	0.543015182772	0.53967537085	0.539449371013	0.544809903663	0.624192947567	0.56850796916	0.577847075612	0.521560533902	0.511423461182	0.469696149315	0.406635814954	0.422021438182	0.489984388653	0.517640105418	0.437269446794	0.491123321244	0.500240406029	0.50220657287	0.457385016708
CS.257	0.641342073386	0.568218493056	0.586321968735	0.594053488332	0.575118438231	0.600716724123	0	0.565175475719	0.562538426763	0.617147267394	0.651792381247	0.650749777915	0.56975869775	0.598153400299	0.684295709462	0.603991429643	0.558341042073	0.658379907344	0.714853016104	0.682047390343	0.679793393006	0.610309253257	0.699455891726	0.66616105292	0.57035699212	0.658084786386	0.712183589625	0.579687619038	0.642346556916	0.667700648089	0.653234439105	0.629748446717	0.661523354279	0.609989367879	0.597625536921	0.667032001088	0.646542925896	0.635133373254	0.622596766941	0.706015462615	0.657079042212	0.618077797979	0.724118154691	0.707886251963	0.721614533808	0.726438231947	0.696879937898	0.705579161521	0.64679410016	0.675242613766	0.673171045756	0.675779308509	0.64246961159	0.67746793757	0.667803169244	0.66732338331	0.671327606894	0.712715445918	0.677120753673	0.579842546963	0.68729787439	0.673950704309	0.624276922967	0.601140928791	0.655958893852	0.613964276703	0.609147306203	0.647461419416	0.625565905627	0.644450717772	0.609705303003	0.599861476301	0.564411149203	0.590960342959	0.597686213048	0.544018977561	0.560006071724	0.578946649532	0.624958836066	0.571198658598	0.587367604113	0.588069234123	0.578597737206	0.592205132731	0.577130831423	0.602097594177	0.610125905826	0.577177159747	0.559113759298	0.596210379806	0.582594892475	0.591589105153	0.590102981281	0.557560840914	0.565376535847	0.586367880088	0.548212507918	0.545160737023	0.569840606645	0.676566963988	0.612052854074	0.609821576093	0.55671655141	0.606347505856	0.593047114125	0.584709082639	0.644281824844	0.654491300778	0.611551533313	0.710872386184	0.565461844029	0.694169093874	0.628890831394	0.697566239163	0.65281321166	0.637185930516	0.707712290452	0.663199126443	0.740224268234	0.742968991298	0.59209289659	0.667416967118	0.677072340007	0.660818300534	0.753195122602	0.601581358496	0.735340631457	0.612099132449	0.691036550117	0.602499798736	0.603479423715	0.65881742703	0.634077495452	0.582821952672	0.70964263899	0.638374842827	0.63594375857	0.677606143492	0.673156712256	0.659313680397	0.702532078021	0.653776816168	0.673956583745	0.641780678641	0.608569323764	0.56157932779	0.703687383274	0.58614635618	0.608443853105	0.623268608588	0.625571539587	0.62437299807	0.582992167879	0.673465047909	0.639280992835	0.665049426701	0.592110893375	0.604870451913	0.605733379461	0.57963976751	0.589798290906	0.597041226958	0.544640947713	0.569621646788	0.60284395499	0.567655059719	0.56810088932	0.572126200976
CS.084	0.654542103788	0.552451263574	0.574436218742	0.520496055335	0.423216785698	0.581586274551	0.565175475719	0	0.499280266402	0.520880460563	0.653404597025	0.614464033251	0.556637473975	0.505492228904	0.656390378148	0.559807982389	0.534773278675	0.581631909214	0.754981467959	0.689261056781	0.653787631037	0.598860098142	0.712504894138	0.630126111894	0.553284175063	0.646975647857	0.740818319349	0.634150745311	0.610684639184	0.614455626102	0.67952526059	0.647502538598	0.669425020405	0.567376407168	0.506160480301	0.647880881614	0.672961459278	0.569490160431	0.595129125479	0.724500135555	0.659568335551	0.637486230106	0.763697357741	0.6902974964	0.731043991296	0.738262301565	0.669633656982	0.701184253991	0.64634578824	0.698878347195	0.680782848066	0.631723906979	0.621420840868	0.625991060469	0.649605736007	0.652795367795	0.600800318121	0.719482745668	0.676552600617	0.60291796041	0.689420899074	0.697497821876	0.586399780305	0.628927857126	0.601206974863	0.555075504414	0.59733863519	0.626195267913	0.583649562935	0.651428321548	0.545732887031	0.585326126547	0.556260403516	0.590405688358	0.611494672366	0.515075698286	0.566128143341	0.551324504031	0.596688824096	0.597192230627	0.593202024719	0.62171891541	0.52536710373	0.581773871999	0.612793285842	0.562166567181	0.570667641872	0.619905323886	0.615520304354	0.577475497715	0.566346601495	0.54376959644	0.625111355851	0.617506501665	0.577317706889	0.486500095304	0.555213030262	0.598294703109	0.635089004629	0.699212608761	0.686400214127	0.587137778649	0.444795197456	0.594200319573	0.568822182243	0.604524590106	0.641624624982	0.629639957168	0.562023676128	0.724386033909	0.498204377879	0.702586561064	0.643713235255	0.720043494677	0.680095763524	0.658905914363	0.720013008021	0.666293741235	0.752445283814	0.757749262161	0.579848512644	0.683389969946	0.666654605834	0.658470370209	0.769445982722	0.554057422326	0.749124792842	0.596922650017	0.696855760825	0.574835194211	0.558794373231	0.670511973763	0.56190335014	0.609410411058	0.71828627866	0.622384824982	0.616164350806	0.663826941397	0.671442616619	0.66410167126	0.712118241538	0.620400596764	0.650973166672	0.650969883678	0.546366769113	0.575882382483	0.703646801208	0.598172851204	0.570137900911	0.651937793673	0.615272875695	0.630612281233	0.512705726273	0.672665397661	0.632296274538	0.663916724868	0.587047124815	0.623291115371	0.612464907588	0.568042455588	0.584767832027	0.666945802962	0.594863881964	0.630143196237	0.603552411521	0.643545835095	0.588142286733	0.580878564234
CS.092	0.650366756431	0.567715154017	0.574743449102	0.451364319493	0.49581688596	0.575046370755	0.562538426763	0.499280266402	0	0.517620673309	0.661594813841	0.60693886941	0.513307448264	0.538328044846	0.614529808564	0.532946355319	0.56644165498	0.584236971779	0.766495402295	0.711453806598	0.667054619744	0.618198093839	0.735775171329	0.635995076634	0.520126879053	0.642427520242	0.743659506162	0.638169803966	0.613115964945	0.61302819759	0.715331856986	0.660263885471	0.685802576893	0.591113103636	0.49515727799	0.663355643246	0.676799218342	0.584947725009	0.589857323688	0.736464834272	0.659196060166	0.623567617984	0.770399667719	0.697221577942	0.741403456914	0.716917786465	0.677152690038	0.707620483077	0.650789053279	0.695415654199	0.670444852633	0.639650532032	0.620158860801	0.626331686427	0.668657771033	0.649225190029	0.591738472776	0.735375067333	0.694576948337	0.587057602609	0.714282923245	0.719316970036	0.586035883882	0.640272647778	0.624716207973	0.533425738196	0.599679156664	0.641726114554	0.603326830998	0.691289640515	0.520842623527	0.569617206366	0.564045190527	0.594093843981	0.622494547426	0.501319975399	0.515626559364	0.49141186931	0.590652759768	0.558700686553	0.581182721073	0.606137089922	0.493365861124	0.536246690706	0.597025195633	0.511806524132	0.54575648848	0.603289025383	0.571729634501	0.520666067991	0.558792700511	0.523633132035	0.603814736337	0.600879771105	0.541748672278	0.381231409451	0.553460313781	0.593984568236	0.622919932144	0.720201543958	0.688460773909	0.592659250223	0.463482779866	0.609555129019	0.551960770128	0.61500778455	0.652993988833	0.637626466807	0.563436763157	0.733275932225	0.501828490837	0.692737969413	0.645958654261	0.702957880501	0.670734957167	0.660774690639	0.722267840425	0.67326568105	0.780706084982	0.766892348958	0.587426103903	0.693472866558	0.683343747902	0.665061923544	0.789587030533	0.602706429179	0.779107459978	0.613202367315	0.709915295112	0.566747896611	0.584937837743	0.694601478764	0.54581125109	0.593493751408	0.712063137004	0.62054539779	0.622330555921	0.663588797632	0.675354019264	0.688170547681	0.721671558201	0.617255196138	0.672338435479	0.668899684752	0.533607678267	0.556482400771	0.731156729295	0.597739496367	0.538721572488	0.659787586309	0.629217257793	0.645291837008	0.526778367554	0.69046480528	0.651571936485	0.703196532457	0.618978984255	0.620642862626	0.617278145984	0.530421671606	0.549419509684	0.649941842511	0.592840224041	0.598338873548	0.590435027623	0.646101910726	0.587925061541	0.542670786413
CS.098	0.667526018588	0.580104113334	0.527114184494	0.514741043181	0.576594526715	0.516907887417	0.617147267394	0.520880460563	0.517620673309	0	0.663982724984	0.617872317934	0.542417997516	0.502284634083	0.667979757162	0.514666582825	0.597213225069	0.550251053505	0.771112659985	0.739196336806	0.685200472947	0.672337452782	0.763881965587	0.723860614152	0.540597530216	0.627050591142	0.739038899252	0.593375856284	0.686051673718	0.557082448116	0.713373783195	0.654281375279	0.68774603669	0.632040770438	0.535049733571	0.698631898389	0.729605400163	0.582706999288	0.55428340257	0.734275780706	0.684875737711	0.612406692772	0.782481103133	0.713393169076	0.760588688774	0.766046729035	0.692169160514	0.763173594251	0.699111730981	0.701027179807	0.690562717239	0.656857172632	0.603463154071	0.633741244986	0.672919000575	0.656219396809	0.594419956199	0.757410251188	0.687775605937	0.6090026056	0.700490046838	0.709465149108	0.565576416164	0.655464745721	0.604238901339	0.498805221667	0.587011288911	0.611240993873	0.5620350076	0.635690719061	0.502615334889	0.527543849045	0.506598283146	0.555701558702	0.565889114002	0.518252321423	0.506074756744	0.496182901395	0.584047656158	0.537957340398	0.561768154577	0.570551455402	0.537230931024	0.550097049056	0.589883664155	0.490457946649	0.515873544129	0.559700796386	0.527668682524	0.521486393101	0.476239139471	0.524155403145	0.570692043632	0.644395115834	0.562926540251	0.550209112066	0.575952781726	0.605206742726	0.605835666976	0.724575936055	0.660356511613	0.671944341796	0.534482434208	0.655212714049	0.577726921497	0.561756804129	0.63081288989	0.652196206031	0.513244981343	0.784847802683	0.543982491247	0.721256120125	0.594146030588	0.700067714259	0.710305363885	0.674630702152	0.762815809106	0.684499086771	0.78703808193	0.772080796377	0.665600787704	0.706679484822	0.687776215423	0.67484754918	0.804836698449	0.654325403681	0.768949100578	0.676045422133	0.706928681571	0.576751088079	0.597440707781	0.689343883326	0.532352734367	0.57436105276	0.752665941699	0.65022129682	0.610067092413	0.663431830261	0.67101558754	0.665655415963	0.756540727757	0.611253501839	0.65076134323	0.679446276804	0.498681432676	0.533172212163	0.734120867344	0.555733816695	0.516285433209	0.632970250778	0.599633839588	0.597391584078	0.548872449824	0.678423929681	0.638972155219	0.629418902764	0.552503176518	0.582344458927	0.563592837153	0.521757162059	0.496486578723	0.603048300777	0.582519315432	0.556268204784	0.582637860574	0.582476181342	0.554513081022	0.532273513359
