CS.007	CS.104	L.005.M1	CS.028	L.002.M1	CS.001	CS.021	CS.295	CS.098	CS.199	L.031.M1	CS.257	CS.101	L.022.M1	CS.017	CS.230	CS.335	CS.269	CS.377	CS.360	CS.137	CS.381	CS.040	CS.153	CS.290	CS.064	CS.122	CS.117	CS.371.1	CS.063	CS.232	CS.136	CS.224	CS.302	CS.292	CS.203	CS.378	CS.125	CS.375	CS.128	CS.205	CS.282	CS.041	CS.213	CS.126	CS.214	CS.369	CS.386	CS.177	CS.372	CS.182	CS.323	CS.268	CS.348	CS.147	CS.385	CS.254	CS.148	CS.183	CS.129	T.CS.048	TFS.023	T.CS.076	T.CS.007	T.CS.072	T.CS.019	T.CS.016	T.CS.034	T.CS.062	T.CS.020	T.CS.059	TFS.024	T.CS.003	T.CS.024	T.CS.025	T.CS.108	T.CS.130	T.CS.125	T.CS.134	T.CS.117	T.CS.147	T.CS.110	T.CS.100	T.CS.129	T.CS.102	T.CS.106	T.CS.111	T.CS.132	T.CS.144	T.CS.161	CS.088	CS.006	CS.087	L.024.M1	CS.356	CS.238	L.034.M1	CS.246	CS.082	CS.237	CS.085	CS.015	CS.110	CS.241	CS.242	CS.364	CS.113	CS.233	CS.187	CS.189	CS.212	CS.150	CS.191	CS.207	CS.336	CS.044	CS.330	CS.325	CS.308.0	CS.164	CS.319	CS.339	CS.331	CS.112	CS.080	CS.285	CS.158	CS.223	CS.321	CS.318	CS.343	CS.320	CS.361	CS.163	CS.202	CS.145	CS.370	CS.253	CS.326	CS.262	CS.270	CS.390	CS.255	CS.393	TFS.021	T.CS.031	T.CS.061	T.CS.036	TFS.027	T.CS.008	T.CS.049	TFS.020	TFS.025	T.CS.045	T.CS.064	T.CS.043	TFS.022	T.CS.026	T.CS.055	T.CS.109	T.CS.166	T.CS.152	T.CS.142	T.CS.158	T.CS.141	T.CS.151	T.CS.095	T.CS.157
CS.007	0	0.514433382802	0.530365088283	0.55156478625	0.637414857141	0.565585648395	0.601875808908	0.560265011697	0.525836985769	0.618714162787	0.582102178452	0.618126741281	0.513203815115	0.582372295784	0.53463581548	0.702483449855	0.740740648035	0.750441071711	0.666049219358	0.611454323103	0.507892436905	0.542057041227	0.541861068312	0.585650182629	0.642970004018	0.584774580926	0.536542933147	0.563402309668	0.569618229123	0.679393224241	0.542848365897	0.60652465219	0.741322953341	0.721672300385	0.571505744732	0.505717753422	0.690087169011	0.625691803084	0.588339421429	0.55587296215	0.684155510239	0.655647334921	0.648220091819	0.65136526046	0.501016001939	0.604911810605	0.727971421239	0.680693140355	0.653545177325	0.607717177821	0.573350389788	0.60792283562	0.649469552683	0.604309544858	0.626326783596	0.636710964559	0.626027096836	0.672312285008	0.728862346169	0.605629544268	0.559738103762	0.57832718604	0.576619947382	0.651672299298	0.537081192743	0.613700208564	0.557233313386	0.519778194929	0.510505370722	0.568047318813	0.643782452246	0.543555393939	0.501122041374	0.547867577141	0.548146343413	0.527329880567	0.482715053007	0.53424419874	0.524733796056	0.502038645566	0.51268557916	0.538836359997	0.590728622958	0.549124707696	0.518897646419	0.510106452662	0.491316263072	0.567811461523	0.526810003757	0.593064078842	0.655171746864	0.529429559267	0.607073102699	0.551785743977	0.69781230106	0.513028745123	0.577121229512	0.519934664006	0.577314292953	0.637114946742	0.574315222843	0.563218278814	0.638289162782	0.479225241861	0.524773465153	0.714629570505	0.530066672606	0.601839793763	0.599024650938	0.662025310487	0.631459072787	0.582973035218	0.505479000569	0.695587166265	0.569786047611	0.518028658757	0.632176840549	0.756428420335	0.671659559941	0.746374988466	0.638477794599	0.62510765387	0.561050387833	0.639670000518	0.608558425232	0.708227083503	0.643007438184	0.620231805536	0.51596391915	0.638356846166	0.635200399663	0.563914795289	0.643073301446	0.650674663718	0.612385010568	0.532828653831	0.624850082562	0.748459047354	0.628710488623	0.639897190363	0.636336881561	0.611215817885	0.60910202022	0.665015575722	0.557862880099	0.526599032163	0.54883920245	0.591500324277	0.515248724403	0.571738839604	0.65162898048	0.513313530423	0.553650773511	0.566168931349	0.500098085443	0.549707025935	0.509995842719	0.724973671837	0.538931397269	0.506477729019	0.499328627579	0.516844761327	0.57166113499	0.508980346719	0.55485441433	0.505378809821	0.537464600821	0.561155426072
CS.104	0.514433382802	0	0.567973024709	0.534761591953	0.651515854376	0.560978325139	0.563392646951	0.562252794008	0.560203288264	0.533914441486	0.58029162553	0.568444354174	0.528246671864	0.579611517554	0.558521264299	0.6452527748	0.731147844906	0.697730158079	0.621841120239	0.597812439566	0.545985503747	0.533479791531	0.53965278847	0.518860841476	0.619714140606	0.537445494589	0.529120735251	0.535084869012	0.590848022377	0.619935898372	0.540166800314	0.546277378539	0.729451726192	0.690383114291	0.542254403395	0.533854423721	0.653514594952	0.614296060449	0.565062115136	0.536969229524	0.662737856514	0.640699516128	0.607712261333	0.651198266375	0.534794219745	0.606117758215	0.704303854667	0.682645818609	0.656798362649	0.607561542662	0.591763468241	0.601399267084	0.619770942561	0.591308122865	0.626867390732	0.611095504164	0.623402333309	0.646039279783	0.690233997907	0.588491391829	0.547912763592	0.565653156303	0.584101440423	0.620513796256	0.534391323679	0.601863411267	0.565240993905	0.524936115163	0.527172503491	0.587500888611	0.592608725974	0.537064142728	0.540363236525	0.532546327461	0.547216792954	0.58686975656	0.531288352424	0.567254687604	0.591781351672	0.545511232088	0.571557724616	0.554040655367	0.576140047242	0.595755419397	0.587732337152	0.582626040898	0.542874587299	0.602423822896	0.552582309225	0.592665033329	0.592113394636	0.511456600884	0.538232398926	0.575109997849	0.647033262825	0.518924241855	0.555768990376	0.542225308562	0.536394659477	0.585713038944	0.523258399037	0.558776782218	0.589614623974	0.523528787625	0.535499214573	0.667543636592	0.499290442548	0.571618197333	0.591700278953	0.624700981577	0.631696411533	0.572933293278	0.544888865241	0.650852967738	0.586129668772	0.50152399846	0.615911886785	0.745197874792	0.611035628961	0.67596558901	0.605091491961	0.609383904107	0.565848693874	0.575076773746	0.534249890106	0.63602198442	0.571482883887	0.622977153599	0.511641097573	0.614827097757	0.628950086549	0.57227713251	0.615654757827	0.574708235268	0.636822426172	0.553479008705	0.610444092809	0.706087460489	0.61116830764	0.639063534905	0.634022430258	0.601408479458	0.589918219432	0.606200688848	0.573425063043	0.562909051102	0.562418081519	0.564652055616	0.543798436209	0.600180740071	0.635700398837	0.551256972999	0.564662769002	0.566031329661	0.527451867293	0.548950426477	0.547024486173	0.699852243296	0.539242227706	0.556559580248	0.541180998539	0.526553287032	0.578241396669	0.532025591414	0.575343796878	0.572793305878	0.587214978246	0.567445680912
L.005.M1	0.530365088283	0.567973024709	0	0.591722255867	0.675179688168	0.574830083364	0.652132628218	0.614815189057	0.558717803186	0.617875595514	0.599788337593	0.572046762688	0.521889543534	0.55579056063	0.576144335769	0.742227511095	0.761620776188	0.77940550366	0.737236406007	0.654216537025	0.539246832347	0.593210868607	0.617766318791	0.64320099336	0.696426182491	0.640934617072	0.554344263493	0.591693647413	0.614667746713	0.748852909573	0.59519432061	0.675692280642	0.763750922127	0.74041744101	0.651307222477	0.526836728016	0.708192684742	0.686516945681	0.650391110156	0.625487975842	0.702912691442	0.712623033209	0.692308028819	0.702125453944	0.557980950747	0.685344732182	0.785473788529	0.735711963407	0.713724501397	0.682837467657	0.641920162799	0.67689599835	0.722754640557	0.662770196832	0.690471711933	0.704842100459	0.701113207025	0.70452241836	0.766436870091	0.638789429835	0.549127105744	0.55765502546	0.59332970331	0.661836946406	0.590071135525	0.645957400638	0.589722162061	0.517154344484	0.517627524696	0.537724169921	0.662528905132	0.537808276725	0.431574043543	0.564008090814	0.552082213636	0.474725234737	0.506126581487	0.511145165826	0.485705978929	0.512081381094	0.436469031332	0.513947963627	0.505624223441	0.519127341676	0.467127682091	0.441025011646	0.464224608733	0.540219938427	0.435755963209	0.568930829431	0.638883089851	0.504323281988	0.577212735983	0.471278020676	0.698888779602	0.564221027642	0.572105888982	0.542594482881	0.601019477842	0.684707001766	0.58409982225	0.524220739841	0.67101029769	0.504683457533	0.494078019527	0.751547696892	0.554234616297	0.614566644201	0.675227797379	0.674535072821	0.668844443936	0.625326196061	0.484887579108	0.716417680359	0.628924779981	0.553077827232	0.667383558671	0.750373212173	0.740974434229	0.760165656616	0.678361294693	0.654273895355	0.610825495844	0.682020850575	0.641494378643	0.761482585962	0.679875455723	0.693017522699	0.507640628692	0.681181878438	0.666747138555	0.614729260928	0.70345846165	0.691526483151	0.671571088424	0.601397742644	0.686355730364	0.76676564922	0.65134385365	0.691202929228	0.686525249642	0.690025223791	0.643211384456	0.706757760937	0.540659495886	0.535250406912	0.58497637267	0.582138999721	0.472391318473	0.578107236944	0.645037256654	0.47710349953	0.556318030343	0.557244613298	0.507561113869	0.46994096677	0.479621899557	0.730532675148	0.512929170719	0.449416991553	0.484597992573	0.506951699452	0.457786125003	0.469561376123	0.458748057708	0.431406468203	0.421791601287	0.492204678617
CS.028	0.55156478625	0.534761591953	0.591722255867	0	0.660221545475	0.50859730468	0.600312902	0.642920449063	0.494646202964	0.603464972733	0.534416367895	0.576877208853	0.531930840906	0.540715986203	0.548366756331	0.686616255524	0.743191943262	0.754560871519	0.635993026112	0.612129259557	0.586030618085	0.562850829596	0.548326186054	0.517800026495	0.668600871198	0.552128447974	0.506369638921	0.517126367118	0.635077967658	0.643153378494	0.493182710793	0.56990554659	0.7406917472	0.709135206552	0.537114088451	0.594541879312	0.663006186937	0.656613767377	0.64149443726	0.606927981114	0.694094389771	0.671024243559	0.598103721576	0.657539720186	0.56823303491	0.640384107395	0.70046337447	0.700870477755	0.692349204658	0.629001881737	0.595042279625	0.626963047778	0.636903419521	0.592296506424	0.648668196591	0.623910233016	0.640704209906	0.67036672393	0.714638709261	0.595815477922	0.577590945444	0.649534240988	0.581983486029	0.652040049273	0.572619908259	0.614765854687	0.590005316524	0.589525993966	0.533057064354	0.550635066851	0.564402356028	0.600613846635	0.567021216493	0.569923365637	0.593669893195	0.541955166897	0.528992587413	0.578527939165	0.579562671235	0.542582871049	0.524832341093	0.516955295639	0.553510163542	0.534970686337	0.589990876857	0.549263419715	0.589838101824	0.555895949582	0.561056760374	0.515582860809	0.658852426738	0.529063272689	0.608419352033	0.612954830526	0.683250416096	0.542925592837	0.59245910861	0.532958776384	0.477603043409	0.579187416847	0.464574936739	0.577929754757	0.60108517619	0.531343414408	0.53023942613	0.715929719761	0.576304645802	0.50883306139	0.605500931433	0.610698020954	0.670934199966	0.526332675727	0.536382663683	0.658743641956	0.621898653335	0.555476055558	0.632285358553	0.743264098257	0.634670737599	0.661623996517	0.648936638827	0.672294866077	0.539065795289	0.561316870275	0.555475534669	0.700224025347	0.570434005227	0.647395890817	0.584090399431	0.642324628319	0.663389595264	0.58632381923	0.676833095256	0.594954374105	0.658767818462	0.609817431898	0.627484386929	0.706458562808	0.608290498367	0.638544212243	0.627301047232	0.64621372983	0.596202217834	0.639306742463	0.627922986259	0.564673913516	0.633240772865	0.526008405139	0.596036563516	0.653114537881	0.645684204209	0.541678845313	0.62383323587	0.601753581558	0.559833856062	0.608376112398	0.537870298529	0.708938805589	0.581132070601	0.538300734664	0.565247241007	0.567588688638	0.632411310734	0.544497264057	0.610703674724	0.580705423426	0.546384161918	0.574706541185
L.002.M1	0.637414857141	0.651515854376	0.675179688168	0.660221545475	0	0.684885377309	0.612108804234	0.644224206602	0.67403963917	0.634845943741	0.642561656954	0.657959232382	0.675925205133	0.674950165337	0.654820838642	0.667982325606	0.67308672775	0.717288294514	0.663023807162	0.633659092764	0.652392703079	0.635664164691	0.672731926759	0.676412372978	0.618120276963	0.657720455612	0.66857034212	0.661632175366	0.649606923211	0.650837667082	0.660060469605	0.656829641241	0.681312303302	0.692543865418	0.631015426765	0.649426479408	0.668649384503	0.625286933451	0.605227990404	0.627460468284	0.667111228695	0.645048195323	0.677281846309	0.624279493696	0.624185181797	0.641463448744	0.689448663976	0.56330761894	0.592205369794	0.600187268633	0.626083861953	0.640632675747	0.642334312856	0.653036746794	0.625095818803	0.665053998903	0.620066901835	0.617879589789	0.642472842789	0.594674643484	0.606808205788	0.637350878653	0.604581376211	0.675128230527	0.669606070648	0.668049194778	0.625308724245	0.658169390575	0.633004551437	0.679746059587	0.667940778421	0.628297260009	0.642362376666	0.633098227551	0.625339597819	0.681593509513	0.624993532973	0.636424361083	0.64762353591	0.640154078605	0.678225341694	0.66264127226	0.673305686464	0.670494203113	0.665751645001	0.692691567104	0.61683747971	0.672840122591	0.674820468269	0.66432848754	0.680883638997	0.654592287303	0.669309235997	0.669342091192	0.685974201292	0.638358458114	0.609139330676	0.658057015255	0.688988205826	0.63608688284	0.652092154566	0.673718068711	0.626346308969	0.654705589318	0.63240610701	0.66946222268	0.633305799625	0.673579898836	0.611172204016	0.658090750314	0.696565059859	0.600339825298	0.650828317329	0.642704538017	0.656050904689	0.640280221493	0.621569613263	0.685160108046	0.650760700197	0.692815276661	0.62248912794	0.654380697792	0.611100494056	0.630579140837	0.625918486233	0.678929621301	0.632064889698	0.642696973786	0.670803793674	0.628738905138	0.566700185491	0.629006583713	0.658354971808	0.666151586056	0.700911555468	0.609350066976	0.607460599751	0.68842637361	0.624420203544	0.590144173374	0.621261194884	0.614996484573	0.59399752945	0.664634394526	0.626875937459	0.617187138622	0.651429312163	0.643016220285	0.658316830372	0.642311683672	0.6149431342	0.65827828182	0.638274418151	0.639474883835	0.609330401046	0.652348041924	0.662637885097	0.673211586848	0.642904023858	0.674553341995	0.639852245717	0.645188187333	0.672530037508	0.646087781856	0.639871154744	0.642689344503	0.684397602752	0.663003302937
CS.001	0.565585648395	0.560978325139	0.574830083364	0.50859730468	0.684885377309	0	0.626531899909	0.632974915989	0.505164789079	0.621634031197	0.47752253886	0.593234128028	0.530713952944	0.491503841037	0.590531398607	0.71830078916	0.784665109198	0.769155219342	0.634781082251	0.629830092925	0.580419171157	0.540626482308	0.591254916893	0.57680782936	0.68958293986	0.560523708453	0.55058241306	0.590623375863	0.684063592525	0.666218414243	0.508482965645	0.60570911331	0.781933689226	0.751380382352	0.578050804428	0.588698324667	0.706983464557	0.674030764903	0.677881237474	0.603789707674	0.720868313458	0.678343654841	0.648006178704	0.698115576217	0.587164375064	0.673709415173	0.722290235907	0.724581191937	0.714100426761	0.63132312904	0.592396185804	0.608148162964	0.65317907594	0.563412322756	0.665007533604	0.614929477718	0.657908238177	0.689363851445	0.726649646696	0.615491669562	0.618035757692	0.659466180314	0.563521657109	0.690624951735	0.538334131997	0.650204548307	0.617401639468	0.591387840991	0.571140708009	0.520004644174	0.59527985664	0.639303857929	0.578661286085	0.618768703498	0.602310356156	0.509825344102	0.52531642016	0.605395531839	0.598792216493	0.55528694481	0.517680658652	0.524699212856	0.552967668655	0.511859953556	0.580900707924	0.513890573342	0.603022492955	0.49205169935	0.555877672182	0.524641582826	0.708901731401	0.546823038876	0.633441404658	0.625865526517	0.744975457408	0.590820253969	0.579029659441	0.532325036934	0.511853520974	0.626996643004	0.500663375622	0.604748749103	0.631644661562	0.530406374724	0.524988322665	0.727202580642	0.634329651574	0.536218077393	0.636260981797	0.645745114358	0.732722866831	0.580762111328	0.55448851716	0.665547643926	0.634662794622	0.598036219785	0.658528220419	0.781197737009	0.686088312203	0.716537839635	0.664529306699	0.701624469625	0.512947997101	0.631944433135	0.593372050134	0.719799406415	0.622501419917	0.666783206586	0.598445293983	0.656358238529	0.680549309794	0.617347793422	0.716023683297	0.641367432177	0.711928567775	0.61555273439	0.645448800794	0.739141813304	0.625906094122	0.688906979566	0.666546232366	0.645624008961	0.585500288331	0.670982744894	0.641163077382	0.608618462787	0.666240023652	0.54570337512	0.625574870913	0.691342967162	0.68770499249	0.511883602289	0.66109902598	0.642078099773	0.593839307725	0.620593353502	0.521624234362	0.753683072977	0.577531245963	0.508698060087	0.55676545111	0.582849508655	0.673635543699	0.527751086407	0.655033665118	0.602890441718	0.540938154935	0.618130160211
CS.021	0.601875808908	0.563392646951	0.652132628218	0.600312902	0.612108804234	0.626531899909	0	0.597133233915	0.645163474759	0.572260010052	0.591678639482	0.648691883339	0.659330223576	0.677235016719	0.632813267639	0.594556260694	0.617433427164	0.649628793786	0.581924381494	0.530266308156	0.565069274833	0.588028169185	0.627391748006	0.597105813299	0.578428602974	0.585295322672	0.630638088596	0.594845777106	0.59550473358	0.586354522807	0.610797576035	0.556096056637	0.672671517811	0.582362653268	0.575977297541	0.618335848782	0.647843704744	0.532094176665	0.572991464209	0.586573116714	0.587033114654	0.581361826243	0.577495815264	0.586011405221	0.571149258636	0.590004309718	0.65460099371	0.666066641105	0.623849873602	0.577687597864	0.54540483404	0.571073621483	0.636280192071	0.573260596917	0.55770158467	0.566002368602	0.575114166813	0.630088339871	0.637184569475	0.624661583611	0.576748803226	0.610322185024	0.567350668777	0.585425632002	0.600744065774	0.604214336426	0.570610600108	0.600366177701	0.606072496042	0.669074403984	0.647463568255	0.573916594638	0.622031545681	0.555157040741	0.598237349865	0.673303268248	0.604904410468	0.574692186827	0.628783285695	0.62597529856	0.664450257698	0.636020613058	0.659140502081	0.6536409769	0.667740354179	0.677275625143	0.617702922346	0.646007430655	0.655466329579	0.612907753946	0.667744611581	0.557381035231	0.608142966288	0.651659711188	0.63483616274	0.587964718335	0.585318806827	0.609628407066	0.621246092362	0.575812929821	0.592064479314	0.657258351914	0.586823515648	0.652187158371	0.604084494233	0.603149804154	0.603848569312	0.642671688345	0.543969977464	0.593585985564	0.613286136066	0.580708187993	0.631430462489	0.604449872003	0.579765371699	0.56929937245	0.573137506161	0.66229639167	0.592505088846	0.662760529262	0.555064208697	0.604573191152	0.560033075281	0.566290090885	0.563424235547	0.594546341044	0.575320119532	0.582572194101	0.621371230817	0.530326181564	0.557624021802	0.55257694664	0.606501374579	0.570838566199	0.643914709466	0.585323979723	0.582139917764	0.659145350691	0.563407249698	0.568561499512	0.592613365268	0.599533188166	0.547419900186	0.635467662985	0.607493184412	0.585342102589	0.590481990552	0.617738131898	0.597660819169	0.590489904464	0.557609203962	0.635275576625	0.561345788536	0.602426088195	0.61202618972	0.616201227979	0.642465821414	0.601086405771	0.590362665147	0.652267572482	0.608869204399	0.578433579513	0.654748960879	0.617045821563	0.65093298383	0.648137562074	0.672039708765	0.62925814202
CS.295	0.560265011697	0.562252794008	0.614815189057	0.642920449063	0.644224206602	0.632974915989	0.597133233915	0	0.651545580672	0.638400943273	0.602559838471	0.645229758252	0.623947424235	0.671726879906	0.666357724927	0.634099343897	0.689255185681	0.67530868784	0.588003179256	0.562080227368	0.53497180834	0.539736111077	0.638538292121	0.595861264556	0.568343997053	0.620543705655	0.642896404775	0.622714257865	0.555380016215	0.654227150634	0.587828368386	0.583047526976	0.702596463453	0.645882705834	0.603941553121	0.526765827256	0.684516399067	0.553982220059	0.555583169576	0.485336692635	0.581786742645	0.594314322536	0.631179978609	0.613811942625	0.53101001999	0.549427385325	0.669678400533	0.683313446549	0.618791176935	0.552720753817	0.535641243652	0.551165907413	0.640391984882	0.599644328873	0.604779341388	0.572953159342	0.578079917546	0.629231346891	0.670301356221	0.589701518383	0.597859042661	0.541466418885	0.558293864238	0.590485841862	0.56901244183	0.579565004319	0.578511059951	0.557247394565	0.566949215502	0.678253353527	0.68068580599	0.564008695183	0.573345228156	0.557658526761	0.547580300506	0.638003531093	0.546533564062	0.554693893991	0.58015375096	0.562168162614	0.615071119126	0.633627346343	0.638454664476	0.603821099919	0.632925229937	0.621856736677	0.569511184859	0.624084296882	0.592682622729	0.631733064736	0.665952937186	0.576723341342	0.604532463323	0.614977655561	0.66962280849	0.59407982181	0.603834141248	0.537261546232	0.615938810757	0.638895941093	0.611485845373	0.656439257049	0.637438131509	0.60498469426	0.560176056246	0.650533915707	0.608000190655	0.667828079014	0.57525325868	0.646712389152	0.622025165853	0.612059784361	0.579130083697	0.650554671277	0.5221852555	0.608198793323	0.554846812703	0.710211131976	0.663022366265	0.740507891853	0.563416935732	0.588420322166	0.567485254002	0.617444944911	0.615056433144	0.66117918082	0.648136633514	0.55296321261	0.559506083773	0.569258694124	0.575460256519	0.572255268087	0.585905266362	0.629630819502	0.640354557462	0.526581623558	0.568335803528	0.70844205139	0.599013835031	0.633194181817	0.61485757434	0.573256127951	0.593657354042	0.607951419879	0.597506002751	0.588543277231	0.52380765999	0.637473437052	0.574464413881	0.556617033089	0.61633898891	0.58423764439	0.548710254667	0.603416155172	0.560075618781	0.558050842365	0.58824864003	0.681397849893	0.580088189027	0.586778581809	0.545235464332	0.563810268544	0.608983236836	0.54668857981	0.625469507756	0.582441139479	0.637872348715	0.616255919427
CS.098	0.525836985769	0.560203288264	0.558717803186	0.494646202964	0.67403963917	0.505164789079	0.645163474759	0.651545580672	0	0.619521888731	0.556366839725	0.617147267394	0.445599563128	0.528778423888	0.527114184494	0.739196336806	0.774942538846	0.78838680003	0.680640990097	0.649094030606	0.557082448116	0.550466457039	0.563602243522	0.589737485845	0.690122629769	0.578140897408	0.532212464561	0.545229008647	0.639545959036	0.723860614152	0.535049733571	0.632040770438	0.782481103133	0.760588688774	0.582706999288	0.571418340397	0.729605400163	0.697754328397	0.654281375279	0.612406692772	0.734275780706	0.713393169076	0.642084985517	0.713373783195	0.55428340257	0.690562717239	0.763173594251	0.731274548492	0.701027179807	0.656219396809	0.60339492013	0.656699719792	0.699111730981	0.594419956199	0.687775605937	0.656857172632	0.672919000575	0.707824898587	0.757410251188	0.6090026056	0.565889114002	0.628307844325	0.590612823622	0.673626382491	0.529871405662	0.655464745721	0.579738896305	0.555701558702	0.506598283146	0.498805221667	0.602645531803	0.583981003614	0.527543849045	0.584288366644	0.587011288911	0.472817403564	0.516923120161	0.570551455402	0.576765409521	0.537957340398	0.490255101397	0.49599523561	0.570383069067	0.509830767146	0.529186650128	0.502899919077	0.55856528301	0.513020703334	0.527668682524	0.561823027871	0.660356511613	0.575952781726	0.644395115834	0.605835666976	0.724575936055	0.577726921497	0.605206742726	0.562926540251	0.550209112066	0.671944341796	0.534482434208	0.570692043632	0.655212714049	0.476239139471	0.518566531259	0.762815809106	0.561756804129	0.543982491247	0.652627973861	0.652196206031	0.701792140901	0.599272425443	0.513244981343	0.710305363885	0.641913565551	0.55711872875	0.674630702152	0.772080796377	0.708756643935	0.750436946818	0.684143961202	0.689343883326	0.576751088079	0.654325403681	0.597440707781	0.752665941699	0.665600787704	0.67484754918	0.57436105276	0.687776215423	0.699677469387	0.60851567208	0.706679484822	0.676045422133	0.694606934042	0.611253501839	0.65076134323	0.756540727757	0.65022129682	0.665655415963	0.67101558754	0.663431830261	0.610067092413	0.679446276804	0.597391584078	0.552503176518	0.638972155219	0.548872449824	0.563592837153	0.629418902764	0.678423929681	0.498681432676	0.632970250778	0.599633839588	0.532274506326	0.582344458927	0.516285433209	0.734120867344	0.555733816695	0.521757162059	0.582637860574	0.554513081022	0.603048300777	0.532273513359	0.582476181342	0.556268204784	0.496486578723	0.582519315432
CS.199	0.618714162787	0.533914441486	0.617875595514	0.603464972733	0.634845943741	0.621634031197	0.572260010052	0.638400943273	0.619521888731	0	0.616888113512	0.59193034328	0.611712684501	0.632938061031	0.607858812905	0.633506079563	0.708643918754	0.706358998697	0.655239220565	0.626367654049	0.610161844426	0.596823434315	0.598560417816	0.568680128705	0.634604407588	0.561442488836	0.586895924037	0.570548923927	0.615553668056	0.601005621724	0.584580695728	0.548026383757	0.706760278706	0.684579308071	0.603720052991	0.604442640917	0.654730102182	0.639988632638	0.58593048548	0.612157095118	0.68486160329	0.63845574302	0.597177208217	0.658283293695	0.601961414352	0.639801944448	0.696026936732	0.690894071041	0.654857803094	0.63952679003	0.631566675001	0.647795501586	0.644155031069	0.624872416681	0.63536701579	0.647924099401	0.637623173818	0.65526818774	0.689327854586	0.596354432528	0.591983860956	0.571337435561	0.634174269517	0.635856535851	0.605408495862	0.626584024502	0.601834526445	0.611272770116	0.605184567637	0.64541575171	0.594556094942	0.551724083887	0.601251354404	0.597222702717	0.573420831031	0.657710473219	0.617032614725	0.594860071084	0.628799369935	0.629893329521	0.647903360121	0.609365896515	0.630705615487	0.654589377925	0.644468461595	0.666227822475	0.607387883631	0.659528313597	0.642074692817	0.630724269695	0.617314140507	0.559125133144	0.555581932616	0.625312986016	0.678678116747	0.56645435742	0.593181509471	0.618680638419	0.601155403553	0.568006168836	0.570239699128	0.600518049702	0.59652177216	0.603034969506	0.60049058216	0.661721902838	0.565034016057	0.587828856913	0.61723236361	0.651616471903	0.660350175563	0.602023664887	0.606420913554	0.654970397671	0.598763009744	0.547050884246	0.641124854338	0.707794160937	0.612749525066	0.633019585202	0.630833952255	0.6116597618	0.605425314656	0.585920331157	0.562319116841	0.65250471532	0.564071554862	0.631294094021	0.592194470918	0.613443346008	0.621465802655	0.619336289726	0.626895729219	0.555415561354	0.637723208704	0.620759032687	0.643712456416	0.705111667653	0.628495948372	0.648630437278	0.656978881294	0.630533770862	0.610805932314	0.623909084197	0.582017489309	0.598715768971	0.60619285188	0.614461920654	0.595168972353	0.615133753466	0.646783584151	0.607582137595	0.590359767158	0.606257587353	0.596110377598	0.606867230954	0.630189830842	0.696174146769	0.6107843474	0.628282992401	0.611973555548	0.603835988073	0.630355366311	0.611706045047	0.629229957714	0.637752128141	0.63006497408	0.605347169712
