CS.093	CS.009	CS.243	L.011.M1	CS.172	CS.263	CS.016	CS.293	CS.106	CS.297	CS.010	CS.259	CS.108	L.004.M1	CS.261	CS.367	CS.076	CS.229	CS.066	CS.230	CS.377	CS.115	CS.269	CS.382	CS.073	CS.064	CS.060	CS.161	CS.153	CS.365	CS.136	CS.376	CS.125	CS.292	CS.203	CS.205	CS.380	CS.374	CS.378	CS.128	CS.302	CS.375	CS.213	CS.126	CS.224	CS.389	CS.166	CS.348	CS.254	CS.359	CS.349	CS.268	CS.386	CS.369	CS.148	CS.182	CS.181	CS.178	CS.177	CS.323	T.CS.022	T.CS.080	T.CS.019	T.CS.071	T.CS.029	T.CS.069	T.CS.012	T.CS.041	T.CS.020	T.CS.025	T.CS.042	T.CS.038	T.CS.035	T.CS.072	T.CS.016	T.CS.117	T.CS.147	T.CS.126	T.CS.132	T.CS.153	T.CS.107	T.CS.098	T.CS.100	T.CS.128	T.CS.178	T.CS.159	T.CS.119	T.CS.123	T.CS.122	T.CS.112	CS.082	CS.103	CS.015	CS.110	CS.087	CS.238	CS.088	CS.356	L.034.M1	CS.241	L.024.M1	CS.006	CS.085	CS.237	CS.246	CS.364	CS.338	CS.207	CS.311	CS.113	CS.330	CS.347.0	CS.387	CS.078	CS.336	CS.233	CS.234	CS.187	CS.346	CS.189	CS.202	CS.080	CS.320	CS.361	CS.321	CS.227	CS.322	CS.163	CS.158	CS.339	CS.112	CS.285	CS.319	CS.343	CS.331	CS.393	CS.270	CS.390	CS.326	CS.253	CS.262	CS.370	CS.255	CS.145	T.CS.066	T.CS.036	T.CS.008	T.CS.031	T.CS.043	T.CS.045	T.CS.061	TFS.025	TFS.021	T.CS.064	TFS.027	T.CS.049	TFS.022	T.CS.055	T.CS.026	T.CS.166	T.CS.095	T.CS.157	T.CS.109	T.CS.158	T.CS.141	T.CS.152	T.CS.151	T.CS.142
CS.093	0	0.661199613984	0.576889403983	0.564088309556	0.534526750202	0.539987336592	0.583765090654	0.50746831181	0.514680525233	0.54916723125	0.672710419737	0.523678840926	0.532161795369	0.515681218092	0.497794190126	0.752490436354	0.620298566082	0.674132803211	0.561613584791	0.70684106151	0.670029109896	0.622581535729	0.76519539718	0.636487149415	0.620029454092	0.562615258822	0.608388416402	0.678728926677	0.542204567082	0.56904927629	0.614503560526	0.689218273257	0.704236536191	0.600523112729	0.580154498079	0.740610436104	0.572061102222	0.684294348461	0.695866983798	0.6427383109	0.75042288077	0.654534461801	0.701923083898	0.573819721176	0.775823503213	0.67816004378	0.698792613298	0.620961160039	0.69235759388	0.751521001785	0.654263379857	0.672222873216	0.730774493255	0.731970680842	0.699188852017	0.632497366088	0.662520082547	0.615658049486	0.713817832874	0.676214041323	0.622934453392	0.672913405699	0.628858455938	0.575156298051	0.61801819377	0.615389590168	0.709317848625	0.571511204534	0.515312274318	0.588550576611	0.504056104431	0.529041311398	0.588030435185	0.539002425348	0.608096351129	0.537525305873	0.490485713532	0.535323269098	0.509521267002	0.475247264561	0.527428073096	0.507307463374	0.511995866619	0.550624319214	0.504509937878	0.499487394282	0.529752219647	0.59416433737	0.534683650155	0.575633149821	0.474253455617	0.529742914861	0.563027883995	0.610751062034	0.575163221736	0.557027654112	0.66097763812	0.70628813445	0.60943285382	0.534547845778	0.578787329484	0.527898319764	0.493133332099	0.624016845823	0.543155262385	0.731504300141	0.627701633957	0.677008802172	0.616439074994	0.578008763651	0.67073008342	0.696795126996	0.643804480814	0.617885347688	0.642987724978	0.529820071257	0.668103809978	0.64639993699	0.751505404849	0.643912225561	0.653531494452	0.603747678442	0.637424931219	0.690225216764	0.580704680176	0.78818257126	0.700282918188	0.616498200365	0.620773495954	0.678127376845	0.616083690469	0.734553220726	0.704975311819	0.704346484241	0.586557438897	0.664407564803	0.690691511727	0.687540312688	0.642800186071	0.742820708354	0.709393396917	0.68096369645	0.624636683078	0.6259311281	0.514347646537	0.520746472906	0.658802575805	0.573351415394	0.576154051546	0.615300882009	0.639851238394	0.643999233895	0.618876827628	0.577076445436	0.572267050662	0.673564362317	0.528555865275	0.567273748218	0.726988593482	0.568197041493	0.509056975812	0.54848347744	0.510557511102	0.537334532118	0.605387506183	0.554998887096	0.557658623022	0.594337332565
CS.009	0.661199613984	0	0.623569343294	0.602168434004	0.586643651181	0.623001027656	0.60971733876	0.683648884247	0.603399588221	0.638923557573	0.665699527661	0.649599689845	0.659256619245	0.672290457394	0.660548153904	0.59473305734	0.581046130547	0.57079005029	0.624712054855	0.58995270523	0.606428113755	0.59578216406	0.625821657868	0.59893384209	0.624178078781	0.645863894124	0.585967338346	0.532651613718	0.621305022641	0.613320047441	0.560559363159	0.541918766906	0.531801221913	0.578433419139	0.639078787786	0.58475121132	0.652639667241	0.56145435054	0.613109928489	0.614979641279	0.603493442011	0.602487294767	0.558015245483	0.616946677379	0.642796401354	0.571642061097	0.618463534988	0.607911464799	0.592226084426	0.634202952391	0.60544370226	0.639776321855	0.635584782437	0.627277305063	0.611224237913	0.595569404944	0.583153933491	0.632850117688	0.60418926753	0.609215514712	0.621319274096	0.606949594038	0.611205423151	0.645113912396	0.622635644813	0.62579080081	0.660981209341	0.616071801146	0.699618936048	0.633872218909	0.668023983452	0.672930320417	0.641601410441	0.654079071398	0.602844786669	0.650737469513	0.693221968001	0.645415664656	0.69164399913	0.671795577264	0.670708148041	0.674088813447	0.686965709464	0.646083085965	0.657051516597	0.700019905537	0.676946257309	0.611693729112	0.645923813437	0.609744169359	0.655688634315	0.632411675115	0.664500505875	0.587925323562	0.61471763074	0.620274437303	0.642821720241	0.627426857181	0.579558938691	0.659568435171	0.661637953451	0.59613992055	0.621544069523	0.582546974503	0.634799909827	0.585165972695	0.586029867766	0.597112595729	0.603174440501	0.616958358618	0.580665274535	0.571883797979	0.569729091105	0.612332073921	0.613584888987	0.654694608551	0.627379048171	0.552241030794	0.613074342148	0.58056765455	0.656777799921	0.577058096068	0.568184810586	0.60242964483	0.639040481081	0.632000894953	0.554743040961	0.575734900148	0.548960809737	0.612777959024	0.556702691127	0.565940648244	0.56008943728	0.578799445241	0.593051098241	0.633567218902	0.592650881523	0.604833024523	0.560966726213	0.647751538432	0.5860174377	0.578349923625	0.57862009549	0.61317226882	0.680959881044	0.627140839535	0.607836978109	0.617434212085	0.659118007618	0.635024891151	0.614722126282	0.606689432759	0.634291971661	0.635783302765	0.631320323359	0.565432275096	0.683583373645	0.632012233495	0.611766401303	0.646819993239	0.700229509335	0.639711681707	0.691572907621	0.668117907362	0.656939960711	0.61774321497	0.659973354986	0.642320277559
CS.243	0.576889403983	0.623569343294	0	0.556079015789	0.576954121628	0.519761559608	0.590262158071	0.55062159476	0.583856205576	0.516616343947	0.69096630603	0.566424728424	0.614141987986	0.546168341957	0.524094662758	0.690857762052	0.635329019121	0.634651087557	0.566689098258	0.67019557265	0.669377125482	0.651335292861	0.738286013234	0.550504082747	0.610400638708	0.613149355647	0.575955832278	0.657502423214	0.587568553563	0.529201286673	0.623401262137	0.640106784552	0.638273508263	0.589538635647	0.542912905348	0.684600143918	0.593753715784	0.615618631258	0.639396512931	0.571135968786	0.694500864304	0.598402562432	0.625447844485	0.559629640345	0.734580363869	0.656541669856	0.675811866732	0.642391016926	0.636380112182	0.703548339388	0.640269245247	0.643254573517	0.679266983973	0.705691835265	0.675194154338	0.610655685979	0.626283670897	0.59995918107	0.637525537954	0.642733234523	0.596207581424	0.607523965045	0.590058757773	0.587109490086	0.609490570784	0.59903217637	0.66097291454	0.565247793029	0.609141081076	0.542168028597	0.556403423225	0.582734778824	0.569800998469	0.590368517816	0.595756658635	0.542647039777	0.548361756373	0.55636642299	0.584686168182	0.561916301984	0.545277033812	0.572881587277	0.580224459101	0.579986924329	0.552422983398	0.583387994007	0.616491979745	0.518725006253	0.558573786758	0.578766371904	0.601957541238	0.568128744849	0.554087060257	0.609932599537	0.595735468957	0.577905523485	0.633639960517	0.663489435318	0.562137819331	0.550783467335	0.545368199487	0.522095617021	0.575718753976	0.621521582348	0.537730477847	0.680051907556	0.611870595388	0.648045938551	0.585719448724	0.57129172705	0.624665216098	0.686026310841	0.605669710367	0.58667840496	0.610993831413	0.575110206741	0.66973490301	0.612846793325	0.736078254108	0.633450786381	0.635445566936	0.591199344684	0.585121052973	0.624836244042	0.555620647937	0.757450992911	0.645131060686	0.622553323219	0.623934423368	0.63361613293	0.590938377984	0.70093365714	0.639125447227	0.627117443931	0.58054051612	0.630045465375	0.643606974715	0.663551260461	0.610180199035	0.701077909428	0.648091608909	0.633758092661	0.624620188548	0.597832289089	0.542969460972	0.567759968746	0.613645284648	0.567615889566	0.563200873711	0.602442324735	0.604731937989	0.609021213907	0.571604566549	0.555467503602	0.55817496662	0.651262869606	0.565216914738	0.558398356328	0.707118682682	0.54075512242	0.547799584473	0.556171179338	0.530988553847	0.539485664655	0.562179754789	0.550337750535	0.549393925748	0.576540270579
L.011.M1	0.564088309556	0.602168434004	0.556079015789	0	0.562036454935	0.53862153105	0.542318693372	0.558801168268	0.591360276264	0.535422121683	0.683394040597	0.539131553005	0.61175277654	0.549505748843	0.539427842747	0.720350128826	0.625793699246	0.605570981756	0.584350592213	0.672897622203	0.639777058159	0.677673319175	0.729333129585	0.534759188169	0.620461485746	0.599045123473	0.617782136934	0.632792742122	0.598589539716	0.522910166412	0.603243593865	0.632732732812	0.608048133486	0.599678016148	0.540297958463	0.661169181163	0.538804515019	0.630053133342	0.663222928449	0.545348714909	0.706200452729	0.594840166903	0.652469410487	0.552947392621	0.743057912451	0.6325720389	0.66351892512	0.614177459155	0.612791627984	0.711875116877	0.601335445098	0.638470373929	0.674446072909	0.724543786295	0.671120911291	0.57604000829	0.604757228526	0.607194354674	0.644660705363	0.598803870453	0.553870023305	0.568844438711	0.588290546616	0.553250198667	0.620444443512	0.573573418531	0.664483436994	0.545808257869	0.607306859824	0.53677798268	0.529435432955	0.592795837229	0.538041071186	0.556213747323	0.576252658274	0.511933525697	0.552287886587	0.50379797874	0.578875820768	0.570479484945	0.499823680545	0.56090026771	0.580069580962	0.592873389065	0.53513671689	0.593512918245	0.583989905546	0.516837927653	0.522186718944	0.500139781225	0.573934387941	0.570927537857	0.570821073325	0.633132630708	0.595770286554	0.563951096746	0.627452877839	0.659959225341	0.550525132271	0.52334781628	0.573718910253	0.510871396655	0.573102356049	0.633880152769	0.526297869501	0.691171953461	0.605189785485	0.671851103485	0.565040501739	0.541108043152	0.621611801918	0.66153031843	0.567686831182	0.560609834652	0.58774703606	0.609415618775	0.661868612535	0.59020225462	0.72569293528	0.649532909615	0.639965119695	0.582284946899	0.588046874319	0.611656071137	0.529241419778	0.747300513445	0.657533497019	0.619658703346	0.627791590479	0.622975591238	0.610672221374	0.686614001999	0.614414251974	0.625288155943	0.56277706058	0.638177137999	0.631098987612	0.6119968543	0.595876864274	0.727447416651	0.620981770163	0.625863132464	0.59308636473	0.534089740892	0.545817175949	0.605508970774	0.575889051779	0.565848854384	0.574471415602	0.579158076987	0.565804478862	0.564268674148	0.564696470067	0.518633824746	0.525852468982	0.623438330643	0.538737228948	0.549572459152	0.697027832768	0.522049317439	0.556760258447	0.553027448413	0.521722690412	0.510684599643	0.57314811745	0.54802101018	0.540374973543	0.588226520099
CS.172	0.534526750202	0.586643651181	0.576954121628	0.562036454935	0	0.544697179224	0.537298060328	0.59065355209	0.511519622321	0.556825301411	0.625177623169	0.568263715411	0.599715756757	0.578922826148	0.580008272843	0.676035171242	0.58562479124	0.63893008012	0.492257498769	0.652211109774	0.657281343081	0.626443045992	0.697279256246	0.589461640779	0.557431790863	0.568936217449	0.551272710446	0.618969198409	0.548857057135	0.5696004811	0.574044507665	0.624908303212	0.65004367078	0.589162328956	0.578339723152	0.68016731229	0.610496698577	0.639101897075	0.617991478876	0.632935224972	0.696327207378	0.579211249222	0.643934073198	0.581237651854	0.723646079202	0.618283390327	0.683286212139	0.641261798424	0.658736921109	0.685982030547	0.654676975275	0.64985509166	0.689077820687	0.687923532862	0.658815536076	0.633013533673	0.639959050731	0.62358034509	0.684215306265	0.661528944187	0.6005042504	0.628775528179	0.587443664021	0.607469846062	0.58432345072	0.620370649499	0.645643019925	0.559373515202	0.600794178787	0.570413442622	0.592693055511	0.605194363834	0.565683966157	0.592180227419	0.583778116969	0.572557017275	0.610917816936	0.575784369155	0.625260058176	0.565872327435	0.580783196263	0.58477584159	0.596987340632	0.620066266501	0.584030514314	0.626240346025	0.615785803492	0.556202492732	0.587034774798	0.583965758848	0.544736335762	0.557543087981	0.549137438336	0.598581971135	0.526599599824	0.554135609864	0.602821868557	0.639385135601	0.574018875464	0.576781465056	0.585408095356	0.506917118132	0.515128710231	0.570553039206	0.559991396246	0.678893003052	0.606342811692	0.612763428467	0.542507003716	0.519317971154	0.633903733083	0.605507544221	0.611082077952	0.576522536975	0.594372528236	0.530759220567	0.609361948929	0.622036726196	0.660338082127	0.621269688846	0.609350693236	0.549947465411	0.619182432667	0.62368115986	0.542872794291	0.715605625093	0.664394902586	0.546491194019	0.546481638775	0.611362749086	0.535602029024	0.66999378663	0.659800216627	0.638984744636	0.608560799903	0.635789718036	0.658273762444	0.646954720436	0.606682196552	0.682630239837	0.634268439543	0.663617475241	0.62173672142	0.616452054451	0.567485777567	0.566797452895	0.605888037861	0.548778842758	0.570747848038	0.56252545814	0.600036642142	0.575191743065	0.611659819685	0.565322425288	0.58039701297	0.626534720581	0.600445615074	0.588061431436	0.67757068702	0.586092441661	0.592031997594	0.545778703057	0.599845342429	0.57576324875	0.577179748107	0.578406772852	0.576570115419	0.590544566493
CS.263	0.539987336592	0.623001027656	0.519761559608	0.53862153105	0.544697179224	0	0.567937792348	0.561318771662	0.553417007131	0.544873949808	0.682013193074	0.551874851486	0.555457302569	0.563501093647	0.521814769884	0.70746587848	0.610560677635	0.622685828735	0.566190226646	0.680901855251	0.618104620163	0.627222293951	0.727925414965	0.551374799732	0.608124811688	0.552981706494	0.59334598156	0.641413091843	0.558389847304	0.543296708445	0.587872987424	0.653532894964	0.624679585992	0.571918975596	0.534186019973	0.67091315383	0.539378136231	0.613523596452	0.656811269964	0.560078467947	0.723217358117	0.563438372903	0.634916072077	0.530279031551	0.745907321067	0.605329786387	0.641916174827	0.579211069991	0.621559531315	0.689916247757	0.574479033504	0.610484105809	0.665053400095	0.693797283305	0.647899627516	0.548849445004	0.61236598997	0.577974872943	0.639510163049	0.584132774777	0.562668690925	0.618661179388	0.58632423751	0.56079280503	0.570919176313	0.570497359404	0.655577707013	0.514179804979	0.579569673065	0.507708900924	0.513397208398	0.548793294461	0.530570826646	0.544897397024	0.545177815231	0.519736547433	0.547895284326	0.511618424983	0.541898002947	0.533772515992	0.532807847826	0.546694776053	0.544328725678	0.535476270829	0.480607523004	0.558526240999	0.565006588272	0.530063333643	0.51874523211	0.552324679281	0.539140293051	0.570784311415	0.580082364515	0.605374016173	0.614816036449	0.579701607617	0.663433965198	0.679117835791	0.546898501082	0.557585171366	0.590861500009	0.555035243964	0.523452687868	0.623216623456	0.512998696615	0.67605852213	0.575978359923	0.629990967842	0.577123970839	0.57069716609	0.598651782646	0.669689112449	0.581541396719	0.596342062687	0.591158343471	0.54902240123	0.650608793515	0.594499751396	0.736962778045	0.61230500823	0.642862568735	0.573024809642	0.576736133525	0.634841241141	0.528943116897	0.763965225573	0.651141348564	0.610317596455	0.612310472077	0.655591471478	0.604096785498	0.697282324646	0.638293002259	0.637574725734	0.509056100179	0.62116460753	0.622249048993	0.619951598571	0.581479751561	0.687923214281	0.631484985706	0.606517570476	0.574525203523	0.546909005143	0.545091503768	0.553996460002	0.618058929726	0.564983425303	0.574286272534	0.569955631176	0.588483398427	0.593546191651	0.584623370277	0.525840124885	0.578833903253	0.64158397352	0.539782253126	0.5458606773	0.701948063203	0.545947886692	0.550898959135	0.572762397201	0.534347890262	0.515342286232	0.591180228974	0.539317771843	0.553210728264	0.61782140189
CS.016	0.583765090654	0.60971733876	0.590262158071	0.542318693372	0.537298060328	0.567937792348	0	0.607236222082	0.567917755532	0.578939384606	0.659336305378	0.580896483888	0.625565684353	0.59899287863	0.574956216889	0.701638735146	0.611327782342	0.592573502945	0.567780720783	0.662497520148	0.65732927946	0.641161433029	0.733067990421	0.57493547516	0.576462350503	0.59145049721	0.591229951306	0.631213633954	0.578446320929	0.565385003471	0.601637426861	0.615957443602	0.642208843528	0.600109296004	0.565320826132	0.664083259894	0.568766112655	0.66210547502	0.6516505002	0.578482592248	0.700451761572	0.568667405311	0.652221308205	0.586985625194	0.733857599994	0.642763537698	0.662751349075	0.625327046494	0.645708503556	0.695823947557	0.622183483795	0.651666289374	0.676551413397	0.697259561596	0.679243907277	0.629096181133	0.634210334261	0.624911332743	0.657099908939	0.627039409111	0.5669097366	0.604060870855	0.58340748745	0.587818966719	0.609573388928	0.628525431611	0.669102602623	0.573954326316	0.644806057013	0.568731075901	0.575303628952	0.618272466284	0.555786212014	0.581892803442	0.583629085775	0.589041157706	0.622200060493	0.57159596946	0.644250037939	0.604771526091	0.589185127021	0.618094590074	0.621338766197	0.635148583785	0.608215889709	0.628353799451	0.63963723807	0.561558512228	0.580722012581	0.556481974242	0.584033411311	0.573992798115	0.572508006018	0.6262359821	0.556098067152	0.548382705401	0.620104322853	0.664208183816	0.576682890501	0.57312613984	0.616913611921	0.526456701981	0.568838199264	0.604645279337	0.559643371243	0.663871208298	0.629938219053	0.666280417483	0.557853879011	0.549478018746	0.632380180759	0.638636432343	0.58187156936	0.581097511429	0.60460102406	0.600237242851	0.676327871453	0.618058945866	0.695769501325	0.649854149065	0.624776101339	0.561099281106	0.615818567992	0.61930981213	0.553109976975	0.728673013442	0.679071130376	0.598624495691	0.572135317564	0.599623705811	0.584129128738	0.6721062133	0.62670967639	0.637243254236	0.600627705727	0.634565680118	0.656417443786	0.622966673366	0.617308767954	0.719836460814	0.637807815075	0.621986977534	0.614726066194	0.60407462197	0.614542965345	0.609435069697	0.595997197153	0.574159577417	0.602350401786	0.583440196104	0.578774242038	0.58311191913	0.603885833483	0.559554523557	0.564780411193	0.645927960491	0.614235348648	0.607918741027	0.71010353854	0.595448015492	0.622723540943	0.580755380903	0.604866346076	0.583365120751	0.62227547601	0.595484950372	0.610168879025	0.620612954388
CS.293	0.50746831181	0.683648884247	0.55062159476	0.558801168268	0.59065355209	0.561318771662	0.607236222082	0	0.611781762354	0.434213694793	0.741656942167	0.428684348019	0.611774455252	0.400316474451	0.448098941508	0.768269028247	0.676793964059	0.697028145609	0.586486471807	0.739641693137	0.710729601824	0.705742387005	0.771393888447	0.537364553486	0.678266409263	0.624460315534	0.635161296503	0.716877631038	0.612696154263	0.5115108481	0.671477744636	0.694797301816	0.681994156767	0.627946491226	0.536220793655	0.721169646766	0.51053235831	0.695408294733	0.712689115433	0.607452496855	0.727808032698	0.64506101373	0.682701162999	0.5382606355	0.774371641856	0.68093108186	0.711846386881	0.645094389327	0.679487215908	0.741972200377	0.673628871517	0.718009291363	0.714322769915	0.773653437685	0.716553519456	0.625841423718	0.658846560033	0.601030902145	0.694041559128	0.668791677287	0.612439472611	0.621871736853	0.645958615158	0.526541751853	0.651224123269	0.565205634445	0.685592334254	0.560230116518	0.483756561924	0.573838613155	0.464221435152	0.551499452952	0.538004321706	0.563356904635	0.583983860032	0.489664280305	0.418511610597	0.494650094058	0.51202307305	0.48293993547	0.43061299785	0.482986892366	0.516735555817	0.56454439131	0.500919604853	0.52872493321	0.54751867422	0.540431489047	0.481530609996	0.542891051704	0.570127835084	0.567237725224	0.536482557155	0.661989743393	0.588893865377	0.56095739727	0.641063429269	0.696940396582	0.588344226986	0.466193310336	0.488195425846	0.525329367548	0.563622011286	0.687009858282	0.522016975001	0.769823076882	0.657775802972	0.714713192133	0.6140377341	0.539670811942	0.659589333104	0.726374004767	0.618695337657	0.580270346253	0.622903166198	0.598085439828	0.695360770909	0.661800686005	0.786021645266	0.646468632613	0.65794602502	0.639004085708	0.614117352843	0.692075752889	0.528662795734	0.802917629954	0.709547266041	0.686493231134	0.684272220861	0.661336971122	0.680373245017	0.767773806732	0.682908745837	0.674675160202	0.610690833941	0.702300227615	0.678635297557	0.685388218859	0.647667700023	0.761344609712	0.683205465107	0.67614614559	0.644095674209	0.593834019239	0.470982575536	0.545003037855	0.593553292295	0.525371900455	0.494816615392	0.544954784694	0.583528621142	0.572500652674	0.57076112967	0.511791740471	0.514291197089	0.653839013123	0.455203062448	0.515355401241	0.725929768672	0.486749807545	0.423653917491	0.510646188628	0.447455437376	0.480008803387	0.480464737086	0.488875936542	0.439225279013	0.481176609709
CS.106	0.514680525233	0.603399588221	0.583856205576	0.591360276264	0.511519622321	0.553417007131	0.567917755532	0.611781762354	0	0.590794279109	0.623559702158	0.586462307699	0.54189686969	0.59947165701	0.579143173683	0.701405224986	0.556543400074	0.618154306832	0.565962667496	0.64606664803	0.619575909021	0.582583605054	0.707586700936	0.644630723761	0.577538861541	0.529032641223	0.567285835942	0.593202810735	0.478053284299	0.581916978592	0.505392357602	0.629988470765	0.652975428516	0.542051934943	0.615022776278	0.704226967594	0.59543393293	0.630716649207	0.646528834044	0.624496350537	0.703367975203	0.618248150655	0.657794170564	0.589881933367	0.738411882398	0.632404909393	0.657891613626	0.593645540642	0.640536269683	0.692003738294	0.609737621379	0.618710903581	0.690632008399	0.673044718811	0.663305064591	0.594057387406	0.623737875355	0.61672107788	0.676250904834	0.626082841553	0.621215291764	0.649986350285	0.607967403998	0.593222569125	0.563326244915	0.612615041869	0.707783026806	0.578872759964	0.590114172387	0.583340144416	0.584725537502	0.5668399252	0.595426438047	0.567768439522	0.599259697267	0.597284128297	0.612281941126	0.579181351187	0.591182199492	0.535145313819	0.604071823955	0.577871107384	0.592717383929	0.574975770556	0.576743263528	0.591104167501	0.547896182771	0.598323555024	0.589285698605	0.603207929269	0.480947124248	0.540522783219	0.611597314215	0.568192124576	0.582863755931	0.577907264038	0.670538772131	0.680162594758	0.583663167492	0.598135428571	0.63731816747	0.535527663245	0.424459997383	0.536578346005	0.576686503699	0.668051827236	0.577856035609	0.628209831941	0.603496131661	0.602229222026	0.625853764443	0.639833814788	0.616157372185	0.623563779183	0.618626655197	0.500674016796	0.629584685805	0.604595681287	0.683395731745	0.611421070443	0.651819291457	0.502227588377	0.58926805835	0.662797218159	0.598143100829	0.737817132929	0.669121833568	0.526276625123	0.504099847266	0.650896740538	0.502303782056	0.675244816928	0.635086354014	0.646173529179	0.572728260765	0.627738747845	0.650256571726	0.631758576065	0.59202925693	0.703290188249	0.651473600065	0.636277040315	0.592471529922	0.614694544241	0.597241183991	0.52880975065	0.657126561334	0.595251888558	0.607313353817	0.607126794352	0.642129332029	0.634869343718	0.619318651905	0.591499807316	0.621591312804	0.650573889753	0.594237025457	0.595176629949	0.694450644411	0.596391689194	0.602741178224	0.585608595821	0.591099331602	0.589470665796	0.655842711666	0.587986514261	0.636982909064	0.655878177225
CS.297	0.54916723125	0.638923557573	0.516616343947	0.535422121683	0.556825301411	0.544873949808	0.578939384606	0.434213694793	0.590794279109	0	0.738902956272	0.431896161505	0.63993718428	0.455684478388	0.436323244197	0.738833079718	0.679817438371	0.630900061292	0.563351067441	0.689941481791	0.677573591515	0.673686042755	0.749544583876	0.452536050943	0.648018997467	0.580957445173	0.621953123098	0.682168998658	0.572386742901	0.454462954129	0.619520296508	0.638206780558	0.629382453734	0.621687327516	0.465647337836	0.667130920372	0.468301628924	0.653187831722	0.696518735258	0.556055804079	0.691328776735	0.588200608711	0.658513010114	0.474225906441	0.748484020419	0.63195038549	0.676125901031	0.60883277383	0.646650388618	0.71983861198	0.628250178467	0.695241598701	0.703311778795	0.756136329912	0.671715404221	0.57780999529	0.62522144178	0.56466320359	0.670290809276	0.624108407223	0.555420102561	0.550681046294	0.595385672031	0.456029946117	0.620730320372	0.483691531878	0.652053235517	0.490021164048	0.55041362756	0.493486090058	0.464550017088	0.569542650382	0.489138533954	0.532557132508	0.524041357544	0.471042458227	0.463768343229	0.444749207547	0.54496263171	0.541819274551	0.446764631455	0.495055866218	0.550539958181	0.560992520287	0.491947938183	0.584111313872	0.609856757066	0.484497646443	0.453245764981	0.491035967385	0.562736715163	0.573163907721	0.554988985322	0.63350656851	0.575118328972	0.549921117073	0.60145127061	0.659768430425	0.560047087073	0.492339429683	0.51238675758	0.501382704965	0.564636854875	0.647974938892	0.498467871564	0.713063451694	0.645537882973	0.68627146826	0.575199329585	0.486472970113	0.626185658062	0.692997058174	0.553047748196	0.533560473291	0.56168047043	0.615748010123	0.66199100338	0.61309668823	0.751227805564	0.64520318262	0.617021652853	0.596229911074	0.560334946445	0.634901394302	0.449648215147	0.766698643433	0.660064770987	0.648190534431	0.64385221043	0.600039926215	0.634879483911	0.735573689394	0.617320651405	0.622042165869	0.578611379294	0.660815760224	0.646713810949	0.649343754868	0.619020629874	0.752649757137	0.644115332882	0.631978529724	0.599394092462	0.525358689343	0.470136380202	0.559739890909	0.492733506789	0.501922868956	0.438819072923	0.489328915437	0.509955889234	0.499367445931	0.503739117186	0.447927676746	0.433367431061	0.60709115319	0.463552911363	0.488232419012	0.68555353447	0.454952627818	0.471237142597	0.495258398065	0.471949446114	0.429976625042	0.46425536727	0.483976743749	0.429649980822	0.449965764194
