CS.059	CS.001	CS.021	CS.002	L.035.M1	L.033.M1	CS.043	L.007.M1	CS.354	CS.108	CS.022	CS.245	CS.313	L.001.M1	CS.244	CS.066	CS.064	CS.072	CS.062	CS.366	CS.153	CS.334	CS.161	CS.056	CS.065	CS.230	CS.365	CS.335	CS.305	CS.287	CS.376	CS.126	CS.378	CS.128	CS.236	CS.282	CS.374	CS.224	CS.205	CS.203	CS.302	CS.041	CS.213	CS.232	CS.125	CS.256	CS.183	CS.395	CS.389	CS.268	CS.385	CS.214	CS.372	CS.166	CS.349	CS.369	CS.323	CS.147	CS.148	CS.177	T.CS.038	T.CS.004	T.CS.080	T.CS.062	T.CS.052	T.CS.072	T.CS.069	TFS.024	T.CS.046	T.CS.034	T.CS.024	T.CS.059	T.CS.071	T.CS.042	T.CS.067	T.CS.098	T.CS.108	T.CS.114	T.CS.104	T.CS.128	T.CS.116	T.CS.091	T.CS.177	T.CS.147	T.CS.125	T.CS.159	T.CS.156	T.CS.102	T.CS.161	T.CS.092	L.034.M1	CS.356	CS.103	CS.241	CS.087	CS.006	CS.082	CS.237	CS.238	L.024.M1	CS.015	CS.242	CS.246	CS.088	CS.085	CS.311	CS.188	CS.078	CS.336	CS.304	CS.113	CS.150	CS.363	CS.233	CS.044	CS.151	CS.387	CS.308.0	CS.234	CS.345.0	CS.158	CS.227	CS.318	CS.223	CS.285	CS.202	CS.339	CS.343	CS.194	CS.112	CS.321	CS.361	CS.080	CS.320	CS.322	CS.370	CS.390	CS.262	CS.270	CS.326	CS.253	CS.145	CS.393	CS.255	T.CS.055	TFS.025	TFS.020	T.CS.064	T.CS.061	T.CS.049	T.CS.008	T.CS.026	T.CS.031	T.CS.036	T.CS.043	TFS.021	TFS.022	T.CS.066	T.CS.045	T.CS.152	T.CS.095	T.CS.109	T.CS.151	T.CS.166	T.CS.141	T.CS.158	T.CS.157	T.CS.142
CS.059	0	0.555819605995	0.599153114213	0.594740617804	0.600092616408	0.623649154248	0.544114963746	0.553333326663	0.616638827478	0.595199303995	0.632612006224	0.570332185341	0.526235558932	0.553575903601	0.668649617921	0.599574110825	0.555093167452	0.511526928809	0.528544390236	0.70862753977	0.574471551887	0.67394597357	0.645322881054	0.666135311625	0.586563574508	0.697807211391	0.550931853578	0.734199065416	0.532921547813	0.610846768283	0.643968645144	0.512427333946	0.689326524847	0.572651544857	0.673941669486	0.685856399774	0.628493573134	0.762361002302	0.69595500564	0.561697409661	0.703566971259	0.602267845615	0.665160990297	0.5284020539	0.644097621319	0.636536019337	0.727110530148	0.609119911478	0.619871269081	0.661242580445	0.622994555675	0.630209420931	0.614034609298	0.65535170189	0.608603159493	0.711289355814	0.612370472843	0.644885668862	0.665822154865	0.661872707331	0.556543958949	0.571545785858	0.597450778131	0.490673185034	0.596117909297	0.522570962951	0.538200059383	0.550328956433	0.600509249383	0.532757730966	0.551714417692	0.622427553798	0.542500882617	0.539925469788	0.53605748402	0.570566023421	0.553220454485	0.584683586784	0.545587600904	0.561521635114	0.611718695343	0.535462641054	0.544271221159	0.520976568233	0.558319141555	0.585362452548	0.540973931894	0.572400168074	0.565933726563	0.59043052875	0.58261036584	0.696759417007	0.566943748936	0.516263265039	0.635012887685	0.569877140586	0.550280737438	0.629059462031	0.567384857861	0.603961831598	0.602466937235	0.521450460472	0.561438881177	0.654375962989	0.530002999271	0.579129310376	0.636560623721	0.576906943952	0.579409069019	0.68955169553	0.548240726007	0.586119900932	0.637048550173	0.572682309297	0.540484183727	0.578872129676	0.574079311395	0.660826980607	0.659289947591	0.741559593275	0.628278934588	0.776279207402	0.639796679328	0.633919255061	0.701856700113	0.647703533769	0.640667692501	0.656033203139	0.740649872937	0.611985549693	0.572118138828	0.653906274611	0.575371028173	0.577422316515	0.656316211251	0.629577172251	0.639936114628	0.639948942412	0.63662039723	0.633073825766	0.729270093909	0.569725976281	0.654172991431	0.601398546993	0.576174634048	0.576166613791	0.507874047581	0.528335765543	0.58440323999	0.641903318051	0.58162999008	0.691061615333	0.526842567857	0.557046336626	0.567050171211	0.568506711395	0.512940270048	0.543034730956	0.554453875112	0.50965036615	0.54658154376	0.538357512789	0.562676589795	0.541873259673	0.59043684735	0.514870300375	0.583598930259	0.593705313432
CS.001	0.555819605995	0	0.626531899909	0.55053813054	0.646046385501	0.65913656631	0.595766322838	0.570178932217	0.663440825488	0.465074209942	0.628206935877	0.649567210126	0.509692461169	0.531376695837	0.633439720884	0.614083384647	0.560523708453	0.540151228936	0.544731859817	0.737905285907	0.57680782936	0.704779920996	0.675707596107	0.653889655734	0.632037770884	0.71830078916	0.590860133225	0.784665109198	0.528748697732	0.621475927753	0.681829427634	0.587164375064	0.706983464557	0.603789707674	0.65908129977	0.678343654841	0.666145578132	0.781933689226	0.720868313458	0.588698324667	0.751380382352	0.648006178704	0.698115576217	0.508482965645	0.674030764903	0.671748525938	0.726649646696	0.623081080338	0.659374875642	0.65317907594	0.614929477718	0.673709415173	0.63132312904	0.673811957398	0.611499453045	0.722290235907	0.608148162964	0.665007533604	0.689363851445	0.714100426761	0.48163167787	0.643634213703	0.694998502654	0.571140708009	0.654490830514	0.538334131997	0.624623363073	0.639303857929	0.655756137216	0.591387840991	0.618768703498	0.59527985664	0.584135119219	0.51849851004	0.612729679255	0.508540370175	0.509825344102	0.550879883378	0.48893354547	0.486976825362	0.577572158497	0.516428024257	0.514926683767	0.517680658652	0.605395531839	0.500307652679	0.577816977303	0.580900707924	0.524641582826	0.54420792026	0.579029659441	0.744975457408	0.541435139775	0.530406374724	0.633441404658	0.546823038876	0.511853520974	0.626996643004	0.590820253969	0.625865526517	0.604748749103	0.524988322665	0.532325036934	0.708901731401	0.500663375622	0.647734114	0.717621422212	0.659803425384	0.634662794622	0.699237016702	0.634329651574	0.580762111328	0.672938576484	0.536218077393	0.598036219785	0.592203676473	0.659354097077	0.686088312203	0.682146874445	0.766624597848	0.622501419917	0.796606999685	0.656358238529	0.666783206586	0.719799406415	0.711928567775	0.701624469625	0.680549309794	0.783076124428	0.631944433135	0.598445293983	0.716023683297	0.593372050134	0.617347793422	0.702464619582	0.645448800794	0.645624008961	0.688906979566	0.666546232366	0.625906094122	0.739141813304	0.61555273439	0.670982744894	0.585500288331	0.577531245963	0.66109902598	0.511883602289	0.593839307725	0.666240023652	0.68770499249	0.691342967162	0.753683072977	0.608618462787	0.54570337512	0.620593353502	0.641163077382	0.521624234362	0.541796077957	0.642078099773	0.582849508655	0.540938154935	0.508698060087	0.602890441718	0.55676545111	0.655033665118	0.527751086407	0.618130160211	0.673635543699
CS.021	0.599153114213	0.626531899909	0	0.605482714008	0.556706618031	0.620160160281	0.576012354084	0.661866414111	0.64455818742	0.640127006012	0.506394992111	0.603879893231	0.644722283651	0.648049375136	0.706044256688	0.647748699024	0.585295322672	0.598422975504	0.614856395353	0.602089273205	0.597105813299	0.597803566676	0.529775322819	0.565455652033	0.553156030902	0.594556260694	0.610037542965	0.617433427164	0.627049860512	0.582335652608	0.525609261062	0.571149258636	0.647843704744	0.586573116714	0.642304140867	0.581361826243	0.574881927048	0.672671517811	0.587033114654	0.618335848782	0.582362653268	0.577495815264	0.586011405221	0.610797576035	0.532094176665	0.589083439413	0.637184569475	0.617552705526	0.540717622962	0.636280192071	0.566002368602	0.590004309718	0.577687597864	0.629425717061	0.581546382353	0.65460099371	0.571073621483	0.55770158467	0.630088339871	0.623849873602	0.645170481363	0.564892223708	0.588728168644	0.606072496042	0.529836341658	0.600744065774	0.564556613804	0.573916594638	0.543950578669	0.600366177701	0.555157040741	0.647463568255	0.616109240191	0.638821180212	0.586990989086	0.663957116374	0.673303268248	0.671579663642	0.659886874679	0.593740248454	0.642310301562	0.658328867673	0.654452976935	0.664450257698	0.574692186827	0.680587767982	0.630663212253	0.667740354179	0.612907753946	0.681057007324	0.585318806827	0.63483616274	0.622176840054	0.652187158371	0.608142966288	0.557381035231	0.621246092362	0.575812929821	0.587964718335	0.651659711188	0.657258351914	0.604084494233	0.609628407066	0.667744611581	0.592064479314	0.60902543482	0.605009832459	0.614393200288	0.579765371699	0.671348508968	0.603848569312	0.580708187993	0.546775466558	0.642671688345	0.56929937245	0.601338818051	0.526117261821	0.592505088846	0.617126788332	0.623373310986	0.575320119532	0.652206794462	0.530326181564	0.582572194101	0.594546341044	0.643914709466	0.604573191152	0.557624021802	0.632392882677	0.566290090885	0.621371230817	0.606501374579	0.563424235547	0.55257694664	0.567411973052	0.582139917764	0.599533188166	0.568561499512	0.592613365268	0.563407249698	0.659145350691	0.585323979723	0.635467662985	0.547419900186	0.590362665147	0.561345788536	0.635275576625	0.61202618972	0.590481990552	0.557609203962	0.590489904464	0.601086405771	0.585342102589	0.617738131898	0.616201227979	0.607493184412	0.642465821414	0.638834221441	0.602426088195	0.578433579513	0.672039708765	0.652267572482	0.648137562074	0.608869204399	0.65093298383	0.617045821563	0.62925814202	0.654748960879
CS.002	0.594740617804	0.55053813054	0.605482714008	0	0.629455086865	0.65744835235	0.570744963031	0.658778819324	0.581180260713	0.57079752775	0.570337749027	0.639666701507	0.589045809094	0.562905274719	0.603237734615	0.564799592979	0.552006438352	0.586749015173	0.565044965022	0.702011786461	0.518270044633	0.638969426162	0.633351745685	0.594003578209	0.602726261042	0.656115478134	0.598286882492	0.727897974678	0.613929686441	0.587349269427	0.638443965427	0.597019873426	0.653121324605	0.587967992893	0.601158777781	0.648965770303	0.647874842138	0.727870456301	0.705665213974	0.621352394916	0.722092693838	0.550624870786	0.623215631076	0.528161440537	0.645011148731	0.612335028066	0.653436634021	0.576960609249	0.631228587903	0.578060427261	0.628321441104	0.638666607789	0.593534434549	0.612230742465	0.608468339246	0.657017674837	0.619650916204	0.643536248104	0.595539913685	0.667717057486	0.585316960044	0.642587198681	0.659293220362	0.603343491062	0.627228926927	0.59809358149	0.616405263849	0.630112425889	0.642252046372	0.636957653081	0.603021195148	0.541919499768	0.6114741378	0.613671283803	0.635134341552	0.625417357162	0.641877961265	0.602143885553	0.62542285384	0.590906707831	0.545390587819	0.652954554959	0.625512328911	0.640521922554	0.629700166789	0.620517918394	0.639668071633	0.662828552392	0.58315967679	0.634284667051	0.602510728987	0.712012447067	0.532246825488	0.591141933146	0.623138484401	0.581377398972	0.549525353994	0.549684550355	0.579576238892	0.669808094136	0.622822976329	0.595850220489	0.570775162882	0.673119645485	0.504923497184	0.613505518155	0.68702717386	0.645216205045	0.617166514879	0.673072076132	0.599327349703	0.561293239314	0.616171881255	0.555030269042	0.580657617912	0.593992530081	0.62737554496	0.632709699677	0.641564240858	0.706163037888	0.542323342106	0.74497165279	0.630935443127	0.617857735285	0.666838711827	0.6707838287	0.678322920088	0.656114242067	0.722115966978	0.53746100743	0.616173501572	0.657582279953	0.554946905397	0.592041344858	0.633464592478	0.605682861714	0.598180692888	0.661815994858	0.624162794255	0.637427156468	0.694409050447	0.625993811116	0.611944070507	0.604550083115	0.604686385495	0.665823532979	0.632694537478	0.611312029274	0.619514177583	0.662589599593	0.66965463631	0.71669450696	0.609607400625	0.564393601562	0.61607241442	0.65580091013	0.629540583368	0.639701328873	0.637087048222	0.619531234336	0.632551417734	0.623842209927	0.646214848989	0.61991504957	0.653264828193	0.640995276117	0.636414773522	0.678370926429
L.035.M1	0.600092616408	0.646046385501	0.556706618031	0.629455086865	0	0.594217378528	0.592570197291	0.588502196181	0.602735776699	0.674931884135	0.602604453637	0.575926513439	0.582216024226	0.622014933503	0.668271628151	0.615849608059	0.625412388607	0.567393038053	0.602429546309	0.608674060895	0.6140242059	0.609612558855	0.616214681834	0.63395566794	0.55515521007	0.610221788012	0.569887666921	0.635155678051	0.568601809144	0.574346688881	0.548752156055	0.510404723745	0.633154145091	0.587932013467	0.673899166384	0.560857579334	0.593809143202	0.662773056602	0.576072135376	0.572457475105	0.636383020495	0.643512469659	0.571131686727	0.600063632215	0.531452972867	0.566503467455	0.662331494579	0.60017539342	0.532698244769	0.612691259242	0.585213986376	0.559770905489	0.56269209447	0.588391387789	0.541462048113	0.681239483291	0.55654488458	0.549221613689	0.569468066911	0.574336299694	0.621266992504	0.518438216519	0.545982532463	0.528491880061	0.570517852681	0.564998710775	0.528555957444	0.545480835831	0.547234025214	0.566194656719	0.534713000113	0.620828372845	0.569787240524	0.583755702347	0.517474060034	0.62793784613	0.609535938753	0.610280044966	0.607189506667	0.584505487964	0.583673950622	0.577380824634	0.574628905884	0.622982648869	0.516119150247	0.636417550895	0.545048469408	0.603701876794	0.581901197424	0.648211362597	0.567385870938	0.631189994675	0.623009384857	0.612262973883	0.592305957334	0.571442442046	0.616491867922	0.60777675923	0.588162014917	0.589506106706	0.643202594762	0.534585605991	0.551793200619	0.65153760666	0.596759023444	0.5899539278	0.574109024303	0.571600805162	0.539859501102	0.642574529745	0.57628893807	0.558836004382	0.545868862582	0.63938341366	0.554509114999	0.620298274215	0.478447250618	0.629920675887	0.604519440144	0.679417380505	0.604316796655	0.694307105031	0.551692522509	0.540639306621	0.644942734092	0.607639411861	0.576776116053	0.515634961501	0.618953183649	0.617415138351	0.572849722872	0.600222769113	0.575600739272	0.525601691339	0.579764027763	0.568109262301	0.555756370504	0.55582729737	0.57453061663	0.527823828566	0.667424411618	0.514285057356	0.625360929384	0.538082953671	0.565775259042	0.513866071554	0.572096190909	0.5161941375	0.521895303845	0.540953601133	0.531426994424	0.627964771582	0.528232713024	0.607159215806	0.549411147549	0.555803302502	0.5816382526	0.582488480393	0.527206866163	0.540272998241	0.616842784813	0.59013188183	0.562334177817	0.53325225904	0.587256965681	0.546472045246	0.566536905448	0.561165953113
L.033.M1	0.623649154248	0.65913656631	0.620160160281	0.65744835235	0.594217378528	0	0.636659667297	0.603215056619	0.576118432953	0.675802790769	0.611422585713	0.567397520119	0.612511172246	0.640615829774	0.656762551583	0.588509466821	0.638128154748	0.607440727226	0.587951532	0.676682821375	0.637083456992	0.699487140444	0.647323923258	0.687029903032	0.631598605094	0.647614521952	0.604878372497	0.708070685801	0.6193579801	0.664414563893	0.636801906248	0.59137361446	0.652510946328	0.611394005727	0.677925971436	0.6694046672	0.642255709305	0.725434829208	0.692555840571	0.589596588117	0.669290652885	0.648548149516	0.65548503029	0.632688183318	0.647463072828	0.671116166293	0.695945559898	0.680670355602	0.675246085569	0.666111138645	0.663383194736	0.623042853726	0.67479643343	0.675629532597	0.665632839199	0.716108063274	0.673493074591	0.639105889803	0.684927872572	0.64961672195	0.665292066889	0.591246886497	0.571191022559	0.601415528181	0.628145918561	0.634877509049	0.643719442883	0.59375156033	0.615997399689	0.574044647281	0.604262095438	0.645272556589	0.646191256309	0.60917827012	0.581434993413	0.630744287606	0.633608747018	0.629944327219	0.627388678409	0.639743646869	0.62425638218	0.623694682916	0.618029619261	0.61617877497	0.583021020508	0.671616312086	0.568732792168	0.609551926535	0.639642905266	0.653420594038	0.583022344761	0.660823346163	0.632291990336	0.614378425365	0.569572183505	0.563336891759	0.647215273118	0.637846692239	0.599872468018	0.577163095707	0.587719845614	0.604303735233	0.60604171083	0.571966134267	0.644229685512	0.579869917198	0.632165124616	0.563064950837	0.592748606001	0.680747987637	0.561922828939	0.619545296671	0.63516533792	0.640033435434	0.587608976939	0.655192741542	0.607379041966	0.641074968685	0.662717663123	0.708942313648	0.636033502238	0.717831645218	0.666309907656	0.650311329196	0.684889519182	0.588933817418	0.587037578913	0.652450087859	0.733234210835	0.623095301277	0.561192951797	0.620794342109	0.605166703903	0.632723556652	0.671318003434	0.663423519219	0.671957603793	0.612715903516	0.663337393206	0.626037401357	0.69844000747	0.604492497451	0.648123805562	0.656069551725	0.576034604486	0.593321980575	0.611320738635	0.582129795193	0.631167886269	0.648232250456	0.587409324249	0.671893051144	0.569545348403	0.623759781508	0.567210530288	0.563847231018	0.613127530613	0.585216014555	0.59224898423	0.58068482385	0.613180999022	0.615974225445	0.577281222701	0.580874022224	0.587510285908	0.592235965516	0.556913182734	0.581257121996
CS.043	0.544114963746	0.595766322838	0.576012354084	0.570744963031	0.592570197291	0.636659667297	0	0.640247839278	0.6371950783	0.635550674256	0.591072619937	0.60305756405	0.592944135784	0.594447782271	0.671252977628	0.612637452101	0.574838407555	0.555901496779	0.562688246611	0.654094619178	0.561962425766	0.616491391292	0.603718196606	0.606942133771	0.573373962621	0.630900511082	0.573341747688	0.694552162377	0.612654580765	0.586445500283	0.583858847292	0.553991775959	0.626122699477	0.580309996593	0.642120672698	0.625010414174	0.603671577464	0.694162157051	0.649485133895	0.611064425005	0.661008719449	0.559246824153	0.603663016392	0.537413975052	0.604635058214	0.605057286058	0.658377859417	0.612603303249	0.578189369999	0.626815783534	0.607713379728	0.62476684859	0.592993216834	0.631565860364	0.611390775018	0.658978590085	0.591796760315	0.595570659062	0.653008086257	0.638559454043	0.611907650095	0.577230508007	0.610541882997	0.584893471136	0.595309225451	0.581426331955	0.585431555334	0.573382272715	0.595787953081	0.591019938617	0.572871523404	0.619894286985	0.598133738627	0.606823033636	0.600436685422	0.614933070144	0.64914592586	0.610301736113	0.616859898791	0.590690619113	0.588536365482	0.636461613122	0.62731694034	0.624560662142	0.584799333879	0.640126069737	0.615160651673	0.639644928823	0.606999559888	0.644504566978	0.609356429925	0.650736051783	0.570706705656	0.583010870301	0.588181704496	0.569168860646	0.571463990298	0.57269112897	0.536649405684	0.646459529642	0.639762375211	0.575153632072	0.597258282812	0.657552193074	0.540865711716	0.581177460484	0.65061127329	0.610367363909	0.586060180389	0.644832900137	0.596587690922	0.574796807535	0.595271920333	0.59424424025	0.557594425692	0.580465606055	0.559223770417	0.60830316261	0.616643371195	0.673581636619	0.555322425442	0.704694747844	0.590798931761	0.593016433656	0.638458277806	0.620847538098	0.625200933239	0.606149692087	0.692429932445	0.551782763877	0.594701358637	0.633047943855	0.556067348453	0.568030536542	0.628754092822	0.607504513893	0.601966878273	0.622845785126	0.614362678631	0.597035273823	0.663216338285	0.611842338457	0.637528772504	0.592823870579	0.619318423443	0.602013083405	0.601113706012	0.58384085919	0.595770410951	0.628069358924	0.589734450392	0.674215400342	0.580287403252	0.600913958647	0.607461266268	0.612920201705	0.61609238441	0.615884723359	0.597915197669	0.584288706793	0.636071988256	0.618768856705	0.634238589604	0.585065070102	0.647417765842	0.601180818808	0.612564393844	0.647607188724
L.007.M1	0.553333326663	0.570178932217	0.661866414111	0.658778819324	0.588502196181	0.603215056619	0.640247839278	0	0.605641675994	0.625575862205	0.666766983805	0.552334191399	0.473145189433	0.59519049569	0.650422829603	0.587060818022	0.642685754562	0.496782234109	0.5522904834	0.733445108465	0.626669446118	0.726956347628	0.721818495638	0.726163561593	0.644586746729	0.738225195942	0.518568200355	0.765861442267	0.500399416407	0.655941072209	0.6925308795	0.526303007971	0.716479311647	0.607480373744	0.758395818396	0.706105937859	0.693614053037	0.765149821763	0.706082553422	0.553595181158	0.7339052004	0.706629850308	0.707530274403	0.581787033122	0.681689476281	0.682134682509	0.772432776294	0.684878234455	0.68475543604	0.716186373389	0.684471268565	0.657750584023	0.671431711264	0.715190320654	0.668661341423	0.78246085794	0.667302810532	0.683251690489	0.709334201393	0.702814232151	0.583703938516	0.547010053878	0.615558146995	0.491551411441	0.678078363983	0.562834630091	0.560362891563	0.57299509499	0.644527815213	0.514785511931	0.569037100977	0.640875521227	0.528044516248	0.477238194494	0.49992632092	0.483825883054	0.42782775616	0.53747032825	0.463594838766	0.575441313685	0.599611072468	0.393558427261	0.502197948496	0.413682694515	0.497801457602	0.532126103052	0.466605465711	0.469960961659	0.539156957152	0.56989883369	0.590125228343	0.690196023402	0.576364508964	0.510469791654	0.580752783646	0.504436781698	0.583642372233	0.694311366777	0.565187797145	0.463497652414	0.532166439893	0.496725621972	0.543864862551	0.641132511823	0.560527903129	0.615001655719	0.647282400229	0.585465794761	0.606476025441	0.734611165716	0.550463332942	0.610255332332	0.684061188744	0.608040949165	0.56104966849	0.629806600709	0.615935844951	0.731522998996	0.685044386387	0.796863385776	0.682244511081	0.796834452538	0.676116413309	0.675526342108	0.757073694419	0.655046335092	0.654790186716	0.669367217441	0.755519639716	0.684262007527	0.531140969403	0.696739924732	0.638914645929	0.603410016351	0.698207187851	0.682225190734	0.683621648345	0.664676253032	0.678532079543	0.632739344755	0.760020822351	0.584283872612	0.716182195783	0.632083792289	0.507962536436	0.545729594426	0.444375160249	0.493493868934	0.571983377287	0.623841135005	0.573898279435	0.725886382178	0.529202791136	0.554065883977	0.499992378041	0.558585697416	0.467141923938	0.457678339545	0.54344389198	0.503498008019	0.418192586608	0.428106593784	0.411694547742	0.489240625651	0.448949725444	0.476293811267	0.489198228167	0.456168119419
CS.354	0.616638827478	0.663440825488	0.64455818742	0.581180260713	0.602735776699	0.576118432953	0.6371950783	0.605641675994	0	0.667108585275	0.593414236962	0.556954916014	0.592695187988	0.622092386177	0.588295086261	0.565606308197	0.639674768387	0.630181833866	0.571364179011	0.694994493205	0.614301759171	0.698337591981	0.647193276414	0.685024795091	0.655815954825	0.675089784184	0.59545404682	0.714554416531	0.625942515871	0.658239894245	0.638991386262	0.62123519222	0.62513711069	0.613314520906	0.683876270398	0.689055024178	0.647077131395	0.71441340937	0.707602223812	0.607500225536	0.700476670249	0.622548580848	0.646175577875	0.631419655243	0.664188001184	0.662934318616	0.700134616835	0.669736590255	0.679006331474	0.665886160356	0.695961784704	0.639859464406	0.659154816831	0.693077332071	0.679260123098	0.693456193813	0.685100290484	0.652611312132	0.657563115435	0.66471286166	0.646647157417	0.642861368984	0.613402563911	0.583750443701	0.673304943415	0.643182487627	0.655027886427	0.59776535067	0.64738252418	0.621726081955	0.604015249754	0.611709785288	0.642194858859	0.633280833727	0.588113868697	0.638123361678	0.649535483329	0.590586478225	0.641981149714	0.662346604299	0.572235744204	0.638970740503	0.623307253539	0.630752032106	0.593377036798	0.659976850359	0.584471100317	0.61931554565	0.616338497369	0.66713869692	0.58362326001	0.660598882752	0.611858978652	0.606679723849	0.576796328844	0.575246591332	0.633087026233	0.619582184048	0.6091560555	0.592529057094	0.576286332233	0.591580368853	0.60948733681	0.582284708394	0.607807980341	0.578779388131	0.669656815835	0.604020650419	0.626535928981	0.690915092716	0.555846401104	0.604745704552	0.65786127541	0.601406734027	0.577660675983	0.642545685567	0.619524052273	0.649094052454	0.679171549801	0.712048522861	0.59506746127	0.747124963702	0.676523953637	0.669646188822	0.697097928971	0.623806567275	0.630055469344	0.669168626075	0.717935496797	0.590492416385	0.587273211817	0.610239976353	0.60837384776	0.632482658515	0.671459826888	0.671229081184	0.663612534486	0.609742909627	0.649356400935	0.642005181373	0.709386524697	0.636266092348	0.618719868104	0.640455450353	0.581757623161	0.623403804608	0.638877662758	0.568992445916	0.635342610559	0.640233668481	0.601977568725	0.688903440097	0.550190562508	0.605859224523	0.610197420244	0.592958020235	0.646441656039	0.616132802115	0.609126070264	0.622182186948	0.630133929382	0.635634150854	0.580955888537	0.611697497904	0.542552361799	0.620005083104	0.540771212984	0.5746362591
CS.108	0.595199303995	0.465074209942	0.640127006012	0.57079752775	0.674931884135	0.675802790769	0.635550674256	0.625575862205	0.667108585275	0	0.610622475144	0.67180162531	0.581276334757	0.55729748026	0.630246543122	0.602611736653	0.566606949398	0.583540211281	0.578134446965	0.744366970328	0.596916661424	0.73475526413	0.670039984783	0.668357808869	0.660681748438	0.706351735433	0.624784724268	0.807270117436	0.587708848908	0.653922179676	0.689459800679	0.621742091082	0.69643164077	0.636381270632	0.615258462161	0.706344858219	0.688588316297	0.780521028466	0.754435078122	0.650741300102	0.74413600824	0.657123710078	0.7034105504	0.563858788711	0.700308803771	0.711775704714	0.745671603289	0.647676103888	0.664662186136	0.661103653651	0.646633553129	0.685027327692	0.657242393122	0.698627277077	0.653229826896	0.718455294008	0.656151172534	0.690989720148	0.721245348025	0.713517870944	0.556968652646	0.699312172277	0.745403394436	0.606659644071	0.671556652642	0.601631637901	0.666092221257	0.672863270322	0.6941942768	0.644232048803	0.656620508983	0.581061701963	0.660726355771	0.598577048646	0.642001342918	0.603767887643	0.579694273806	0.570847815337	0.581282809299	0.537226761899	0.595156398448	0.589351823657	0.586291030412	0.584948290166	0.657561506442	0.559506301293	0.640265015279	0.609771192132	0.60376506282	0.631698584412	0.646801862211	0.744868203239	0.541489440763	0.56261165017	0.656863651879	0.59855774507	0.557750966523	0.638700342033	0.612874635896	0.648391242419	0.629769912551	0.58212073651	0.597846485898	0.707689012166	0.539053443715	0.670009493625	0.741246304081	0.673317224224	0.679130032663	0.703149294509	0.628258313535	0.616056991013	0.68214514024	0.548478879519	0.62700295397	0.616620305977	0.692764869719	0.666008899174	0.662539264143	0.763638086968	0.623309530314	0.791148019637	0.696518266702	0.68316904869	0.722404976855	0.710815808917	0.700599722406	0.700565052191	0.794081890016	0.633456291713	0.621056109912	0.727123513557	0.616123529981	0.659010531098	0.735841279714	0.684903895609	0.670546137065	0.713799002089	0.693527965942	0.643846218538	0.732181433534	0.655851877472	0.685806889258	0.634953383515	0.621592454437	0.717202328437	0.572256751006	0.632346042665	0.704235520283	0.721349586171	0.734897893353	0.747437092106	0.644496561173	0.532379150975	0.66646115203	0.682027830075	0.597133875974	0.599751102397	0.666140650246	0.616854368196	0.608237505542	0.601302677232	0.679283028435	0.634117877209	0.686151559378	0.610255465434	0.641204845789	0.719891352164
