CS.244	CS.101	CS.010	CS.297	CS.002	CS.354	CS.092	L.005.M1	CS.059	CS.086	CS.199	CS.293	L.035.M1	CS.281	CS.243	CS.077	CS.154	CS.269	CS.171	CS.377	CS.065	CS.335	CS.365	CS.381	CS.117	CS.360	CS.149	CS.060	CS.287	CS.327	CS.302	CS.128	CS.282	CS.376	CS.126	CS.125	CS.232	CS.378	CS.236	CS.213	CS.041	CS.224	CS.375	CS.292	CS.203	CS.183	CS.268	CS.178	CS.349	CS.372	CS.166	CS.386	CS.385	CS.395	CS.214	CS.129	CS.369	CS.148	CS.348	CS.181	T.CS.029	T.CS.024	T.CS.003	T.CS.057	T.CS.082	T.CS.050	TFS.023	T.CS.007	T.CS.072	T.CS.020	T.CS.016	T.CS.001	T.CS.004	T.CS.042	T.CS.067	T.CS.178	T.CS.098	T.CS.106	T.CS.100	T.CS.132	T.CS.160	T.CS.131	T.CS.147	T.CS.116	T.CS.139	T.CS.097	T.CS.128	T.CS.104	T.CS.124	T.CS.114	CS.082	CS.242	CS.110	CS.015	CS.103	L.024.M1	CS.246	CS.085	CS.241	CS.087	L.034.M1	CS.088	CS.006	CS.237	CS.356	CS.364	CS.330	CS.387	CS.165	CS.164	CS.188	CS.363	CS.191	CS.151	CS.338	CS.207	CS.113	CS.187	CS.304	CS.234	CS.112	CS.343	CS.285	CS.227	CS.361	CS.080	CS.319	CS.223	CS.322	CS.331	CS.202	CS.320	CS.318	CS.163	CS.339	CS.145	CS.393	CS.262	CS.253	CS.326	CS.390	CS.270	CS.255	CS.370	T.CS.036	TFS.027	TFS.022	T.CS.031	T.CS.043	T.CS.045	T.CS.049	T.CS.008	TFS.025	TFS.020	T.CS.055	T.CS.061	T.CS.026	TFS.021	T.CS.066	T.CS.142	T.CS.141	T.CS.158	T.CS.109	T.CS.151	T.CS.152	T.CS.157	T.CS.166	T.CS.095
CS.244	0	0.650561655351	0.623491758509	0.664216670147	0.603237734615	0.588295086261	0.606436875487	0.661084268953	0.668649617921	0.601628153429	0.644174712416	0.652314910981	0.668271628151	0.635281493121	0.612123095862	0.649562727958	0.743607189449	0.766752195111	0.587329032759	0.729635994458	0.718910118329	0.775569938561	0.661756478343	0.665067621229	0.624513350933	0.716165194352	0.703177659718	0.625178339798	0.704298505452	0.611173884894	0.769219025338	0.697668670977	0.759624060601	0.730426513043	0.69899188571	0.738808595499	0.635186776856	0.648783586055	0.715727968228	0.729035309584	0.676026025416	0.772240088393	0.694202310372	0.673513343789	0.687010583772	0.740894557574	0.683021974465	0.67785430545	0.712982009257	0.724484239374	0.735963649771	0.707281266066	0.721829827605	0.700022428467	0.717829569437	0.621132156758	0.73956133813	0.702634830703	0.721244499093	0.708583019877	0.630470138635	0.679806857845	0.669875236303	0.75498523411	0.666681018739	0.631359550726	0.715116377894	0.720051693323	0.668791661138	0.636978258628	0.700283896897	0.714582650379	0.690607580295	0.653052491612	0.664241744117	0.64586280302	0.636394198124	0.671490585392	0.629220442054	0.672577099701	0.655637495369	0.681665148664	0.654389262487	0.575055086442	0.662649470391	0.631266171471	0.666179826864	0.641602213289	0.570479585533	0.574951748442	0.626062214953	0.629301778608	0.650505874128	0.642101809161	0.629868790159	0.635049522471	0.642865836815	0.589427671337	0.651360588902	0.621725419759	0.637973158821	0.673104869942	0.607812825098	0.659267462666	0.715356863333	0.750774607524	0.700608288622	0.698995564098	0.723705583865	0.63842639295	0.751269477484	0.721493902101	0.658564822731	0.697676190082	0.661703283691	0.688757740756	0.655067970647	0.695124842606	0.718195770906	0.709616224244	0.636912278068	0.741896045152	0.749391820632	0.780235719256	0.712998997996	0.643272447345	0.749736603922	0.718900128457	0.754203643787	0.673891681017	0.703267984535	0.691561494273	0.74412855931	0.632986766853	0.729409499014	0.720374387816	0.679401476596	0.710914767394	0.727559821824	0.685607547811	0.714337069713	0.711238916043	0.699021059071	0.713252116588	0.59085847062	0.697266307778	0.67564328206	0.642451969519	0.691851219051	0.673817570494	0.719447921783	0.717122485385	0.729295571418	0.680982054281	0.635948299579	0.710142472591	0.740755688525	0.682997019056	0.649346456054	0.682813836676	0.642195837822	0.663050564446	0.658022698504	0.644225361824	0.664244575604	0.618865765505	0.689413597157	0.650844019576
CS.101	0.650561655351	0	0.709335917352	0.500174181721	0.607546408235	0.614327444917	0.515860188816	0.521889543534	0.538018325998	0.509837069253	0.611712684501	0.48226458782	0.648100346577	0.543710711558	0.576901085814	0.575750859861	0.783875917591	0.774415635453	0.578528541275	0.701279265757	0.645973105237	0.790097916627	0.556621574558	0.580777689395	0.516983634961	0.654918289315	0.678096681417	0.621476031617	0.641163961296	0.59079638001	0.762619452482	0.626433665755	0.73336312711	0.697425432545	0.573459996245	0.714385370652	0.543968919264	0.718858641745	0.697160563556	0.70443874085	0.669028435861	0.785651514839	0.652486169432	0.609327893625	0.554241327428	0.769111583243	0.70976606474	0.617541395681	0.667428603494	0.675221876152	0.709112391928	0.727828324483	0.686313771305	0.660887044736	0.677523127744	0.615304426852	0.765897504552	0.727333291239	0.636670472026	0.663431543493	0.654716062954	0.601990093769	0.496455249935	0.737434855673	0.55829839478	0.624291794123	0.637008439985	0.699695852977	0.554714388867	0.523721527438	0.604828273013	0.724544863698	0.639547677981	0.531478479161	0.569161079075	0.522510861245	0.526163001238	0.513983792556	0.573677002111	0.56486966613	0.526070337605	0.546589708802	0.484939984837	0.601763680008	0.51803065745	0.532939198022	0.581022214176	0.511965716787	0.502857213227	0.560080186945	0.55965210266	0.538138756932	0.659809788386	0.537296797237	0.459140300821	0.543868277663	0.556327557825	0.553630111569	0.458854116669	0.610534496744	0.607081981328	0.6281797007	0.528977705579	0.682788076794	0.70410288664	0.749904684593	0.68286726705	0.655782242189	0.707733136742	0.731987042435	0.698275485716	0.710170736512	0.509420601846	0.604284653386	0.663093136712	0.714880205359	0.527037328314	0.671244477893	0.711106805602	0.687682868638	0.650019142581	0.704863349963	0.755430065029	0.809901390006	0.691674781378	0.611367904935	0.703436559779	0.689942090598	0.729157006238	0.597417270623	0.659059168303	0.644522495428	0.701349152328	0.673432855978	0.668225792545	0.606790952334	0.68637346069	0.697668412701	0.754830765828	0.677394514618	0.688034331605	0.698598420203	0.633709922516	0.684245976754	0.57148449537	0.565219140433	0.525979293123	0.555128199744	0.575798552574	0.594053208213	0.69601401026	0.645755028975	0.625030471804	0.520937666453	0.558343268478	0.636421476893	0.74361117429	0.5918024782	0.526573181135	0.590793413964	0.568426080275	0.531276232424	0.52129418416	0.559198925113	0.556836508526	0.569511529441	0.55709282727	0.509942576893
CS.010	0.623491758509	0.709335917352	0	0.738902956272	0.639334948057	0.625078290098	0.672506515133	0.744101539156	0.6921340706	0.676649577179	0.662281780921	0.741656942167	0.702886538566	0.700819032637	0.69096630603	0.685061593936	0.713609476173	0.741904948337	0.635140555939	0.716627525881	0.709452243824	0.756023854684	0.71353540723	0.728400593338	0.644512421418	0.726420027037	0.697570761437	0.653334732073	0.714818997818	0.640519153662	0.746068113904	0.713894447847	0.760004287707	0.715322726509	0.729489364671	0.722539153965	0.681319612392	0.656238504388	0.650635568788	0.709781505253	0.646526422808	0.763915162819	0.699350273087	0.672898946199	0.738782518573	0.735871994772	0.66253997807	0.720892957108	0.722096965006	0.727837120321	0.732534269775	0.69203183873	0.739988401873	0.716687102438	0.727064223982	0.662997581418	0.700698312755	0.720188347202	0.705901598761	0.719256652158	0.656221473187	0.729277406198	0.735706157592	0.732956171332	0.698988145603	0.645183407464	0.751254668094	0.733456973913	0.723955618902	0.716920961187	0.726646256175	0.713678246659	0.726539563514	0.737700617226	0.726334117532	0.725797077593	0.708412807351	0.755363534784	0.720824848349	0.740262789299	0.750342642594	0.749917038992	0.737574981049	0.648839379333	0.759459390904	0.722905758763	0.731981177875	0.725950931153	0.687138386155	0.679193293826	0.691480561414	0.695789887654	0.660251624778	0.658290100556	0.644897393736	0.714487374118	0.716318379189	0.649639377231	0.70799522807	0.653211408262	0.688215354581	0.694268231333	0.666550058343	0.645522176005	0.725482766482	0.732595270983	0.732956200422	0.713786010478	0.726309874495	0.605053155389	0.758863817797	0.708326103132	0.711898862902	0.706588082323	0.672684999331	0.687337476065	0.67922957365	0.700166166131	0.686122049625	0.682174564822	0.603285553031	0.740330985749	0.705168478982	0.757080428721	0.70345616368	0.650056715748	0.746233768818	0.737236627013	0.73990274008	0.70262556709	0.703979488699	0.712501468626	0.731607822158	0.628939177356	0.707317847651	0.736178615085	0.674930918859	0.682007728795	0.709458877554	0.710977709243	0.719789980592	0.706609288239	0.718507978108	0.724604595917	0.690678254685	0.736886177694	0.746763530897	0.70642163171	0.743444384152	0.709302552849	0.742019610812	0.738203872448	0.750304589753	0.738354472716	0.716749976876	0.751142777761	0.719089503566	0.706699975538	0.725899080493	0.728521535125	0.711356257375	0.739843621003	0.748115100135	0.748393555756	0.722258937926	0.704547181001	0.730824612613	0.739896432816
CS.297	0.664216670147	0.500174181721	0.738902956272	0	0.601725757966	0.579387520866	0.571498075479	0.420693078178	0.51524445161	0.54859823964	0.598582352654	0.434213694793	0.548231515164	0.456483809345	0.516616343947	0.561458609144	0.770297163066	0.749544583876	0.582703727906	0.677573591515	0.573966848602	0.742504865329	0.454462954129	0.52092769596	0.55476309004	0.584028241249	0.638888431405	0.621953123098	0.623274788896	0.566733587942	0.691328776735	0.556055804079	0.658341846185	0.638206780558	0.474225906441	0.629382453734	0.562559175912	0.696518735258	0.706219436147	0.658513010114	0.643421220126	0.748484020419	0.588200608711	0.621687327516	0.465647337836	0.730328110709	0.695241598701	0.56466320359	0.628250178467	0.63589330088	0.676125901031	0.703311778795	0.65675932153	0.647474767446	0.615827320827	0.591095744111	0.756136329912	0.671715404221	0.60883277383	0.62522144178	0.620730320372	0.497885541356	0.397214621936	0.672698543608	0.47845676278	0.575894472861	0.50731800426	0.594330604701	0.532557132508	0.55041362756	0.524041357544	0.69623776556	0.493851006507	0.464550017088	0.441184283756	0.491947938183	0.495055866218	0.481753771135	0.550539958181	0.54496263171	0.514689800024	0.481342212374	0.463768343229	0.566430520446	0.473163703184	0.478325090505	0.560992520287	0.507812749424	0.525289328632	0.565549635157	0.562736715163	0.468394313953	0.63350656851	0.554988985322	0.573163907721	0.51238675758	0.498467871564	0.564636854875	0.492339429683	0.575118328972	0.560047087073	0.60145127061	0.501382704965	0.647974938892	0.659768430425	0.713063451694	0.626185658062	0.553047748196	0.656650164202	0.734775949874	0.579128580723	0.644151707199	0.430184718299	0.578495536189	0.645537882973	0.68627146826	0.486472970113	0.61309668823	0.702369529588	0.66199100338	0.634879483911	0.622042165869	0.735573689394	0.766698643433	0.634901394302	0.596229911074	0.617320651405	0.625299534379	0.660064770987	0.578611379294	0.617021652853	0.560334946445	0.626530772156	0.648190534431	0.600039926215	0.525358689343	0.660815760224	0.644115332882	0.752649757137	0.619020629874	0.649343754868	0.646713810949	0.599394092462	0.631978529724	0.559739890909	0.433367431061	0.463552911363	0.501922868956	0.438819072923	0.489328915437	0.60709115319	0.492733506789	0.499367445931	0.462118770498	0.488232419012	0.509955889234	0.68555353447	0.503739117186	0.470136380202	0.449965764194	0.46425536727	0.429976625042	0.471949446114	0.429649980822	0.483976743749	0.495258398065	0.454952627818	0.471237142597
CS.002	0.603237734615	0.607546408235	0.639334948057	0.601725757966	0	0.581180260713	0.552608015182	0.656285912941	0.594740617804	0.559608822611	0.593912902436	0.620322934484	0.629455086865	0.576856716216	0.602242429228	0.595342363259	0.713080326235	0.717865894023	0.534312084318	0.618915373822	0.602726261042	0.727897974678	0.598286882492	0.571539139587	0.543754202936	0.599666859089	0.592012491005	0.587138859303	0.587349269427	0.624672563973	0.722092693838	0.587967992893	0.648965770303	0.638443965427	0.597019873426	0.645011148731	0.528161440537	0.653121324605	0.601158777781	0.623215631076	0.550624870786	0.727870456301	0.641772848935	0.537537188135	0.621352394916	0.653436634021	0.578060427261	0.614545221616	0.608468339246	0.593534434549	0.612230742465	0.663280897818	0.628321441104	0.576960609249	0.638666607789	0.581788581239	0.657017674837	0.595539913685	0.603822274213	0.599912939757	0.549027221158	0.603021195148	0.638763973178	0.708207348715	0.620464104651	0.596751648633	0.673552527727	0.677351227823	0.59809358149	0.621256575783	0.619826867355	0.681276500759	0.642587198681	0.613671283803	0.635134341552	0.596239511266	0.625417357162	0.653386130347	0.611670269871	0.640243272483	0.629468894622	0.642291888671	0.640521922554	0.545390587819	0.636830546119	0.635153197971	0.590906707831	0.62542285384	0.589786042478	0.602143885553	0.549525353994	0.595850220489	0.566082384732	0.622822976329	0.532246825488	0.669808094136	0.570775162882	0.504923497184	0.591141933146	0.623138484401	0.602510728987	0.673119645485	0.581377398972	0.549684550355	0.712012447067	0.688858959917	0.626391727431	0.62737554496	0.693867931186	0.610484260901	0.68702717386	0.616171881255	0.604899365013	0.593992530081	0.570166033127	0.64617744221	0.599327349703	0.618594991981	0.673072076132	0.641564240858	0.53746100743	0.656114242067	0.666838711827	0.74497165279	0.657582279953	0.554946905397	0.633312030066	0.617857735285	0.633464592478	0.548922731315	0.6707838287	0.592041344858	0.630935443127	0.581083598544	0.678322920088	0.625993811116	0.611944070507	0.661815994858	0.694409050447	0.637427156468	0.598180692888	0.624162794255	0.604550083115	0.605682861714	0.564393601562	0.641819424945	0.629540583368	0.609607400625	0.61607241442	0.637087048222	0.662589599593	0.66965463631	0.665823532979	0.632694537478	0.604686385495	0.619514177583	0.71669450696	0.65580091013	0.639701328873	0.678370926429	0.653264828193	0.640995276117	0.623842209927	0.646214848989	0.619531234336	0.636414773522	0.61991504957	0.632551417734
CS.354	0.588295086261	0.614327444917	0.625078290098	0.579387520866	0.581180260713	0	0.633905965098	0.608189579564	0.616638827478	0.604309689741	0.604379462418	0.600660709233	0.602735776699	0.594514531765	0.596223809674	0.61249449952	0.699715404778	0.706683938465	0.5933577676	0.698058844573	0.655815954825	0.714554416531	0.59545404682	0.626171821008	0.57188400525	0.654289721622	0.63943564391	0.608442442952	0.658239894245	0.578280033572	0.700476670249	0.613314520906	0.689055024178	0.638991386262	0.62123519222	0.664188001184	0.631419655243	0.62513711069	0.683876270398	0.646175577875	0.622548580848	0.71441340937	0.610969599277	0.629601118785	0.607500225536	0.700134616835	0.665886160356	0.648855147057	0.679260123098	0.659154816831	0.693077332071	0.666030752446	0.695961784704	0.669736590255	0.639859464406	0.596876547525	0.693456193813	0.657563115435	0.675404411864	0.649691031141	0.626846615504	0.604015249754	0.610999845598	0.664564684573	0.600398600601	0.579399200364	0.631693581929	0.651127412412	0.643182487627	0.636413485007	0.624824765026	0.671295373338	0.642861368984	0.633280833727	0.588113868697	0.638078277941	0.638123361678	0.654396176849	0.62789907451	0.672958203228	0.656454418101	0.630956104323	0.630752032106	0.572235744204	0.641009838607	0.629622893404	0.662346604299	0.641981149714	0.587793917187	0.590586478225	0.633087026233	0.591580368853	0.626442701598	0.576286332233	0.611858978652	0.592529057094	0.60948733681	0.607807980341	0.606679723849	0.576796328844	0.58362326001	0.582284708394	0.575246591332	0.619582184048	0.660598882752	0.699668480818	0.647837852972	0.619524052273	0.65602882404	0.659911372161	0.669656815835	0.65786127541	0.607063201449	0.642545685567	0.636900050313	0.66961302458	0.555846401104	0.65131081321	0.690915092716	0.679171549801	0.590492416385	0.669168626075	0.697097928971	0.747124963702	0.610239976353	0.60837384776	0.680775181102	0.669646188822	0.671459826888	0.646994957412	0.623806567275	0.632482658515	0.676523953637	0.61632334387	0.630055469344	0.636266092348	0.618719868104	0.609742909627	0.709386524697	0.642005181373	0.663612534486	0.649356400935	0.640455450353	0.671229081184	0.605859224523	0.609513652465	0.646441656039	0.550190562508	0.610197420244	0.609126070264	0.640233668481	0.601977568725	0.623403804608	0.638877662758	0.581757623161	0.635342610559	0.688903440097	0.592958020235	0.616132802115	0.5746362591	0.542552361799	0.620005083104	0.635634150854	0.580955888537	0.622182186948	0.540771212984	0.611697497904	0.630133929382
CS.092	0.606436875487	0.515860188816	0.672506515133	0.571498075479	0.552608015182	0.633905965098	0	0.604052280087	0.53776968512	0.466458958857	0.614364838675	0.558116880465	0.642037386018	0.542938587302	0.598092128363	0.543284293896	0.766495402295	0.746235099758	0.56644165498	0.643287342892	0.642427520242	0.768222930564	0.573241666718	0.575743743194	0.544159167526	0.649067540951	0.637188018093	0.591079902587	0.625246407707	0.638169803966	0.741403456914	0.623567617984	0.697221577942	0.685802576893	0.589857323688	0.679071408911	0.49515727799	0.676799218342	0.663355643246	0.715331856986	0.64321252036	0.770399667719	0.660263885471	0.584947725009	0.606322550755	0.735375067333	0.650789053279	0.620158860801	0.626331686427	0.649225190029	0.677152690038	0.718502326408	0.639650532032	0.627876388492	0.670444852633	0.587057602609	0.707620483077	0.685192383867	0.591738472776	0.623345242799	0.582809873902	0.606118490411	0.569617206366	0.727734255797	0.584501872194	0.613142884528	0.654704691369	0.681613080321	0.547588258962	0.533425738196	0.620436220204	0.719316970036	0.641726114554	0.517665974095	0.608119981718	0.49141186931	0.528723844655	0.539167478198	0.530357503929	0.508965041375	0.511806524132	0.540047903232	0.537771503606	0.567115631698	0.520666067991	0.53821584134	0.516823986635	0.515626559364	0.501319975399	0.525568495174	0.381231409451	0.52653904146	0.609555129019	0.603814736337	0.523633132035	0.622919932144	0.541748672278	0.463482779866	0.558792700511	0.600879771105	0.593984568236	0.688460773909	0.553460313781	0.592659250223	0.720201543958	0.722267840425	0.660774690639	0.652993988833	0.725806445239	0.669766315616	0.702957880501	0.67326568105	0.563436763157	0.602361589321	0.610296619135	0.670734957167	0.61500778455	0.638772323255	0.692737969413	0.662560494748	0.602706429179	0.704576460786	0.712063137004	0.789587030533	0.693472866558	0.584937837743	0.678793406496	0.665061923544	0.709915295112	0.566747896611	0.684868211098	0.640686665609	0.683343747902	0.613202367315	0.694601478764	0.617255196138	0.668899684752	0.688170547681	0.721671558201	0.62054539779	0.663588797632	0.675354019264	0.622330555921	0.672338435479	0.526778367554	0.617278145984	0.538721572488	0.618978984255	0.620642862626	0.629217257793	0.69046480528	0.703196532457	0.659787586309	0.533607678267	0.597739496367	0.651571936485	0.731156729295	0.645291837008	0.556482400771	0.649941842511	0.646101910726	0.542670786413	0.530421671606	0.598338873548	0.587925061541	0.592840224041	0.590435027623	0.549419509684
L.005.M1	0.661084268953	0.521889543534	0.744101539156	0.420693078178	0.656285912941	0.608189579564	0.604052280087	0	0.577105425758	0.558236182626	0.617875595514	0.410021556574	0.615322327666	0.515456386841	0.516365730628	0.602266551671	0.799315225555	0.77940550366	0.615764480686	0.737236406007	0.663407608043	0.761620776188	0.496287795191	0.593210868607	0.591693647413	0.654216537025	0.69218873989	0.637998572239	0.676238914972	0.568041051563	0.74041744101	0.625487975842	0.712623033209	0.685877483267	0.557980950747	0.686516945681	0.59519432061	0.708192684742	0.744792293265	0.702125453944	0.692308028819	0.763750922127	0.650391110156	0.651307222477	0.526836728016	0.766436870091	0.722754640557	0.622157450099	0.673476808581	0.682837467657	0.735598026088	0.735711963407	0.704842100459	0.6989052353	0.685344732182	0.638789429835	0.785473788529	0.70452241836	0.662770196832	0.680689374552	0.663331239829	0.564008090814	0.431574043543	0.711653600872	0.536125148273	0.623700795847	0.55765502546	0.661836946406	0.590071135525	0.537724169921	0.589722162061	0.720483921561	0.557301401005	0.496276819486	0.511667206266	0.533885018291	0.460195487276	0.441025011646	0.505624223441	0.540219938427	0.519405410017	0.510191439816	0.436469031332	0.591605984905	0.451414719047	0.481270664274	0.582820108496	0.482714928428	0.511230072281	0.562288624872	0.601019477842	0.494078019527	0.67101029769	0.524220739841	0.582598411405	0.471278020676	0.542594482881	0.58409982225	0.504683457533	0.577212735983	0.572105888982	0.638883089851	0.504323281988	0.684707001766	0.698888779602	0.751547696892	0.667383558671	0.627715936453	0.694642115662	0.760165656616	0.645079439837	0.692293813765	0.484887579108	0.640436177264	0.683715312595	0.716417680359	0.554234616297	0.675227797379	0.726377929425	0.706474031173	0.682020850575	0.666747138555	0.761482585962	0.792147233638	0.70345846165	0.641494378643	0.678361294693	0.693017522699	0.697775806925	0.610825495844	0.671571088424	0.614729260928	0.681181878438	0.691526483151	0.654273895355	0.601397742644	0.706757760937	0.691202929228	0.76676564922	0.65134385365	0.690025223791	0.686525249642	0.643211384456	0.686355730364	0.582138999721	0.472391318473	0.479621899557	0.535250406912	0.46994096677	0.557244613298	0.645037256654	0.578107236944	0.556318030343	0.47710349953	0.512929170719	0.58497637267	0.730532675148	0.540659495886	0.473383576922	0.457786125003	0.458748057708	0.469561376123	0.449416991553	0.431406468203	0.506951699452	0.492204678617	0.484597992573	0.421791601287
CS.059	0.668649617921	0.538018325998	0.6921340706	0.51524445161	0.594740617804	0.616638827478	0.53776968512	0.577105425758	0	0.55592188472	0.613892361716	0.544753824367	0.600092616408	0.510189900255	0.563277683447	0.561953809965	0.744818863031	0.761993646321	0.600772688973	0.645822189373	0.586563574508	0.734199065416	0.550931853578	0.548597391059	0.564045187428	0.596574287677	0.600897666462	0.613714957219	0.610846768283	0.592882758685	0.703566971259	0.572651544857	0.685856399774	0.643968645144	0.512427333946	0.644097621319	0.5284020539	0.689326524847	0.673941669486	0.665160990297	0.602267845615	0.762361002302	0.603599606579	0.564795347437	0.561697409661	0.727110530148	0.661242580445	0.576885990475	0.608603159493	0.614034609298	0.65535170189	0.692267726204	0.622994555675	0.609119911478	0.630209420931	0.599875445983	0.711289355814	0.665822154865	0.594023631552	0.627266434298	0.601743484174	0.551714417692	0.514447604439	0.664767244879	0.545726756878	0.603643731388	0.57178879204	0.631447936856	0.522570962951	0.550950853073	0.550125143429	0.676118729573	0.571545785858	0.539925469788	0.53605748402	0.517643710214	0.570566023421	0.559026295401	0.569877932637	0.548388222585	0.557575293983	0.537749916959	0.520976568233	0.611718695343	0.557327745741	0.527998852072	0.561521635114	0.545587600904	0.54236192951	0.584683586784	0.550280737438	0.521450460472	0.626909409802	0.602466937235	0.566943748936	0.603961831598	0.561438881177	0.530002999271	0.516263265039	0.635012887685	0.58261036584	0.654375962989	0.569877140586	0.629059462031	0.696759417007	0.712933421961	0.624097462689	0.574079311395	0.677903944048	0.719780992085	0.636560623721	0.637048550173	0.499986639117	0.578872129676	0.616665247973	0.680835352439	0.548240726007	0.612065499484	0.68955169553	0.659289947591	0.611985549693	0.656033203139	0.701856700113	0.776279207402	0.653906274611	0.575371028173	0.655489489214	0.633919255061	0.656316211251	0.556242656377	0.647703533769	0.577422316515	0.639796679328	0.64788148547	0.640667692501	0.569725976281	0.654172991431	0.639948942412	0.729270093909	0.633073825766	0.639936114628	0.63662039723	0.601398546993	0.629577172251	0.557046336626	0.529047311878	0.512940270048	0.526842567857	0.567050171211	0.554453875112	0.641903318051	0.58162999008	0.576166613791	0.507874047581	0.576174634048	0.58440323999	0.691061615333	0.568506711395	0.543034730956	0.593705313432	0.59043684735	0.514870300375	0.538357512789	0.562676589795	0.50965036615	0.583598930259	0.541873259673	0.54658154376
CS.086	0.601628153429	0.509837069253	0.676649577179	0.54859823964	0.559608822611	0.604309689741	0.466458958857	0.558236182626	0.55592188472	0	0.59395118065	0.535631581848	0.631735331355	0.551602897922	0.562701143108	0.548710128318	0.767493666333	0.733490847521	0.56094655799	0.671679674879	0.637015004864	0.772709523771	0.550302936209	0.574653636713	0.518425592464	0.651112468609	0.643019900276	0.591406625319	0.653989470705	0.58838831666	0.745879994627	0.612451370461	0.692420589965	0.679198388644	0.583906224696	0.666894454359	0.526232234492	0.681239134827	0.664294053687	0.69236314118	0.638026144543	0.76369204768	0.63865644663	0.594976128901	0.569358819858	0.740566528964	0.665578584082	0.614101965222	0.653002263742	0.670021003699	0.702784163104	0.730554647815	0.667501983125	0.656357623891	0.674023396434	0.602492048767	0.730577168744	0.690338994949	0.621399171679	0.660836880239	0.610828705601	0.603194235539	0.553704177418	0.727045022911	0.572814475059	0.597246723272	0.626323285423	0.687340966907	0.55472811621	0.533946898865	0.600545173231	0.730996730791	0.635900417178	0.528589366518	0.589451986074	0.506422637277	0.52102388441	0.531074104318	0.52694072091	0.544854408123	0.509739326316	0.515842436985	0.525250188381	0.558415628946	0.513633524541	0.520531711076	0.557830254658	0.50137330075	0.484721348254	0.544937253354	0.483290250924	0.539134219059	0.617203091783	0.564733421101	0.520446429077	0.573220780729	0.519898802274	0.489791946056	0.544992234328	0.567876851718	0.572085873259	0.646213648655	0.529431370815	0.623706958118	0.711377032904	0.719571552886	0.657448286406	0.649892826226	0.697527304994	0.678794015718	0.686539649654	0.677143865029	0.546986476653	0.60331611947	0.630216425805	0.681902610638	0.566650562815	0.657283617294	0.699839150941	0.662379951925	0.605052331695	0.684538497174	0.711984027569	0.775913785442	0.676947330242	0.571305582355	0.682462913877	0.651892330973	0.705854240708	0.587018608368	0.666360710184	0.633973373733	0.677399204642	0.5996781099	0.660729721678	0.628057286863	0.659364944149	0.703989776217	0.726306519486	0.642829565642	0.678920161742	0.691304814317	0.638272801601	0.663156341318	0.546538874948	0.584644193861	0.55020283177	0.595619608403	0.602504400328	0.610269273693	0.685837643336	0.658558078573	0.629187248806	0.552207002545	0.58711156902	0.630447143777	0.746232928835	0.611824007189	0.521606673915	0.622822193251	0.601263513517	0.532388376154	0.523729294557	0.550317297442	0.562682323666	0.567767203265	0.58087018534	0.529573825749
