CS.263	CS.016	CS.217	L.002.M1	CS.176	CS.260	CS.280	CS.293	CS.039	L.036.M1	CS.038	CS.357	CS.259	CS.313	CS.002	CS.076	CS.153	CS.060	CS.366	CS.118	CS.064	CS.056	CS.335	CS.171	CS.155	CS.368	CS.073	CS.127	CS.365	CS.161	CS.374	CS.041	CS.126	CS.128	CS.376	CS.380	CS.224	CS.375	CS.236	CS.378	CS.302	CS.203	CS.205	CS.136	CS.232	CS.182	CS.389	CS.395	CS.214	CS.386	CS.147	CS.129	CS.268	CS.369	CS.349	CS.256	CS.254	CS.385	CS.323	CS.177	T.CS.062	T.CS.004	T.CS.048	T.CS.040	TFS.023	T.CS.076	T.CS.079	T.CS.007	T.CS.023	T.CS.014	T.CS.016	T.CS.058	TFS.024	T.CS.052	T.CS.019	T.CS.129	T.CS.126	T.CS.110	T.CS.115	T.CS.108	T.CS.106	T.CS.161	T.CS.116	T.CS.119	T.CS.091	T.CS.114	T.CS.160	T.CS.102	T.CS.167	T.CS.130	CS.242	CS.088	CS.087	CS.238	CS.006	CS.015	CS.110	L.024.M1	L.034.M1	CS.246	CS.085	CS.082	CS.237	CS.103	CS.356	CS.207	CS.191	CS.189	CS.338	CS.164	CS.113	CS.345.0	CS.336	CS.188	CS.044	CS.078	CS.347.0	CS.308.0	CS.151	CS.364	CS.319	CS.080	CS.361	CS.320	CS.163	CS.158	CS.343	CS.331	CS.202	CS.194	CS.152	CS.285	CS.318	CS.223	CS.322	CS.390	CS.262	CS.370	CS.253	CS.393	CS.270	CS.326	CS.255	CS.145	T.CS.049	T.CS.043	TFS.020	T.CS.036	TFS.025	T.CS.055	TFS.022	TFS.021	TFS.027	T.CS.008	T.CS.045	T.CS.066	T.CS.061	T.CS.026	T.CS.031	T.CS.158	T.CS.152	T.CS.157	T.CS.141	T.CS.095	T.CS.166	T.CS.142	T.CS.151	T.CS.109
CS.263	0	0.567937792348	0.53392417293	0.625460158231	0.574983627536	0.602448445345	0.555306792156	0.561318771662	0.577164703178	0.553871259768	0.601117501214	0.549205057127	0.551874851486	0.539987308957	0.58079880661	0.610560677635	0.558389847304	0.59334598156	0.686040286325	0.553849041825	0.552981706494	0.646183183723	0.726344710695	0.574077852394	0.573416987519	0.529813897973	0.608124811688	0.535904474989	0.543296708445	0.641413091843	0.613523596452	0.638526783832	0.530279031551	0.560078467947	0.653532894964	0.539378136231	0.745907321067	0.563438372903	0.661609748401	0.656811269964	0.723217358117	0.534186019973	0.67091315383	0.587872987424	0.53444520069	0.548849445004	0.605329786387	0.583308627615	0.624815535798	0.665053400095	0.618624917544	0.554901123592	0.610484105809	0.693797283305	0.574479033504	0.622929417514	0.621559531315	0.581643135433	0.584132774777	0.639510163049	0.528048581247	0.576899497489	0.565053123268	0.523436638703	0.568701821631	0.561413106821	0.64932157468	0.65619077351	0.743141670335	0.569684722358	0.545177815231	0.530386517902	0.572251582536	0.605848477555	0.58632423751	0.551381089474	0.511618424983	0.529644155552	0.544185713065	0.547205785238	0.558896844899	0.540978110861	0.538898899069	0.565006588272	0.555316542855	0.541700130337	0.529636627358	0.552693666709	0.541791024495	0.463156928847	0.524890418462	0.663433965198	0.614816036449	0.579701607617	0.555035243964	0.580082364515	0.605374016173	0.590861500009	0.546898501082	0.512998696615	0.523452687868	0.539140293051	0.623216623456	0.570784311415	0.679117835791	0.629990967842	0.551400846244	0.61230500823	0.575978359923	0.703251654152	0.57069716609	0.733505878275	0.591158343471	0.625447293993	0.536521397977	0.596342062687	0.669689112449	0.647818023036	0.591073114	0.67605852213	0.638293002259	0.573024809642	0.634841241141	0.576736133525	0.610317596455	0.612310472077	0.637574725734	0.509056100179	0.642862568735	0.721097837624	0.510320842134	0.697282324646	0.625392460006	0.621019938635	0.651141348564	0.619951598571	0.631484985706	0.606517570476	0.687923214281	0.62116460753	0.622249048993	0.581479751561	0.574525203523	0.546909005143	0.64158397352	0.574286272534	0.535101807945	0.553996460002	0.593546191651	0.5458606773	0.539782253126	0.584623370277	0.578833903253	0.618058929726	0.569955631176	0.545091503768	0.588483398427	0.701948063203	0.564983425303	0.515342286232	0.539317771843	0.572762397201	0.591180228974	0.550898959135	0.545947886692	0.61782140189	0.553210728264	0.534347890262
CS.016	0.567937792348	0	0.570770236615	0.642551328269	0.570566385915	0.619167719721	0.606935313467	0.607236222082	0.563241945918	0.587003444343	0.550330294645	0.590124966091	0.580896483888	0.599430903199	0.5987513597	0.611327782342	0.578446320929	0.591229951306	0.677731921163	0.535375861269	0.59145049721	0.607080250796	0.728474097696	0.572889826081	0.619109638355	0.579117711343	0.576462350503	0.582017422099	0.565385003471	0.631213633954	0.66210547502	0.61207063463	0.586985625194	0.578482592248	0.615957443602	0.568766112655	0.733857599994	0.568667405311	0.654540626713	0.6516505002	0.700451761572	0.565320826132	0.664083259894	0.601637426861	0.577683630944	0.629096181133	0.642763537698	0.645510339795	0.616847506991	0.676551413397	0.634296081767	0.594234955117	0.651666289374	0.697259561596	0.622183483795	0.661134024333	0.645708503556	0.637387693809	0.627039409111	0.657099908939	0.566162197034	0.59267818127	0.584242997548	0.574089236373	0.602129450752	0.619359487504	0.648537789486	0.652895544703	0.709305782959	0.611279525759	0.583629085775	0.574172264343	0.584431027135	0.644022309499	0.58340748745	0.62024037348	0.57159596946	0.603943657154	0.623815170065	0.630100956536	0.619051762553	0.620473091717	0.5800742305	0.63963723807	0.615242184854	0.600105086033	0.617520556612	0.614376035861	0.583828694688	0.566062049404	0.557291061649	0.620104322853	0.556098067152	0.548382705401	0.526456701981	0.572508006018	0.6262359821	0.616913611921	0.576682890501	0.559643371243	0.568838199264	0.584033411311	0.604645279337	0.573992798115	0.664208183816	0.666280417483	0.573607992188	0.649854149065	0.629938219053	0.685105404903	0.549478018746	0.697967160771	0.60460102406	0.642796858737	0.522170100629	0.581097511429	0.638636432343	0.636364435056	0.599620860047	0.663871208298	0.62670967639	0.561099281106	0.61930981213	0.615818567992	0.598624495691	0.572135317564	0.637243254236	0.600627705727	0.624776101339	0.72573043505	0.568556846117	0.6721062133	0.628269131963	0.64142626271	0.679071130376	0.622966673366	0.637807815075	0.621986977534	0.719836460814	0.634565680118	0.656417443786	0.617308767954	0.614726066194	0.60407462197	0.645927960491	0.602350401786	0.601554701271	0.609435069697	0.58311191913	0.607918741027	0.614235348648	0.603885833483	0.564780411193	0.595997197153	0.583440196104	0.614542965345	0.578774242038	0.71010353854	0.574159577417	0.583365120751	0.595484950372	0.580755380903	0.62227547601	0.622723540943	0.595448015492	0.620612954388	0.610168879025	0.604866346076
CS.217	0.53392417293	0.570770236615	0	0.674527294884	0.610739147388	0.645403845119	0.50603777246	0.50934817467	0.557993688081	0.55720260357	0.56907921276	0.506603758426	0.509930169318	0.500740606688	0.576614460373	0.629014575263	0.555751924141	0.598540163933	0.740498999575	0.567239698352	0.577675834983	0.681611370972	0.762740179478	0.546188849027	0.612156919916	0.55760965908	0.606210499099	0.597182165603	0.548940154576	0.667599822511	0.672820019094	0.64348543488	0.57363188255	0.618315974346	0.677614598685	0.573661134545	0.762311937857	0.64008531949	0.691478160348	0.696663314325	0.724282935123	0.574045429475	0.726369093964	0.601588634576	0.506249135085	0.619775586139	0.677762697136	0.662080873263	0.657769126386	0.721049429527	0.686398358235	0.591195156831	0.676349773363	0.738382034251	0.646738163349	0.686794268237	0.681149326521	0.666224845784	0.65992631497	0.703283320648	0.50553702018	0.59629120139	0.581310364292	0.498729492329	0.613194358282	0.587438844403	0.697050612797	0.660650200148	0.720611629042	0.570452310156	0.605591207019	0.566498175594	0.583523694185	0.653678680244	0.616937661274	0.537761858459	0.524673765559	0.517909643546	0.542259814043	0.52655871548	0.528557438299	0.559152904274	0.569192994104	0.569712152492	0.50808052455	0.529817281145	0.533015006894	0.529119335188	0.509932197119	0.515931945909	0.526938236942	0.621504875865	0.568841199359	0.519700124705	0.48779851908	0.539523676672	0.631971984498	0.529126719637	0.57908798214	0.532187496277	0.512015824624	0.539187915015	0.624501303809	0.55186739406	0.670319614722	0.680502219214	0.52529597289	0.640995738436	0.63923048297	0.676021267747	0.525760307176	0.753595020373	0.604879357356	0.683064305189	0.514525034831	0.580505764332	0.669845212596	0.677713575549	0.62869537863	0.7188970633	0.685989333421	0.597513623718	0.675590235923	0.640144041194	0.60937100243	0.627947029436	0.69108661988	0.59436468186	0.655586363192	0.768205798945	0.555343902368	0.723361869859	0.670877071492	0.682546715459	0.698719049804	0.681081317258	0.676666231699	0.675659507073	0.722978383611	0.664872520576	0.658490977465	0.645988968932	0.62574698903	0.60366987153	0.657060890861	0.55921113146	0.505120371103	0.548096732491	0.602173483554	0.529167413192	0.517961349164	0.565151167708	0.543184033822	0.630054108766	0.565536474752	0.488025242518	0.619157800663	0.705183593827	0.558656797313	0.504266553707	0.529941530866	0.531333839386	0.555520660971	0.489802455242	0.53341356528	0.552097118346	0.516388142835	0.50396192622
L.002.M1	0.625460158231	0.642551328269	0.674527294884	0	0.664319179546	0.61443040226	0.661754829739	0.654048762204	0.632878265185	0.648259034614	0.641473293502	0.647882636849	0.649811087563	0.670819723424	0.654160251066	0.644254594747	0.676412372978	0.626985078395	0.647893241864	0.663349025613	0.657720455612	0.648894021081	0.67308672775	0.647667837545	0.611268791404	0.636237513032	0.624199703776	0.634051829908	0.656561489745	0.619990570069	0.61263531232	0.677281846309	0.624185181797	0.627460468284	0.595402019799	0.632347201719	0.681312303302	0.605227990404	0.663653035767	0.668649384503	0.692543865418	0.649426479408	0.667111228695	0.656829641241	0.660060469605	0.626083861953	0.627674558807	0.628542007396	0.641463448744	0.56330761894	0.625095818803	0.594674643484	0.642334312856	0.689448663976	0.627492753535	0.603756399223	0.620066901835	0.665053998903	0.640632675747	0.592205369794	0.633004551437	0.644047982106	0.606808205788	0.628153123429	0.637350878653	0.604581376211	0.575782281006	0.675128230527	0.738617101436	0.647108077942	0.625308724245	0.625540681	0.628297260009	0.62914320397	0.668049194778	0.670494203113	0.653074081201	0.66264127226	0.676748580476	0.681593509513	0.692691567104	0.66432848754	0.660378990611	0.672374040576	0.678320516907	0.664014494561	0.670505149579	0.665751645001	0.64357273898	0.624993532973	0.63240610701	0.680883638997	0.669309235997	0.638358458114	0.654592287303	0.673718068711	0.626346308969	0.669342091192	0.609139330676	0.658057015255	0.652092154566	0.688988205826	0.63608688284	0.651376848816	0.685974201292	0.642704538017	0.650828317329	0.658090750314	0.620436629492	0.692815276661	0.633305799625	0.704646937634	0.656050904689	0.668123749005	0.640280221493	0.640172299091	0.633209292984	0.650760700197	0.662039018113	0.66946222268	0.62248912794	0.625918486233	0.658354971808	0.629006583713	0.666151586056	0.632064889698	0.566700185491	0.611100494056	0.700911555468	0.66890271868	0.635711991089	0.678929621301	0.628738905138	0.642696973786	0.624896649371	0.614996484573	0.590144173374	0.607460599751	0.68842637361	0.664634394526	0.621261194884	0.624420203544	0.59399752945	0.609350066976	0.6149431342	0.652348041924	0.65827828182	0.643016220285	0.638274418151	0.642904023858	0.662637885097	0.626875937459	0.658316830372	0.642311683672	0.639474883835	0.656638362842	0.651429312163	0.673211586848	0.617187138622	0.646087781856	0.645188187333	0.663003302937	0.639871154744	0.684397602752	0.639852245717	0.672530037508	0.642689344503	0.674553341995
CS.176	0.574983627536	0.570566385915	0.610739147388	0.664319179546	0	0.595518519795	0.61076666346	0.635103318473	0.618580392814	0.595263579491	0.620266286757	0.591179460755	0.595501468488	0.621136934878	0.594224071486	0.609026869072	0.576036252278	0.635889508149	0.644696489084	0.608270237946	0.579573075403	0.571126315167	0.706737517316	0.595748806427	0.579336913105	0.525590224925	0.652152120976	0.537984961112	0.55289101738	0.596525071637	0.591092001491	0.616182395763	0.52032531896	0.521197464821	0.575577352324	0.580833019238	0.69910548119	0.541682909639	0.646137465088	0.689550781244	0.656333489588	0.552781902517	0.616374698028	0.561879331367	0.577509430928	0.548651688859	0.5888312158	0.555828692828	0.563848325139	0.682685991432	0.601183682989	0.606336378299	0.606030589114	0.673147470738	0.573350421018	0.611275161402	0.540245943934	0.520005757187	0.523780408522	0.634671206313	0.586812613246	0.564624728469	0.585019475529	0.575585780613	0.591632482837	0.568028847991	0.631678296792	0.630561122874	0.70159387674	0.594602175166	0.536361219826	0.573408892161	0.591339198317	0.601103430602	0.62183281376	0.60258723837	0.523059636343	0.611983609394	0.612502486866	0.630998652612	0.63195659186	0.630242128252	0.623052739923	0.632737639326	0.619167366234	0.655933458158	0.624390206406	0.639011481724	0.616380511059	0.551740202188	0.569393940022	0.65500374691	0.61280732567	0.586402626764	0.578935189087	0.645265271163	0.620025202428	0.666178011488	0.59947753294	0.555432931245	0.597233423149	0.569922684816	0.598127640375	0.577222123054	0.66340510581	0.641285233645	0.590575722974	0.638397634723	0.585252300355	0.703292007021	0.567435327892	0.695384102202	0.586859535419	0.573145386181	0.544668715962	0.60109079879	0.634296666673	0.645202742068	0.550554946776	0.636535260367	0.559553122949	0.596751428157	0.591303029721	0.573760841616	0.579016808335	0.595397047232	0.605819634101	0.533966082647	0.638297364439	0.691599177451	0.505557579782	0.628075019517	0.57601795535	0.561962622688	0.605454790067	0.588988503485	0.639637939046	0.547244156585	0.70470994705	0.577497790174	0.617122875556	0.594967079581	0.546945519018	0.485874913979	0.630866248846	0.590103258723	0.592570374072	0.620960228981	0.561197858264	0.605703310503	0.590030963742	0.628477421267	0.575808057311	0.571119507646	0.578160126482	0.609777949623	0.562225618837	0.703677228806	0.594747683409	0.559038698606	0.575013517629	0.64494853825	0.648425564441	0.641585231197	0.553291172013	0.651023511989	0.613573262546	0.610697844997
CS.260	0.602448445345	0.619167719721	0.645403845119	0.61443040226	0.595518519795	0	0.655014313093	0.662337503622	0.627626275551	0.611683654621	0.647031125402	0.61822096267	0.612669196463	0.623578240713	0.619235684864	0.563475732091	0.608719837665	0.595560806112	0.555085894213	0.63743293352	0.624901095023	0.611867770007	0.611964864755	0.630204438952	0.541331243446	0.581277048076	0.642037130457	0.537946022001	0.589342618775	0.561988021649	0.563997530404	0.568762011586	0.574418924756	0.580398814682	0.506692760779	0.59841714433	0.660942984601	0.57966629134	0.642787042628	0.632727743391	0.619158937072	0.611274157219	0.548901749385	0.548223909469	0.590410870465	0.521065852647	0.526916011073	0.598202799552	0.605064471155	0.647996377368	0.532444453035	0.605256689911	0.628698243067	0.60856775813	0.551645824872	0.569378131911	0.535123902101	0.548239945256	0.536736602979	0.591001557847	0.616773933972	0.550026708248	0.590781071499	0.628770299544	0.58782757521	0.558945618197	0.544732112418	0.575453572822	0.684513790612	0.58163212013	0.550477869237	0.616544785124	0.577625314218	0.523734242707	0.600820292726	0.62530655374	0.599665726546	0.616086288636	0.64538929194	0.66529833047	0.670661796011	0.599244652998	0.63768801637	0.63923130359	0.658187643589	0.642696167134	0.646191277139	0.670945535993	0.638092401515	0.609241952201	0.597248380922	0.673730294405	0.632613634289	0.62189834586	0.610524266829	0.675427195555	0.593148022039	0.665685254847	0.60278054373	0.606537215707	0.605680199194	0.613148668724	0.601885963987	0.624252523422	0.620327298176	0.580800969068	0.607522392489	0.599867695835	0.568042260964	0.686577508391	0.645112638473	0.643648998973	0.544085411905	0.604719084126	0.609129703139	0.612180460365	0.599149247698	0.600762102634	0.57856744201	0.591648763464	0.552501895743	0.590126704134	0.609731391189	0.538342757866	0.596392235014	0.577516835934	0.571655220142	0.543640204776	0.650434920838	0.591354057865	0.565526642113	0.611692058104	0.514035351848	0.547673751741	0.531514026873	0.560016790122	0.574274137475	0.544788568389	0.616630543067	0.62237146505	0.547630770139	0.540837468473	0.557549657894	0.559218159724	0.564377548882	0.620662342198	0.618957307215	0.629487665467	0.572974953956	0.601777835082	0.633570357405	0.617085916196	0.606427072807	0.567658933388	0.596806180569	0.663574142647	0.578866318016	0.613396036904	0.603386472479	0.613325477607	0.592947726278	0.63192404025	0.651835461773	0.654895262054	0.590299476357	0.639487946026	0.63319713624	0.639427594239
CS.280	0.555306792156	0.606935313467	0.50603777246	0.661754829739	0.61076666346	0.655014313093	0	0.414922019041	0.602369784776	0.516257720939	0.615355504239	0.450813250343	0.483008122715	0.484532350295	0.624847766963	0.666284704389	0.592919050064	0.632023679109	0.736494095672	0.604360377921	0.612856101669	0.703310935782	0.780086570474	0.60535487331	0.573505975909	0.511862182587	0.664030645923	0.596999642727	0.523369742334	0.705525928084	0.677191558095	0.688477680879	0.550837177249	0.599817325163	0.686518119572	0.545480431433	0.755003291566	0.647176941288	0.719511470885	0.706029949544	0.731263231311	0.547864394752	0.712662869223	0.670300121084	0.554528129687	0.610717754627	0.686220476512	0.661849988245	0.650775460045	0.714025187124	0.66990029022	0.600981538607	0.706978549682	0.769965886015	0.661795399528	0.661719424046	0.671656590594	0.676175358319	0.646941198934	0.689051650517	0.502608708107	0.5954584561	0.564006684087	0.471419580001	0.581982559633	0.572354524775	0.693552427465	0.657471928385	0.764501041503	0.578885343142	0.585981043615	0.569785530876	0.56476078702	0.670854271249	0.669349096341	0.479918695852	0.475537430961	0.493971709438	0.435112588112	0.431215999968	0.430473498779	0.535036913122	0.579382144818	0.538502086967	0.432480062556	0.527064910679	0.469490106895	0.477265065863	0.472717562004	0.463983642174	0.482841361174	0.64935691803	0.588412205483	0.562714857254	0.518542852975	0.562769236677	0.650237232432	0.53338649497	0.586423625843	0.509548550178	0.562269529028	0.561705667993	0.671130442555	0.579906082556	0.702067763834	0.708202453792	0.506338221322	0.642061164606	0.657955214685	0.748444856084	0.570420515625	0.786993369634	0.630815593729	0.662456554884	0.555935866146	0.6061904357	0.721631983477	0.714283458227	0.634156247226	0.748025288931	0.672617721329	0.626050834909	0.682985179559	0.598456186404	0.67791615382	0.666855756448	0.664365922501	0.592938306462	0.678938612717	0.75382051263	0.526069377314	0.755422237078	0.685340921362	0.67526973762	0.712436220487	0.66472178472	0.684852840419	0.66959556546	0.753098372429	0.688645749424	0.672385334812	0.63799138223	0.618084880735	0.585169449734	0.652196854494	0.529904197644	0.471674188621	0.538112879025	0.580632245661	0.511096721741	0.468897721871	0.606599416376	0.525567264275	0.610284068336	0.585903193743	0.481259994081	0.593417274613	0.741336787612	0.549014724262	0.451949466708	0.518061260155	0.523524988416	0.522334794575	0.457050701988	0.494252711599	0.542652411111	0.455740873916	0.432423887436
CS.293	0.561318771662	0.607236222082	0.50934817467	0.654048762204	0.635103318473	0.662337503622	0.414922019041	0	0.615675295748	0.533125809606	0.602892948605	0.423479086279	0.428684348019	0.473214671798	0.620322934484	0.676793964059	0.612696154263	0.635161296503	0.748945406808	0.618316159133	0.624460315534	0.721614384278	0.781270292712	0.607700528978	0.58593486033	0.518854298936	0.678266409263	0.586392312797	0.5115108481	0.716877631038	0.695408294733	0.694388759264	0.5382606355	0.607452496855	0.694797301816	0.51053235831	0.774371641856	0.64506101373	0.733108551949	0.712689115433	0.727808032698	0.536220793655	0.721169646766	0.671477744636	0.561170218122	0.625841423718	0.68093108186	0.676662297419	0.65950388959	0.714322769915	0.688781028526	0.613538956846	0.718009291363	0.773653437685	0.673628871517	0.682515451505	0.679487215908	0.695199702888	0.668791677287	0.694041559128	0.506258439584	0.57922340812	0.556691422445	0.469524810678	0.577387289932	0.589856545125	0.701993045307	0.655709115544	0.766686868152	0.568288026932	0.583983860032	0.554736925297	0.567806528214	0.677201611514	0.645958615158	0.487158204743	0.494650094058	0.49476642773	0.439875829439	0.433549076087	0.41416843965	0.539427013969	0.596892947649	0.54751867422	0.411057622755	0.528723305923	0.499664620917	0.483336345232	0.438997170802	0.467599587981	0.48552798716	0.641063429269	0.588893865377	0.56095739727	0.525329367548	0.536482557155	0.661989743393	0.488195425846	0.588344226986	0.522016975001	0.563622011286	0.570127835084	0.687009858282	0.567237725224	0.696940396582	0.714713192133	0.47608840655	0.646468632613	0.657775802972	0.767876704263	0.539670811942	0.80655081942	0.622903166198	0.656804670511	0.565924154053	0.580270346253	0.726374004767	0.727300491064	0.620653873854	0.769823076882	0.682908745837	0.639004085708	0.692075752889	0.614117352843	0.686493231134	0.684272220861	0.674675160202	0.610690833941	0.65794602502	0.763019583743	0.552954748308	0.767773806732	0.686395614715	0.685349363366	0.709547266041	0.685388218859	0.683205465107	0.67614614559	0.761344609712	0.702300227615	0.678635297557	0.647667700023	0.644095674209	0.593834019239	0.653839013123	0.494816615392	0.443384652829	0.545003037855	0.572500652674	0.515355401241	0.455203062448	0.57076112967	0.514291197089	0.593553292295	0.544954784694	0.470982575536	0.583528621142	0.725929768672	0.525371900455	0.480008803387	0.488875936542	0.510646188628	0.480464737086	0.423653917491	0.486749807545	0.481176609709	0.439225279013	0.447455437376
CS.039	0.577164703178	0.563241945918	0.557993688081	0.632878265185	0.618580392814	0.627626275551	0.602369784776	0.615675295748	0	0.579748429296	0.543615562025	0.599443791131	0.59562630775	0.594849523993	0.533794083887	0.590499063744	0.550577020546	0.558292230488	0.698610663741	0.556281052347	0.598959908595	0.628859912319	0.713146520059	0.553343776874	0.638409430561	0.605014378352	0.557674788747	0.619067238292	0.591485173884	0.612522411956	0.629844703051	0.609054806358	0.615131780952	0.622162500569	0.627333912961	0.633268673928	0.729092615695	0.624627004369	0.637429939829	0.626306254851	0.685251946767	0.603994284766	0.682372128268	0.580193697938	0.567852318584	0.615402173002	0.635038691794	0.637743037642	0.648537695595	0.669129183683	0.638657428699	0.574808835396	0.645727980622	0.669519061732	0.638233978466	0.645972699052	0.642941447647	0.661695952784	0.652399435472	0.657567015485	0.595454365861	0.621574842555	0.599538333575	0.592861075755	0.644279826469	0.621205030656	0.660604049639	0.6409945103	0.700749128224	0.619226627582	0.60537315577	0.612457778985	0.607345938271	0.647323367962	0.621502435504	0.627449493907	0.630762198652	0.594042136424	0.630229797759	0.630471146937	0.632684972627	0.600445822715	0.565429406181	0.626538286721	0.628901771148	0.588230741831	0.631079012705	0.615779296345	0.597444555178	0.61106669121	0.595060155023	0.623566418477	0.573118372378	0.574729492828	0.545936640922	0.575941439962	0.580268951832	0.638106994416	0.565793394042	0.614766859098	0.550904459454	0.587459539968	0.564788289409	0.520356090524	0.674149947274	0.658159180735	0.611059122742	0.646600323085	0.613704255186	0.616941622305	0.560614736486	0.682717949508	0.644592894646	0.683894851719	0.548793752733	0.578200520236	0.65718331654	0.61684360098	0.64110521829	0.676243808404	0.640811572338	0.580202639425	0.637976015107	0.619642023351	0.584198058123	0.567234620691	0.652816343861	0.607426195825	0.65601482199	0.720584001545	0.601728189431	0.645642395615	0.634910507759	0.655317480719	0.673390833508	0.646281608054	0.631312073376	0.645905059742	0.68242520039	0.634074922305	0.652608863894	0.643141614314	0.638425751948	0.62705440583	0.651475737951	0.634230644324	0.621956318647	0.581321295328	0.625343315433	0.604207909807	0.634179945916	0.628742941503	0.599017938447	0.629141944146	0.603606677084	0.629196227398	0.618084024113	0.697268751079	0.589025586853	0.619441932983	0.605870405054	0.597710691319	0.609059680671	0.619399996489	0.63801201554	0.626156113001	0.616116400342	0.602065543265
L.036.M1	0.553871259768	0.587003444343	0.55720260357	0.648259034614	0.595263579491	0.611683654621	0.516257720939	0.533125809606	0.579748429296	0	0.562844029472	0.526648541393	0.487752169894	0.512543763495	0.593520600551	0.662706407422	0.594801441423	0.62476057302	0.695678125122	0.583150837722	0.595012240001	0.651500358664	0.73095299274	0.597467928265	0.576590160437	0.544531022408	0.640339965539	0.545552883099	0.541905606437	0.682005985394	0.670336764816	0.626612369036	0.524758275464	0.572094633948	0.644682723371	0.542272417082	0.769770300886	0.610392893632	0.6896690477	0.693782967234	0.72356204298	0.526742286572	0.702895557865	0.627883314343	0.583512629802	0.599266858837	0.661709771025	0.624507443707	0.634747537112	0.716895847591	0.650187835902	0.6079734458	0.670865763127	0.709493831982	0.608172623394	0.658677161535	0.652646005796	0.654519561402	0.635974230062	0.683468579879	0.503391110061	0.541173221213	0.521625733898	0.53914252299	0.584884445723	0.573303536546	0.653671322864	0.653873198598	0.714415121686	0.555299365668	0.544637912322	0.533578595959	0.562947741574	0.605829348752	0.595490119107	0.522332290592	0.542257009752	0.496294106583	0.541825663993	0.540927698451	0.515532746217	0.553145561511	0.58513067109	0.58363503391	0.505268722208	0.556002757173	0.551218697568	0.571363890131	0.49279000183	0.526718246876	0.492854289312	0.625110446501	0.595323308728	0.592475157538	0.551210330141	0.554653728581	0.637370273797	0.592929920271	0.527520530964	0.548666032605	0.564179708488	0.591114398863	0.650076096633	0.592623178049	0.691764267007	0.689253317995	0.529936852254	0.680576612386	0.619767651908	0.709684562773	0.5693136858	0.761086183601	0.579747309335	0.619454494661	0.529931829785	0.601788757332	0.698566510047	0.685156956939	0.597680352222	0.69831339071	0.644148703444	0.628409313024	0.648353361189	0.585991855504	0.642947119433	0.644088625647	0.673114271518	0.585396745433	0.636665318066	0.74044821777	0.537278333144	0.726202993109	0.649816892307	0.644839229353	0.670737910024	0.655887518241	0.633980215393	0.626736941878	0.750035629418	0.636096439851	0.638757171951	0.630707237971	0.626234527641	0.574082733446	0.629902054819	0.507172769001	0.527645259077	0.574398770253	0.569814950435	0.525206511778	0.511182683537	0.581165869308	0.507677887176	0.543943991263	0.578257582603	0.527024370154	0.551454114614	0.70615887665	0.528902186264	0.509061666858	0.540515522907	0.524567006214	0.538707107074	0.504175435656	0.547286955248	0.548375896469	0.489533765232	0.516339244908
