CS.086	L.011.M1	CS.059	CS.011	L.008.M1	CS.265	L.001.M1	CS.176	L.035.M1	CS.016	L.012.M1	CS.243	CS.313	L.004.M1	CS.199	CS.058	CS.248	CS.073	CS.186	CS.060	CS.118	CS.154	CS.269	CS.305	CS.373	CS.360	CS.149	CS.377	CS.063	CS.382	CS.236	CS.302	CS.232	CS.374	CS.213	CS.378	CS.128	CS.203	CS.380	CS.282	CS.126	CS.136	CS.376	CS.205	CS.041	CS.268	CS.348	CS.148	CS.385	CS.147	CS.214	CS.386	CS.129	CS.369	CS.178	CS.349	CS.177	CS.183	CS.182	CS.389	T.CS.046	T.CS.023	TFS.023	T.CS.040	T.CS.050	T.CS.042	T.CS.028	T.CS.029	T.CS.035	T.CS.058	T.CS.019	T.CS.089	T.CS.085	T.CS.041	T.CS.052	T.CS.112	T.CS.167	T.CS.119	T.CS.123	T.CS.125	T.CS.114	T.CS.117	T.CS.120	T.CS.124	T.CS.128	T.CS.105	T.CS.115	T.CS.108	T.CS.147	T.CS.134	L.024.M1	CS.085	CS.238	CS.110	CS.082	CS.237	CS.015	L.034.M1	CS.088	CS.103	CS.006	CS.246	CS.356	CS.242	CS.241	CS.113	CS.165	CS.346	CS.212	CS.304	CS.325	CS.189	CS.207	CS.044	CS.191	CS.330	CS.187	CS.078	CS.308.0	CS.336	CS.112	CS.361	CS.321	CS.318	CS.343	CS.331	CS.158	CS.163	CS.152	CS.227	CS.320	CS.080	CS.285	CS.202	CS.322	CS.145	CS.253	CS.390	CS.326	CS.393	CS.255	CS.270	CS.370	CS.262	T.CS.049	T.CS.043	TFS.022	T.CS.031	TFS.027	T.CS.064	T.CS.061	T.CS.036	TFS.020	T.CS.026	T.CS.045	TFS.021	T.CS.008	T.CS.055	TFS.025	T.CS.166	T.CS.095	T.CS.109	T.CS.152	T.CS.141	T.CS.151	T.CS.142	T.CS.157	T.CS.158
CS.086	0	0.563210007446	0.55592188472	0.500200874537	0.672430949951	0.521007034313	0.531194012807	0.593191294886	0.631735331355	0.568462675375	0.547780199095	0.562701143108	0.518120325161	0.54025393053	0.59395118065	0.599480312781	0.629818914881	0.620794443815	0.530713837766	0.591406625319	0.534133564501	0.767493666333	0.733490847521	0.520733743512	0.610885221027	0.651112468609	0.643019900276	0.671679674879	0.64948580495	0.60471384279	0.664294053687	0.745879994627	0.526232234492	0.668536737092	0.69236314118	0.681239134827	0.612451370461	0.569358819858	0.576354573881	0.692420589965	0.583906224696	0.604184764086	0.679198388644	0.735397539445	0.638026144543	0.665578584082	0.621399171679	0.690338994949	0.667501983125	0.692337098908	0.674023396434	0.730554647815	0.602492048767	0.730577168744	0.614101965222	0.653002263742	0.709435207391	0.740566528964	0.631877999222	0.6655109071	0.649614696595	0.761237563696	0.626323285423	0.537154642688	0.597246723272	0.528589366518	0.585665612927	0.610828705601	0.58737454941	0.57981080591	0.634433955548	0.623562156012	0.576352619798	0.5763497058	0.669269022317	0.589545573334	0.54612410497	0.53928073837	0.581295124714	0.603600699053	0.544937253354	0.551672535733	0.547079384956	0.484721348254	0.557830254658	0.556881417406	0.51226211301	0.520369757479	0.525250188381	0.568854747285	0.573220780729	0.489791946056	0.572556593248	0.617203091783	0.483290250924	0.623706958118	0.564733421101	0.572085873259	0.646213648655	0.520446429077	0.529431370815	0.519898802274	0.711377032904	0.539134219059	0.544992234328	0.566650562815	0.697527304994	0.725086208267	0.6939791403	0.699839150941	0.766271951252	0.642401556078	0.681902610638	0.559175330894	0.546986476653	0.657448286406	0.657283617294	0.599989983809	0.670037355757	0.635568285359	0.605052331695	0.676947330242	0.560804661621	0.677399204642	0.684538497174	0.587018608368	0.60062166618	0.5996781099	0.575042418937	0.775913785442	0.633973373733	0.571305582355	0.711984027569	0.666360710184	0.705854240708	0.628057286863	0.726306519486	0.678920161742	0.642829565642	0.659364944149	0.638272801601	0.691304814317	0.663156341318	0.703989776217	0.685837643336	0.602504400328	0.55020283177	0.595619608403	0.584644193861	0.565368842618	0.630447143777	0.546538874948	0.552207002545	0.746232928835	0.610269273693	0.611824007189	0.658558078573	0.58711156902	0.629187248806	0.58087018534	0.529573825749	0.523729294557	0.562682323666	0.601263513517	0.550317297442	0.622822193251	0.567767203265	0.532388376154
L.011.M1	0.563210007446	0	0.567985298779	0.546070708539	0.612889742551	0.593650348217	0.598823589839	0.562180366219	0.539630310495	0.542318693372	0.559077902818	0.556079015789	0.524862534258	0.549505748843	0.588334542052	0.614154276712	0.589828698197	0.620461485746	0.597777319598	0.617782136934	0.583633452127	0.752795423123	0.729333129585	0.515392412661	0.574852086047	0.604762932495	0.603826512611	0.639777058159	0.662447468165	0.534759188169	0.662444703589	0.706200452729	0.575735591339	0.630053133342	0.652469410487	0.663222928449	0.545348714909	0.540297958463	0.538804515019	0.644474272758	0.552947392621	0.603243593865	0.632732732812	0.661169181163	0.637035745726	0.638470373929	0.614177459155	0.671120911291	0.605058088593	0.614106937009	0.630109394047	0.674446072909	0.574481774044	0.724543786295	0.607194354674	0.601335445098	0.644660705363	0.722526637025	0.57604000829	0.6325720389	0.585745951357	0.725126607773	0.554752884328	0.526978295914	0.582756823941	0.529435432955	0.560186344172	0.620444443512	0.538041071186	0.543664498564	0.588290546616	0.564475271466	0.537018200595	0.545808257869	0.629191641126	0.500139781225	0.528474481072	0.583989905546	0.516837927653	0.548528543264	0.58979040363	0.511933525697	0.50688466224	0.550772616754	0.592873389065	0.621138785496	0.567197740942	0.558376221156	0.552287886587	0.538848551459	0.573718910253	0.573102356049	0.563951096746	0.633132630708	0.573934387941	0.633880152769	0.570821073325	0.550525132271	0.627452877839	0.570927537857	0.510871396655	0.526297869501	0.659959225341	0.527157132672	0.52334781628	0.541108043152	0.633657077325	0.72569293528	0.650224010552	0.691108709008	0.738487389569	0.649532909615	0.671851103485	0.532567879374	0.560255554707	0.621611801918	0.59020225462	0.560609834652	0.669851804418	0.58774703606	0.610672221374	0.611656071137	0.529241419778	0.611988605332	0.625288155943	0.56277706058	0.627791590479	0.619658703346	0.520725184805	0.747300513445	0.588046874319	0.582284946899	0.686614001999	0.639965119695	0.657533497019	0.534089740892	0.727447416651	0.6119968543	0.595876864274	0.638177137999	0.59308636473	0.631098987612	0.625863132464	0.620981770163	0.623438330643	0.574471415602	0.538737228948	0.565848854384	0.525852468982	0.518633824746	0.565804478862	0.605508970774	0.537390651423	0.697027832768	0.579158076987	0.564696470067	0.575889051779	0.549572459152	0.564268674148	0.522049317439	0.556760258447	0.521722690412	0.54802101018	0.57314811745	0.540374973543	0.588226520099	0.553027448413	0.510684599643
CS.059	0.55592188472	0.567985298779	0	0.539136279116	0.67672343637	0.569639553252	0.553575903601	0.591689325897	0.600092616408	0.579921858096	0.576501883546	0.563277683447	0.526235558932	0.557783458156	0.613892361716	0.593497646749	0.599641286541	0.626806333183	0.59996104157	0.613714957219	0.591630002114	0.744818863031	0.761993646321	0.532921547813	0.579125156365	0.596574287677	0.600897666462	0.645822189373	0.680645392587	0.565755426515	0.673941669486	0.703566971259	0.5284020539	0.628493573134	0.665160990297	0.689326524847	0.572651544857	0.561697409661	0.529057161288	0.685856399774	0.512427333946	0.594918465402	0.643968645144	0.69595500564	0.602267845615	0.661242580445	0.594023631552	0.665822154865	0.622994555675	0.644885668862	0.630209420931	0.692267726204	0.599875445983	0.711289355814	0.576885990475	0.608603159493	0.661872707331	0.727110530148	0.551525284306	0.619871269081	0.600509249383	0.727695609913	0.57178879204	0.519601794073	0.603643731388	0.539925469788	0.546068008333	0.601743484174	0.54088648406	0.574212321848	0.600912973257	0.572927104224	0.55242010591	0.531954905402	0.596117909297	0.577803829972	0.553255326605	0.593897619379	0.552052396754	0.558319141555	0.584683586784	0.516211868931	0.553083295998	0.54236192951	0.561521635114	0.584038316863	0.524171780146	0.553220454485	0.520976568233	0.535071646075	0.603961831598	0.530002999271	0.567384857861	0.626909409802	0.550280737438	0.629059462031	0.602466937235	0.58261036584	0.654375962989	0.566943748936	0.569877140586	0.561438881177	0.696759417007	0.521450460472	0.516263265039	0.548240726007	0.677903944048	0.748944951663	0.663053794164	0.68955169553	0.733990716923	0.643284905387	0.680835352439	0.540484183727	0.499986639117	0.624097462689	0.612065499484	0.576906943952	0.660826980607	0.579409069019	0.611985549693	0.653906274611	0.572118138828	0.639796679328	0.656033203139	0.556242656377	0.628278934588	0.64788148547	0.51168339587	0.776279207402	0.577422316515	0.575371028173	0.701856700113	0.647703533769	0.656316211251	0.569725976281	0.729270093909	0.639936114628	0.633073825766	0.654172991431	0.601398546993	0.63662039723	0.629577172251	0.639948942412	0.641903318051	0.567050171211	0.512940270048	0.526842567857	0.529047311878	0.528335765543	0.58440323999	0.557046336626	0.507874047581	0.691061615333	0.554453875112	0.568506711395	0.58162999008	0.576174634048	0.576166613791	0.541873259673	0.54658154376	0.538357512789	0.50965036615	0.59043684735	0.562676589795	0.593705313432	0.583598930259	0.514870300375
CS.011	0.500200874537	0.546070708539	0.539136279116	0	0.662914023872	0.48215985404	0.548863226436	0.590108515194	0.606375671857	0.606391709925	0.578351122676	0.581255151325	0.498286329921	0.540208212968	0.626214343807	0.586374237533	0.593919172968	0.639265614646	0.527258083652	0.610227198064	0.596884812734	0.766882262035	0.730450991187	0.527107478457	0.586153047122	0.651533125261	0.630233463983	0.629027350479	0.670677792497	0.615565043889	0.68497653622	0.720058327484	0.512767536019	0.656348249939	0.68709382968	0.691640443316	0.599719775847	0.609800747563	0.568157150496	0.683194899289	0.551796439241	0.613846851211	0.664330776277	0.709301101682	0.656082249126	0.660099216216	0.574562058113	0.698810181438	0.623579011925	0.654480367107	0.638498785118	0.6981172998	0.59792519751	0.723195333768	0.606796344443	0.631403430626	0.676150245318	0.729391799538	0.560189068913	0.617634447155	0.632602063602	0.737388186117	0.638434978949	0.512545454194	0.624941670383	0.524922705433	0.584288841492	0.604762561707	0.581338155123	0.600534169129	0.629091851477	0.605604096737	0.579926635555	0.590865144931	0.64624688434	0.586125678841	0.551666980475	0.464890410091	0.572571158321	0.574044928411	0.550108612215	0.529010497328	0.565651592111	0.513297595012	0.473015569675	0.476721637309	0.43939681199	0.486347827797	0.513763622635	0.557953073581	0.593900370948	0.497537823154	0.553860258269	0.647499247606	0.487870801714	0.621845423001	0.60777650539	0.605795452915	0.68695013742	0.528340906919	0.531946412222	0.519544057005	0.678740624747	0.51267532051	0.523652009785	0.61232417736	0.707272457809	0.717339451751	0.683931350575	0.692543419038	0.764815252075	0.620874951115	0.657569060512	0.597989240978	0.539156892259	0.627985330901	0.621356450297	0.639984032581	0.668121616784	0.623882977799	0.62859109864	0.683264820271	0.580129735735	0.668166429551	0.676628072077	0.544296547709	0.633256218797	0.614671155925	0.515182236439	0.774720643679	0.611532617781	0.600580860482	0.705459642057	0.665845233644	0.700491422979	0.594894076309	0.718093623597	0.658676437606	0.597106343243	0.670802265277	0.593199015182	0.665457467816	0.648874803486	0.678782529494	0.664511119984	0.61109389817	0.503902536921	0.585035619248	0.602873775058	0.573775637999	0.62491883231	0.512433299537	0.502898949267	0.705927490731	0.620992388486	0.63119677703	0.673578858684	0.585515803361	0.632406640785	0.521622648566	0.529191860138	0.498906861158	0.535127454115	0.632314184381	0.591755862615	0.636628893353	0.585800616306	0.5179104203
L.008.M1	0.672430949951	0.612889742551	0.67672343637	0.662914023872	0	0.700547680672	0.661160222307	0.625510658022	0.539590907713	0.632999923812	0.626198341892	0.648321071521	0.651285598096	0.653697968779	0.601260064106	0.610130257951	0.610568582527	0.665244970228	0.662020119444	0.625026736461	0.63888203573	0.694195756114	0.634756112753	0.655684888847	0.559577212024	0.577514852221	0.580786063668	0.632029432575	0.653829533965	0.591233046832	0.687543516867	0.642064406068	0.645000802593	0.602446646202	0.55984756321	0.652918958652	0.622719339351	0.650113486891	0.630723296672	0.569179921925	0.616701998963	0.604283617383	0.569605284867	0.570435984341	0.638854507251	0.639320428904	0.607634834239	0.599907759035	0.611240634702	0.554508453971	0.64014779235	0.616783456589	0.604424211844	0.666565747061	0.665741369557	0.595297912668	0.601066107341	0.650804785279	0.575817550027	0.571492100217	0.575810791802	0.726802900608	0.616351836647	0.674089049268	0.628104595911	0.65124727159	0.60826314156	0.651008534335	0.643052273781	0.649850653217	0.627182378657	0.598604663208	0.620113830865	0.625221030045	0.618923528346	0.595729547362	0.64550003259	0.681521220227	0.590185069923	0.61140635104	0.673758561708	0.64419997621	0.616400256057	0.660655696107	0.639368548402	0.708202528983	0.692687295696	0.69109827085	0.697299804623	0.6446260094	0.659590838507	0.628212181565	0.610344824463	0.605548065154	0.674547653145	0.59401932232	0.681121030704	0.622532170925	0.675500667346	0.653935625409	0.620914754852	0.633592434403	0.635371674069	0.639483916587	0.683103985407	0.651940920127	0.634355160985	0.593524030993	0.654102024645	0.673274484946	0.629268897846	0.634373660878	0.597047652578	0.626070592171	0.680380877326	0.559898138806	0.575960882783	0.634197986633	0.622409127054	0.622771025063	0.620425494282	0.626096011145	0.643374148192	0.52328665386	0.550296829783	0.616633111053	0.584721170166	0.626577765451	0.63963945218	0.674702477709	0.569047220053	0.606420742749	0.627748272678	0.666132628528	0.563477625451	0.613032148233	0.674463824301	0.57015702913	0.563734161097	0.666128488592	0.568641820512	0.609594129297	0.59602506446	0.575918761215	0.515975162519	0.649078695133	0.686739072696	0.634821376362	0.63820255084	0.627072731845	0.590886240773	0.672947650971	0.662735849057	0.641437588633	0.643629106129	0.637467875783	0.613012490204	0.638151975099	0.562940532627	0.654006511818	0.68509711587	0.671303557009	0.653931913622	0.656500318663	0.636603259274	0.617338112529	0.637566773588	0.654103500472
CS.265	0.521007034313	0.593650348217	0.569639553252	0.48215985404	0.700547680672	0	0.537396817524	0.634261381849	0.638107432943	0.63954930926	0.55460027366	0.585006749331	0.508409455416	0.522438689009	0.657844743967	0.629652034474	0.639812603859	0.682082907472	0.512949208832	0.660692661836	0.634919314434	0.797628300748	0.794144063097	0.504200249579	0.620760758102	0.647049118271	0.672303570208	0.654523302108	0.721666804386	0.634476929437	0.716739709643	0.768225495058	0.552531139558	0.685554477987	0.712957457918	0.724382770384	0.602932965594	0.590726276457	0.571146621457	0.702566775255	0.577610978374	0.656820731655	0.696822014035	0.730830094843	0.688949008475	0.670226445199	0.591512541078	0.68499099083	0.642104824938	0.696249868933	0.692197656827	0.723669420031	0.611196146214	0.741235439601	0.614564203431	0.622830151047	0.700166737802	0.746438636878	0.601330962779	0.677836900152	0.657775385127	0.775422903278	0.658014195325	0.540387714828	0.642110465277	0.496216712753	0.599202384888	0.633063547985	0.59510335776	0.595036195122	0.65815129856	0.615837381016	0.581696729422	0.593450448843	0.659388573003	0.599350704724	0.562121020537	0.462961296893	0.597009342829	0.603626028347	0.516337358297	0.542501066356	0.572775635351	0.512913397848	0.477125696231	0.496057920408	0.452338422379	0.465015550674	0.485984147646	0.57614843885	0.614122600618	0.526054929374	0.616922328671	0.641662639619	0.511741759423	0.664682796926	0.630303817112	0.584241178575	0.719109511033	0.582547438837	0.596801877806	0.535626561125	0.750851270923	0.513637299664	0.575195447001	0.66297524787	0.76185357791	0.785928617474	0.733049273036	0.728938835092	0.772974253	0.647431355514	0.694314561195	0.629788574857	0.568820669202	0.667443372266	0.643066028869	0.671682629799	0.723511667342	0.645387901467	0.663662864014	0.72426818275	0.623322019942	0.680688670659	0.702224179748	0.546744710971	0.670768326636	0.673949482664	0.541034133798	0.811513998632	0.616074551369	0.652606925928	0.750826884491	0.716098726716	0.695330817391	0.615078073845	0.753436441053	0.684745293575	0.645779981715	0.6928871714	0.623070762748	0.677284177744	0.675644809833	0.695987241037	0.693307578703	0.612122353044	0.49675472575	0.614926184529	0.607737810048	0.576030789062	0.668011649939	0.547374016214	0.51052594462	0.740288399448	0.63593972645	0.647299772177	0.684785023821	0.592035914141	0.664098977304	0.556340680986	0.483326994976	0.471312210241	0.57159594321	0.638609272265	0.574332177008	0.642196703452	0.617240491992	0.512250764839
L.001.M1	0.531194012807	0.598823589839	0.553575903601	0.548863226436	0.661160222307	0.537396817524	0	0.638548382738	0.622014933503	0.590370234133	0.57462813063	0.58905782735	0.549658390378	0.578943320931	0.615412191413	0.585410337213	0.634717963657	0.62568223859	0.547114712485	0.637066708953	0.5605505066	0.751960536939	0.757738410331	0.553805430578	0.608989206843	0.63615593542	0.634930510603	0.655524395035	0.651330699125	0.632070625781	0.648849286425	0.740557986723	0.544775225116	0.660939171832	0.693895290837	0.658037549506	0.623262286791	0.587038440064	0.568072988554	0.692350143051	0.58534919516	0.60560327603	0.670727978769	0.727744139296	0.60688189381	0.644374323124	0.61053251134	0.673505448084	0.651190721145	0.69210209431	0.683448605071	0.692876118701	0.603158351577	0.711287149179	0.590020555672	0.629254031008	0.691014450357	0.718877020999	0.613699777935	0.654817647123	0.630240472544	0.733410952923	0.639780648403	0.56147414716	0.580560747583	0.525621000989	0.614060707123	0.57744976321	0.583712964189	0.578672957034	0.61000106368	0.600029659415	0.588638817437	0.561342586612	0.620232088176	0.596315533731	0.58482676496	0.543707483595	0.586587253944	0.59899951418	0.531709743156	0.581240878617	0.602697798496	0.503938976978	0.559367097218	0.531979353323	0.540373204813	0.5508312393	0.580322115191	0.58593487352	0.618568900937	0.52084851022	0.595915393342	0.62384332867	0.532562433426	0.634837241272	0.618992973152	0.616225301061	0.689629663299	0.562166974944	0.593881515155	0.550884137829	0.711752532283	0.53354295873	0.605593563603	0.620811743212	0.713468214836	0.749291649396	0.71224633767	0.690322463637	0.738000775161	0.631833017493	0.678663242788	0.57708300089	0.546113713174	0.659470906115	0.644620792205	0.640180052221	0.667278020586	0.614914292695	0.611083808143	0.685457018756	0.586906489548	0.667758493996	0.696941969939	0.581509345828	0.601868770485	0.627655975878	0.56882468228	0.796572635457	0.619548115303	0.620862936475	0.728170850353	0.646991341443	0.692730994377	0.631978897485	0.693526335938	0.665326649783	0.624858333167	0.650368906401	0.608917291121	0.663200343147	0.663127984644	0.681622414666	0.658213717343	0.595403697364	0.561507829211	0.593661989089	0.597643568172	0.582714582268	0.632585997283	0.531063606562	0.561215806274	0.695850256277	0.604014592326	0.630617795989	0.634672491922	0.602948114375	0.645560539223	0.589199915581	0.574499206362	0.578170085755	0.566536613092	0.612368927687	0.605413279214	0.63109955491	0.592583274391	0.573155563955
CS.176	0.593191294886	0.562180366219	0.591689325897	0.590108515194	0.625510658022	0.634261381849	0.638548382738	0	0.576378627335	0.570566385915	0.630680427302	0.614740906297	0.621136934878	0.61752738807	0.552829879848	0.567328835962	0.527093897473	0.652152120976	0.654344097906	0.635889508149	0.608270237946	0.730199348467	0.700349315485	0.539659600052	0.568400266334	0.552690184212	0.581235797584	0.56882302484	0.615074778101	0.53670735028	0.646137465088	0.656333489588	0.577509430928	0.591092001491	0.626805424677	0.689550781244	0.521197464821	0.552781902517	0.580833019238	0.593846086623	0.52032531896	0.561879331367	0.575577352324	0.616374698028	0.616182395763	0.606030589114	0.564248488174	0.658042634182	0.520005757187	0.601183682989	0.563848325139	0.682685991432	0.606336378299	0.673147470738	0.596783770111	0.573350421018	0.634671206313	0.643401647924	0.548651688859	0.5888312158	0.589644667111	0.70159387674	0.591632482837	0.575585780613	0.619526469145	0.573628363549	0.537377148296	0.585381979693	0.561561766058	0.573408892161	0.62183281376	0.529235492381	0.564660161398	0.548673820235	0.601103430602	0.571788301528	0.616380511059	0.632737639326	0.577538266749	0.588158642068	0.655933458158	0.609300147779	0.560976907556	0.612121360374	0.589886495725	0.658493673336	0.612502486866	0.630998652612	0.630066475693	0.591732440333	0.666178011488	0.597233423149	0.586402626764	0.620025202428	0.569922684816	0.598127640375	0.645265271163	0.59947753294	0.65500374691	0.577222123054	0.578935189087	0.555432931245	0.66340510581	0.569393940022	0.602472060663	0.567435327892	0.62115181514	0.669637080565	0.613630779782	0.640542130718	0.743117978638	0.638397634723	0.641285233645	0.544668715962	0.590575722974	0.586535798321	0.561779195249	0.60109079879	0.645202742068	0.586859535419	0.612091406155	0.591303029721	0.554338031054	0.57601795535	0.605819634101	0.533966082647	0.595397047232	0.579016808335	0.505557579782	0.698006980674	0.573760841616	0.596751428157	0.628075019517	0.638297364439	0.605454790067	0.485874913979	0.70470994705	0.588988503485	0.594967079581	0.577497790174	0.546945519018	0.617122875556	0.547244156585	0.639637939046	0.630866248846	0.590103258723	0.590030963742	0.594747683409	0.575808057311	0.582043328559	0.562225618837	0.620960228981	0.592570374072	0.703677228806	0.578160126482	0.628477421267	0.571119507646	0.605703310503	0.561197858264	0.553291172013	0.641585231197	0.610697844997	0.575013517629	0.648425564441	0.613573262546	0.651023511989	0.64494853825	0.559038698606
L.035.M1	0.631735331355	0.539630310495	0.600092616408	0.606375671857	0.539590907713	0.638107432943	0.622014933503	0.576378627335	0	0.59179214795	0.601325057365	0.581929374652	0.582216024226	0.59670483537	0.593689198471	0.576790967689	0.557749387092	0.647608651727	0.628726623933	0.597752425452	0.607721229698	0.702399278782	0.648575603272	0.568601809144	0.520809553259	0.567608971931	0.555300571569	0.597994296044	0.641244057782	0.496280645712	0.673899166384	0.636383020495	0.600063632215	0.593809143202	0.571131686727	0.633154145091	0.587932013467	0.572457475105	0.546531355146	0.560857579334	0.510404723745	0.600963934988	0.548752156055	0.576072135376	0.643512469659	0.612691259242	0.593973063542	0.569468066911	0.585213986376	0.549221613689	0.559770905489	0.577787024799	0.524037767155	0.681239483291	0.590928139018	0.541462048113	0.574336299694	0.662331494579	0.511038899903	0.532698244769	0.547234025214	0.680106896116	0.505674706142	0.579388810139	0.573681282428	0.583755702347	0.520644166461	0.586252303228	0.53782866311	0.541459040364	0.58987247981	0.536447743976	0.560241467742	0.546016117919	0.570517852681	0.54628971737	0.556980619758	0.63077033935	0.486645623356	0.516119150247	0.610280044966	0.565206877536	0.544362304013	0.578911991055	0.584505487964	0.667637296019	0.604097722395	0.609535938753	0.622982648869	0.557919167871	0.589506106706	0.596759023444	0.588162014917	0.610614438561	0.616491867922	0.60777675923	0.643202594762	0.567385870938	0.65153760666	0.623009384857	0.571442442046	0.551793200619	0.631189994675	0.534585605991	0.612262973883	0.57628893807	0.593938983069	0.652162529939	0.581265719439	0.642574529745	0.659725418389	0.584501862987	0.59114758463	0.554509114999	0.582270117282	0.527913320837	0.54331518459	0.571600805162	0.629920675887	0.539859501102	0.617415138351	0.600222769113	0.572849722872	0.551692522509	0.515634961501	0.577557331142	0.604316796655	0.602514510603	0.548589250197	0.694307105031	0.525601691339	0.575600739272	0.644942734092	0.607639411861	0.579764027763	0.514285057356	0.667424411618	0.555756370504	0.527823828566	0.625360929384	0.538082953671	0.57453061663	0.568109262301	0.55582729737	0.540953601133	0.549411147549	0.5816382526	0.528232713024	0.560405710731	0.5161941375	0.521895303845	0.607159215806	0.572096190909	0.627964771582	0.527206866163	0.555803302502	0.531426994424	0.565775259042	0.513866071554	0.53325225904	0.616842784813	0.59013188183	0.540272998241	0.587256965681	0.562334177817	0.561165953113	0.566536905448	0.546472045246
CS.016	0.568462675375	0.542318693372	0.579921858096	0.606391709925	0.632999923812	0.63954930926	0.590370234133	0.570566385915	0.59179214795	0	0.600417371983	0.590262158071	0.599430903199	0.59899287863	0.579280332076	0.587093901916	0.582181977807	0.576462350503	0.626086233754	0.591229951306	0.535375861269	0.721375838548	0.733067990421	0.562914482185	0.609523068307	0.627251509872	0.588004452778	0.65732927946	0.598955758413	0.57493547516	0.654540626713	0.700451761572	0.577683630944	0.66210547502	0.652221308205	0.6516505002	0.578482592248	0.565320826132	0.568766112655	0.649316419356	0.586985625194	0.601637426861	0.615957443602	0.664083259894	0.61207063463	0.651666289374	0.625327046494	0.679243907277	0.637387693809	0.634296081767	0.616847506991	0.676551413397	0.594234955117	0.697259561596	0.624911332743	0.622183483795	0.657099908939	0.681871742023	0.629096181133	0.642763537698	0.610053452696	0.709305782959	0.602129450752	0.574089236373	0.568338664068	0.575303628952	0.586944152135	0.609573388928	0.555786212014	0.574172264343	0.58340748745	0.59127952881	0.580460450084	0.573954326316	0.644022309499	0.556481974242	0.583828694688	0.63963723807	0.561558512228	0.597781125204	0.600105086033	0.589041157706	0.585602518772	0.574656496063	0.635148583785	0.648245243601	0.623815170065	0.630100956536	0.622200060493	0.591045585036	0.616913611921	0.568838199264	0.548382705401	0.6262359821	0.584033411311	0.604645279337	0.572508006018	0.576682890501	0.620104322853	0.573992798115	0.526456701981	0.559643371243	0.664208183816	0.557291061649	0.57312613984	0.549478018746	0.628730640548	0.695769501325	0.658850246041	0.631828000674	0.748994957927	0.649854149065	0.666280417483	0.522170100629	0.573607992188	0.632380180759	0.618058945866	0.581097511429	0.636364435056	0.60460102406	0.584129128738	0.61930981213	0.553109976975	0.628269131963	0.637243254236	0.600627705727	0.572135317564	0.598624495691	0.568556846117	0.728673013442	0.615818567992	0.561099281106	0.6721062133	0.624776101339	0.679071130376	0.60407462197	0.719836460814	0.622966673366	0.617308767954	0.634565680118	0.614726066194	0.656417443786	0.621986977534	0.637807815075	0.645927960491	0.602350401786	0.614235348648	0.574159577417	0.564780411193	0.559554523557	0.578774242038	0.609435069697	0.601554701271	0.71010353854	0.583440196104	0.603885833483	0.595997197153	0.607918741027	0.58311191913	0.595448015492	0.622723540943	0.604866346076	0.595484950372	0.62227547601	0.610168879025	0.620612954388	0.580755380903	0.583365120751
