L.035.M1	CS.296	CS.035	L.022.M1	CS.354	CS.105	CS.243	CS.039	CS.244	CS.038	L.006.M1	L.011.M1	CS.257	CS.094	L.012.M1	CS.154	CS.171	CS.377	CS.334	CS.122	CS.153	CS.072	CS.248	CS.367	CS.305	CS.368	CS.067	CS.062	CS.360	CS.269	CS.136	CS.302	CS.125	CS.126	CS.378	CS.041	CS.203	CS.375	CS.236	CS.128	CS.292	CS.205	CS.376	CS.374	CS.232	CS.147	CS.256	CS.183	CS.254	CS.177	CS.386	CS.369	CS.372	CS.385	CS.359	CS.178	CS.268	CS.349	CS.389	CS.214	T.CS.024	T.CS.035	T.CS.076	T.CS.082	T.CS.007	T.CS.029	T.CS.012	T.CS.072	T.CS.028	T.CS.040	T.CS.042	T.CS.001	T.CS.058	T.CS.062	T.CS.089	T.CS.111	T.CS.115	T.CS.102	T.CS.121	T.CS.106	T.CS.139	T.CS.144	T.CS.120	T.CS.105	T.CS.116	T.CS.167	T.CS.092	T.CS.178	T.CS.117	T.CS.122	CS.246	CS.006	CS.241	CS.103	CS.237	CS.015	CS.110	L.034.M1	CS.088	CS.082	CS.238	L.024.M1	CS.242	CS.085	CS.087	CS.207	CS.165	CS.233	CS.346	CS.164	CS.189	CS.187	CS.308.0	CS.304	CS.330	CS.347.0	CS.228	CS.234	CS.336	CS.311	CS.321	CS.339	CS.163	CS.361	CS.080	CS.158	CS.322	CS.343	CS.318	CS.202	CS.112	CS.320	CS.194	CS.152	CS.331	CS.270	CS.326	CS.145	CS.393	CS.262	CS.255	CS.253	CS.390	CS.370	T.CS.055	T.CS.036	TFS.025	T.CS.064	T.CS.031	TFS.020	T.CS.043	T.CS.061	T.CS.026	TFS.022	T.CS.008	T.CS.066	T.CS.045	T.CS.049	TFS.021	T.CS.157	T.CS.095	T.CS.166	T.CS.141	T.CS.152	T.CS.142	T.CS.109	T.CS.158	T.CS.151
L.035.M1	0	0.581872375663	0.615538681007	0.63306993879	0.602735776699	0.574980743708	0.581929374652	0.612352628304	0.668271628151	0.599471144148	0.614606502851	0.539630310495	0.620831568095	0.624923020222	0.601325057365	0.702399278782	0.614252006967	0.597994296044	0.609612558855	0.621135797128	0.6140242059	0.567393038053	0.557749387092	0.644500781336	0.568601809144	0.538660213297	0.668959117696	0.602429546309	0.567608971931	0.648575603272	0.600963934988	0.636383020495	0.531452972867	0.510404723745	0.633154145091	0.643512469659	0.572457475105	0.518944602303	0.673899166384	0.587932013467	0.60300470821	0.576072135376	0.548752156055	0.593809143202	0.600063632215	0.549221613689	0.566503467455	0.662331494579	0.567029257795	0.574336299694	0.577787024799	0.681239483291	0.56269209447	0.585213986376	0.627162851554	0.590928139018	0.612691259242	0.541462048113	0.532698244769	0.559770905489	0.534713000113	0.53782866311	0.529311991099	0.537122528583	0.550154343995	0.586252303228	0.628070823941	0.564998710775	0.520644166461	0.579388810139	0.583755702347	0.600960786883	0.541459040364	0.528491880061	0.536447743976	0.544840768823	0.604097722395	0.603701876794	0.607088499494	0.608321634719	0.597827307396	0.591556025718	0.544362304013	0.667637296019	0.583673950622	0.556980619758	0.648211362597	0.582737759639	0.565206877536	0.542708448888	0.551793200619	0.571442442046	0.612262973883	0.623009384857	0.60777675923	0.643202594762	0.610614438561	0.567385870938	0.65153760666	0.616491867922	0.588162014917	0.589506106706	0.534585605991	0.596759023444	0.592305957334	0.59114758463	0.593938983069	0.63938341366	0.652162529939	0.689275030134	0.584501862987	0.54331518459	0.629920675887	0.642574529745	0.527913320837	0.606640016895	0.59853756868	0.604519440144	0.539859501102	0.5899539278	0.572849722872	0.576776116053	0.602514510603	0.600222769113	0.575600739272	0.604316796655	0.579764027763	0.515634961501	0.551692522509	0.607639411861	0.617415138351	0.525601691339	0.618953183649	0.548589250197	0.577557331142	0.57453061663	0.527823828566	0.514285057356	0.625360929384	0.55582729737	0.538082953671	0.667424411618	0.555756370504	0.568109262301	0.565775259042	0.607159215806	0.513866071554	0.5161941375	0.528232713024	0.572096190909	0.549411147549	0.521895303845	0.627964771582	0.5816382526	0.531426994424	0.582488480393	0.527206866163	0.540953601133	0.555803302502	0.566536905448	0.616842784813	0.53325225904	0.587256965681	0.540272998241	0.561165953113	0.59013188183	0.546472045246	0.562334177817
CS.296	0.581872375663	0	0.561763083731	0.539502062063	0.608389000871	0.508261891554	0.541833328919	0.612791928005	0.660980616532	0.599495730389	0.507838217686	0.546555122821	0.583025857484	0.628298027788	0.532258532691	0.785851778678	0.59793987859	0.675480230831	0.706622884864	0.542704698043	0.591811684903	0.486663976135	0.625723457828	0.742697170516	0.439363705799	0.49708677802	0.759424359694	0.508578702078	0.626393525877	0.742334006052	0.63308309065	0.736378614684	0.649749492039	0.51342417439	0.697974136534	0.676382344598	0.490109531602	0.60407534593	0.711227821402	0.571669052826	0.628021018702	0.673695745352	0.654750475852	0.664233327853	0.551060992625	0.670851462792	0.679528116837	0.731155268104	0.655913058927	0.682351011111	0.709236626876	0.745557608691	0.649202558137	0.648390034951	0.724814683381	0.590014667499	0.68716050226	0.632881655005	0.647574739311	0.625953205621	0.544462221336	0.514477577492	0.545004081135	0.505945075741	0.644234851259	0.618331898556	0.669180883976	0.523207461758	0.549237055321	0.467746140223	0.433836506336	0.718522520213	0.536565384633	0.497943998542	0.556255741475	0.491770847257	0.4847395554	0.50431597177	0.511268827098	0.469999194504	0.456413006329	0.476038965852	0.482106186647	0.572699797917	0.569459839185	0.47057441828	0.522107935742	0.479704867813	0.499374087684	0.443902463257	0.47684663343	0.520848834931	0.511253722515	0.560478331429	0.660838834232	0.576441196669	0.657334927487	0.560700696478	0.622391765307	0.538516492385	0.55795221932	0.514899931657	0.459691916018	0.542420985626	0.569237763831	0.679901010579	0.691957824161	0.613383390798	0.746941458633	0.736936616751	0.657159723295	0.618622723184	0.693671564447	0.696309273727	0.649369965026	0.696057907843	0.617780657358	0.65302217346	0.586429521356	0.587251839156	0.483159871838	0.605963639777	0.643872048195	0.654640162011	0.619092269764	0.654982459724	0.694833852154	0.658829828524	0.654349625736	0.646584973022	0.658603161491	0.625586021246	0.756470381823	0.490172011875	0.579024701122	0.666896359237	0.639898739843	0.541797246809	0.662499677341	0.680865386512	0.600710863075	0.74383138195	0.668885626766	0.655965044676	0.525201151606	0.543634603957	0.550133922006	0.513756468495	0.534044337931	0.459627697948	0.477488677948	0.549887856155	0.732690309398	0.440842645949	0.582311183618	0.48125218332	0.551957523352	0.641829017862	0.563486695986	0.517359640827	0.470102819312	0.453349418014	0.533918385724	0.494237131917	0.51677789434	0.441723834931	0.421449840699	0.471241125226
CS.035	0.615538681007	0.561763083731	0	0.582238105443	0.587913518686	0.524032696918	0.578563467276	0.556321908192	0.639162401986	0.590233451094	0.596188580807	0.565715333581	0.599662410074	0.627079111113	0.589905087186	0.729714112885	0.558802531106	0.640958282292	0.681266387447	0.513006254106	0.543358070289	0.521156398152	0.596739027949	0.728329646749	0.563980197238	0.561687620222	0.721897786187	0.494997005219	0.632098956719	0.732577645216	0.548350623564	0.702336543017	0.660620534074	0.556682074529	0.658141725416	0.590388477158	0.583941770649	0.58971409722	0.653546985017	0.596294021449	0.548314762985	0.713736626953	0.648086914977	0.632917191837	0.502843517644	0.662580882956	0.669685900364	0.709142104297	0.647966089055	0.683010719228	0.691879223145	0.70783091667	0.658861086245	0.640403213388	0.715514519971	0.60101961533	0.648435722599	0.63992219799	0.651865461186	0.61811548853	0.565695829622	0.582673296882	0.616429452965	0.544150030778	0.6354423078	0.583417275178	0.666413229027	0.557486775984	0.582125958732	0.539871432555	0.570140018156	0.702143996041	0.575971365562	0.531241219416	0.605596343541	0.574006835423	0.578519041869	0.588127445765	0.609961302973	0.579632667856	0.58015393348	0.596762208955	0.582059142153	0.609573125715	0.582252464498	0.565724719856	0.623787902792	0.559634156985	0.55057273778	0.554016531421	0.559874182059	0.528613002027	0.547564754737	0.526375929292	0.585570085335	0.550686334848	0.623617071732	0.601485809436	0.636671376179	0.534680830275	0.584297455783	0.594638949192	0.541929453289	0.519633458712	0.575327219738	0.66707810968	0.658605780882	0.526762898768	0.723649775409	0.670779021461	0.615780659285	0.61113925433	0.631737992469	0.62577370472	0.649046830109	0.658633818403	0.573476167053	0.638176071869	0.588463972803	0.552791627704	0.557251779465	0.631302746988	0.580431192962	0.64475803762	0.562231375134	0.59691795459	0.673325620109	0.662144283877	0.646509622995	0.608302669126	0.571048007016	0.606914122658	0.746895122853	0.552893623168	0.595323215392	0.636689088356	0.63106618925	0.595619890681	0.628711760532	0.647378385283	0.621918376958	0.704437279678	0.646956021376	0.654030340508	0.576229916307	0.567733467329	0.59190265617	0.552642297014	0.563545502311	0.542076566219	0.556418901102	0.601442370274	0.71810566686	0.558063400203	0.618030642288	0.564453403721	0.571249995377	0.645685693245	0.587422791822	0.571197358074	0.561156686757	0.548485539773	0.580254792617	0.540197982585	0.605154529572	0.566461362685	0.564063948001	0.575722877378
L.022.M1	0.63306993879	0.539502062063	0.582238105443	0	0.647676056355	0.578599836408	0.58186165057	0.633655580693	0.615611608807	0.671036881063	0.559125389185	0.570719687825	0.582425893733	0.722393982866	0.513800322848	0.804259779414	0.612049517136	0.679041839632	0.748046907958	0.574361147579	0.608700487295	0.534056927819	0.655136669639	0.766885419433	0.532793650509	0.570075595686	0.766977349485	0.569909327788	0.670208080899	0.780446714599	0.648641747406	0.760291198629	0.690580701214	0.587939422871	0.713735304579	0.684532123568	0.604826102011	0.688172906775	0.71885599733	0.636640207773	0.618668667759	0.748240360492	0.700829529742	0.688577000155	0.554591784444	0.696976847786	0.67913656023	0.771811777655	0.690353049928	0.721093439868	0.723148177573	0.764207737108	0.676445651943	0.678645479325	0.750431867268	0.626547133371	0.690232546568	0.651876250789	0.685229167628	0.68807195703	0.621528541164	0.601672535877	0.586062813629	0.60239709576	0.688971017729	0.638540287173	0.737430836138	0.550158470851	0.60326905077	0.553987808047	0.526299645861	0.723195485653	0.606329122273	0.555159940528	0.633822361895	0.579302532787	0.483348685197	0.540626682701	0.554881617974	0.472517415988	0.487110400821	0.555573567022	0.584858065576	0.492918884798	0.589800030378	0.550309557645	0.519413519614	0.496807583652	0.525883712118	0.5428431387	0.543332090276	0.58024234599	0.555422248917	0.560202633145	0.674570898263	0.615352006269	0.670212054049	0.621663090153	0.70441150144	0.529803978523	0.607724612957	0.576603520763	0.531223978351	0.545921341627	0.652901685036	0.694153850748	0.746909710111	0.585064325026	0.782604926874	0.741745716452	0.642346473615	0.660350535671	0.714779251906	0.721278591252	0.674892235412	0.720805981712	0.644908320986	0.693661829424	0.641067147071	0.669456069792	0.604784791153	0.695683468109	0.670886936581	0.727820601841	0.635383884201	0.672376220059	0.723771651951	0.698874980462	0.702097462813	0.685454346967	0.668725127664	0.630441176336	0.787955389927	0.567031284858	0.572679639356	0.687938807284	0.626651667938	0.628628794954	0.707541771943	0.702838630589	0.621926287958	0.759619425135	0.687254258769	0.68751633618	0.60146759115	0.539305326347	0.65563529375	0.578522780656	0.603459124291	0.510454899783	0.610951910913	0.656316372895	0.746609601283	0.520159734598	0.67118688274	0.525080711999	0.632050098898	0.687638673699	0.628422171633	0.578961994658	0.497500826336	0.582928573301	0.621401219994	0.566037869075	0.63838943088	0.483264886045	0.53967794552	0.569730373504
CS.354	0.602735776699	0.608389000871	0.587913518686	0.647676056355	0	0.608365644186	0.596223809674	0.569219363523	0.588295086261	0.535999705087	0.597884413093	0.591867903835	0.565613593957	0.614435371931	0.617916133039	0.699715404778	0.5933577676	0.698058844573	0.698337591981	0.548551356671	0.614301759171	0.630181833866	0.658243576409	0.689589308951	0.625942515871	0.622819906986	0.684283581475	0.571364179011	0.654289721622	0.706683938465	0.628486586621	0.700476670249	0.664188001184	0.62123519222	0.62513711069	0.622548580848	0.607500225536	0.610969599277	0.683876270398	0.613314520906	0.629601118785	0.707602223812	0.638991386262	0.647077131395	0.631419655243	0.652611312132	0.662934318616	0.700134616835	0.669869109428	0.66471286166	0.666030752446	0.693456193813	0.659154816831	0.695961784704	0.707350221522	0.648855147057	0.665886160356	0.679260123098	0.679006331474	0.639859464406	0.604015249754	0.624666947165	0.668783291666	0.600398600601	0.651127412412	0.626846615504	0.671539821675	0.643182487627	0.621496144405	0.575119400004	0.633280833727	0.671295373338	0.597723582979	0.583750443701	0.649872667167	0.577750717117	0.648270942317	0.61931554565	0.645293900801	0.654396176849	0.641009838607	0.608252255044	0.587674343695	0.671754112807	0.572235744204	0.595697270032	0.66713869692	0.638078277941	0.599475480224	0.624526919998	0.60948733681	0.575246591332	0.606679723849	0.611858978652	0.619582184048	0.576286332233	0.626442701598	0.58362326001	0.582284708394	0.633087026233	0.6091560555	0.592529057094	0.591580368853	0.607807980341	0.576796328844	0.66961302458	0.65602882404	0.601406734027	0.711348196681	0.659911372161	0.661728545689	0.65131081321	0.649094052454	0.690915092716	0.647837852972	0.652093994388	0.58812485099	0.679171549801	0.626535928981	0.578779388131	0.587273211817	0.630055469344	0.61632334387	0.610239976353	0.60837384776	0.59506746127	0.671459826888	0.669168626075	0.676523953637	0.623806567275	0.590492416385	0.632482658515	0.717935496797	0.629603395452	0.646994957412	0.649356400935	0.642005181373	0.636266092348	0.618719868104	0.609742909627	0.640455450353	0.709386524697	0.663612534486	0.671229081184	0.581757623161	0.605859224523	0.623403804608	0.568992445916	0.550190562508	0.638877662758	0.610197420244	0.635342610559	0.688903440097	0.646441656039	0.601977568725	0.616132802115	0.609126070264	0.640233668481	0.592958020235	0.540771212984	0.630133929382	0.611697497904	0.542552361799	0.622182186948	0.5746362591	0.635634150854	0.620005083104	0.580955888537
CS.105	0.574980743708	0.508261891554	0.524032696918	0.578599836408	0.608365644186	0	0.592018813966	0.59443572781	0.660747929961	0.56703168835	0.553324799768	0.534224027878	0.598153400299	0.640933164474	0.564092548566	0.744056986525	0.570012057508	0.627964011585	0.678449966988	0.526067848846	0.535379735617	0.465647050075	0.584305413308	0.735199797283	0.476665023634	0.514825318387	0.724137307621	0.497645121829	0.589880790529	0.738669579257	0.575927281996	0.697522992174	0.636985678069	0.490116273839	0.685306476767	0.577182816994	0.502218768351	0.592921740662	0.670347758728	0.570732601164	0.596703614987	0.691451383575	0.624025718539	0.658925628615	0.50900916494	0.635293174066	0.653240683498	0.723707845734	0.630670605182	0.682129503878	0.704923492992	0.719397390628	0.617045353459	0.613102536457	0.697717907411	0.586582147524	0.651441931233	0.586749475471	0.616161706884	0.617321092077	0.526587585761	0.499182908308	0.544092827634	0.499420729879	0.620176347688	0.576117954151	0.67483947551	0.491666869218	0.51820850875	0.50203898627	0.493419249066	0.686934388634	0.519275826876	0.479814774401	0.546169528393	0.525677385703	0.523262218777	0.558501781121	0.540942721476	0.547676858853	0.538945732325	0.539986129435	0.523698316869	0.592761219833	0.581843735278	0.511563173256	0.569995943659	0.524058974651	0.526640958716	0.465144244682	0.510859757177	0.525610277988	0.514188473219	0.573535730677	0.636169605997	0.602241015052	0.626505074482	0.576653810095	0.639049811819	0.531759726275	0.546996050393	0.58336312233	0.485305202248	0.521244560059	0.588447723777	0.675947052139	0.645036009709	0.576570477138	0.718970430339	0.70474167645	0.646724158574	0.61335638208	0.654049158293	0.685152762495	0.63079220255	0.661068959695	0.599303562908	0.6547065468	0.554226634873	0.583649708692	0.517106244618	0.610070344752	0.619953405293	0.655710292017	0.492381881941	0.625600572575	0.673630584812	0.642603261872	0.628471720539	0.634305858426	0.624431715348	0.579903070213	0.729525549794	0.484009601765	0.577462906023	0.630858727556	0.602860337722	0.550924740866	0.653473096151	0.65416465774	0.597702067078	0.7291730326	0.638884610596	0.609135489762	0.551335593914	0.55231373003	0.515341306909	0.503337592185	0.518366789954	0.495197674914	0.531002669371	0.54141000321	0.693399416437	0.489559145706	0.556448308545	0.521044908075	0.523688568715	0.628999962872	0.556721874214	0.556822019886	0.549570959278	0.511390589083	0.591905270276	0.499027248907	0.585881454423	0.525296035115	0.49011994429	0.533193281311
CS.243	0.581929374652	0.541833328919	0.578563467276	0.58186165057	0.596223809674	0.592018813966	0	0.592749986382	0.612123095862	0.598775112463	0.572419929248	0.556079015789	0.564420794183	0.642592223449	0.582425771294	0.739156540331	0.599719125418	0.669377125482	0.669683780638	0.555226092398	0.587568553563	0.561437537304	0.628963122684	0.690857762052	0.568317723306	0.542476105507	0.706765067235	0.546357175593	0.615104671089	0.738286013234	0.623401262137	0.694500864304	0.638273508263	0.559629640345	0.639396512931	0.646952916119	0.542912905348	0.598402562432	0.657047131932	0.571135968786	0.589538635647	0.684600143918	0.640106784552	0.615618631258	0.575352334073	0.623884766507	0.608155876526	0.708805514963	0.636380112182	0.637525537954	0.679266983973	0.705691835265	0.626871081544	0.633418741287	0.703548339388	0.59995918107	0.643254573517	0.640269245247	0.656541669856	0.637697094099	0.570495680017	0.569800998469	0.598680099447	0.543484450189	0.662485400677	0.609490570784	0.66097291454	0.590368517816	0.597076001315	0.524512812824	0.556403423225	0.661910076267	0.558487219203	0.521057529653	0.613960358618	0.538432386351	0.565749478121	0.525037989945	0.597821784188	0.558555158967	0.563618998955	0.531153210578	0.546943659499	0.629588918825	0.554997797895	0.538715604174	0.596336925731	0.552422983398	0.542647039777	0.558573786758	0.537730477847	0.522095617021	0.550783467335	0.568128744849	0.621521582348	0.554087060257	0.609932599537	0.562137819331	0.633639960517	0.601957541238	0.577905523485	0.545368199487	0.540314872793	0.575718753976	0.595735468957	0.648045938551	0.669074990381	0.575110206741	0.736078254108	0.706243647033	0.633450786381	0.612846793325	0.659578118674	0.661246949014	0.624665216098	0.686026310841	0.603578815906	0.66973490301	0.610993831413	0.585719448724	0.555620647937	0.63361613293	0.622553323219	0.624836244042	0.591199344684	0.623934423368	0.645131060686	0.627117443931	0.631064070685	0.635445566936	0.590938377984	0.585121052973	0.704945326044	0.560020345159	0.58054051612	0.643606974715	0.610180199035	0.597832289089	0.630045465375	0.648091608909	0.624620188548	0.701077909428	0.663551260461	0.633758092661	0.558398356328	0.567759968746	0.609021213907	0.555467503602	0.567615889566	0.56137414708	0.563200873711	0.604731937989	0.707118682682	0.565216914738	0.613645284648	0.542969460972	0.602442324735	0.651262869606	0.571604566549	0.556171179338	0.547799584473	0.54075512242	0.562179754789	0.550337750535	0.576540270579	0.530988553847	0.539485664655	0.549393925748
CS.039	0.612352628304	0.612791928005	0.556321908192	0.633655580693	0.569219363523	0.59443572781	0.592749986382	0	0.614891180713	0.543615562025	0.5972476572	0.57250866124	0.568218493056	0.64632900459	0.594534151908	0.701334551234	0.553343776874	0.670536651451	0.665361423369	0.548709772036	0.550577020546	0.594558398974	0.621760096887	0.68764155087	0.623989030104	0.605014378352	0.680992736035	0.561135338423	0.616047791972	0.71852832738	0.580193697938	0.685251946767	0.664345325942	0.615131780952	0.626306254851	0.609054806358	0.603994284766	0.624627004369	0.637429939829	0.622162500569	0.583116799241	0.682372128268	0.627333912961	0.629844703051	0.567852318584	0.638657428699	0.645972699052	0.68285612965	0.642941447647	0.657567015485	0.669129183683	0.669519061732	0.64476316859	0.661695952784	0.711034194348	0.640711301753	0.645727980622	0.638233978466	0.635038691794	0.648537695595	0.601643739021	0.610701704673	0.621205030656	0.607614653762	0.6409945103	0.575099058412	0.677015462655	0.625461330264	0.612912449088	0.592861075755	0.604388646728	0.664326038061	0.612457778985	0.595454365861	0.61231828074	0.602676292965	0.630229797759	0.615779296345	0.630997993713	0.632684972627	0.631103222135	0.606354424317	0.592864795123	0.631194515007	0.565429406181	0.597444555178	0.645449337871	0.612408276882	0.612741954972	0.628302682881	0.614766859098	0.545936640922	0.583624124907	0.520356090524	0.564788289409	0.575941439962	0.580268951832	0.565793394042	0.623566418477	0.587459539968	0.574729492828	0.638106994416	0.595060155023	0.550904459454	0.573118372378	0.658159180735	0.638558413576	0.569328875012	0.690446463757	0.616941622305	0.646600323085	0.618437679613	0.61684360098	0.667549124593	0.633660265946	0.65718331654	0.544364133157	0.664406886692	0.644592894646	0.566757634562	0.605310753059	0.656399799504	0.584198058123	0.637976015107	0.580202639425	0.567234620691	0.673390833508	0.652816343861	0.634910507759	0.65601482199	0.541305870032	0.619642023351	0.720584001545	0.601728189431	0.607426195825	0.652608863894	0.643141614314	0.62705440583	0.634074922305	0.631312073376	0.638425751948	0.68242520039	0.646281608054	0.645905059742	0.604207909807	0.581321295328	0.625343315433	0.582522673955	0.589025586853	0.621956318647	0.634230644324	0.618084024113	0.697268751079	0.634179945916	0.629141944146	0.629196227398	0.603606677084	0.651475737951	0.628742941503	0.597710691319	0.619399996489	0.63801201554	0.609059680671	0.605870405054	0.626156113001	0.602065543265	0.619441932983	0.616116400342
CS.244	0.668271628151	0.660980616532	0.639162401986	0.615611608807	0.588295086261	0.660747929961	0.612123095862	0.614891180713	0	0.626139845748	0.638470074848	0.651006531194	0.556146552928	0.711752090418	0.671609258651	0.743607189449	0.587329032759	0.729635994458	0.735554898108	0.566122733166	0.617387742588	0.666721233507	0.690122283076	0.736711948674	0.671627284253	0.681302218685	0.720701626366	0.638225973912	0.716165194352	0.766752195111	0.663828655128	0.769219025338	0.738808595499	0.69899188571	0.648783586055	0.676026025416	0.687010583772	0.694202310372	0.715727968228	0.697668670977	0.673513343789	0.781858657961	0.730426513043	0.706308103449	0.635186776856	0.7161954895	0.700802910591	0.740894557574	0.723772798833	0.720382737715	0.707281266066	0.73956133813	0.724484239374	0.721829827605	0.742606319994	0.67785430545	0.683021974465	0.712982009257	0.718952928286	0.717829569437	0.679806857845	0.674310322338	0.693198196783	0.666681018739	0.720051693323	0.630470138635	0.736841779586	0.668791661138	0.685417832403	0.638127667602	0.653052491612	0.714582650379	0.644971360638	0.628082012085	0.71351095626	0.635313278671	0.662041434167	0.648670259712	0.698633826409	0.671490585392	0.662649470391	0.65069764491	0.654278397102	0.627045035945	0.575055086442	0.628479836997	0.646814176154	0.64586280302	0.643536723141	0.672740608617	0.642865836815	0.607812825098	0.651360588902	0.629868790159	0.659267462666	0.642101809161	0.650505874128	0.637973158821	0.673104869942	0.626062214953	0.636586261455	0.635049522471	0.629301778608	0.589427671337	0.621725419759	0.688757740756	0.723705583865	0.588450913274	0.753475198568	0.63842639295	0.673960864776	0.695124842606	0.689052075909	0.718195770906	0.700608288622	0.708314816784	0.623968486774	0.709616224244	0.698844525911	0.677193505464	0.6530885924	0.729409499014	0.632986766853	0.712998997996	0.643272447345	0.640622462094	0.754203643787	0.741896045152	0.74412855931	0.703267984535	0.636912278068	0.691561494273	0.784903119674	0.680946605348	0.673891681017	0.711238916043	0.685607547811	0.720374387816	0.679401476596	0.710914767394	0.699021059071	0.727559821824	0.714337069713	0.713252116588	0.635948299579	0.59085847062	0.729295571418	0.641488116169	0.642451969519	0.680982054281	0.691851219051	0.710142472591	0.740755688525	0.67564328206	0.717122485385	0.649346456054	0.673817570494	0.719447921783	0.682997019056	0.618865765505	0.650844019576	0.689413597157	0.642195837822	0.664244575604	0.682813836676	0.658022698504	0.663050564446	0.644225361824
CS.038	0.599471144148	0.599495730389	0.590233451094	0.671036881063	0.535999705087	0.56703168835	0.598775112463	0.543615562025	0.626139845748	0	0.603504469028	0.57100520446	0.583333628064	0.572543264032	0.619240584233	0.722167874037	0.582368666199	0.701256403874	0.681295436663	0.561305425847	0.599147489855	0.616477609396	0.661030143115	0.700298394329	0.619556093258	0.628081283172	0.685931146157	0.5512601732	0.643901864536	0.716077794656	0.635921181515	0.699804608311	0.664624441451	0.604022038325	0.649792805929	0.621293085833	0.559526837153	0.58717103376	0.692224244828	0.623604274623	0.647880252351	0.71307370828	0.644378016819	0.667886428206	0.627277032589	0.648355647868	0.677616082149	0.716447156377	0.69045877889	0.670968508571	0.689683689632	0.718540965444	0.684632899832	0.69073406795	0.709503628504	0.652036692453	0.691776302697	0.6830024052	0.665969866199	0.641379084465	0.610568839143	0.588533657448	0.679331070204	0.577656504225	0.653778122253	0.642228007355	0.657734112785	0.635790581538	0.600283210266	0.599811477934	0.625746895385	0.682741881283	0.589121244743	0.587341446789	0.636273544825	0.58148529019	0.649672312791	0.623185497546	0.637363711287	0.656973071	0.644210649172	0.58459702762	0.590384698921	0.698724308281	0.572150389543	0.600391110286	0.664569361701	0.644061935739	0.59834186147	0.628943884537	0.60129251927	0.552378418456	0.577303333726	0.608201808958	0.642717331999	0.554297736683	0.633353692525	0.587356132069	0.553756264671	0.64229029331	0.563787294469	0.610899385332	0.601892678024	0.62554840771	0.513678521256	0.668944361581	0.615518630285	0.623120865059	0.696506411851	0.655759885956	0.669250898525	0.662765689562	0.636834536981	0.683970796742	0.640644415264	0.656951753789	0.604136200704	0.675679908478	0.632417766667	0.56414662081	0.551536066465	0.602455719329	0.610836862277	0.622936140405	0.59265040114	0.620506773932	0.684369578176	0.682554257443	0.672898123743	0.60910517548	0.602645670735	0.643631490777	0.7254713469	0.636923642873	0.675882631422	0.683841832175	0.672465608123	0.625390690353	0.633525566314	0.64291908768	0.671428931235	0.718015823226	0.678276907978	0.658407476175	0.609807009013	0.643356068203	0.600082309319	0.577889420402	0.577076064037	0.636949472211	0.594358706501	0.581749985932	0.706325063604	0.64229982795	0.578118425602	0.62869902613	0.595695275287	0.648635331824	0.611459476627	0.550469752086	0.634895553445	0.628072452648	0.566086657375	0.609227033845	0.564196286073	0.635168121496	0.619464719541	0.579503387823
