CS.219	CS.007	CS.011	CS.314	CS.019	CS.094	CS.098	CS.244	CS.084	CS.245	CS.105	CS.260	CS.043	CS.039	L.011.M1	CS.040	CS.327	CS.073	CS.368	CS.366	CS.290	CS.066	CS.186	CS.371.1	CS.137	CS.171	CS.122	CS.050	CS.365	CS.072	CS.126	CS.376	CS.378	CS.232	CS.224	CS.041	CS.205	CS.282	CS.128	CS.375	CS.292	CS.136	CS.302	CS.380	CS.125	CS.148	CS.254	CS.268	CS.182	CS.129	CS.389	CS.348	CS.181	CS.323	CS.166	CS.395	CS.178	CS.386	CS.177	CS.385	T.CS.071	T.CS.072	T.CS.048	T.CS.022	TFS.024	T.CS.067	T.CS.057	T.CS.014	T.CS.076	T.CS.001	T.CS.028	T.CS.052	T.CS.041	T.CS.019	T.CS.082	T.CS.108	T.CS.110	T.CS.129	T.CS.167	T.CS.178	T.CS.126	T.CS.124	T.CS.125	T.CS.180	T.CS.139	T.CS.177	T.CS.107	T.CS.106	T.CS.104	T.CS.160	CS.015	CS.246	L.024.M1	CS.085	CS.103	CS.087	CS.241	L.034.M1	CS.082	CS.088	CS.110	CS.242	CS.237	CS.356	CS.006	CS.228	CS.189	CS.325	CS.304	CS.358	CS.164	CS.364	CS.165	CS.233	CS.212	CS.150	CS.187	CS.330	CS.387	CS.347.0	CS.202	CS.223	CS.321	CS.343	CS.339	CS.319	CS.152	CS.194	CS.361	CS.163	CS.158	CS.331	CS.320	CS.080	CS.318	CS.270	CS.262	CS.145	CS.326	CS.370	CS.390	CS.255	CS.393	CS.253	T.CS.043	T.CS.008	T.CS.045	TFS.022	T.CS.066	T.CS.026	T.CS.055	TFS.020	TFS.027	T.CS.049	TFS.025	T.CS.031	T.CS.061	TFS.021	T.CS.036	T.CS.166	T.CS.095	T.CS.151	T.CS.142	T.CS.109	T.CS.158	T.CS.141	T.CS.152	T.CS.157
CS.219	0	0.598515612189	0.506867320432	0.607185744794	0.568366685883	0.687655590406	0.566098170814	0.626188668091	0.501469813231	0.637421050173	0.533147138354	0.579155495257	0.569304883275	0.590160206682	0.560348994643	0.558521796164	0.627878953196	0.58788328088	0.558436616024	0.692709225902	0.641006508093	0.624713640547	0.569623022253	0.659178374941	0.595450355335	0.562802766245	0.548753598766	0.623971707884	0.581981827132	0.541700059543	0.576580410319	0.61118113097	0.642110034375	0.504795962751	0.729581726163	0.585756591755	0.671184056966	0.639777386895	0.580040693217	0.626097529577	0.538166960613	0.560109589017	0.669255979053	0.588531080315	0.629300096612	0.678975536651	0.588164456462	0.62089546094	0.550047791073	0.603375731887	0.583278020024	0.547531330759	0.605751111126	0.58617873367	0.633361408376	0.580047655381	0.598374728101	0.686526898145	0.657075952023	0.574548842647	0.621513505603	0.563151435642	0.601321393732	0.608761770554	0.603550506799	0.604649534771	0.690889648916	0.564456678657	0.546261817268	0.67060279608	0.606331817232	0.606260449244	0.586566316737	0.608107337315	0.609087032537	0.603716864409	0.576842703735	0.580051611491	0.615691841864	0.552122433794	0.568449108598	0.554965328389	0.609170110733	0.548370988932	0.617764976604	0.585506451913	0.602828629093	0.624444084575	0.592148711288	0.595433305392	0.635943629438	0.55669897662	0.655532240541	0.506189469937	0.558830578107	0.624642704299	0.574479069201	0.617495768773	0.513315482969	0.699967302814	0.58973508173	0.557231397878	0.578137668138	0.679573870861	0.582438685312	0.565944772857	0.599871321995	0.749486685812	0.667264504023	0.719959204884	0.659258368529	0.668005242164	0.671066856785	0.550751897113	0.680731290936	0.551838510233	0.592927627634	0.620881477055	0.618092818983	0.621291882674	0.678263972609	0.611961911708	0.600853030948	0.66278457086	0.656570412381	0.622861056716	0.562060484546	0.733679660073	0.64703343959	0.567802421553	0.567411934843	0.525204537357	0.601447220875	0.565847609479	0.616493049477	0.619741865047	0.639298637839	0.595709683547	0.58739124702	0.613598554987	0.609548738056	0.575352590903	0.629851934776	0.676155512594	0.634055157073	0.667127010326	0.630449172428	0.591350291833	0.623182806034	0.677608949745	0.618164385362	0.587952878262	0.642767336988	0.652626236112	0.640178387137	0.621363692134	0.645153645836	0.6572709713	0.547731108922	0.593603403003	0.62431122188	0.655555675514	0.694860168978	0.606239335417	0.576041876682	0.680276534096	0.581891073931	0.619989546161
CS.007	0.598515612189	0	0.554071951128	0.561162652001	0.498418440397	0.626752386627	0.525836985769	0.676538342872	0.584589115042	0.553358586359	0.504734815642	0.632378520822	0.560953257977	0.589929510699	0.509178325761	0.541861068312	0.590257031334	0.655085722067	0.500141754471	0.717429887289	0.642970004018	0.580093075487	0.593895056419	0.569618229123	0.507892436905	0.588028920439	0.536542933147	0.676748196493	0.534626228561	0.500320648175	0.501016001939	0.640608598568	0.690087169011	0.542848365897	0.741322953341	0.648220091819	0.684155510239	0.655647334921	0.55587296215	0.588339421429	0.571505744732	0.60652465219	0.721672300385	0.514745281083	0.625691803084	0.672312285008	0.626027096836	0.649469552683	0.573350389788	0.605629544268	0.616439585113	0.604309544858	0.616703352446	0.60792283562	0.651137000249	0.629420350086	0.578600881523	0.680693140355	0.653545177325	0.636710964559	0.535044783284	0.537081192743	0.559738103762	0.564141643939	0.543555393939	0.535036116213	0.69539867031	0.598189149192	0.576619947382	0.711572219453	0.525218118277	0.644135499592	0.534255546664	0.613700208564	0.519585102544	0.527329880567	0.538836359997	0.549124707696	0.504703385109	0.501285491337	0.492835281628	0.55307109381	0.53424419874	0.584563107625	0.541060138403	0.525188636511	0.495956221144	0.510106452662	0.527435899928	0.542253032528	0.563218278814	0.519934664006	0.551785743977	0.574315222843	0.568888894381	0.607073102699	0.479225241861	0.577121229512	0.577314292953	0.655171746864	0.638289162782	0.524773465153	0.637114946742	0.69781230106	0.529429559267	0.631948665782	0.662025310487	0.756428420335	0.694594623546	0.750225351122	0.746374988466	0.714629570505	0.667780908135	0.601839793763	0.631459072787	0.582973035218	0.599024650938	0.632176840549	0.561112783748	0.684616450047	0.612385010568	0.620231805536	0.51596391915	0.635200399663	0.62510765387	0.638477794599	0.518820171209	0.723213718306	0.643073301446	0.650674663718	0.643007438184	0.561050387833	0.563914795289	0.608558425232	0.638356846166	0.636336881561	0.639897190363	0.532828653831	0.628710488623	0.624850082562	0.611215817885	0.60910202022	0.665015575722	0.748459047354	0.549707025935	0.571738839604	0.566168931349	0.509995842719	0.508808691294	0.724973671837	0.538931397269	0.513313530423	0.515248724403	0.65162898048	0.553650773511	0.526599032163	0.54883920245	0.557862880099	0.591500324277	0.499328627579	0.537464600821	0.505378809821	0.57166113499	0.506477729019	0.508980346719	0.55485441433	0.516844761327	0.561155426072
CS.011	0.506867320432	0.554071951128	0	0.587279282205	0.56322911808	0.682962148776	0.514741043181	0.640379083952	0.520496055335	0.615025347905	0.531404742647	0.625516207074	0.591195170371	0.591652414565	0.546070708539	0.576795956458	0.620139813958	0.639265614646	0.533863774078	0.725116653056	0.6808713116	0.622193950365	0.527258083652	0.654895468767	0.567587967467	0.589637145245	0.552070684089	0.659059493241	0.581274788747	0.47938888061	0.551796439241	0.664330776277	0.691640443316	0.512767536019	0.759118151709	0.656082249126	0.709301101682	0.683194899289	0.599719775847	0.651903447445	0.581317207233	0.613846851211	0.720058327484	0.568157150496	0.643549187448	0.698810181438	0.640653005339	0.660099216216	0.560189068913	0.59792519751	0.617634447155	0.574562058113	0.6191815696	0.621514487474	0.680903363471	0.610973070636	0.606796344443	0.6981172998	0.676150245318	0.623579011925	0.574616819711	0.520937076578	0.58140897084	0.626235210188	0.624502454854	0.589404191649	0.714582045012	0.565412622899	0.550092409035	0.722409314121	0.584288841492	0.64624688434	0.590865144931	0.629091851477	0.570808866495	0.486347827797	0.507824255505	0.516235628929	0.551666980475	0.465552577939	0.496163467155	0.513297595012	0.574044928411	0.548367861618	0.4975542511	0.501589197871	0.511532005937	0.504862317299	0.495386331619	0.485753878115	0.60777650539	0.519544057005	0.593900370948	0.497537823154	0.528340906919	0.619830949099	0.523652009785	0.605795452915	0.487870801714	0.68695013742	0.647499247606	0.51267532051	0.621845423001	0.678740624747	0.531946412222	0.612584183231	0.620874951115	0.764815252075	0.692543419038	0.774590513903	0.702359278619	0.718243937463	0.707272457809	0.547591360575	0.683931350575	0.564487808778	0.621356450297	0.627985330901	0.622020006227	0.690364440038	0.665845233644	0.635614117457	0.580129735735	0.676628072077	0.671838510562	0.658732886551	0.515182236439	0.755786391839	0.683264820271	0.614671155925	0.633256218797	0.544296547709	0.611532617781	0.600580860482	0.668166429551	0.665457467816	0.678782529494	0.594894076309	0.597106343243	0.648874803486	0.658676437606	0.593199015182	0.670802265277	0.718093623597	0.61109389817	0.673578858684	0.620992388486	0.503902536921	0.515961126232	0.705927490731	0.585515803361	0.502898949267	0.602873775058	0.664511119984	0.632406640785	0.585035619248	0.62491883231	0.63119677703	0.512433299537	0.521622648566	0.529191860138	0.591755862615	0.636628893353	0.498906861158	0.5179104203	0.632314184381	0.535127454115	0.585800616306
CS.314	0.607185744794	0.561162652001	0.587279282205	0	0.545893280671	0.617683027715	0.606904110108	0.62123674654	0.581304971664	0.560058343653	0.574902215852	0.621467461279	0.611265549704	0.569887821662	0.565860756309	0.60605424408	0.590471161523	0.620734837761	0.538693783659	0.688121207012	0.631925926667	0.573154332046	0.569946796846	0.555601699816	0.605654549098	0.591560776131	0.554727572552	0.601844552928	0.554327281164	0.541915434784	0.554591531005	0.633718042181	0.626201996876	0.55514859549	0.720701382528	0.641494597214	0.665795432557	0.645107078805	0.588792790253	0.568050308397	0.591654630023	0.583686613651	0.662873105514	0.582521173452	0.613337360599	0.653356853698	0.626394732059	0.640877427579	0.592994645394	0.563237873154	0.610583756793	0.610878557907	0.612065678124	0.615667082771	0.656317935652	0.619846227271	0.57454829993	0.648238221193	0.636605459717	0.630291931837	0.586777621868	0.594343955332	0.552115660133	0.558939343651	0.568195864347	0.528595063844	0.647083470803	0.592843952077	0.60518171646	0.671852421291	0.552277410461	0.629648360665	0.550497331581	0.570259111666	0.548680784347	0.573071797374	0.5735541996	0.582523526819	0.505579765123	0.555612965864	0.542102826514	0.51598730573	0.52413084917	0.56823281834	0.567389579829	0.569395543229	0.533219350453	0.563808897768	0.55097153799	0.595005376078	0.595372024662	0.534885265753	0.544194161214	0.564638660016	0.57313235003	0.566283790472	0.58965606987	0.570348251698	0.571319209684	0.621227181159	0.595689072747	0.530580164831	0.601096511227	0.63701818393	0.49476381967	0.57873818477	0.581440045004	0.718934839532	0.644901729509	0.703275287848	0.664590549424	0.657879402214	0.640185738968	0.584581055366	0.606661252236	0.545470134539	0.579775968425	0.604306702218	0.555207582997	0.650665829769	0.591112413172	0.619280095101	0.554811484942	0.615336804554	0.614669966809	0.637127556	0.561517434295	0.695642164886	0.611685406034	0.587257205207	0.607290822333	0.596478983311	0.561835862518	0.574982078327	0.620288726844	0.62542987032	0.620363364231	0.569179052098	0.589791329866	0.630574308745	0.625777316768	0.601557925204	0.644788319363	0.686054614076	0.568254163581	0.573905113431	0.559869049636	0.574506630715	0.556066961609	0.671648434815	0.546292492734	0.564804727884	0.557823182755	0.611101546205	0.573794902691	0.553624439975	0.564382038187	0.566145110109	0.552491121539	0.537956304859	0.563536964973	0.534267276306	0.555687328656	0.546089739425	0.541997257656	0.542189050835	0.537405855817	0.515459556879
CS.019	0.568366685883	0.498418440397	0.56322911808	0.545893280671	0	0.571437801943	0.559861319536	0.644208943775	0.568147653274	0.553323231414	0.500541451318	0.616917280882	0.579596197392	0.551769336475	0.52124804406	0.551311849348	0.583913002448	0.606666240414	0.51978208017	0.688963451222	0.627459528719	0.558534081626	0.600151201387	0.579726186264	0.53555878418	0.56647537969	0.517875891762	0.636654158175	0.496371435279	0.521385396412	0.538408620813	0.622621867051	0.671629680456	0.560698537932	0.73758629409	0.606276820194	0.681576136246	0.659407357316	0.558340495228	0.568930223115	0.577216785506	0.593889143253	0.694883075206	0.527708415614	0.624229417227	0.675402041392	0.63453710431	0.642516200606	0.594311639273	0.594786419393	0.634979612204	0.627606690368	0.624051116915	0.625662808847	0.663900503698	0.617049616236	0.574115143506	0.682898422096	0.653075747613	0.626410265064	0.549390740996	0.549094819064	0.539388317568	0.558417121402	0.536689767673	0.537229722873	0.66924377231	0.577940489816	0.584742396504	0.694032642024	0.529273300074	0.629404834902	0.530793462502	0.598184648613	0.510460623232	0.57724245157	0.574721503328	0.557452258358	0.521297059273	0.544691516042	0.517248052854	0.554158797891	0.549822310211	0.566206515499	0.564365644713	0.553229267448	0.501360102114	0.56564371654	0.548548899835	0.567579196665	0.565751176174	0.522954754439	0.554797162494	0.558069176768	0.554936010678	0.559447018864	0.525681999336	0.554810679572	0.575465845119	0.595124258312	0.611709229843	0.525409849156	0.610598092493	0.674343880596	0.508015395131	0.584657824865	0.650595563934	0.754415501955	0.693175758139	0.719658590327	0.676772006514	0.683467064523	0.645277775626	0.605667621201	0.658874722395	0.601172465132	0.592258225875	0.620035463104	0.570236563719	0.651213589952	0.635216317998	0.633202927314	0.511112159713	0.616485712307	0.621211009051	0.633340175294	0.533061041115	0.727121730672	0.624075885426	0.583149953933	0.606547228358	0.58850458855	0.587708777339	0.554890016642	0.635396963168	0.65177387175	0.651505965019	0.526043946432	0.63348189029	0.616667846911	0.632897313542	0.601993637432	0.651328826263	0.732808055917	0.538948386397	0.575007550343	0.544950546548	0.540747971458	0.538799573187	0.696156450474	0.545340708308	0.541295583131	0.516024132792	0.63208914031	0.550633117515	0.532485887945	0.565681226364	0.57583481917	0.558785927662	0.526337861131	0.570124114215	0.528183227511	0.570157730529	0.550048047669	0.520318784681	0.562244927263	0.53395252758	0.550767853938
CS.094	0.687655590406	0.626752386627	0.682962148776	0.617683027715	0.571437801943	0	0.679319553287	0.711752090418	0.713074316573	0.585986972839	0.640933164474	0.649368150503	0.649743118028	0.64632900459	0.59412025657	0.65266131177	0.613075555093	0.637395705995	0.640955082477	0.663054804889	0.645106224154	0.617433383899	0.706304840412	0.58858538655	0.630772940692	0.652398318375	0.63752499685	0.67966699463	0.594952983723	0.654763249183	0.624827092384	0.647691686767	0.69208915245	0.689577563285	0.73637959405	0.638433081308	0.669008277823	0.663474742632	0.633698024605	0.595992968479	0.673059660911	0.65153170828	0.699710243012	0.66126224301	0.648964509812	0.702379009569	0.686141530124	0.71641370938	0.678495197925	0.685528505866	0.674622301236	0.701689954593	0.681304633077	0.697057002491	0.731190675862	0.705809655263	0.664086434671	0.726171971366	0.686435250392	0.697260427558	0.649272692233	0.669167487946	0.612925783979	0.629791178421	0.604224812135	0.606749048783	0.665411299982	0.639381085153	0.688869539538	0.684722984749	0.648143809099	0.662665623546	0.623249707471	0.629053675561	0.617892709005	0.68536978773	0.667382928312	0.657120561547	0.617367517955	0.681494150631	0.633998594793	0.687576961431	0.595795650509	0.681874056747	0.665071916074	0.675749082542	0.61824946564	0.682319993306	0.646604433767	0.701020208377	0.576589014999	0.643910919064	0.631671604632	0.685929345243	0.659233127527	0.56576734959	0.645541331247	0.607325158115	0.69960818966	0.587847016746	0.67683794803	0.629743226837	0.674535363916	0.649004495617	0.570330486981	0.667734080046	0.698393515296	0.730746562032	0.681989381408	0.736783144101	0.714726950838	0.69130859948	0.614661764613	0.709214911758	0.653539291721	0.672348530642	0.643371085053	0.649541074735	0.606141945158	0.656294072996	0.638949107739	0.663495170553	0.58887942626	0.655395277987	0.615543505847	0.659633366241	0.636079613252	0.721033248542	0.612454054987	0.64160218117	0.635653213233	0.689297789226	0.658581777757	0.613716720355	0.65970920425	0.695670079916	0.659390828302	0.625220480496	0.665707245144	0.685389182679	0.676394105583	0.678336651516	0.655252835271	0.751593280515	0.582827238956	0.578654240333	0.635268999012	0.648879072203	0.652355070831	0.716127494452	0.592966014364	0.636758792643	0.620624999644	0.652498203789	0.600089091675	0.619603388946	0.611465784927	0.635541679384	0.684992710962	0.606541579052	0.670370107836	0.606211123892	0.560233191292	0.654593435604	0.630089968742	0.593560855512	0.606083491743	0.604560852798
CS.098	0.566098170814	0.525836985769	0.514741043181	0.606904110108	0.559861319536	0.679319553287	0	0.650427476228	0.520880460563	0.585354993512	0.502284634083	0.64232195859	0.596343959428	0.580104113334	0.554173223137	0.563602243522	0.593375856284	0.651338893221	0.566686989424	0.739038899252	0.690122629769	0.592800725429	0.562953901797	0.639545959036	0.557082448116	0.597213225069	0.532212464561	0.672337452782	0.575216556397	0.516151634968	0.55428340257	0.68774603669	0.729605400163	0.535049733571	0.782481103133	0.642084985517	0.734275780706	0.713393169076	0.612406692772	0.654281375279	0.582706999288	0.632040770438	0.760588688774	0.528149337649	0.697754328397	0.707824898587	0.672919000575	0.699111730981	0.60339492013	0.6090026056	0.665461920099	0.594419956199	0.65083577459	0.656699719792	0.692169160514	0.647579101368	0.603463154071	0.731274548492	0.701027179807	0.656857172632	0.5620350076	0.529871405662	0.565889114002	0.613419300826	0.583981003614	0.576099565865	0.729095436222	0.565576416164	0.590612823622	0.709465149108	0.576549848795	0.654363089068	0.577681422124	0.655464745721	0.581242881547	0.472817403564	0.49599523561	0.509830767146	0.542828708942	0.496182901395	0.550097049056	0.518252321423	0.570551455402	0.580565225222	0.521486393101	0.511680463601	0.53317883157	0.502899919077	0.506074756744	0.490457946649	0.570692043632	0.562926540251	0.605835666976	0.534482434208	0.524155403145	0.644395115834	0.476239139471	0.605206742726	0.550209112066	0.660356511613	0.655212714049	0.518566531259	0.671944341796	0.724575936055	0.575952781726	0.640530038882	0.652196206031	0.772080796377	0.721256120125	0.78703808193	0.750436946818	0.762815809106	0.710154169005	0.543982491247	0.701792140901	0.599272425443	0.652627973861	0.674630702152	0.63081288989	0.698443672345	0.694606934042	0.67484754918	0.57436105276	0.699677469387	0.689343883326	0.684143961202	0.532352734367	0.768949100578	0.706679484822	0.676045422133	0.665600787704	0.576751088079	0.60851567208	0.597440707781	0.687776215423	0.67101558754	0.665655415963	0.611253501839	0.65022129682	0.65076134323	0.663431830261	0.610067092413	0.679446276804	0.756540727757	0.582344458927	0.629418902764	0.599633839588	0.516285433209	0.533172212163	0.734120867344	0.555733816695	0.498681432676	0.563592837153	0.678423929681	0.632970250778	0.552503176518	0.638972155219	0.597391584078	0.548872449824	0.582637860574	0.496486578723	0.556268204784	0.603048300777	0.521757162059	0.532273513359	0.582476181342	0.554513081022	0.582519315432
CS.244	0.626188668091	0.676538342872	0.640379083952	0.62123674654	0.644208943775	0.711752090418	0.650427476228	0	0.602531813381	0.650937975154	0.660747929961	0.694268911221	0.671252977628	0.614891180713	0.651006531194	0.635888495599	0.611173884894	0.614588161757	0.681302218685	0.75654286177	0.74385969547	0.587028358657	0.603200853645	0.699105996641	0.728308350644	0.587329032759	0.566122733166	0.596279612912	0.661756478343	0.666721233507	0.69899188571	0.730426513043	0.648783586055	0.635186776856	0.772240088393	0.676026025416	0.781858657961	0.759624060601	0.697668670977	0.694202310372	0.673513343789	0.663828655128	0.769219025338	0.69780066151	0.738808595499	0.702634830703	0.723772798833	0.683021974465	0.710325323932	0.621132156758	0.718952928286	0.721244499093	0.708583019877	0.749643312717	0.735963649771	0.700022428467	0.67785430545	0.707281266066	0.720382737715	0.721829827605	0.693333562117	0.668791661138	0.644789950892	0.68453689143	0.712780083884	0.664241744117	0.75498523411	0.662224120215	0.693198196783	0.714582650379	0.685417832403	0.731396270345	0.647965060673	0.650860797309	0.666681018739	0.658600626814	0.631014220295	0.681648080039	0.628479836997	0.64586280302	0.675577720963	0.570479585533	0.649347259674	0.60538800245	0.662649470391	0.627672083286	0.680431584895	0.671490585392	0.641602213289	0.655637495369	0.642101809161	0.642865836815	0.635049522471	0.589427671337	0.629868790159	0.621725419759	0.651360588902	0.637973158821	0.626062214953	0.673104869942	0.650505874128	0.629301778608	0.659267462666	0.715356863333	0.607812825098	0.623968486774	0.673960864776	0.761485240133	0.718195770906	0.789162995513	0.63842639295	0.750774607524	0.723705583865	0.588450913274	0.725526858198	0.627268258646	0.695124842606	0.700608288622	0.698995564098	0.708314816784	0.703267984535	0.718900128457	0.6530885924	0.741896045152	0.729409499014	0.749736603922	0.680946605348	0.784903119674	0.712998997996	0.632986766853	0.640622462094	0.673891681017	0.691561494273	0.643272447345	0.74412855931	0.711238916043	0.710914767394	0.720374387816	0.685607547811	0.713252116588	0.714337069713	0.699021059071	0.679401476596	0.727559821824	0.691851219051	0.717122485385	0.673817570494	0.67564328206	0.649346456054	0.740755688525	0.635948299579	0.680982054281	0.697266307778	0.719447921783	0.729295571418	0.642451969519	0.710142472591	0.682997019056	0.59085847062	0.689413597157	0.650844019576	0.644225361824	0.682813836676	0.658022698504	0.663050564446	0.642195837822	0.664244575604	0.618865765505
CS.084	0.501469813231	0.584589115042	0.520496055335	0.581304971664	0.568147653274	0.713074316573	0.520880460563	0.602531813381	0	0.616286553208	0.505492228904	0.627975458236	0.546951698055	0.552451263574	0.589505965104	0.57141463395	0.634150745311	0.59677007148	0.561739927889	0.740818319349	0.670745180917	0.582299591016	0.560791245262	0.654000203888	0.614455626102	0.534773278675	0.515385555905	0.598860098142	0.580169054561	0.517139635591	0.595129125479	0.669425020405	0.672961459278	0.506160480301	0.763697357741	0.589116664715	0.724500135555	0.6902974964	0.637486230106	0.647502538598	0.569490160431	0.567376407168	0.731043991296	0.572055118949	0.683980655451	0.686966340717	0.649605736007	0.64634578824	0.615046469123	0.60291796041	0.649772206105	0.600800318121	0.633573691732	0.634459123043	0.669633656982	0.606698800781	0.621420840868	0.698330395713	0.698878347195	0.631723906979	0.583649562935	0.555368429243	0.611494672366	0.619217143515	0.61727307267	0.596012447699	0.711581766336	0.586399780305	0.598763595907	0.697497821876	0.617626604116	0.652137435487	0.572891662905	0.628927857126	0.59919113111	0.568214339489	0.561603750836	0.587552781419	0.587860211326	0.551324504031	0.581773871999	0.515075698286	0.62171891541	0.539481700768	0.577475497715	0.557039476574	0.583638039545	0.606016076768	0.566128143341	0.562166567181	0.625111355851	0.577317706889	0.635089004629	0.444795197456	0.54376959644	0.617506501665	0.566346601495	0.598294703109	0.486500095304	0.686400214127	0.594200319573	0.540476812934	0.587137778649	0.699212608761	0.555213030262	0.547602227686	0.629639957168	0.757749262161	0.702586561064	0.752445283814	0.654905628263	0.720013008021	0.70778760265	0.498204377879	0.713523672581	0.555730559213	0.642670107848	0.658905914363	0.641624624982	0.670411087539	0.66903960477	0.658470370209	0.609410411058	0.695215348871	0.670511973763	0.685972940802	0.56190335014	0.749124792842	0.683389969946	0.596922650017	0.579848512644	0.574835194211	0.62902862194	0.558794373231	0.666654605834	0.671442616619	0.66410167126	0.620400596764	0.622384824982	0.650973166672	0.663826941397	0.616164350806	0.650969883678	0.712118241538	0.623291115371	0.663916724868	0.615272875695	0.570137900911	0.575882382483	0.703646801208	0.598172851204	0.546366769113	0.612464907588	0.672665397661	0.651937793673	0.587047124815	0.632296274538	0.630612281233	0.512705726273	0.603552411521	0.584767832027	0.630143196237	0.666945802962	0.568042455588	0.580878564234	0.643545835095	0.588142286733	0.594863881964
CS.245	0.637421050173	0.553358586359	0.615025347905	0.560058343653	0.553323231414	0.585986972839	0.585354993512	0.650937975154	0.616286553208	0	0.567064844463	0.611424445388	0.60305756405	0.576027485734	0.573742495721	0.592567442178	0.552425818237	0.609175093823	0.566269836539	0.663201181835	0.643084296491	0.591704510896	0.612576343296	0.508751477418	0.567702031402	0.595024496306	0.588956737289	0.653321754992	0.552390183409	0.579277895041	0.5483570838	0.608776393383	0.651906385477	0.600315040808	0.694076220416	0.619370614737	0.666950968129	0.661754938583	0.613068254643	0.569575557489	0.64035849383	0.627187731737	0.667010957624	0.561645893278	0.628261297061	0.664751597092	0.64828097387	0.683236541813	0.613482519275	0.603021431048	0.639907119815	0.629379092473	0.647972268561	0.658953847016	0.694867437792	0.669890040906	0.599139243925	0.684159932555	0.662755413699	0.665198634368	0.560527372907	0.579601414179	0.539108480197	0.586993154453	0.538603947372	0.513443350664	0.621892456369	0.574303939348	0.602278400782	0.680148994119	0.550314556322	0.625966273096	0.542235735719	0.56007103222	0.549483302605	0.58452516365	0.55894141465	0.607312901401	0.528820035182	0.589453146569	0.565657882692	0.580303867371	0.541350062482	0.619010834176	0.579940717116	0.595290403215	0.551495452261	0.577262965078	0.573691268297	0.60994393118	0.559949990857	0.56996697783	0.563357182119	0.598282231994	0.592303794741	0.568401831488	0.580949777652	0.585988980302	0.615040905601	0.590422044873	0.621278491384	0.539199389228	0.619858138041	0.629783070292	0.535174458787	0.63104628485	0.650846564591	0.703032399998	0.64489061106	0.72192389784	0.685037115305	0.664789167594	0.617456133411	0.628507877059	0.603631497094	0.60628717685	0.623583501032	0.637439355254	0.557819823251	0.672623279545	0.586220867218	0.622195064583	0.544374522967	0.633264972553	0.612412928372	0.641722109069	0.574859461884	0.708908494907	0.613337073452	0.622187941601	0.616196127561	0.647446540252	0.585883783485	0.596763902134	0.640248024507	0.645149889173	0.626284132889	0.587532873781	0.619479517207	0.65907355061	0.640068338588	0.636039918931	0.636571296825	0.727249385162	0.549394721371	0.533892113095	0.535073161706	0.581718840683	0.581576272554	0.674017998252	0.552461584437	0.570629594229	0.513133717842	0.61883814636	0.529124179642	0.52619114946	0.560478540773	0.54615210201	0.608812889953	0.563456983781	0.584214780792	0.538640720879	0.531778518221	0.577621981157	0.559571715164	0.497322240392	0.530010968929	0.514737046035
