CS.219	CS.022	L.002.M1	CS.217	CS.257	CS.084	CS.101	L.025.M1	CS.265	CS.281	CS.280	L.035.M1	CS.028	CS.017	CS.010	CS.367	CS.076	CS.368	CS.382	CS.115	CS.050	CS.063	CS.117	CS.161	CS.360	CS.067	CS.155	CS.334	CS.056	CS.065	CS.232	CS.302	CS.041	CS.376	CS.378	CS.236	CS.282	CS.375	CS.205	CS.136	CS.126	CS.224	CS.203	CS.213	CS.292	CS.147	CS.395	CS.166	CS.256	CS.369	CS.386	CS.214	CS.389	CS.178	CS.148	CS.372	CS.183	CS.181	CS.268	CS.254	T.CS.089	T.CS.050	T.CS.058	T.CS.067	T.CS.040	T.CS.062	T.CS.071	T.CS.003	T.CS.029	T.CS.014	T.CS.079	T.CS.057	T.CS.069	T.CS.001	TFS.024	T.CS.128	T.CS.144	T.CS.159	T.CS.131	T.CS.167	T.CS.134	T.CS.100	T.CS.126	T.CS.178	T.CS.097	T.CS.120	T.CS.161	T.CS.107	T.CS.124	T.CS.111	CS.237	CS.103	L.034.M1	CS.082	CS.006	CS.356	CS.242	CS.246	CS.085	CS.087	CS.015	L.024.M1	CS.110	CS.088	CS.241	CS.233	CS.150	CS.113	CS.151	CS.228	CS.345.0	CS.191	CS.363	CS.347.0	CS.207	CS.308.0	CS.364	CS.212	CS.044	CS.188	CS.361	CS.331	CS.163	CS.152	CS.080	CS.202	CS.320	CS.223	CS.319	CS.158	CS.339	CS.194	CS.112	CS.322	CS.318	CS.270	CS.393	CS.326	CS.255	CS.390	CS.145	CS.253	CS.262	CS.370	T.CS.045	TFS.021	T.CS.049	T.CS.026	T.CS.036	TFS.027	T.CS.061	TFS.025	TFS.020	T.CS.066	TFS.022	T.CS.055	T.CS.064	T.CS.043	T.CS.031	T.CS.157	T.CS.109	T.CS.141	T.CS.095	T.CS.151	T.CS.142	T.CS.166	T.CS.152	T.CS.158
CS.219	0	0.586656189733	0.640270196053	0.587701763673	0.590089164417	0.501469813231	0.585177496416	0.683239104008	0.567307322291	0.554617635916	0.603100936302	0.617701988234	0.514844073426	0.598302005236	0.657087646931	0.691967036803	0.556607089377	0.558436616024	0.640016163316	0.599583076157	0.623971707884	0.590751373329	0.585570431737	0.606823666438	0.592864505709	0.677710742291	0.537436770506	0.665187226963	0.615047056642	0.590054580238	0.504795962751	0.669255979053	0.585756591755	0.61118113097	0.642110034375	0.599137235861	0.639777386895	0.626097529577	0.671184056966	0.560109589017	0.576580410319	0.729581726163	0.627201229133	0.637210329833	0.538166960613	0.618768816598	0.580047655381	0.633361408376	0.636707580765	0.666572080084	0.686526898145	0.637324829799	0.583278020024	0.598374728101	0.678975536651	0.585312612572	0.674900515034	0.605751111126	0.62089546094	0.588164456462	0.58712890772	0.606317367671	0.613600519959	0.604649534771	0.552727707261	0.585490185085	0.621513505603	0.621272942569	0.553765917471	0.564456678657	0.648939290177	0.690889648916	0.599729598086	0.67060279608	0.603550506799	0.532812965387	0.627627129115	0.593378274532	0.584915426236	0.615691841864	0.620714815804	0.582822401574	0.568449108598	0.552122433794	0.593462266347	0.600401826132	0.563111366766	0.602828629093	0.554965328389	0.609289863901	0.578137668138	0.558830578107	0.617495768773	0.513315482969	0.582438685312	0.679573870861	0.557231397878	0.55669897662	0.506189469937	0.624642704299	0.635943629438	0.655532240541	0.58973508173	0.699967302814	0.574479069201	0.550751897113	0.551838510233	0.612405616681	0.565360426652	0.565944772857	0.684727820912	0.591565589511	0.612432544106	0.621291882674	0.63342829323	0.592879699084	0.668005242164	0.680731290936	0.590294112189	0.67871682349	0.64703343959	0.525204537357	0.567802421553	0.562060484546	0.565847609479	0.678263972609	0.601447220875	0.611961911708	0.622861056716	0.567411934843	0.656570412381	0.733679660073	0.557799645702	0.658471314928	0.616493049477	0.619741865047	0.629851934776	0.58739124702	0.575352590903	0.609548738056	0.595709683547	0.676155512594	0.639298637839	0.613598554987	0.630449172428	0.6572709713	0.652626236112	0.677608949745	0.547731108922	0.642767336988	0.645153645836	0.640178387137	0.587952878262	0.623182806034	0.591350291833	0.618164385362	0.61153139791	0.634055157073	0.621363692134	0.619989546161	0.606239335417	0.680276534096	0.62431122188	0.655555675514	0.694860168978	0.593603403003	0.581891073931	0.576041876682
CS.022	0.586656189733	0	0.635292627312	0.624222000043	0.601242014505	0.607564394604	0.650267348744	0.621810510383	0.668469687924	0.629225527916	0.651866793549	0.602604453637	0.60009833553	0.614451820094	0.63862556225	0.658019815243	0.552648850876	0.627550361299	0.624074545116	0.601455603129	0.566497850265	0.573115709926	0.594783601292	0.560102932306	0.597189325983	0.658052133581	0.636122266966	0.639509424955	0.583240897682	0.592347175794	0.594864098165	0.648033340875	0.568220709184	0.577091005504	0.614159088793	0.619273867248	0.61239570935	0.609839890046	0.628336306744	0.558689448035	0.632593215212	0.670718688665	0.646848674873	0.616018801584	0.574163264533	0.5851334704	0.627090506348	0.642166226961	0.624886412284	0.638540376299	0.652178583577	0.619732740272	0.61083889927	0.639337676124	0.628780023721	0.602758052962	0.645308023248	0.594914465917	0.61894292415	0.604253019289	0.626612278362	0.598717632658	0.633217988127	0.620801917085	0.607925410832	0.643832195821	0.651933260497	0.656980073505	0.607409744062	0.613568460865	0.596980641434	0.638866026831	0.625040993463	0.644318778012	0.608691410878	0.630174270124	0.660860085571	0.667908480096	0.671465021546	0.635524935653	0.666604644275	0.656848354634	0.637552959142	0.648802063257	0.663646012376	0.622151942291	0.612228567236	0.655159432857	0.630488144344	0.620838667369	0.5379488735	0.594418388731	0.597591049719	0.615625999823	0.53067302263	0.655367252122	0.612128829327	0.62066330419	0.592437292746	0.583999229177	0.632699957516	0.635123900237	0.551676843701	0.611712921903	0.645448233253	0.616023276955	0.579027211182	0.594822072189	0.641779257017	0.55837949977	0.630129319968	0.65664947094	0.596263529435	0.593546080171	0.614987799144	0.588273428462	0.629963302075	0.645427774159	0.603139126687	0.641595903114	0.63692585761	0.604016710535	0.554623407844	0.622312250478	0.546699805586	0.666463146207	0.589637515168	0.592144540092	0.60497773504	0.540395645564	0.627405947588	0.673446226108	0.550515832275	0.622104037818	0.604307348665	0.608659994552	0.62603638954	0.599299827097	0.60644131432	0.583541872375	0.633603003377	0.672500162501	0.610254372293	0.614347343822	0.628260289891	0.635512247442	0.612272195861	0.64702105753	0.610628506623	0.64167038883	0.62870366734	0.634681766288	0.652137160449	0.665984863019	0.675035895484	0.595657130594	0.627187009162	0.636575541286	0.605726953292	0.604730322435	0.664877427817	0.637667329649	0.676137728946	0.652529493766	0.638372419471	0.639781519361	0.630532878195	0.652638997502
L.002.M1	0.640270196053	0.635292627312	0	0.674527294884	0.657959232382	0.66592512493	0.675925205133	0.660254859094	0.672876020627	0.651848072793	0.661754829739	0.551197915537	0.660221545475	0.654820838642	0.680818394029	0.669447892997	0.644254594747	0.636237513032	0.611360179988	0.654950938403	0.636708237572	0.650837667082	0.661632175366	0.619990570069	0.633659092764	0.639201696437	0.611268791404	0.623344386993	0.648894021081	0.649553647074	0.660060469605	0.692543865418	0.677281846309	0.595402019799	0.668649384503	0.663653035767	0.645048195323	0.605227990404	0.667111228695	0.656829641241	0.624185181797	0.681312303302	0.649426479408	0.624279493696	0.631015426765	0.625095818803	0.628542007396	0.63502583263	0.603756399223	0.689448663976	0.56330761894	0.641463448744	0.627674558807	0.650942795455	0.617879589789	0.600187268633	0.642472842789	0.6411865235	0.642334312856	0.620066901835	0.649056445337	0.622453366028	0.625540681	0.628898393709	0.628153123429	0.633004551437	0.681490016915	0.642362376666	0.645538620397	0.647108077942	0.575782281006	0.655121105394	0.654841104832	0.637109265104	0.628297260009	0.635002370194	0.674820468269	0.701885883515	0.647210330931	0.64357273898	0.64762353591	0.673305686464	0.653074081201	0.652045367455	0.692216922405	0.631199507108	0.66432848754	0.655726717001	0.650908931995	0.61683747971	0.63608688284	0.651376848816	0.609139330676	0.688988205826	0.654592287303	0.685974201292	0.63240610701	0.658057015255	0.652092154566	0.669309235997	0.673718068711	0.669342091192	0.626346308969	0.680883638997	0.654705589318	0.673579898836	0.600339825298	0.633305799625	0.662039018113	0.653831915132	0.704646937634	0.650828317329	0.605450035357	0.633209292984	0.642704538017	0.650760700197	0.66946222268	0.696565059859	0.640280221493	0.668123749005	0.658354971808	0.611100494056	0.666151586056	0.635711991089	0.625918486233	0.700911555468	0.629006583713	0.642696973786	0.62248912794	0.632064889698	0.654380697792	0.66890271868	0.630579140837	0.624896649371	0.628738905138	0.621261194884	0.664634394526	0.624420203544	0.59399752945	0.614996484573	0.609350066976	0.68842637361	0.590144173374	0.607460599751	0.639474883835	0.626875937459	0.6149431342	0.673211586848	0.643016220285	0.658316830372	0.651429312163	0.638274418151	0.65827828182	0.656638362842	0.662637885097	0.642904023858	0.609330401046	0.652348041924	0.617187138622	0.663003302937	0.674553341995	0.639871154744	0.684397602752	0.642689344503	0.672530037508	0.639852245717	0.645188187333	0.646087781856
CS.217	0.587701763673	0.624222000043	0.674527294884	0	0.550334214891	0.529855767396	0.501911358983	0.607384913314	0.565682626684	0.519175956583	0.50603777246	0.614742695211	0.518947360165	0.531245320669	0.669317564714	0.724108695217	0.629014575263	0.55760965908	0.599717299921	0.638727784514	0.631796761323	0.673150226202	0.550056310172	0.667599822511	0.637463537967	0.737039473576	0.612156919916	0.707750649249	0.681611370972	0.624481020605	0.506249135085	0.724282935123	0.64348543488	0.677614598685	0.696663314325	0.691478160348	0.714869415948	0.64008531949	0.726369093964	0.601588634576	0.57363188255	0.762311937857	0.574045429475	0.707980770977	0.598256097982	0.686398358235	0.662080873263	0.692100013622	0.686794268237	0.738382034251	0.721049429527	0.657769126386	0.677762697136	0.613458555002	0.689970591652	0.676139185879	0.74157681316	0.653620727223	0.676349773363	0.681149326521	0.600475526027	0.594614885642	0.566498175594	0.552262045333	0.498729492329	0.50553702018	0.557306519523	0.508985482334	0.606276643273	0.570452310156	0.697050612797	0.69575813979	0.600540248501	0.707622753577	0.583523694185	0.596484570898	0.529763621127	0.556577343729	0.550388227902	0.509932197119	0.535117914973	0.546487224942	0.524673765559	0.528426222022	0.52766933591	0.546990131026	0.559152904274	0.516506308584	0.49637093994	0.517820915461	0.624501303809	0.55186739406	0.57908798214	0.539187915015	0.48779851908	0.670319614722	0.526938236942	0.532187496277	0.512015824624	0.568841199359	0.539523676672	0.529126719637	0.631971984498	0.621504875865	0.512884039975	0.536778325349	0.575086372579	0.525760307176	0.62869537863	0.602617183368	0.753595020373	0.52529597289	0.664655588499	0.669845212596	0.680502219214	0.677713575549	0.7188970633	0.657978192936	0.514525034831	0.683064305189	0.675590235923	0.59436468186	0.60937100243	0.555343902368	0.597513623718	0.655586363192	0.640144041194	0.682546715459	0.685989333421	0.627947029436	0.654859046154	0.768205798945	0.617783878535	0.698719049804	0.670877071492	0.658490977465	0.664872520576	0.645988968932	0.62574698903	0.681081317258	0.60366987153	0.722978383611	0.676666231699	0.675659507073	0.565536474752	0.565151167708	0.657060890861	0.705183593827	0.548096732491	0.543184033822	0.619157800663	0.602173483554	0.505120371103	0.488025242518	0.517961349164	0.529167413192	0.525558353292	0.55921113146	0.558656797313	0.531333839386	0.50396192622	0.555520660971	0.489802455242	0.516388142835	0.552097118346	0.53341356528	0.529941530866	0.504266553707
CS.257	0.590089164417	0.601242014505	0.657959232382	0.550334214891	0	0.565175475719	0.601477713111	0.590498986318	0.591206303853	0.566518800621	0.586600434814	0.620831568095	0.576877208853	0.586321968735	0.64143640933	0.692838388149	0.603258945694	0.608359161843	0.629046431419	0.642346556916	0.610309253257	0.66616105292	0.562692800617	0.665171785782	0.651974093389	0.699455891726	0.658379907344	0.692470792311	0.679793393006	0.658084786386	0.597625536921	0.721614533808	0.635337991789	0.661523354279	0.646542925896	0.667032001088	0.707886251963	0.629748446717	0.706015462615	0.609989367879	0.622596766941	0.724118154691	0.603010392888	0.653234439105	0.635133373254	0.677120753673	0.657689536875	0.696879937898	0.668875486062	0.705579161521	0.682017432252	0.673171045756	0.660976255966	0.64246961159	0.663106942051	0.66732338331	0.712715445918	0.674182741062	0.64679410016	0.667803169244	0.655958893852	0.595372996598	0.597258416682	0.606126204667	0.545285650397	0.564411149203	0.625565905627	0.599861476301	0.592301852524	0.624276922967	0.68729787439	0.69100773528	0.659932144034	0.673950704309	0.618775298397	0.602829838765	0.559113759298	0.612845479669	0.58716506149	0.561582738337	0.594602908763	0.567382475707	0.592205132731	0.578946649532	0.583170384565	0.587367604113	0.563390825051	0.586908659566	0.544018977561	0.566660563467	0.609821576093	0.591589105153	0.545160737023	0.586367880088	0.548212507918	0.676566963988	0.564726952726	0.565376535847	0.55671655141	0.557560840914	0.590102981281	0.569840606645	0.606347505856	0.612052854074	0.582594892475	0.565461844029	0.578552144724	0.584709082639	0.647631787969	0.580522125459	0.710872386184	0.611551533313	0.663199126443	0.668994103837	0.65281321166	0.664197865024	0.707712290452	0.693818804639	0.595494186869	0.697566239163	0.667416967118	0.602499798736	0.612099132449	0.634077495452	0.603479423715	0.649229131108	0.63594887467	0.660818300534	0.679715643257	0.59209289659	0.65881742703	0.735340631457	0.601581358496	0.691036550117	0.677072340007	0.673156712256	0.641780678641	0.638374842827	0.63594375857	0.677606143492	0.653776816168	0.702532078021	0.659313680397	0.673956583745	0.625571539587	0.62437299807	0.673465047909	0.703687383274	0.582992167879	0.605733379461	0.639280992835	0.623268608588	0.608569323764	0.56157932779	0.608443853105	0.58614635618	0.587869542268	0.604870451913	0.592110893375	0.544640947713	0.57963976751	0.567655059719	0.589798290906	0.569621646788	0.597041226958	0.60284395499	0.56810088932	0.572126200976
CS.084	0.501469813231	0.607564394604	0.66592512493	0.529855767396	0.565175475719	0	0.556077170399	0.635703384298	0.54664995503	0.547304888674	0.581243113472	0.633522973085	0.47732953131	0.574436218742	0.638017309949	0.732633031378	0.592089834865	0.561739927889	0.660594300474	0.610684639184	0.598860098142	0.630126111894	0.531609738997	0.634756824735	0.627192188489	0.712504894138	0.581631909214	0.70202573491	0.653787631037	0.646975647857	0.506160480301	0.731043991296	0.589116664715	0.669425020405	0.672961459278	0.647880881614	0.6902974964	0.647502538598	0.724500135555	0.567376407168	0.595129125479	0.763697357741	0.622969362187	0.67952526059	0.569490160431	0.676552600617	0.606698800781	0.669633656982	0.669136255634	0.701184253991	0.698330395713	0.680782848066	0.649772206105	0.621420840868	0.686966340717	0.652795367795	0.719482745668	0.633573691732	0.64634578824	0.649605736007	0.601206974863	0.60780503358	0.587482996104	0.596012447699	0.549957484194	0.556260403516	0.583649562935	0.585326126547	0.576563468713	0.586399780305	0.689420899074	0.711581766336	0.609090911312	0.697497821876	0.61727307267	0.552316814101	0.615520304354	0.563603931031	0.594401728424	0.587860211326	0.607609051858	0.566277104399	0.581773871999	0.551324504031	0.578404589669	0.593202024719	0.530684352615	0.583638039545	0.515075698286	0.609444293277	0.587137778649	0.54376959644	0.598294703109	0.486500095304	0.555213030262	0.699212608761	0.540476812934	0.577317706889	0.444795197456	0.617506501665	0.625111355851	0.635089004629	0.594200319573	0.686400214127	0.566346601495	0.498204377879	0.555730559213	0.604524590106	0.611020196463	0.547602227686	0.724386033909	0.562023676128	0.666293741235	0.670411087539	0.680095763524	0.652546471397	0.720013008021	0.713523672581	0.575072379782	0.720043494677	0.683389969946	0.574835194211	0.596922650017	0.56190335014	0.558794373231	0.66903960477	0.62902862194	0.658470370209	0.685972940802	0.579848512644	0.670511973763	0.749124792842	0.554057422326	0.696855760825	0.666654605834	0.671442616619	0.650969883678	0.622384824982	0.616164350806	0.663826941397	0.620400596764	0.712118241538	0.66410167126	0.650973166672	0.615272875695	0.630612281233	0.672665397661	0.703646801208	0.512705726273	0.612464907588	0.632296274538	0.651937793673	0.546366769113	0.575882382483	0.570137900911	0.598172851204	0.590242180563	0.623291115371	0.587047124815	0.594863881964	0.568042455588	0.643545835095	0.584767832027	0.630143196237	0.666945802962	0.603552411521	0.588142286733	0.580878564234
CS.101	0.585177496416	0.650267348744	0.675925205133	0.501911358983	0.601477713111	0.556077170399	0	0.631669455695	0.569231191495	0.543710711558	0.511096642361	0.648100346577	0.531930840906	0.526162816245	0.709335917352	0.774653954044	0.654366086849	0.557767552143	0.601813274934	0.685018793774	0.663823390231	0.706988816884	0.516983634961	0.704590745812	0.654918289315	0.755261507784	0.5879813683	0.731401645483	0.698855666946	0.645973105237	0.543968919264	0.762619452482	0.669028435861	0.697425432545	0.718858641745	0.697160563556	0.73336312711	0.652486169432	0.729099038913	0.638520945649	0.573459996245	0.785651514839	0.554241327428	0.70443874085	0.609327893625	0.696471874484	0.660887044736	0.709112391928	0.705883421278	0.765897504552	0.727828324483	0.677523127744	0.665108622272	0.617541395681	0.727333291239	0.675221876152	0.769111583243	0.663431543493	0.70976606474	0.694591050041	0.639697368525	0.624291794123	0.576562352168	0.569161079075	0.515889433699	0.52474879919	0.580374250629	0.496455249935	0.654716062954	0.581873999211	0.721443285258	0.737434855673	0.611483333093	0.724544863698	0.60365448753	0.581022214176	0.544615102283	0.552749908824	0.546589708802	0.532435980402	0.545803427818	0.573677002111	0.545134604568	0.522510861245	0.532939198022	0.558394043373	0.590252654935	0.512431180813	0.502857213227	0.543555398085	0.682788076794	0.459140300821	0.607081981328	0.55965210266	0.528977705579	0.70410288664	0.538138756932	0.556327557825	0.553630111569	0.610534496744	0.537296797237	0.543868277663	0.659809788386	0.6281797007	0.458854116669	0.567355777366	0.614922522144	0.527037328314	0.604284653386	0.621457139933	0.787500311632	0.509420601846	0.710170736512	0.708392720066	0.714880205359	0.707274510991	0.749904684593	0.707965259125	0.54257899539	0.698275485716	0.691674781378	0.597417270623	0.673432855978	0.555537260146	0.611367904935	0.659059168303	0.644522495428	0.689942090598	0.703436559779	0.64912600768	0.668225792545	0.791198248232	0.650019142581	0.729157006238	0.701349152328	0.698598420203	0.68637346069	0.677394514618	0.633709922516	0.688034331605	0.606790952334	0.754830765828	0.697668412701	0.684245976754	0.594053208213	0.5918024782	0.69601401026	0.74361117429	0.57148449537	0.565219140433	0.636421476893	0.625030471804	0.520937666453	0.526573181135	0.525979293123	0.558343268478	0.553124084512	0.575798552574	0.555128199744	0.569511529441	0.52129418416	0.568426080275	0.509942576893	0.559198925113	0.590793413964	0.55709282727	0.556836508526	0.531276232424
L.025.M1	0.683239104008	0.621810510383	0.660254859094	0.607384913314	0.590498986318	0.635703384298	0.631669455695	0	0.676851322449	0.613307185795	0.630857887731	0.62284066982	0.627148048731	0.604983414988	0.682117757806	0.72562092471	0.67336205619	0.639908668011	0.630595528455	0.685827499698	0.642688202088	0.67940640033	0.60381578297	0.660317165717	0.67185150486	0.679053804409	0.666863652251	0.705814943291	0.697194365803	0.672258697759	0.644645692565	0.718463124693	0.688003574134	0.681863656974	0.65863660477	0.720213638588	0.695150186062	0.646116000131	0.710186739435	0.655755727572	0.649892388305	0.711613821306	0.623582855263	0.671816743241	0.679147219062	0.6952480923	0.711761457097	0.731534244706	0.668799671609	0.737100210593	0.698793819603	0.679750152487	0.698023354322	0.66875355382	0.671458164944	0.705609808856	0.734640152357	0.67695916697	0.697934593045	0.710570729006	0.653202703072	0.625775339381	0.63675537214	0.610352856204	0.611437868272	0.603870750696	0.634602134226	0.598938229305	0.659612265381	0.654653625056	0.673587276298	0.688585956737	0.647446023701	0.683364014668	0.615361775561	0.682162454436	0.615954638236	0.677223410896	0.665203484534	0.613808591058	0.625470406609	0.627139099507	0.633222562444	0.647159078681	0.643776887425	0.619254889692	0.64578518565	0.633732431615	0.615210748218	0.635425395746	0.621948682897	0.621214883561	0.612216307981	0.654725032974	0.594400664893	0.679829559443	0.629422764309	0.626891917903	0.61762848901	0.584576986519	0.5899486726	0.604592884367	0.643437566054	0.598084268966	0.634535071686	0.642598734953	0.640417857139	0.58442289338	0.664781753688	0.612036627592	0.724179745724	0.617502763693	0.685955697982	0.667842447691	0.676855735366	0.682117913692	0.730050430363	0.681696341022	0.596276251248	0.681021962787	0.6726282248	0.684429566746	0.64734381323	0.653095027744	0.631533084197	0.668546517249	0.660943326796	0.688551355923	0.673742754725	0.632488352955	0.643667116568	0.728938312437	0.651940899633	0.673010893123	0.674277640786	0.697641793696	0.683227713081	0.678674121872	0.668658279523	0.686226801726	0.658280264678	0.744549819097	0.669138638277	0.688216132213	0.620968333918	0.602031191749	0.608670320673	0.709068992812	0.621252443448	0.5985971223	0.614149807387	0.619588871036	0.63278257573	0.633030405566	0.657775800938	0.617746738112	0.603645917496	0.610497241382	0.603649795341	0.573855307504	0.639437336972	0.559124426077	0.632312832438	0.601148475979	0.550040281011	0.635935600866	0.627229420408	0.644354247083
CS.265	0.567307322291	0.668469687924	0.672876020627	0.565682626684	0.591206303853	0.54664995503	0.569231191495	0.676851322449	0	0.536845272248	0.508258729675	0.638107432943	0.536472416354	0.622892961621	0.723898799176	0.773420678678	0.664119184034	0.541773574891	0.634476929437	0.680436433414	0.686990778564	0.721666804386	0.622520509589	0.702717484724	0.647049118271	0.775093957464	0.560364302225	0.715944887678	0.692847080864	0.667980953441	0.552531139558	0.768225495058	0.688949008475	0.696822014035	0.724382770384	0.716739709643	0.702566775255	0.684532601052	0.730830094843	0.656820731655	0.577610978374	0.782217770551	0.590726276457	0.712957457918	0.623203923948	0.696249868933	0.642861246845	0.67993284431	0.658709843652	0.741235439601	0.723669420031	0.692197656827	0.677836900152	0.614564203431	0.68499099083	0.65386619247	0.746438636878	0.644906815189	0.670226445199	0.655680617617	0.615837381016	0.642110465277	0.595036195122	0.621610918623	0.540387714828	0.559337232035	0.587645800639	0.563753073085	0.633063547985	0.583785849523	0.719287058108	0.753896082402	0.609743335538	0.723470394439	0.64299117721	0.477125696231	0.539964648246	0.462800839563	0.476281700573	0.562121020537	0.57614843885	0.499498683213	0.522941258147	0.466365573139	0.502429025201	0.572775635351	0.492292225784	0.50384373438	0.512913397848	0.574816206465	0.664682796926	0.582547438837	0.584241178575	0.511741759423	0.596801877806	0.750851270923	0.513637299664	0.535626561125	0.526054929374	0.650916149509	0.630303817112	0.614122600618	0.641662639619	0.719109511033	0.575195447001	0.589177803555	0.577443249607	0.66297524787	0.613384904501	0.639854187179	0.79096705924	0.568820669202	0.676195392171	0.725787056164	0.694314561195	0.723511667342	0.748497016191	0.733049273036	0.629788574857	0.723757175436	0.72426818275	0.546744710971	0.673949482664	0.541034133798	0.652606925928	0.716098726716	0.616074551369	0.665247077851	0.696908332727	0.670768326636	0.714534723984	0.77151346117	0.663662864014	0.695330817391	0.680688670659	0.677284177744	0.6928871714	0.645779981715	0.623070762748	0.684745293575	0.615078073845	0.753436441053	0.695987241037	0.675644809833	0.63593972645	0.647299772177	0.693307578703	0.740288399448	0.547374016214	0.607737810048	0.668011649939	0.664098977304	0.51052594462	0.530979346262	0.49675472575	0.592035914141	0.576030789062	0.612122353044	0.614926184529	0.617240491992	0.471312210241	0.638609272265	0.483326994976	0.574332177008	0.642196703452	0.556340680986	0.57159594321	0.512250764839
CS.281	0.554617635916	0.629225527916	0.651848072793	0.519175956583	0.566518800621	0.547304888674	0.543710711558	0.613307185795	0.536845272248	0	0.512712184757	0.577607390091	0.531511239197	0.595894416907	0.700819032637	0.716466080748	0.61850860138	0.475995797026	0.529315824188	0.640850639453	0.6502280998	0.675010623494	0.544665638753	0.655748779622	0.590994533835	0.715736587235	0.550653009447	0.673024598035	0.661682541795	0.585572122792	0.488704147231	0.696388154408	0.607197101563	0.62917641436	0.647887617619	0.674562239773	0.635356799366	0.5793117453	0.670071021415	0.590983259179	0.479982742081	0.736381478482	0.518311342749	0.672728066674	0.559597073809	0.63778875974	0.586851246876	0.625348782784	0.612336284681	0.691456744996	0.666903050124	0.602105332541	0.620268022236	0.535659454777	0.629573287324	0.597386227616	0.685616805334	0.578459489922	0.629181951473	0.604914303187	0.561830612636	0.561487031788	0.517284470974	0.506836128276	0.509201059479	0.469460318709	0.511059553562	0.498339820858	0.567243421728	0.541936429848	0.657166668023	0.669956504154	0.534203566442	0.675765574376	0.521505876165	0.551979454657	0.508143067385	0.541845740278	0.497434735211	0.503432549414	0.509946428878	0.539477033231	0.459357723183	0.488522517486	0.520951945406	0.514236164476	0.54263213764	0.496225890194	0.492076204045	0.507667182393	0.605157519671	0.562510522933	0.562963262709	0.523846725387	0.528579216282	0.664814491854	0.479221945509	0.471120323828	0.518375243083	0.585574861691	0.586052394396	0.553390833551	0.610139754377	0.654026961684	0.525435646322	0.573134283076	0.541355008058	0.549426773832	0.570921762645	0.597451592263	0.750203058964	0.468806242656	0.598860462385	0.670006486554	0.651648705332	0.673184857058	0.690479431468	0.641573349134	0.535910848263	0.603355262121	0.635859759299	0.515835324162	0.617434395213	0.474493278743	0.566802495523	0.617931039433	0.555958715701	0.610120082895	0.630661618195	0.616806854221	0.611268823274	0.714351663301	0.603681459926	0.641285106824	0.607008615349	0.597302265668	0.605052566259	0.572707174209	0.573026510433	0.610116962331	0.547231088306	0.698291150978	0.641971744798	0.607403429633	0.553175655675	0.552647062171	0.634194725794	0.690358821474	0.561615488111	0.498314497628	0.556753711392	0.518654701106	0.48776319949	0.516068366786	0.482067595512	0.529867939507	0.501910013969	0.515995416652	0.528992603543	0.535016910555	0.488329398088	0.543441306173	0.512749965279	0.517447492168	0.561100210543	0.482170930875	0.512247025524	0.427421362438
