CS.092	L.004.M1	CS.257	CS.028	CS.265	CS.280	L.011.M1	CS.260	CS.357	CS.009	CS.313	L.002.M1	CS.104	CS.106	CS.005	CS.056	CS.062	CS.067	CS.161	CS.301	CS.122	CS.367	CS.382	CS.366	CS.073	CS.287	CS.373	CS.381	CS.063	CS.327	CS.236	CS.378	CS.125	CS.213	CS.380	CS.041	CS.376	CS.205	CS.375	CS.136	CS.302	CS.374	CS.292	CS.224	CS.232	CS.369	CS.183	CS.148	CS.178	CS.349	CS.323	CS.182	CS.254	CS.177	CS.386	CS.372	CS.395	CS.166	CS.385	CS.348	T.CS.042	T.CS.003	T.CS.076	T.CS.059	T.CS.007	T.CS.019	T.CS.023	T.CS.034	T.CS.052	T.CS.014	T.CS.020	TFS.024	T.CS.050	T.CS.041	T.CS.012	T.CS.123	T.CS.107	T.CS.115	T.CS.112	T.CS.110	T.CS.167	T.CS.131	T.CS.180	T.CS.161	T.CS.105	T.CS.100	T.CS.144	T.CS.120	T.CS.097	T.CS.098	CS.103	CS.237	CS.088	CS.241	CS.087	CS.242	CS.238	CS.356	CS.085	CS.246	L.024.M1	CS.082	CS.015	CS.110	L.034.M1	CS.311	CS.308.0	CS.325	CS.078	CS.358	CS.228	CS.330	CS.187	CS.387	CS.336	CS.189	CS.191	CS.234	CS.165	CS.274	CS.080	CS.320	CS.158	CS.318	CS.322	CS.194	CS.112	CS.343	CS.223	CS.339	CS.152	CS.319	CS.331	CS.202	CS.361	CS.326	CS.255	CS.270	CS.253	CS.145	CS.393	CS.390	CS.262	CS.370	TFS.022	T.CS.031	T.CS.008	TFS.020	T.CS.043	TFS.027	T.CS.064	T.CS.061	T.CS.055	T.CS.036	T.CS.045	T.CS.066	T.CS.049	T.CS.026	TFS.021	T.CS.151	T.CS.157	T.CS.152	T.CS.095	T.CS.158	T.CS.109	T.CS.142	T.CS.141	T.CS.166
CS.092	0	0.575046370755	0.562538426763	0.477997441804	0.48235361706	0.54177955393	0.567935434728	0.639276020216	0.587388560257	0.650366756431	0.509906655239	0.68047173481	0.528998098183	0.49581688596	0.486489573777	0.667054619744	0.520126879053	0.735775171329	0.657322871292	0.61371402321	0.507615889355	0.739161660009	0.655001249073	0.743659506162	0.61428925207	0.625246407707	0.606133377571	0.575743743194	0.635995076634	0.638169803966	0.663355643246	0.676799218342	0.679071408911	0.715331856986	0.578036983713	0.64321252036	0.685802576893	0.736464834272	0.660263885471	0.591113103636	0.741403456914	0.659196060166	0.584947725009	0.770399667719	0.49515727799	0.707620483077	0.735375067333	0.685192383867	0.620158860801	0.626331686427	0.646964646825	0.593766486815	0.668657771033	0.695415654199	0.718502326408	0.649225190029	0.627876388492	0.677152690038	0.639650532032	0.591738472776	0.517665974095	0.569617206366	0.584118538487	0.569391108881	0.681613080321	0.640272647778	0.748490158113	0.594093843981	0.655448251191	0.586035883882	0.533425738196	0.641540023639	0.613142884528	0.596248190053	0.722129478607	0.603289025383	0.556008494288	0.497169342624	0.597025195633	0.493473077399	0.574525143	0.540047903232	0.537063803954	0.509737254936	0.484547060615	0.530357503929	0.571729634501	0.581182721073	0.53821584134	0.528723844655	0.523633132035	0.592659250223	0.688460773909	0.558792700511	0.600879771105	0.52653904146	0.551960770128	0.720201543958	0.463482779866	0.541748672278	0.622919932144	0.381231409451	0.603814736337	0.609555129019	0.593984568236	0.608377930248	0.655624653377	0.766892348958	0.645958654261	0.780706084982	0.588060427699	0.660774690639	0.638772323255	0.652993988833	0.656732505455	0.637626466807	0.563436763157	0.662560494748	0.725806445239	0.707218022328	0.584937837743	0.640686665609	0.587426103903	0.683343747902	0.709915295112	0.779107459978	0.602706429179	0.704576460786	0.665061923544	0.694601478764	0.54581125109	0.678793406496	0.566747896611	0.684868211098	0.693472866558	0.62054539779	0.622330555921	0.675354019264	0.721671558201	0.617255196138	0.668899684752	0.663588797632	0.688170547681	0.672338435479	0.538721572488	0.618978984255	0.703196532457	0.533607678267	0.620642862626	0.617278145984	0.575846798215	0.651571936485	0.597739496367	0.526778367554	0.629217257793	0.556482400771	0.69046480528	0.731156729295	0.645291837008	0.598338873548	0.592840224041	0.587925061541	0.549419509684	0.542670786413	0.530421671606	0.649941842511	0.646101910726	0.590435027623
L.004.M1	0.575046370755	0	0.600716724123	0.568244579561	0.522438689009	0.455031831731	0.549505748843	0.641944146736	0.43550604214	0.672290457394	0.460510020975	0.664994230287	0.581243671166	0.59947165701	0.505838330117	0.725303563442	0.540471098366	0.767375133274	0.713334144248	0.588817859111	0.55261370751	0.752629738509	0.534457320593	0.745381535406	0.673803360367	0.643975330987	0.619014471973	0.570116360525	0.737811872089	0.579381392328	0.745364008902	0.715705065848	0.685730206942	0.705640737992	0.51532176234	0.703971019308	0.689321270151	0.703017860617	0.638507791875	0.670903107513	0.743324787793	0.684482048936	0.626478149444	0.758063232117	0.564201773036	0.766475383477	0.759169381374	0.69825748898	0.597865006893	0.650564390116	0.644319999792	0.605116233693	0.670481991802	0.67118432778	0.718838718491	0.680482627723	0.674047192392	0.707394256701	0.681599440148	0.627743590886	0.479510212696	0.402923230673	0.576160623524	0.633415836934	0.638051065016	0.636342264484	0.753276855274	0.504718078722	0.661724803385	0.568551493129	0.492620692286	0.544409568626	0.619563339261	0.553071558317	0.684633160781	0.516445486905	0.433547022869	0.458524997884	0.533209331065	0.507806803204	0.446231697873	0.47681650394	0.599493657986	0.533893645058	0.600015470948	0.525499889107	0.482736776966	0.499493135887	0.480980325754	0.48186463499	0.562868996433	0.670694508233	0.654999887684	0.504614376399	0.603847302869	0.485008927931	0.551727957165	0.707138679414	0.55968189376	0.51455203359	0.483839599603	0.575924896855	0.572605646792	0.66190413654	0.586858858423	0.613910318935	0.724999347298	0.759474383134	0.562213109554	0.771848897193	0.638871548177	0.662726813998	0.636531959623	0.611927092457	0.608815421685	0.640112702643	0.47131249346	0.692656240156	0.708050698508	0.675271460263	0.6304359155	0.602193782598	0.676919127054	0.664092761883	0.680991928869	0.746650557972	0.675783971617	0.672949095976	0.684209506203	0.641811468814	0.524252309917	0.670043910714	0.585658746406	0.651371717354	0.69604809709	0.635877837977	0.618199721969	0.677371877676	0.754594373136	0.573861572629	0.70981008903	0.684600168768	0.677754792373	0.688223795371	0.438660159026	0.521560533902	0.577847075612	0.432330625229	0.511423461182	0.469696149315	0.493078816807	0.56850796916	0.522053474703	0.544809903663	0.53967537085	0.45548212736	0.624192947567	0.716506267433	0.539449371013	0.437269446794	0.517640105418	0.50220657287	0.422021438182	0.457385016708	0.406635814954	0.489984388653	0.500240406029	0.491123321244
CS.257	0.562538426763	0.600716724123	0	0.576877208853	0.591206303853	0.586600434814	0.567610181279	0.645758504418	0.56341854553	0.641342073386	0.549053596329	0.657959232382	0.568444354174	0.575118438231	0.567812831076	0.679793393006	0.57035699212	0.699455891726	0.665171785782	0.670218582894	0.53098263818	0.692838388149	0.629046431419	0.712183589625	0.584676567384	0.665117538047	0.622693262785	0.627077482134	0.66616105292	0.579687619038	0.667032001088	0.646542925896	0.66597921277	0.653234439105	0.62933262169	0.635337991789	0.661523354279	0.706015462615	0.629748446717	0.609989367879	0.721614533808	0.657079042212	0.635133373254	0.724118154691	0.597625536921	0.705579161521	0.712715445918	0.663106942051	0.64246961159	0.67746793757	0.681686086323	0.646066424678	0.667803169244	0.675242613766	0.682017432252	0.66732338331	0.657689536875	0.696879937898	0.675779308509	0.671327606894	0.583473750878	0.599861476301	0.636799101077	0.570122475452	0.670604159624	0.601140928791	0.738695508799	0.590960342959	0.678538105313	0.624276922967	0.613964276703	0.618775298397	0.595372996598	0.599408580257	0.69826789337	0.577177159747	0.586908659566	0.590982453576	0.577130831423	0.557629924209	0.561582738337	0.58716506149	0.546393218991	0.563390825051	0.598656047788	0.567382475707	0.559113759298	0.587367604113	0.583170384565	0.560467115967	0.591589105153	0.609821576093	0.612052854074	0.582594892475	0.557560840914	0.564726952726	0.593047114125	0.676566963988	0.55671655141	0.565376535847	0.569840606645	0.586367880088	0.590102981281	0.606347505856	0.545160737023	0.612004199906	0.664197865024	0.742968991298	0.628890831394	0.740224268234	0.580522125459	0.637185930516	0.640870896328	0.644281824844	0.641896699977	0.654491300778	0.611551533313	0.666542101471	0.67310070446	0.685416540411	0.603479423715	0.63594887467	0.59209289659	0.677072340007	0.691036550117	0.735340631457	0.601581358496	0.665737253071	0.660818300534	0.65881742703	0.634077495452	0.679715643257	0.602499798736	0.649229131108	0.667416967118	0.638374842827	0.63594375857	0.673156712256	0.702532078021	0.653776816168	0.641780678641	0.677606143492	0.659313680397	0.673956583745	0.608443853105	0.592110893375	0.665049426701	0.608569323764	0.604870451913	0.605733379461	0.587869542268	0.639280992835	0.58614635618	0.582992167879	0.625571539587	0.56157932779	0.673465047909	0.703687383274	0.62437299807	0.569621646788	0.544640947713	0.56810088932	0.589798290906	0.572126200976	0.57963976751	0.597041226958	0.567655059719	0.60284395499
CS.028	0.477997441804	0.568244579561	0.576877208853	0	0.536472416354	0.543312305517	0.569310527927	0.615529023942	0.563245014005	0.633014344765	0.530745130312	0.660221545475	0.534761591953	0.501176018392	0.489667182763	0.642420747067	0.527151009499	0.7143527789	0.645872599995	0.579818690938	0.506369638921	0.725416983493	0.624126147606	0.710465074902	0.595350282915	0.612415518567	0.593419111292	0.562850829596	0.643153378494	0.600578331232	0.664703161289	0.663006186937	0.656613767377	0.657539720186	0.572436537746	0.598103721576	0.655877670264	0.694094389771	0.64149443726	0.56990554659	0.709135206552	0.640737055671	0.537114088451	0.7406917472	0.493182710793	0.70046337447	0.714638709261	0.67036672393	0.608621418545	0.614544521822	0.626963047778	0.595042279625	0.640704209906	0.692349204658	0.700870477755	0.629001881737	0.620345000254	0.653316768471	0.623910233016	0.592296506424	0.546133028589	0.567021216493	0.581983486029	0.564402356028	0.652040049273	0.614765854687	0.735929629011	0.589525993966	0.642931110044	0.583699401771	0.550635066851	0.600613846635	0.599793166501	0.564699795456	0.705869813788	0.575424545653	0.564097569009	0.530951809694	0.580634471103	0.516955295639	0.557746942427	0.557845026241	0.556231122404	0.515582860809	0.538445849333	0.553510163542	0.561056760374	0.567765741394	0.534403020317	0.532683596708	0.505812837269	0.579187416847	0.658852426738	0.531343414408	0.608419352033	0.53023942613	0.542925592837	0.683250416096	0.464574936739	0.532958776384	0.612954830526	0.477603043409	0.577929754757	0.60108517619	0.59245910861	0.590334210756	0.634670737599	0.743264098257	0.617040592762	0.729057602125	0.561531644811	0.632285358553	0.605500931433	0.612305406569	0.621898653335	0.610698020954	0.536382663683	0.63614555672	0.68301582532	0.687183580287	0.555475534669	0.58632381923	0.570434005227	0.642324628319	0.684129902519	0.732819036974	0.561316870275	0.663389595264	0.647395890817	0.672294866077	0.549274459137	0.648936638827	0.539065795289	0.658767818462	0.676833095256	0.608290498367	0.596202217834	0.627301047232	0.706458562808	0.609817431898	0.639306742463	0.64621372983	0.638544212243	0.627484386929	0.537870298529	0.564673913516	0.653114537881	0.541678845313	0.608376112398	0.596036563516	0.559833856062	0.633240772865	0.581132070601	0.526008405139	0.601753581558	0.551539161973	0.645684204209	0.708938805589	0.627922986259	0.580705423426	0.574706541185	0.567588688638	0.546384161918	0.544497264057	0.538300734664	0.632411310734	0.610703674724	0.565247241007
CS.265	0.48235361706	0.522438689009	0.591206303853	0.536472416354	0	0.508258729675	0.593650348217	0.644710651861	0.579407521782	0.698602020123	0.508409455416	0.672876020627	0.611861516411	0.574148356771	0.481863844711	0.692847080864	0.592093899351	0.775093957464	0.702717484724	0.598706389719	0.579960382836	0.773420678678	0.634476929437	0.745203573034	0.682082907472	0.61780145226	0.620760758102	0.568524907997	0.721666804386	0.644328653518	0.716739709643	0.724382770384	0.678653483704	0.712957457918	0.571146621457	0.688949008475	0.696822014035	0.730830094843	0.684532601052	0.656820731655	0.768225495058	0.685554477987	0.623203923948	0.782217770551	0.552531139558	0.741235439601	0.746438636878	0.68499099083	0.614564203431	0.622830151047	0.643768481077	0.601330962779	0.655680617617	0.700166737802	0.723669420031	0.65386619247	0.642861246845	0.67993284431	0.642104824938	0.591512541078	0.496216712753	0.563753073085	0.569054820681	0.614628448998	0.701304141959	0.65815129856	0.775422903278	0.587474976604	0.659388573003	0.583785849523	0.502816371107	0.64299117721	0.642110465277	0.593450448843	0.7301431594	0.597009342829	0.50384373438	0.452338422379	0.599350704724	0.495054666716	0.562121020537	0.476281700573	0.556812571179	0.492292225784	0.496057920408	0.499498683213	0.539964648246	0.572775635351	0.502429025201	0.491110313033	0.582547438837	0.664682796926	0.719109511033	0.575195447001	0.650916149509	0.513637299664	0.616922328671	0.750851270923	0.526054929374	0.535626561125	0.614122600618	0.511741759423	0.630303817112	0.641662639619	0.584241178575	0.669657037636	0.723511667342	0.772974253	0.671682629799	0.785787265397	0.639854187179	0.667443372266	0.643066028869	0.653296233742	0.645387901467	0.647431355514	0.568820669202	0.684654596021	0.76185357791	0.720338647856	0.652606925928	0.616074551369	0.670768326636	0.680688670659	0.695330817391	0.77151346117	0.663662864014	0.702224179748	0.665247077851	0.714534723984	0.541034133798	0.696908332727	0.546744710971	0.716098726716	0.72426818275	0.645779981715	0.623070762748	0.677284177744	0.753436441053	0.615078073845	0.6928871714	0.684745293575	0.695987241037	0.675644809833	0.49675472575	0.614926184529	0.684785023821	0.51052594462	0.612122353044	0.607737810048	0.576030789062	0.668011649939	0.592035914141	0.547374016214	0.63593972645	0.530979346262	0.693307578703	0.740288399448	0.647299772177	0.574332177008	0.617240491992	0.57159594321	0.483326994976	0.512250764839	0.471312210241	0.642196703452	0.638609272265	0.556340680986
CS.280	0.54177955393	0.455031831731	0.586600434814	0.543312305517	0.508258729675	0	0.546236670922	0.655014313093	0.450813250343	0.681022496639	0.484532350295	0.661754829739	0.562570431775	0.609331128897	0.491874071435	0.703310935782	0.529324207993	0.76552556273	0.705525928084	0.60979255994	0.550046268526	0.757462310587	0.560696645692	0.736494095672	0.664030645923	0.662460417018	0.645939409486	0.57062765614	0.727907026435	0.598410144367	0.719511470885	0.706029949544	0.668315097551	0.704310659898	0.545480431433	0.688477680879	0.686518119572	0.712662869223	0.647176941288	0.670300121084	0.731263231311	0.677191558095	0.629496186629	0.755003291566	0.554528129687	0.769965886015	0.762900913484	0.710514499742	0.605482957557	0.661795399528	0.646941198934	0.610717754627	0.671656590594	0.689051650517	0.714025187124	0.655362750828	0.661849988245	0.706826340424	0.676175358319	0.621268593738	0.459565326677	0.482219066648	0.572354524775	0.634925914248	0.657471928385	0.669349096341	0.764501041503	0.520661855146	0.670854271249	0.578885343142	0.5096499244	0.56476078702	0.605885995898	0.543023406629	0.697464290406	0.54110445701	0.444425316184	0.435112588112	0.520488488491	0.493971709438	0.472717562004	0.452190767864	0.562161908613	0.535036913122	0.573070808076	0.492666156967	0.452806231356	0.496503969839	0.453661668358	0.476461596399	0.579906082556	0.671130442555	0.64935691803	0.495306638857	0.588412205483	0.482841361174	0.562714857254	0.702067763834	0.562269529028	0.509548550178	0.53338649497	0.561705667993	0.562769236677	0.650237232432	0.586423625843	0.615349164241	0.714283458227	0.769484429833	0.6061904357	0.765409975335	0.637981429162	0.660489147477	0.651746062106	0.613425400906	0.630815593729	0.642061164606	0.506338221322	0.682010669294	0.699328441869	0.695071542771	0.626050834909	0.598456186404	0.666855756448	0.685340921362	0.712436220487	0.75382051263	0.684947815559	0.664365922501	0.67526973762	0.683113425422	0.526069377314	0.672617721329	0.592938306462	0.678938612717	0.682985179559	0.63799138223	0.618084880735	0.672385334812	0.753098372429	0.585169449734	0.688645749424	0.66472178472	0.684852840419	0.66959556546	0.468897721871	0.549014724262	0.610284068336	0.471674188621	0.529904197644	0.525567264275	0.526575327799	0.593417274613	0.511096721741	0.538112879025	0.585903193743	0.481259994081	0.652196854494	0.741336787612	0.606599416376	0.455740873916	0.523524988416	0.518061260155	0.457050701988	0.451949466708	0.432423887436	0.542652411111	0.522334794575	0.494252711599
L.011.M1	0.567935434728	0.549505748843	0.567610181279	0.569310527927	0.593650348217	0.546236670922	0	0.595715298211	0.525609836996	0.602168434004	0.524862534258	0.624626140746	0.503427256054	0.591360276264	0.571503784099	0.662420481486	0.523784084735	0.731008213688	0.632792742122	0.59119451107	0.555148304421	0.720350128826	0.534759188169	0.685224818629	0.620461485746	0.60806018519	0.574852086047	0.56246498923	0.662447468165	0.597747437167	0.662444703589	0.663222928449	0.608048133486	0.652469410487	0.538804515019	0.637035745726	0.632732732812	0.661169181163	0.594840166903	0.603243593865	0.706200452729	0.630053133342	0.599678016148	0.743057912451	0.575735591339	0.724543786295	0.722526637025	0.671120911291	0.607194354674	0.601335445098	0.598803870453	0.57604000829	0.612791627984	0.644660705363	0.674446072909	0.613464924256	0.640414010088	0.66351892512	0.605058088593	0.614177459155	0.529435432955	0.534230030381	0.567995843871	0.611244129934	0.64094183056	0.588290546616	0.725126607773	0.526003236099	0.629191641126	0.594055918912	0.607306859824	0.53444155585	0.582756823941	0.545808257869	0.664483436994	0.516837927653	0.499823680545	0.567197740942	0.500139781225	0.541306838848	0.528474481072	0.516618572419	0.563478986711	0.587235095922	0.621138785496	0.580069580962	0.556206966745	0.50688466224	0.553931610026	0.56090026771	0.570927537857	0.633880152769	0.627452877839	0.52334781628	0.595770286554	0.527157132672	0.563951096746	0.659959225341	0.573102356049	0.526297869501	0.573718910253	0.573934387941	0.570821073325	0.633132630708	0.550525132271	0.565040501739	0.669851804418	0.738487389569	0.560609834652	0.721443911763	0.613212562074	0.621611801918	0.59020225462	0.567686831182	0.58774703606	0.649532909615	0.560255554707	0.661868612535	0.633657077325	0.646980239977	0.582284946899	0.588046874319	0.627791590479	0.611988605332	0.657533497019	0.716796302117	0.610672221374	0.625288155943	0.611032687177	0.622975591238	0.520725184805	0.614414251974	0.56277706058	0.639965119695	0.611656071137	0.595876864274	0.59308636473	0.631098987612	0.727447416651	0.534089740892	0.638177137999	0.6119968543	0.620981770163	0.625863132464	0.538737228948	0.565848854384	0.575889051779	0.537390651423	0.574471415602	0.525852468982	0.518633824746	0.565804478862	0.549572459152	0.605508970774	0.579158076987	0.545817175949	0.623438330643	0.697027832768	0.564696470067	0.540374973543	0.553027448413	0.54802101018	0.556760258447	0.510684599643	0.521722690412	0.588226520099	0.57314811745	0.522049317439
CS.260	0.639276020216	0.641944146736	0.645758504418	0.615529023942	0.644710651861	0.655014313093	0.595715298211	0	0.61822096267	0.536950806256	0.623578240713	0.61443040226	0.599186164696	0.587422561474	0.64730870368	0.611867770007	0.616199901071	0.621281048629	0.561988021649	0.530641656249	0.64413670315	0.632318131271	0.56368817311	0.555085894213	0.642037130457	0.53288735932	0.508092525325	0.565356734692	0.63172811031	0.637943724038	0.642787042628	0.632727743391	0.510997819574	0.566759811386	0.59841714433	0.568762011586	0.506692760779	0.548901749385	0.57966629134	0.548223909469	0.619158937072	0.563997530404	0.568868383081	0.660942984601	0.590410870465	0.60856775813	0.621241107301	0.587369997801	0.583755759492	0.551645824872	0.536736602979	0.521065852647	0.535123902101	0.591001557847	0.647996377368	0.554434292844	0.598202799552	0.587879664153	0.548239945256	0.578573223997	0.606010151511	0.617453834032	0.558945618197	0.633304892961	0.575453572822	0.600820292726	0.684513790612	0.619279100695	0.523734242707	0.58163212013	0.671342612283	0.577625314218	0.622901399759	0.595679375413	0.64565138156	0.582626152073	0.637917362967	0.64538929194	0.587961271146	0.616086288636	0.638092401515	0.613827922977	0.639167052927	0.599244652998	0.655952939558	0.658838145418	0.642617558876	0.597567437031	0.659737334079	0.633217473664	0.624252523422	0.601885963987	0.673730294405	0.653920030758	0.632613634289	0.597248380922	0.62189834586	0.620327298176	0.605680199194	0.606537215707	0.665685254847	0.613148668724	0.675427195555	0.593148022039	0.60278054373	0.620850907243	0.600762102634	0.63361977915	0.612180460365	0.633329086555	0.595807973547	0.556730020879	0.524733278005	0.542404000448	0.544085411905	0.599867695835	0.607522392489	0.597622066409	0.621273162915	0.554810451069	0.590126704134	0.538342757866	0.577516835934	0.514035351848	0.531514026873	0.591354057865	0.571581240713	0.571655220142	0.547673751741	0.593827058816	0.565526642113	0.552501895743	0.543640204776	0.650434920838	0.609731391189	0.540837468473	0.557549657894	0.547630770139	0.616630543067	0.559218159724	0.62237146505	0.560016790122	0.574274137475	0.544788568389	0.633570357405	0.603386472479	0.567658933388	0.618957307215	0.620662342198	0.606427072807	0.604543651466	0.578866318016	0.601777835082	0.629487665467	0.596806180569	0.663574142647	0.564377548882	0.613396036904	0.617085916196	0.63319713624	0.63192404025	0.592947726278	0.654895262054	0.613325477607	0.639427594239	0.639487946026	0.651835461773	0.590299476357
CS.357	0.587388560257	0.43550604214	0.56341854553	0.563245014005	0.579407521782	0.450813250343	0.525609836996	0.61822096267	0	0.657663264997	0.470952335081	0.647882636849	0.534864640983	0.60260885476	0.54528607312	0.713265099847	0.516811222709	0.751383953064	0.674449950846	0.586157631979	0.52837238594	0.724851914834	0.472240760006	0.72176426159	0.648315034317	0.659250711979	0.600558852848	0.556935111856	0.695954614561	0.539799595341	0.709467358915	0.69242509816	0.634496135053	0.667491730369	0.521280414668	0.669822349915	0.641273442965	0.671592306435	0.591302416901	0.63181466994	0.686802468271	0.636296781555	0.617908544388	0.73526244565	0.562411440525	0.76679167656	0.762719119872	0.709344884479	0.603521524985	0.654892624838	0.642269973076	0.598171844669	0.659832294968	0.678770142841	0.715736094873	0.656272202911	0.677892009877	0.714323462633	0.661692639237	0.637522466341	0.460016706982	0.423059757968	0.576863426437	0.645787915518	0.615300253012	0.612632389547	0.736228447748	0.491426835936	0.632481630435	0.552395291541	0.537629891403	0.511864908569	0.586704116885	0.537170218809	0.667912549047	0.506713290172	0.442083386214	0.498962873185	0.51246613757	0.521793149016	0.442053082828	0.472120999217	0.559474775174	0.5617716622	0.622704670422	0.519984223825	0.473977631812	0.487478502935	0.487426929931	0.487033967478	0.573935714948	0.64440959835	0.613052949163	0.498846463687	0.53663613758	0.473956343039	0.55265729019	0.659866127917	0.580528172667	0.50826434403	0.482457487156	0.577326538537	0.530398153378	0.652670405809	0.544404891832	0.576411076163	0.687815113077	0.744919822031	0.525865630001	0.738135342534	0.622548649996	0.634814646768	0.625022809565	0.57773084776	0.591696720216	0.639156527084	0.457912196359	0.662952907005	0.647321377734	0.654503103066	0.602320696805	0.595477121366	0.647371061146	0.633985445963	0.669383156278	0.719361266187	0.640222666374	0.615171770936	0.65269741548	0.604713350562	0.520331511531	0.629609573223	0.570489421497	0.630981763408	0.643183890846	0.611959927035	0.6161410873	0.661738411008	0.74438501472	0.562131223442	0.675625273821	0.658385581414	0.665798550276	0.668644012771	0.486769425608	0.497042607378	0.531555742999	0.461611105479	0.435289888325	0.467160286757	0.493757518959	0.540521751642	0.500621023751	0.550062764286	0.523618371704	0.472727678043	0.62037959111	0.717245670461	0.529780403708	0.431904390748	0.486569392396	0.471064605859	0.47318234456	0.429241941694	0.455427022059	0.466288339395	0.461489893267	0.443793784458
CS.009	0.650366756431	0.672290457394	0.641342073386	0.633014344765	0.698602020123	0.681022496639	0.602168434004	0.536950806256	0.657663264997	0	0.665949221892	0.602095557998	0.590010450043	0.603399588221	0.657916398314	0.597147419225	0.619651745003	0.615111736164	0.532651613718	0.601952673615	0.645515894049	0.59473305734	0.59893384209	0.586532065326	0.624178078781	0.583770206243	0.540512996769	0.615140559726	0.608970575352	0.613292553613	0.630286340639	0.613109928489	0.531801221913	0.558015245483	0.652639667241	0.595514291737	0.541918766906	0.58475121132	0.602487294767	0.560559363159	0.603493442011	0.56145435054	0.578433419139	0.642796401354	0.634918161888	0.627277305063	0.609839805315	0.611224237913	0.632850117688	0.60544370226	0.609215514712	0.595569404944	0.592226084426	0.60418926753	0.635584782437	0.606754307319	0.611847478471	0.618463534988	0.602422238962	0.607911464799	0.668023983452	0.666356256168	0.617269541058	0.625656368166	0.582675652413	0.611205423151	0.70521276582	0.636746319197	0.593618080939	0.636427804406	0.699618936048	0.61997229537	0.612449408344	0.616071801146	0.660981209341	0.611693729112	0.670708148041	0.680989404916	0.609744169359	0.652440722394	0.657765237738	0.671521706415	0.642189335002	0.622014377839	0.686530064668	0.686965709464	0.67049653925	0.628146621735	0.689741177439	0.674088813447	0.632411675115	0.582546974503	0.642821720241	0.659568435171	0.61471763074	0.63281639909	0.620274437303	0.627426857181	0.621544069523	0.634799909827	0.661637953451	0.655688634315	0.664500505875	0.587925323562	0.579558938691	0.603174440501	0.577111692507	0.625164324812	0.612332073921	0.606146144334	0.577550430449	0.580665274535	0.552241030794	0.569729091105	0.613584888987	0.58056765455	0.675253478718	0.627379048171	0.587738990223	0.586271542679	0.577058096068	0.568184810586	0.548960809737	0.545814811657	0.554743040961	0.580142356305	0.556702691127	0.578799445241	0.576785460374	0.612777959024	0.635730578186	0.56008943728	0.593051098241	0.656777799921	0.60242964483	0.560966726213	0.57862009549	0.592650881523	0.647751538432	0.61317226882	0.633567218902	0.604833024523	0.5860174377	0.578349923625	0.683583373645	0.617434212085	0.607836978109	0.667571069175	0.659118007618	0.631320323359	0.635783302765	0.614722126282	0.632012233495	0.627140839535	0.635024891151	0.680959881044	0.565432275096	0.611766401303	0.634291971661	0.659973354986	0.639711681707	0.61774321497	0.700229509335	0.668117907362	0.691572907621	0.642320277559	0.656939960711	0.646819993239
