CS.038	CS.357	CS.313	CS.108	CS.257	CS.244	CS.092	CS.028	CS.091	CS.011	L.004.M1	CS.059	CS.104	CS.086	L.008.M1	CS.368	CS.373	CS.154	CS.118	CS.077	CS.062	CS.381	CS.058	CS.064	CS.066	CS.365	CS.040	CS.230	CS.335	CS.248	CS.378	CS.375	CS.205	CS.232	CS.224	CS.282	CS.380	CS.126	CS.125	CS.236	CS.203	CS.128	CS.374	CS.136	CS.213	CS.349	CS.323	CS.254	CS.268	CS.389	CS.256	CS.359	CS.386	CS.183	CS.369	CS.385	CS.182	CS.177	CS.214	CS.147	T.CS.058	T.CS.041	T.CS.062	T.CS.034	T.CS.003	T.CS.089	TFS.023	T.CS.020	T.CS.029	T.CS.050	T.CS.035	T.CS.052	T.CS.059	T.CS.082	T.CS.048	T.CS.123	T.CS.124	T.CS.104	T.CS.167	T.CS.119	T.CS.100	T.CS.161	T.CS.115	T.CS.106	T.CS.180	T.CS.107	T.CS.144	T.CS.114	T.CS.132	T.CS.128	L.024.M1	CS.110	CS.006	CS.356	L.034.M1	CS.241	CS.085	CS.015	CS.088	CS.246	CS.242	CS.237	CS.103	CS.082	CS.238	CS.346	CS.187	CS.189	CS.347.0	CS.387	CS.325	CS.304	CS.188	CS.151	CS.207	CS.165	CS.212	CS.330	CS.311	CS.233	CS.194	CS.319	CS.343	CS.318	CS.285	CS.158	CS.080	CS.152	CS.361	CS.163	CS.202	CS.331	CS.320	CS.112	CS.322	CS.262	CS.370	CS.393	CS.145	CS.270	CS.390	CS.253	CS.326	CS.255	T.CS.055	TFS.021	T.CS.026	T.CS.061	TFS.020	T.CS.031	TFS.027	T.CS.064	T.CS.043	TFS.022	T.CS.045	T.CS.036	T.CS.066	T.CS.008	T.CS.049	T.CS.109	T.CS.166	T.CS.095	T.CS.142	T.CS.158	T.CS.157	T.CS.152	T.CS.141	T.CS.151
CS.038	0	0.585117218229	0.632755214689	0.675162454865	0.583333628064	0.626139845748	0.647891260152	0.613276307419	0.667419922978	0.650425792179	0.616535912812	0.617676906963	0.56420632761	0.593135956974	0.642438547322	0.628081283172	0.651770043949	0.722167874037	0.547945011939	0.591366515965	0.5512601732	0.619674594015	0.623662226201	0.628022917876	0.518164327775	0.560419711603	0.551531413127	0.654003572904	0.72987233251	0.661030143115	0.649792805929	0.58717103376	0.71307370828	0.627277032589	0.727361790971	0.709110439488	0.625560050723	0.604022038325	0.664624441451	0.692224244828	0.559526837153	0.623604274623	0.667886428206	0.635921181515	0.647259120987	0.6830024052	0.693665510885	0.69045877889	0.691776302697	0.665969866199	0.677616082149	0.709503628504	0.689683689632	0.716447156377	0.718540965444	0.69073406795	0.666298486257	0.670968508571	0.641379084465	0.648355647868	0.589121244743	0.589017808646	0.587341446789	0.606985167712	0.614632372279	0.636273544825	0.614634805769	0.666977860205	0.642228007355	0.586312935839	0.588533657448	0.677208857157	0.617924933343	0.577656504225	0.589320241801	0.587442861979	0.612341748537	0.626826453574	0.600391110286	0.680117085682	0.637713682316	0.66186909846	0.649672312791	0.656973071	0.617116178072	0.603109274675	0.58459702762	0.629359695708	0.687327956487	0.679750373278	0.610899385332	0.633353692525	0.552378418456	0.660184134078	0.587356132069	0.577303333726	0.62554840771	0.554297736683	0.553756264671	0.60129251927	0.601892678024	0.642717331999	0.608201808958	0.64229029331	0.563787294469	0.696506411851	0.662765689562	0.669250898525	0.656951753789	0.613526599652	0.726712721085	0.683970796742	0.651470506156	0.651478020822	0.668944361581	0.615518630285	0.635684501482	0.640644415264	0.56414662081	0.623120865059	0.7254713469	0.66863967781	0.682554257443	0.672898123743	0.684674597611	0.620506773932	0.59265040114	0.636923642873	0.622936140405	0.610836862277	0.60910517548	0.675882631422	0.643631490777	0.602645670735	0.684369578176	0.64291908768	0.658407476175	0.633525566314	0.625390690353	0.683841832175	0.678276907978	0.718015823226	0.672465608123	0.671428931235	0.609807009013	0.611459476627	0.706325063604	0.581749985932	0.636949472211	0.577076064037	0.577030482367	0.577889420402	0.594358706501	0.64229982795	0.595695275287	0.643356068203	0.62869902613	0.578118425602	0.648635331824	0.635168121496	0.628072452648	0.634895553445	0.564196286073	0.619464719541	0.550469752086	0.609227033845	0.566086657375	0.579503387823
CS.357	0.585117218229	0	0.470952335081	0.614730294705	0.56341854553	0.665139736093	0.587388560257	0.563245014005	0.667841656743	0.557181782291	0.43550604214	0.535131108519	0.534864640983	0.534254391523	0.644627506456	0.497387890947	0.600558852848	0.761909136903	0.587098082542	0.556814266748	0.516811222709	0.556935111856	0.620163279063	0.603101285384	0.559863592588	0.466861143903	0.584089437899	0.691503927993	0.736851361485	0.650300485069	0.69242509816	0.591302416901	0.671592306435	0.562411440525	0.73526244565	0.662647240439	0.521280414668	0.500182727453	0.634496135053	0.709467358915	0.478438606729	0.586720838443	0.636296781555	0.63181466994	0.667491730369	0.654892624838	0.642269973076	0.659832294968	0.706333363497	0.656846341179	0.667526566011	0.716832103199	0.715736094873	0.762719119872	0.76679167656	0.661692639237	0.598171844669	0.678770142841	0.637632552487	0.661172718842	0.555466713508	0.537170218809	0.473406270332	0.491426835936	0.423059757968	0.575489403107	0.500402341537	0.537629891403	0.626109438997	0.586704116885	0.536702264763	0.632481630435	0.645787915518	0.502529173462	0.540117896201	0.506713290172	0.50459195657	0.481505208722	0.442053082828	0.607187833556	0.519984223825	0.5617716622	0.498962873185	0.476424950289	0.559474775174	0.442083386214	0.473977631812	0.5522072805	0.553106416212	0.569839479843	0.482457487156	0.652670405809	0.479922809653	0.659866127917	0.544404891832	0.498846463687	0.580528172667	0.530398153378	0.613052949163	0.50826434403	0.473956343039	0.64440959835	0.573935714948	0.577326538537	0.55265729019	0.73349157253	0.625022809565	0.639156527084	0.688079457003	0.57773084776	0.744919822031	0.696398606333	0.608364430361	0.592834795212	0.691225570931	0.647321377734	0.624878384019	0.634814646768	0.576411076163	0.596790727504	0.719361266187	0.629609573223	0.615171770936	0.633985445963	0.734284204762	0.647371061146	0.602320696805	0.520331511531	0.643183890846	0.645604466734	0.630981763408	0.570489421497	0.595477121366	0.640222666374	0.669383156278	0.665798550276	0.668644012771	0.675625273821	0.562131223442	0.661738411008	0.658385581414	0.74438501472	0.611959927035	0.6161410873	0.500621023751	0.529780403708	0.717245670461	0.540521751642	0.461611105479	0.497042607378	0.467160286757	0.493757518959	0.435289888325	0.486769425608	0.523618371704	0.550062764286	0.472727678043	0.531555742999	0.62037959111	0.455427022059	0.443793784458	0.47318234456	0.466288339395	0.429241941694	0.486569392396	0.471064605859	0.461489893267	0.431904390748
CS.313	0.632755214689	0.470952335081	0	0.581276334757	0.549053596329	0.621039494121	0.509906655239	0.530745130312	0.671904410655	0.498286329921	0.460510020975	0.526235558932	0.565319041751	0.518120325161	0.651285598096	0.537812156665	0.598983639998	0.787919222209	0.59208425213	0.58441308908	0.527584472834	0.572219636794	0.618339565596	0.584949294432	0.586472217767	0.533549622821	0.605395689474	0.716545608369	0.75749157889	0.642146078873	0.701442878598	0.64597125113	0.71358531448	0.533426395635	0.76374399537	0.691718754956	0.546801281114	0.544803411308	0.658722126859	0.700617456038	0.564630661321	0.592316118378	0.670260835993	0.634855015627	0.687466091374	0.643098722494	0.654950268911	0.66133099871	0.683537881184	0.656232096453	0.673698137899	0.737695658436	0.72116040802	0.7599803275	0.753933956078	0.661040140784	0.582671170378	0.698594557715	0.667614848209	0.67403022959	0.567657120218	0.550294616284	0.485516361536	0.524486001802	0.46929572842	0.587412206275	0.577623638392	0.506850009999	0.623980580336	0.601806274097	0.572906309316	0.656645967387	0.581471461987	0.545279649897	0.559003340156	0.516321570938	0.483658191623	0.458992309796	0.486708760449	0.524933127494	0.502212753952	0.494499793947	0.465237809107	0.451983924886	0.565104874074	0.490464615991	0.505546736846	0.518257747361	0.494664935282	0.547376383807	0.52986100434	0.651061773497	0.546624774453	0.693809934226	0.565093007769	0.507771044761	0.525880026631	0.564461276063	0.658235369826	0.504593259246	0.483635617193	0.649306482988	0.560390852785	0.519289022392	0.555225200205	0.763113375951	0.635636272917	0.638775981878	0.694427542231	0.613536926987	0.76259378724	0.697775502146	0.657864863586	0.599669722412	0.679035518396	0.70508269925	0.679153343871	0.638876819953	0.616132413776	0.555822729391	0.759833138129	0.661713932469	0.67433403683	0.660154415821	0.738746008629	0.640434508291	0.611903352758	0.521563086615	0.68054506525	0.658638772941	0.664969656072	0.551645181564	0.604808406059	0.65846271487	0.695594991012	0.670708322128	0.67680637691	0.672463924333	0.598930983647	0.671558142555	0.666602117711	0.734025716213	0.615091081697	0.613001909877	0.535203897784	0.590995133126	0.72286326063	0.59925395294	0.482307704799	0.546131428732	0.536637777444	0.524168666287	0.542558460426	0.483453173245	0.573268972662	0.528484620755	0.494640267241	0.619134021488	0.643153646101	0.435871775913	0.4828922518	0.447983560632	0.54990906906	0.471813178089	0.524760276271	0.516917858569	0.550013016297	0.500649630805
CS.108	0.675162454865	0.614730294705	0.581276334757	0	0.618188283886	0.630246543122	0.481816482989	0.563028258312	0.650755205991	0.466918991188	0.609101669745	0.595199303995	0.579524170728	0.541237118648	0.705113644714	0.613249642675	0.630269879409	0.772073737393	0.596384153532	0.594323134776	0.578134446965	0.611172303843	0.609826128174	0.566606949398	0.602611736653	0.624784724268	0.58087556987	0.706351735433	0.807270117436	0.614994796992	0.69643164077	0.69575735881	0.754435078122	0.563858788711	0.780521028466	0.706344858219	0.635784201329	0.621742091082	0.700308803771	0.615258462161	0.650741300102	0.636381270632	0.688588316297	0.61955417632	0.7034105504	0.653229826896	0.656151172534	0.687604268776	0.661103653651	0.664662186136	0.711775704714	0.718154022571	0.715280205133	0.745671603289	0.718455294008	0.646633553129	0.618714243578	0.713517870944	0.685027327692	0.690989720148	0.63785689231	0.650432791946	0.606659644071	0.644232048803	0.625546902265	0.663710589519	0.703881354875	0.527876846947	0.619353552988	0.653709742895	0.642042886002	0.671556652642	0.581061701963	0.644461835963	0.655573996843	0.641619313975	0.569051978146	0.581282809299	0.634966560514	0.537091790014	0.594752535039	0.60376506282	0.569117925187	0.591985596448	0.55293400217	0.599604510858	0.641650161272	0.570847815337	0.578438909881	0.537226761899	0.648391242419	0.656434132582	0.59855774507	0.744868203239	0.646801862211	0.56261165017	0.539053443715	0.629769912551	0.707689012166	0.597846485898	0.58212073651	0.638700342033	0.541489440763	0.557750966523	0.612874635896	0.746561603118	0.66116474601	0.641205536784	0.706839967616	0.692764869719	0.799549498753	0.703149294509	0.741246304081	0.616620305977	0.678525969328	0.753827902935	0.760532973776	0.687311335538	0.670009493625	0.548478879519	0.794081890016	0.689535647975	0.700565052191	0.696518266702	0.722404976855	0.623309530314	0.616123529981	0.593871496403	0.727123513557	0.626054485675	0.710815808917	0.557349938676	0.659010531098	0.633456291713	0.735841279714	0.713799002089	0.684903895609	0.685806889258	0.655851877472	0.693527965942	0.670546137065	0.732181433534	0.643846218538	0.634953383515	0.621592454437	0.682027830075	0.747437092106	0.704235520283	0.572256751006	0.644496561173	0.681137539211	0.632346042665	0.66646115203	0.597133875974	0.666140650246	0.532379150975	0.599751102397	0.734897893353	0.721349586171	0.601302677232	0.634117877209	0.608237505542	0.719891352164	0.610255465434	0.641204845789	0.616854368196	0.686151559378	0.679283028435
CS.257	0.583333628064	0.56341854553	0.549053596329	0.618188283886	0	0.556146552928	0.562538426763	0.576877208853	0.684295709462	0.594053488332	0.600716724123	0.615426840186	0.568444354174	0.539368988944	0.647476108654	0.608359161843	0.622693262785	0.714853016104	0.541412465535	0.617979886608	0.57035699212	0.627077482134	0.611179500299	0.608284368104	0.56142034804	0.580416094457	0.598501231434	0.682047390343	0.739436883275	0.65711234594	0.646542925896	0.629748446717	0.706015462615	0.597625536921	0.724118154691	0.707886251963	0.62933262169	0.622596766941	0.66597921277	0.667032001088	0.603010392888	0.618077797979	0.657079042212	0.609989367879	0.653234439105	0.67746793757	0.681686086323	0.667803169244	0.64679410016	0.660976255966	0.668875486062	0.726438231947	0.682017432252	0.712715445918	0.705579161521	0.675779308509	0.646066424678	0.675242613766	0.673171045756	0.677120753673	0.597258416682	0.599408580257	0.564411149203	0.590960342959	0.599861476301	0.655958893852	0.629564387453	0.613964276703	0.592301852524	0.595372996598	0.601271125634	0.678538105313	0.570122475452	0.606703943171	0.597686213048	0.577177159747	0.544018977561	0.560006071724	0.561582738337	0.578597737206	0.567382475707	0.563390825051	0.590982453576	0.608313141895	0.546393218991	0.586908659566	0.559113759298	0.544324040736	0.607859431419	0.602829838765	0.569840606645	0.606347505856	0.548212507918	0.676566963988	0.545160737023	0.582594892475	0.55671655141	0.590102981281	0.612052854074	0.565376535847	0.564726952726	0.609821576093	0.591589105153	0.586367880088	0.593047114125	0.711318870222	0.640870896328	0.654491300778	0.668994103837	0.644281824844	0.742968991298	0.694169093874	0.697566239163	0.647631787969	0.65281321166	0.67310070446	0.693818804639	0.637185930516	0.612004199906	0.565461844029	0.735340631457	0.679715643257	0.665737253071	0.677072340007	0.70964263899	0.59209289659	0.603479423715	0.634077495452	0.667416967118	0.612099132449	0.649229131108	0.602499798736	0.63594887467	0.601581358496	0.691036550117	0.659313680397	0.673956583745	0.641780678641	0.653776816168	0.673156712256	0.677606143492	0.702532078021	0.638374842827	0.63594375857	0.58614635618	0.62437299807	0.703687383274	0.639280992835	0.608569323764	0.592110893375	0.605733379461	0.587869542268	0.604870451913	0.608443853105	0.625571539587	0.582992167879	0.56157932779	0.665049426701	0.673465047909	0.57963976751	0.60284395499	0.589798290906	0.597041226958	0.572126200976	0.544640947713	0.56810088932	0.567655059719	0.569621646788
CS.244	0.626139845748	0.665139736093	0.621039494121	0.630246543122	0.556146552928	0	0.606436875487	0.608291354915	0.69449468758	0.640379083952	0.674045605335	0.668649617921	0.649058498438	0.601628153429	0.700766911999	0.681302218685	0.682788978355	0.743607189449	0.585108605016	0.649562727958	0.638225973912	0.665067621229	0.656340332356	0.641315438043	0.587028358657	0.661756478343	0.635888495599	0.726263604722	0.775569938561	0.690122283076	0.648783586055	0.694202310372	0.781858657961	0.635186776856	0.772240088393	0.759624060601	0.69780066151	0.69899188571	0.738808595499	0.715727968228	0.687010583772	0.697668670977	0.706308103449	0.663828655128	0.729035309584	0.712982009257	0.749643312717	0.723772798833	0.683021974465	0.718952928286	0.700802910591	0.742606319994	0.707281266066	0.740894557574	0.73956133813	0.721829827605	0.710325323932	0.720382737715	0.717829569437	0.7161954895	0.644971360638	0.647965060673	0.628082012085	0.670918323851	0.669875236303	0.71351095626	0.715116377894	0.636978258628	0.630470138635	0.631359550726	0.674310322338	0.731396270345	0.567581524121	0.666681018739	0.644789950892	0.631686882518	0.570479585533	0.641602213289	0.628479836997	0.633335451602	0.629220442054	0.601904075986	0.662041434167	0.671490585392	0.60538800245	0.680431584895	0.65069764491	0.574951748442	0.672577099701	0.666179826864	0.635049522471	0.650505874128	0.607812825098	0.715356863333	0.637973158821	0.651360588902	0.589427671337	0.642101809161	0.673104869942	0.642865836815	0.629301778608	0.659267462666	0.629868790159	0.626062214953	0.636586261455	0.753475198568	0.695124842606	0.673960864776	0.708314816784	0.698995564098	0.761485240133	0.718195770906	0.751269477484	0.697676190082	0.688757740756	0.723705583865	0.725526858198	0.700608288622	0.677193505464	0.588450913274	0.784903119674	0.749736603922	0.741896045152	0.74412855931	0.749391820632	0.640622462094	0.643272447345	0.680946605348	0.712998997996	0.632986766853	0.703267984535	0.673891681017	0.691561494273	0.636912278068	0.754203643787	0.710914767394	0.713252116588	0.679401476596	0.720374387816	0.711238916043	0.714337069713	0.727559821824	0.685607547811	0.699021059071	0.635948299579	0.682997019056	0.740755688525	0.710142472591	0.680982054281	0.642451969519	0.697266307778	0.641488116169	0.691851219051	0.67564328206	0.673817570494	0.59085847062	0.649346456054	0.717122485385	0.719447921783	0.658022698504	0.689413597157	0.650844019576	0.682813836676	0.663050564446	0.618865765505	0.664244575604	0.642195837822	0.644225361824
CS.092	0.647891260152	0.587388560257	0.509906655239	0.481816482989	0.562538426763	0.606436875487	0	0.477997441804	0.614529808564	0.451364319493	0.575046370755	0.53776968512	0.528998098183	0.466458958857	0.66971966259	0.566649847309	0.606133377571	0.766495402295	0.573011759792	0.543284293896	0.520126879053	0.575743743194	0.571804283901	0.547733328605	0.575383019824	0.573241666718	0.572090985393	0.711453806598	0.768222930564	0.593047606755	0.676799218342	0.660263885471	0.736464834272	0.49515727799	0.770399667719	0.697221577942	0.578036983713	0.589857323688	0.679071408911	0.663355643246	0.606322550755	0.623567617984	0.659196060166	0.591113103636	0.715331856986	0.626331686427	0.646964646825	0.668657771033	0.650789053279	0.654730354141	0.685248934455	0.716917786465	0.718502326408	0.735375067333	0.707620483077	0.639650532032	0.593766486815	0.695415654199	0.670444852633	0.694576948337	0.598035550473	0.596248190053	0.564045190527	0.594093843981	0.569617206366	0.624716207973	0.654704691369	0.533425738196	0.582809873902	0.613142884528	0.599238825429	0.655448251191	0.569391108881	0.584501872194	0.622494547426	0.603289025383	0.501319975399	0.515626559364	0.574525143	0.493365861124	0.530357503929	0.509737254936	0.497169342624	0.539167478198	0.537063803954	0.556008494288	0.571729634501	0.525568495174	0.508965041375	0.516823986635	0.622919932144	0.609555129019	0.553460313781	0.720201543958	0.593984568236	0.558792700511	0.463482779866	0.603814736337	0.688460773909	0.541748672278	0.52653904146	0.592659250223	0.523633132035	0.381231409451	0.551960770128	0.736445880973	0.638772323255	0.637626466807	0.695398456686	0.652993988833	0.766892348958	0.692737969413	0.702957880501	0.602361589321	0.670734957167	0.725806445239	0.72596893691	0.660774690639	0.608377930248	0.501828490837	0.779107459978	0.678793406496	0.704576460786	0.683343747902	0.712063137004	0.587426103903	0.584937837743	0.54581125109	0.693472866558	0.613202367315	0.684868211098	0.566747896611	0.640686665609	0.602706429179	0.709915295112	0.688170547681	0.672338435479	0.668899684752	0.617255196138	0.675354019264	0.663588797632	0.721671558201	0.62054539779	0.622330555921	0.597739496367	0.645291837008	0.731156729295	0.651571936485	0.533607678267	0.618978984255	0.617278145984	0.575846798215	0.620642862626	0.538721572488	0.629217257793	0.526778367554	0.556482400771	0.703196532457	0.69046480528	0.530421671606	0.590435027623	0.549419509684	0.649941842511	0.542670786413	0.592840224041	0.587925061541	0.646101910726	0.598338873548
CS.028	0.613276307419	0.563245014005	0.530745130312	0.563028258312	0.576877208853	0.608291354915	0.477997441804	0	0.630984934821	0.497181847363	0.568244579561	0.498534737371	0.534761591953	0.519621942773	0.650636538509	0.54827269889	0.593419111292	0.725875998142	0.545628644141	0.568098052653	0.527151009499	0.562850829596	0.564511995753	0.552128447974	0.574722917392	0.567808092096	0.548326186054	0.686616255524	0.743191943262	0.591174379968	0.663006186937	0.64149443726	0.694094389771	0.493182710793	0.7406917472	0.671024243559	0.572436537746	0.56823303491	0.656613767377	0.664703161289	0.594541879312	0.606927981114	0.640737055671	0.56990554659	0.657539720186	0.614544521822	0.626963047778	0.640704209906	0.636903419521	0.648213192697	0.643485380717	0.711969740445	0.700870477755	0.714638709261	0.70046337447	0.623910233016	0.595042279625	0.692349204658	0.640384107395	0.648668196591	0.584780499886	0.564699795456	0.533057064354	0.589525993966	0.567021216493	0.6043963282	0.649534240988	0.550635066851	0.578360636201	0.599793166501	0.577930782974	0.642931110044	0.564402356028	0.593097118051	0.577590945444	0.575424545653	0.506311967426	0.547601676192	0.557746942427	0.543323541258	0.553510163542	0.515582860809	0.530951809694	0.549263419715	0.556231122404	0.564097569009	0.561056760374	0.526615801505	0.555895949582	0.529050914785	0.612954830526	0.60108517619	0.529063272689	0.683250416096	0.59245910861	0.531343414408	0.464574936739	0.577929754757	0.658852426738	0.532958776384	0.53023942613	0.579187416847	0.505812837269	0.477603043409	0.542925592837	0.72559114555	0.605500931433	0.610698020954	0.653284401149	0.612305406569	0.743264098257	0.682491089321	0.69860409183	0.591558913721	0.658743641956	0.68301582532	0.670934199966	0.632285358553	0.590334210756	0.50883306139	0.732819036974	0.648936638827	0.663389595264	0.642324628319	0.700224025347	0.570434005227	0.555475534669	0.549274459137	0.676833095256	0.594954374105	0.658767818462	0.539065795289	0.58632381923	0.561316870275	0.684129902519	0.638544212243	0.627484386929	0.639306742463	0.609817431898	0.627301047232	0.64621372983	0.706458562808	0.608290498367	0.596202217834	0.581132070601	0.627922986259	0.708938805589	0.633240772865	0.541678845313	0.564673913516	0.596036563516	0.559833856062	0.608376112398	0.537870298529	0.601753581558	0.526008405139	0.551539161973	0.653114537881	0.645684204209	0.538300734664	0.565247241007	0.546384161918	0.632411310734	0.544497264057	0.574706541185	0.567588688638	0.610703674724	0.580705423426
CS.091	0.667419922978	0.667841656743	0.671904410655	0.650755205991	0.684295709462	0.69449468758	0.614529808564	0.630984934821	0	0.654158631384	0.689291533477	0.653354661052	0.598029753227	0.670424817223	0.615502873859	0.610841603338	0.576997448418	0.658042847564	0.647089752952	0.585320803476	0.627223345647	0.598561245729	0.573035332322	0.623769544503	0.664692136991	0.653793516836	0.663885490476	0.641861245666	0.655821836085	0.543966456263	0.633935496544	0.587707166895	0.599934234823	0.615556587281	0.657047273827	0.602440802764	0.649368997943	0.60254005793	0.599348945718	0.653057113892	0.65398002027	0.60204215205	0.590344513873	0.574826880994	0.592164775654	0.577915825452	0.566864684007	0.600084945964	0.602979199517	0.557448403015	0.580880283901	0.6263235182	0.633642899238	0.642720142074	0.622624559083	0.562890893694	0.583622127646	0.585747745273	0.584976202141	0.573978393442	0.657544984479	0.661827321431	0.668595982287	0.676739345242	0.670452822473	0.649197759956	0.648326974638	0.690649883975	0.644473990785	0.665626541954	0.645659959321	0.635389310136	0.666589562639	0.66500469759	0.649687464517	0.619775332392	0.668473695086	0.683044322753	0.673137505535	0.69471159104	0.698159486645	0.658760506483	0.687361176418	0.706720582659	0.679957225991	0.683781139594	0.679360183706	0.680189176551	0.687475818675	0.62319492326	0.691066357893	0.60117876755	0.636858825948	0.653374104747	0.651363871708	0.668482059076	0.616654416442	0.68731094086	0.706770624454	0.648002494769	0.65986153589	0.591414254023	0.625760274416	0.629815818598	0.630638573349	0.657847978458	0.591838672523	0.606934913991	0.595287544756	0.59683970127	0.657793190126	0.633106506911	0.639897572555	0.646170152743	0.612086027328	0.628673991923	0.645389589067	0.575300725787	0.645929316744	0.641427764585	0.664982165957	0.56948650895	0.567247007776	0.588031831924	0.614585299153	0.608201042985	0.584395620989	0.62545218816	0.620209294098	0.622130157411	0.653960598354	0.59333009622	0.589657111457	0.622108829513	0.61093121022	0.607573052032	0.615450615685	0.647181607244	0.622386889263	0.579021189982	0.562146185704	0.644860979719	0.584358624469	0.579821166252	0.662373043497	0.659618910879	0.665394560387	0.650939940153	0.677055872543	0.65924844437	0.677966531408	0.651786832661	0.671588652849	0.674664145966	0.661896879901	0.65629291823	0.680388415063	0.660878115565	0.635305462393	0.672990442325	0.646999934028	0.702469643689	0.695690330518	0.657891174495	0.675727722662	0.650348332491	0.707000162821	0.683121461201
CS.011	0.650425792179	0.557181782291	0.498286329921	0.466918991188	0.594053488332	0.640379083952	0.451364319493	0.497181847363	0.654158631384	0	0.540208212968	0.539136279116	0.555980558672	0.500200874537	0.662914023872	0.533863774078	0.586153047122	0.766882262035	0.596884812734	0.578256599078	0.544324631717	0.569468059777	0.586374237533	0.577283567757	0.622193950365	0.581274788747	0.576795956458	0.700223634695	0.761120299197	0.593919172968	0.691640443316	0.651903447445	0.709301101682	0.512767536019	0.759118151709	0.683194899289	0.568157150496	0.551796439241	0.643549187448	0.68497653622	0.609800747563	0.599719775847	0.656348249939	0.613846851211	0.68709382968	0.631403430626	0.621514487474	0.640653005339	0.660099216216	0.617634447155	0.659763714033	0.694941837711	0.6981172998	0.729391799538	0.723195333768	0.623579011925	0.560189068913	0.676150245318	0.638498785118	0.654480367107	0.600534169129	0.590865144931	0.560843228927	0.565606692482	0.553434388616	0.605604096737	0.638434978949	0.496039157135	0.604762561707	0.624941670383	0.581338155123	0.64624688434	0.601322918487	0.570808866495	0.58140897084	0.572571158321	0.513297595012	0.495386331619	0.551666980475	0.464890410091	0.547720327698	0.521674102027	0.43939681199	0.504862317299	0.548367861618	0.511532005937	0.555988339439	0.550108612215	0.479679265887	0.473015569675	0.593900370948	0.647499247606	0.531946412222	0.678740624747	0.605795452915	0.523652009785	0.497537823154	0.60777650539	0.68695013742	0.519544057005	0.51267532051	0.621845423001	0.528340906919	0.487870801714	0.553860258269	0.717339451751	0.621356450297	0.620874951115	0.690364440038	0.622020006227	0.764815252075	0.692543419038	0.680796675202	0.587520849658	0.657569060512	0.707272457809	0.683931350575	0.627985330901	0.627202433224	0.547591360575	0.755786391839	0.658732886551	0.676628072077	0.668166429551	0.705459642057	0.633256218797	0.600580860482	0.515182236439	0.683264820271	0.614671155925	0.665845233644	0.544296547709	0.611532617781	0.62859109864	0.700491422979	0.678782529494	0.648874803486	0.670802265277	0.594894076309	0.665457467816	0.658676437606	0.718093623597	0.597106343243	0.593199015182	0.585515803361	0.63119677703	0.705927490731	0.62491883231	0.502898949267	0.585035619248	0.602873775058	0.573775637999	0.61109389817	0.503902536921	0.620992388486	0.512433299537	0.515961126232	0.673578858684	0.664511119984	0.498906861158	0.521622648566	0.529191860138	0.636628893353	0.5179104203	0.585800616306	0.535127454115	0.632314184381	0.591755862615
