CS.011	L.011.M1	L.002.M1	CS.293	CS.295	CS.261	CS.094	CS.172	CS.098	CS.002	CS.037	L.033.M1	CS.243	CS.059	CS.007	CS.127	CS.154	CS.381	CS.056	CS.117	CS.305	CS.072	CS.334	CS.058	CS.368	CS.067	CS.122	CS.155	CS.118	CS.073	CS.213	CS.374	CS.236	CS.203	CS.375	CS.232	CS.128	CS.292	CS.380	CS.282	CS.205	CS.125	CS.041	CS.376	CS.126	CS.369	CS.254	CS.349	CS.178	CS.323	CS.385	CS.166	CS.182	CS.268	CS.386	CS.214	CS.348	CS.181	CS.147	CS.395	T.CS.076	T.CS.023	T.CS.052	TFS.024	T.CS.020	T.CS.028	T.CS.085	T.CS.048	T.CS.071	T.CS.057	T.CS.046	T.CS.014	T.CS.001	T.CS.072	T.CS.067	T.CS.159	T.CS.121	T.CS.118	T.CS.100	T.CS.120	T.CS.129	T.CS.126	T.CS.092	T.CS.123	T.CS.106	T.CS.177	T.CS.160	T.CS.104	T.CS.098	T.CS.153	CS.088	CS.237	CS.241	CS.103	CS.085	L.024.M1	CS.246	CS.356	CS.087	CS.242	CS.006	CS.238	CS.110	CS.082	L.034.M1	CS.044	CS.078	CS.347.0	CS.358	CS.311	CS.304	CS.228	CS.345.0	CS.338	CS.164	CS.187	CS.150	CS.165	CS.212	CS.188	CS.285	CS.202	CS.343	CS.339	CS.194	CS.321	CS.319	CS.080	CS.112	CS.163	CS.318	CS.322	CS.331	CS.361	CS.158	CS.393	CS.270	CS.390	CS.253	CS.262	CS.255	CS.370	CS.145	CS.326	T.CS.064	TFS.021	T.CS.008	TFS.027	T.CS.043	T.CS.061	T.CS.036	T.CS.026	T.CS.055	T.CS.066	TFS.022	T.CS.049	T.CS.031	TFS.020	T.CS.045	T.CS.095	T.CS.141	T.CS.151	T.CS.166	T.CS.152	T.CS.158	T.CS.109	T.CS.142	T.CS.157
CS.011	0	0.546070708539	0.669470697084	0.522683993698	0.614308888043	0.491205690565	0.682962148776	0.583076882308	0.514741043181	0.580319392542	0.68515710779	0.65164882745	0.581255151325	0.539136279116	0.554071951128	0.565342998103	0.766882262035	0.569468059777	0.666803297008	0.579296328558	0.527107478457	0.47938888061	0.704968030123	0.586374237533	0.533863774078	0.73721919269	0.552070684089	0.539839716843	0.596884812734	0.639265614646	0.68709382968	0.656348249939	0.68497653622	0.609800747563	0.651903447445	0.512767536019	0.599719775847	0.581317207233	0.568157150496	0.683194899289	0.709301101682	0.643549187448	0.656082249126	0.664330776277	0.551796439241	0.723195333768	0.640653005339	0.631403430626	0.606796344443	0.621514487474	0.623579011925	0.680903363471	0.560189068913	0.660099216216	0.6981172998	0.638498785118	0.574562058113	0.6191815696	0.654480367107	0.610973070636	0.550092409035	0.737388186117	0.64624688434	0.624502454854	0.496039157135	0.584288841492	0.579926635555	0.58140897084	0.574616819711	0.714582045012	0.632602063602	0.565412622899	0.722409314121	0.520937076578	0.589404191649	0.496494871014	0.515193068808	0.571741752376	0.547720327698	0.565651592111	0.516235628929	0.496163467155	0.528896667107	0.572571158321	0.504862317299	0.501589197871	0.485753878115	0.495386331619	0.513081892944	0.474726336265	0.68695013742	0.621845423001	0.523652009785	0.528340906919	0.497537823154	0.593900370948	0.519544057005	0.678740624747	0.619830949099	0.51267532051	0.531946412222	0.553860258269	0.647499247606	0.487870801714	0.605795452915	0.597989240978	0.639984032581	0.690364440038	0.774590513903	0.627202433224	0.692543419038	0.612584183231	0.747232410777	0.612948906688	0.702359278619	0.621356450297	0.564487808778	0.707272457809	0.683931350575	0.680796675202	0.705459642057	0.665845233644	0.676628072077	0.671838510562	0.755786391839	0.580129735735	0.658732886551	0.600580860482	0.62859109864	0.614671155925	0.668166429551	0.700491422979	0.544296547709	0.683264820271	0.633256218797	0.670802265277	0.665457467816	0.658676437606	0.718093623597	0.678782529494	0.593199015182	0.648874803486	0.594894076309	0.597106343243	0.573775637999	0.63119677703	0.673578858684	0.602873775058	0.61109389817	0.62491883231	0.512433299537	0.705927490731	0.585515803361	0.515961126232	0.503902536921	0.664511119984	0.585035619248	0.502898949267	0.620992388486	0.529191860138	0.632314184381	0.591755862615	0.521622648566	0.535127454115	0.5179104203	0.498906861158	0.636628893353	0.585800616306
L.011.M1	0.546070708539	0	0.624626140746	0.558801168268	0.558633266524	0.539427842747	0.59412025657	0.562036454935	0.554173223137	0.616077551056	0.620729200296	0.581802654443	0.556079015789	0.567985298779	0.509178325761	0.547084279449	0.752795423123	0.56246498923	0.662420481486	0.572500328445	0.515392412661	0.527679587095	0.673746194264	0.614154276712	0.528510874304	0.731008213688	0.555148304421	0.584232851242	0.583633452127	0.620461485746	0.652469410487	0.630053133342	0.662444703589	0.540297958463	0.594840166903	0.575735591339	0.545348714909	0.599678016148	0.538804515019	0.644474272758	0.661169181163	0.608048133486	0.637035745726	0.632732732812	0.552947392621	0.724543786295	0.612791627984	0.601335445098	0.607194354674	0.598803870453	0.605058088593	0.66351892512	0.57604000829	0.638470373929	0.674446072909	0.630109394047	0.614177459155	0.604757228526	0.614106937009	0.640414010088	0.567995843871	0.725126607773	0.629191641126	0.53444155585	0.607306859824	0.560186344172	0.537018200595	0.560943850678	0.553250198667	0.655563061686	0.585745951357	0.594055918912	0.667757458296	0.556213747323	0.535164025349	0.593512918245	0.551666926058	0.555365694497	0.580069580962	0.50688466224	0.572005275252	0.50379797874	0.587828561714	0.516837927653	0.548671517089	0.54576155528	0.542602854781	0.546442951545	0.56090026771	0.570479484945	0.627452877839	0.633880152769	0.52334781628	0.570927537857	0.573102356049	0.573718910253	0.526297869501	0.659959225341	0.595770286554	0.527157132672	0.510871396655	0.563951096746	0.633132630708	0.573934387941	0.550525132271	0.532567879374	0.560609834652	0.66153031843	0.721443911763	0.565040501739	0.691108709008	0.613212562074	0.741817406075	0.605189785485	0.707751718254	0.59020225462	0.580826799389	0.633657077325	0.650224010552	0.629263375173	0.686614001999	0.639965119695	0.625288155943	0.622975591238	0.716796302117	0.529241419778	0.614414251974	0.582284946899	0.610672221374	0.619658703346	0.611988605332	0.657533497019	0.56277706058	0.611656071137	0.627791590479	0.638177137999	0.631098987612	0.6119968543	0.727447416651	0.620981770163	0.59308636473	0.625863132464	0.534089740892	0.595876864274	0.518633824746	0.564696470067	0.575889051779	0.525852468982	0.574471415602	0.565804478862	0.605508970774	0.697027832768	0.549572459152	0.545817175949	0.538737228948	0.623438330643	0.565848854384	0.537390651423	0.579158076987	0.556760258447	0.57314811745	0.540374973543	0.522049317439	0.54802101018	0.510684599643	0.521722690412	0.588226520099	0.553027448413
L.002.M1	0.669470697084	0.624626140746	0	0.654048762204	0.644224206602	0.64303205924	0.682112094298	0.639429672876	0.67403963917	0.654160251066	0.618600558672	0.611351362165	0.643846555599	0.621690955205	0.637414857141	0.634051829908	0.684254889278	0.635664164691	0.648894021081	0.661632175366	0.644598495065	0.665981547684	0.623344386993	0.634856585811	0.636237513032	0.639201696437	0.66857034212	0.611268791404	0.663349025613	0.624199703776	0.624279493696	0.61263531232	0.663653035767	0.649426479408	0.605227990404	0.660060469605	0.627460468284	0.631015426765	0.632347201719	0.645048195323	0.667111228695	0.625286933451	0.677281846309	0.595402019799	0.624185181797	0.689448663976	0.620066901835	0.627492753535	0.650942795455	0.640632675747	0.665053998903	0.63502583263	0.626083861953	0.642334312856	0.56330761894	0.641463448744	0.653036746794	0.6411865235	0.625095818803	0.628542007396	0.604581376211	0.738617101436	0.62914320397	0.628297260009	0.679746059587	0.636863936566	0.641143381002	0.606808205788	0.681490016915	0.655121105394	0.641900234151	0.647108077942	0.637109265104	0.669606070648	0.628898393709	0.701885883515	0.673550240695	0.598090230991	0.673305686464	0.631199507108	0.670494203113	0.653074081201	0.695420166142	0.622794005586	0.692691567104	0.662776569135	0.670505149579	0.673297987129	0.685336488981	0.685027095685	0.680883638997	0.63608688284	0.654705589318	0.651376848816	0.652092154566	0.669342091192	0.658057015255	0.685974201292	0.669309235997	0.63240610701	0.654592287303	0.638358458114	0.626346308969	0.688988205826	0.609139330676	0.640280221493	0.640172299091	0.633209292984	0.6725579454	0.639956134443	0.687789556883	0.653831915132	0.704646937634	0.620436629492	0.692815276661	0.611172204016	0.600339825298	0.684234355572	0.696565059859	0.668123749005	0.678929621301	0.700911555468	0.566700185491	0.654380697792	0.66890271868	0.670803793674	0.62248912794	0.625918486233	0.630579140837	0.666151586056	0.628738905138	0.624896649371	0.611100494056	0.658354971808	0.632064889698	0.664634394526	0.621261194884	0.614996484573	0.68842637361	0.590144173374	0.59399752945	0.607460599751	0.609350066976	0.624420203544	0.609330401046	0.626875937459	0.642311683672	0.658316830372	0.652348041924	0.651429312163	0.643016220285	0.673211586848	0.642904023858	0.656638362842	0.662637885097	0.6149431342	0.617187138622	0.65827828182	0.639474883835	0.684397602752	0.639871154744	0.642689344503	0.639852245717	0.645188187333	0.646087781856	0.674553341995	0.672530037508	0.663003302937
CS.293	0.522683993698	0.558801168268	0.654048762204	0	0.601099479143	0.448098941508	0.627608349028	0.59065355209	0.507516515888	0.620322934484	0.715830529876	0.614067254319	0.55062159476	0.544753824367	0.50471381948	0.586392312797	0.791361621366	0.561401505641	0.721614384278	0.564508031478	0.481188581489	0.494985053473	0.728550990414	0.646676514271	0.518854298936	0.765499716988	0.519373221979	0.58593486033	0.618316159133	0.678266409263	0.682701162999	0.695408294733	0.733108551949	0.536220793655	0.64506101373	0.561170218122	0.607452496855	0.627946491226	0.51053235831	0.704621458648	0.721169646766	0.681994156767	0.694388759264	0.694797301816	0.5382606355	0.773653437685	0.679487215908	0.673628871517	0.601030902145	0.668791677287	0.695199702888	0.711846386881	0.625841423718	0.718009291363	0.714322769915	0.65950388959	0.645094389327	0.658846560033	0.688781028526	0.676662297419	0.589856545125	0.766686868152	0.677201611514	0.567806528214	0.483756561924	0.558902235987	0.516130653091	0.556691422445	0.526541751853	0.719086059729	0.646799708741	0.568288026932	0.7432025065	0.563356904635	0.521251828496	0.52872493321	0.533020816864	0.573167599919	0.516735555817	0.521623308538	0.487158204743	0.494650094058	0.543896001144	0.540431489047	0.41416843965	0.485462312115	0.499664620917	0.458837986001	0.482986892366	0.48293993547	0.641063429269	0.687009858282	0.466193310336	0.567237725224	0.563622011286	0.488195425846	0.522016975001	0.696940396582	0.588893865377	0.48552798716	0.525329367548	0.56095739727	0.661989743393	0.570127835084	0.588344226986	0.565924154053	0.580270346253	0.726374004767	0.774176261784	0.6140377341	0.732584123117	0.659890291966	0.80655081942	0.657775802972	0.767876704263	0.661800686005	0.60219896181	0.707428668003	0.669968450493	0.656804670511	0.767773806732	0.65794602502	0.674675160202	0.661336971122	0.763019583743	0.528662795734	0.682908745837	0.639004085708	0.680373245017	0.686493231134	0.686395614715	0.709547266041	0.610690833941	0.692075752889	0.684272220861	0.702300227615	0.678635297557	0.685388218859	0.761344609712	0.683205465107	0.644095674209	0.67614614559	0.593834019239	0.647667700023	0.511791740471	0.57076112967	0.593553292295	0.514291197089	0.494816615392	0.583528621142	0.545003037855	0.725929768672	0.515355401241	0.470982575536	0.455203062448	0.653839013123	0.525371900455	0.443384652829	0.544954784694	0.423653917491	0.480464737086	0.439225279013	0.486749807545	0.488875936542	0.480008803387	0.447455437376	0.481176609709	0.510646188628
CS.295	0.614308888043	0.558633266524	0.644224206602	0.601099479143	0	0.586866462009	0.619765224374	0.639798686566	0.651545580672	0.634745158888	0.660207828758	0.625833156696	0.593312515315	0.604254612883	0.560265011697	0.527472768618	0.740405541498	0.539736111077	0.627531216342	0.622714257865	0.542430584246	0.576117598492	0.620404866122	0.604265165636	0.515874629211	0.713827982333	0.642896404775	0.558099816784	0.638562855464	0.666016375096	0.613811942625	0.610209560479	0.664083751142	0.526765827256	0.555583169576	0.587828368386	0.485336692635	0.603941553121	0.523991531816	0.594314322536	0.581786742645	0.553982220059	0.631179978609	0.60116671583	0.53101001999	0.669678400533	0.578079917546	0.570615203993	0.581730654205	0.551165907413	0.572953159342	0.612533099283	0.535641243652	0.640391984882	0.683313446549	0.549427385325	0.599644328873	0.544990018534	0.604779341388	0.597186741489	0.558293864238	0.722854930395	0.588479365155	0.564008695183	0.678253353527	0.572250059773	0.545058837305	0.597859042661	0.551341379013	0.648469659825	0.552561497912	0.601630513327	0.666868547658	0.56901244183	0.544482405536	0.660124179525	0.55764221904	0.573489417292	0.638454664476	0.551989157118	0.603821099919	0.527178232753	0.621648175917	0.532787542077	0.621856736677	0.603255039732	0.609592820679	0.617450378467	0.621980484023	0.644739540957	0.665952937186	0.638895941093	0.60498469426	0.636745693387	0.611485845373	0.614977655561	0.537261546232	0.66962280849	0.604532463323	0.560176056246	0.576723341342	0.59407982181	0.637438131509	0.615938810757	0.603834141248	0.608198793323	0.599671859623	0.667895712409	0.69178747851	0.579872952529	0.655650763506	0.633384269577	0.719460987268	0.582655418096	0.740507891853	0.57525325868	0.612059784361	0.660741557974	0.622025165853	0.567388703132	0.66117918082	0.640354557462	0.575460256519	0.588420322166	0.689281130061	0.559506083773	0.563416935732	0.615056433144	0.617444944911	0.629630819502	0.569258694124	0.617607311378	0.567485254002	0.585905266362	0.648136633514	0.607951419879	0.61485757434	0.573256127951	0.70844205139	0.633194181817	0.593657354042	0.568335803528	0.526581623558	0.599013835031	0.560075618781	0.597506002751	0.556617033089	0.574464413881	0.558050842365	0.52380765999	0.637473437052	0.681397849893	0.580088189027	0.609927690332	0.58824864003	0.61633898891	0.588543277231	0.58423764439	0.603416155172	0.637872348715	0.625469507756	0.582441139479	0.545235464332	0.563810268544	0.54668857981	0.586778581809	0.608983236836	0.616255919427
CS.261	0.491205690565	0.539427842747	0.64303205924	0.448098941508	0.586866462009	0	0.670371614834	0.580008272843	0.464316562615	0.602803418797	0.691436888592	0.612825127411	0.524094662758	0.496069028826	0.476045206743	0.533128542702	0.775958159994	0.513253015398	0.676207719951	0.570375378954	0.437250185134	0.467927865363	0.690708334465	0.606598118828	0.492836659267	0.755946156697	0.536100820788	0.508148490018	0.588738005573	0.649745622498	0.686882116975	0.666914643421	0.692364716699	0.524849026376	0.62281200844	0.535440492768	0.567020928698	0.594010887952	0.487904683179	0.681815818634	0.681142434172	0.650026751358	0.671419355701	0.641578027766	0.497575250761	0.743128702745	0.64193212862	0.601244157722	0.562694379427	0.599551028499	0.642754857581	0.670463599372	0.569290490125	0.665096169895	0.688117584807	0.625290439736	0.565064555089	0.615404201146	0.643900155678	0.62938406921	0.524782936922	0.756009192308	0.61623124162	0.550525858478	0.469305563285	0.516178022913	0.511933562852	0.512374460869	0.508630729064	0.70968443305	0.617296621497	0.541701877717	0.704227817816	0.489681068701	0.51689788211	0.477473486571	0.483399199796	0.53265781029	0.523572501597	0.493854079728	0.432895156254	0.45394502623	0.547385337577	0.509244326311	0.416199582634	0.429063171286	0.426603584821	0.436539081264	0.465293561948	0.445954239253	0.654520868128	0.668350809315	0.467918305707	0.54529703333	0.526180203405	0.543752577749	0.484684838303	0.695474227463	0.614294025458	0.450719724763	0.537829684745	0.560919325882	0.637530738902	0.531190047929	0.56682795362	0.537831703384	0.572805691475	0.711211928613	0.774488044235	0.598903984563	0.694101220701	0.625225449576	0.779659997091	0.624275370722	0.743357125159	0.614775919441	0.559225941692	0.700130795594	0.661804593217	0.644775713206	0.745832673254	0.636621345053	0.650856605647	0.642082717249	0.744904334743	0.518640259921	0.648895764802	0.605505609708	0.649687824802	0.663268758166	0.652424802453	0.676978940658	0.549974958651	0.671942001461	0.65820840283	0.670767440846	0.649763299232	0.650438168035	0.745963036413	0.657402000411	0.571597340837	0.633697705337	0.562510996776	0.612955946508	0.47104285723	0.547592859635	0.569280197451	0.489212081618	0.523484910655	0.56380664533	0.540943416318	0.713482224678	0.506820680179	0.474622634249	0.446366446324	0.65264670944	0.511280034602	0.445898776696	0.54525751286	0.459838475378	0.535310198058	0.48703014761	0.482145120634	0.495062000328	0.437324063138	0.445667995597	0.55424064956	0.520367834134
CS.094	0.682962148776	0.59412025657	0.682112094298	0.627608349028	0.619765224374	0.670371614834	0	0.60963247294	0.679319553287	0.685594210086	0.665698666054	0.5706063985	0.642592223449	0.652803756951	0.626752386627	0.617650477209	0.709327740567	0.661809161096	0.668076076379	0.649127375058	0.642503852177	0.654763249183	0.710180935301	0.682638033574	0.640955082477	0.725070848211	0.63752499685	0.691964152643	0.640255039309	0.637395705995	0.66750181967	0.671919182107	0.709050529908	0.600366891436	0.595992968479	0.689577563285	0.633698024605	0.673059660911	0.66126224301	0.663474742632	0.669008277823	0.648964509812	0.638433081308	0.647691686767	0.624827092384	0.731101878123	0.686141530124	0.694756250742	0.664086434671	0.697057002491	0.697260427558	0.731190675862	0.678495197925	0.71641370938	0.726171971366	0.63454070857	0.701689954593	0.681304633077	0.673774444846	0.705809655263	0.688869539538	0.720433260271	0.662665623546	0.604224812135	0.719721268248	0.648143809099	0.585121831622	0.612925783979	0.649272692233	0.665411299982	0.628381579912	0.639381085153	0.684722984749	0.669167487946	0.606749048783	0.737589889848	0.653194143434	0.669182997054	0.680114531444	0.608632163091	0.657120561547	0.633998594793	0.680126397135	0.612200192875	0.682319993306	0.675749082542	0.701020208377	0.646604433767	0.660898066828	0.689698195639	0.587847016746	0.674535363916	0.645541331247	0.659233127527	0.685929345243	0.631671604632	0.643910919064	0.649004495617	0.56576734959	0.629743226837	0.570330486981	0.640455745596	0.67683794803	0.69960818966	0.607325158115	0.586080492541	0.557996597806	0.656294072996	0.736783144101	0.548261390325	0.681989381408	0.667734080046	0.702826422991	0.702413298026	0.714726950838	0.643371085053	0.672348530642	0.614661764613	0.653539291721	0.580591016966	0.667728706664	0.638949107739	0.655395277987	0.615543505847	0.721033248542	0.58887942626	0.659633366241	0.613716720355	0.636177635468	0.64160218117	0.65970920425	0.685140244369	0.689297789226	0.612454054987	0.635653213233	0.655252835271	0.695670079916	0.676394105583	0.751593280515	0.659390828302	0.678336651516	0.685389182679	0.625220480496	0.665707245144	0.626213689327	0.635541679384	0.578654240333	0.620624999644	0.582827238956	0.611465784927	0.684992710962	0.716127494452	0.592966014364	0.652355070831	0.648879072203	0.652498203789	0.619603388946	0.636758792643	0.635268999012	0.670370107836	0.593560855512	0.606211123892	0.606541579052	0.606083491743	0.630089968742	0.654593435604	0.560233191292	0.604560852798
CS.172	0.583076882308	0.562036454935	0.639429672876	0.59065355209	0.639798686566	0.580008272843	0.60963247294	0	0.581496610056	0.574874170211	0.612249964748	0.588072080217	0.576954121628	0.572998041843	0.563897183599	0.589464595167	0.706164220759	0.593614528076	0.6545723806	0.521235177316	0.579534872653	0.55520303548	0.690267008961	0.571258209713	0.583788870703	0.668912926233	0.506283594781	0.622758668492	0.482898130286	0.557431790863	0.643934073198	0.639101897075	0.642707711224	0.578339723152	0.579211249222	0.541456334083	0.632935224972	0.589162328956	0.610496698577	0.656421076861	0.68016731229	0.65004367078	0.594283866927	0.624908303212	0.581237651854	0.687923532862	0.658736921109	0.654676975275	0.62358034509	0.661528944187	0.654398048907	0.683286212139	0.633013533673	0.64985509166	0.689077820687	0.635031342483	0.641261798424	0.639959050731	0.640799625297	0.654624396648	0.632444686449	0.68852419456	0.653764171695	0.592972040973	0.600794178787	0.593488313618	0.573012489112	0.586104457136	0.607469846062	0.678869705459	0.591273558234	0.600982200218	0.660094647331	0.592180227419	0.567587010063	0.626240346025	0.62103479592	0.601691080304	0.596987340632	0.593290271892	0.611153575765	0.575784369155	0.627704541678	0.556202492732	0.616177370501	0.594341343877	0.616161993519	0.5813580107	0.58477584159	0.565872327435	0.602821868557	0.570553039206	0.576781465056	0.557543087981	0.515128710231	0.585408095356	0.559991396246	0.639385135601	0.526599599824	0.558321575599	0.506917118132	0.554135609864	0.598581971135	0.544736335762	0.574018875464	0.513741755149	0.576522536975	0.605507544221	0.718048903392	0.542507003716	0.659838073926	0.543655325079	0.657801687956	0.606342811692	0.639071833369	0.622036726196	0.563554331051	0.614409627701	0.638297263303	0.64443244775	0.66999378663	0.609350693236	0.638984744636	0.611362749086	0.711696559684	0.542872794291	0.659800216627	0.549947465411	0.535602029024	0.546491194019	0.635846177193	0.664394902586	0.608560799903	0.62368115986	0.546481638775	0.635789718036	0.658273762444	0.646954720436	0.682630239837	0.634268439543	0.62173672142	0.663617475241	0.616452054451	0.606682196552	0.565322425288	0.611659819685	0.605888037861	0.58039701297	0.570747848038	0.600036642142	0.566797452895	0.67757068702	0.588061431436	0.567485777567	0.600445615074	0.626534720581	0.548778842758	0.59194584183	0.56252545814	0.592031997594	0.577179748107	0.576570115419	0.586092441661	0.578406772852	0.57576324875	0.599845342429	0.590544566493	0.545778703057
CS.098	0.514741043181	0.554173223137	0.67403963917	0.507516515888	0.651545580672	0.464316562615	0.679319553287	0.581496610056	0	0.59861049476	0.663982724984	0.647087002152	0.583308534097	0.490342875384	0.525836985769	0.577411863998	0.771112659985	0.550466457039	0.685200472947	0.545229008647	0.514666582825	0.516151634968	0.718932526326	0.626620701362	0.566686989424	0.763881965587	0.532212464561	0.550251053505	0.59120024403	0.651338893221	0.713373783195	0.684875737711	0.698631898389	0.571418340397	0.654281375279	0.535049733571	0.612406692772	0.582706999288	0.528149337649	0.713393169076	0.734275780706	0.697754328397	0.642084985517	0.68774603669	0.55428340257	0.763173594251	0.672919000575	0.633741244986	0.603463154071	0.656699719792	0.656857172632	0.692169160514	0.60339492013	0.699111730981	0.731274548492	0.690562717239	0.594419956199	0.65083577459	0.687775605937	0.647579101368	0.590612823622	0.779034967747	0.654363089068	0.583981003614	0.498805221667	0.576549848795	0.585400496768	0.565889114002	0.5620350076	0.729095436222	0.661258949209	0.565576416164	0.709465149108	0.529871405662	0.576099565865	0.513123890668	0.559908742416	0.584047656158	0.570383069067	0.561768154577	0.509830767146	0.550097049056	0.571606047389	0.559700796386	0.502899919077	0.511680463601	0.490457946649	0.506074756744	0.529936248495	0.509288763604	0.660356511613	0.671944341796	0.476239139471	0.524155403145	0.534482434208	0.605835666976	0.562926540251	0.724575936055	0.644395115834	0.518566531259	0.575952781726	0.577726921497	0.655212714049	0.550209112066	0.605206742726	0.55711872875	0.594146030588	0.698443672345	0.78703808193	0.615772308298	0.721256120125	0.640530038882	0.784847802683	0.641454990196	0.750436946818	0.652627973861	0.599272425443	0.710154169005	0.701792140901	0.700067714259	0.752665941699	0.694606934042	0.699677469387	0.689343883326	0.768949100578	0.57436105276	0.684143961202	0.597440707781	0.654325403681	0.676045422133	0.687776215423	0.706928681571	0.576751088079	0.706679484822	0.665600787704	0.679446276804	0.67101558754	0.663431830261	0.756540727757	0.665655415963	0.610067092413	0.65076134323	0.611253501839	0.65022129682	0.532274506326	0.597391584078	0.629418902764	0.563592837153	0.582344458927	0.638972155219	0.548872449824	0.734120867344	0.555733816695	0.533172212163	0.516285433209	0.678423929681	0.552503176518	0.498681432676	0.599633839588	0.496486578723	0.582476181342	0.556268204784	0.582637860574	0.554513081022	0.532273513359	0.521757162059	0.603048300777	0.582519315432
CS.002	0.580319392542	0.616077551056	0.654160251066	0.620322934484	0.634745158888	0.602803418797	0.685594210086	0.574874170211	0.59861049476	0	0.6116018043	0.65744835235	0.602242429228	0.594740617804	0.553970541251	0.59159840858	0.713080326235	0.571539139587	0.594003578209	0.543754202936	0.613929686441	0.586749015173	0.638969426162	0.541892882678	0.576931588403	0.67675287401	0.534106414925	0.616999018768	0.524238958013	0.599204695683	0.623215631076	0.647874842138	0.601158777781	0.621352394916	0.641772848935	0.528161440537	0.587967992893	0.537537188135	0.622422281919	0.648965770303	0.705665213974	0.645011148731	0.550624870786	0.638443965427	0.597019873426	0.657017674837	0.615882358761	0.608468339246	0.614545221616	0.619650916204	0.628321441104	0.612230742465	0.589028554386	0.578060427261	0.663280897818	0.638666607789	0.603822274213	0.599912939757	0.643536248104	0.576960609249	0.622662416277	0.74427197322	0.627228926927	0.630112425889	0.621256575783	0.61482399697	0.631318450507	0.607925681778	0.6114741378	0.708207348715	0.642252046372	0.606779171753	0.681276500759	0.59809358149	0.635134341552	0.620517918394	0.613466973969	0.611666371902	0.611670269871	0.611359555386	0.638368994648	0.60010093532	0.634284667051	0.623051793076	0.653386130347	0.625512328911	0.629468894622	0.62542285384	0.625417357162	0.586310280205	0.673119645485	0.549684550355	0.591141933146	0.532246825488	0.504923497184	0.669808094136	0.570775162882	0.712012447067	0.623138484401	0.595850220489	0.581377398972	0.579576238892	0.566082384732	0.549525353994	0.602510728987	0.580657617912	0.645216205045	0.647992317241	0.732752362375	0.613505518155	0.673072076132	0.540795905279	0.706163037888	0.570166033127	0.610484260901	0.618594991981	0.561293239314	0.693867931186	0.707505048485	0.68702717386	0.666838711827	0.6707838287	0.656114242067	0.678322920088	0.722115966978	0.616173501572	0.633312030066	0.554946905397	0.53746100743	0.581083598544	0.630935443127	0.633464592478	0.548922731315	0.657582279953	0.542323342106	0.611944070507	0.624162794255	0.598180692888	0.694409050447	0.661815994858	0.604550083115	0.605682861714	0.625993811116	0.637427156468	0.611312029274	0.65580091013	0.66965463631	0.641819424945	0.61607241442	0.619514177583	0.564393601562	0.71669450696	0.604686385495	0.639701328873	0.629540583368	0.662589599593	0.609607400625	0.632694537478	0.637087048222	0.632551417734	0.653264828193	0.646214848989	0.61991504957	0.619531234336	0.640995276117	0.623842209927	0.678370926429	0.636414773522
