CS.016	CS.280	CS.108	L.004.M1	CS.143	CS.059	L.006.M1	L.008.M1	CS.261	L.033.M1	CS.245	CS.037	CS.039	CS.172	CS.264	CS.161	CS.072	CS.229	CS.040	CS.334	CS.154	CS.290	CS.366	CS.269	CS.058	CS.381	CS.287	CS.060	CS.327	CS.230	CS.125	CS.205	CS.213	CS.126	CS.136	CS.128	CS.375	CS.376	CS.292	CS.232	CS.224	CS.236	CS.374	CS.041	CS.282	CS.177	CS.166	CS.129	CS.389	CS.372	CS.395	CS.323	CS.254	CS.359	CS.148	CS.147	CS.181	CS.256	CS.178	CS.349	T.CS.085	T.CS.050	T.CS.040	T.CS.025	T.CS.004	T.CS.012	T.CS.069	T.CS.034	T.CS.080	T.CS.019	T.CS.072	TFS.024	T.CS.048	T.CS.020	T.CS.079	T.CS.134	T.CS.177	T.CS.106	T.CS.178	T.CS.116	T.CS.122	T.CS.108	T.CS.128	T.CS.132	T.CS.100	T.CS.161	T.CS.115	T.CS.153	T.CS.110	T.CS.097	CS.103	CS.082	CS.238	CS.237	CS.015	L.034.M1	CS.085	CS.088	L.024.M1	CS.006	CS.241	CS.242	CS.246	CS.087	CS.356	CS.338	CS.234	CS.304	CS.346	CS.336	CS.274	CS.228	CS.308.0	CS.364	CS.212	CS.345.0	CS.358	CS.164	CS.207	CS.363	CS.194	CS.202	CS.227	CS.285	CS.320	CS.152	CS.339	CS.158	CS.319	CS.321	CS.343	CS.331	CS.112	CS.361	CS.223	CS.262	CS.326	CS.145	CS.255	CS.393	CS.253	CS.270	CS.390	CS.370	T.CS.043	T.CS.066	T.CS.064	T.CS.045	T.CS.036	T.CS.031	TFS.027	TFS.022	T.CS.026	TFS.021	TFS.020	T.CS.055	T.CS.049	T.CS.008	TFS.025	T.CS.152	T.CS.166	T.CS.109	T.CS.158	T.CS.157	T.CS.095	T.CS.142	T.CS.151	T.CS.141
CS.016	0	0.606935313467	0.625565684353	0.59899287863	0.565754817512	0.579921858096	0.593020669065	0.632999923812	0.574956216889	0.624385376828	0.582181177649	0.605509369512	0.563241945918	0.537298060328	0.603473431596	0.631213633954	0.572053646588	0.592573502945	0.536009732701	0.659683002178	0.721375838548	0.632388183139	0.677731921163	0.733067990421	0.587093901916	0.585026777045	0.629366623315	0.591229951306	0.613296605206	0.662497520148	0.642208843528	0.664083259894	0.652221308205	0.586985625194	0.601637426861	0.578482592248	0.568667405311	0.615957443602	0.600109296004	0.577683630944	0.733857599994	0.654540626713	0.66210547502	0.61207063463	0.649316419356	0.657099908939	0.662751349075	0.594234955117	0.642763537698	0.645542449714	0.645510339795	0.627039409111	0.645708503556	0.695823947557	0.679243907277	0.634296081767	0.634210334261	0.661134024333	0.624911332743	0.622183483795	0.580460450084	0.568338664068	0.574089236373	0.568731075901	0.59267818127	0.669102602623	0.628525431611	0.582145444911	0.604060870855	0.58340748745	0.581892803442	0.584431027135	0.584242997548	0.644806057013	0.648537789486	0.591045585036	0.591639875283	0.619051762553	0.608215889709	0.5800742305	0.580722012581	0.630100956536	0.635148583785	0.644250037939	0.621338766197	0.620473091717	0.623815170065	0.604771526091	0.603943657154	0.593281452609	0.573992798115	0.584033411311	0.548382705401	0.604645279337	0.572508006018	0.576682890501	0.568838199264	0.620104322853	0.616913611921	0.526456701981	0.57312613984	0.557291061649	0.559643371243	0.556098067152	0.664208183816	0.629938219053	0.676327871453	0.631828000674	0.695769501325	0.60460102406	0.648598677193	0.58006202885	0.636364435056	0.663871208298	0.658850246041	0.697967160771	0.723657631673	0.685105404903	0.666280417483	0.64623083406	0.72573043505	0.624776101339	0.728673013442	0.6721062133	0.615818567992	0.568556846117	0.599623705811	0.572135317564	0.62670967639	0.553109976975	0.637243254236	0.600627705727	0.584129128738	0.61930981213	0.64142626271	0.637807815075	0.617308767954	0.60407462197	0.614726066194	0.634565680118	0.719836460814	0.656417443786	0.622966673366	0.621986977534	0.602350401786	0.614542965345	0.559554523557	0.583440196104	0.609435069697	0.574159577417	0.564780411193	0.614235348648	0.71010353854	0.603885833483	0.601554701271	0.607918741027	0.645927960491	0.595997197153	0.58311191913	0.595484950372	0.595448015492	0.604866346076	0.583365120751	0.580755380903	0.622723540943	0.620612954388	0.610168879025	0.62227547601
CS.280	0.606935313467	0	0.607023202272	0.455031831731	0.612592859154	0.544024469599	0.547472997035	0.69149829198	0.442413493133	0.624808440109	0.564970967318	0.708713952422	0.602369784776	0.593808588915	0.609169074322	0.705525928084	0.489466549522	0.675135677279	0.578393000681	0.730359985628	0.794228071276	0.683872867359	0.736494095672	0.776318826047	0.628366039161	0.57062765614	0.662460417018	0.632023679109	0.598410144367	0.734686598563	0.668315097551	0.712662869223	0.704310659898	0.550837177249	0.670300121084	0.599817325163	0.647176941288	0.686518119572	0.629496186629	0.554528129687	0.755003291566	0.719511470885	0.677191558095	0.688477680879	0.702110579932	0.689051650517	0.706826340424	0.600981538607	0.686220476512	0.655362750828	0.661849988245	0.646941198934	0.671656590594	0.726781112277	0.710514499742	0.66990029022	0.643882235798	0.661719424046	0.605482957557	0.661795399528	0.524497056148	0.605885995898	0.471419580001	0.562467064124	0.5954584561	0.697464290406	0.581245781562	0.520661855146	0.638115455534	0.669349096341	0.545197110376	0.56476078702	0.564006684087	0.5096499244	0.693552427465	0.4997138413	0.469567145005	0.430473498779	0.468823207182	0.579382144818	0.463535000695	0.431215999968	0.539759039658	0.485307305546	0.492666156967	0.535036913122	0.435112588112	0.473100595549	0.493971709438	0.453661668358	0.579906082556	0.561705667993	0.562714857254	0.671130442555	0.562769236677	0.586423625843	0.562269529028	0.64935691803	0.53338649497	0.518542852975	0.495306638857	0.482841361174	0.509548550178	0.588412205483	0.702067763834	0.657955214685	0.682010669294	0.713497282386	0.764782490633	0.630815593729	0.695071542771	0.637981429162	0.714283458227	0.748025288931	0.650627733316	0.786993369634	0.765409975335	0.748444856084	0.708202453792	0.687318178222	0.75382051263	0.678938612717	0.788970634908	0.755422237078	0.598456186404	0.526069377314	0.683113425422	0.666855756448	0.672617721329	0.547670078654	0.664365922501	0.592938306462	0.684947815559	0.682985179559	0.67526973762	0.684852840419	0.63799138223	0.585169449734	0.618084880735	0.688645749424	0.753098372429	0.672385334812	0.66472178472	0.66959556546	0.529904197644	0.481259994081	0.526575327799	0.585903193743	0.538112879025	0.549014724262	0.525567264275	0.468897721871	0.741336787612	0.606599416376	0.471674188621	0.511096721741	0.652196854494	0.610284068336	0.580632245661	0.518061260155	0.494252711599	0.432423887436	0.451949466708	0.523524988416	0.457050701988	0.542652411111	0.455740873916	0.522334794575
CS.108	0.625565684353	0.607023202272	0	0.609101669745	0.581635923541	0.595199303995	0.608765475865	0.705113644714	0.559949703863	0.675802790769	0.67180162531	0.682686958578	0.604894965582	0.599715756757	0.620731733698	0.670039984783	0.583540211281	0.676408297827	0.58087556987	0.73475526413	0.772073737393	0.712421779138	0.744366970328	0.736986950667	0.609826128174	0.611172303843	0.653922179676	0.639042146969	0.627692268364	0.706351735433	0.700308803771	0.754435078122	0.7034105504	0.621742091082	0.61955417632	0.636381270632	0.69575735881	0.689459800679	0.601060523443	0.563858788711	0.780521028466	0.615258462161	0.688588316297	0.657123710078	0.706344858219	0.713517870944	0.698627277077	0.63637519464	0.664662186136	0.657242393122	0.647676103888	0.656151172534	0.687604268776	0.718154022571	0.721245348025	0.690989720148	0.652583023931	0.711775704714	0.66240047635	0.653229826896	0.649069572882	0.653709742895	0.578130185454	0.63771651641	0.699312172277	0.764606170791	0.666092221257	0.644232048803	0.745403394436	0.672978256363	0.601631637901	0.672863270322	0.655573996843	0.527876846947	0.739437220528	0.649324740481	0.586291030412	0.591985596448	0.546226235289	0.595156398448	0.596164939936	0.579694273806	0.537226761899	0.578438909881	0.594752535039	0.60376506282	0.569117925187	0.559182401816	0.570260882266	0.600983024003	0.541489440763	0.557750966523	0.612874635896	0.638700342033	0.629769912551	0.646801862211	0.539053443715	0.707689012166	0.648391242419	0.59855774507	0.56261165017	0.58212073651	0.597846485898	0.656863651879	0.744868203239	0.618383453145	0.662539264143	0.703149294509	0.746561603118	0.679130032663	0.73789037129	0.617742505365	0.666008899174	0.749798421631	0.760532973776	0.763638086968	0.794460974319	0.692144184932	0.678525969328	0.68214514024	0.794081890016	0.710815808917	0.791148019637	0.722404976855	0.659010531098	0.593871496403	0.700599722406	0.623309530314	0.689535647975	0.621056109912	0.700565052191	0.557349938676	0.633456291713	0.727123513557	0.68316904869	0.713799002089	0.643846218538	0.655851877472	0.634953383515	0.685806889258	0.732181433534	0.693527965942	0.670546137065	0.684903895609	0.66646115203	0.599751102397	0.632346042665	0.666140650246	0.532379150975	0.644496561173	0.681137539211	0.597133875974	0.747437092106	0.682027830075	0.572256751006	0.621592454437	0.721349586171	0.734897893353	0.717202328437	0.616854368196	0.634117877209	0.601302677232	0.610255465434	0.641204845789	0.608237505542	0.719891352164	0.679283028435	0.686151559378
L.004.M1	0.59899287863	0.455031831731	0.609101669745	0	0.595695944299	0.557783458156	0.534041192395	0.653697968779	0.444297428181	0.608530469836	0.551582658093	0.711546496023	0.600527918921	0.578922826148	0.630964625106	0.713334144248	0.489472967672	0.680735237854	0.608376676286	0.719107405945	0.802440069083	0.685398222309	0.745381535406	0.781325969909	0.637797815425	0.570116360525	0.643975330987	0.64006990887	0.579381392328	0.738223255301	0.685730206942	0.703017860617	0.705640737992	0.525953846496	0.670903107513	0.611436691604	0.638507791875	0.689321270151	0.626478149444	0.564201773036	0.758063232117	0.745364008902	0.684482048936	0.703971019308	0.698656828873	0.67118432778	0.707394256701	0.611554315237	0.681431140827	0.680482627723	0.674047192392	0.644319999792	0.670481991802	0.735869442366	0.69825748898	0.676516988169	0.639302269996	0.654984331789	0.597865006893	0.650564390116	0.484920582403	0.619563339261	0.470794380873	0.532864732712	0.542014184913	0.684633160781	0.546450696752	0.504718078722	0.613565538045	0.636342264484	0.564359238305	0.544409568626	0.560051811862	0.492620692286	0.696716181224	0.489011321577	0.486617242376	0.403580671177	0.502287273471	0.596171227448	0.474460292838	0.42610397285	0.555993536139	0.500079839777	0.525499889107	0.533893645058	0.458524997884	0.477875407691	0.507806803204	0.480980325754	0.562868996433	0.575924896855	0.551727957165	0.670694508233	0.572605646792	0.586858858423	0.55968189376	0.654999887684	0.483839599603	0.51141062823	0.504614376399	0.485008927931	0.51455203359	0.603847302869	0.707138679414	0.667224725324	0.692656240156	0.719195262609	0.776029652898	0.608815421685	0.675271460263	0.638871548177	0.724999347298	0.75049462781	0.673179647858	0.798514285988	0.771848897193	0.759910083188	0.704472464272	0.681611071516	0.746650557972	0.651371717354	0.790098159648	0.764086388228	0.602193782598	0.524252309917	0.641811468814	0.676919127054	0.670043910714	0.521395362326	0.672949095976	0.585658746406	0.675783971617	0.69604809709	0.684209506203	0.677754792373	0.635877837977	0.573861572629	0.618199721969	0.70981008903	0.754594373136	0.677371877676	0.684600168768	0.688223795371	0.511423461182	0.45548212736	0.493078816807	0.53967537085	0.544809903663	0.521560533902	0.469696149315	0.438660159026	0.716506267433	0.539449371013	0.432330625229	0.522053474703	0.624192947567	0.577847075612	0.543015182772	0.50220657287	0.491123321244	0.406635814954	0.457385016708	0.517640105418	0.422021438182	0.489984388653	0.437269446794	0.500240406029
CS.143	0.565754817512	0.612592859154	0.581635923541	0.595695944299	0	0.566541579679	0.57889494216	0.59811893082	0.568475777979	0.649568175796	0.593525416232	0.603085298097	0.574668128506	0.572597852281	0.600609892602	0.615715745518	0.564172245	0.597183277241	0.590775449114	0.647390836014	0.734383427181	0.623819529544	0.683304722444	0.708791762159	0.578231235819	0.589769006629	0.592830208137	0.603973351596	0.611885346186	0.657566132675	0.624732721354	0.670342992597	0.643759330851	0.572440922412	0.585470116585	0.578152075919	0.608652726269	0.609236318858	0.562790278278	0.554899981273	0.719400910477	0.647495426172	0.626716135258	0.619968087739	0.647320485904	0.638739508423	0.676382016283	0.604223414176	0.607315976456	0.610347661998	0.635709812932	0.605514810165	0.621679407797	0.68487298148	0.675940942575	0.625086494529	0.63257282964	0.631573443297	0.59934528554	0.613649476998	0.600277603911	0.62879826203	0.578220824932	0.599649234024	0.601397133226	0.693025447573	0.595196729978	0.599742086345	0.641990856461	0.617454118689	0.578950872793	0.597145422085	0.566787512192	0.609692867416	0.657313758564	0.611605643602	0.592459806806	0.609737279373	0.584017647638	0.584931243723	0.567693689041	0.608548781008	0.561292153833	0.595079676129	0.58967531031	0.587159326245	0.587497547893	0.593551129292	0.572196252163	0.600596770785	0.55224460121	0.586364204813	0.537264167648	0.592484913242	0.613372020575	0.552814781555	0.469716208634	0.642079040353	0.611255107138	0.538704225787	0.568205575416	0.558918045956	0.573848275574	0.615632607843	0.656414022342	0.609470840566	0.630598306165	0.681902218315	0.681443395152	0.601142022931	0.643033461572	0.579878656792	0.641247938611	0.676152968654	0.676538446414	0.714064198324	0.729188288766	0.660193755251	0.657277086301	0.630312389293	0.715803066207	0.654794334969	0.733400099999	0.657668875437	0.595736931316	0.566251623708	0.641798137089	0.583650997317	0.61096026738	0.59577743412	0.628123749198	0.566961074925	0.602192044735	0.64582797245	0.612808533153	0.624936023256	0.623392361507	0.607470893604	0.595721656854	0.654504711957	0.708885957662	0.622025465529	0.632712446651	0.608451182222	0.62282093762	0.592396219901	0.565169085275	0.613656019243	0.581260407171	0.595766606447	0.591252171354	0.583596118282	0.689277455945	0.616572747009	0.583994077303	0.589885428396	0.621304215482	0.624466484115	0.606461903207	0.59071812923	0.568942947461	0.5967031761	0.577155158703	0.606844014458	0.608526341551	0.635306717067	0.605284267555	0.62502585565
CS.059	0.579921858096	0.544024469599	0.595199303995	0.557783458156	0.566541579679	0	0.561262619636	0.67672343637	0.496069028826	0.623649154248	0.570332185341	0.637241906342	0.589207001372	0.572998041843	0.583391067935	0.645322881054	0.511526928809	0.619303040352	0.572710749695	0.67394597357	0.744818863031	0.653932033722	0.70862753977	0.761993646321	0.593497646749	0.548597391059	0.610846768283	0.613714957219	0.592882758685	0.697807211391	0.644097621319	0.69595500564	0.665160990297	0.512427333946	0.594918465402	0.572651544857	0.603599606579	0.643968645144	0.564795347437	0.5284020539	0.762361002302	0.673941669486	0.628493573134	0.602267845615	0.685856399774	0.661872707331	0.65535170189	0.599875445983	0.619871269081	0.614034609298	0.609119911478	0.612370472843	0.62828319214	0.724027699755	0.665822154865	0.644885668862	0.627266434298	0.636536019337	0.576885990475	0.608603159493	0.55242010591	0.603643731388	0.519601794073	0.534043122117	0.571545785858	0.660815903446	0.538200059383	0.532757730966	0.597450778131	0.600912973257	0.522570962951	0.550328956433	0.538971801877	0.550950853073	0.661618648336	0.535071646075	0.544271221159	0.559026295401	0.517643710214	0.611718695343	0.518388844562	0.553220454485	0.561521635114	0.548388222585	0.569877932637	0.565933726563	0.524171780146	0.555089369186	0.533411738809	0.527998852072	0.566943748936	0.550280737438	0.567384857861	0.629059462031	0.602466937235	0.58261036584	0.530002999271	0.654375962989	0.603961831598	0.569877140586	0.516263265039	0.521450460472	0.561438881177	0.635012887685	0.696759417007	0.616665247973	0.659289947591	0.68955169553	0.748944951663	0.579409069019	0.660898145443	0.619069185021	0.660826980607	0.712933421961	0.663053794164	0.741559593275	0.749532196714	0.719780992085	0.680835352439	0.637048550173	0.740649872937	0.647703533769	0.776279207402	0.701856700113	0.577422316515	0.51168339587	0.640667692501	0.628278934588	0.655489489214	0.572118138828	0.656033203139	0.556242656377	0.611985549693	0.653906274611	0.633919255061	0.639948942412	0.633073825766	0.569725976281	0.601398546993	0.654172991431	0.729270093909	0.63662039723	0.639936114628	0.629577172251	0.567050171211	0.543034730956	0.528335765543	0.554453875112	0.557046336626	0.526842567857	0.529047311878	0.512940270048	0.691061615333	0.568506711395	0.507874047581	0.576174634048	0.641903318051	0.58162999008	0.576166613791	0.50965036615	0.541873259673	0.538357512789	0.514870300375	0.583598930259	0.54658154376	0.593705313432	0.562676589795	0.59043684735
L.006.M1	0.593020669065	0.547472997035	0.608765475865	0.534041192395	0.57889494216	0.561262619636	0	0.639996273448	0.511914764535	0.636772558038	0.589435782489	0.643057642387	0.5972476572	0.592038865316	0.597209500666	0.670333805595	0.563693555179	0.665331755826	0.575046249866	0.667040196882	0.753867611314	0.653659793021	0.714556595988	0.745966886245	0.620461079908	0.553572581136	0.60621272685	0.63631687802	0.591345755418	0.688364270763	0.667537762002	0.707022680686	0.675333799009	0.581686930655	0.644963014206	0.601187966795	0.6369345802	0.66034033129	0.618075297364	0.581900156508	0.753623898891	0.669384259223	0.657484039625	0.644735391729	0.687391473023	0.690941107108	0.68290827518	0.602366658293	0.667265070164	0.647517760145	0.660076927683	0.645951672956	0.668598170634	0.737522806072	0.664907076532	0.676163186791	0.654105412519	0.669872793823	0.596263760443	0.62739406792	0.547882172525	0.608756604202	0.559957371476	0.565837411478	0.599865707204	0.706884634105	0.596447969887	0.560151620013	0.629581671211	0.635312475239	0.559881864142	0.571789726551	0.552537135631	0.565959154519	0.667366770328	0.564186227859	0.553721774778	0.552975569548	0.528723172617	0.580435815437	0.526989531702	0.567382462355	0.580422262964	0.560712245489	0.516361800396	0.568231533387	0.547058587394	0.542582053461	0.50882894041	0.540462109193	0.568132637211	0.558039269075	0.581938432435	0.647582251515	0.596381073521	0.559910232991	0.546154926991	0.622834677635	0.618471363068	0.58125099269	0.535511485355	0.529184580651	0.544848622274	0.603943301413	0.712206165918	0.617033391581	0.686413038369	0.71648006361	0.751607581306	0.629488157712	0.686327108812	0.598657534265	0.686745744404	0.70528704027	0.709566949283	0.759531950732	0.754373295955	0.709040378365	0.687096550545	0.662459409289	0.756183137417	0.669774346021	0.770694654051	0.729726951314	0.612533800567	0.563623127212	0.653315198067	0.633354820679	0.646002209073	0.537294726388	0.67084937419	0.57575523328	0.634529460237	0.667799014615	0.662443645633	0.672944901307	0.6301028626	0.603070953743	0.610765642834	0.670021987503	0.734998702929	0.671529844301	0.674322065468	0.640164666762	0.554043591833	0.548613004428	0.549117064394	0.599491722036	0.562646938903	0.575993364907	0.544756245203	0.53915660019	0.722144512963	0.608658049667	0.540340889819	0.569037730458	0.650211974477	0.606359652416	0.609023514565	0.572236776728	0.57681291461	0.528122640414	0.529474889538	0.584609158596	0.540704601311	0.57675568069	0.551043772867	0.577538327576
L.008.M1	0.632999923812	0.69149829198	0.705113644714	0.653697968779	0.59811893082	0.67672343637	0.639996273448	0	0.672140763203	0.668839354972	0.613230329239	0.5950902409	0.640879516093	0.621190815778	0.673729195218	0.596471571127	0.655193318617	0.612270484436	0.684414153479	0.602685613442	0.694195756114	0.559504687658	0.57323716166	0.634756112753	0.610130257951	0.637763044448	0.591698953	0.625026736461	0.644846820808	0.622896959912	0.551915954246	0.570435984341	0.55984756321	0.616701998963	0.604283617383	0.622719339351	0.60350184504	0.569605284867	0.644542283772	0.645000802593	0.620704510759	0.687543516867	0.602446646202	0.638854507251	0.569179921925	0.601066107341	0.633432704616	0.604424211844	0.571492100217	0.586014842902	0.649827562998	0.593163239928	0.605361189111	0.618810269056	0.599907759035	0.554508453971	0.592438685239	0.570520298129	0.665741369557	0.595297912668	0.620113830865	0.628104595911	0.674089049268	0.605648519747	0.577204253582	0.6834161537	0.608509404768	0.667257518741	0.613745673074	0.627182378657	0.637777150579	0.607586757062	0.613420453224	0.705494991175	0.557688504677	0.6446260094	0.675565766164	0.692695169227	0.662802157979	0.630541637534	0.640389302925	0.69109827085	0.639368548402	0.693045757814	0.676507562617	0.644635074872	0.692687295696	0.67185335994	0.645410220444	0.689053226428	0.653935625409	0.674547653145	0.610344824463	0.59401932232	0.681121030704	0.622532170925	0.628212181565	0.675500667346	0.659590838507	0.620914754852	0.683103985407	0.639483916587	0.633592434403	0.624256157849	0.635371674069	0.595546409642	0.623256308385	0.673274484946	0.593524030993	0.622771025063	0.552470548115	0.612566032491	0.622409127054	0.620942041013	0.654102024645	0.648777725469	0.641402810412	0.668422082182	0.597047652578	0.561494516114	0.586087776646	0.666132628528	0.674702477709	0.627748272678	0.569047220053	0.63963945218	0.595782665259	0.584721170166	0.54170612209	0.643374148192	0.550296829783	0.616633111053	0.620425494282	0.626096011145	0.573080763939	0.575918761215	0.563734161097	0.613032148233	0.568641820512	0.666128488592	0.674463824301	0.609594129297	0.57015702913	0.59602506446	0.649078695133	0.669964635643	0.627072731845	0.643629106129	0.672947650971	0.634821376362	0.63820255084	0.686739072696	0.641437588633	0.637467875783	0.662735849057	0.638151975099	0.515975162519	0.613012490204	0.562940532627	0.653931913622	0.654006511818	0.671303557009	0.654103500472	0.637566773588	0.68509711587	0.617338112529	0.636603259274	0.656500318663
CS.261	0.574956216889	0.442413493133	0.559949703863	0.444297428181	0.568475777979	0.496069028826	0.511914764535	0.672140763203	0	0.612825127411	0.533111515018	0.691436888592	0.611789073722	0.580008272843	0.598798308051	0.698994981298	0.467927865363	0.640073786525	0.561525138103	0.690708334465	0.775958159994	0.665571445009	0.725530799689	0.760595630165	0.606598118828	0.513253015398	0.607186575873	0.615095107133	0.578290793189	0.722408904058	0.650026751358	0.681142434172	0.686882116975	0.497575250761	0.626186940475	0.567020928698	0.62281200844	0.641578027766	0.594010887952	0.535440492768	0.75095069792	0.692364716699	0.666914643421	0.671419355701	0.681815818634	0.668572470474	0.670463599372	0.58826191901	0.644757943952	0.623175470803	0.62938406921	0.599551028499	0.64193212862	0.728978411938	0.67130549369	0.643900155678	0.615404201146	0.637339265557	0.562694379427	0.601244157722	0.511933562852	0.574550021134	0.440821572701	0.522790314397	0.545562715424	0.675600408771	0.535891513004	0.488040411088	0.589761642936	0.623826914315	0.489681068701	0.550525858478	0.512374460869	0.469305563285	0.681844019712	0.491342699536	0.429063171286	0.416199582634	0.424795819778	0.559066013433	0.450902930454	0.403576623605	0.491911111785	0.447522667481	0.523572501597	0.513344080693	0.430840598506	0.445954239253	0.447469264463	0.446134072207	0.54529703333	0.531190047929	0.560919325882	0.668350809315	0.57550605518	0.56682795362	0.526180203405	0.654520868128	0.543752577749	0.537829684745	0.467918305707	0.450719724763	0.484684838303	0.614294025458	0.695474227463	0.624275370722	0.670652982433	0.694101220701	0.769127088281	0.579490316576	0.669337536288	0.625225449576	0.700621603641	0.723881862366	0.661804593217	0.779659997091	0.774488044235	0.743357125159	0.684998164424	0.641986873397	0.744904334743	0.636621345053	0.794261194978	0.745832673254	0.575593951751	0.489940977743	0.642082717249	0.65820840283	0.648895764802	0.518640259921	0.650856605647	0.549974958651	0.649687824802	0.671942001461	0.641023755058	0.657402000411	0.612955946508	0.562510996776	0.571597340837	0.670767440846	0.745963036413	0.649763299232	0.650438168035	0.633697705337	0.523484910655	0.474622634249	0.47104285723	0.54525751286	0.540943416318	0.511280034602	0.489212081618	0.446366446324	0.713482224678	0.547592859635	0.445898776696	0.506820680179	0.65264670944	0.569280197451	0.569631745288	0.495062000328	0.482145120634	0.445667995597	0.437324063138	0.520367834134	0.459838475378	0.55424064956	0.48703014761	0.535310198058
L.033.M1	0.624385376828	0.624808440109	0.675802790769	0.608530469836	0.649568175796	0.623649154248	0.636772558038	0.668839354972	0.612825127411	0	0.567397520119	0.64939100941	0.633380890546	0.588072080217	0.637539086239	0.647323923258	0.607440727226	0.628816255509	0.630341699506	0.699487140444	0.71594814947	0.660840941546	0.676682821375	0.697699859852	0.631227952172	0.613788765524	0.664414563893	0.597974392496	0.592672992289	0.647614521952	0.647463072828	0.692555840571	0.65548503029	0.59137361446	0.629414744247	0.611394005727	0.588219030847	0.636801906248	0.646284360706	0.632688183318	0.725434829208	0.677925971436	0.642255709305	0.648548149516	0.6694046672	0.64961672195	0.675629532597	0.636806592139	0.675246085569	0.67479643343	0.680670355602	0.673493074591	0.651818876546	0.726085077036	0.684927872572	0.639105889803	0.652334820371	0.671116166293	0.619565449095	0.665632839199	0.573882257179	0.616303158764	0.566652434412	0.606583722358	0.591246886497	0.663760673014	0.643719442883	0.574044647281	0.571191022559	0.603799428289	0.634877509049	0.59375156033	0.604722994606	0.664329241052	0.632366877222	0.606498725395	0.618029619261	0.642224155531	0.63007274236	0.62425638218	0.616003627786	0.633608747018	0.639743646869	0.645847090662	0.639914236601	0.639642905266	0.63600487623	0.640086067921	0.618487895818	0.630210899617	0.632291990336	0.647215273118	0.599872468018	0.637846692239	0.587719845614	0.583022344761	0.644229685512	0.571966134267	0.577163095707	0.563336891759	0.614378425365	0.604303735233	0.60604171083	0.569572183505	0.660823346163	0.661818979383	0.662717663123	0.680747987637	0.729053336763	0.592748606001	0.65203553755	0.628964320818	0.641074968685	0.66335719356	0.651713945671	0.708942313648	0.715487508621	0.691295506795	0.655718156523	0.63516533792	0.733234210835	0.588933817418	0.717831645218	0.684889519182	0.632723556652	0.60031583782	0.587037578913	0.636033502238	0.669453216098	0.561192951797	0.652450087859	0.642900847	0.623095301277	0.620794342109	0.650311329196	0.612715903516	0.626037401357	0.604492497451	0.656069551725	0.648123805562	0.69844000747	0.663337393206	0.671957603793	0.663423519219	0.567210530288	0.585216014555	0.582129795193	0.59224898423	0.623759781508	0.569545348403	0.576213730253	0.613127530613	0.671893051144	0.563847231018	0.611320738635	0.576034604486	0.648232250456	0.587409324249	0.593321980575	0.58068482385	0.580874022224	0.615974225445	0.592235965516	0.556913182734	0.613180999022	0.581257121996	0.577281222701	0.587510285908
