CS.296	CS.019	CS.038	CS.017	CS.357	L.033.M1	CS.099	CS.217	L.012.M1	CS.293	CS.101	L.025.M1	CS.199	CS.021	L.036.M1	CS.371.1	CS.117	CS.065	CS.305	CS.149	CS.229	CS.154	CS.186	CS.341	CS.040	CS.377	CS.301	CS.269	CS.118	CS.382	CS.041	CS.302	CS.232	CS.282	CS.376	CS.380	CS.205	CS.292	CS.375	CS.136	CS.378	CS.374	CS.236	CS.224	CS.125	CS.349	CS.254	CS.268	CS.214	CS.147	CS.177	CS.395	CS.148	CS.181	CS.323	CS.348	CS.183	CS.385	CS.369	CS.182	T.CS.089	T.CS.022	T.CS.023	T.CS.042	T.CS.058	T.CS.028	T.CS.062	T.CS.069	T.CS.035	T.CS.001	T.CS.038	T.CS.029	T.CS.012	T.CS.025	T.CS.082	T.CS.104	T.CS.114	T.CS.120	T.CS.108	T.CS.125	T.CS.132	T.CS.115	T.CS.177	T.CS.147	T.CS.105	T.CS.123	T.CS.128	T.CS.178	T.CS.161	T.CS.098	CS.103	CS.087	CS.246	CS.110	CS.356	CS.242	CS.237	L.034.M1	CS.006	CS.015	L.024.M1	CS.085	CS.088	CS.241	CS.238	CS.187	CS.234	CS.330	CS.191	CS.233	CS.164	CS.387	CS.304	CS.113	CS.336	CS.363	CS.189	CS.212	CS.150	CS.228	CS.158	CS.331	CS.343	CS.321	CS.285	CS.339	CS.152	CS.322	CS.319	CS.320	CS.080	CS.361	CS.202	CS.223	CS.163	CS.145	CS.390	CS.326	CS.393	CS.370	CS.262	CS.270	CS.255	CS.253	T.CS.055	T.CS.064	TFS.027	T.CS.036	TFS.022	T.CS.049	TFS.021	T.CS.008	T.CS.043	T.CS.026	T.CS.045	T.CS.061	T.CS.031	T.CS.066	TFS.025	T.CS.109	T.CS.095	T.CS.141	T.CS.157	T.CS.158	T.CS.151	T.CS.142	T.CS.166	T.CS.152
CS.296	0	0.517015777509	0.599495730389	0.581202404032	0.445317626922	0.587821307711	0.527075964019	0.51545542165	0.532258532691	0.453413987045	0.500323156069	0.606028268635	0.611456815998	0.634614183751	0.502437951309	0.585658434283	0.597134232806	0.612001376497	0.439363705799	0.64158840461	0.656054291224	0.785851778678	0.573255819942	0.684166134954	0.586485101336	0.675480230831	0.559869140108	0.742334006052	0.58117194407	0.519387079784	0.676382344598	0.736378614684	0.551060992625	0.671792501355	0.654750475852	0.509238528948	0.673695745352	0.628021018702	0.60407534593	0.63308309065	0.697974136534	0.664233327853	0.711227821402	0.765736604442	0.649749492039	0.632881655005	0.655913058927	0.68716050226	0.625953205621	0.670851462792	0.682351011111	0.635115993103	0.696192870551	0.633090277232	0.618534591585	0.606099045138	0.731155268104	0.648390034951	0.745557608691	0.605471260599	0.556255741475	0.58499565873	0.734504605315	0.433836506336	0.536565384633	0.549237055321	0.497943998542	0.545119173026	0.514477577492	0.718522520213	0.540184098206	0.618331898556	0.669180883976	0.518187940114	0.505945075741	0.469730605828	0.561891513602	0.482106186647	0.486035758925	0.524677182534	0.501625290222	0.4847395554	0.501116348801	0.462483942557	0.572699797917	0.523895713078	0.527317075578	0.479704867813	0.553821873839	0.473369097574	0.560478331429	0.569237763831	0.47684663343	0.657334927487	0.694165211837	0.459691916018	0.660838834232	0.560700696478	0.520848834931	0.576441196669	0.514899931657	0.542420985626	0.622391765307	0.511253722515	0.55795221932	0.618622723184	0.65302217346	0.649369965026	0.465067461317	0.613383390798	0.736936616751	0.594021867728	0.696309273727	0.553366462547	0.586429521356	0.676916649349	0.657159723295	0.666439598853	0.582281853834	0.617780657358	0.654982459724	0.579024701122	0.658829828524	0.483159871838	0.733814162604	0.605963639777	0.490172011875	0.694833852154	0.640474101076	0.625586021246	0.619092269764	0.654640162011	0.646584973022	0.648413760957	0.643872048195	0.541797246809	0.668885626766	0.639898739843	0.662499677341	0.655965044676	0.680865386512	0.666896359237	0.600710863075	0.74383138195	0.525201151606	0.513756468495	0.496931035029	0.543634603957	0.440842645949	0.641829017862	0.563486695986	0.582311183618	0.477488677948	0.732690309398	0.551957523352	0.549887856155	0.534044337931	0.48125218332	0.550133922006	0.441723834931	0.470102819312	0.533918385724	0.517359640827	0.421449840699	0.471241125226	0.51677789434	0.453349418014	0.494237131917
CS.019	0.517015777509	0	0.528124974273	0.529978519795	0.501687058394	0.583300870393	0.554616265163	0.537989316565	0.566964116461	0.53330679123	0.520310470162	0.621142559321	0.596713138193	0.579399948573	0.539692740059	0.579726186264	0.550828603757	0.553783600259	0.519401076028	0.608772636362	0.59139443646	0.734918465082	0.600151201387	0.656845100795	0.551311849348	0.661562619812	0.588321635071	0.721435795529	0.550753905688	0.516700138753	0.606276820194	0.694883075206	0.560698537932	0.659407357316	0.622621867051	0.527708415614	0.681576136246	0.577216785506	0.568930223115	0.593889143253	0.671629680456	0.6311921865	0.655627878915	0.73758629409	0.624229417227	0.621254737354	0.63453710431	0.642516200606	0.628048608948	0.635693635669	0.653075747613	0.617049616236	0.675402041392	0.624051116915	0.625662808847	0.627606690368	0.697482935671	0.626410265064	0.714343191545	0.594311639273	0.572815282888	0.558417121402	0.742291693156	0.515174878642	0.532454888029	0.529273300074	0.491629305147	0.574960659703	0.544810205749	0.694032642024	0.585883442339	0.609289241782	0.658456961499	0.541955631047	0.510460623232	0.548548899835	0.586976971429	0.489657672433	0.57724245157	0.549822310211	0.59241599235	0.559279496913	0.553229267448	0.562569432762	0.636390450845	0.529362558751	0.591881551526	0.544691516042	0.59518994158	0.576104721769	0.554936010678	0.559447018864	0.522954754439	0.611709229843	0.674343880596	0.525409849156	0.610598092493	0.554810679572	0.508015395131	0.565751176174	0.554797162494	0.558069176768	0.595124258312	0.525681999336	0.53107264243	0.592258225875	0.653270237603	0.620035463104	0.539039031845	0.605667621201	0.676772006514	0.570236563719	0.693175758139	0.508953891044	0.599170929705	0.631189744411	0.650595563934	0.658874722395	0.601172465132	0.584657824865	0.606547228358	0.58850458855	0.616485712307	0.511112159713	0.68418758291	0.621211009051	0.533061041115	0.659082298322	0.633340175294	0.587708777339	0.554890016642	0.624075885426	0.635216317998	0.633202927314	0.583149953933	0.526043946432	0.632897313542	0.63348189029	0.651328826263	0.616667846911	0.651505965019	0.65177387175	0.601993637432	0.732808055917	0.545340708308	0.513299369971	0.516024132792	0.558785927662	0.540747971458	0.63208914031	0.57583481917	0.575007550343	0.538948386397	0.696156450474	0.544950546548	0.565681226364	0.532485887945	0.538799573187	0.550633117515	0.550048047669	0.570124114215	0.562244927263	0.550767853938	0.520318784681	0.528183227511	0.570157730529	0.526337861131	0.53395252758
CS.038	0.599495730389	0.528124974273	0	0.529056636734	0.585117218229	0.592481719496	0.600205855567	0.56907921276	0.619240584233	0.602892948605	0.583338900864	0.568566295077	0.583493176767	0.622052923168	0.562844029472	0.571511127627	0.576372991179	0.605131225831	0.619556093258	0.654051633302	0.632217918578	0.722167874037	0.654861419637	0.689102616205	0.551531413127	0.701256403874	0.688915056836	0.716077794656	0.547945011939	0.584497118696	0.621293085833	0.699804608311	0.627277032589	0.709110439488	0.644378016819	0.625560050723	0.71307370828	0.647880252351	0.58717103376	0.635921181515	0.649792805929	0.667886428206	0.692224244828	0.727361790971	0.664624441451	0.6830024052	0.69045877889	0.691776302697	0.641379084465	0.648355647868	0.670968508571	0.673175157662	0.681129084946	0.679910419302	0.693665510885	0.681694081424	0.716447156377	0.69073406795	0.718540965444	0.666298486257	0.636273544825	0.583993096332	0.707816879163	0.625746895385	0.589121244743	0.600283210266	0.587341446789	0.651676320806	0.588533657448	0.682741881283	0.662288575209	0.642228007355	0.657734112785	0.628218554595	0.577656504225	0.626826453574	0.629359695708	0.590384698921	0.653527574325	0.60571716084	0.687327956487	0.649672312791	0.626120439902	0.642572758094	0.698724308281	0.587442861979	0.679750373278	0.644061935739	0.66186909846	0.642428649267	0.608201808958	0.513678521256	0.60129251927	0.633353692525	0.660184134078	0.601892678024	0.642717331999	0.587356132069	0.552378418456	0.554297736683	0.610899385332	0.62554840771	0.553756264671	0.577303333726	0.563787294469	0.662765689562	0.675679908478	0.640644415264	0.596764367122	0.623120865059	0.655759885956	0.613526599652	0.683970796742	0.521828177045	0.632417766667	0.670067336548	0.669250898525	0.635684501482	0.646578849435	0.604136200704	0.620506773932	0.675882631422	0.682554257443	0.551536066465	0.684674597611	0.602455719329	0.636923642873	0.684369578176	0.66863967781	0.643631490777	0.59265040114	0.622936140405	0.60910517548	0.69464012841	0.610836862277	0.625390690353	0.678276907978	0.672465608123	0.633525566314	0.658407476175	0.64291908768	0.683841832175	0.671428931235	0.718015823226	0.609807009013	0.577889420402	0.577030482367	0.643356068203	0.64229982795	0.648635331824	0.611459476627	0.578118425602	0.594358706501	0.706325063604	0.595695275287	0.581749985932	0.577076064037	0.62869902613	0.600082309319	0.635168121496	0.634895553445	0.566086657375	0.550469752086	0.619464719541	0.579503387823	0.564196286073	0.628072452648	0.609227033845
CS.017	0.581202404032	0.529978519795	0.529056636734	0	0.55181265203	0.643988789078	0.533471986288	0.531245320669	0.565802189073	0.553701036404	0.526162816245	0.604983414988	0.607858812905	0.632813267639	0.549750236278	0.622072032087	0.572649506087	0.613376845257	0.592920016077	0.646343515117	0.651165520654	0.735297748279	0.592479936995	0.687615627539	0.568322302189	0.703313009649	0.642845226431	0.750826783137	0.566719798311	0.601405771371	0.638533562216	0.722477341979	0.601261327705	0.698515197329	0.678211234635	0.60753043162	0.706554622154	0.616265031303	0.629816947481	0.626154189295	0.679278419909	0.664223398401	0.658846170682	0.747324431172	0.697719758912	0.66574605727	0.681957413265	0.688385507463	0.666766157525	0.684138392878	0.701796249829	0.666953199544	0.695893617351	0.666733727468	0.669255165928	0.644520790178	0.73670031594	0.683758924307	0.730640882304	0.646849261636	0.595191526629	0.604091754449	0.74327909388	0.570117479587	0.590984337176	0.586393977998	0.55808403189	0.628067207509	0.580639532339	0.696740590801	0.608784010974	0.631206571443	0.713638646447	0.622564518377	0.583210464378	0.576835299453	0.589356717947	0.572572417362	0.580498679727	0.609734181684	0.633735863469	0.587416221186	0.583681188502	0.570222692173	0.644213290798	0.596281215556	0.627807633178	0.56585865925	0.617193817738	0.591273399322	0.563194579104	0.586749348162	0.604361680555	0.619765786787	0.692809305267	0.585040179589	0.635249239923	0.554696606714	0.549883311659	0.519716555685	0.607980277866	0.564123531781	0.622786952726	0.527692841086	0.566945118105	0.655830900626	0.695606773459	0.663563404456	0.575182357211	0.594617734977	0.692954228618	0.630527951259	0.696984274414	0.523079274711	0.663292933897	0.674484226736	0.671555972976	0.673198570939	0.614972628856	0.586585531368	0.615457128658	0.617215002737	0.671459651272	0.563644237861	0.720722839622	0.673391630047	0.58874103118	0.699390248794	0.66188808918	0.627000515986	0.607744974441	0.657588347411	0.675926317296	0.690800986053	0.646967951573	0.62154530346	0.678471048035	0.668096661141	0.649032395829	0.649764726646	0.648155543064	0.676835048396	0.641863662453	0.741795861636	0.565728936659	0.569949757736	0.578562893219	0.585365020391	0.602182699356	0.663277449773	0.63281555338	0.623557435708	0.600419660955	0.726174287275	0.578542765812	0.62864266103	0.571661614606	0.570281200017	0.629441812964	0.570271771389	0.56649420418	0.570805381951	0.576595259544	0.593350573708	0.57432779352	0.597032296264	0.610119176748	0.599583664275
CS.357	0.445317626922	0.501687058394	0.585117218229	0.55181265203	0	0.563335429036	0.536326623214	0.506603758426	0.52457441496	0.423479086279	0.507196336474	0.588114523574	0.604455841895	0.615024471791	0.526648541393	0.575226612663	0.545821039569	0.624676258237	0.481506301399	0.642339622317	0.642818600447	0.761909136903	0.56474983916	0.646358045645	0.584089437899	0.690777788566	0.586157631979	0.731805187596	0.587098082542	0.472240760006	0.669822349915	0.686802468271	0.562411440525	0.662647240439	0.641273442965	0.521280414668	0.671592306435	0.617908544388	0.591302416901	0.63181466994	0.69242509816	0.636296781555	0.709467358915	0.73526244565	0.634496135053	0.654892624838	0.659832294968	0.706333363497	0.637632552487	0.661172718842	0.678770142841	0.677892009877	0.709344884479	0.650601217526	0.642269973076	0.637522466341	0.762719119872	0.661692639237	0.76679167656	0.598171844669	0.575489403107	0.578998854097	0.736228447748	0.460016706982	0.555466713508	0.545684026186	0.473406270332	0.536835269569	0.536702264763	0.707888987841	0.60464810855	0.626109438997	0.667912549047	0.527912274104	0.502529173462	0.481505208722	0.5522072805	0.487478502935	0.505388296668	0.498802508866	0.553106416212	0.498962873185	0.50832815958	0.470918455839	0.622704670422	0.506713290172	0.569839479843	0.521703486102	0.5617716622	0.487033967478	0.573935714948	0.53663613758	0.50826434403	0.652670405809	0.659866127917	0.473956343039	0.64440959835	0.544404891832	0.479922809653	0.530398153378	0.482457487156	0.580528172667	0.613052949163	0.498846463687	0.55265729019	0.625022809565	0.662952907005	0.634814646768	0.457912196359	0.596790727504	0.729274991378	0.57773084776	0.696398606333	0.492650711294	0.591696720216	0.656615999858	0.639156527084	0.624878384019	0.603367887099	0.622548649996	0.647371061146	0.570489421497	0.615171770936	0.45384199136	0.734284204762	0.604713350562	0.520331511531	0.669383156278	0.629609573223	0.595477121366	0.602320696805	0.643183890846	0.630981763408	0.65269741548	0.645604466734	0.562131223442	0.658385581414	0.611959927035	0.675625273821	0.668644012771	0.665798550276	0.661738411008	0.6161410873	0.74438501472	0.500621023751	0.493757518959	0.467160286757	0.550062764286	0.486769425608	0.62037959111	0.529780403708	0.531555742999	0.435289888325	0.717245670461	0.523618371704	0.540521751642	0.497042607378	0.472727678043	0.494424783919	0.455427022059	0.47318234456	0.461489893267	0.486569392396	0.429241941694	0.431904390748	0.466288339395	0.443793784458	0.471064605859
L.033.M1	0.587821307711	0.583300870393	0.592481719496	0.643988789078	0.563335429036	0	0.622267666624	0.600900475639	0.63767628844	0.614067254319	0.628981169409	0.621795168464	0.604936215724	0.620160160281	0.589890562946	0.597694178007	0.604215912631	0.631598605094	0.6193579801	0.628848039876	0.628816255509	0.71594814947	0.634631858118	0.633217719003	0.630341699506	0.663211601371	0.662811464837	0.697699859852	0.621458661934	0.589625213021	0.648548149516	0.669290652885	0.632688183318	0.6694046672	0.636801906248	0.616129696245	0.692555840571	0.646284360706	0.588219030847	0.629414744247	0.652510946328	0.642255709305	0.677925971436	0.725434829208	0.647463072828	0.665632839199	0.651818876546	0.666111138645	0.623042853726	0.639105889803	0.64961672195	0.680670355602	0.684927872572	0.652334820371	0.673493074591	0.65742082698	0.695945559898	0.663383194736	0.716108063274	0.653453970284	0.652667291738	0.640045795421	0.705367455346	0.60917827012	0.594277304662	0.630021423236	0.601415528181	0.643719442883	0.611193783962	0.689560540055	0.665292066889	0.641399144787	0.663760673014	0.606583722358	0.591150241535	0.627388678409	0.629944327219	0.589951714081	0.633608747018	0.583021020508	0.645847090662	0.63600487623	0.618029619261	0.61617877497	0.668759787741	0.580174999979	0.639743646869	0.63007274236	0.639642905266	0.630744287606	0.632291990336	0.569572183505	0.60604171083	0.644802060878	0.660823346163	0.604303735233	0.637846692239	0.583022344761	0.563336891759	0.587719845614	0.577163095707	0.644229685512	0.571966134267	0.614378425365	0.599872468018	0.617384267157	0.662717663123	0.64189604126	0.607204656575	0.640033435434	0.691295506795	0.607379041966	0.680747987637	0.561922828939	0.592748606001	0.63516533792	0.635345855457	0.651713945671	0.619545296671	0.628964320818	0.636033502238	0.642900847	0.652450087859	0.561192951797	0.684889519182	0.587037578913	0.60031583782	0.671318003434	0.669453216098	0.632723556652	0.605166703903	0.620794342109	0.588933817418	0.650311329196	0.619345830093	0.604492497451	0.671957603793	0.626037401357	0.648123805562	0.663423519219	0.612715903516	0.663337393206	0.656069551725	0.69844000747	0.576034604486	0.582129795193	0.576213730253	0.623759781508	0.613127530613	0.648232250456	0.563847231018	0.587409324249	0.567210530288	0.671893051144	0.59224898423	0.631167886269	0.569545348403	0.585216014555	0.593321980575	0.615974225445	0.613180999022	0.587510285908	0.556913182734	0.592235965516	0.577281222701	0.581257121996	0.580874022224	0.58068482385
CS.099	0.527075964019	0.554616265163	0.600205855567	0.533471986288	0.536326623214	0.622267666624	0	0.490976105366	0.572733998345	0.520789538964	0.534092502527	0.620354744339	0.597666901641	0.647807693572	0.568120987664	0.649302500312	0.535723332146	0.656122062255	0.564451881765	0.671672705437	0.674034471962	0.775181108611	0.523833025556	0.725678886531	0.574959027329	0.696897009995	0.648035274238	0.762310358085	0.557051273176	0.632414166654	0.666792671398	0.759870738748	0.551244960605	0.72308628535	0.697131763154	0.604077217103	0.737596370123	0.615669406604	0.659370161235	0.629563827483	0.678788547863	0.691865659601	0.687734524285	0.77702877056	0.71067518382	0.669834755977	0.702583847813	0.676716606242	0.670786719856	0.686072827458	0.708954902525	0.663010394213	0.712573461842	0.674331396128	0.68014116828	0.668074837711	0.752511289894	0.680232585306	0.744142086301	0.644927917677	0.60620029557	0.625723540006	0.74663094933	0.550162018676	0.593205283506	0.618110277804	0.538028522431	0.632762957057	0.578799036849	0.721561161894	0.582141723665	0.602229690301	0.712931530722	0.5828071852	0.563887080871	0.515873126254	0.511871850444	0.57376261831	0.536552431824	0.594489444051	0.576838626936	0.536434650589	0.552177679039	0.511187009077	0.556224910453	0.572905845448	0.582690395723	0.544031266346	0.546169662556	0.539280860485	0.532886639847	0.54983239349	0.545136209198	0.62874310945	0.688389134099	0.532982363623	0.634547939294	0.592572033165	0.485995529663	0.550085019733	0.541158440459	0.520498178305	0.636526086958	0.53454486903	0.530728841462	0.673322364039	0.696855813933	0.676266822413	0.549647617029	0.546643850307	0.695765559767	0.654609720366	0.692967647276	0.561762425936	0.647211843952	0.692489653448	0.655837924375	0.701131406665	0.59086484377	0.582421746482	0.62378272271	0.601709516069	0.695858867759	0.559301543709	0.7403327616	0.663344891469	0.589701622218	0.720722939111	0.702927668087	0.65203450018	0.603121778191	0.685491673436	0.666219160689	0.698821845766	0.630265968756	0.644252844018	0.694346355318	0.646430881411	0.69532163593	0.687139933277	0.702030078971	0.70247758175	0.64406335018	0.726911899571	0.556356185403	0.55387672997	0.568524919889	0.544506234598	0.534375669926	0.683654037456	0.596478776344	0.658941824956	0.595394338363	0.731142326403	0.603512051571	0.636061907871	0.575748137173	0.522838897998	0.635440095435	0.511840399758	0.524555143634	0.582165186773	0.541076276267	0.547772665504	0.555895533752	0.589888248758	0.558505261911	0.562759430358
CS.217	0.51545542165	0.537989316565	0.56907921276	0.531245320669	0.506603758426	0.600900475639	0.490976105366	0	0.561921607427	0.50934817467	0.501911358983	0.607384913314	0.57296597018	0.621484921124	0.55720260357	0.621515212729	0.550056310172	0.624481020605	0.52542558639	0.650631334399	0.653862373447	0.763406182427	0.5571098011	0.708984344507	0.56775803944	0.664273054799	0.614874023707	0.758094823387	0.567239698352	0.599717299921	0.64348543488	0.724282935123	0.506249135085	0.714869415948	0.677614598685	0.573661134545	0.726369093964	0.598256097982	0.64008531949	0.601588634576	0.696663314325	0.672820019094	0.691478160348	0.762311937857	0.686763767164	0.646738163349	0.681149326521	0.676349773363	0.657769126386	0.686398358235	0.703283320648	0.662080873263	0.689970591652	0.653620727223	0.65992631497	0.637218659092	0.74157681316	0.666224845784	0.738382034251	0.619775586139	0.600475526027	0.600452292596	0.720611629042	0.539310327887	0.566498175594	0.581793728513	0.50553702018	0.600540248501	0.554008217548	0.707622753577	0.559005857354	0.606276643273	0.685788895545	0.562336854368	0.543229502555	0.492937057221	0.529817281145	0.546990131026	0.52655871548	0.540623960872	0.553201888411	0.542259814043	0.538588167748	0.507358068004	0.572442960609	0.556981471485	0.596484570898	0.528426222022	0.559152904274	0.519930217331	0.55186739406	0.568841199359	0.532187496277	0.631971984498	0.670319614722	0.526938236942	0.624501303809	0.57908798214	0.48779851908	0.539523676672	0.529126719637	0.512015824624	0.621504875865	0.512884039975	0.519700124705	0.633106353267	0.663206087726	0.668976668519	0.52529597289	0.536778325349	0.676021267747	0.615369215091	0.68003830482	0.525760307176	0.604879357356	0.664655588499	0.640995738436	0.657978192936	0.575086372579	0.602617183368	0.627947029436	0.59436468186	0.69108661988	0.538965276744	0.723361869859	0.654859046154	0.555343902368	0.698719049804	0.685989333421	0.640144041194	0.597513623718	0.675590235923	0.655586363192	0.682546715459	0.60937100243	0.60366987153	0.681081317258	0.645988968932	0.664872520576	0.675659507073	0.676666231699	0.658490977465	0.62574698903	0.722978383611	0.529167413192	0.525558353292	0.543184033822	0.548096732491	0.517961349164	0.657060890861	0.565151167708	0.630054108766	0.55921113146	0.705183593827	0.565536474752	0.619157800663	0.558656797313	0.488025242518	0.602173483554	0.50396192622	0.489802455242	0.555520660971	0.531333839386	0.504266553707	0.516388142835	0.552097118346	0.53341356528	0.529941530866
L.012.M1	0.532258532691	0.566964116461	0.619240584233	0.565802189073	0.52457441496	0.63767628844	0.572733998345	0.561921607427	0	0.503435411222	0.546008250681	0.574837094254	0.595611215466	0.628108625374	0.523876509021	0.621400929198	0.592363218967	0.632526370756	0.554041102271	0.662043578434	0.6543825711	0.779365922557	0.56211412955	0.673049530055	0.589748430156	0.70145794264	0.613643594053	0.75073973746	0.599829684353	0.569319646912	0.669456719364	0.730883906043	0.604515817185	0.680431249574	0.657953432205	0.54181943658	0.715071532924	0.629999375361	0.647230063727	0.647370139801	0.708666244291	0.68712316321	0.71642804466	0.756203149985	0.672771753537	0.642884052742	0.675894668075	0.706124296621	0.689990406363	0.677666807978	0.704461534636	0.673333550888	0.713551846023	0.652076936578	0.670855328766	0.61295453849	0.745628614858	0.685594781499	0.758414203614	0.628050768899	0.567174236425	0.603401777472	0.739616084046	0.533641800321	0.588654580277	0.572566470733	0.553429452615	0.557435734655	0.577814990984	0.698265911458	0.568856019707	0.652992528428	0.715190025782	0.558372931347	0.579405122503	0.533887239422	0.563241119028	0.550533287473	0.517389409089	0.562940062658	0.541053151714	0.523891487804	0.536059002598	0.503682342489	0.601249009517	0.562688861079	0.571037572303	0.538867563993	0.564914009947	0.519519202504	0.584654805876	0.626447567036	0.578213017108	0.661426972393	0.702075729715	0.535210368912	0.662529500504	0.5711603283	0.562688258187	0.591318282757	0.576925594436	0.566733335716	0.662423900481	0.531999760615	0.600803146745	0.646401459575	0.695906684322	0.665844873059	0.525576206867	0.615565761089	0.735149889842	0.614272979378	0.724576623462	0.587665950088	0.625578687227	0.664476517415	0.648257579449	0.690494054864	0.599442154892	0.627983776872	0.658112663565	0.590631271668	0.675451711835	0.568662640382	0.733409833133	0.667627203055	0.575868874654	0.689233593062	0.655754542656	0.603796692243	0.624252231056	0.686198596859	0.676250718527	0.674926194589	0.671296307335	0.607534140738	0.675817036163	0.645003423525	0.692391600978	0.66963516151	0.673656058681	0.692684273835	0.629699354037	0.754244178332	0.551538130633	0.546158062523	0.522296923685	0.577344652553	0.530086299451	0.628720874688	0.565796978908	0.587063332828	0.562389534488	0.70596108325	0.569333674914	0.581799400258	0.567434852243	0.547828598156	0.575377789008	0.515976392039	0.508880045579	0.548892525272	0.546844535029	0.553558593829	0.552224429848	0.5581884894	0.580914757916	0.554724537571
CS.293	0.453413987045	0.53330679123	0.602892948605	0.553701036404	0.423479086279	0.614067254319	0.520789538964	0.50934817467	0.503435411222	0	0.48226458782	0.613575624715	0.648244465784	0.673421591169	0.533125809606	0.611282569095	0.564508031478	0.64117547291	0.481188581489	0.682386357487	0.697028145609	0.791361621366	0.543275163106	0.674450800457	0.569778356856	0.710729601824	0.617652008577	0.771393888447	0.618316159133	0.537364553486	0.694388759264	0.727808032698	0.561170218122	0.704621458648	0.694797301816	0.51053235831	0.721169646766	0.627946491226	0.64506101373	0.671477744636	0.712689115433	0.695408294733	0.733108551949	0.774371641856	0.681994156767	0.673628871517	0.679487215908	0.718009291363	0.65950388959	0.688781028526	0.694041559128	0.676662297419	0.716553519456	0.658846560033	0.668791677287	0.645094389327	0.766702101871	0.695199702888	0.773653437685	0.625841423718	0.590834739387	0.612439472611	0.766686868152	0.464221435152	0.554736925297	0.558902235987	0.506258439584	0.565205634445	0.538004321706	0.7432025065	0.551499452952	0.651224123269	0.685592334254	0.573838613155	0.536296623337	0.458837986001	0.528723305923	0.521623308538	0.433549076087	0.524528805671	0.51202307305	0.439875829439	0.485462312115	0.418511610597	0.594100949587	0.540431489047	0.56454439131	0.500919604853	0.539427013969	0.482986892366	0.567237725224	0.588893865377	0.522016975001	0.661989743393	0.696940396582	0.48552798716	0.687009858282	0.588344226986	0.525329367548	0.536482557155	0.488195425846	0.563622011286	0.641063429269	0.466193310336	0.56095739727	0.661800686005	0.695360770909	0.659589333104	0.47608840655	0.598085439828	0.767876704263	0.618695337657	0.732584123117	0.539670811942	0.622903166198	0.69007642778	0.646468632613	0.669968450493	0.60219896181	0.659890291966	0.684272220861	0.610690833941	0.674675160202	0.528662795734	0.767773806732	0.661336971122	0.552954748308	0.709547266041	0.682908745837	0.614117352843	0.639004085708	0.692075752889	0.65794602502	0.685349363366	0.686493231134	0.593834019239	0.685388218859	0.647667700023	0.702300227615	0.67614614559	0.683205465107	0.678635297557	0.644095674209	0.761344609712	0.515355401241	0.511791740471	0.514291197089	0.545003037855	0.455203062448	0.653839013123	0.57076112967	0.593553292295	0.494816615392	0.725929768672	0.544954784694	0.583528621142	0.525371900455	0.470982575536	0.572500652674	0.447455437376	0.423653917491	0.480464737086	0.510646188628	0.480008803387	0.439225279013	0.481176609709	0.486749807545	0.488875936542
