L.035.M1	L.008.M1	CS.098	CS.059	CS.016	CS.091	CS.108	L.031.M1	CS.028	CS.105	CS.244	CS.217	CS.104	L.011.M1	CS.017	CS.171	CS.064	CS.290	CS.373	CS.366	CS.360	CS.058	CS.153	CS.076	CS.229	CS.154	CS.327	CS.137	CS.117	CS.155	CS.292	CS.205	CS.041	CS.136	CS.128	CS.282	CS.374	CS.126	CS.224	CS.375	CS.302	CS.376	CS.236	CS.380	CS.203	CS.389	CS.178	CS.182	CS.359	CS.323	CS.254	CS.147	CS.386	CS.369	CS.166	CS.385	CS.372	CS.177	CS.214	CS.129	T.CS.050	T.CS.085	T.CS.052	T.CS.014	T.CS.056	T.CS.034	T.CS.076	T.CS.020	T.CS.072	T.CS.082	T.CS.038	T.CS.069	T.CS.004	T.CS.019	TFS.024	T.CS.122	T.CS.128	T.CS.129	T.CS.134	T.CS.107	T.CS.132	T.CS.120	T.CS.097	T.CS.180	T.CS.177	T.CS.124	T.CS.130	T.CS.116	T.CS.161	T.CS.092	CS.110	CS.006	CS.087	CS.242	CS.082	L.034.M1	CS.246	CS.085	CS.015	CS.238	CS.241	CS.237	CS.088	CS.356	CS.103	CS.346	CS.345.0	CS.358	CS.387	CS.347.0	CS.325	CS.150	CS.234	CS.191	CS.207	CS.308.0	CS.304	CS.330	CS.336	CS.274	CS.320	CS.163	CS.321	CS.339	CS.343	CS.322	CS.158	CS.285	CS.318	CS.080	CS.227	CS.194	CS.152	CS.319	CS.331	CS.255	CS.262	CS.270	CS.393	CS.390	CS.326	CS.370	CS.253	CS.145	T.CS.064	TFS.020	TFS.027	TFS.025	T.CS.045	T.CS.049	T.CS.031	T.CS.061	T.CS.066	T.CS.043	T.CS.036	TFS.021	T.CS.026	TFS.022	T.CS.008	T.CS.109	T.CS.095	T.CS.166	T.CS.157	T.CS.158	T.CS.141	T.CS.151	T.CS.142	T.CS.152
L.035.M1	0	0.539590907713	0.621298782045	0.600092616408	0.59179214795	0.595831114143	0.674931884135	0.593731601606	0.620021272553	0.574980743708	0.668271628151	0.614742695211	0.571799890774	0.539630310495	0.626440670599	0.614252006967	0.625412388607	0.541108010113	0.520809553259	0.608674060895	0.567608971931	0.576790967689	0.6140242059	0.615680455579	0.571362556574	0.702399278782	0.600690690398	0.530739858068	0.588510169675	0.544388229168	0.60300470821	0.576072135376	0.643512469659	0.600963934988	0.587932013467	0.560857579334	0.593809143202	0.510404723745	0.662773056602	0.518944602303	0.636383020495	0.548752156055	0.673899166384	0.546531355146	0.572457475105	0.532698244769	0.590928139018	0.511038899903	0.627162851554	0.55654488458	0.567029257795	0.549221613689	0.577787024799	0.681239483291	0.588391387789	0.585213986376	0.56269209447	0.574336299694	0.559770905489	0.524037767155	0.573681282428	0.560241467742	0.570517852681	0.600358985642	0.630606884778	0.566194656719	0.529311991099	0.640811979872	0.564998710775	0.537122528583	0.621266992504	0.528555957444	0.518438216519	0.58987247981	0.545480835831	0.542708448888	0.584505487964	0.61027256274	0.557919167871	0.560365668302	0.611695999184	0.544362304013	0.626916392915	0.594782554811	0.574628905884	0.578911991055	0.557532754876	0.583673950622	0.581901197424	0.648211362597	0.610614438561	0.571442442046	0.592305957334	0.534585605991	0.616491867922	0.567385870938	0.551793200619	0.596759023444	0.643202594762	0.588162014917	0.612262973883	0.60777675923	0.65153760666	0.631189994675	0.623009384857	0.652162529939	0.679417380505	0.655525266135	0.478447250618	0.606640016895	0.659725418389	0.558836004382	0.604519440144	0.582270117282	0.59114758463	0.629920675887	0.642574529745	0.527913320837	0.539859501102	0.537761585059	0.525601691339	0.602514510603	0.572849722872	0.576776116053	0.515634961501	0.579764027763	0.604316796655	0.644942734092	0.551692522509	0.575600739272	0.694307105031	0.618953183649	0.548589250197	0.547393247684	0.577557331142	0.538082953671	0.55582729737	0.57453061663	0.625360929384	0.555756370504	0.527823828566	0.568109262301	0.667424411618	0.514285057356	0.5161941375	0.572096190909	0.560405710731	0.513866071554	0.527206866163	0.540953601133	0.528232713024	0.521895303845	0.582488480393	0.549411147549	0.607159215806	0.555803302502	0.627964771582	0.5816382526	0.531426994424	0.59013188183	0.616842784813	0.53325225904	0.566536905448	0.546472045246	0.587256965681	0.562334177817	0.561165953113	0.540272998241
L.008.M1	0.539590907713	0	0.682334974341	0.67672343637	0.632999923812	0.615502873859	0.705113644714	0.650748107641	0.650636538509	0.649570116494	0.700766911999	0.676344138962	0.632314289851	0.612889742551	0.662833772577	0.644281865906	0.678919696093	0.559504687658	0.559577212024	0.57323716166	0.577514852221	0.610130257951	0.657775283832	0.610481405166	0.612270484436	0.694195756114	0.644846820808	0.630136314399	0.639201628002	0.582071668787	0.644542283772	0.570435984341	0.638854507251	0.604283617383	0.622719339351	0.569179921925	0.602446646202	0.616701998963	0.620704510759	0.60350184504	0.642064406068	0.569605284867	0.687543516867	0.630723296672	0.650113486891	0.571492100217	0.665741369557	0.575817550027	0.618810269056	0.593163239928	0.605361189111	0.554508453971	0.616783456589	0.666565747061	0.633432704616	0.611240634702	0.586014842902	0.601066107341	0.64014779235	0.604424211844	0.628104595911	0.620113830865	0.618923528346	0.650477528275	0.647245538025	0.667257518741	0.587211850274	0.705494991175	0.637777150579	0.643762589559	0.678971470338	0.608509404768	0.577204253582	0.627182378657	0.607586757062	0.640389302925	0.639368548402	0.698134173062	0.6446260094	0.664973531293	0.693045757814	0.616400256057	0.689053226428	0.672348066626	0.675565766164	0.660655696107	0.656022344996	0.630541637534	0.644635074872	0.690152193533	0.605548065154	0.620914754852	0.624256157849	0.639483916587	0.674547653145	0.622532170925	0.633592434403	0.628212181565	0.681121030704	0.610344824463	0.683103985407	0.59401932232	0.675500667346	0.635371674069	0.653935625409	0.593524030993	0.648777725469	0.641402810412	0.557482743838	0.576876040327	0.629268897846	0.595523095931	0.623256308385	0.680380877326	0.597047652578	0.622409127054	0.673274484946	0.559898138806	0.622771025063	0.552470548115	0.569047220053	0.626577765451	0.643374148192	0.595782665259	0.550296829783	0.563477625451	0.584721170166	0.627748272678	0.52328665386	0.606420742749	0.674702477709	0.586087776646	0.63963945218	0.54170612209	0.616633111053	0.568641820512	0.575918761215	0.609594129297	0.666128488592	0.57015702913	0.563734161097	0.59602506446	0.674463824301	0.613032148233	0.627072731845	0.662735849057	0.63820255084	0.562940532627	0.643629106129	0.515975162519	0.634821376362	0.590886240773	0.669964635643	0.649078695133	0.672947650971	0.637467875783	0.641437588633	0.686739072696	0.613012490204	0.671303557009	0.68509711587	0.654006511818	0.637566773588	0.654103500472	0.656500318663	0.636603259274	0.617338112529	0.653931913622
CS.098	0.621298782045	0.682334974341	0	0.490342875384	0.587622891794	0.667979757162	0.557987502776	0.556366839725	0.494646202964	0.502284634083	0.650427476228	0.511822718297	0.560203288264	0.554173223137	0.527114184494	0.597213225069	0.578140897408	0.690122629769	0.626387192147	0.739038899252	0.649094030606	0.626620701362	0.589737485845	0.665207035971	0.660964417777	0.771112659985	0.593375856284	0.557082448116	0.545229008647	0.550251053505	0.582706999288	0.734275780706	0.642084985517	0.632040770438	0.612406692772	0.713393169076	0.684875737711	0.55428340257	0.782481103133	0.654281375279	0.760588688774	0.68774603669	0.698631898389	0.528149337649	0.571418340397	0.665461920099	0.603463154071	0.60339492013	0.766046729035	0.656699719792	0.672919000575	0.687775605937	0.731274548492	0.763173594251	0.692169160514	0.656857172632	0.656219396809	0.701027179807	0.690562717239	0.6090026056	0.633012215465	0.585400496768	0.654363089068	0.565576416164	0.645868230335	0.555701558702	0.590612823622	0.498805221667	0.529871405662	0.581242881547	0.502615334889	0.588584795462	0.611240993873	0.655464745721	0.583981003614	0.515873544129	0.554805236797	0.509830767146	0.576765409521	0.53317883157	0.513020703334	0.561768154577	0.513686072607	0.580565225222	0.511680463601	0.518252321423	0.516923120161	0.628294730517	0.561823027871	0.571606047389	0.655212714049	0.575952781726	0.644395115834	0.518566531259	0.550209112066	0.605206742726	0.562926540251	0.534482434208	0.570692043632	0.577726921497	0.476239139471	0.671944341796	0.660356511613	0.724575936055	0.524155403145	0.782197460403	0.784847802683	0.78703808193	0.63081288989	0.698443672345	0.772080796377	0.599272425443	0.703497222239	0.513244981343	0.710305363885	0.708756643935	0.721256120125	0.674630702152	0.641913565551	0.715290277201	0.60851567208	0.676045422133	0.57436105276	0.689343883326	0.699677469387	0.706928681571	0.665600787704	0.752665941699	0.687776215423	0.597440707781	0.804836698449	0.768949100578	0.532352734367	0.684143961202	0.576751088079	0.610067092413	0.665655415963	0.67101558754	0.679446276804	0.663431830261	0.65022129682	0.65076134323	0.756540727757	0.611253501839	0.532274506326	0.498681432676	0.563592837153	0.632970250778	0.599633839588	0.678423929681	0.552503176518	0.638972155219	0.533172212163	0.582344458927	0.548872449824	0.597391584078	0.734120867344	0.516285433209	0.629418902764	0.521757162059	0.496486578723	0.582637860574	0.582519315432	0.532273513359	0.582476181342	0.556268204784	0.603048300777	0.554513081022
CS.059	0.600092616408	0.67672343637	0.490342875384	0	0.579921858096	0.653354661052	0.595199303995	0.552909084514	0.498534737371	0.487710347985	0.668649617921	0.537340437718	0.545474243004	0.567985298779	0.588257943427	0.600772688973	0.555093167452	0.653932033722	0.579125156365	0.70862753977	0.596574287677	0.593497646749	0.574471551887	0.651366757209	0.619303040352	0.744818863031	0.592882758685	0.528534243249	0.564045187428	0.524323214375	0.564795347437	0.69595500564	0.602267845615	0.594918465402	0.572651544857	0.685856399774	0.628493573134	0.512427333946	0.762361002302	0.603599606579	0.703566971259	0.643968645144	0.673941669486	0.529057161288	0.561697409661	0.619871269081	0.576885990475	0.551525284306	0.724027699755	0.612370472843	0.62828319214	0.644885668862	0.692267726204	0.711289355814	0.65535170189	0.622994555675	0.614034609298	0.661872707331	0.630209420931	0.599875445983	0.603643731388	0.55242010591	0.596117909297	0.552925232227	0.631645454284	0.532757730966	0.54611960176	0.550950853073	0.522570962951	0.545726756878	0.556543958949	0.538200059383	0.571545785858	0.600912973257	0.550328956433	0.518388844562	0.561521635114	0.535159567403	0.535071646075	0.515065721753	0.548388222585	0.553083295998	0.527998852072	0.587806148076	0.544271221159	0.54236192951	0.515478556527	0.611718695343	0.565933726563	0.59043052875	0.626909409802	0.569877140586	0.635012887685	0.521450460472	0.550280737438	0.58261036584	0.561438881177	0.530002999271	0.602466937235	0.567384857861	0.516263265039	0.629059462031	0.654375962989	0.696759417007	0.566943748936	0.748944951663	0.741559593275	0.749532196714	0.574079311395	0.662961102686	0.733990716923	0.586119900932	0.659289947591	0.499986639117	0.680835352439	0.660826980607	0.68955169553	0.624097462689	0.579409069019	0.660898145443	0.577422316515	0.64788148547	0.572118138828	0.640667692501	0.656033203139	0.656316211251	0.628278934588	0.701856700113	0.639796679328	0.575371028173	0.776279207402	0.740649872937	0.51168339587	0.655489489214	0.556242656377	0.601398546993	0.639948942412	0.63662039723	0.654172991431	0.639936114628	0.633073825766	0.629577172251	0.729270093909	0.569725976281	0.528335765543	0.507874047581	0.529047311878	0.576166613791	0.554453875112	0.641903318051	0.526842567857	0.58440323999	0.543034730956	0.567050171211	0.557046336626	0.568506711395	0.691061615333	0.512940270048	0.58162999008	0.538357512789	0.54658154376	0.541873259673	0.583598930259	0.514870300375	0.59043684735	0.562676589795	0.593705313432	0.50965036615
CS.016	0.59179214795	0.632999923812	0.587622891794	0.579921858096	0	0.640688183591	0.625565684353	0.614160472245	0.582196663953	0.552754052066	0.653679742492	0.570770236615	0.543464036566	0.542318693372	0.558914435063	0.572889826081	0.59145049721	0.632388183139	0.609523068307	0.677731921163	0.627251509872	0.587093901916	0.578446320929	0.611327782342	0.592573502945	0.721375838548	0.613296605206	0.595748962388	0.558885535326	0.619109638355	0.600109296004	0.664083259894	0.61207063463	0.601637426861	0.578482592248	0.649316419356	0.66210547502	0.586985625194	0.733857599994	0.568667405311	0.700451761572	0.615957443602	0.654540626713	0.568766112655	0.565320826132	0.642763537698	0.624911332743	0.629096181133	0.695823947557	0.627039409111	0.645708503556	0.634296081767	0.676551413397	0.697259561596	0.662751349075	0.637387693809	0.645542449714	0.657099908939	0.616847506991	0.594234955117	0.568338664068	0.580460450084	0.644022309499	0.611279525759	0.602128934682	0.582145444911	0.619359487504	0.644806057013	0.581892803442	0.553840578184	0.618272466284	0.628525431611	0.59267818127	0.58340748745	0.584431027135	0.580722012581	0.635148583785	0.62024037348	0.591045585036	0.589185127021	0.644250037939	0.585602518772	0.593281452609	0.572567013706	0.591639875283	0.574656496063	0.566062049404	0.5800742305	0.620473091717	0.620523094445	0.6262359821	0.526456701981	0.556098067152	0.557291061649	0.584033411311	0.576682890501	0.559643371243	0.568838199264	0.572508006018	0.548382705401	0.57312613984	0.604645279337	0.620104322853	0.664208183816	0.573992798115	0.695769501325	0.697967160771	0.723657631673	0.58187156936	0.638636432343	0.748994957927	0.602078227855	0.676327871453	0.573607992188	0.666280417483	0.636364435056	0.631828000674	0.632380180759	0.60460102406	0.648598677193	0.615818567992	0.598624495691	0.553109976975	0.599623705811	0.637243254236	0.679071130376	0.572135317564	0.6721062133	0.628269131963	0.561099281106	0.728673013442	0.72573043505	0.568556846117	0.62670967639	0.600627705727	0.614726066194	0.637807815075	0.656417443786	0.634565680118	0.622966673366	0.617308767954	0.621986977534	0.719836460814	0.60407462197	0.559554523557	0.601554701271	0.564780411193	0.58311191913	0.583440196104	0.645927960491	0.574159577417	0.578774242038	0.614542965345	0.602350401786	0.609435069697	0.603885833483	0.71010353854	0.614235348648	0.595997197153	0.604866346076	0.622723540943	0.595448015492	0.580755380903	0.583365120751	0.62227547601	0.610168879025	0.620612954388	0.595484950372
CS.091	0.595831114143	0.615502873859	0.667979757162	0.653354661052	0.640688183591	0	0.650755205991	0.643198858229	0.630984934821	0.636417792719	0.69449468758	0.668997014219	0.598029753227	0.655033870041	0.673321114691	0.64593929156	0.623769544503	0.593044807458	0.576997448418	0.609434753131	0.612125756055	0.573035332322	0.617860921368	0.519377079033	0.595503287254	0.658042847564	0.683835289017	0.639461188045	0.643270203066	0.625195119403	0.573454641443	0.599934234823	0.635168402225	0.574826880994	0.60204215205	0.602440802764	0.590344513873	0.60254005793	0.657047273827	0.587707166895	0.624189956138	0.575236441227	0.653057113892	0.649368997943	0.65398002027	0.557448403015	0.633870978415	0.583622127646	0.6263235182	0.566864684007	0.600084945964	0.573978393442	0.633642899238	0.622624559083	0.616915953548	0.562890893694	0.576248226142	0.585747745273	0.584976202141	0.621799753081	0.665626541954	0.652372502478	0.635389310136	0.643577853935	0.695820782806	0.676739345242	0.630813532579	0.690649883975	0.639167681607	0.66500469759	0.684108035362	0.632988327529	0.631291381173	0.648524214703	0.652019133077	0.648350252854	0.62319492326	0.668908401379	0.679684715637	0.683781139594	0.687475818675	0.643928442945	0.689740872981	0.679957225991	0.679768048017	0.668473695086	0.653809435101	0.657220548117	0.658760506483	0.696225216483	0.60117876755	0.636858825948	0.653690740445	0.65986153589	0.629815818598	0.651363871708	0.648002494769	0.616654416442	0.68731094086	0.630638573349	0.668482059076	0.591414254023	0.706770624454	0.653374104747	0.625760274416	0.657847978458	0.647516959295	0.655758409455	0.59683970127	0.595287544756	0.657793190126	0.590744136999	0.636885755825	0.65158849238	0.612086027328	0.612517757843	0.633106506911	0.575300725787	0.612329709453	0.595485877787	0.589657111457	0.622130157411	0.66000290009	0.634933759015	0.567247007776	0.61093121022	0.608201042985	0.614585299153	0.588031831924	0.584395620989	0.636678209721	0.664982165957	0.62545218816	0.56948650895	0.59333009622	0.579821166252	0.607573052032	0.579021189982	0.647181607244	0.562146185704	0.584358624469	0.615450615685	0.644860979719	0.622386889263	0.651786832661	0.677055872543	0.677966531408	0.638798046486	0.661896879901	0.635305462393	0.65924844437	0.650939940153	0.680388415063	0.671588652849	0.65629291823	0.659618910879	0.665394560387	0.674664145966	0.660878115565	0.672990442325	0.702469643689	0.646999934028	0.675727722662	0.657891174495	0.707000162821	0.683121461201	0.695690330518	0.650348332491
CS.108	0.674931884135	0.705113644714	0.557987502776	0.595199303995	0.625565684353	0.650755205991	0	0.498304580564	0.563028258312	0.591091124193	0.630246543122	0.577854121557	0.579524170728	0.61175277654	0.601317793571	0.589072775317	0.566606949398	0.712421779138	0.630269879409	0.744366970328	0.665446165767	0.609826128174	0.596916661424	0.612680270982	0.676408297827	0.772073737393	0.627692268364	0.647086944117	0.602414874359	0.605540282641	0.601060523443	0.754435078122	0.657123710078	0.61955417632	0.636381270632	0.706344858219	0.688588316297	0.621742091082	0.780521028466	0.69575735881	0.74413600824	0.689459800679	0.615258462161	0.635784201329	0.650741300102	0.664662186136	0.66240047635	0.618714243578	0.718154022571	0.656151172534	0.687604268776	0.690989720148	0.715280205133	0.718455294008	0.698627277077	0.646633553129	0.657242393122	0.713517870944	0.685027327692	0.63637519464	0.653709742895	0.649069572882	0.671556652642	0.608684167898	0.662335099064	0.644232048803	0.609492452441	0.527876846947	0.601631637901	0.644461835963	0.556968652646	0.666092221257	0.699312172277	0.672978256363	0.672863270322	0.596164939936	0.537226761899	0.610259096263	0.649324740481	0.599604510858	0.578438909881	0.645051942006	0.600983024003	0.55293400217	0.586291030412	0.569051978146	0.587422577764	0.595156398448	0.60376506282	0.631698584412	0.656434132582	0.59855774507	0.656863651879	0.58212073651	0.557750966523	0.646801862211	0.597846485898	0.539053443715	0.629769912551	0.612874635896	0.56261165017	0.638700342033	0.707689012166	0.744868203239	0.541489440763	0.746561603118	0.763638086968	0.794460974319	0.692764869719	0.706839967616	0.799549498753	0.616056991013	0.662539264143	0.614073957395	0.678525969328	0.666008899174	0.703149294509	0.687311335538	0.679130032663	0.73789037129	0.659010531098	0.626054485675	0.621056109912	0.700599722406	0.700565052191	0.735841279714	0.623309530314	0.722404976855	0.696518266702	0.616123529981	0.791148019637	0.794081890016	0.593871496403	0.689535647975	0.557349938676	0.634953383515	0.713799002089	0.693527965942	0.685806889258	0.670546137065	0.643846218538	0.684903895609	0.732181433534	0.655851877472	0.632346042665	0.572256751006	0.681137539211	0.717202328437	0.666140650246	0.721349586171	0.644496561173	0.704235520283	0.599751102397	0.66646115203	0.532379150975	0.682027830075	0.747437092106	0.597133875974	0.734897893353	0.601302677232	0.608237505542	0.634117877209	0.641204845789	0.610255465434	0.686151559378	0.679283028435	0.719891352164	0.616854368196
L.031.M1	0.593731601606	0.650748107641	0.556366839725	0.552909084514	0.614160472245	0.643198858229	0.498304580564	0	0.534416367895	0.546507352569	0.657717450024	0.581425240081	0.58029162553	0.571789534891	0.637329568561	0.610339796877	0.555008752216	0.630623890981	0.567437465918	0.695076648183	0.607569250075	0.586437059924	0.570518788531	0.61171582377	0.629770789434	0.756930216418	0.633248802185	0.563852348726	0.613150501118	0.517935065578	0.575577031336	0.669743250299	0.645668080201	0.598119056498	0.58799290494	0.634178709882	0.62429646539	0.549905150049	0.7340797471	0.627759379439	0.695477706579	0.612397676664	0.660309836803	0.574044049544	0.598919146166	0.594473169574	0.602873341439	0.539240374613	0.684820924247	0.569604842858	0.605283001455	0.637054233001	0.700742306593	0.700718599015	0.643397718737	0.580967101991	0.606951183011	0.67165619102	0.628128140792	0.596273978887	0.618940497953	0.584000684642	0.60504997948	0.541873649939	0.679084484214	0.595048304089	0.51811824864	0.537391235353	0.5288325097	0.591443919492	0.499653866107	0.582459116003	0.611570302012	0.61862659236	0.599712265947	0.503256891689	0.469779321899	0.531223665354	0.58897973174	0.546216042846	0.491171044937	0.5668301478	0.555567485362	0.543045757002	0.520346144885	0.5318715671	0.496414015963	0.597246390145	0.527456184948	0.537464542603	0.637754980786	0.583661209211	0.659468131932	0.507588013047	0.519300052964	0.611864326653	0.528330200269	0.526167990035	0.662770017004	0.606813642919	0.583715368849	0.620337923218	0.716845778915	0.687883710802	0.575609343217	0.718121377148	0.738342004102	0.735601746868	0.610027695742	0.679521294753	0.743882539703	0.544186212179	0.630056563455	0.570635089423	0.638179856948	0.661542033807	0.677980408066	0.622300913181	0.601079409002	0.658209241529	0.586961569705	0.626749338211	0.608755587436	0.670146915635	0.628012729718	0.672630632564	0.627494978631	0.69872901162	0.625964995845	0.599003459214	0.7702824753	0.736038038009	0.517715808445	0.61920519999	0.491780929858	0.568936692217	0.672325183015	0.633051998095	0.653214793683	0.639060949819	0.580237507582	0.624438547934	0.701495978527	0.571908078567	0.590385882025	0.525536945391	0.620418948166	0.627586843343	0.621932941045	0.628745245278	0.597382281016	0.620288707949	0.554071549009	0.621834185137	0.543262037255	0.643722827803	0.713801010643	0.517070807789	0.667292663502	0.533714892148	0.5702968137	0.537372321605	0.609213032821	0.508388949929	0.664582789338	0.627246962057	0.66968169574	0.552338675826
CS.028	0.620021272553	0.650636538509	0.494646202964	0.498534737371	0.582196663953	0.630984934821	0.563028258312	0.534416367895	0	0.520604230219	0.608291354915	0.518947360165	0.534761591953	0.569310527927	0.548366756331	0.549021522609	0.552128447974	0.668600871198	0.593419111292	0.710465074902	0.612129259557	0.564511995753	0.517800026495	0.56852478831	0.633187923795	0.725875998142	0.600578331232	0.586030618085	0.517126367118	0.56651307135	0.537114088451	0.694094389771	0.598103721576	0.56990554659	0.606927981114	0.671024243559	0.640737055671	0.56823303491	0.7406917472	0.64149443726	0.709135206552	0.655877670264	0.664703161289	0.572436537746	0.594541879312	0.648213192697	0.608621418545	0.595042279625	0.711969740445	0.626963047778	0.640704209906	0.648668196591	0.700870477755	0.70046337447	0.653316768471	0.623910233016	0.629001881737	0.692349204658	0.640384107395	0.595815477922	0.599793166501	0.599401085954	0.642931110044	0.583699401771	0.633616492105	0.589525993966	0.581983486029	0.550635066851	0.572619908259	0.593097118051	0.528171266326	0.588917718795	0.61705147208	0.614765854687	0.600613846635	0.552108535377	0.529050914785	0.534970686337	0.579562671235	0.564097569009	0.555895949582	0.567765741394	0.534403020317	0.556231122404	0.538828476368	0.506311967426	0.528992587413	0.565499727259	0.515582860809	0.568222296116	0.60108517619	0.529063272689	0.608419352033	0.53023942613	0.477603043409	0.59245910861	0.532958776384	0.464574936739	0.577929754757	0.542925592837	0.531343414408	0.579187416847	0.658852426738	0.683250416096	0.505812837269	0.72559114555	0.714277311513	0.729057602125	0.612305406569	0.653284401149	0.743264098257	0.526332675727	0.63614555672	0.536382663683	0.658743641956	0.634670737599	0.682491089321	0.632285358553	0.621898653335	0.687183580287	0.58632381923	0.594954374105	0.584090399431	0.672294866077	0.663389595264	0.684129902519	0.570434005227	0.700224025347	0.642324628319	0.555475534669	0.769361696256	0.732819036974	0.549274459137	0.648936638827	0.539065795289	0.596202217834	0.638544212243	0.627301047232	0.639306742463	0.64621372983	0.608290498367	0.627484386929	0.706458562808	0.609817431898	0.559833856062	0.541678845313	0.596036563516	0.62383323587	0.601753581558	0.645684204209	0.564673913516	0.633240772865	0.551539161973	0.608376112398	0.526008405139	0.627922986259	0.708938805589	0.537870298529	0.653114537881	0.538300734664	0.546384161918	0.565247241007	0.574706541185	0.544497264057	0.610703674724	0.580705423426	0.632411310734	0.567588688638
CS.105	0.574980743708	0.649570116494	0.502284634083	0.487710347985	0.552754052066	0.636417792719	0.591091124193	0.546507352569	0.520604230219	0	0.660747929961	0.519498452385	0.51483336296	0.534224027878	0.564743373113	0.570012057508	0.533882256535	0.643094179553	0.570201234563	0.704395070815	0.589880790529	0.565565598652	0.535379735617	0.608294293394	0.610299226022	0.744056986525	0.591848404053	0.481812176273	0.538901934836	0.530912040395	0.596703614987	0.691451383575	0.577182816994	0.575927281996	0.570732601164	0.665825426797	0.658925628615	0.490116273839	0.743887713028	0.592921740662	0.697522992174	0.624025718539	0.670347758728	0.504287495929	0.502218768351	0.616161706884	0.586582147524	0.559336519399	0.697717907411	0.595808181784	0.630670605182	0.635293174066	0.704923492992	0.719397390628	0.659179706552	0.613102536457	0.617045353459	0.682129503878	0.617321092077	0.61371469936	0.567652028875	0.501592823599	0.601085425423	0.563483521944	0.619148000806	0.524300198461	0.544092827634	0.552271092881	0.491666869218	0.499420729879	0.538590576889	0.537574109011	0.527639762052	0.599067784398	0.510680314019	0.465144244682	0.550874800906	0.535430580937	0.499568196161	0.500056023739	0.548554867052	0.523698316869	0.508829874076	0.568343501869	0.53340016038	0.525775793425	0.506537771508	0.581843735278	0.576078267304	0.569995943659	0.626505074482	0.525610277988	0.588447723777	0.485305202248	0.531759726275	0.576653810095	0.510859757177	0.521244560059	0.602241015052	0.546996050393	0.514188473219	0.636169605997	0.639049811819	0.671659401298	0.573535730677	0.718970430339	0.741923841149	0.745093057295	0.562950176266	0.661068959695	0.744214256754	0.574429734771	0.6547065468	0.493768008506	0.675947052139	0.654049158293	0.685152762495	0.63079220255	0.554226634873	0.648305124476	0.579903070213	0.619953405293	0.517106244618	0.610070344752	0.642603261872	0.673630584812	0.625600572575	0.70305381986	0.628471720539	0.492381881941	0.770987335059	0.729525549794	0.484009601765	0.627692881571	0.577462906023	0.597702067078	0.65416465774	0.630858727556	0.653473096151	0.638884610596	0.602860337722	0.609135489762	0.7291730326	0.550924740866	0.503337592185	0.495197674914	0.523570040727	0.515341306909	0.523688568715	0.628999962872	0.518366789954	0.54141000321	0.521044908075	0.531002669371	0.55231373003	0.556721874214	0.693399416437	0.489559145706	0.556448308545	0.525296035115	0.549570959278	0.511390589083	0.556822019886	0.49011994429	0.591905270276	0.533193281311	0.585881454423	0.499027248907
