CS.010	L.005.M1	CS.174	CS.043	CS.086	CS.106	CS.260	L.001.M1	CS.245	CS.101	CS.098	CS.003	CS.264	L.011.M1	CS.108	CS.122	CS.060	CS.117	CS.155	CS.382	CS.365	CS.290	CS.073	CS.334	CS.067	CS.040	CS.371.1	CS.058	CS.186	CS.062	CS.125	CS.282	CS.213	CS.203	CS.236	CS.232	CS.126	CS.136	CS.375	CS.128	CS.041	CS.292	CS.205	CS.374	CS.224	CS.166	CS.323	CS.214	CS.254	CS.349	CS.129	CS.183	CS.181	CS.395	CS.385	CS.348	CS.147	CS.372	CS.182	CS.359	T.CS.025	T.CS.042	T.CS.007	T.CS.016	T.CS.014	TFS.023	T.CS.057	T.CS.003	T.CS.001	T.CS.058	T.CS.052	T.CS.035	T.CS.050	T.CS.079	T.CS.056	T.CS.117	T.CS.106	T.CS.177	T.CS.118	T.CS.110	T.CS.097	T.CS.128	T.CS.126	T.CS.147	T.CS.098	T.CS.123	T.CS.091	T.CS.092	T.CS.180	T.CS.144	CS.085	CS.087	CS.237	CS.238	CS.356	L.024.M1	CS.088	L.034.M1	CS.082	CS.015	CS.242	CS.103	CS.241	CS.110	CS.246	CS.325	CS.336	CS.164	CS.363	CS.228	CS.207	CS.304	CS.347.0	CS.191	CS.165	CS.044	CS.308.0	CS.189	CS.212	CS.151	CS.343	CS.320	CS.322	CS.202	CS.158	CS.152	CS.318	CS.223	CS.194	CS.227	CS.163	CS.321	CS.339	CS.285	CS.361	CS.262	CS.393	CS.370	CS.390	CS.253	CS.270	CS.145	CS.255	CS.326	T.CS.049	T.CS.045	T.CS.036	T.CS.031	T.CS.008	TFS.022	T.CS.066	T.CS.064	T.CS.043	T.CS.026	TFS.025	TFS.021	TFS.020	TFS.027	T.CS.055	T.CS.158	T.CS.095	T.CS.142	T.CS.152	T.CS.109	T.CS.157	T.CS.166	T.CS.151	T.CS.141
CS.010	0	0.744101539156	0.743408357492	0.667620454651	0.676649577179	0.623559702158	0.689451956204	0.647190526875	0.702244038645	0.709335917352	0.697642255511	0.671240444957	0.673037097845	0.683394040597	0.665137615328	0.634122551362	0.653334732073	0.644512421418	0.736725671194	0.758768119098	0.71353540723	0.72313888559	0.612702718383	0.739595910788	0.686736998867	0.663796825723	0.72123777713	0.656007396994	0.678108365705	0.681384211543	0.722539153965	0.760004287707	0.709781505253	0.738782518573	0.650635568788	0.681319612392	0.729489364671	0.644656162047	0.699350273087	0.713894447847	0.646526422808	0.672898946199	0.774254989731	0.704026580518	0.763915162819	0.732534269775	0.7546039116	0.727064223982	0.717885673828	0.722096965006	0.662997581418	0.735871994772	0.719256652158	0.716687102438	0.739988401873	0.705901598761	0.721932519848	0.727837120321	0.725391906132	0.760701319344	0.718604676924	0.737700617226	0.733456973913	0.726646256175	0.706981465183	0.751254668094	0.732956171332	0.735706157592	0.713678246659	0.697819383038	0.72486691461	0.731726276092	0.645183407464	0.717160708826	0.661693044126	0.738706261832	0.755363534784	0.73392029403	0.722718925302	0.693573738251	0.722905758763	0.731981177875	0.742097140697	0.737574981049	0.708412807351	0.720563612945	0.761691834245	0.743733398127	0.674775831329	0.735557071454	0.649639377231	0.653211408262	0.645522176005	0.702618059443	0.725482766482	0.714487374118	0.694268231333	0.688215354581	0.691480561414	0.658290100556	0.695789887654	0.644897393736	0.70799522807	0.660251624778	0.716318379189	0.756051346392	0.728291918374	0.605053155389	0.708326103132	0.61560313011	0.687337476065	0.686122049625	0.693308595713	0.711898862902	0.726309874495	0.673277614354	0.661904536249	0.680045640664	0.744845780811	0.706588082323	0.740330985749	0.712501468626	0.73990274008	0.703979488699	0.621045463225	0.718668987539	0.731607822158	0.737236627013	0.764107525742	0.757080428721	0.628939177356	0.706667188314	0.707317847651	0.705168478982	0.70345616368	0.682007728795	0.674930918859	0.724604595917	0.719789980592	0.709458877554	0.706609288239	0.736178615085	0.718507978108	0.710977709243	0.742019610812	0.709302552849	0.690678254685	0.70642163171	0.738203872448	0.746763530897	0.725899080493	0.700132590961	0.743444384152	0.719089503566	0.750304589753	0.706699975538	0.738354472716	0.736886177694	0.716749976876	0.739843621003	0.739896432816	0.728521535125	0.722258937926	0.748115100135	0.704547181001	0.730824612613	0.748393555756	0.711356257375
L.005.M1	0.744101539156	0	0.433254519501	0.629870232711	0.558236182626	0.624091561468	0.642711259406	0.59810173766	0.533599291958	0.521889543534	0.558717803186	0.584269963698	0.649029321953	0.557969342183	0.642677558933	0.554344263493	0.637998572239	0.591693647413	0.591619459299	0.526274020237	0.496287795191	0.696426182491	0.675895389471	0.731511898345	0.765693573661	0.617766318791	0.614667746713	0.654685784665	0.564913264677	0.548070652902	0.686516945681	0.712623033209	0.702125453944	0.526836728016	0.744792293265	0.59519432061	0.557980950747	0.675692280642	0.650391110156	0.625487975842	0.692308028819	0.651307222477	0.702912691442	0.681641501422	0.763750922127	0.735598026088	0.67689599835	0.685344732182	0.701113207025	0.673476808581	0.638789429835	0.766436870091	0.680689374552	0.6989052353	0.704842100459	0.662770196832	0.690471711933	0.682837467657	0.641920162799	0.755347404345	0.552082213636	0.496276819486	0.661836946406	0.589722162061	0.568684878586	0.55765502546	0.711653600872	0.431574043543	0.720483921561	0.56970892445	0.681738554842	0.554658608529	0.623700795847	0.704889506414	0.6389553038	0.512081381094	0.441025011646	0.507507135287	0.582012836704	0.513947963627	0.481270664274	0.582820108496	0.507167370595	0.436469031332	0.460195487276	0.536545584177	0.425573995144	0.565819343134	0.586791719791	0.435755963209	0.58409982225	0.577212735983	0.684707001766	0.564221027642	0.698888779602	0.471278020676	0.638883089851	0.572105888982	0.601019477842	0.524220739841	0.494078019527	0.582598411405	0.504683457533	0.67101029769	0.542594482881	0.750373212173	0.628924779981	0.760165656616	0.692293813765	0.650889381143	0.716417680359	0.726377929425	0.714039338831	0.484887579108	0.694642115662	0.553077827232	0.740974434229	0.674535072821	0.668844443936	0.640436177264	0.666747138555	0.614729260928	0.697775806925	0.671571088424	0.679875455723	0.557735864632	0.681181878438	0.693017522699	0.750748882668	0.792147233638	0.691526483151	0.507640628692	0.654273895355	0.761482585962	0.70345846165	0.691202929228	0.706757760937	0.686355730364	0.690025223791	0.76676564922	0.686525249642	0.601397742644	0.643211384456	0.65134385365	0.645037256654	0.557244613298	0.582138999721	0.535250406912	0.578107236944	0.479621899557	0.473383576922	0.507561113869	0.46994096677	0.730532675148	0.556318030343	0.540659495886	0.47710349953	0.472391318473	0.512929170719	0.469561376123	0.421791601287	0.457786125003	0.506951699452	0.449416991553	0.492204678617	0.484597992573	0.431406468203	0.458748057708
CS.174	0.743408357492	0.433254519501	0	0.611838043083	0.544354296718	0.607331796488	0.622261472653	0.567645844109	0.56049036451	0.489619710929	0.487263513084	0.54623379336	0.634763441272	0.522792056134	0.597459378289	0.555306116658	0.643786269902	0.585811261257	0.533627301415	0.506160862271	0.504515072218	0.665093187827	0.676023235409	0.717788624532	0.769260549117	0.589992131872	0.58920684293	0.638837715316	0.550938700661	0.5268507816	0.65909608374	0.683614176905	0.686828375183	0.50685441976	0.731071357909	0.559756856733	0.502940990295	0.649746921392	0.621255789944	0.567276548996	0.692858682342	0.612988071089	0.688377068182	0.669115601263	0.769830782438	0.689187472504	0.62139209323	0.642383319786	0.648522793972	0.63207764095	0.614246441971	0.753503309194	0.622410202247	0.658507250444	0.65619451293	0.613798646868	0.660739043599	0.644969825908	0.594428052272	0.738167456983	0.536266555262	0.438939350768	0.624850976717	0.545018634822	0.562381213969	0.539476904299	0.715451584546	0.421190516144	0.722245723075	0.546153795471	0.645876580317	0.539498877916	0.613199157143	0.699889719244	0.647572406667	0.474326217568	0.411016882916	0.475126980544	0.549240254956	0.496778687213	0.442291171464	0.526608519077	0.458114980599	0.395444677609	0.468971275537	0.507000201143	0.39321030377	0.547276640518	0.574713439134	0.440435995135	0.566424983834	0.616494491122	0.690659303926	0.560014394667	0.704762520744	0.508427058311	0.656226175621	0.557034615162	0.566213276528	0.54234331063	0.474297965092	0.562140128837	0.481633528854	0.675040646667	0.496716893563	0.770817045588	0.591004374	0.779393964359	0.6572856549	0.662355980298	0.705399510825	0.724766101604	0.708494216507	0.453381868126	0.700371922167	0.534141660837	0.717338619463	0.645790171699	0.655275511092	0.601034866508	0.648408754158	0.592354293788	0.688717483347	0.653449550088	0.677391107818	0.486823438706	0.659892268786	0.653277533211	0.754777050165	0.801673774674	0.683919005013	0.502421451112	0.636069201196	0.749794340802	0.686914339728	0.65768081003	0.687562262187	0.657983866145	0.656520993064	0.757943825926	0.659282936316	0.548137004201	0.595404894974	0.633668147541	0.65443684389	0.530558024718	0.550723973815	0.501716738103	0.566044453233	0.423932135072	0.451117543559	0.484621522746	0.490277608155	0.726746000636	0.534745748019	0.546608175414	0.41584430248	0.481272512473	0.501842421242	0.429306387983	0.419839325704	0.508626626581	0.474453149089	0.424434679144	0.527807631175	0.447612474918	0.421678636179	0.481900689123
CS.043	0.667620454651	0.629870232711	0.611838043083	0	0.593038629224	0.564485829415	0.580830316748	0.594447782271	0.60305756405	0.609131004942	0.596343959428	0.593472291889	0.606533057198	0.579793984934	0.635550674256	0.570389455199	0.590998715603	0.566241845324	0.584915140885	0.587752085569	0.573341747688	0.600977330848	0.605621307005	0.616491391292	0.647245438854	0.575623790459	0.621238149553	0.548667460838	0.627281891005	0.562688246611	0.604635058214	0.625010414174	0.603663016392	0.611064425005	0.642120672698	0.537413975052	0.553991775959	0.562038652241	0.587734119702	0.580309996593	0.559246824153	0.552590362402	0.649485133895	0.603671577464	0.694162157051	0.631565860364	0.591796760315	0.62476684859	0.598770869798	0.611390775018	0.602135172901	0.658377859417	0.59168055629	0.612603303249	0.607713379728	0.585425689758	0.595570659062	0.592993216834	0.563538026936	0.655626031386	0.576197362523	0.606823033636	0.626815039104	0.569497643616	0.5720542809	0.619585835758	0.637360444996	0.595497094516	0.646557868106	0.593906994589	0.595309225451	0.589084963887	0.594632836576	0.629969221529	0.651874992149	0.614830393554	0.643823254272	0.62731694034	0.579057629539	0.592086913977	0.639648784264	0.590690619113	0.587485521818	0.624560662142	0.614933070144	0.59824128601	0.636461613122	0.644504566978	0.616922901757	0.619528959618	0.540865711716	0.588181704496	0.57269112897	0.536649405684	0.650736051783	0.646459529642	0.657552193074	0.609356429925	0.571463990298	0.639762375211	0.575153632072	0.570706705656	0.583010870301	0.577697913374	0.597258282812	0.705079474977	0.586060180389	0.661279640202	0.595271920333	0.579326738752	0.647069611643	0.644832900137	0.603168007813	0.583798720349	0.621042360032	0.557594425692	0.60830316261	0.629293023127	0.65219459065	0.580465606055	0.606149692087	0.568030536542	0.628754092822	0.620847538098	0.555322425442	0.57754829322	0.590798931761	0.593016433656	0.692429932445	0.704694747844	0.613051422215	0.594701358637	0.625200933239	0.638458277806	0.633047943855	0.622845785126	0.637528772504	0.607504513893	0.601966878273	0.663216338285	0.614362678631	0.611842338457	0.592823870579	0.597035273823	0.628069358924	0.597915197669	0.600913958647	0.580287403252	0.589734450392	0.61609238441	0.615884723359	0.58384085919	0.607461266268	0.674215400342	0.602013083405	0.612920201705	0.601113706012	0.596087468686	0.619318423443	0.601180818808	0.636071988256	0.647607188724	0.584288706793	0.618768856705	0.612564393844	0.585065070102	0.634238589604	0.647417765842
CS.086	0.676649577179	0.558236182626	0.544354296718	0.593038629224	0	0.517970297291	0.659641349624	0.531194012807	0.572912577239	0.509837069253	0.518918738975	0.502067450482	0.544063478387	0.563210007446	0.541237118648	0.498666073029	0.591406625319	0.518425592464	0.591911736805	0.60471384279	0.550302936209	0.690046610384	0.620794443815	0.708853125655	0.746059356208	0.565415832432	0.63571978559	0.599480312781	0.530713837766	0.514369910548	0.666894454359	0.692420589965	0.69236314118	0.569358819858	0.664294053687	0.526232234492	0.583906224696	0.604184764086	0.63865644663	0.612451370461	0.638026144543	0.594976128901	0.735397539445	0.668536737092	0.76369204768	0.702784163104	0.676099969792	0.674023396434	0.670567084692	0.653002263742	0.602492048767	0.740566528964	0.660836880239	0.656357623891	0.667501983125	0.621399171679	0.692337098908	0.670021003699	0.631877999222	0.734178778299	0.578149799223	0.528589366518	0.687340966907	0.600545173231	0.58903128114	0.626323285423	0.727045022911	0.553704177418	0.730996730791	0.57981080591	0.669269022317	0.58737454941	0.597246723272	0.707397651839	0.612461612598	0.551672535733	0.531074104318	0.531417877406	0.621315576324	0.517496509946	0.520531711076	0.557830254658	0.526576235332	0.525250188381	0.52102388441	0.581295124714	0.529587924974	0.535631190158	0.51661468649	0.551842536371	0.489791946056	0.567876851718	0.623706958118	0.572556593248	0.711377032904	0.573220780729	0.646213648655	0.572085873259	0.483290250924	0.564733421101	0.539134219059	0.520446429077	0.544992234328	0.617203091783	0.519898802274	0.766271951252	0.635568285359	0.678794015718	0.677143865029	0.595243406669	0.681902610638	0.699839150941	0.686278605304	0.546986476653	0.697527304994	0.559175330894	0.670037355757	0.642401556078	0.6939791403	0.60331611947	0.684538497174	0.633973373733	0.705854240708	0.666360710184	0.60062166618	0.575042418937	0.677399204642	0.651892330973	0.764665159578	0.775913785442	0.5996781099	0.560804661621	0.660729721678	0.711984027569	0.676947330242	0.703989776217	0.659364944149	0.663156341318	0.678920161742	0.726306519486	0.691304814317	0.628057286863	0.638272801601	0.642829565642	0.685837643336	0.610269273693	0.546538874948	0.595619608403	0.658558078573	0.55020283177	0.521606673915	0.565368842618	0.602504400328	0.746232928835	0.629187248806	0.611824007189	0.552207002545	0.584644193861	0.58711156902	0.532388376154	0.529573825749	0.622822193251	0.562682323666	0.523729294557	0.567767203265	0.58087018534	0.550317297442	0.601263513517
CS.106	0.623559702158	0.624091561468	0.607331796488	0.564485829415	0.517970297291	0	0.587422561474	0.534929036121	0.599929340652	0.588780186297	0.576594526715	0.524909607999	0.552863053543	0.591360276264	0.54189686969	0.513371080534	0.567285835942	0.519082770707	0.589316360935	0.644630723761	0.581916978592	0.640102329386	0.577538861541	0.664434962046	0.685810175816	0.569332964664	0.64862540876	0.519517564595	0.5828823772	0.554687762937	0.652975428516	0.646956862494	0.657794170564	0.615022776278	0.617961158334	0.501202436125	0.589881933367	0.505392357602	0.618248150655	0.624496350537	0.573420283191	0.542051934943	0.704226967594	0.630716649207	0.738411882398	0.657891613626	0.626082841553	0.657123444003	0.640536269683	0.609737621379	0.576142713081	0.688436639849	0.623737875355	0.60212775973	0.616537681909	0.593645540642	0.646193131268	0.639010098602	0.594057387406	0.692003738294	0.583340144416	0.584725537502	0.647684486671	0.599259697267	0.586198327296	0.64037092692	0.713932114748	0.594106753645	0.668704102875	0.581546668255	0.628013986116	0.595426438047	0.595562197771	0.660666504355	0.61077061435	0.597284128297	0.617060052717	0.59613205351	0.583281577679	0.559148355717	0.609564653953	0.574975770556	0.579181351187	0.612281941126	0.577871107384	0.598323555024	0.605851867037	0.603016435493	0.542775804282	0.617055792532	0.424459997383	0.582863755931	0.536578346005	0.577907264038	0.680162594758	0.63731816747	0.670538772131	0.583663167492	0.480947124248	0.611597314215	0.547434416748	0.540522783219	0.598135428571	0.568192124576	0.576686503699	0.736977817453	0.618626655197	0.606574132357	0.630824174157	0.500668411763	0.628209831941	0.665725548696	0.639833814788	0.590302867218	0.669171264031	0.562572647806	0.602474121581	0.611421070443	0.695443803479	0.594842019602	0.646173529179	0.58926805835	0.669121833568	0.651819291457	0.504099847266	0.568702338572	0.617716683458	0.62256953468	0.735622255758	0.737817132929	0.526276625123	0.598143100829	0.650896740538	0.675244816928	0.662797218159	0.651473600065	0.627738747845	0.636277040315	0.631758576065	0.703290188249	0.650256571726	0.614694544241	0.592471529922	0.59202925693	0.650573889753	0.607126794352	0.52880975065	0.595251888558	0.657126561334	0.594237025457	0.597241183991	0.591499807316	0.607313353817	0.694450644411	0.634869343718	0.619318651905	0.581948186419	0.621591312804	0.595176629949	0.589470665796	0.602741178224	0.655878177225	0.587986514261	0.591099331602	0.585608595821	0.596391689194	0.636982909064	0.655842711666
CS.260	0.689451956204	0.642711259406	0.622261472653	0.580830316748	0.659641349624	0.587422561474	0	0.61032457994	0.611424445388	0.67014894103	0.64232195859	0.649960209094	0.6257204787	0.595715298211	0.666256045771	0.64413670315	0.595560806112	0.619937193921	0.541331243446	0.56368817311	0.589342618775	0.544923280921	0.642037130457	0.572438200492	0.621281048629	0.649834337467	0.608451913766	0.560055449851	0.654331195583	0.616199901071	0.510997819574	0.54621365826	0.566759811386	0.611274157219	0.642787042628	0.590410870465	0.574418924756	0.548223909469	0.57966629134	0.580398814682	0.568762011586	0.568868383081	0.548901749385	0.563997530404	0.660942984601	0.587879664153	0.536736602979	0.605064471155	0.535123902101	0.551645824872	0.605256689911	0.621241107301	0.542942465755	0.598202799552	0.548239945256	0.578573223997	0.532444453035	0.554434292844	0.521065852647	0.631398362065	0.58960211081	0.606010151511	0.575453572822	0.550477869237	0.58163212013	0.58782757521	0.610571346853	0.617453834032	0.56366604624	0.616544785124	0.523734242707	0.593040667139	0.622901399759	0.544732112418	0.671952779556	0.61257150291	0.670661796011	0.641182774462	0.516827424567	0.616086288636	0.659737334079	0.603511243168	0.599665726546	0.653009582557	0.633217473664	0.582626152073	0.658187643589	0.657956889511	0.639167052927	0.642617558876	0.605680199194	0.632613634289	0.601885963987	0.62189834586	0.620327298176	0.665685254847	0.673730294405	0.60278054373	0.613148668724	0.675427195555	0.597248380922	0.624252523422	0.653920030758	0.593148022039	0.606537215707	0.63361977915	0.544085411905	0.686577508391	0.513147267995	0.595807973547	0.580800969068	0.633046560048	0.599149247698	0.607522392489	0.621273162915	0.609129703139	0.600762102634	0.599867695835	0.622048807879	0.57856744201	0.571655220142	0.538342757866	0.531514026873	0.650434920838	0.577516835934	0.565526642113	0.514035351848	0.547673751741	0.591354057865	0.68947204099	0.596392235014	0.616510182546	0.593827058816	0.611692058104	0.609731391189	0.574274137475	0.62237146505	0.544788568389	0.560016790122	0.616630543067	0.547630770139	0.559218159724	0.557549657894	0.540837468473	0.564377548882	0.596806180569	0.629487665467	0.603386472479	0.567658933388	0.633570357405	0.663574142647	0.604543651466	0.620662342198	0.613396036904	0.572974953956	0.617085916196	0.618957307215	0.606427072807	0.601777835082	0.613325477607	0.654895262054	0.639487946026	0.592947726278	0.639427594239	0.63192404025	0.590299476357	0.63319713624	0.651835461773
L.001.M1	0.647190526875	0.59810173766	0.567645844109	0.594447782271	0.531194012807	0.534929036121	0.61032457994	0	0.586270095823	0.568413657773	0.549372606807	0.531611519353	0.580567284965	0.598823589839	0.55729748026	0.551539183712	0.637066708953	0.566927311544	0.591845377509	0.632070625781	0.586941254001	0.680005942075	0.62568223859	0.702162369861	0.73632704827	0.562558238848	0.647713410833	0.585410337213	0.547114712485	0.560491373617	0.674023452252	0.692350143051	0.693895290837	0.587038440064	0.648849286425	0.544775225116	0.58534919516	0.60560327603	0.639977047506	0.623262286791	0.60688189381	0.608106307554	0.727744139296	0.660939171832	0.775295119672	0.67375132527	0.657975131905	0.683448605071	0.665222855706	0.629254031008	0.603158351577	0.718877020999	0.644883717078	0.632518760094	0.651190721145	0.61053251134	0.69210209431	0.664871236273	0.613699777935	0.732784993023	0.57039264369	0.525621000989	0.686104717604	0.586175831798	0.566249696634	0.639780648403	0.720234561567	0.57490373919	0.695793933481	0.578672957034	0.620232088176	0.583712964189	0.580560747583	0.693764444963	0.605407514968	0.581240878617	0.58319603539	0.553462435357	0.597584997487	0.52166090322	0.556271023006	0.559367097218	0.567259294841	0.580322115191	0.554098855567	0.586587253944	0.565813835135	0.57267144018	0.542278458	0.59142691884	0.52084851022	0.621401851026	0.634837241272	0.595915393342	0.711752532283	0.618568900937	0.689629663299	0.616225301061	0.532562433426	0.618992973152	0.53354295873	0.562166974944	0.605593563603	0.62384332867	0.550884137829	0.738000775161	0.614914292695	0.691187746003	0.648898051517	0.587010833326	0.678663242788	0.690322463637	0.698737926064	0.546113713174	0.713468214836	0.57708300089	0.667278020586	0.631833017493	0.71224633767	0.604123164722	0.696941969939	0.619548115303	0.692730994377	0.646991341443	0.601868770485	0.56882468228	0.667758493996	0.665172590416	0.751941519834	0.796572635457	0.627655975878	0.586906489548	0.681960193853	0.728170850353	0.685457018756	0.681622414666	0.650368906401	0.663127984644	0.665326649783	0.693526335938	0.663200343147	0.631978897485	0.608917291121	0.624858333167	0.658213717343	0.604014592326	0.531063606562	0.593661989089	0.634672491922	0.561507829211	0.578663832347	0.582714582268	0.595403697364	0.695850256277	0.645560539223	0.630617795989	0.561215806274	0.597643568172	0.602948114375	0.573155563955	0.574499206362	0.63109955491	0.566536613092	0.578170085755	0.592583274391	0.589199915581	0.605413279214	0.612368927687
CS.245	0.702244038645	0.533599291958	0.56049036451	0.60305756405	0.572912577239	0.599929340652	0.611424445388	0.586270095823	0	0.589936441907	0.585354993512	0.62653658484	0.63147146618	0.573742495721	0.67180162531	0.588956737289	0.603003006346	0.568603066081	0.606222619792	0.540470804532	0.552390183409	0.643084296491	0.609175093823	0.693938172701	0.691016632483	0.592567442178	0.508751477418	0.622619683069	0.612576343296	0.545397248647	0.628261297061	0.661754938583	0.660241379628	0.57649850057	0.694730253024	0.600315040808	0.5483570838	0.627187731737	0.569575557489	0.613068254643	0.619370614737	0.64035849383	0.666950968129	0.626572589731	0.694076220416	0.694867437792	0.658953847016	0.62322866129	0.64828097387	0.643495800261	0.603021431048	0.705906323709	0.647972268561	0.669890040906	0.665198634368	0.629379092473	0.640925224004	0.643079798851	0.613482519275	0.70469353603	0.573156915897	0.570426017601	0.602804267487	0.549055992617	0.574303939348	0.557096918192	0.621892456369	0.536555980458	0.680148994119	0.584168549047	0.625966273096	0.541897243474	0.554758330264	0.637006675845	0.58115445238	0.544059090055	0.577262965078	0.595290403215	0.579648112843	0.55894141465	0.554693336683	0.64353351145	0.565657882692	0.591055075898	0.588663612529	0.546164992153	0.555835534511	0.648951277262	0.619010834176	0.543701260044	0.598282231994	0.568401831488	0.619858138041	0.602864250413	0.629783070292	0.563357182119	0.590422044873	0.585988980302	0.615040905601	0.559949990857	0.539199389228	0.592303794741	0.580949777652	0.621278491384	0.56996697783	0.703032399998	0.591049266449	0.685037115305	0.638704700695	0.63104628485	0.662996606967	0.64489061106	0.672623279545	0.557109578181	0.617456133411	0.542245052625	0.65817007386	0.650846564591	0.603631497094	0.624904785337	0.633264972553	0.585883783485	0.662988117056	0.586220867218	0.616196127561	0.574859461884	0.640248024507	0.622195064583	0.708908494907	0.744128296286	0.622187941601	0.544374522967	0.612412928372	0.683498877727	0.613337073452	0.626284132889	0.636571296825	0.65907355061	0.640068338588	0.727249385162	0.645149889173	0.587532873781	0.636039918931	0.619479517207	0.61883814636	0.535073161706	0.608812889953	0.52619114946	0.533892113095	0.581718840683	0.581576272554	0.54141794112	0.549394721371	0.674017998252	0.529124179642	0.54615210201	0.570629594229	0.513133717842	0.552461584437	0.559571715164	0.584214780792	0.531778518221	0.530010968929	0.577621981157	0.514737046035	0.563456983781	0.538640720879	0.497322240392
CS.101	0.709335917352	0.521889543534	0.489619710929	0.609131004942	0.509837069253	0.588780186297	0.67014894103	0.568413657773	0.589936441907	0	0.445599563128	0.530001634972	0.613999183833	0.558290223475	0.536973564264	0.513976030353	0.621476031617	0.516983634961	0.5879813683	0.601813274934	0.556621574558	0.707883570782	0.630641125522	0.731401645483	0.755261507784	0.538000286545	0.633784199479	0.620586236908	0.563236980607	0.501805887108	0.714385370652	0.73336312711	0.70443874085	0.554241327428	0.697160563556	0.543968919264	0.573459996245	0.638520945649	0.652486169432	0.626433665755	0.669028435861	0.609327893625	0.729099038913	0.691646010133	0.785651514839	0.709112391928	0.658331319988	0.677523127744	0.694591050041	0.667428603494	0.615304426852	0.769111583243	0.663431543493	0.660887044736	0.686313771305	0.636670472026	0.696471874484	0.675221876152	0.64738175218	0.739516144242	0.579999977944	0.531478479161	0.699695852977	0.604828273013	0.581873999211	0.637008439985	0.737434855673	0.496455249935	0.724544863698	0.576562352168	0.688908484875	0.581219295291	0.624291794123	0.721443285258	0.609146851576	0.535102510914	0.513983792556	0.525631792972	0.630030627651	0.535821725191	0.532939198022	0.581022214176	0.545134604568	0.484939984837	0.526163001238	0.580517470585	0.502099173465	0.608626722289	0.577286533165	0.544615102283	0.553630111569	0.610534496744	0.682788076794	0.546692162446	0.70410288664	0.543868277663	0.6281797007	0.607081981328	0.55965210266	0.537296797237	0.538138756932	0.459140300821	0.458854116669	0.659809788386	0.556327557825	0.784202620068	0.646412902946	0.731987042435	0.710170736512	0.621457139933	0.714880205359	0.711106805602	0.708392720066	0.509420601846	0.707733136742	0.54257899539	0.707274510991	0.672481854105	0.707965259125	0.604284653386	0.704863349963	0.644522495428	0.729157006238	0.659059168303	0.64912600768	0.555537260146	0.701349152328	0.689942090598	0.791198248232	0.809901390006	0.673432855978	0.542899674895	0.668225792545	0.755430065029	0.691674781378	0.697668412701	0.68637346069	0.684245976754	0.688034331605	0.754830765828	0.698598420203	0.606790952334	0.633709922516	0.677394514618	0.69601401026	0.594053208213	0.57148449537	0.555128199744	0.645755028975	0.525979293123	0.526573181135	0.553124084512	0.575798552574	0.74361117429	0.625030471804	0.5918024782	0.520937666453	0.565219140433	0.558343268478	0.531276232424	0.509942576893	0.590793413964	0.556836508526	0.52129418416	0.569511529441	0.55709282727	0.559198925113	0.568426080275
