CS.021	CS.293	CS.172	CS.297	L.001.M1	CS.091	CS.244	CS.354	L.006.M1	CS.245	CS.105	CS.019	CS.038	CS.007	CS.039	CS.127	CS.269	CS.062	CS.334	CS.122	CS.287	CS.073	CS.186	CS.154	CS.149	CS.230	CS.171	CS.229	CS.072	CS.341	CS.380	CS.378	CS.041	CS.374	CS.213	CS.136	CS.376	CS.302	CS.205	CS.282	CS.224	CS.236	CS.232	CS.203	CS.128	CS.359	CS.349	CS.268	CS.369	CS.254	CS.385	CS.183	CS.395	CS.386	CS.129	CS.323	CS.182	CS.177	CS.214	CS.372	T.CS.025	T.CS.057	T.CS.038	T.CS.079	T.CS.004	T.CS.016	T.CS.085	T.CS.056	T.CS.062	T.CS.042	T.CS.001	T.CS.080	T.CS.050	T.CS.048	T.CS.012	T.CS.159	T.CS.098	T.CS.180	T.CS.130	T.CS.115	T.CS.153	T.CS.097	T.CS.161	T.CS.120	T.CS.110	T.CS.108	T.CS.091	T.CS.156	T.CS.107	T.CS.128	CS.082	CS.237	CS.242	CS.085	CS.103	L.024.M1	CS.015	CS.006	CS.087	CS.238	CS.246	L.034.M1	CS.110	CS.241	CS.356	CS.345.0	CS.150	CS.187	CS.338	CS.189	CS.164	CS.304	CS.387	CS.165	CS.234	CS.113	CS.364	CS.188	CS.311	CS.346	CS.318	CS.319	CS.320	CS.152	CS.194	CS.331	CS.321	CS.361	CS.080	CS.158	CS.322	CS.227	CS.163	CS.112	CS.223	CS.255	CS.270	CS.326	CS.370	CS.262	CS.253	CS.390	CS.145	CS.393	TFS.021	TFS.025	T.CS.066	TFS.022	T.CS.031	T.CS.036	T.CS.064	T.CS.045	T.CS.061	TFS.027	T.CS.055	TFS.020	T.CS.043	T.CS.008	T.CS.026	T.CS.095	T.CS.157	T.CS.109	T.CS.152	T.CS.141	T.CS.166	T.CS.158	T.CS.142	T.CS.151
CS.021	0	0.673421591169	0.595124650627	0.59436082462	0.648049375136	0.580968533127	0.706044256688	0.64455818742	0.643149160437	0.603879893231	0.568915577908	0.579399948573	0.622052923168	0.601875808908	0.619454018525	0.542290796714	0.649628793786	0.614856395353	0.597803566676	0.630638088596	0.582335652608	0.613607039996	0.652388990095	0.665260682278	0.56006567596	0.594556260694	0.615770590697	0.538404917526	0.598422975504	0.552065574468	0.608564359007	0.647843704744	0.577495815264	0.574881927048	0.586011405221	0.556096056637	0.525609261062	0.582362653268	0.587033114654	0.581361826243	0.672671517811	0.642304140867	0.610797576035	0.618335848782	0.586573116714	0.631083565988	0.581546382353	0.636280192071	0.65460099371	0.575114166813	0.566002368602	0.637184569475	0.617552705526	0.666066641105	0.624661583611	0.571073621483	0.54540483404	0.623849873602	0.590004309718	0.577687597864	0.598237349865	0.607254908633	0.645170481363	0.56751094323	0.564892223708	0.570610600108	0.588395709238	0.651095376216	0.606072496042	0.638821180212	0.582643239531	0.588728168644	0.624299924597	0.576748803226	0.662871695807	0.680587767982	0.663957116374	0.638063646182	0.604904410468	0.65204659716	0.665014210734	0.650973563201	0.612907753946	0.601587503013	0.636020613058	0.673303268248	0.658328867673	0.630663212253	0.637240520947	0.593740248454	0.621246092362	0.575812929821	0.604084494233	0.592064479314	0.622176840054	0.651659711188	0.657258351914	0.557381035231	0.608142966288	0.587964718335	0.609628407066	0.585318806827	0.586823515648	0.652187158371	0.63483616274	0.623373310986	0.580708187993	0.543969977464	0.605319253106	0.593585985564	0.662760529262	0.671348508968	0.526117261821	0.608998313938	0.617126788332	0.603848569312	0.603149804154	0.605009832459	0.60902543482	0.622618655324	0.530326181564	0.555064208697	0.55257694664	0.586780728685	0.632392882677	0.560033075281	0.621371230817	0.606501374579	0.563424235547	0.575320119532	0.567411973052	0.652206794462	0.570838566199	0.566290090885	0.582572194101	0.547419900186	0.592613365268	0.563407249698	0.582139917764	0.568561499512	0.659145350691	0.599533188166	0.585323979723	0.635467662985	0.607493184412	0.561345788536	0.638834221441	0.642465821414	0.585342102589	0.617738131898	0.61202618972	0.602426088195	0.590481990552	0.597660819169	0.590362665147	0.635275576625	0.616201227979	0.590489904464	0.601086405771	0.672039708765	0.62925814202	0.652267572482	0.578433579513	0.65093298383	0.608869204399	0.617045821563	0.654748960879	0.648137562074
CS.293	0.673421591169	0	0.59065355209	0.434213694793	0.569719276502	0.702881003546	0.652314910981	0.600660709233	0.524478515561	0.566520293321	0.533340404465	0.53330679123	0.602892948605	0.50471381948	0.615675295748	0.586392312797	0.771393888447	0.51997186624	0.728550990414	0.519373221979	0.666849117831	0.678266409263	0.543275163106	0.791361621366	0.682386357487	0.739641693137	0.607700528978	0.697028145609	0.494985053473	0.674450800457	0.51053235831	0.712689115433	0.694388759264	0.695408294733	0.682701162999	0.671477744636	0.694797301816	0.727808032698	0.721169646766	0.704621458648	0.774371641856	0.733108551949	0.561170218122	0.536220793655	0.607452496855	0.741972200377	0.673628871517	0.718009291363	0.773653437685	0.679487215908	0.695199702888	0.766702101871	0.676662297419	0.714322769915	0.613538956846	0.668791677287	0.625841423718	0.694041559128	0.65950388959	0.669756511644	0.573838613155	0.719086059729	0.551499452952	0.701993045307	0.57922340812	0.583983860032	0.516130653091	0.62511677695	0.506258439584	0.464221435152	0.7432025065	0.621871736853	0.607535153158	0.556691422445	0.685592334254	0.52872493321	0.482986892366	0.580581962476	0.467599587981	0.439875829439	0.48293993547	0.449800730939	0.539427013969	0.521623308538	0.49476642773	0.433549076087	0.411057622755	0.472861586287	0.43061299785	0.56454439131	0.570127835084	0.687009858282	0.48552798716	0.563622011286	0.567237725224	0.488195425846	0.536482557155	0.525329367548	0.588893865377	0.56095739727	0.522016975001	0.588344226986	0.661989743393	0.466193310336	0.696940396582	0.80655081942	0.60219896181	0.661800686005	0.657775802972	0.646468632613	0.767876704263	0.732584123117	0.618695337657	0.707428668003	0.695360770909	0.539670811942	0.769823076882	0.656804670511	0.6140377341	0.786021645266	0.686395614715	0.682908745837	0.614117352843	0.552954748308	0.763019583743	0.610690833941	0.528662795734	0.692075752889	0.639004085708	0.684272220861	0.709547266041	0.802917629954	0.686493231134	0.680373245017	0.685349363366	0.644095674209	0.678635297557	0.647667700023	0.67614614559	0.683205465107	0.761344609712	0.685388218859	0.593834019239	0.702300227615	0.57076112967	0.572500652674	0.470982575536	0.455203062448	0.525371900455	0.545003037855	0.511791740471	0.544954784694	0.583528621142	0.514291197089	0.515355401241	0.443384652829	0.494816615392	0.593553292295	0.725929768672	0.423653917491	0.510646188628	0.447455437376	0.488875936542	0.480464737086	0.486749807545	0.480008803387	0.481176609709	0.439225279013
CS.172	0.595124650627	0.59065355209	0	0.556825301411	0.570338686812	0.645518684473	0.586074870078	0.545298295943	0.592038865316	0.552994348193	0.523470107301	0.537469598991	0.525980772183	0.563897183599	0.559963810615	0.589464595167	0.697279256246	0.498284319362	0.690267008961	0.506283594781	0.652133803806	0.557431790863	0.588296962837	0.706164220759	0.610403648983	0.652211109774	0.513619373284	0.63893008012	0.55520303548	0.645654247201	0.610496698577	0.617991478876	0.594283866927	0.639101897075	0.643934073198	0.574044507665	0.624908303212	0.696327207378	0.68016731229	0.656421076861	0.723646079202	0.642707711224	0.541456334083	0.578339723152	0.632935224972	0.685982030547	0.654676975275	0.64985509166	0.687923532862	0.658736921109	0.654398048907	0.698246590131	0.654624396648	0.689077820687	0.590176008943	0.661528944187	0.633013533673	0.684215306265	0.635031342483	0.660132319064	0.570413442622	0.678869705459	0.605194363834	0.643406192455	0.593838566945	0.583778116969	0.573012489112	0.579999444004	0.564206599068	0.592693055511	0.660094647331	0.628775528179	0.562131506667	0.586104457136	0.645643019925	0.626240346025	0.58477584159	0.553386437362	0.577055887208	0.598550689485	0.565872327435	0.591400734257	0.562396135721	0.593290271892	0.576905350747	0.616414271055	0.593645502237	0.556738770253	0.580783196263	0.620066266501	0.544736335762	0.570553039206	0.558321575599	0.515128710231	0.557543087981	0.585408095356	0.549137438336	0.506917118132	0.526599599824	0.554135609864	0.559991396246	0.574018875464	0.598581971135	0.576781465056	0.639385135601	0.657801687956	0.563554331051	0.622036726196	0.606342811692	0.621269688846	0.639071833369	0.659838073926	0.611082077952	0.614409627701	0.609361948929	0.519317971154	0.678893003052	0.64443244775	0.542507003716	0.660338082127	0.635846177193	0.659800216627	0.619182432667	0.593955781009	0.711696559684	0.608560799903	0.542872794291	0.62368115986	0.549947465411	0.546481638775	0.664394902586	0.715605625093	0.546491194019	0.535602029024	0.649103427798	0.62173672142	0.658273762444	0.606682196552	0.663617475241	0.634268439543	0.682630239837	0.646954720436	0.616452054451	0.635789718036	0.611659819685	0.575191743065	0.567485777567	0.600445615074	0.548778842758	0.566797452895	0.565322425288	0.56252545814	0.600036642142	0.58039701297	0.588061431436	0.59194584183	0.570747848038	0.605888037861	0.67757068702	0.592031997594	0.545778703057	0.599845342429	0.578406772852	0.577179748107	0.586092441661	0.57576324875	0.590544566493	0.576570115419
CS.297	0.59436082462	0.434213694793	0.556825301411	0	0.581185991191	0.66852764813	0.664216670147	0.579387520866	0.50837250888	0.514401334295	0.476176864416	0.48424480956	0.561362145219	0.492696268952	0.597204225516	0.509817994538	0.749544583876	0.517602309171	0.685688578975	0.530372545544	0.623274788896	0.648018997467	0.58071572056	0.770297163066	0.638888431405	0.689941481791	0.582703727906	0.630900061292	0.49124056693	0.602828176839	0.468301628924	0.696518735258	0.643421220126	0.653187831722	0.658513010114	0.619520296508	0.638206780558	0.691328776735	0.667130920372	0.658341846185	0.748484020419	0.706219436147	0.562559175912	0.465647337836	0.556055804079	0.71983861198	0.628250178467	0.695241598701	0.756136329912	0.646650388618	0.65675932153	0.730328110709	0.647474767446	0.703311778795	0.591095744111	0.624108407223	0.57780999529	0.670290809276	0.615827320827	0.63589330088	0.493486090058	0.672698543608	0.569542650382	0.655254272844	0.493851006507	0.524041357544	0.46720656761	0.599383245118	0.44488483218	0.464550017088	0.69623776556	0.550681046294	0.575894472861	0.490687002699	0.652053235517	0.584111313872	0.495055866218	0.572520592607	0.466090438785	0.486858030215	0.541819274551	0.478325090505	0.569294738309	0.466178046972	0.512547971693	0.507765585117	0.45576842696	0.460456459628	0.446764631455	0.560992520287	0.562736715163	0.647974938892	0.468394313953	0.564636854875	0.573163907721	0.51238675758	0.554988985322	0.501382704965	0.575118328972	0.549921117073	0.498467871564	0.560047087073	0.63350656851	0.492339429683	0.659768430425	0.770923911134	0.588129328162	0.61309668823	0.645537882973	0.64520318262	0.734775949874	0.702369529588	0.553047748196	0.656650164202	0.66199100338	0.486472970113	0.713063451694	0.579128580723	0.575199329585	0.751227805564	0.626530772156	0.617320651405	0.560334946445	0.496317208474	0.717063238287	0.578611379294	0.449648215147	0.634901394302	0.596229911074	0.64385221043	0.660064770987	0.766698643433	0.648190534431	0.634879483911	0.625299534379	0.599394092462	0.646713810949	0.619020629874	0.631978529724	0.644115332882	0.752649757137	0.649343754868	0.525358689343	0.660815760224	0.503739117186	0.499367445931	0.470136380202	0.463552911363	0.501922868956	0.559739890909	0.447927676746	0.489328915437	0.509955889234	0.433367431061	0.488232419012	0.462118770498	0.438819072923	0.492733506789	0.68555353447	0.471237142597	0.495258398065	0.471949446114	0.483976743749	0.46425536727	0.454952627818	0.429976625042	0.449965764194	0.429649980822
L.001.M1	0.648049375136	0.569719276502	0.570338686812	0.581185991191	0	0.673977362226	0.577706383445	0.622092386177	0.559347156723	0.586270095823	0.563123977192	0.604707766109	0.644219604612	0.594483615694	0.602450957752	0.596675496429	0.757738410331	0.560491373617	0.702162369861	0.551539183712	0.621482139617	0.62568223859	0.547114712485	0.751960536939	0.634930510603	0.70727731203	0.559489463431	0.662165735895	0.564689525622	0.677339953185	0.568072988554	0.658037549506	0.60688189381	0.660939171832	0.693895290837	0.60560327603	0.670727978769	0.740557986723	0.727744139296	0.692350143051	0.775295119672	0.648849286425	0.544775225116	0.587038440064	0.623262286791	0.732784993023	0.629254031008	0.644374323124	0.711287149179	0.665222855706	0.651190721145	0.718877020999	0.632518760094	0.692876118701	0.603158351577	0.657975131905	0.613699777935	0.691014450357	0.683448605071	0.664871236273	0.57039264369	0.720234561567	0.534199876383	0.693764444963	0.614007132145	0.586175831798	0.588638817437	0.605407514968	0.537683591898	0.525621000989	0.695793933481	0.653366890065	0.580560747583	0.584301970746	0.711372455112	0.527090969166	0.554098855567	0.542278458	0.556248335172	0.540373204813	0.525791786709	0.556271023006	0.534633235208	0.602697798496	0.52166090322	0.5508312393	0.565813835135	0.57937209866	0.576219102747	0.559367097218	0.532562433426	0.634837241272	0.53354295873	0.52084851022	0.562166974944	0.618568900937	0.618992973152	0.593881515155	0.621401851026	0.595915393342	0.550884137829	0.616225301061	0.62384332867	0.605593563603	0.711752532283	0.748497180508	0.571477958814	0.644620792205	0.584370436669	0.631833017493	0.691187746003	0.690322463637	0.627674792088	0.713468214836	0.660798930304	0.620811743212	0.721399142898	0.709926872352	0.62788388828	0.749291649396	0.667758493996	0.69013396361	0.619548115303	0.56882468228	0.751941519834	0.581509345828	0.586906489548	0.685457018756	0.620862936475	0.601868770485	0.692730994377	0.796572635457	0.627655975878	0.611083808143	0.665172590416	0.608917291121	0.663200343147	0.624858333167	0.663127984644	0.681622414666	0.693526335938	0.665326649783	0.631978897485	0.650368906401	0.630617795989	0.645560539223	0.578663832347	0.561507829211	0.593661989089	0.531063606562	0.582714582268	0.604014592326	0.632585997283	0.597643568172	0.602948114375	0.561215806274	0.595403697364	0.634672491922	0.695850256277	0.574499206362	0.592583274391	0.578170085755	0.566536613092	0.612368927687	0.589199915581	0.573155563955	0.63109955491	0.605413279214
CS.091	0.580968533127	0.702881003546	0.645518684473	0.66852764813	0.673977362226	0	0.69449468758	0.691766841462	0.679132403876	0.652786318907	0.636417792719	0.652853496906	0.667419922978	0.632730985083	0.64803690025	0.586071663144	0.677278132101	0.627223345647	0.596936436447	0.654330955198	0.581615068436	0.633442055633	0.692827556428	0.658042847564	0.586943876141	0.641861245666	0.64593929156	0.595503287254	0.641129519547	0.59649705548	0.649368997943	0.633935496544	0.635168402225	0.590344513873	0.592164775654	0.574826880994	0.575236441227	0.624189956138	0.599934234823	0.602440802764	0.657047273827	0.653057113892	0.615556587281	0.65398002027	0.60204215205	0.6263235182	0.577915825452	0.602979199517	0.622624559083	0.600084945964	0.562890893694	0.642720142074	0.608489038794	0.633642899238	0.621799753081	0.566864684007	0.583622127646	0.585747745273	0.584976202141	0.576248226142	0.631260264988	0.646425469291	0.684108035362	0.607088003003	0.631291381173	0.622458400568	0.652372502478	0.695820782806	0.668595982287	0.676308186444	0.640260650651	0.626868722248	0.665626541954	0.649687464517	0.668253323106	0.697685181822	0.692281292437	0.679957225991	0.653809435101	0.687361176418	0.676789890156	0.689740872981	0.658760506483	0.643928442945	0.680256804817	0.698119490777	0.693420878667	0.666203527521	0.683781139594	0.62319492326	0.629815818598	0.591414254023	0.65986153589	0.616654416442	0.625760274416	0.691066357893	0.68731094086	0.636858825948	0.653690740445	0.630638573349	0.648002494769	0.651363871708	0.60117876755	0.668482059076	0.653374104747	0.647516959295	0.590744136999	0.591838672523	0.615889177147	0.606934913991	0.678063421476	0.633106506911	0.59683970127	0.628673991923	0.636885755825	0.646659980718	0.61254858206	0.639897572555	0.645929316744	0.657847978458	0.588031831924	0.56948650895	0.589657111457	0.62545218816	0.664982165957	0.59333009622	0.66000290009	0.620209294098	0.584395620989	0.608201042985	0.61093121022	0.636678209721	0.622130157411	0.622108829513	0.575314251163	0.579821166252	0.579021189982	0.584358624469	0.615450615685	0.607573052032	0.644860979719	0.562146185704	0.622386889263	0.647181607244	0.659618910879	0.638798046486	0.680388415063	0.674664145966	0.65924844437	0.65629291823	0.651786832661	0.661896879901	0.650939940153	0.677966531408	0.662373043497	0.677055872543	0.671588652849	0.660878115565	0.665394560387	0.702469643689	0.675727722662	0.672990442325	0.650348332491	0.707000162821	0.646999934028	0.657891174495	0.695690330518	0.683121461201
CS.244	0.706044256688	0.652314910981	0.586074870078	0.664216670147	0.577706383445	0.69449468758	0	0.588295086261	0.638470074848	0.650937975154	0.660747929961	0.644208943775	0.626139845748	0.676538342872	0.614891180713	0.695274259019	0.766752195111	0.638225973912	0.735554898108	0.566122733166	0.704298505452	0.614588161757	0.603200853645	0.743607189449	0.703177659718	0.726263604722	0.587329032759	0.721489203309	0.666721233507	0.746512334132	0.69780066151	0.648783586055	0.676026025416	0.706308103449	0.729035309584	0.663828655128	0.730426513043	0.769219025338	0.781858657961	0.759624060601	0.772240088393	0.715727968228	0.635186776856	0.687010583772	0.697668670977	0.742606319994	0.712982009257	0.683021974465	0.73956133813	0.723772798833	0.721829827605	0.740894557574	0.700022428467	0.707281266066	0.621132156758	0.749643312717	0.710325323932	0.720382737715	0.717829569437	0.724484239374	0.672583742863	0.75498523411	0.636167712419	0.720107413035	0.690607580295	0.700283896897	0.682627314123	0.60466556469	0.628082012085	0.653052491612	0.714582650379	0.704303781219	0.631359550726	0.644789950892	0.736841779586	0.626910937857	0.636394198124	0.60538800245	0.648537371039	0.662041434167	0.612429558495	0.631266171471	0.601904075986	0.654278397102	0.631014220295	0.658600626814	0.652119986389	0.642702588694	0.680431584895	0.666179826864	0.626062214953	0.659267462666	0.629301778608	0.589427671337	0.629868790159	0.635049522471	0.642101809161	0.607812825098	0.621725419759	0.636586261455	0.642865836815	0.637973158821	0.650505874128	0.651360588902	0.715356863333	0.743507678509	0.627268258646	0.695124842606	0.661703283691	0.673960864776	0.63842639295	0.718195770906	0.698995564098	0.723705583865	0.709616224244	0.655067970647	0.750774607524	0.751269477484	0.677193505464	0.753475198568	0.74412855931	0.749736603922	0.691561494273	0.680946605348	0.784903119674	0.673891681017	0.6530885924	0.712998997996	0.643272447345	0.640622462094	0.754203643787	0.780235719256	0.632986766853	0.636912278068	0.718900128457	0.699021059071	0.711238916043	0.685607547811	0.713252116588	0.710914767394	0.727559821824	0.714337069713	0.720374387816	0.679401476596	0.682997019056	0.729295571418	0.649346456054	0.67564328206	0.642451969519	0.59085847062	0.641488116169	0.673817570494	0.710142472591	0.697266307778	0.635948299579	0.680982054281	0.691851219051	0.717122485385	0.740755688525	0.650844019576	0.618865765505	0.658022698504	0.664244575604	0.642195837822	0.689413597157	0.663050564446	0.682813836676	0.644225361824
CS.354	0.64455818742	0.600660709233	0.545298295943	0.579387520866	0.622092386177	0.691766841462	0.588295086261	0	0.597884413093	0.556954916014	0.608365644186	0.568890372531	0.535999705087	0.613848487932	0.569219363523	0.627232255857	0.706683938465	0.571364179011	0.698337591981	0.548551356671	0.658239894245	0.588183914686	0.619113165082	0.699715404778	0.63943564391	0.675089784184	0.5933577676	0.661203844694	0.630181833866	0.670179126769	0.645404485702	0.62513711069	0.622548580848	0.647077131395	0.646175577875	0.628486586621	0.638991386262	0.700476670249	0.707602223812	0.689055024178	0.71441340937	0.683876270398	0.631419655243	0.607500225536	0.613314520906	0.707350221522	0.679260123098	0.665886160356	0.693456193813	0.669869109428	0.695961784704	0.700134616835	0.669736590255	0.666030752446	0.596876547525	0.685100290484	0.653053773984	0.66471286166	0.639859464406	0.659154816831	0.639986605996	0.664564684573	0.646647157417	0.636874029669	0.642861368984	0.624824765026	0.614526239402	0.570832781429	0.583750443701	0.633280833727	0.671295373338	0.613402563911	0.579399200364	0.591588274939	0.671539821675	0.659976850359	0.638123361678	0.61270945701	0.611370842489	0.648270942317	0.624479459381	0.629622893404	0.616338497369	0.587674343695	0.608579795306	0.649535483329	0.638970740503	0.584471100317	0.619549362795	0.662346604299	0.633087026233	0.619582184048	0.591580368853	0.607807980341	0.611858978652	0.592529057094	0.576286332233	0.575246591332	0.576796328844	0.6091560555	0.60948733681	0.58362326001	0.626442701598	0.606679723849	0.660598882752	0.712048522861	0.604745704552	0.65131081321	0.636900050313	0.661728545689	0.659911372161	0.690915092716	0.619524052273	0.65602882404	0.679171549801	0.555846401104	0.699668480818	0.669656815835	0.578779388131	0.711348196681	0.676523953637	0.680775181102	0.632482658515	0.629603395452	0.717935496797	0.646994957412	0.587273211817	0.610239976353	0.60837384776	0.59506746127	0.671459826888	0.747124963702	0.61632334387	0.590492416385	0.669646188822	0.640455450353	0.649356400935	0.642005181373	0.671229081184	0.609742909627	0.709386524697	0.663612534486	0.636266092348	0.618719868104	0.592958020235	0.623403804608	0.616132802115	0.646441656039	0.550190562508	0.605859224523	0.568992445916	0.609126070264	0.635342610559	0.609513652465	0.581757623161	0.638877662758	0.610197420244	0.601977568725	0.688903440097	0.630133929382	0.540771212984	0.635634150854	0.622182186948	0.542552361799	0.611697497904	0.620005083104	0.5746362591	0.580955888537
L.006.M1	0.643149160437	0.524478515561	0.592038865316	0.50837250888	0.559347156723	0.679132403876	0.638470074848	0.597884413093	0	0.589435782489	0.553324799768	0.553841494096	0.603504469028	0.576291580749	0.5972476572	0.584896244416	0.745966886245	0.557352970268	0.667040196882	0.566257729632	0.60621272685	0.639220924561	0.570943316596	0.753867611314	0.644171517557	0.688364270763	0.57809094338	0.665331755826	0.563693555179	0.661876385683	0.547064237978	0.682550175276	0.644735391729	0.657484039625	0.675333799009	0.644963014206	0.66034033129	0.736731826899	0.707022680686	0.687391473023	0.753623898891	0.669384259223	0.581900156508	0.524283243517	0.601187966795	0.737522806072	0.62739406792	0.664145190294	0.723038236337	0.668598170634	0.666346717418	0.71140913004	0.660076927683	0.697189586538	0.602366658293	0.645951672956	0.633829214253	0.690941107108	0.665461904375	0.647517760145	0.565837411478	0.706157557289	0.56800175493	0.667366770328	0.599865707204	0.578132638881	0.547882172525	0.619705231162	0.540279728845	0.506759304267	0.698141060349	0.629581671211	0.608756604202	0.552537135631	0.706884634105	0.578362511762	0.529578059047	0.56668996003	0.537353728441	0.547058587394	0.542582053461	0.540462109193	0.568231533387	0.531604353639	0.50882894041	0.567382462355	0.547702141782	0.533881899534	0.524638531485	0.580422262964	0.558039269075	0.647582251515	0.529184580651	0.546154926991	0.568132637211	0.618471363068	0.596381073521	0.58125099269	0.603943301413	0.581938432435	0.544848622274	0.559910232991	0.617316026997	0.535511485355	0.712206165918	0.759531950732	0.591478884508	0.640383392762	0.617033391581	0.677432825384	0.709040378365	0.71648006361	0.619589245113	0.700157880159	0.686413038369	0.602653633284	0.70528704027	0.669217531629	0.616620781508	0.751607581306	0.645842089467	0.646002209073	0.612533800567	0.563623127212	0.756183137417	0.57575523328	0.537294726388	0.667799014615	0.605423599255	0.633354820679	0.67097727701	0.770694654051	0.649058561634	0.634529460237	0.662443645633	0.610765642834	0.671529844301	0.6301028626	0.640164666762	0.672944901307	0.734998702929	0.674322065468	0.603070953743	0.670021987503	0.608658049667	0.609023514565	0.548613004428	0.53915660019	0.575993364907	0.562646938903	0.549117064394	0.599491722036	0.591122053997	0.544756245203	0.569037730458	0.540340889819	0.554043591833	0.606359652416	0.722144512963	0.540704601311	0.584609158596	0.528122640414	0.572236776728	0.577538327576	0.57681291461	0.529474889538	0.57675568069	0.551043772867
CS.245	0.603879893231	0.566520293321	0.552994348193	0.514401334295	0.586270095823	0.652786318907	0.650937975154	0.556954916014	0.589435782489	0	0.567064844463	0.553323231414	0.557522670084	0.553358586359	0.576027485734	0.559126501085	0.705678192905	0.545397248647	0.693938172701	0.588956737289	0.638070413449	0.609175093823	0.612576343296	0.714646508122	0.613866854305	0.670300260135	0.595024496306	0.616945024156	0.579277895041	0.639103089596	0.561645893278	0.651906385477	0.619370614737	0.626572589731	0.660241379628	0.627187731737	0.608776393383	0.667010957624	0.666950968129	0.661754938583	0.694076220416	0.694730253024	0.600315040808	0.57649850057	0.613068254643	0.70469353603	0.643495800261	0.683236541813	0.717791189455	0.64828097387	0.665198634368	0.705906323709	0.669890040906	0.684159932555	0.603021431048	0.658953847016	0.613482519275	0.662755413699	0.62322866129	0.643079798851	0.573156915897	0.621892456369	0.625536286733	0.637006675845	0.543296224504	0.549055992617	0.55508308171	0.58115445238	0.539177165967	0.570426017601	0.680148994119	0.557356177811	0.554758330264	0.539108480197	0.620466342017	0.632309752152	0.588663612529	0.619010834176	0.573014735452	0.585764322706	0.596242162138	0.554693336683	0.608065718736	0.534610889269	0.55894141465	0.58452516365	0.555835534511	0.535971117806	0.551495452261	0.64353351145	0.615040905601	0.619858138041	0.539199389228	0.598282231994	0.592303794741	0.563357182119	0.559949990857	0.535174458787	0.568401831488	0.602864250413	0.56996697783	0.585988980302	0.621278491384	0.580949777652	0.629783070292	0.705438675506	0.60628717685	0.623583501032	0.646009683519	0.650846564591	0.685037115305	0.64489061106	0.557819823251	0.617456133411	0.647998973842	0.524347463702	0.664789167594	0.589003259334	0.564597489609	0.691795451456	0.640248024507	0.641722109069	0.585883783485	0.574859461884	0.708908494907	0.647446540252	0.544374522967	0.613337073452	0.596763902134	0.616196127561	0.662988117056	0.744128296286	0.622187941601	0.60539560157	0.622195064583	0.636039918931	0.645149889173	0.619479517207	0.65907355061	0.626284132889	0.727249385162	0.640068338588	0.587532873781	0.636571296825	0.54615210201	0.529124179642	0.581576272554	0.581718840683	0.52619114946	0.608812889953	0.54141794112	0.535073161706	0.560478540773	0.513133717842	0.552461584437	0.570629594229	0.549394721371	0.533892113095	0.674017998252	0.584214780792	0.514737046035	0.577621981157	0.530010968929	0.497322240392	0.563456983781	0.559571715164	0.531778518221	0.538640720879
