PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.099	67.16284	808.386363636	347	6.18040036375	0.9539755368
CS.105	69.69049	700.127659574	338	6.35411311319	0.961236586405
L.012.M1	65.23339	965.32	406	7.06225621307	0.984788726015
L.011.M1	57.58105	829.125	303	6.31546578459	0.973151797657
CS.011	89.33032	631.105263158	364	6.85376449652	0.976287379566
CS.104	66.29261	659.7	309	6.42033473396	0.970498311467
L.001.M1	76.14962	674.833333333	354	6.61833056202	0.968494152031
CS.039	63.3587	645.636363636	323	6.48697468786	0.972185428733
CS.314	66.81832	885	375	6.88235303534	0.979356330359
CS.257	71.43757	1174.38181818	454	6.94926444886	0.978245376269
CS.176	71.62528	995.12195122	375	6.50851256646	0.964899555771
L.033.M1	62.57073	1082.625	468	6.966635126	0.980184211082
CS.028	77.99057	596.826086957	334	6.79842140871	0.980433315645
L.036.M1	71.89136	945.529411765	411	6.99718833886	0.97921914865
CS.035	65.71162	685.135135135	315	6.36193399321	0.965595480755
CS.058	66.93286	614.772727273	311	6.53618051833	0.977769377515
CS.117	61.416	617.6	281	6.28119277593	0.974535373175
CS.067	35.34234	309.882352941	151	5.12352270866	0.944192956743
CS.040	61.12304	719	304	6.11328587049	0.962114984837
CS.301	68.72994	923.15625	429	7.04717846796	0.981761582981
CS.327	56.35991	1193.625	403	6.35263509688	0.967896213981
CS.161	48.61543	484.303030303	238	5.83257989884	0.963981962565
CS.154	30.01407	460	156	4.85330479262	0.935241741389
CS.076	51.772	521.181818182	243	5.83708274666	0.964640434766
CS.341	52.44954	789.288461538	351	6.25779382049	0.963905750505
CS.381	75.59578	1054.17021277	413	7.21553544724	0.987855499321
CS.388	41.60466	649.9	295	6.18997178471	0.971357983507
CS.290	49.11392	675	334	6.25015827634	0.95688030504
CS.305	77.52314	1076.62295082	459	7.06400878246	0.977686197495
CS.153	75.75788	749.317073171	352	6.86003894222	0.982335133172
CS.126	72.30157	1211.87301587	476	7.0231210093	0.978482286902
CS.292	64.59762	598.068181818	298	6.23962856774	0.966922441599
CS.236	46.20137	433.166666667	210	5.55428021609	0.95268254476
CS.232	87.36415	833.12244898	398	7.12496767232	0.984138528267
CS.282	51.91179	1016.15789474	353	6.38992314933	0.972062182944
CS.136	64.14091	552.825	299	6.56178134304	0.977852993033
CS.203	59.31398	919.344262295	405	6.38679076113	0.962855330565
CS.213	43.6912	709.818181818	323	6.32848837632	0.970762222945
CS.041	50.89165	534.833333333	251	5.60514453667	0.932337408646
CS.380	73.08874	1110.59649123	464	7.29262079238	0.984911100809
CS.302	37.88055	655.59375	268	5.84781774126	0.959819042084
CS.376	55.0281	929.346938776	373	6.415152378	0.968378309699
CS.375	53.81888	1000.02040816	380	6.38446698704	0.97116331613
CS.224	34.16981	560.84375	248	5.35862250666	0.923013407443
CS.378	47.24715	569.085714286	279	6.46954394962	0.979322797052
CS.369	48.5155	451	271	5.76314234833	0.957610198829
CS.177	47.46495	668.033898305	354	6.15596419519	0.956793205542
CS.389	53.36524	717.781818182	345	6.38418449585	0.97160360409
CS.254	62.16516	754.75	389	6.85870674223	0.977434915445
CS.129	56.6716	935.459459459	348	6.71868482096	0.981093965333
CS.323	72.60433	997.172413793	430	7.1232104629	0.985316984467
CS.372	57.11989	722.566037736	362	6.75957425621	0.979794440831
CS.268	59.68666	596.083333333	298	6.55616118203	0.977718859807
CS.178	67.57516	702.666666667	358	6.77081022645	0.977249829013
CS.256	57.61418	716.631578947	364	6.57085381868	0.974419530843
CS.385	65.50113	890.038461538	388	6.87889430286	0.982373892448
CS.359	38.89341	629.75	313	6.1070300499	0.968807274724
CS.148	47.5661	486.766666667	303	6.14357379957	0.970204786161
CS.181	64.41238	881.038461538	379	6.60629832305	0.973310318743
CS.182	78.28983	838.180722892	448	7.10242456785	0.983314567021
T.CS.003	71.68788	1045.52941176	467	7.03553985188	0.977866928952
T.CS.052	61.68187	710.631578947	358	6.74864951566	0.98111878869
T.CS.028	75.67955	1309.42857143	487	7.08161433161	0.977649180209
T.CS.057	48.4391	795.558139535	342	6.58019024863	0.978455721555
T.CS.072	85.50214	843.153846154	438	7.24228384431	0.983714353714
T.CS.069	75.43499	1044	482	7.25459416347	0.982750597775
T.CS.022	72.2385	969.081967213	434	7.12033643207	0.98170104883
T.CS.079	53.03933	636.966666667	344	6.60273114939	0.978379509495
T.CS.067	58.81348	1082.875	415	6.37526497002	0.963068724334
T.CS.019	51.89856	844	329	6.03312979281	0.962033982304
T.CS.038	89.12644	689.542372881	382	7.04704559662	0.983397311543
T.CS.034	72.15467	902.789473684	446	6.75874115741	0.972982824632
T.CS.025	66.86535	1078.41176471	408	6.7995361445	0.98035971657
T.CS.014	67.02432	855.022222222	372	6.6680817653	0.97373536429
T.CS.058	66.55328	897.37254902	381	6.65214767477	0.976433706722
T.CS.159	95.15364	926.833333333	422	7.15131294291	0.983327631945
T.CS.124	83.22163	896.25	408	7.08558195097	0.979719099766
T.CS.112	63.0913	1166.23404255	405	6.46998238807	0.970981713678
T.CS.180	72.78055	767.058823529	369	6.82958906007	0.981354828328
T.CS.114	84.63574	712.080645161	407	6.91773303372	0.968194965257
T.CS.130	78.76038	1044.78846154	422	7.04628516855	0.983254903865
T.CS.167	67.45713	1092.47761194	454	6.64247245951	0.969674350221
T.CS.119	93.59639	864.126760563	450	7.2913131846	0.985620961713
T.CS.106	83.0265	801.554054054	430	6.87441342946	0.974452193154
T.CS.100	87.11607	828.518518519	426	7.47301869175	0.988512665029
T.CS.134	69.54457	928.512820513	456	6.67915939831	0.969938697196
T.CS.160	103.14494	1108.52173913	497	7.50177328134	0.988042327743
T.CS.131	81.53118	1127.55882353	468	6.86189151315	0.974474839024
T.CS.107	72.61591	1235.55223881	488	6.97809999867	0.978147824832
T.CS.123	67.52862	1208.12244898	428	6.78750719617	0.977747602641
CS.356	35.34788	606.034482759	251	5.96774327889	0.970047136071
CS.241	75.66734	726.2	368	6.85324627946	0.981113127223
CS.103	70.81369	545.630434783	328	6.92782641686	0.982591205694
CS.085	80.66386	677.960784314	376	7.1406687311	0.98487277703
CS.246	72.58829	1082.61111111	425	6.81818603639	0.977180149415
CS.006	60.00565	727.487179487	319	6.23407554922	0.959827752034
CS.088	40.29899	544.913043478	224	5.70294605883	0.957408127994
CS.087	50.38845	781.75	295	5.78199966618	0.947000173546
CS.015	55.59772	709.317073171	312	5.93450621484	0.95455779694
CS.242	73.69293	1106.54237288	435	6.62854487692	0.96826377386
CS.082	89.14972	719	410	7.08168303188	0.980971155042
CS.237	57.98729	597.757575758	277	5.98425714399	0.957877158788
L.024.M1	56.79889	802.368421053	372	6.56552259482	0.975507403566
L.034.M1	70.75508	1058.01587302	460	7.21846032357	0.984031395885
CS.238	66.18718	604	310	6.78334257858	0.982936990699
CS.150	66.94112	824.529411765	365	6.447622457	0.972313900492
CS.304	50.77043	666.95	295	6.06768128883	0.9621907614
CS.151	74.079	878.75	407	7.08866678888	0.983349842317
CS.330	57.16872	860.245283019	389	6.71392196499	0.973972710421
CS.347.0	43.29714	470.034482759	232	6.06462280369	0.969047669337
CS.188	59.07432	1038.67164179	464	6.99794933946	0.97794009253
CS.364	43.52221	580.181818182	319	6.22348126099	0.969224481317
CS.113	52.11911	711.1	271	5.87817746828	0.959037759592
CS.207	46.48063	583.27027027	269	5.94464040511	0.962924139168
CS.308.0	46.10123	522.451612903	235	5.26081522864	0.933720548666
CS.191	74.677	1144.9	440	7.05419639048	0.979959494379
CS.187	60.15305	960.222222222	375	6.40752613733	0.965895974022
CS.165	47.92018	880.625	275	6.05074099901	0.969080767146
CS.228	56.21136	460.108108108	254	6.01750865849	0.96295157551
CS.346	39.3207	472.666666667	209	5.35391085463	0.943672537245
CS.163	48.48348	482.724137931	224	5.61125977418	0.957438177321
CS.202	50.96405	914.645833333	366	6.07334563574	0.954360952076
