CS.099	CS.105	L.012.M1	L.011.M1	CS.011	CS.104	L.001.M1	CS.039	CS.314	CS.257	CS.176	L.033.M1	CS.028	L.036.M1	CS.035	CS.058	CS.117	CS.067	CS.040	CS.301	CS.327	CS.161	CS.154	CS.076	CS.341	CS.381	CS.388	CS.290	CS.305	CS.153	CS.126	CS.292	CS.236	CS.232	CS.282	CS.136	CS.203	CS.213	CS.041	CS.380	CS.302	CS.376	CS.375	CS.224	CS.378	CS.369	CS.177	CS.389	CS.254	CS.129	CS.323	CS.372	CS.268	CS.178	CS.256	CS.385	CS.359	CS.148	CS.181	CS.182	T.CS.003	T.CS.052	T.CS.028	T.CS.057	T.CS.072	T.CS.069	T.CS.022	T.CS.079	T.CS.067	T.CS.019	T.CS.038	T.CS.034	T.CS.025	T.CS.014	T.CS.058	T.CS.159	T.CS.124	T.CS.112	T.CS.180	T.CS.114	T.CS.130	T.CS.167	T.CS.119	T.CS.106	T.CS.100	T.CS.134	T.CS.160	T.CS.131	T.CS.107	T.CS.123	CS.356	CS.241	CS.103	CS.085	CS.246	CS.006	CS.088	CS.087	CS.015	CS.242	CS.082	CS.237	L.024.M1	L.034.M1	CS.238	CS.150	CS.304	CS.151	CS.330	CS.347.0	CS.188	CS.364	CS.113	CS.207	CS.308.0	CS.191	CS.187	CS.165	CS.228	CS.346	CS.163	CS.202	CS.285	CS.227	CS.080	CS.152	CS.319	CS.194	CS.343	CS.158	CS.322	CS.361	CS.320	CS.223	CS.112	CS.270	CS.326	CS.390	CS.145	CS.262	CS.255	CS.370	CS.253	CS.393	T.CS.008	T.CS.061	T.CS.055	TFS.020	T.CS.066	TFS.021	T.CS.043	T.CS.064	T.CS.026	T.CS.031	T.CS.045	TFS.022	T.CS.049	T.CS.036	TFS.025	T.CS.158	T.CS.157	T.CS.166	T.CS.095	T.CS.109	T.CS.141	T.CS.151	T.CS.142	T.CS.152
CS.099	0	0.558480042236	0.572733998345	0.570531741002	0.519279126339	0.539081308626	0.54659299513	0.552867151904	0.562325588762	0.55023947559	0.622634613795	0.622267666624	0.52638613654	0.568120987664	0.536972014385	0.589757940653	0.535723332146	0.744719348914	0.574959027329	0.648035274238	0.581760142527	0.682261831589	0.775181108611	0.629580033607	0.725678886531	0.612605888473	0.731771639282	0.717475835724	0.564451881765	0.568163836632	0.615095492067	0.615669406604	0.687734524285	0.551244960605	0.72308628535	0.629563827483	0.587319217154	0.701791088695	0.666792671398	0.604077217103	0.759870738748	0.697131763154	0.659370161235	0.77702877056	0.678788547863	0.744142086301	0.708954902525	0.689425005634	0.702583847813	0.606380860117	0.68014116828	0.691862272234	0.676716606242	0.640340622355	0.697967297007	0.680232585306	0.736644613537	0.712573461842	0.674331396128	0.644927917677	0.551220237224	0.691985001744	0.618110277804	0.729837358017	0.584069063758	0.632762957057	0.625723540006	0.720857157351	0.581486578944	0.645673727291	0.582141723665	0.574372570102	0.5828071852	0.599958710461	0.593205283506	0.558968035154	0.510858600369	0.590931025886	0.557717708846	0.511871850444	0.546602369436	0.511088004829	0.574724087441	0.524355910566	0.568368262915	0.570501361853	0.543709195756	0.56092837315	0.544127548561	0.572905845448	0.688389134099	0.53454486903	0.532886639847	0.520498178305	0.545136209198	0.485995529663	0.636526086958	0.54983239349	0.550085019733	0.532982363623	0.525681857172	0.634547939294	0.541158440459	0.592572033165	0.530728841462	0.59086484377	0.692967647276	0.643868110951	0.676266822413	0.689907488913	0.700609460755	0.733997994253	0.561762425936	0.690128366482	0.68154181343	0.549647617029	0.673322364039	0.695175190733	0.582421746482	0.752890571725	0.630265968756	0.666219160689	0.7403327616	0.786873418888	0.603121778191	0.589701622218	0.702927668087	0.771440425484	0.695858867759	0.62378272271	0.720722939111	0.685491673436	0.65203450018	0.698821845766	0.622548505134	0.70247758175	0.646430881411	0.694346355318	0.644252844018	0.702030078971	0.64406335018	0.687139933277	0.726911899571	0.69532163593	0.658941824956	0.636061907871	0.556356185403	0.539003298739	0.522838897998	0.596478776344	0.595394338363	0.55387672997	0.731142326403	0.575748137173	0.603512051571	0.534375669926	0.683654037456	0.544506234598	0.635440095435	0.547772665504	0.541076276267	0.558505261911	0.524555143634	0.511840399758	0.582165186773	0.555895533752	0.589888248758	0.562759430358
CS.105	0.558480042236	0	0.564092548566	0.534224027878	0.531404742647	0.51483336296	0.563123977192	0.59443572781	0.574902215852	0.598153400299	0.554438342197	0.605580237147	0.520604230219	0.535879779552	0.524032696918	0.565565598652	0.538901934836	0.724137307621	0.502798779847	0.550670175494	0.591848404053	0.656910828657	0.744056986525	0.608294293394	0.637177848472	0.499900012246	0.670047319769	0.643094179553	0.476665023634	0.535379735617	0.490116273839	0.596703614987	0.670347758728	0.50900916494	0.665825426797	0.575927281996	0.502218768351	0.670449632269	0.577182816994	0.504287495929	0.697522992174	0.624025718539	0.592921740662	0.743887713028	0.685306476767	0.719397390628	0.682129503878	0.616161706884	0.630670605182	0.61371469936	0.595808181784	0.617045353459	0.651441931233	0.586582147524	0.653240683498	0.613102536457	0.697717907411	0.676496471105	0.619187578188	0.559336519399	0.501261816039	0.601085425423	0.51820850875	0.664695539334	0.491666869218	0.537574109011	0.564144293752	0.655026621147	0.494983726938	0.599067784398	0.538590576889	0.524300198461	0.520585359246	0.563483521944	0.519275826876	0.574448919731	0.525775793425	0.555350792182	0.568343501869	0.580735217015	0.506537771508	0.511563173256	0.574551979619	0.547676858853	0.569661724971	0.499568196161	0.52893173417	0.515068271137	0.500056023739	0.524076746779	0.671659401298	0.514188473219	0.573535730677	0.521244560059	0.510859757177	0.525610277988	0.639049811819	0.588447723777	0.602241015052	0.485305202248	0.531759726275	0.636169605997	0.58336312233	0.576653810095	0.546996050393	0.574429734771	0.685152762495	0.565073285551	0.63079220255	0.661068959695	0.626347738902	0.70445909074	0.525323829447	0.675947052139	0.654049158293	0.493768008506	0.61335638208	0.645036009709	0.599303562908	0.718970430339	0.619953405293	0.634305858426	0.70305381986	0.770987335059	0.492381881941	0.484009601765	0.627692881571	0.729525549794	0.642603261872	0.625600572575	0.673630584812	0.655710292017	0.579903070213	0.638514994768	0.624431715348	0.630858727556	0.602860337722	0.638884610596	0.550924740866	0.65416465774	0.597702067078	0.609135489762	0.7291730326	0.653473096151	0.556448308545	0.54141000321	0.551335593914	0.495197674914	0.521044908075	0.556721874214	0.531002669371	0.503337592185	0.693399416437	0.518366789954	0.523688568715	0.489559145706	0.628999962872	0.55231373003	0.515341306909	0.49011994429	0.556822019886	0.511390589083	0.549570959278	0.525296035115	0.591905270276	0.533193281311	0.585881454423	0.499027248907
L.012.M1	0.572733998345	0.564092548566	0	0.559077902818	0.578351122676	0.579704817141	0.57462813063	0.594534151908	0.57996697398	0.60915748813	0.630680427302	0.63767628844	0.580597976538	0.523876509021	0.589905087186	0.638391052195	0.592363218967	0.744170651088	0.589748430156	0.613643594053	0.588280478109	0.691101434672	0.779365922557	0.678399052864	0.673049530055	0.55977158782	0.713869857487	0.673125966867	0.554041102271	0.61921447597	0.567923830373	0.629999375361	0.71642804466	0.604515817185	0.680431249574	0.647370139801	0.552428890958	0.690136103182	0.669456719364	0.54181943658	0.730883906043	0.657953432205	0.647230063727	0.756203149985	0.708666244291	0.758414203614	0.704461534636	0.679274289881	0.675894668075	0.638974595769	0.670855328766	0.675414447663	0.706124296621	0.606615248205	0.676477553977	0.685594781499	0.76500890322	0.713551846023	0.652076936578	0.628050768899	0.506858082267	0.626793359422	0.572566470733	0.698565291248	0.558866851917	0.557435734655	0.603401777472	0.688613314503	0.554491317831	0.644976750868	0.568856019707	0.560147788791	0.558372931347	0.586743970911	0.588654580277	0.540552641657	0.54913468356	0.554084676604	0.602083896029	0.563241119028	0.53935507465	0.529114024567	0.563821781593	0.509279374306	0.553278350504	0.57341854237	0.541930118272	0.551897556731	0.544774832486	0.562688861079	0.702075729715	0.531999760615	0.584654805876	0.566733335716	0.578213017108	0.562688258187	0.662423900481	0.626447567036	0.591318282757	0.535210368912	0.584452547823	0.662529500504	0.576925594436	0.5711603283	0.600803146745	0.599442154892	0.724576623462	0.619486105159	0.665844873059	0.700843573253	0.666577723088	0.736024460517	0.587665950088	0.701214264402	0.704490086107	0.525576206867	0.646401459575	0.678991646377	0.627983776872	0.753928814788	0.671296307335	0.676250718527	0.733409833133	0.786153906739	0.624252231056	0.575868874654	0.655754542656	0.75347123477	0.675451711835	0.658112663565	0.689233593062	0.686198596859	0.603796692243	0.674926194589	0.665155020735	0.692684273835	0.645003423525	0.675817036163	0.607534140738	0.673656058681	0.629699354037	0.66963516151	0.754244178332	0.692391600978	0.587063332828	0.581799400258	0.551538130633	0.506931719812	0.547828598156	0.565796978908	0.562389534488	0.546158062523	0.70596108325	0.567434852243	0.569333674914	0.530086299451	0.628720874688	0.577344652553	0.575377789008	0.553558593829	0.546844535029	0.580914757916	0.508880045579	0.515976392039	0.548892525272	0.552224429848	0.5581884894	0.554724537571
L.011.M1	0.570531741002	0.534224027878	0.559077902818	0	0.546070708539	0.503427256054	0.598823589839	0.57250866124	0.565860756309	0.567610181279	0.562180366219	0.581802654443	0.569310527927	0.557407994522	0.565715333581	0.614154276712	0.572500328445	0.731008213688	0.56671713395	0.59119451107	0.597747437167	0.632792742122	0.752795423123	0.625793699246	0.657765051352	0.56246498923	0.701192161114	0.622563349697	0.515392412661	0.598589539716	0.552947392621	0.599678016148	0.662444703589	0.575735591339	0.644474272758	0.603243593865	0.540297958463	0.652469410487	0.637035745726	0.538804515019	0.706200452729	0.632732732812	0.594840166903	0.743057912451	0.663222928449	0.724543786295	0.644660705363	0.6325720389	0.612791627984	0.574481774044	0.598803870453	0.613464924256	0.638470373929	0.607194354674	0.621505076648	0.605058088593	0.711875116877	0.671120911291	0.604757228526	0.57604000829	0.534230030381	0.629191641126	0.560186344172	0.655563061686	0.556213747323	0.573573418531	0.553870023305	0.64862147272	0.535164025349	0.588290546616	0.592795837229	0.526003236099	0.53677798268	0.594055918912	0.543664498564	0.593512918245	0.550772616754	0.500139781225	0.563478986711	0.58979040363	0.51111306264	0.528474481072	0.583989905546	0.548671517089	0.580069580962	0.538848551459	0.542602854781	0.516618572419	0.499823680545	0.516837927653	0.659959225341	0.52334781628	0.570927537857	0.573102356049	0.526297869501	0.510871396655	0.627452877839	0.595770286554	0.570821073325	0.527157132672	0.573934387941	0.633880152769	0.573718910253	0.550525132271	0.563951096746	0.580826799389	0.691108709008	0.605059292134	0.621611801918	0.66153031843	0.629263375173	0.691171953461	0.541108043152	0.671851103485	0.669851804418	0.560255554707	0.59020225462	0.633657077325	0.613212562074	0.72569293528	0.619658703346	0.639965119695	0.686614001999	0.747300513445	0.582284946899	0.520725184805	0.614414251974	0.716796302117	0.625288155943	0.627791590479	0.657533497019	0.611656071137	0.588046874319	0.611032687177	0.610672221374	0.631098987612	0.595876864274	0.6119968543	0.534089740892	0.620981770163	0.59308636473	0.625863132464	0.727447416651	0.638177137999	0.575889051779	0.565804478862	0.549572459152	0.537390651423	0.545817175949	0.564696470067	0.574471415602	0.518633824746	0.697027832768	0.565848854384	0.579158076987	0.538737228948	0.623438330643	0.605508970774	0.564268674148	0.510684599643	0.553027448413	0.522049317439	0.556760258447	0.521722690412	0.57314811745	0.540374973543	0.588226520099	0.54802101018
CS.011	0.519279126339	0.531404742647	0.578351122676	0.546070708539	0	0.555980558672	0.548863226436	0.591652414565	0.587279282205	0.594053488332	0.590108515194	0.65164882745	0.497181847363	0.585697572176	0.555510670976	0.586374237533	0.579296328558	0.73721919269	0.576795956458	0.570868017765	0.620139813958	0.653214848076	0.766882262035	0.607334904029	0.688269378267	0.569468059777	0.721212807026	0.6808713116	0.527107478457	0.554204099005	0.551796439241	0.581317207233	0.68497653622	0.512767536019	0.683194899289	0.613846851211	0.609800747563	0.68709382968	0.656082249126	0.568157150496	0.720058327484	0.664330776277	0.651903447445	0.759118151709	0.691640443316	0.723195333768	0.676150245318	0.617634447155	0.640653005339	0.59792519751	0.621514487474	0.623477852145	0.660099216216	0.606796344443	0.659763714033	0.623579011925	0.694941837711	0.698810181438	0.6191815696	0.560189068913	0.553434388616	0.64624688434	0.584288841492	0.714582045012	0.520937076578	0.587479169961	0.626235210188	0.687284893967	0.589404191649	0.629091851477	0.470210488667	0.565606692482	0.592257619886	0.565412622899	0.600534169129	0.496494871014	0.513297595012	0.586125678841	0.548367861618	0.550108612215	0.507950792002	0.551666980475	0.464890410091	0.504862317299	0.547720327698	0.557953073581	0.485753878115	0.501805145684	0.511532005937	0.572571158321	0.678740624747	0.523652009785	0.528340906919	0.497537823154	0.519544057005	0.531946412222	0.68695013742	0.619830949099	0.60777650539	0.51267532051	0.487870801714	0.621845423001	0.593900370948	0.605795452915	0.553860258269	0.564487808778	0.692543419038	0.587520849658	0.627985330901	0.690364440038	0.680796675202	0.718243937463	0.61232417736	0.657569060512	0.668121616784	0.539156892259	0.621356450297	0.707272457809	0.612584183231	0.717339451751	0.614671155925	0.665845233644	0.705459642057	0.774720643679	0.600580860482	0.515182236439	0.658732886551	0.755786391839	0.676628072077	0.633256218797	0.700491422979	0.683264820271	0.611532617781	0.635614117457	0.62859109864	0.665457467816	0.597106343243	0.658676437606	0.594894076309	0.678782529494	0.593199015182	0.648874803486	0.718093623597	0.670802265277	0.673578858684	0.62491883231	0.585515803361	0.502898949267	0.515961126232	0.63119677703	0.61109389817	0.573775637999	0.705927490731	0.585035619248	0.620992388486	0.503902536921	0.664511119984	0.512433299537	0.632406640785	0.5179104203	0.585800616306	0.521622648566	0.529191860138	0.498906861158	0.632314184381	0.591755862615	0.636628893353	0.535127454115
CS.104	0.539081308626	0.51483336296	0.579704817141	0.503427256054	0.555980558672	0	0.57707501261	0.563674679688	0.551219407287	0.568444354174	0.533709218174	0.600605907614	0.534761591953	0.577189015056	0.53455355057	0.553682628371	0.535084869012	0.697732951043	0.53965278847	0.589936701484	0.568103315446	0.5955114371	0.718094342092	0.56519670559	0.659936899404	0.533479791531	0.669583758292	0.619714140606	0.524564486966	0.518860841476	0.534794219745	0.542254403395	0.619315323724	0.540166800314	0.640699516128	0.546277378539	0.533854423721	0.651198266375	0.607712261333	0.53733755415	0.690383114291	0.604793507429	0.565062115136	0.729451726192	0.653514594952	0.704303854667	0.656798362649	0.608055447628	0.623402333309	0.588491391829	0.601399267084	0.607561542662	0.619770942561	0.577282873479	0.625712606154	0.611095504164	0.685199623362	0.646039279783	0.602492942391	0.591763468241	0.540363236525	0.612392123226	0.554998900383	0.668141522262	0.534391323679	0.571635669032	0.55015509643	0.650690971457	0.545250266757	0.601863411267	0.58501774476	0.524936115163	0.547216792954	0.571425887415	0.560663173794	0.616467049102	0.559788395538	0.529480626181	0.569920155422	0.599075321305	0.531288352424	0.549793695456	0.595949578034	0.582626040898	0.576140047242	0.591781351672	0.584173157412	0.566562926587	0.543713124467	0.549655914168	0.647033262825	0.523528787625	0.534515225628	0.523258399037	0.542225308562	0.511456600884	0.592113394636	0.538232398926	0.558776782218	0.535499214573	0.536394659477	0.585713038944	0.575109997849	0.555768990376	0.518924241855	0.572933293278	0.666446858384	0.566780133751	0.615911886785	0.63331731047	0.61373171919	0.667543636592	0.499290442548	0.650852967738	0.611035628961	0.544888865241	0.591700278953	0.612800666593	0.54910047932	0.674442393708	0.574708235268	0.636822426172	0.63602198442	0.728552164422	0.534249890106	0.520785684392	0.605091491961	0.723154900087	0.628950086549	0.571482883887	0.663728113031	0.615654757827	0.57227713251	0.622977153599	0.575076773746	0.634022430258	0.61116830764	0.601408479458	0.553479008705	0.639063534905	0.589918219432	0.610444092809	0.706087460489	0.606200688848	0.600180740071	0.562418081519	0.539242227706	0.551256972999	0.558874619904	0.573425063043	0.548950426477	0.527451867293	0.699852243296	0.562909051102	0.566031329661	0.547024486173	0.635700398837	0.564652055616	0.564662769002	0.532025591414	0.567445680912	0.541180998539	0.587214978246	0.556559580248	0.575343796878	0.572793305878	0.578241396669	0.526553287032
L.001.M1	0.54659299513	0.563123977192	0.57462813063	0.598823589839	0.548863226436	0.57707501261	0	0.602450957752	0.586687550098	0.572488394957	0.638548382738	0.640615829774	0.539063614409	0.568104305113	0.552384896786	0.585410337213	0.566927311544	0.73632704827	0.562558238848	0.599300656307	0.609683838427	0.671241076914	0.751960536939	0.641572007401	0.677339953185	0.556781440363	0.735550694331	0.680005942075	0.553805430578	0.550322685036	0.58534919516	0.608106307554	0.648849286425	0.544775225116	0.692350143051	0.60560327603	0.587038440064	0.693895290837	0.60688189381	0.568072988554	0.740557986723	0.670727978769	0.639977047506	0.775295119672	0.658037549506	0.711287149179	0.691014450357	0.654817647123	0.665222855706	0.603158351577	0.657975131905	0.664871236273	0.644374323124	0.590020555672	0.67385979108	0.651190721145	0.732784993023	0.673505448084	0.644883717078	0.613699777935	0.57490373919	0.620232088176	0.614060707123	0.720234561567	0.424340355866	0.609725287824	0.614832067322	0.693764444963	0.572412157958	0.61000106368	0.534199876383	0.574882876042	0.57039264369	0.566249696634	0.578672957034	0.527090969166	0.503938976978	0.596315533731	0.542278458	0.531709743156	0.556248335172	0.58482676496	0.543707483595	0.58319603539	0.565852308743	0.58593487352	0.558596728354	0.563875584832	0.576219102747	0.586587253944	0.711752532283	0.605593563603	0.562166974944	0.52084851022	0.550884137829	0.593881515155	0.689629663299	0.621401851026	0.618992973152	0.53354295873	0.532562433426	0.634837241272	0.618568900937	0.616225301061	0.595915393342	0.571477958814	0.690322463637	0.604123164722	0.659470906115	0.698737926064	0.709926872352	0.721399142898	0.620811743212	0.678663242788	0.667278020586	0.546113713174	0.644620792205	0.713468214836	0.587010833326	0.749291649396	0.627655975878	0.646991341443	0.728170850353	0.796572635457	0.620862936475	0.56882468228	0.69013396361	0.751941519834	0.696941969939	0.601868770485	0.692730994377	0.685457018756	0.619548115303	0.665172590416	0.611083808143	0.663200343147	0.624858333167	0.665326649783	0.631978897485	0.681622414666	0.608917291121	0.663127984644	0.693526335938	0.650368906401	0.634672491922	0.632585997283	0.602948114375	0.561215806274	0.578663832347	0.630617795989	0.595403697364	0.582714582268	0.695850256277	0.593661989089	0.604014592326	0.561507829211	0.658213717343	0.531063606562	0.645560539223	0.573155563955	0.592583274391	0.589199915581	0.574499206362	0.578170085755	0.612368927687	0.605413279214	0.63109955491	0.566536613092
CS.039	0.552867151904	0.59443572781	0.594534151908	0.57250866124	0.591652414565	0.563674679688	0.602450957752	0	0.569887821662	0.568218493056	0.618580392814	0.633380890546	0.549589182713	0.579748429296	0.556321908192	0.566692406376	0.541819882134	0.680992736035	0.596691750534	0.645817335344	0.605724868538	0.612522411956	0.701334551234	0.590499063744	0.656196374132	0.612717830905	0.69957120396	0.660501459354	0.623989030104	0.550577020546	0.615131780952	0.583116799241	0.637429939829	0.567852318584	0.676308127227	0.580193697938	0.603994284766	0.631309818651	0.609054806358	0.633268673928	0.685251946767	0.627333912961	0.624627004369	0.729092615695	0.626306254851	0.669519061732	0.657567015485	0.635038691794	0.642941447647	0.574808835396	0.652399435472	0.64476316859	0.645727980622	0.640711301753	0.645972699052	0.661695952784	0.711034194348	0.653304043009	0.634320092019	0.615402173002	0.623314585366	0.647323367962	0.612912449088	0.672775032	0.625461330264	0.645283958118	0.59174376461	0.660604049639	0.613196427778	0.621502435504	0.616946656194	0.617038138456	0.616416772714	0.619226627582	0.612457778985	0.623554243175	0.575109507346	0.582474346697	0.589609138282	0.588230741831	0.61106669121	0.597444555178	0.626538286721	0.632684972627	0.604363398273	0.624988537124	0.631079012705	0.639552956088	0.618960432865	0.60081442152	0.674149947274	0.583624124907	0.520356090524	0.550904459454	0.614766859098	0.545936640922	0.623566418477	0.573118372378	0.575941439962	0.595060155023	0.587459539968	0.564788289409	0.638106994416	0.565793394042	0.574729492828	0.57758522994	0.667549124593	0.64110521829	0.633660265946	0.65718331654	0.683894851719	0.676243808404	0.560614736486	0.658159180735	0.61684360098	0.611059122742	0.618437679613	0.638558413576	0.544364133157	0.690446463757	0.584198058123	0.65601482199	0.645642395615	0.734025752339	0.580202639425	0.601728189431	0.640811572338	0.720584001545	0.652816343861	0.567234620691	0.673390833508	0.637976015107	0.619642023351	0.655317480719	0.541305870032	0.652608863894	0.643141614314	0.646281608054	0.62705440583	0.631312073376	0.638425751948	0.645905059742	0.68242520039	0.634074922305	0.629141944146	0.618084024113	0.604207909807	0.621956318647	0.629196227398	0.628742941503	0.634230644324	0.582522673955	0.697268751079	0.589025586853	0.603606677084	0.634179945916	0.651475737951	0.581321295328	0.625343315433	0.619441932983	0.597710691319	0.63801201554	0.619399996489	0.602065543265	0.609059680671	0.616116400342	0.626156113001	0.605870405054
CS.314	0.562325588762	0.574902215852	0.57996697398	0.565860756309	0.587279282205	0.551219407287	0.586687550098	0.569887821662	0	0.582146547642	0.602745903303	0.577771367866	0.567752527529	0.564850121502	0.530561292918	0.579739218312	0.555270067679	0.704836381578	0.60605424408	0.617674721063	0.590471161523	0.640545364121	0.726763522733	0.606819626625	0.625495497822	0.562455809532	0.646521783845	0.631925926667	0.555417283909	0.565996455154	0.554591531005	0.591654630023	0.693864464333	0.55514859549	0.645107078805	0.583686613651	0.595210819023	0.642032807159	0.641494597214	0.582521173452	0.662873105514	0.633718042181	0.568050308397	0.720701382528	0.626201996876	0.690361953636	0.636605459717	0.610583756793	0.626394732059	0.563237873154	0.615667082771	0.642723990589	0.640877427579	0.57454829993	0.629434785727	0.630291931837	0.682571831281	0.653356853698	0.612065678124	0.592994645394	0.538101263966	0.629648360665	0.552277410461	0.647083470803	0.594343955332	0.574504944308	0.558939343651	0.622054913531	0.528595063844	0.570259111666	0.585990593026	0.53269347459	0.545033247912	0.592843952077	0.550375441364	0.60135296956	0.51598730573	0.523864467526	0.56823281834	0.566805783813	0.559002776886	0.505579765123	0.603854764899	0.563808897768	0.601597032145	0.542255648872	0.595005376078	0.549245952908	0.533219350453	0.54801758854	0.63701818393	0.58965606987	0.57313235003	0.564638660016	0.534885265753	0.49476381967	0.621227181159	0.566283790472	0.595372024662	0.530580164831	0.571319209684	0.601096511227	0.544194161214	0.570348251698	0.563354755292	0.545470134539	0.644901729509	0.624199516162	0.604306702218	0.650665829769	0.610656970118	0.657879402214	0.554337980385	0.631236573307	0.637716530358	0.5722230696	0.579775968425	0.640185738968	0.57873818477	0.695191946995	0.587257205207	0.591112413172	0.672905124134	0.733194511814	0.574982078327	0.561517434295	0.637127556	0.695642164886	0.615336804554	0.607290822333	0.650469452507	0.611685406034	0.561835862518	0.619280095101	0.590752789092	0.62542987032	0.589791329866	0.625777316768	0.569179052098	0.620363364231	0.601557925204	0.630574308745	0.686054614076	0.644788319363	0.573905113431	0.564382038187	0.546292492734	0.564804727884	0.556066961609	0.566145110109	0.568254163581	0.54807771045	0.671648434815	0.553624439975	0.559869049636	0.574506630715	0.611101546205	0.552491121539	0.573794902691	0.541997257656	0.515459556879	0.537956304859	0.563536964973	0.546089739425	0.542189050835	0.534267276306	0.555687328656	0.537405855817
CS.257	0.55023947559	0.598153400299	0.60915748813	0.567610181279	0.594053488332	0.568444354174	0.572488394957	0.568218493056	0.582146547642	0	0.650749777915	0.586014909649	0.576877208853	0.588199672978	0.599662410074	0.611179500299	0.562692800617	0.699455891726	0.598501231434	0.670218582894	0.579687619038	0.665171785782	0.714853016104	0.603258945694	0.683740538772	0.627077482134	0.723092920652	0.683671264763	0.603991429643	0.57124372198	0.622596766941	0.635133373254	0.667032001088	0.597625536921	0.707886251963	0.609989367879	0.603010392888	0.653234439105	0.635337991789	0.62933262169	0.721614533808	0.661523354279	0.629748446717	0.724118154691	0.646542925896	0.705579161521	0.675242613766	0.660976255966	0.667803169244	0.579842546963	0.681686086323	0.66732338331	0.64679410016	0.64246961159	0.668875486062	0.675779308509	0.726438231947	0.663106942051	0.674182741062	0.646066424678	0.599861476301	0.678538105313	0.635960018216	0.69100773528	0.616076849119	0.659932144034	0.623250671635	0.68729787439	0.606126204667	0.601140928791	0.609705303003	0.590960342959	0.609147306203	0.624276922967	0.597258416682	0.612845479669	0.544018977561	0.577130831423	0.546393218991	0.544324040736	0.567803857677	0.561582738337	0.578597737206	0.608313141895	0.567382475707	0.594602908763	0.602097594177	0.58716506149	0.586908659566	0.577177159747	0.676566963988	0.582594892475	0.591589105153	0.55671655141	0.565376535847	0.548212507918	0.612052854074	0.557560840914	0.590102981281	0.564726952726	0.586367880088	0.609821576093	0.569840606645	0.545160737023	0.593047114125	0.578552144724	0.694169093874	0.647631787969	0.637185930516	0.668994103837	0.697566239163	0.707712290452	0.584709082639	0.65281321166	0.664197865024	0.611551533313	0.640870896328	0.67310070446	0.580522125459	0.711318870222	0.612099132449	0.649229131108	0.70964263899	0.753195122602	0.603479423715	0.634077495452	0.679715643257	0.735340631457	0.665737253071	0.59209289659	0.691036550117	0.667416967118	0.63594887467	0.660818300534	0.601581358496	0.673156712256	0.638374842827	0.677606143492	0.653776816168	0.659313680397	0.63594375857	0.673956583745	0.702532078021	0.641780678641	0.665049426701	0.639280992835	0.58614635618	0.608569323764	0.56157932779	0.62437299807	0.604870451913	0.587869542268	0.703687383274	0.592110893375	0.625571539587	0.608443853105	0.673465047909	0.582992167879	0.623268608588	0.572126200976	0.544640947713	0.60284395499	0.589798290906	0.57963976751	0.567655059719	0.569621646788	0.597041226958	0.56810088932
