L.022.M1	CS.280	CS.257	CS.354	L.025.M1	CS.264	CS.245	CS.039	CS.091	CS.101	CS.011	CS.094	CS.092	CS.277	CS.172	CS.063	CS.305	CS.371.1	CS.301	CS.062	CS.248	CS.368	CS.229	CS.118	CS.373	CS.127	CS.040	CS.064	CS.388	CS.065	CS.282	CS.041	CS.380	CS.203	CS.232	CS.292	CS.375	CS.236	CS.125	CS.205	CS.213	CS.376	CS.374	CS.128	CS.136	CS.256	CS.395	CS.348	CS.183	CS.372	CS.386	CS.323	CS.178	CS.182	CS.359	CS.369	CS.214	CS.181	CS.385	CS.129	T.CS.028	T.CS.023	T.CS.085	T.CS.025	T.CS.001	T.CS.019	T.CS.050	T.CS.024	T.CS.038	T.CS.062	T.CS.048	T.CS.016	T.CS.020	T.CS.071	TFS.023	T.CS.105	T.CS.106	T.CS.091	T.CS.123	T.CS.092	T.CS.147	T.CS.114	T.CS.180	T.CS.107	T.CS.144	T.CS.130	T.CS.156	T.CS.097	T.CS.117	T.CS.111	CS.006	CS.242	CS.241	CS.082	CS.110	CS.088	CS.238	CS.015	L.024.M1	CS.085	L.034.M1	CS.246	CS.356	CS.237	CS.087	CS.304	CS.165	CS.347.0	CS.274	CS.151	CS.113	CS.044	CS.311	CS.228	CS.233	CS.387	CS.325	CS.336	CS.338	CS.189	CS.321	CS.339	CS.322	CS.152	CS.331	CS.194	CS.223	CS.361	CS.318	CS.285	CS.112	CS.163	CS.320	CS.158	CS.319	CS.255	CS.262	CS.393	CS.326	CS.390	CS.370	CS.270	CS.253	CS.145	T.CS.066	T.CS.055	T.CS.036	T.CS.064	T.CS.049	T.CS.045	T.CS.031	T.CS.043	TFS.027	TFS.022	T.CS.008	T.CS.026	TFS.021	TFS.025	T.CS.061	T.CS.109	T.CS.095	T.CS.152	T.CS.157	T.CS.166	T.CS.141	T.CS.142	T.CS.158	T.CS.151
L.022.M1	0	0.517045158387	0.582425893733	0.647676056355	0.642077662064	0.616075642236	0.622308803656	0.633655580693	0.704123589374	0.539840106051	0.487393235453	0.722393982866	0.489774915473	0.573140377887	0.604300689195	0.712472753005	0.532793650509	0.66714679402	0.615647684502	0.569909327788	0.655136669639	0.570075595686	0.70792357221	0.614201820754	0.641441047765	0.614780883047	0.613833280802	0.600379333192	0.756457025076	0.672434510164	0.7154756578	0.684532123568	0.553601719171	0.604826102011	0.554591784444	0.618668667759	0.688172906775	0.71885599733	0.690580701214	0.748240360492	0.73237852854	0.700829529742	0.688577000155	0.636640207773	0.648641747406	0.67913656023	0.669852657864	0.614746956294	0.771811777655	0.676445651943	0.723148177573	0.669787203695	0.626547133371	0.63024437966	0.750431867268	0.764207737108	0.68807195703	0.664021036002	0.678645479325	0.619543992139	0.60326905077	0.786410321674	0.593113167833	0.593796644803	0.723195485653	0.65421524136	0.627120711652	0.621528541164	0.519623301276	0.555159940528	0.596804624136	0.625945667181	0.495896490959	0.590995493212	0.651549763463	0.492918884798	0.472517415988	0.491894281029	0.588365692246	0.519413519614	0.464987225491	0.497046782296	0.566242506591	0.5330614317	0.555573567022	0.524730435136	0.566540282561	0.500308343603	0.525883712118	0.579302532787	0.58024234599	0.531223978351	0.555422248917	0.529803978523	0.670212054049	0.70441150144	0.607724612957	0.615352006269	0.576603520763	0.545921341627	0.621663090153	0.543332090276	0.743302551413	0.674570898263	0.652901685036	0.721278591252	0.746909710111	0.720805981712	0.730541974562	0.629618785265	0.62496939429	0.615667992214	0.669456069792	0.644908320986	0.585064325026	0.660000621837	0.778867860706	0.641067147071	0.643338264531	0.642346473615	0.604784791153	0.695683468109	0.723771651951	0.567031284858	0.572679639356	0.787955389927	0.700547526706	0.727820601841	0.702097462813	0.752058767053	0.668725127664	0.670886936581	0.630441176336	0.672376220059	0.707659556967	0.621926287958	0.702838630589	0.707541771943	0.626651667938	0.687254258769	0.68751633618	0.687938807284	0.759619425135	0.628628794954	0.525080711999	0.60146759115	0.539305326347	0.578522780656	0.687638673699	0.632050098898	0.603459124291	0.610951910913	0.605409598308	0.520159734598	0.67118688274	0.746609601283	0.628422171633	0.65563529375	0.656316372895	0.483264886045	0.497500826336	0.566037869075	0.578961994658	0.582928573301	0.621401219994	0.63838943088	0.53967794552	0.569730373504
CS.280	0.517045158387	0	0.586600434814	0.618702241573	0.630857887731	0.609169074322	0.564970967318	0.602369784776	0.683762555855	0.511096642361	0.512198556434	0.648210785913	0.54177955393	0.554385426497	0.593808588915	0.727907026435	0.469102496969	0.610240927477	0.60979255994	0.529324207993	0.665013691033	0.511862182587	0.675135677279	0.604360377921	0.645939409486	0.596999642727	0.578393000681	0.612856101669	0.709420148344	0.631427432885	0.702110579932	0.688477680879	0.545480431433	0.547864394752	0.554528129687	0.629496186629	0.647176941288	0.719511470885	0.668315097551	0.712662869223	0.704310659898	0.686518119572	0.677191558095	0.599817325163	0.670300121084	0.661719424046	0.661849988245	0.621268593738	0.762900913484	0.655362750828	0.714025187124	0.646941198934	0.605482957557	0.610717754627	0.726781112277	0.769965886015	0.650775460045	0.643882235798	0.676175358319	0.600981538607	0.540891680661	0.764501041503	0.524497056148	0.562467064124	0.726983810849	0.669349096341	0.605885995898	0.563018648345	0.51967542425	0.502608708107	0.564006684087	0.585981043615	0.5096499244	0.53924286868	0.581982559633	0.573070808076	0.430473498779	0.432480062556	0.54110445701	0.540324218134	0.456955410724	0.527064910679	0.562161908613	0.444425316184	0.452806231356	0.463983642174	0.477693635112	0.453661668358	0.494510142361	0.480800388592	0.518542852975	0.482841361174	0.495306638857	0.561705667993	0.650237232432	0.64935691803	0.562714857254	0.562769236677	0.53338649497	0.562269529028	0.586423625843	0.509548550178	0.702067763834	0.671130442555	0.588412205483	0.713497282386	0.699328441869	0.721631983477	0.695071542771	0.634156247226	0.570420515625	0.555935866146	0.615349164241	0.637981429162	0.604880870034	0.613425400906	0.769484429833	0.630815593729	0.657955214685	0.642061164606	0.547670078654	0.683113425422	0.712436220487	0.526069377314	0.592938306462	0.75382051263	0.67526973762	0.682985179559	0.685340921362	0.755422237078	0.684947815559	0.67791615382	0.598456186404	0.666855756448	0.672617721329	0.618084880735	0.684852840419	0.688645749424	0.63799138223	0.66472178472	0.66959556546	0.672385334812	0.753098372429	0.585169449734	0.481259994081	0.511096721741	0.538112879025	0.526575327799	0.652196854494	0.585903193743	0.549014724262	0.529904197644	0.525567264275	0.468897721871	0.610284068336	0.741336787612	0.606599416376	0.580632245661	0.593417274613	0.432423887436	0.457050701988	0.518061260155	0.523524988416	0.494252711599	0.522334794575	0.542652411111	0.451949466708	0.455740873916
CS.257	0.582425893733	0.586600434814	0	0.565613593957	0.590498986318	0.589250805929	0.569948762728	0.568218493056	0.684295709462	0.601477713111	0.594053488332	0.640475933525	0.562538426763	0.60036647642	0.542166407597	0.66616105292	0.603991429643	0.628419608277	0.670218582894	0.57035699212	0.65711234594	0.608359161843	0.654570497458	0.541412465535	0.622693262785	0.63640658852	0.598501231434	0.608284368104	0.723092920652	0.658084786386	0.707886251963	0.635337991789	0.62933262169	0.603010392888	0.597625536921	0.635133373254	0.629748446717	0.667032001088	0.66597921277	0.706015462615	0.653234439105	0.661523354279	0.657079042212	0.618077797979	0.609989367879	0.668875486062	0.657689536875	0.671327606894	0.712715445918	0.66732338331	0.682017432252	0.681686086323	0.64246961159	0.646066424678	0.726438231947	0.705579161521	0.673171045756	0.674182741062	0.675779308509	0.579842546963	0.635960018216	0.738695508799	0.59970158069	0.609147306203	0.673950704309	0.601140928791	0.595372996598	0.62715810151	0.609705303003	0.564411149203	0.597686213048	0.647162384012	0.613964276703	0.625565905627	0.629564387453	0.598656047788	0.608313141895	0.588503809185	0.577177159747	0.610188826645	0.590444282793	0.544324040736	0.546393218991	0.586908659566	0.559113759298	0.567803857677	0.549519913745	0.583170384565	0.571198658598	0.566660563467	0.548212507918	0.564726952726	0.582594892475	0.586367880088	0.606347505856	0.612052854074	0.593047114125	0.590102981281	0.569840606645	0.55671655141	0.545160737023	0.565376535847	0.676566963988	0.609821576093	0.557560840914	0.694169093874	0.67310070446	0.668994103837	0.685416540411	0.647631787969	0.584709082639	0.595494186869	0.612004199906	0.580522125459	0.565461844029	0.644281824844	0.742968991298	0.641896699977	0.625493397243	0.654491300778	0.582821952672	0.65881742703	0.691036550117	0.634077495452	0.602499798736	0.735340631457	0.660818300534	0.667416967118	0.677072340007	0.70964263899	0.601581358496	0.612099132449	0.63594887467	0.59209289659	0.679715643257	0.63594375857	0.659313680397	0.641780678641	0.638374842827	0.677606143492	0.673956583745	0.673156712256	0.702532078021	0.653776816168	0.56157932779	0.58614635618	0.582992167879	0.587869542268	0.673465047909	0.625571539587	0.592110893375	0.604870451913	0.605733379461	0.608443853105	0.665049426701	0.703687383274	0.62437299807	0.623268608588	0.639280992835	0.57963976751	0.589798290906	0.56810088932	0.544640947713	0.60284395499	0.567655059719	0.597041226958	0.572126200976	0.569621646788
CS.354	0.647676056355	0.618702241573	0.565613593957	0	0.561263681429	0.615709709146	0.556954916014	0.569219363523	0.691766841462	0.614327444917	0.646162292958	0.614435371931	0.633905965098	0.58956424868	0.545298295943	0.648377448829	0.625942515871	0.563717722857	0.68446557775	0.571364179011	0.658243576409	0.622819906986	0.661203844694	0.557864494984	0.634747759411	0.627232255857	0.605505123885	0.639674768387	0.672865888139	0.655815954825	0.689055024178	0.622548580848	0.645404485702	0.607500225536	0.631419655243	0.629601118785	0.610969599277	0.683876270398	0.664188001184	0.707602223812	0.646175577875	0.638991386262	0.647077131395	0.613314520906	0.628486586621	0.662934318616	0.669736590255	0.675404411864	0.700134616835	0.659154816831	0.666030752446	0.685100290484	0.648855147057	0.653053773984	0.707350221522	0.693456193813	0.639859464406	0.649691031141	0.695961784704	0.596876547525	0.621496144405	0.717402866838	0.614526239402	0.639986605996	0.671295373338	0.600397344067	0.579399200364	0.604015249754	0.646647157417	0.583750443701	0.591588274939	0.624824765026	0.636413485007	0.642194858859	0.631693581929	0.671754112807	0.654396176849	0.638970740503	0.607409025657	0.66713869692	0.630752032106	0.590586478225	0.61270945701	0.619549362795	0.608252255044	0.611370842489	0.584471100317	0.629622893404	0.599475480224	0.577750717117	0.575246591332	0.591580368853	0.606679723849	0.633087026233	0.626442701598	0.582284708394	0.6091560555	0.576286332233	0.592529057094	0.607807980341	0.58362326001	0.60948733681	0.660598882752	0.619582184048	0.576796328844	0.690915092716	0.65602882404	0.652093994388	0.675925803598	0.642545685567	0.555846401104	0.577660675983	0.578779388131	0.58812485099	0.601406734027	0.619524052273	0.719547474116	0.626535928981	0.636900050313	0.661728545689	0.587273211817	0.630055469344	0.671459826888	0.629603395452	0.646994957412	0.717935496797	0.669646188822	0.610239976353	0.676523953637	0.697097928971	0.590492416385	0.61632334387	0.632482658515	0.59506746127	0.680775181102	0.640455450353	0.609742909627	0.618719868104	0.642005181373	0.663612534486	0.671229081184	0.649356400935	0.709386524697	0.636266092348	0.616132802115	0.581757623161	0.605859224523	0.568992445916	0.640233668481	0.609126070264	0.550190562508	0.610197420244	0.609513652465	0.646441656039	0.601977568725	0.688903440097	0.592958020235	0.623403804608	0.635342610559	0.635634150854	0.630133929382	0.622182186948	0.540771212984	0.611697497904	0.542552361799	0.5746362591	0.620005083104	0.580955888537
L.025.M1	0.642077662064	0.630857887731	0.590498986318	0.561263681429	0	0.652614882726	0.585348135805	0.623177754241	0.703186898725	0.631669455695	0.660321057576	0.642112185253	0.646523212821	0.62077060726	0.580496548554	0.67940640033	0.64333384778	0.62309730075	0.691415534301	0.616208360776	0.695352045111	0.639908668011	0.690180260331	0.597829806028	0.631436025654	0.652101946273	0.630259385218	0.650888189283	0.693684338661	0.672258697759	0.695150186062	0.688003574134	0.655892705497	0.623582855263	0.644645692565	0.679147219062	0.646116000131	0.720213638588	0.697384807972	0.710186739435	0.671816743241	0.681863656974	0.69205272226	0.671894737144	0.655755727572	0.668799671609	0.711761457097	0.69297972002	0.734640152357	0.705609808856	0.698793819603	0.707690487154	0.66875355382	0.666695501127	0.719781038641	0.737100210593	0.679750152487	0.67695916697	0.714714073853	0.635859639263	0.645108286415	0.72258693257	0.631014484687	0.634891897465	0.683364014668	0.633761573599	0.625775339381	0.620420255967	0.665136345758	0.603870750696	0.609685303278	0.641014120484	0.635407786731	0.634602134226	0.63823758873	0.679316937584	0.642600076705	0.626806671129	0.614664538646	0.684453784018	0.647900221208	0.626489276448	0.634635988535	0.633732431615	0.615954638236	0.638031155294	0.621049389617	0.643776887425	0.624697491573	0.635425395746	0.594400664893	0.629422764309	0.634535071686	0.654725032974	0.643437566054	0.598084268966	0.585018865971	0.5899486726	0.604592884367	0.61762848901	0.612216307981	0.626891917903	0.679829559443	0.621948682897	0.584576986519	0.688411052214	0.673591986701	0.667842447691	0.664082799916	0.664781753688	0.58442289338	0.596276251248	0.637836489801	0.612036627592	0.642598734953	0.640081597101	0.717327981357	0.660055939688	0.683403949078	0.678706747576	0.603705137976	0.643667116568	0.673010893123	0.653095027744	0.684429566746	0.728938312437	0.688551355923	0.6726282248	0.674277640786	0.706512672938	0.651940899633	0.64734381323	0.660943326796	0.632488352955	0.673742754725	0.668658279523	0.669138638277	0.683227713081	0.678674121872	0.686226801726	0.688216132213	0.697641793696	0.744549819097	0.658280264678	0.633030405566	0.617746738112	0.621252443448	0.603645917496	0.608670320673	0.620968333918	0.603649795341	0.610497241382	0.5985971223	0.657775800938	0.62902180647	0.709068992812	0.602031191749	0.619588871036	0.614149807387	0.639437336972	0.632312832438	0.627229420408	0.573855307504	0.635935600866	0.559124426077	0.550040281011	0.644354247083	0.601148475979
CS.264	0.616075642236	0.609169074322	0.589250805929	0.615709709146	0.652614882726	0	0.63147146618	0.603171184344	0.654088177573	0.613999183833	0.581562420745	0.673980423032	0.549589847045	0.600845648968	0.588336870537	0.626153549015	0.609554537079	0.657001447	0.634345431497	0.587490829072	0.615530533587	0.586821445828	0.658835801163	0.584908874731	0.600958347471	0.608940704629	0.58744107571	0.578320855354	0.695255081724	0.609104175043	0.669192016515	0.612992922025	0.639497792752	0.631911497406	0.563393546149	0.585213868789	0.608672978971	0.658149700027	0.639306627776	0.690864016917	0.652483074253	0.661114322536	0.629635677974	0.623081143549	0.601444024053	0.653565477402	0.623372428348	0.624918003153	0.691712788412	0.657973179573	0.656884077679	0.639175746746	0.62526603578	0.614904395897	0.690339002316	0.667365529482	0.64205610826	0.644720258728	0.647924123418	0.585149585674	0.609243292191	0.682086837924	0.612835362399	0.6094495584	0.67131338406	0.593267455279	0.606686885049	0.615666353923	0.567259817185	0.584058900601	0.598705119756	0.615435685098	0.614262843801	0.629854755068	0.638687494522	0.593909975519	0.639589062577	0.629052216798	0.622911832105	0.606039146226	0.623519730118	0.605412468191	0.565492583118	0.612277418436	0.620972130448	0.589365086672	0.601561518547	0.601865624341	0.605254934803	0.613552182491	0.597047948682	0.581431920693	0.621847566204	0.538528217006	0.596245919254	0.673656690791	0.608798791093	0.653499960071	0.633420159862	0.56106033896	0.602288386733	0.549247387017	0.669863796244	0.600892144912	0.594484787368	0.65303026297	0.671787765175	0.66542819359	0.638900218921	0.605158058178	0.620561392449	0.594924020914	0.61922113391	0.588008155692	0.563287238702	0.627239525589	0.714038827873	0.627009325324	0.59684634545	0.616115460378	0.609233170617	0.647221428036	0.659939544304	0.623435090073	0.601521614417	0.705595968146	0.64044702656	0.630037423386	0.650154912849	0.673704024173	0.594461941378	0.58006726838	0.605167774893	0.604744455635	0.661432045538	0.624652382739	0.65596240856	0.631399520823	0.603569736656	0.662644490537	0.648911645375	0.646248102024	0.665106246122	0.639848129491	0.607360602723	0.626873865745	0.584392773333	0.597731095367	0.666164322234	0.624910082569	0.623375752486	0.626236725933	0.639979953071	0.607008277997	0.670735648361	0.684436041813	0.649004210239	0.6418489215	0.645948985333	0.607248428682	0.621892961766	0.584522855386	0.603498039907	0.594698871736	0.661616810947	0.660667648686	0.574511113444	0.647974716958
CS.245	0.622308803656	0.564970967318	0.569948762728	0.556954916014	0.585348135805	0.63147146618	0	0.576027485734	0.652786318907	0.589936441907	0.615025347905	0.585986972839	0.619472054261	0.560178377404	0.552994348193	0.659040987771	0.581782027325	0.508751477418	0.626320919409	0.545397248647	0.640354737198	0.566269836539	0.616945024156	0.584907608713	0.611994945502	0.559126501085	0.592567442178	0.614152275295	0.628548047223	0.595422780466	0.661754938583	0.619370614737	0.561645893278	0.57649850057	0.600315040808	0.64035849383	0.569575557489	0.694730253024	0.628261297061	0.666950968129	0.660241379628	0.608776393383	0.626572589731	0.613068254643	0.627187731737	0.669284034588	0.669890040906	0.629379092473	0.705906323709	0.643079798851	0.684159932555	0.658953847016	0.599139243925	0.613482519275	0.70469353603	0.717791189455	0.62322866129	0.647972268561	0.665198634368	0.603021431048	0.550314556322	0.693757269295	0.55508308171	0.573156915897	0.680148994119	0.56007103222	0.554758330264	0.54112343042	0.625536286733	0.539177165967	0.539108480197	0.549055992617	0.610710962627	0.560527372907	0.557096918192	0.666947028582	0.577262965078	0.555835534511	0.546164992153	0.648951277262	0.591055075898	0.616325496626	0.619010834176	0.551495452261	0.543701260044	0.573014735452	0.535971117806	0.554693336683	0.544059090055	0.514404529712	0.535174458787	0.539199389228	0.580949777652	0.615040905601	0.621278491384	0.590422044873	0.602864250413	0.559949990857	0.563357182119	0.598282231994	0.585988980302	0.56996697783	0.629783070292	0.619858138041	0.568401831488	0.64489061106	0.617456133411	0.672623279545	0.629408966978	0.624904785337	0.524347463702	0.542245052625	0.564597489609	0.63104628485	0.628507877059	0.557819823251	0.703032399998	0.591049266449	0.646009683519	0.650846564591	0.544374522967	0.612412928372	0.662988117056	0.574859461884	0.647446540252	0.708908494907	0.622195064583	0.613337073452	0.640248024507	0.683498877727	0.60539560157	0.622187941601	0.585883783485	0.616196127561	0.641722109069	0.636039918931	0.626284132889	0.636571296825	0.619479517207	0.640068338588	0.65907355061	0.645149889173	0.727249385162	0.587532873781	0.581576272554	0.552461584437	0.608812889953	0.54141794112	0.61883814636	0.535073161706	0.52619114946	0.549394721371	0.513133717842	0.581718840683	0.533892113095	0.674017998252	0.54615210201	0.529124179642	0.560478540773	0.577621981157	0.584214780792	0.530010968929	0.514737046035	0.563456983781	0.497322240392	0.531778518221	0.559571715164	0.538640720879
CS.039	0.633655580693	0.602369784776	0.568218493056	0.569219363523	0.623177754241	0.603171184344	0.576027485734	0	0.64803690025	0.588737396619	0.591652414565	0.64632900459	0.567715154017	0.591270428499	0.559963810615	0.622889652601	0.623989030104	0.614876748479	0.645817335344	0.561135338423	0.621760096887	0.605014378352	0.631810224548	0.556281052347	0.616737788345	0.619067238292	0.596691750534	0.598959908595	0.69957120396	0.607945654695	0.676308127227	0.609054806358	0.633268673928	0.603994284766	0.567852318584	0.583116799241	0.624627004369	0.637429939829	0.664345325942	0.682372128268	0.631309818651	0.627333912961	0.629844703051	0.622162500569	0.580193697938	0.645972699052	0.637743037642	0.646849690559	0.68285612965	0.64476316859	0.669129183683	0.652399435472	0.640711301753	0.615402173002	0.711034194348	0.669519061732	0.648537695595	0.634320092019	0.661695952784	0.574808835396	0.612912449088	0.700749128224	0.605478744928	0.616416772714	0.664326038061	0.621502435504	0.586275952658	0.601643739021	0.616946656194	0.595454365861	0.599538333575	0.60537315577	0.640082143464	0.637594848791	0.644279826469	0.631194515007	0.632684972627	0.628901771148	0.60081442152	0.645449337871	0.619434788303	0.588230741831	0.589609138282	0.618960432865	0.606354424317	0.61106669121	0.606738324493	0.614160374427	0.612741954972	0.602676292965	0.545936640922	0.595060155023	0.583624124907	0.587459539968	0.580268951832	0.623566418477	0.574729492828	0.575941439962	0.638106994416	0.550904459454	0.565793394042	0.614766859098	0.674149947274	0.564788289409	0.573118372378	0.667549124593	0.638558413576	0.65718331654	0.668711634567	0.64110521829	0.560614736486	0.548793752733	0.566757634562	0.544364133157	0.569328875012	0.598227200636	0.743030026051	0.644592894646	0.613704255186	0.646600323085	0.605310753059	0.656399799504	0.673390833508	0.601728189431	0.607426195825	0.720584001545	0.655317480719	0.637976015107	0.634910507759	0.645642395615	0.541305870032	0.584198058123	0.619642023351	0.567234620691	0.640811572338	0.638425751948	0.631312073376	0.634074922305	0.643141614314	0.646281608054	0.645905059742	0.652608863894	0.68242520039	0.62705440583	0.629196227398	0.604207909807	0.581321295328	0.582522673955	0.651475737951	0.603606677084	0.589025586853	0.634230644324	0.599017938447	0.634179945916	0.629141944146	0.697268751079	0.628742941503	0.625343315433	0.618084024113	0.602065543265	0.619399996489	0.605870405054	0.597710691319	0.63801201554	0.609059680671	0.626156113001	0.619441932983	0.616116400342
CS.091	0.704123589374	0.683762555855	0.684295709462	0.691766841462	0.703186898725	0.654088177573	0.652786318907	0.64803690025	0	0.665361877771	0.654158631384	0.686450805216	0.614529808564	0.618620356369	0.645518684473	0.617468423774	0.671403533006	0.641736310701	0.607424711716	0.627223345647	0.543966456263	0.610841603338	0.595503287254	0.647089752952	0.576997448418	0.586071663144	0.663885490476	0.623769544503	0.684613027263	0.596350893336	0.602440802764	0.635168402225	0.649368997943	0.65398002027	0.615556587281	0.573454641443	0.587707166895	0.653057113892	0.599348945718	0.599934234823	0.592164775654	0.575236441227	0.590344513873	0.60204215205	0.574826880994	0.580880283901	0.608489038794	0.617058050893	0.642720142074	0.576248226142	0.633642899238	0.566864684007	0.633870978415	0.583622127646	0.6263235182	0.622624559083	0.584976202141	0.573622849655	0.562890893694	0.621799753081	0.644414537996	0.739444271274	0.652372502478	0.631260264988	0.640260650651	0.648524214703	0.665626541954	0.642576850072	0.684108035362	0.668595982287	0.649687464517	0.622458400568	0.690649883975	0.669965228225	0.648326974638	0.694311373047	0.706720582659	0.693420878667	0.619775332392	0.696225216483	0.70293662671	0.680189176551	0.679957225991	0.683781139594	0.679360183706	0.653809435101	0.666203527521	0.689740872981	0.644177794621	0.6686084521	0.636858825948	0.65986153589	0.668482059076	0.629815818598	0.60117876755	0.706770624454	0.630638573349	0.68731094086	0.691066357893	0.616654416442	0.651363871708	0.648002494769	0.653374104747	0.591414254023	0.653690740445	0.633106506911	0.628673991923	0.595287544756	0.595485877787	0.646170152743	0.646659980718	0.632935729403	0.645929316744	0.629132995827	0.641427764585	0.59683970127	0.657793190126	0.612329709453	0.615889177147	0.606934913991	0.66000290009	0.634933759015	0.61093121022	0.62545218816	0.59333009622	0.664982165957	0.575314251163	0.620209294098	0.588031831924	0.614585299153	0.622108829513	0.622130157411	0.589657111457	0.608201042985	0.56948650895	0.579821166252	0.607573052032	0.647181607244	0.584358624469	0.562146185704	0.615450615685	0.579021189982	0.644860979719	0.622386889263	0.680388415063	0.662373043497	0.65629291823	0.651786832661	0.635305462393	0.661896879901	0.65924844437	0.671588652849	0.677966531408	0.674664145966	0.660878115565	0.665394560387	0.659618910879	0.638798046486	0.650939940153	0.672990442325	0.702469643689	0.650348332491	0.675727722662	0.646999934028	0.707000162821	0.695690330518	0.657891174495	0.683121461201
CS.101	0.539840106051	0.511096642361	0.601477713111	0.614327444917	0.631669455695	0.613999183833	0.589936441907	0.588737396619	0.665361877771	0	0.533268413325	0.668528402527	0.515860188816	0.568006417662	0.566339036955	0.706988816884	0.525219854228	0.633784199479	0.637263567523	0.501805887108	0.653062268608	0.557767552143	0.68005506354	0.571904745322	0.651660386883	0.605212532625	0.538000286545	0.595435834726	0.734402889984	0.645973105237	0.73336312711	0.669028435861	0.554366974215	0.554241327428	0.543968919264	0.609327893625	0.652486169432	0.697160563556	0.714385370652	0.729099038913	0.70443874085	0.697425432545	0.691646010133	0.626433665755	0.638520945649	0.705883421278	0.660887044736	0.636670472026	0.769111583243	0.675221876152	0.727828324483	0.658331319988	0.617541395681	0.64738175218	0.739516144242	0.765897504552	0.677523127744	0.663431543493	0.686313771305	0.615304426852	0.609330398558	0.780814636091	0.574536246916	0.579999977944	0.724544863698	0.655788446554	0.624291794123	0.601990093769	0.563567531002	0.52474879919	0.57710751888	0.604828273013	0.523721527438	0.580374250629	0.637008439985	0.572375267883	0.513983792556	0.502099173465	0.580517470585	0.608626722289	0.484939984837	0.560080186945	0.577286533165	0.512431180813	0.544615102283	0.502479870376	0.543169876885	0.532939198022	0.535102510914	0.543555398085	0.528977705579	0.538138756932	0.458854116669	0.55965210266	0.659809788386	0.6281797007	0.546692162446	0.537296797237	0.543868277663	0.553630111569	0.607081981328	0.556327557825	0.70410288664	0.682788076794	0.610534496744	0.711106805602	0.707733136742	0.708392720066	0.714488799603	0.604284653386	0.527037328314	0.54257899539	0.599442175301	0.621457139933	0.567355777366	0.655782242189	0.784202620068	0.646412902946	0.663093136712	0.672481854105	0.542899674895	0.668225792545	0.729157006238	0.555537260146	0.597417270623	0.791198248232	0.689942090598	0.691674781378	0.701349152328	0.755430065029	0.650019142581	0.673432855978	0.644522495428	0.64912600768	0.703436559779	0.633709922516	0.697668412701	0.68637346069	0.677394514618	0.688034331605	0.684245976754	0.698598420203	0.754830765828	0.606790952334	0.526573181135	0.558343268478	0.57148449537	0.553124084512	0.69601401026	0.594053208213	0.555128199744	0.575798552574	0.565219140433	0.525979293123	0.645755028975	0.74361117429	0.5918024782	0.625030471804	0.636421476893	0.52129418416	0.509942576893	0.556836508526	0.569511529441	0.55709282727	0.568426080275	0.590793413964	0.531276232424	0.559198925113
