CS.108	CS.001	L.007.M1	CS.263	CS.007	CS.002	CS.086	CS.059	CS.036	CS.099	CS.098	CS.104	CS.265	CS.016	CS.091	CS.230	CS.155	CS.067	CS.373	CS.382	CS.341	CS.040	CS.118	CS.066	CS.229	CS.127	CS.269	CS.050	CS.367	CS.064	CS.224	CS.203	CS.128	CS.302	CS.125	CS.041	CS.232	CS.380	CS.126	CS.213	CS.292	CS.376	CS.236	CS.375	CS.136	CS.148	CS.386	CS.369	CS.348	CS.389	CS.385	CS.256	CS.395	CS.177	CS.129	CS.349	CS.181	CS.214	CS.182	CS.183	T.CS.003	T.CS.052	T.CS.014	T.CS.001	T.CS.042	T.CS.079	T.CS.020	T.CS.067	T.CS.004	T.CS.019	T.CS.040	T.CS.058	T.CS.007	T.CS.029	T.CS.089	T.CS.153	T.CS.102	T.CS.161	T.CS.105	T.CS.100	T.CS.129	T.CS.144	T.CS.116	T.CS.177	T.CS.111	T.CS.121	T.CS.125	T.CS.124	T.CS.118	T.CS.123	CS.103	CS.356	CS.088	L.024.M1	CS.242	CS.082	CS.237	CS.110	CS.238	CS.085	CS.246	L.034.M1	CS.087	CS.006	CS.015	CS.330	CS.363	CS.304	CS.358	CS.364	CS.345.0	CS.347.0	CS.274	CS.150	CS.346	CS.187	CS.188	CS.151	CS.325	CS.165	CS.285	CS.158	CS.361	CS.163	CS.319	CS.331	CS.112	CS.223	CS.318	CS.320	CS.343	CS.152	CS.321	CS.194	CS.227	CS.370	CS.326	CS.253	CS.145	CS.262	CS.270	CS.255	CS.393	CS.390	T.CS.045	TFS.025	T.CS.026	T.CS.064	TFS.022	TFS.021	T.CS.061	TFS.020	T.CS.031	TFS.027	T.CS.036	T.CS.066	T.CS.043	T.CS.008	T.CS.055	T.CS.095	T.CS.109	T.CS.151	T.CS.158	T.CS.157	T.CS.166	T.CS.142	T.CS.152	T.CS.141
CS.108	0	0.465074209942	0.625575862205	0.555457302569	0.611684113198	0.57079752775	0.541237118648	0.595199303995	0.590146431044	0.555138778125	0.557987502776	0.579524170728	0.547831241746	0.625565684353	0.650755205991	0.706351735433	0.605540282641	0.762057888521	0.630269879409	0.689264196917	0.735781256877	0.58087556987	0.596384153532	0.602611736653	0.676408297827	0.638352542887	0.736986950667	0.6391306895	0.751160025686	0.566606949398	0.780521028466	0.650741300102	0.636381270632	0.74413600824	0.700308803771	0.657123710078	0.563858788711	0.635784201329	0.621742091082	0.7034105504	0.601060523443	0.689459800679	0.615258462161	0.69575735881	0.61955417632	0.721245348025	0.715280205133	0.718455294008	0.590171914128	0.664662186136	0.646633553129	0.711775704714	0.647676103888	0.713517870944	0.63637519464	0.653229826896	0.652583023931	0.685027327692	0.618714243578	0.745671603289	0.625546902265	0.671556652642	0.608684167898	0.747088602104	0.598577048646	0.739437220528	0.527876846947	0.642001342918	0.699312172277	0.672978256363	0.578130185454	0.63785689231	0.724425914109	0.619353552988	0.663710589519	0.559182401816	0.609771192132	0.60376506282	0.491442465603	0.594752535039	0.610259096263	0.641650161272	0.595156398448	0.586291030412	0.646241913759	0.612273981329	0.657561506442	0.569051978146	0.64741878088	0.641619313975	0.541489440763	0.744868203239	0.707689012166	0.648391242419	0.58212073651	0.557750966523	0.638700342033	0.656434132582	0.612874635896	0.539053443715	0.597846485898	0.646801862211	0.656863651879	0.59855774507	0.629769912551	0.687311335538	0.68214514024	0.703149294509	0.794460974319	0.749798421631	0.763638086968	0.706839967616	0.73789037129	0.616056991013	0.746561603118	0.66116474601	0.741246304081	0.616620305977	0.799549498753	0.753827902935	0.722404976855	0.623309530314	0.727123513557	0.626054485675	0.689535647975	0.557349938676	0.633456291713	0.68316904869	0.696518266702	0.659010531098	0.700565052191	0.593871496403	0.621056109912	0.794081890016	0.791148019637	0.684903895609	0.643846218538	0.732181433534	0.655851877472	0.713799002089	0.693527965942	0.634953383515	0.685806889258	0.670546137065	0.666140650246	0.717202328437	0.747437092106	0.632346042665	0.597133875974	0.682027830075	0.704235520283	0.572256751006	0.644496561173	0.681137539211	0.532379150975	0.599751102397	0.66646115203	0.734897893353	0.621592454437	0.608237505542	0.601302677232	0.679283028435	0.610255465434	0.641204845789	0.634117877209	0.719891352164	0.616854368196	0.686151559378
CS.001	0.465074209942	0	0.570178932217	0.53255690364	0.565585648395	0.55053813054	0.519761148449	0.555819605995	0.602450232772	0.519626751482	0.505164789079	0.560978325139	0.484276645771	0.588493583024	0.646606278479	0.71830078916	0.544829511393	0.762299403502	0.608097441796	0.638272641644	0.693767231896	0.591254916893	0.604554584427	0.614083384647	0.671408484998	0.588435570711	0.769155219342	0.64339426343	0.763447242571	0.560523708453	0.781933689226	0.588698324667	0.603789707674	0.751380382352	0.674030764903	0.648006178704	0.508482965645	0.57414757783	0.587164375064	0.698115576217	0.578050804428	0.681829427634	0.65908129977	0.677881237474	0.60570911331	0.689363851445	0.724581191937	0.722290235907	0.563412322756	0.659374875642	0.614929477718	0.671748525938	0.623081080338	0.714100426761	0.615491669562	0.611499453045	0.618612741016	0.673709415173	0.592396185804	0.726649646696	0.578661286085	0.654490830514	0.557815638604	0.713244237117	0.51849851004	0.726713761105	0.520004644174	0.612729679255	0.643634213703	0.650204548307	0.553873365995	0.595914937406	0.690624951735	0.611009730002	0.622151965021	0.484012692729	0.580900707924	0.524641582826	0.481755825419	0.552967668655	0.511859953556	0.555877672182	0.577572158497	0.514926683767	0.603022492955	0.559535203479	0.605395531839	0.503539389608	0.589962733884	0.60137613344	0.541435139775	0.744975457408	0.708901731401	0.625865526517	0.524988322665	0.511853520974	0.626996643004	0.631644661562	0.590820253969	0.500663375622	0.532325036934	0.579029659441	0.633441404658	0.546823038876	0.604748749103	0.658528220419	0.672938576484	0.699237016702	0.789417885675	0.727202580642	0.766624597848	0.699114678686	0.718999181385	0.580762111328	0.766615257341	0.636260981797	0.717621422212	0.592203676473	0.781197737009	0.737094375827	0.719799406415	0.622501419917	0.716023683297	0.641367432177	0.664529306699	0.512947997101	0.631944433135	0.666783206586	0.656358238529	0.617347793422	0.680549309794	0.527316994945	0.598445293983	0.783076124428	0.796606999685	0.645448800794	0.625906094122	0.739141813304	0.61555273439	0.688906979566	0.666546232366	0.585500288331	0.670982744894	0.645624008961	0.642078099773	0.66109902598	0.753683072977	0.593839307725	0.521624234362	0.641163077382	0.666240023652	0.511883602289	0.608618462787	0.625574870913	0.54570337512	0.541796077957	0.620593353502	0.691342967162	0.577531245963	0.540938154935	0.508698060087	0.602890441718	0.527751086407	0.618130160211	0.55676545111	0.673635543699	0.582849508655	0.655033665118
L.007.M1	0.625575862205	0.570178932217	0	0.568990543918	0.518233487227	0.658778819324	0.54387848005	0.553333326663	0.70432541844	0.531782600374	0.523251775323	0.5835314258	0.539931091215	0.615694489319	0.689184459344	0.738225195942	0.56640158175	0.777521628031	0.626747751441	0.528955270554	0.67003040676	0.605233437669	0.629183566315	0.587060818022	0.689765813651	0.591456349328	0.765914536482	0.686957715379	0.763819935828	0.642685754562	0.765149821763	0.553595181158	0.607480373744	0.7339052004	0.681689476281	0.706629850308	0.581787033122	0.53259396906	0.526303007971	0.707530274403	0.647782059548	0.6925308795	0.758395818396	0.640909509367	0.676522108846	0.709334201393	0.728517309175	0.78246085794	0.637548797705	0.68475543604	0.684471268565	0.682134682509	0.684878234455	0.702814232151	0.616119744053	0.668661341423	0.649374391457	0.657750584023	0.619972490419	0.772432776294	0.427024412832	0.678078363983	0.576151208177	0.72753227381	0.477238194494	0.696967014048	0.494311948345	0.49992632092	0.547010053878	0.646586412459	0.480424948199	0.554135572962	0.635085590297	0.663707363429	0.585884190251	0.500322070055	0.469960961659	0.539156957152	0.60933041298	0.533144364835	0.508472259668	0.444914276349	0.599611072468	0.502197948496	0.461941409851	0.553833028972	0.497801457602	0.511495625364	0.548061451488	0.510998898749	0.576364508964	0.690196023402	0.641132511823	0.463497652414	0.496725621972	0.583642372233	0.694311366777	0.678061650087	0.565187797145	0.560527903129	0.543864862551	0.590125228343	0.580752783646	0.504436781698	0.532166439893	0.649440236481	0.684061188744	0.734611165716	0.777392665646	0.756816894385	0.796863385776	0.70510473015	0.665020353831	0.610255332332	0.766329629393	0.664315306757	0.647282400229	0.629806600709	0.75426155296	0.704238310215	0.757073694419	0.682244511081	0.696739924732	0.701288125035	0.678991685373	0.607843863865	0.684262007527	0.675526342108	0.676116413309	0.603410016351	0.669367217441	0.539361331	0.531140969403	0.755519639716	0.796834452538	0.682225190734	0.632739344755	0.760020822351	0.584283872612	0.664676253032	0.678532079543	0.632083792289	0.716182195783	0.683621648345	0.54344389198	0.545729594426	0.725886382178	0.493493868934	0.467141923938	0.558585697416	0.571983377287	0.444375160249	0.529202791136	0.483049011517	0.554065883977	0.457678339545	0.499992378041	0.573898279435	0.507962536436	0.418192586608	0.428106593784	0.411694547742	0.476293811267	0.489198228167	0.489240625651	0.456168119419	0.503498008019	0.448949725444
CS.263	0.555457302569	0.53255690364	0.568990543918	0	0.554695400827	0.58079880661	0.526467361417	0.54313196161	0.620185571623	0.549945401643	0.542417997516	0.528159399582	0.530998669759	0.567937792348	0.641499242635	0.680901855251	0.573416987519	0.728381128798	0.588951297301	0.551374799732	0.634047646696	0.576054384557	0.553849041825	0.566190226646	0.622685828735	0.535904474989	0.727925414965	0.61871726562	0.70746587848	0.552981706494	0.745907321067	0.534186019973	0.560078467947	0.723217358117	0.624679585992	0.638526783832	0.53444520069	0.539378136231	0.530279031551	0.634916072077	0.571918975596	0.653532894964	0.661609748401	0.563438372903	0.587872987424	0.647899627516	0.665053400095	0.693797283305	0.579211069991	0.605329786387	0.581643135433	0.622929417514	0.583308627615	0.639510163049	0.554901123592	0.574479033504	0.61236598997	0.624815535798	0.548849445004	0.712057698756	0.560158497311	0.605848477555	0.569684722358	0.665347374457	0.513397208398	0.64932157468	0.579569673065	0.546972027316	0.576899497489	0.58632423751	0.523436638703	0.530386517902	0.65619077351	0.570919176313	0.553725405443	0.533772515992	0.552693666709	0.540978110861	0.570158929978	0.544328725678	0.551381089474	0.556883017543	0.538898899069	0.519219404204	0.538875411298	0.560513330779	0.56929019459	0.483382022087	0.558736657926	0.530063333643	0.570784311415	0.679117835791	0.663433965198	0.590861500009	0.524890418462	0.539140293051	0.623216623456	0.605374016173	0.579701607617	0.523452687868	0.512998696615	0.546898501082	0.614816036449	0.555035243964	0.580082364515	0.598651782646	0.620434727864	0.680838620979	0.73077173285	0.67605852213	0.733505878275	0.669689112449	0.640477043109	0.550050123658	0.736962778045	0.594499751396	0.625447293993	0.591073114	0.71988434323	0.68256382606	0.697282324646	0.612310472077	0.634841241141	0.610317596455	0.638293002259	0.509056100179	0.604096785498	0.621019938635	0.625392460006	0.576736133525	0.637574725734	0.510320842134	0.528943116897	0.721097837624	0.763965225573	0.606517570476	0.581479751561	0.687923214281	0.546909005143	0.631484985706	0.622249048993	0.574525203523	0.62116460753	0.619951598571	0.569955631176	0.593546191651	0.701948063203	0.525840124885	0.539782253126	0.584623370277	0.588483398427	0.535101807945	0.564983425303	0.578833903253	0.553996460002	0.545091503768	0.574286272534	0.618058929726	0.5458606773	0.550898959135	0.534347890262	0.553210728264	0.515342286232	0.572762397201	0.545947886692	0.61782140189	0.539317771843	0.591180228974
CS.007	0.611684113198	0.565585648395	0.518233487227	0.554695400827	0	0.553970541251	0.565554732811	0.525367386408	0.622686706365	0.553947999417	0.525836985769	0.514433382802	0.592688681391	0.558161079062	0.632730985083	0.702483449855	0.571356670362	0.724835176201	0.592242045842	0.507789788995	0.644180689045	0.541861068312	0.582568487988	0.580093075487	0.608974661385	0.513819496994	0.750441071711	0.676748196493	0.741899009227	0.584774580926	0.741322953341	0.505717753422	0.55587296215	0.721672300385	0.625691803084	0.648220091819	0.542848365897	0.514745281083	0.501016001939	0.65136526046	0.571505744732	0.640608598568	0.695452690664	0.588339421429	0.60652465219	0.672312285008	0.680693140355	0.727971421239	0.604309544858	0.616439585113	0.636710964559	0.623020847051	0.629420350086	0.653545177325	0.605629544268	0.617114720103	0.616703352446	0.604911810605	0.573350389788	0.728862346169	0.501122041374	0.644135499592	0.598189149192	0.711572219453	0.523793381118	0.678108059347	0.568047318813	0.535036116213	0.547734694665	0.613700208564	0.523965108344	0.533613114217	0.651672299298	0.612977529903	0.580940685808	0.568093343497	0.518897646419	0.593064078842	0.634395334431	0.590728622958	0.549124707696	0.526810003757	0.580124074895	0.525188636511	0.491316263072	0.535496348145	0.53424419874	0.55307109381	0.559341243751	0.506647851871	0.568888894381	0.69781230106	0.655171746864	0.551785743977	0.524773465153	0.577314292953	0.637114946742	0.638289162782	0.513028745123	0.574315222843	0.519934664006	0.577121229512	0.607073102699	0.529429559267	0.563218278814	0.632176840549	0.626560021876	0.694594623546	0.750225351122	0.714629570505	0.763282072617	0.684616450047	0.645075709096	0.582973035218	0.746139380358	0.599024650938	0.624955816467	0.591957238121	0.756428420335	0.667780908135	0.708227083503	0.643007438184	0.643073301446	0.650674663718	0.638477794599	0.561050387833	0.639670000518	0.620231805536	0.638356846166	0.563914795289	0.635200399663	0.518820171209	0.51596391915	0.723213718306	0.7680653925	0.624850082562	0.628710488623	0.748459047354	0.532828653831	0.639897190363	0.636336881561	0.60910202022	0.665015575722	0.611215817885	0.566168931349	0.553650773511	0.724973671837	0.500098085443	0.509995842719	0.557862880099	0.54883920245	0.513313530423	0.526599032163	0.515248724403	0.591500324277	0.508808691294	0.549707025935	0.571738839604	0.538931397269	0.537464600821	0.506477729019	0.505378809821	0.508980346719	0.561155426072	0.499328627579	0.57166113499	0.516844761327	0.55485441433
CS.002	0.57079752775	0.55053813054	0.658778819324	0.58079880661	0.553970541251	0	0.559608822611	0.594740617804	0.557807763627	0.569328240125	0.59861049476	0.541882534634	0.610836090297	0.5987513597	0.637564801209	0.656115478134	0.616999018768	0.67675287401	0.595352458849	0.637497106972	0.649279717884	0.566943411252	0.524238958013	0.564799592979	0.615364798466	0.59159840858	0.717865894023	0.597087623626	0.71073820709	0.552006438352	0.727870456301	0.621352394916	0.587967992893	0.722092693838	0.645011148731	0.550624870786	0.528161440537	0.622422281919	0.597019873426	0.623215631076	0.537537188135	0.638443965427	0.601158777781	0.641772848935	0.540183713306	0.595539913685	0.663280897818	0.657017674837	0.603822274213	0.631228587903	0.628321441104	0.612335028066	0.576960609249	0.667717057486	0.581788581239	0.608468339246	0.599912939757	0.638666607789	0.589028554386	0.653436634021	0.638763973178	0.627228926927	0.606779171753	0.681276500759	0.613671283803	0.679943188747	0.621256575783	0.635134341552	0.642587198681	0.611653820956	0.597865555944	0.602390092737	0.677351227823	0.549027221158	0.619423751403	0.586310280205	0.662828552392	0.58315967679	0.599859870905	0.611670269871	0.638368994648	0.60963653995	0.545390587819	0.625512328911	0.643669113885	0.613466973969	0.629700166789	0.589786042478	0.611666371902	0.623051793076	0.532246825488	0.712012447067	0.673119645485	0.669808094136	0.595850220489	0.549525353994	0.549684550355	0.566082384732	0.579576238892	0.504923497184	0.570775162882	0.602510728987	0.623138484401	0.581377398972	0.622822976329	0.626391727431	0.616171881255	0.673072076132	0.732752362375	0.688858959917	0.706163037888	0.647992317241	0.668129080969	0.561293239314	0.695866434256	0.618594991981	0.68702717386	0.593992530081	0.747644318769	0.693867931186	0.666838711827	0.542323342106	0.657582279953	0.581083598544	0.633312030066	0.548922731315	0.53746100743	0.617857735285	0.630935443127	0.592041344858	0.656114242067	0.589188837521	0.616173501572	0.722115966978	0.74497165279	0.605682861714	0.637427156468	0.694409050447	0.625993811116	0.661815994858	0.624162794255	0.604550083115	0.611944070507	0.598180692888	0.637087048222	0.665823532979	0.71669450696	0.611312029274	0.629540583368	0.65580091013	0.619514177583	0.632694537478	0.609607400625	0.641819424945	0.564393601562	0.639701328873	0.61607241442	0.66965463631	0.604686385495	0.632551417734	0.623842209927	0.646214848989	0.640995276117	0.636414773522	0.61991504957	0.678370926429	0.619531234336	0.653264828193
CS.086	0.541237118648	0.519761148449	0.54387848005	0.526467361417	0.565554732811	0.559608822611	0	0.55592188472	0.617462997826	0.5037760738	0.518918738975	0.540708192593	0.521007034313	0.568462675375	0.670424817223	0.703960563452	0.591911736805	0.746059356208	0.610885221027	0.60471384279	0.709288182167	0.565415832432	0.534133564501	0.548584445706	0.665640746658	0.606493015986	0.733490847521	0.621348171969	0.734893710168	0.555579833929	0.76369204768	0.569358819858	0.612451370461	0.745879994627	0.666894454359	0.638026144543	0.526232234492	0.576354573881	0.583906224696	0.69236314118	0.594976128901	0.679198388644	0.664294053687	0.63865644663	0.604184764086	0.690338994949	0.730554647815	0.730577168744	0.621399171679	0.6655109071	0.667501983125	0.692097305275	0.656357623891	0.709435207391	0.602492048767	0.653002263742	0.660836880239	0.674023396434	0.631877999222	0.740566528964	0.553704177418	0.669269022317	0.58903128114	0.730996730791	0.528589366518	0.707397651839	0.533946898865	0.589451986074	0.635900417178	0.634433955548	0.537154642688	0.57981080591	0.687340966907	0.610828705601	0.623562156012	0.483810209804	0.569149648356	0.530331429501	0.556881417406	0.52694072091	0.556921676298	0.551842536371	0.558415628946	0.531417877406	0.578461802223	0.552765359392	0.603600699053	0.484721348254	0.621315576324	0.581295124714	0.520446429077	0.711377032904	0.646213648655	0.573220780729	0.539134219059	0.483290250924	0.623706958118	0.617203091783	0.572556593248	0.489791946056	0.519898802274	0.572085873259	0.567876851718	0.529431370815	0.564733421101	0.657448286406	0.677143865029	0.699839150941	0.769407875436	0.719571552886	0.734467004582	0.686278605304	0.705612390896	0.578658340174	0.725086208267	0.657283617294	0.686539649654	0.60331611947	0.766271951252	0.697527304994	0.711984027569	0.60062166618	0.676947330242	0.5996781099	0.682462913877	0.587018608368	0.605052331695	0.651892330973	0.677399204642	0.633973373733	0.684538497174	0.575042418937	0.560804661621	0.764665159578	0.775913785442	0.663156341318	0.642829565642	0.726306519486	0.628057286863	0.703989776217	0.691304814317	0.638272801601	0.659364944149	0.678920161742	0.610269273693	0.629187248806	0.746232928835	0.565368842618	0.55020283177	0.611824007189	0.630447143777	0.552207002545	0.595619608403	0.584644193861	0.546538874948	0.521606673915	0.602504400328	0.658558078573	0.58711156902	0.529573825749	0.523729294557	0.550317297442	0.532388376154	0.567767203265	0.58087018534	0.622822193251	0.562682323666	0.601263513517
CS.059	0.595199303995	0.555819605995	0.553333326663	0.54313196161	0.525367386408	0.594740617804	0.55592188472	0	0.594602844699	0.574159539221	0.490342875384	0.545474243004	0.569639553252	0.579921858096	0.653354661052	0.697807211391	0.524323214375	0.728556628976	0.579125156365	0.565755426515	0.640154957713	0.572710749695	0.591630002114	0.599574110825	0.619303040352	0.533835959187	0.761993646321	0.656434897397	0.727959223474	0.555093167452	0.762361002302	0.561697409661	0.572651544857	0.703566971259	0.644097621319	0.602267845615	0.5284020539	0.529057161288	0.512427333946	0.665160990297	0.564795347437	0.643968645144	0.673941669486	0.603599606579	0.594918465402	0.665822154865	0.692267726204	0.711289355814	0.594023631552	0.619871269081	0.622994555675	0.636536019337	0.609119911478	0.661872707331	0.599875445983	0.608603159493	0.627266434298	0.630209420931	0.551525284306	0.727110530148	0.514447604439	0.596117909297	0.552925232227	0.676118729573	0.539925469788	0.661618648336	0.550950853073	0.53605748402	0.571545785858	0.600912973257	0.519601794073	0.574212321848	0.631447936856	0.601743484174	0.572927104224	0.555089369186	0.572400168074	0.565933726563	0.584038316863	0.569877932637	0.535159567403	0.54103576111	0.611718695343	0.544271221159	0.54517194413	0.550630998687	0.558319141555	0.54236192951	0.538998001108	0.552052396754	0.566943748936	0.696759417007	0.654375962989	0.603961831598	0.521450460472	0.550280737438	0.629059462031	0.626909409802	0.567384857861	0.530002999271	0.561438881177	0.58261036584	0.635012887685	0.569877140586	0.602466937235	0.624097462689	0.637048550173	0.68955169553	0.749532196714	0.712933421961	0.741559593275	0.662961102686	0.660898145443	0.586119900932	0.748944951663	0.612065499484	0.636560623721	0.578872129676	0.733990716923	0.677903944048	0.701856700113	0.628278934588	0.653906274611	0.64788148547	0.655489489214	0.556242656377	0.611985549693	0.633919255061	0.639796679328	0.577422316515	0.656033203139	0.51168339587	0.572118138828	0.740649872937	0.776279207402	0.629577172251	0.633073825766	0.729270093909	0.569725976281	0.639948942412	0.63662039723	0.601398546993	0.654172991431	0.639936114628	0.554453875112	0.576166613791	0.691061615333	0.528335765543	0.512940270048	0.568506711395	0.58440323999	0.507874047581	0.526842567857	0.529047311878	0.557046336626	0.543034730956	0.567050171211	0.58162999008	0.576174634048	0.54658154376	0.538357512789	0.562676589795	0.514870300375	0.583598930259	0.541873259673	0.593705313432	0.50965036615	0.59043684735
CS.036	0.590146431044	0.602450232772	0.70432541844	0.620185571623	0.622686706365	0.557807763627	0.617462997826	0.594602844699	0	0.649104034163	0.648872522029	0.55351726902	0.655438529118	0.590183516652	0.626432443262	0.603136682757	0.560185270864	0.672571022539	0.567549496896	0.623527092502	0.653303913292	0.60661292529	0.594086646679	0.64380475882	0.573511077607	0.568917434726	0.665183896578	0.6519256674	0.685699229652	0.557097230259	0.717081899592	0.630659168994	0.594675481344	0.677441127908	0.62248574505	0.590323642064	0.567272697514	0.610765517917	0.615997640292	0.629041691519	0.600642178721	0.583726390107	0.579883838562	0.625844939116	0.555641603617	0.6631213016	0.678998141673	0.647724530175	0.581267772383	0.608936787157	0.605790525044	0.636268631109	0.630366422775	0.684114111759	0.627636566035	0.590221591554	0.621404491151	0.628077908846	0.581110895801	0.653034880008	0.662864229472	0.563254979349	0.580684268994	0.671340821595	0.628722886046	0.645352258329	0.665226124648	0.646937715575	0.656541957515	0.646712472605	0.642119228302	0.627022717538	0.652520722642	0.574106599547	0.610963442677	0.643363299974	0.697823268041	0.64053357478	0.642799107906	0.648572753981	0.663843271489	0.664575226731	0.607884893472	0.665204332455	0.670234712693	0.617149090736	0.658396088145	0.630734844914	0.594276713794	0.639736836933	0.582193426356	0.695331297418	0.669745394007	0.713385385953	0.637470912249	0.596091529265	0.573358657682	0.634454888321	0.609480027921	0.581816478735	0.619450855883	0.61255142394	0.631054653072	0.622482868931	0.668884667354	0.621095919804	0.603336744759	0.666037087645	0.712301260024	0.635958955968	0.665335953643	0.649397574855	0.668100162161	0.61643011106	0.634642317576	0.60891199261	0.684112354351	0.59430364472	0.727904524869	0.677912133187	0.610378542394	0.561005041347	0.647365406761	0.567966190336	0.592265113754	0.587026015838	0.585643942317	0.61752254483	0.611130152835	0.613997840334	0.630101394628	0.582662123707	0.618655668603	0.740961742896	0.714978669488	0.592973934784	0.652154925794	0.699344574367	0.631335747195	0.673391743271	0.655004360139	0.606425432986	0.633933990882	0.618307513568	0.642682477489	0.642104640632	0.707653452771	0.633179844685	0.65455553436	0.668720093608	0.61462897813	0.653322580208	0.651183142323	0.643174653512	0.61504651329	0.661149588099	0.63431045364	0.675627947096	0.632258745453	0.691921512268	0.670376133348	0.695597517924	0.641516226962	0.685806212831	0.63503686472	0.70289911201	0.629438665578	0.713249726807
CS.099	0.555138778125	0.519626751482	0.531782600374	0.549945401643	0.553947999417	0.569328240125	0.5037760738	0.574159539221	0.649104034163	0	0.542180684228	0.539081308626	0.557459912725	0.547919629617	0.6791670895	0.72285554362	0.642540094211	0.744719348914	0.626402449544	0.632414166654	0.725678886531	0.574959027329	0.557051273176	0.545412544987	0.674034471962	0.628229145906	0.762310358085	0.613412008743	0.739700494553	0.594789663883	0.77702877056	0.587319217154	0.640879887104	0.759870738748	0.71067518382	0.666792671398	0.551244960605	0.604077217103	0.615095492067	0.701791088695	0.615669406604	0.697131763154	0.687734524285	0.659370161235	0.629563827483	0.712573461842	0.727121189185	0.744142086301	0.668074837711	0.689425005634	0.680232585306	0.697967297007	0.663010394213	0.708954902525	0.606380860117	0.669834755977	0.674331396128	0.670786719856	0.644927917677	0.752511289894	0.551220237224	0.691985001744	0.599958710461	0.721561161894	0.550162018676	0.720857157351	0.538954912888	0.581486578944	0.62909641687	0.645673727291	0.514472845165	0.593205283506	0.6856462262	0.602229690301	0.60620029557	0.509163023967	0.530423016261	0.546169662556	0.556224910453	0.568368262915	0.577129125537	0.540748606318	0.564140647181	0.552177679039	0.550447539445	0.59895268797	0.594489444051	0.510858600369	0.620970238016	0.572905845448	0.532886639847	0.688389134099	0.636526086958	0.541158440459	0.532982363623	0.525681857172	0.634547939294	0.62874310945	0.530728841462	0.520498178305	0.545136209198	0.592572033165	0.54983239349	0.485995529663	0.550085019733	0.676266822413	0.692489653448	0.692967647276	0.787111361294	0.733997994253	0.763702891748	0.689907488913	0.716181561962	0.59086484377	0.752890571725	0.673322364039	0.700609460755	0.643868110951	0.773264078584	0.695175190733	0.7403327616	0.62378272271	0.685491673436	0.630265968756	0.702927668087	0.601709516069	0.622548505134	0.698821845766	0.696716269582	0.65203450018	0.695858867759	0.589701622218	0.559301543709	0.771440425484	0.786873418888	0.687139933277	0.646430881411	0.726911899571	0.644252844018	0.702030078971	0.70247758175	0.64406335018	0.69532163593	0.694346355318	0.603512051571	0.635440095435	0.731142326403	0.55387672997	0.534375669926	0.596478776344	0.636061907871	0.539003298739	0.575748137173	0.568524919889	0.544506234598	0.522838897998	0.595394338363	0.658941824956	0.556356185403	0.524555143634	0.511840399758	0.555895533752	0.547772665504	0.541076276267	0.558505261911	0.589888248758	0.562759430358	0.582165186773
