CS.293	CS.043	CS.281	L.005.M1	CS.035	CS.260	CS.104	CS.084	CS.101	CS.314	CS.199	CS.313	CS.028	L.011.M1	CS.059	CS.367	CS.115	CS.060	CS.301	CS.149	CS.073	CS.305	CS.360	CS.341	CS.072	CS.366	CS.382	CS.137	CS.229	CS.122	CS.378	CS.292	CS.236	CS.282	CS.041	CS.224	CS.136	CS.126	CS.125	CS.205	CS.374	CS.375	CS.203	CS.213	CS.380	CS.268	CS.395	CS.389	CS.369	CS.166	CS.214	CS.129	CS.323	CS.256	CS.386	CS.181	CS.177	CS.348	CS.148	CS.183	T.CS.040	T.CS.007	T.CS.046	T.CS.014	T.CS.057	T.CS.067	T.CS.028	TFS.024	T.CS.052	T.CS.079	T.CS.059	T.CS.056	T.CS.082	T.CS.071	T.CS.050	T.CS.156	T.CS.177	T.CS.123	T.CS.091	T.CS.128	T.CS.130	T.CS.125	T.CS.110	T.CS.119	T.CS.180	T.CS.124	T.CS.104	T.CS.126	T.CS.100	T.CS.144	CS.082	CS.103	L.024.M1	CS.241	CS.088	CS.242	L.034.M1	CS.015	CS.110	CS.087	CS.237	CS.356	CS.085	CS.246	CS.006	CS.346	CS.325	CS.347.0	CS.233	CS.150	CS.345.0	CS.330	CS.113	CS.187	CS.363	CS.044	CS.311	CS.387	CS.338	CS.189	CS.322	CS.321	CS.080	CS.158	CS.331	CS.343	CS.227	CS.361	CS.223	CS.112	CS.163	CS.285	CS.152	CS.194	CS.202	CS.390	CS.255	CS.393	CS.370	CS.145	CS.253	CS.326	CS.262	CS.270	T.CS.064	T.CS.055	T.CS.045	TFS.021	T.CS.036	T.CS.008	T.CS.049	T.CS.026	T.CS.061	TFS.025	TFS.027	T.CS.066	TFS.022	T.CS.031	T.CS.043	T.CS.157	T.CS.158	T.CS.109	T.CS.151	T.CS.095	T.CS.166	T.CS.152	T.CS.141	T.CS.142
CS.293	0	0.623549284999	0.507364859531	0.410021556574	0.556922058501	0.662337503622	0.576399720119	0.585085784702	0.48226458782	0.555530266689	0.648244465784	0.473214671798	0.555918140322	0.558801168268	0.544753824367	0.768269028247	0.705742387005	0.635161296503	0.617652008577	0.682386357487	0.678266409263	0.481188581489	0.653550088163	0.674450800457	0.494985053473	0.748945406808	0.537364553486	0.543215254438	0.697028145609	0.519373221979	0.712689115433	0.627946491226	0.733108551949	0.704621458648	0.694388759264	0.774371641856	0.671477744636	0.5382606355	0.681994156767	0.721169646766	0.695408294733	0.64506101373	0.536220793655	0.682701162999	0.51053235831	0.718009291363	0.676662297419	0.68093108186	0.773653437685	0.711846386881	0.65950388959	0.613538956846	0.668791677287	0.682515451505	0.714322769915	0.658846560033	0.694041559128	0.645094389327	0.716553519456	0.766702101871	0.469524810678	0.655709115544	0.646799708741	0.568288026932	0.719086059729	0.521251828496	0.558902235987	0.567806528214	0.677201611514	0.701993045307	0.640906603151	0.62511677695	0.536296623337	0.526541751853	0.607535153158	0.472861586287	0.485462312115	0.540431489047	0.411057622755	0.56454439131	0.467599587981	0.524528805671	0.49476642773	0.54751867422	0.580581962476	0.499463747236	0.458837986001	0.494650094058	0.516735555817	0.439186465754	0.570127835084	0.567237725224	0.488195425846	0.466193310336	0.641063429269	0.48552798716	0.588344226986	0.536482557155	0.661989743393	0.588893865377	0.687009858282	0.696940396582	0.563622011286	0.522016975001	0.525329367548	0.786021645266	0.777941112964	0.726374004767	0.598085439828	0.60219896181	0.80655081942	0.659589333104	0.539670811942	0.661800686005	0.69007642778	0.565924154053	0.6140377341	0.618695337657	0.657775802972	0.646468632613	0.709547266041	0.528662795734	0.639004085708	0.684272220861	0.610690833941	0.674675160202	0.802917629954	0.692075752889	0.685349363366	0.680373245017	0.686493231134	0.767773806732	0.552954748308	0.763019583743	0.65794602502	0.685388218859	0.644095674209	0.702300227615	0.67614614559	0.593834019239	0.761344609712	0.647667700023	0.683205465107	0.678635297557	0.511791740471	0.515355401241	0.544954784694	0.57076112967	0.545003037855	0.593553292295	0.653839013123	0.725929768672	0.583528621142	0.572500652674	0.514291197089	0.470982575536	0.455203062448	0.525371900455	0.494816615392	0.510646188628	0.480008803387	0.447455437376	0.439225279013	0.423653917491	0.486749807545	0.488875936542	0.480464737086	0.481176609709
CS.043	0.623549284999	0	0.557546513514	0.629870232711	0.5655681638	0.580830316748	0.561468030658	0.546951698055	0.609131004942	0.611265549704	0.576119881481	0.592944135784	0.53611181315	0.579793984934	0.544114963746	0.65505930952	0.608912270014	0.590998715603	0.573959620421	0.572355840728	0.605621307005	0.612654580765	0.58693200314	0.615816205581	0.555901496779	0.654094619178	0.587752085569	0.561287267275	0.569501442807	0.570389455199	0.626122699477	0.552590362402	0.642120672698	0.625010414174	0.559246824153	0.694162157051	0.562038652241	0.553991775959	0.604635058214	0.649485133895	0.603671577464	0.587734119702	0.611064425005	0.603663016392	0.59134288251	0.626815783534	0.612603303249	0.578189369999	0.658978590085	0.631565860364	0.62476684859	0.602135172901	0.591796760315	0.605057286058	0.650597784411	0.59168055629	0.638559454043	0.585425689758	0.653008086257	0.658377859417	0.580428552707	0.626815039104	0.595787953081	0.5720542809	0.637360444996	0.600436685422	0.584960443245	0.573382272715	0.595309225451	0.629969221529	0.619894286985	0.651874992149	0.610584723079	0.598133738627	0.594632836576	0.615160651673	0.62731694034	0.59824128601	0.636461613122	0.590690619113	0.611095766163	0.584799333879	0.592086913977	0.626573457121	0.616922901757	0.599747883347	0.616859898791	0.587485521818	0.626171456034	0.619528959618	0.571463990298	0.570706705656	0.646459529642	0.583010870301	0.657552193074	0.575153632072	0.609356429925	0.639762375211	0.577697913374	0.588181704496	0.57269112897	0.650736051783	0.540865711716	0.597258282812	0.569168860646	0.665953909231	0.705079474977	0.603168007813	0.59424424025	0.574796807535	0.673581636619	0.59769282638	0.596587690922	0.591077285573	0.595271920333	0.557594425692	0.581177460484	0.559223770417	0.600352779281	0.629293023127	0.628754092822	0.594701358637	0.556067348453	0.555322425442	0.567850340657	0.606149692087	0.704694747844	0.633047943855	0.593016433656	0.551782763877	0.613051422215	0.638458277806	0.57754829322	0.692429932445	0.620847538098	0.601966878273	0.592823870579	0.637528772504	0.607504513893	0.611842338457	0.663216338285	0.597035273823	0.622845785126	0.614362678631	0.58384085919	0.619318423443	0.597915197669	0.612920201705	0.600913958647	0.589734450392	0.628069358924	0.674215400342	0.595770410951	0.602013083405	0.596087468686	0.615884723359	0.61609238441	0.580287403252	0.607461266268	0.612564393844	0.601180818808	0.618768856705	0.634238589604	0.636071988256	0.585065070102	0.584288706793	0.647417765842	0.647607188724
CS.281	0.507364859531	0.557546513514	0	0.515456386841	0.512409623674	0.588229726632	0.52881589736	0.547304888674	0.543710711558	0.536367369536	0.60009882334	0.486374829089	0.531511239197	0.529228227708	0.510189900255	0.716466080748	0.640850639453	0.580039763391	0.56001833347	0.585697435989	0.63425455926	0.486001789071	0.590994533835	0.636784903787	0.484813868062	0.708985062764	0.529315824188	0.503582097277	0.61559979763	0.530063953425	0.647887617619	0.559597073809	0.674562239773	0.635356799366	0.607197101563	0.736381478482	0.590983259179	0.479982742081	0.614844178843	0.670071021415	0.619872513958	0.5793117453	0.518311342749	0.672728066674	0.511323394503	0.629181951473	0.586851246876	0.620268022236	0.691456744996	0.625348782784	0.602105332541	0.569518427257	0.581523370668	0.612336284681	0.666903050124	0.578459489922	0.650003967038	0.586153119348	0.629573287324	0.685616805334	0.509201059479	0.607890664733	0.586585985263	0.541936429848	0.669956504154	0.506836128276	0.544955664609	0.521505876165	0.60750640186	0.657166668023	0.593777925086	0.613716647758	0.499231293437	0.511059553562	0.561487031788	0.484731193207	0.493123668422	0.523639057989	0.495851306915	0.551979454657	0.489661033789	0.518064004815	0.504320229033	0.56598099329	0.539569349192	0.492076204045	0.515447585601	0.459357723183	0.539477033231	0.508143067385	0.523846725387	0.562510522933	0.553390833551	0.525435646322	0.654026961684	0.479221945509	0.562963262709	0.586052394396	0.610139754377	0.585574861691	0.605157519671	0.664814491854	0.518375243083	0.471120323828	0.528579216282	0.742152256268	0.722847009339	0.670006486554	0.573134283076	0.541355008058	0.750203058964	0.60874786509	0.549426773832	0.580660130813	0.598860462385	0.535910848263	0.568075329108	0.562707542368	0.586159107303	0.619283278603	0.641285106824	0.498057704047	0.566802495523	0.616806854221	0.515835324162	0.634301648253	0.751581478513	0.635859759299	0.610120082895	0.603681459926	0.617434395213	0.69941391238	0.474493278743	0.714351663301	0.617931039433	0.610116962331	0.573026510433	0.605052566259	0.607403429633	0.547231088306	0.698291150978	0.572707174209	0.641971744798	0.597302265668	0.501910013969	0.529867939507	0.553175655675	0.552647062171	0.561615488111	0.574913487532	0.634194725794	0.690358821474	0.556753711392	0.518654701106	0.498314497628	0.516068366786	0.482067595512	0.528992603543	0.515995416652	0.535016910555	0.427421362438	0.488329398088	0.517447492168	0.512749965279	0.482170930875	0.512247025524	0.543441306173	0.561100210543
L.005.M1	0.410021556574	0.629870232711	0.515456386841	0	0.588157183404	0.642711259406	0.567973024709	0.6099048282	0.521889543534	0.562646592189	0.617875595514	0.46882909622	0.591722255867	0.557969342183	0.577105425758	0.753695194655	0.711977476905	0.637998572239	0.608924561251	0.69218873989	0.675895389471	0.521501040895	0.654216537025	0.680949045799	0.540971575522	0.731348268448	0.526274020237	0.539246832347	0.688985122409	0.554344263493	0.708192684742	0.651307222477	0.744792293265	0.712623033209	0.692308028819	0.763750922127	0.675692280642	0.557980950747	0.686516945681	0.702912691442	0.681641501422	0.650391110156	0.526836728016	0.702125453944	0.535622026526	0.722754640557	0.6989052353	0.704104460495	0.785473788529	0.735598026088	0.685344732182	0.638789429835	0.67689599835	0.685941102076	0.735711963407	0.680689374552	0.713724501397	0.662770196832	0.70452241836	0.766436870091	0.492524064042	0.661836946406	0.634383400801	0.568684878586	0.711653600872	0.511667206266	0.573304609411	0.537808276725	0.681738554842	0.704889506414	0.662528905132	0.6389553038	0.536125148273	0.527970276964	0.623700795847	0.459476618477	0.507507135287	0.536545584177	0.425573995144	0.582820108496	0.506126581487	0.511145165826	0.513947963627	0.607556837466	0.586791719791	0.511230072281	0.482714928428	0.507167370595	0.505624223441	0.435755963209	0.601019477842	0.582598411405	0.471278020676	0.504683457533	0.638883089851	0.494078019527	0.572105888982	0.524220739841	0.67101029769	0.577212735983	0.684707001766	0.698888779602	0.58409982225	0.542594482881	0.504323281988	0.787322618622	0.750373212173	0.714039338831	0.614566644201	0.625326196061	0.797485168336	0.667383558671	0.554234616297	0.675227797379	0.692293813765	0.553077827232	0.624527211316	0.627715936453	0.683715312595	0.674535072821	0.697775806925	0.507640628692	0.641494378643	0.679875455723	0.610825495844	0.666747138555	0.792147233638	0.70345846165	0.693017522699	0.682020850575	0.691526483151	0.761482585962	0.557735864632	0.750748882668	0.671571088424	0.690025223791	0.643211384456	0.706757760937	0.686355730364	0.601397742644	0.76676564922	0.65134385365	0.691202929228	0.686525249642	0.507561113869	0.512929170719	0.557244613298	0.540659495886	0.582138999721	0.578107236944	0.645037256654	0.730532675148	0.58497637267	0.556318030343	0.472391318473	0.473383576922	0.479621899557	0.535250406912	0.46994096677	0.492204678617	0.469561376123	0.449416991553	0.431406468203	0.421791601287	0.484597992573	0.506951699452	0.458748057708	0.457786125003
CS.035	0.556922058501	0.5655681638	0.512409623674	0.588157183404	0	0.635692807271	0.53455355057	0.546553755128	0.534945069783	0.530561292918	0.561966618787	0.536466304914	0.474530788098	0.565715333581	0.474444366831	0.728329646749	0.617025019348	0.568189440344	0.61777191343	0.598613145711	0.607395920849	0.563980197238	0.632098956719	0.66201705365	0.521156398152	0.717213384438	0.606933106944	0.578240492211	0.611693290647	0.513006254106	0.658141725416	0.548314762985	0.653546985017	0.67212839535	0.590388477158	0.747877366478	0.548350623564	0.556682074529	0.660620534074	0.713736626953	0.632917191837	0.58971409722	0.583941770649	0.670800575675	0.579745412813	0.648435722599	0.630690437957	0.651865461186	0.70783091667	0.668420545878	0.61811548853	0.586452975456	0.6522940409	0.669685900364	0.691879223145	0.630530480126	0.683010719228	0.608271919801	0.657247977811	0.709142104297	0.539871432555	0.6354423078	0.638779370942	0.559124986841	0.682029606647	0.561872925661	0.582125958732	0.570087507206	0.623756181167	0.682355175783	0.574784945929	0.595237809165	0.544150030778	0.56800767802	0.570737181306	0.564594555437	0.59161936256	0.578657326179	0.572445703431	0.619827447247	0.569158995649	0.582806797794	0.563737699553	0.616179412273	0.586957822605	0.529239696313	0.560206637409	0.561318510857	0.60982551084	0.596762208955	0.534680830275	0.526375929292	0.594638949192	0.547564754737	0.636671376179	0.541929453289	0.601485809436	0.550686334848	0.623617071732	0.575327219738	0.585570085335	0.670775971652	0.519633458712	0.559874182059	0.528613002027	0.723649775409	0.74082872352	0.658633818403	0.526762898768	0.5677993625	0.722235085826	0.649046830109	0.529934768135	0.61113925433	0.636858624251	0.526327301585	0.552791627704	0.594711465718	0.617864961447	0.615780659285	0.673325620109	0.557251779465	0.562231375134	0.59691795459	0.595323215392	0.662144283877	0.759162325558	0.64475803762	0.640681996517	0.571048007016	0.580431192962	0.691696640646	0.552893623168	0.746895122853	0.608302669126	0.646956021376	0.621918376958	0.628711760532	0.654030340508	0.595619890681	0.704437279678	0.63106618925	0.647378385283	0.636689088356	0.552642297014	0.576229916307	0.571249995377	0.587422791822	0.567733467329	0.618030642288	0.645685693245	0.71810566686	0.601442370274	0.59190265617	0.566171793169	0.564453403721	0.558063400203	0.563545502311	0.556418901102	0.571197358074	0.564063948001	0.566461362685	0.575722877378	0.561156686757	0.548485539773	0.540197982585	0.580254792617	0.605154529572
CS.260	0.662337503622	0.580830316748	0.588229726632	0.642711259406	0.635692807271	0	0.599186164696	0.627975458236	0.67014894103	0.621467461279	0.608552279871	0.623578240713	0.615529023942	0.595715298211	0.604844768079	0.632318131271	0.620323054552	0.595560806112	0.530641656249	0.5386073791	0.642037130457	0.596702289074	0.544311644401	0.537415081117	0.611541290245	0.555085894213	0.56368817311	0.564358764699	0.56640799129	0.64413670315	0.632727743391	0.568868383081	0.642787042628	0.54621365826	0.568762011586	0.660942984601	0.548223909469	0.574418924756	0.510997819574	0.548901749385	0.563997530404	0.57966629134	0.611274157219	0.566759811386	0.59841714433	0.628698243067	0.598202799552	0.526916011073	0.60856775813	0.587879664153	0.605064471155	0.605256689911	0.536736602979	0.569378131911	0.647996377368	0.542942465755	0.591001557847	0.578573223997	0.587369997801	0.621241107301	0.628770299544	0.575453572822	0.5251944749	0.58163212013	0.610571346853	0.575366695889	0.594670049109	0.577625314218	0.523734242707	0.544732112418	0.633304892961	0.671952779556	0.624638812578	0.597237194415	0.622901399759	0.613322159547	0.641182774462	0.582626152073	0.658187643589	0.603511243168	0.609241952201	0.578648859948	0.616086288636	0.63923130359	0.639167052927	0.625002900599	0.646009098502	0.599665726546	0.658838145418	0.642617558876	0.613148668724	0.624252523422	0.665685254847	0.653920030758	0.673730294405	0.597248380922	0.60278054373	0.675427195555	0.593148022039	0.632613634289	0.601885963987	0.620327298176	0.605680199194	0.606537215707	0.610524266829	0.65945858296	0.63361977915	0.599149247698	0.655580463153	0.564640541086	0.643648998973	0.556730020879	0.645112638473	0.524733278005	0.513147267995	0.609129703139	0.620850907243	0.542404000448	0.568042260964	0.599867695835	0.531514026873	0.616510182546	0.590126704134	0.577516835934	0.543640204776	0.571655220142	0.68947204099	0.609731391189	0.547673751741	0.571581240713	0.596392235014	0.611692058104	0.565526642113	0.591354057865	0.650434920838	0.560016790122	0.557549657894	0.62237146505	0.544788568389	0.559218159724	0.616630543067	0.540837468473	0.574274137475	0.547630770139	0.604543651466	0.601777835082	0.596806180569	0.617085916196	0.629487665467	0.567658933388	0.564377548882	0.613396036904	0.578866318016	0.572974953956	0.606427072807	0.663574142647	0.633570357405	0.603386472479	0.620662342198	0.63192404025	0.613325477607	0.639427594239	0.63319713624	0.654895262054	0.590299476357	0.592947726278	0.651835461773	0.639487946026
CS.104	0.576399720119	0.561468030658	0.52881589736	0.567973024709	0.53455355057	0.599186164696	0	0.565613824216	0.528246671864	0.551219407287	0.533914441486	0.565319041751	0.534761591953	0.503427256054	0.545474243004	0.702079429582	0.617302178043	0.575258997306	0.589936701484	0.582352709345	0.601528348002	0.524564486966	0.597812439566	0.659936899404	0.524937579405	0.674526448357	0.534779237422	0.545985503747	0.576903474962	0.529120735251	0.653514594952	0.542254403395	0.619315323724	0.640699516128	0.607712261333	0.729451726192	0.546277378539	0.534794219745	0.614296060449	0.662737856514	0.619643560331	0.565062115136	0.533854423721	0.651198266375	0.53733755415	0.619770942561	0.628152761991	0.608055447628	0.704303854667	0.659665713556	0.606117758215	0.588491391829	0.601399267084	0.625712606154	0.682645818609	0.602492942391	0.656798362649	0.591308122865	0.646039279783	0.690233997907	0.521949238319	0.620513796256	0.566065786571	0.571425887415	0.668141522262	0.545250266757	0.554998900383	0.537064142728	0.612392123226	0.650690971457	0.592608725974	0.609685810186	0.546476077159	0.554067875047	0.581994862781	0.533359726343	0.582035241692	0.549655914168	0.55831746729	0.590948071199	0.531288352424	0.567254687604	0.554040655367	0.595949578034	0.569920155422	0.559788395538	0.545491946987	0.523875855306	0.576140047242	0.552582309225	0.536394659477	0.534515225628	0.575109997849	0.523528787625	0.592113394636	0.535499214573	0.555768990376	0.558776782218	0.589614623974	0.538232398926	0.585713038944	0.647033262825	0.523258399037	0.542225308562	0.511456600884	0.674442393708	0.745197874792	0.63331731047	0.571618197333	0.572933293278	0.691204738221	0.615911886785	0.499290442548	0.591700278953	0.617333641405	0.50152399846	0.530553376911	0.560458318685	0.607779696188	0.624700981577	0.663728113031	0.511641097573	0.534249890106	0.571482883887	0.565848693874	0.628950086549	0.728552164422	0.615654757827	0.622977153599	0.575076773746	0.574708235268	0.63602198442	0.520785684392	0.723154900087	0.636822426172	0.601408479458	0.589918219432	0.606200688848	0.610444092809	0.553479008705	0.706087460489	0.61116830764	0.639063534905	0.634022430258	0.527451867293	0.539242227706	0.566031329661	0.573425063043	0.564652055616	0.600180740071	0.635700398837	0.699852243296	0.562418081519	0.564662769002	0.543798436209	0.558874619904	0.547024486173	0.562909051102	0.548950426477	0.567445680912	0.532025591414	0.556559580248	0.572793305878	0.587214978246	0.541180998539	0.526553287032	0.575343796878	0.578241396669
CS.084	0.585085784702	0.546951698055	0.547304888674	0.6099048282	0.546553755128	0.627975458236	0.565613824216	0	0.556077170399	0.581304971664	0.602095386027	0.546049058943	0.47732953131	0.589505965104	0.554901166008	0.732633031378	0.610684639184	0.585546015913	0.595314580587	0.643190356863	0.59677007148	0.559807982389	0.627192188489	0.675468402192	0.517139635591	0.740818319349	0.660594300474	0.614455626102	0.64835289112	0.515385555905	0.672961459278	0.569490160431	0.647880881614	0.6902974964	0.589116664715	0.763697357741	0.567376407168	0.595129125479	0.683980655451	0.724500135555	0.659568335551	0.647502538598	0.622969362187	0.67952526059	0.572055118949	0.64634578824	0.606698800781	0.649772206105	0.701184253991	0.669633656982	0.680782848066	0.60291796041	0.634459123043	0.669136255634	0.698330395713	0.633573691732	0.698878347195	0.600800318121	0.686966340717	0.719482745668	0.549957484194	0.66056715607	0.644833831991	0.586399780305	0.711581766336	0.596012447699	0.617626604116	0.61727307267	0.652137435487	0.689420899074	0.549793860022	0.620307923382	0.59919113111	0.583649562935	0.60780503358	0.601128796112	0.557039476574	0.619905323886	0.589481166123	0.552316814101	0.576873822504	0.62171891541	0.561603750836	0.52536710373	0.539481700768	0.515075698286	0.566128143341	0.581773871999	0.566277104399	0.615520304354	0.486500095304	0.54376959644	0.635089004629	0.566346601495	0.686400214127	0.540476812934	0.598294703109	0.625111355851	0.594200319573	0.617506501665	0.587137778649	0.699212608761	0.444795197456	0.577317706889	0.555213030262	0.720949380679	0.757749262161	0.670411087539	0.498204377879	0.555730559213	0.724386033909	0.658905914363	0.604524590106	0.642670107848	0.666293741235	0.575072379782	0.622907103714	0.641624624982	0.60494357505	0.629639957168	0.696855760825	0.609410411058	0.558794373231	0.579848512644	0.574835194211	0.695215348871	0.769445982722	0.683389969946	0.658470370209	0.554057422326	0.596922650017	0.71828627866	0.56190335014	0.749124792842	0.66903960477	0.663826941397	0.616164350806	0.650969883678	0.650973166672	0.620400596764	0.712118241538	0.622384824982	0.66410167126	0.671442616619	0.590242180563	0.598172851204	0.615272875695	0.630612281233	0.512705726273	0.663916724868	0.672665397661	0.703646801208	0.632296274538	0.651937793673	0.612464907588	0.575882382483	0.570137900911	0.587047124815	0.623291115371	0.594863881964	0.580878564234	0.568042455588	0.630143196237	0.584767832027	0.603552411521	0.588142286733	0.643545835095	0.666945802962
CS.101	0.48226458782	0.609131004942	0.543710711558	0.521889543534	0.534945069783	0.67014894103	0.528246671864	0.556077170399	0	0.583483258982	0.611712684501	0.515329508821	0.531930840906	0.558290223475	0.538018325998	0.774653954044	0.685018793774	0.621476031617	0.637263567523	0.678096681417	0.630641125522	0.525219854228	0.654918289315	0.701555793704	0.521850469256	0.765052356564	0.601813274934	0.584766817318	0.68005506354	0.513976030353	0.718858641745	0.609327893625	0.697160563556	0.73336312711	0.669028435861	0.785651514839	0.638520945649	0.573459996245	0.714385370652	0.729099038913	0.691646010133	0.652486169432	0.554241327428	0.70443874085	0.554366974215	0.70976606474	0.660887044736	0.665108622272	0.765897504552	0.709112391928	0.677523127744	0.615304426852	0.658331319988	0.705883421278	0.727828324483	0.663431543493	0.70323142394	0.636670472026	0.727333291239	0.769111583243	0.515889433699	0.699695852977	0.66397035041	0.581873999211	0.737434855673	0.569161079075	0.609330398558	0.60365448753	0.688908484875	0.721443285258	0.620926544692	0.609146851576	0.55829839478	0.580374250629	0.624291794123	0.543169876885	0.525631792972	0.580517470585	0.502099173465	0.581022214176	0.502479870376	0.587169024366	0.535821725191	0.573642508178	0.577286533165	0.502857213227	0.511965716787	0.545134604568	0.573677002111	0.544615102283	0.55965210266	0.459140300821	0.543868277663	0.458854116669	0.6281797007	0.538138756932	0.607081981328	0.537296797237	0.659809788386	0.610534496744	0.682788076794	0.70410288664	0.553630111569	0.556327557825	0.528977705579	0.766650063743	0.784202620068	0.708392720066	0.567355777366	0.614922522144	0.787500311632	0.68286726705	0.527037328314	0.671244477893	0.710170736512	0.54257899539	0.599442175301	0.655782242189	0.663093136712	0.672481854105	0.729157006238	0.542899674895	0.611367904935	0.64912600768	0.597417270623	0.704863349963	0.809901390006	0.691674781378	0.689942090598	0.650019142581	0.673432855978	0.755430065029	0.555537260146	0.791198248232	0.659059168303	0.688034331605	0.633709922516	0.68637346069	0.684245976754	0.606790952334	0.754830765828	0.677394514618	0.697668412701	0.698598420203	0.553124084512	0.558343268478	0.594053208213	0.5918024782	0.57148449537	0.645755028975	0.69601401026	0.74361117429	0.636421476893	0.625030471804	0.565219140433	0.526573181135	0.525979293123	0.555128199744	0.575798552574	0.569511529441	0.531276232424	0.52129418416	0.559198925113	0.509942576893	0.55709282727	0.556836508526	0.568426080275	0.590793413964
CS.314	0.555530266689	0.611265549704	0.536367369536	0.562646592189	0.530561292918	0.621467461279	0.551219407287	0.581304971664	0.583483258982	0	0.584854422224	0.546418061594	0.567752527529	0.565860756309	0.577628622272	0.701309489853	0.644783691695	0.570168847311	0.617674721063	0.598456936723	0.620734837761	0.555417283909	0.614352444797	0.625495497822	0.541915434784	0.688121207012	0.563325643371	0.605654549098	0.630008449803	0.554727572552	0.626201996876	0.591654630023	0.693864464333	0.645107078805	0.641494597214	0.720701382528	0.583686613651	0.554591531005	0.613337360599	0.665795432557	0.630817977321	0.568050308397	0.595210819023	0.642032807159	0.582521173452	0.640877427579	0.619846227271	0.610583756793	0.690361953636	0.656317935652	0.597346975169	0.563237873154	0.615667082771	0.629434785727	0.648238221193	0.612065678124	0.636605459717	0.610878557907	0.653356853698	0.68939438457	0.53161966611	0.582585616724	0.563535942861	0.592843952077	0.647083470803	0.528595063844	0.552277410461	0.568195864347	0.629648360665	0.622054913531	0.575563971569	0.563420264476	0.548680784347	0.586777621868	0.553198590419	0.509946120496	0.569395543229	0.54801758854	0.556572510933	0.594189857258	0.559002776886	0.52413084917	0.5735541996	0.603854764899	0.56823281834	0.51598730573	0.55097153799	0.542102826514	0.601597032145	0.582791309518	0.571319209684	0.57313235003	0.544194161214	0.58965606987	0.621227181159	0.530580164831	0.570348251698	0.595372024662	0.595689072747	0.566283790472	0.601096511227	0.63701818393	0.564638660016	0.534885265753	0.49476381967	0.695191946995	0.718934839532	0.650665829769	0.584581055366	0.545470134539	0.706125491143	0.604306702218	0.554337980385	0.579775968425	0.624624418738	0.560170674549	0.558143607183	0.555207582997	0.608056880912	0.581440045004	0.650469452507	0.554811484942	0.574982078327	0.607290822333	0.596478983311	0.615336804554	0.733194511814	0.611685406034	0.619280095101	0.590752789092	0.587257205207	0.672905124134	0.561517434295	0.695642164886	0.591112413172	0.625777316768	0.601557925204	0.644788319363	0.630574308745	0.569179052098	0.686054614076	0.589791329866	0.620363364231	0.62542987032	0.54807771045	0.546292492734	0.559869049636	0.566145110109	0.552491121539	0.573905113431	0.611101546205	0.671648434815	0.564382038187	0.573794902691	0.557823182755	0.556066961609	0.574506630715	0.553624439975	0.568254163581	0.515459556879	0.541997257656	0.546089739425	0.534267276306	0.563536964973	0.537956304859	0.537405855817	0.542189050835	0.555687328656
