CS.260	CS.022	CS.354	L.002.M1	CS.199	L.001.M1	CS.037	L.006.M1	CS.043	CS.001	CS.101	CS.021	L.007.M1	L.011.M1	CS.011	CS.371.1	CS.065	CS.063	CS.186	CS.335	CS.073	CS.117	CS.305	CS.377	CS.248	CS.118	CS.153	CS.154	CS.137	CS.042	CS.375	CS.128	CS.282	CS.136	CS.378	CS.302	CS.374	CS.292	CS.205	CS.224	CS.232	CS.203	CS.041	CS.126	CS.213	CS.323	CS.178	CS.348	CS.268	CS.385	CS.129	CS.148	CS.177	CS.166	CS.256	CS.359	CS.389	CS.214	CS.349	CS.181	T.CS.071	T.CS.059	T.CS.022	T.CS.079	T.CS.023	T.CS.041	T.CS.048	T.CS.046	T.CS.052	T.CS.001	T.CS.082	T.CS.020	T.CS.025	T.CS.004	TFS.024	T.CS.153	T.CS.097	T.CS.122	T.CS.119	T.CS.124	T.CS.102	T.CS.129	T.CS.156	T.CS.100	T.CS.178	T.CS.132	T.CS.116	T.CS.105	T.CS.117	T.CS.134	CS.242	CS.088	L.024.M1	L.034.M1	CS.237	CS.110	CS.015	CS.246	CS.356	CS.082	CS.085	CS.087	CS.241	CS.103	CS.006	CS.234	CS.308.0	CS.363	CS.364	CS.330	CS.346	CS.347.0	CS.311	CS.044	CS.165	CS.304	CS.164	CS.336	CS.325	CS.345.0	CS.319	CS.318	CS.285	CS.080	CS.152	CS.163	CS.320	CS.322	CS.361	CS.321	CS.112	CS.227	CS.194	CS.343	CS.158	CS.393	CS.370	CS.390	CS.262	CS.326	CS.270	CS.253	CS.255	CS.145	T.CS.031	TFS.021	TFS.020	T.CS.064	T.CS.066	T.CS.049	T.CS.036	T.CS.055	T.CS.045	TFS.027	T.CS.026	T.CS.043	T.CS.008	T.CS.061	TFS.022	T.CS.095	T.CS.142	T.CS.158	T.CS.166	T.CS.141	T.CS.152	T.CS.151	T.CS.109	T.CS.157
CS.260	0	0.571631653815	0.645631668742	0.61443040226	0.608552279871	0.61032457994	0.611152043815	0.624098058039	0.580830316748	0.623623194281	0.67014894103	0.531167074658	0.649563504871	0.595715298211	0.625516207074	0.608451913766	0.573974360651	0.63172811031	0.654331195583	0.611964864755	0.642037130457	0.619937193921	0.596702289074	0.570519360253	0.559823886178	0.63743293352	0.608719837665	0.66787594738	0.564358764699	0.624648294338	0.57966629134	0.580398814682	0.54621365826	0.548223909469	0.632727743391	0.619158937072	0.563997530404	0.568868383081	0.548901749385	0.660942984601	0.590410870465	0.611274157219	0.568762011586	0.574418924756	0.566759811386	0.536736602979	0.583755759492	0.578573223997	0.628698243067	0.548239945256	0.605256689911	0.587369997801	0.591001557847	0.587879664153	0.569378131911	0.631398362065	0.526916011073	0.605064471155	0.551645824872	0.542942465755	0.597237194415	0.633304892961	0.605468078187	0.544732112418	0.684513790612	0.595679375413	0.590781071499	0.5251944749	0.523734242707	0.56366604624	0.624638812578	0.671342612283	0.58960211081	0.550026708248	0.577625314218	0.626563125632	0.659737334079	0.584594999338	0.63923130359	0.625002900599	0.670945535993	0.62530655374	0.613322159547	0.658838145418	0.609300617895	0.635399346011	0.63768801637	0.655952939558	0.61257150291	0.618747984705	0.597248380922	0.673730294405	0.665685254847	0.60278054373	0.601885963987	0.593148022039	0.675427195555	0.606537215707	0.620327298176	0.613148668724	0.605680199194	0.632613634289	0.653920030758	0.624252523422	0.610524266829	0.597622066409	0.600762102634	0.513147267995	0.591648763464	0.556730020879	0.65945858296	0.599149247698	0.620850907243	0.609129703139	0.621273162915	0.633046560048	0.686577508391	0.544085411905	0.63361977915	0.643648998973	0.552501895743	0.514035351848	0.611692058104	0.590126704134	0.565526642113	0.596392235014	0.538342757866	0.531514026873	0.609731391189	0.616510182546	0.571581240713	0.68947204099	0.591354057865	0.571655220142	0.577516835934	0.62237146505	0.544788568389	0.560016790122	0.574274137475	0.540837468473	0.547630770139	0.616630543067	0.557549657894	0.559218159724	0.603386472479	0.617085916196	0.618957307215	0.604543651466	0.663574142647	0.564377548882	0.629487665467	0.601777835082	0.596806180569	0.606427072807	0.613396036904	0.620662342198	0.567658933388	0.578866318016	0.633570357405	0.654895262054	0.639487946026	0.613325477607	0.590299476357	0.651835461773	0.592947726278	0.63319713624	0.639427594239	0.63192404025
CS.022	0.571631653815	0	0.593414236962	0.635292627312	0.571641234571	0.634423624686	0.606528645488	0.63585081353	0.591072619937	0.628206935877	0.650267348744	0.506394992111	0.666766983805	0.600169734997	0.621939419991	0.598300709926	0.592347175794	0.573115709926	0.625646704106	0.673848436652	0.591873413231	0.594783601292	0.644858358213	0.619145995559	0.566524474711	0.581444225224	0.590191558529	0.660479446212	0.64979784853	0.599495753998	0.609839890046	0.612907595362	0.61239570935	0.558689448035	0.614159088793	0.648033340875	0.613983948731	0.574163264533	0.628336306744	0.670718688665	0.594864098165	0.646848674873	0.568220709184	0.632593215212	0.616018801584	0.632898974706	0.639337676124	0.608773552402	0.61894292415	0.612116136341	0.611096617092	0.628780023721	0.635787611748	0.642166226961	0.624886412284	0.646189622881	0.61083889927	0.619732740272	0.624116834871	0.594914465917	0.651933260497	0.588318505249	0.624687392836	0.596980641434	0.720439286398	0.615684440087	0.609621496716	0.584686390142	0.615535893778	0.644318778012	0.653486460601	0.672054857535	0.647523488012	0.620762643724	0.608691410878	0.645360503792	0.663646012376	0.63642308433	0.653885609788	0.630488144344	0.678626121852	0.682917671174	0.637487720788	0.656848354634	0.648802063257	0.675788729406	0.609651578809	0.650396170336	0.635760412155	0.666604644275	0.612128829327	0.611712921903	0.635123900237	0.597591049719	0.5379488735	0.551676843701	0.632699957516	0.62066330419	0.655367252122	0.615625999823	0.592437292746	0.583999229177	0.645448233253	0.594418388731	0.53067302263	0.630778654683	0.588273428462	0.596263529435	0.629963302075	0.600786895567	0.636511536501	0.593546080171	0.586572464563	0.603139126687	0.610723966167	0.640083209302	0.602590250386	0.620601334686	0.702431443739	0.630129319968	0.60497773504	0.604307348665	0.601035398755	0.546699805586	0.622312250478	0.554623407844	0.589637515168	0.622104037818	0.63692585761	0.62084462199	0.550515832275	0.66660331915	0.673446226108	0.595190995909	0.540395645564	0.62603638954	0.614347343822	0.583541872375	0.610254372293	0.599299827097	0.608659994552	0.672500162501	0.60644131432	0.633603003377	0.605726953292	0.635512247442	0.652137160449	0.627187009162	0.665984863019	0.612272195861	0.610628506623	0.595657130594	0.628260289891	0.64167038883	0.64702105753	0.636575541286	0.653412500667	0.62870366734	0.675035895484	0.676137728946	0.638372419471	0.652638997502	0.639781519361	0.637667329649	0.630532878195	0.652529493766	0.664877427817	0.604730322435
CS.354	0.645631668742	0.593414236962	0	0.620901931731	0.604379462418	0.622092386177	0.619502745273	0.597884413093	0.6371950783	0.663440825488	0.614327444917	0.64455818742	0.605641675994	0.591867903835	0.646162292958	0.563717722857	0.655815954825	0.648377448829	0.619113165082	0.714554416531	0.588183914686	0.57188400525	0.625942515871	0.698058844573	0.658243576409	0.557864494984	0.614301759171	0.699715404778	0.662584416178	0.606616101783	0.610969599277	0.613314520906	0.689055024178	0.628486586621	0.62513711069	0.700476670249	0.647077131395	0.629601118785	0.707602223812	0.71441340937	0.631419655243	0.607500225536	0.622548580848	0.62123519222	0.646175577875	0.685100290484	0.648855147057	0.675404411864	0.665886160356	0.695961784704	0.596876547525	0.657563115435	0.66471286166	0.693077332071	0.662934318616	0.707350221522	0.679006331474	0.639859464406	0.679260123098	0.649691031141	0.642194858859	0.611709785288	0.618013966318	0.636874029669	0.717402866838	0.593457157578	0.591588274939	0.64738252418	0.673304943415	0.671295373338	0.600398600601	0.636413485007	0.639986605996	0.642861368984	0.59776535067	0.624479459381	0.629622893404	0.624526919998	0.665723821727	0.587793917187	0.61931554565	0.649314358225	0.584471100317	0.62789907451	0.638078277941	0.672958203228	0.572235744204	0.671754112807	0.599475480224	0.604856483179	0.591580368853	0.582284708394	0.592529057094	0.58362326001	0.619582184048	0.626442701598	0.576286332233	0.60948733681	0.660598882752	0.633087026233	0.607807980341	0.576796328844	0.606679723849	0.611858978652	0.575246591332	0.679171549801	0.649094052454	0.65786127541	0.699668480818	0.647837852972	0.711348196681	0.652093994388	0.578779388131	0.577660675983	0.65602882404	0.690915092716	0.659911372161	0.626535928981	0.719547474116	0.712048522861	0.680775181102	0.676523953637	0.697097928971	0.60837384776	0.629603395452	0.61632334387	0.632482658515	0.671459826888	0.610239976353	0.587273211817	0.590492416385	0.747124963702	0.717935496797	0.669168626075	0.59506746127	0.618719868104	0.671229081184	0.663612534486	0.609742909627	0.642005181373	0.649356400935	0.709386524697	0.640455450353	0.636266092348	0.550190562508	0.592958020235	0.638877662758	0.568992445916	0.616132802115	0.640233668481	0.605859224523	0.581757623161	0.609126070264	0.609513652465	0.688903440097	0.610197420244	0.601977568725	0.635342610559	0.646441656039	0.630133929382	0.5746362591	0.620005083104	0.611697497904	0.542552361799	0.622182186948	0.580955888537	0.635634150854	0.540771212984
L.002.M1	0.61443040226	0.635292627312	0.620901931731	0	0.634845943741	0.667634445798	0.618600558672	0.640790893311	0.647593397859	0.684885377309	0.675925205133	0.612108804234	0.678176508569	0.624626140746	0.669470697084	0.649606923211	0.649553647074	0.650837667082	0.672188121071	0.67308672775	0.624199703776	0.661632175366	0.644598495065	0.663023807162	0.601649140336	0.663349025613	0.676412372978	0.684254889278	0.652392703079	0.653020215638	0.605227990404	0.627460468284	0.645048195323	0.656829641241	0.668649384503	0.692543865418	0.61263531232	0.631015426765	0.667111228695	0.681312303302	0.660060469605	0.649426479408	0.677281846309	0.624185181797	0.624279493696	0.640632675747	0.650942795455	0.653036746794	0.642334312856	0.665053998903	0.594674643484	0.617879589789	0.592205369794	0.63502583263	0.603756399223	0.694253640304	0.627674558807	0.641463448744	0.627492753535	0.6411865235	0.681490016915	0.667940778421	0.660555895927	0.575782281006	0.738617101436	0.626283222414	0.606808205788	0.641900234151	0.62914320397	0.637109265104	0.635257698914	0.679746059587	0.625339597819	0.644047982106	0.628297260009	0.685027095685	0.692216922405	0.645761674494	0.672374040576	0.650908931995	0.665751645001	0.670494203113	0.62688201963	0.673305686464	0.652045367455	0.672840122591	0.660378990611	0.669518862014	0.640154078605	0.64762353591	0.63240610701	0.680883638997	0.669342091192	0.609139330676	0.63608688284	0.626346308969	0.673718068711	0.658057015255	0.685974201292	0.688988205826	0.652092154566	0.669309235997	0.654705589318	0.651376848816	0.654592287303	0.641087463008	0.650760700197	0.605450035357	0.66946222268	0.621569613263	0.680903635672	0.633209292984	0.639956134443	0.640280221493	0.684234355572	0.687789556883	0.692815276661	0.656050904689	0.685160108046	0.704646937634	0.62248912794	0.628738905138	0.678929621301	0.625918486233	0.635711991089	0.666151586056	0.629006583713	0.624896649371	0.658354971808	0.670803793674	0.630579140837	0.682323095543	0.66890271868	0.566700185491	0.632064889698	0.664634394526	0.607460599751	0.614996484573	0.590144173374	0.624420203544	0.621261194884	0.68842637361	0.59399752945	0.609350066976	0.617187138622	0.626875937459	0.65827828182	0.609330401046	0.656638362842	0.6149431342	0.643016220285	0.642904023858	0.639474883835	0.658316830372	0.673211586848	0.652348041924	0.642311683672	0.651429312163	0.662637885097	0.684397602752	0.672530037508	0.646087781856	0.639852245717	0.639871154744	0.645188187333	0.642689344503	0.674553341995	0.663003302937
CS.199	0.608552279871	0.571641234571	0.604379462418	0.634845943741	0	0.615412191413	0.623075289531	0.59838336168	0.576119881481	0.621634031197	0.611712684501	0.572260010052	0.632803888633	0.588334542052	0.626214343807	0.615553668056	0.60892885761	0.601005621724	0.626508278035	0.708643918754	0.591101022843	0.570548923927	0.614117167622	0.655239220565	0.580263552889	0.560245843391	0.568680128705	0.719713808913	0.610161844426	0.589093098067	0.58593048548	0.612157095118	0.63845574302	0.548026383757	0.654730102182	0.684579308071	0.6350638884	0.603720052991	0.68486160329	0.706760278706	0.584580695728	0.604442640917	0.597177208217	0.601961414352	0.658283293695	0.647795501586	0.635939714192	0.624872416681	0.644155031069	0.647924099401	0.596354432528	0.65526818774	0.654857803094	0.671174548661	0.658803240876	0.695822979571	0.623370102999	0.639801944448	0.634626242054	0.643746228279	0.631574984049	0.594556094942	0.610306797704	0.628303252005	0.718452166295	0.590648870388	0.591983860956	0.603335743649	0.622548006332	0.645218412218	0.608325805709	0.64541575171	0.573420831031	0.601319822127	0.551724083887	0.624415793622	0.650789207896	0.62199062659	0.642986758558	0.598756324413	0.644468461595	0.654589377925	0.610694919719	0.630705615487	0.625306730798	0.659528313597	0.580428580333	0.65651408194	0.629893329521	0.628799369935	0.60049058216	0.617314140507	0.625312986016	0.593181509471	0.568006168836	0.59652177216	0.600518049702	0.618680638419	0.678678116747	0.601155403553	0.570239699128	0.555581932616	0.603034969506	0.578891969414	0.559125133144	0.652048551796	0.612749525066	0.613555731244	0.661721902838	0.641124854338	0.6581987875	0.60035435341	0.57887135707	0.547050884246	0.609270063359	0.643942067149	0.633019585202	0.598763009744	0.707794160937	0.67459587671	0.630833952255	0.613443346008	0.65250471532	0.562319116841	0.604231087115	0.555415561354	0.619336289726	0.640938288166	0.626895729219	0.592194470918	0.585920331157	0.702891530032	0.720830803965	0.621465802655	0.564071554862	0.623909084197	0.643712456416	0.630533770862	0.648630437278	0.628495948372	0.656978881294	0.705111667653	0.610805932314	0.620759032687	0.598715768971	0.582017489309	0.607582137595	0.596110377598	0.612901198154	0.646783584151	0.614461920654	0.6107843474	0.606257587353	0.595168972353	0.696174146769	0.606867230954	0.615133753466	0.60619285188	0.630189830842	0.63006497408	0.630355366311	0.611706045047	0.611973555548	0.629229957714	0.603835988073	0.637752128141	0.628282992401	0.605347169712
L.001.M1	0.61032457994	0.634423624686	0.622092386177	0.667634445798	0.615412191413	0	0.664899947218	0.559347156723	0.594447782271	0.531376695837	0.568413657773	0.648049375136	0.59519049569	0.598823589839	0.548863226436	0.647713410833	0.654675827203	0.651330699125	0.547114712485	0.753820904069	0.62568223859	0.566927311544	0.553805430578	0.655524395035	0.634717963657	0.5605505066	0.550322685036	0.751960536939	0.609106043718	0.650266484152	0.639977047506	0.623262286791	0.692350143051	0.60560327603	0.658037549506	0.740557986723	0.660939171832	0.608106307554	0.727744139296	0.775295119672	0.544775225116	0.587038440064	0.60688189381	0.58534919516	0.693895290837	0.657975131905	0.590020555672	0.61053251134	0.644374323124	0.651190721145	0.603158351577	0.673505448084	0.691014450357	0.67375132527	0.67385979108	0.732784993023	0.654817647123	0.683448605071	0.629254031008	0.644883717078	0.585147259749	0.542459096749	0.614832067322	0.693764444963	0.733410952923	0.561342586612	0.584301970746	0.630240472544	0.620232088176	0.695793933481	0.58006876871	0.546837842529	0.57039264369	0.614007132145	0.608514798823	0.525791786709	0.556271023006	0.574548963408	0.543707483595	0.503938976978	0.599992396792	0.585152825478	0.57937209866	0.565852308743	0.536952440848	0.573635256822	0.569859999623	0.531979353323	0.581240878617	0.58593487352	0.53354295873	0.689629663299	0.618568900937	0.616225301061	0.634837241272	0.62384332867	0.618992973152	0.550884137829	0.711752532283	0.532562433426	0.52084851022	0.621401851026	0.605593563603	0.562166974944	0.593881515155	0.660798930304	0.667278020586	0.648898051517	0.721399142898	0.659470906115	0.749291649396	0.698737926064	0.62788388828	0.57708300089	0.713468214836	0.690322463637	0.691187746003	0.614914292695	0.738000775161	0.748497180508	0.69013396361	0.667758493996	0.728170850353	0.620862936475	0.56882468228	0.627655975878	0.619548115303	0.692730994377	0.685457018756	0.586906489548	0.611083808143	0.796572635457	0.751941519834	0.696941969939	0.601868770485	0.650368906401	0.663127984644	0.665326649783	0.681622414666	0.624858333167	0.663200343147	0.693526335938	0.608917291121	0.631978897485	0.593661989089	0.630617795989	0.561215806274	0.582714582268	0.578663832347	0.658213717343	0.531063606562	0.602948114375	0.604014592326	0.597643568172	0.695850256277	0.595403697364	0.634672491922	0.632585997283	0.561507829211	0.574499206362	0.63109955491	0.573155563955	0.589199915581	0.612368927687	0.566536613092	0.605413279214	0.578170085755	0.592583274391
CS.037	0.611152043815	0.606528645488	0.619502745273	0.618600558672	0.623075289531	0.664899947218	0	0.643057642387	0.632438823575	0.688900335281	0.697495738143	0.584125142059	0.708387320836	0.620729200296	0.68515710779	0.638381586525	0.628070614705	0.632092822677	0.689339851617	0.643368564192	0.605451573623	0.649554947116	0.685582084987	0.65710194137	0.595947654706	0.61461089425	0.641412649146	0.666840388928	0.678041497298	0.650054415988	0.654685881972	0.638965258772	0.651809627143	0.616369035924	0.669173180076	0.686083084576	0.644844505024	0.630194124679	0.670679276752	0.71284078844	0.648191639415	0.65303853785	0.619985975007	0.653132313713	0.595857018938	0.634716420851	0.665498074191	0.625684054675	0.665365031239	0.645836923691	0.644195330111	0.636254447384	0.65424558697	0.634641851176	0.655626671446	0.726985763161	0.63593515032	0.690158274116	0.597935201422	0.645512648651	0.690502155254	0.639397474691	0.636853335027	0.604537550347	0.727555609909	0.641505916206	0.629372764869	0.613269874052	0.60590471576	0.623682678802	0.669255841249	0.731421474678	0.660058489184	0.651472452296	0.650332164165	0.69385866534	0.694957984334	0.685994773352	0.696723027186	0.663966104541	0.720684092707	0.707527295938	0.683794915608	0.667202500684	0.694491962041	0.713673428347	0.648763189826	0.698814321486	0.69050840889	0.684881921124	0.662201858182	0.671657265805	0.725304213636	0.593089304982	0.619862781771	0.649659115783	0.636241872116	0.67067032035	0.697076265471	0.672215069691	0.633490735288	0.652347922881	0.683189794636	0.658423580927	0.658219791957	0.652073586862	0.618095245137	0.612748185838	0.637956618865	0.622064530587	0.682562549193	0.63145047229	0.631240374802	0.602887095861	0.682459050231	0.695323793779	0.659962728873	0.660673985075	0.681526682317	0.672939855315	0.601571125	0.623036644657	0.638352479873	0.625870687509	0.670884632487	0.626592586088	0.644752939865	0.643003916194	0.641028798695	0.680606399504	0.585505176461	0.693942283103	0.701943295624	0.641716080154	0.594239702565	0.639090915404	0.605952250833	0.635723121035	0.593486733619	0.644548781508	0.651136197964	0.7169276946	0.636994868576	0.642172852496	0.663788998295	0.659225020404	0.701919660693	0.651001971315	0.720454437969	0.616148655006	0.667225092976	0.675850129334	0.667328289577	0.647497001997	0.668300788979	0.686869837876	0.629281373647	0.634166431323	0.696772016363	0.719462007047	0.690537125466	0.69559357657	0.697467452467	0.676240359055	0.678117686786	0.686005089774	0.708299661409	0.678767987184
L.006.M1	0.624098058039	0.63585081353	0.597884413093	0.640790893311	0.59838336168	0.559347156723	0.643057642387	0	0.591007426053	0.559802288813	0.537485504743	0.643149160437	0.540316090503	0.558757352633	0.576741161406	0.628543968669	0.622426676053	0.685679408667	0.570943316596	0.732387107444	0.639220924561	0.594811244598	0.516455068373	0.686293438329	0.645692415833	0.5830286856	0.597371359828	0.753867611314	0.556999842352	0.654866984288	0.6369345802	0.601187966795	0.687391473023	0.644963014206	0.682550175276	0.736731826899	0.657484039625	0.618075297364	0.707022680686	0.753623898891	0.581900156508	0.524283243517	0.644735391729	0.581686930655	0.675333799009	0.645951672956	0.596263760443	0.613404042541	0.664145190294	0.666346717418	0.602366658293	0.664907076532	0.690941107108	0.68290827518	0.669872793823	0.737522806072	0.667265070164	0.665461904375	0.62739406792	0.654105412519	0.561911209477	0.608379063207	0.608390267894	0.667366770328	0.754875787165	0.569764270869	0.552537135631	0.607595588837	0.629690125381	0.698141060349	0.571761039673	0.565959154519	0.565837411478	0.599865707204	0.571789726551	0.542582053461	0.540462109193	0.526989531702	0.575293177445	0.535105035574	0.58649001722	0.558256158409	0.533881899534	0.516361800396	0.528723172617	0.560712245489	0.580435815437	0.604150184594	0.557280521824	0.564186227859	0.529184580651	0.622834677635	0.618471363068	0.559910232991	0.647582251515	0.617316026997	0.596381073521	0.544848622274	0.712206165918	0.558039269075	0.546154926991	0.603943301413	0.535511485355	0.568132637211	0.58125099269	0.686413038369	0.686745744404	0.662459409289	0.70528704027	0.631844066274	0.751607581306	0.692202702338	0.616620781508	0.544824482846	0.700157880159	0.71648006361	0.709040378365	0.629488157712	0.732952721889	0.759531950732	0.646002209073	0.645842089467	0.729726951314	0.605423599255	0.563623127212	0.649058561634	0.612533800567	0.67097727701	0.667799014615	0.537294726388	0.634529460237	0.770694654051	0.756183137417	0.67084937419	0.633354820679	0.670021987503	0.640164666762	0.674322065468	0.672944901307	0.6301028626	0.671529844301	0.734998702929	0.610765642834	0.603070953743	0.575993364907	0.608658049667	0.540340889819	0.549117064394	0.548613004428	0.650211974477	0.562646938903	0.569037730458	0.599491722036	0.544756245203	0.722144512963	0.554043591833	0.606359652416	0.591122053997	0.53915660019	0.540704601311	0.57675568069	0.529474889538	0.57681291461	0.577538327576	0.572236776728	0.551043772867	0.528122640414	0.584609158596
CS.043	0.580830316748	0.591072619937	0.6371950783	0.647593397859	0.576119881481	0.594447782271	0.632438823575	0.591007426053	0	0.595766322838	0.609131004942	0.576012354084	0.640247839278	0.579793984934	0.591195170371	0.621238149553	0.573373962621	0.609651357014	0.627281891005	0.694552162377	0.605621307005	0.566241845324	0.612654580765	0.607117908239	0.565043157121	0.605530891862	0.561962425766	0.690258570449	0.561287267275	0.582352391022	0.587734119702	0.580309996593	0.625010414174	0.562038652241	0.626122699477	0.661008719449	0.603671577464	0.552590362402	0.649485133895	0.694162157051	0.537413975052	0.611064425005	0.559246824153	0.553991775959	0.603663016392	0.591796760315	0.594623401902	0.585425689758	0.626815783534	0.607713379728	0.602135172901	0.653008086257	0.638559454043	0.631565860364	0.605057286058	0.655626031386	0.578189369999	0.62476684859	0.611390775018	0.59168055629	0.598133738627	0.619894286985	0.59693990049	0.629969221529	0.711505103812	0.609111682494	0.583733776902	0.595787953081	0.595309225451	0.646557868106	0.610584723079	0.630849229219	0.576197362523	0.577230508007	0.573382272715	0.610941754924	0.639648784264	0.588929252841	0.626573457121	0.599747883347	0.639644928823	0.611711768703	0.615160651673	0.626171456034	0.602013482199	0.638634971405	0.588536365482	0.645695464208	0.614830393554	0.60608510595	0.575153632072	0.657552193074	0.646459529642	0.609356429925	0.57269112897	0.577697913374	0.639762375211	0.597258282812	0.650736051783	0.571463990298	0.540865711716	0.588181704496	0.583010870301	0.570706705656	0.569168860646	0.616643371195	0.60830316261	0.595271920333	0.658259597549	0.59769282638	0.665953909231	0.603168007813	0.581177460484	0.557594425692	0.621042360032	0.644832900137	0.661279640202	0.586060180389	0.705079474977	0.673581636619	0.611118727464	0.590798931761	0.638458277806	0.556067348453	0.57754829322	0.613051422215	0.568030536542	0.628754092822	0.633047943855	0.594701358637	0.551782763877	0.704694747844	0.692429932445	0.606149692087	0.555322425442	0.637528772504	0.607504513893	0.601966878273	0.622845785126	0.597035273823	0.614362678631	0.663216338285	0.592823870579	0.611842338457	0.580287403252	0.612920201705	0.601113706012	0.58384085919	0.615884723359	0.628069358924	0.600913958647	0.619318423443	0.597915197669	0.596087468686	0.674215400342	0.607461266268	0.589734450392	0.595770410951	0.61609238441	0.636071988256	0.647607188724	0.601180818808	0.585065070102	0.647417765842	0.584288706793	0.634238589604	0.618768856705	0.612564393844
CS.001	0.623623194281	0.628206935877	0.663440825488	0.684885377309	0.621634031197	0.531376695837	0.688900335281	0.559802288813	0.595766322838	0	0.530713952944	0.626531899909	0.570178932217	0.584434608184	0.44386123698	0.684063592525	0.632037770884	0.666218414243	0.543612963566	0.784665109198	0.637282659506	0.590623375863	0.528748697732	0.634781082251	0.613022298041	0.604554584427	0.57680782936	0.789456474057	0.580419171157	0.668172092855	0.677881237474	0.603789707674	0.678343654841	0.60570911331	0.706983464557	0.751380382352	0.666145578132	0.578050804428	0.720868313458	0.781933689226	0.508482965645	0.588698324667	0.648006178704	0.587164375064	0.698115576217	0.608148162964	0.628088440294	0.563412322756	0.65317907594	0.614929477718	0.615491669562	0.689363851445	0.714100426761	0.673811957398	0.671748525938	0.737607201679	0.659374875642	0.673709415173	0.611499453045	0.618612741016	0.584135119219	0.59527985664	0.633776350156	0.726713761105	0.795987320252	0.608217687773	0.618035757692	0.655756137216	0.654490830514	0.713244237117	0.590247696556	0.520004644174	0.602310356156	0.643634213703	0.639303857929	0.484012692729	0.539756612218	0.516239881799	0.476241768319	0.503539389608	0.580900707924	0.511859953556	0.577816977303	0.552967668655	0.475121553982	0.49205169935	0.577572158497	0.481755825419	0.55528694481	0.598792216493	0.524988322665	0.708901731401	0.625865526517	0.579029659441	0.626996643004	0.631644661562	0.604748749103	0.532325036934	0.744975457408	0.511853520974	0.500663375622	0.633441404658	0.530406374724	0.541435139775	0.546823038876	0.682146874445	0.686088312203	0.672938576484	0.727202580642	0.658528220419	0.766615257341	0.699114678686	0.647734114	0.598036219785	0.737094375827	0.699237016702	0.716537839635	0.634662794622	0.781197737009	0.766624597848	0.664529306699	0.656358238529	0.719799406415	0.593372050134	0.527316994945	0.641367432177	0.617347793422	0.702464619582	0.716023683297	0.598445293983	0.631944433135	0.796606999685	0.783076124428	0.680549309794	0.622501419917	0.670982744894	0.645448800794	0.645624008961	0.688906979566	0.625906094122	0.666546232366	0.739141813304	0.585500288331	0.61555273439	0.608618462787	0.641163077382	0.511883602289	0.593839307725	0.541796077957	0.68770499249	0.54570337512	0.577531245963	0.642078099773	0.625574870913	0.753683072977	0.620593353502	0.691342967162	0.666240023652	0.521624234362	0.540938154935	0.673635543699	0.527751086407	0.55676545111	0.655033665118	0.582849508655	0.602890441718	0.508698060087	0.618130160211
