CS.092	CS.277	CS.261	CS.104	L.005.M1	L.001.M1	CS.022	L.007.M1	L.002.M1	L.033.M1	L.006.M1	CS.295	CS.106	L.035.M1	L.012.M1	CS.062	CS.373	CS.122	CS.230	CS.056	CS.290	CS.064	CS.155	CS.076	CS.327	CS.060	CS.050	CS.377	CS.073	CS.117	CS.374	CS.128	CS.136	CS.232	CS.282	CS.203	CS.378	CS.041	CS.125	CS.376	CS.302	CS.380	CS.236	CS.375	CS.292	CS.182	CS.256	CS.183	CS.254	CS.323	CS.349	CS.359	CS.268	CS.181	CS.372	CS.177	CS.369	CS.389	CS.348	CS.214	T.CS.029	T.CS.012	T.CS.003	T.CS.071	T.CS.016	T.CS.067	T.CS.035	T.CS.014	T.CS.089	T.CS.056	T.CS.079	T.CS.022	T.CS.040	T.CS.034	T.CS.020	T.CS.100	T.CS.144	T.CS.111	T.CS.125	T.CS.107	T.CS.118	T.CS.106	T.CS.122	T.CS.139	T.CS.132	T.CS.153	T.CS.108	T.CS.167	T.CS.115	T.CS.126	CS.242	L.034.M1	CS.088	CS.356	L.024.M1	CS.237	CS.246	CS.085	CS.103	CS.087	CS.241	CS.015	CS.006	CS.110	CS.082	CS.189	CS.212	CS.187	CS.164	CS.150	CS.363	CS.330	CS.233	CS.336	CS.207	CS.387	CS.347.0	CS.078	CS.113	CS.308.0	CS.321	CS.202	CS.318	CS.223	CS.322	CS.112	CS.158	CS.320	CS.319	CS.285	CS.163	CS.194	CS.339	CS.227	CS.331	CS.270	CS.255	CS.326	CS.370	CS.145	CS.253	CS.393	CS.262	CS.390	TFS.027	T.CS.008	T.CS.031	T.CS.036	T.CS.043	TFS.022	T.CS.049	T.CS.026	T.CS.061	TFS.020	TFS.025	T.CS.066	T.CS.055	T.CS.045	T.CS.064	T.CS.158	T.CS.095	T.CS.166	T.CS.141	T.CS.142	T.CS.151	T.CS.157	T.CS.152	T.CS.109
CS.092	0	0.56828601899	0.513355616191	0.528998098183	0.604052280087	0.514232257091	0.606014618036	0.576715307701	0.68047173481	0.653078651546	0.541433657996	0.642888744562	0.49581688596	0.642037386018	0.581329177855	0.520126879053	0.606133377571	0.507615889355	0.711453806598	0.667054619744	0.696847669514	0.547733328605	0.584236971779	0.567070069444	0.638169803966	0.591079902587	0.618198093839	0.643287342892	0.61428925207	0.544159167526	0.659196060166	0.623567617984	0.591113103636	0.49515727799	0.697221577942	0.606322550755	0.676799218342	0.64321252036	0.679071408911	0.685802576893	0.741403456914	0.578036983713	0.663355643246	0.660263885471	0.584947725009	0.593766486815	0.685248934455	0.735375067333	0.668657771033	0.646964646825	0.626331686427	0.716917786465	0.650789053279	0.623345242799	0.649225190029	0.695415654199	0.707620483077	0.654730354141	0.591738472776	0.670444852633	0.582809873902	0.722129478607	0.569617206366	0.603326830998	0.620436220204	0.608119981718	0.599238825429	0.586035883882	0.624716207973	0.638676358488	0.714282923245	0.629002055385	0.531479062685	0.594093843981	0.533425738196	0.530357503929	0.571729634501	0.602159750448	0.606137089922	0.556008494288	0.590652759768	0.539167478198	0.54575648848	0.520666067991	0.508965041375	0.484075124899	0.515744665592	0.574525143	0.497169342624	0.536246690706	0.52653904146	0.593984568236	0.688460773909	0.720201543958	0.622919932144	0.592659250223	0.541748672278	0.463482779866	0.523633132035	0.600879771105	0.558792700511	0.603814736337	0.553460313781	0.609555129019	0.381231409451	0.637626466807	0.72596893691	0.638772323255	0.669766315616	0.553939682913	0.67326568105	0.660774690639	0.501828490837	0.656732505455	0.670734957167	0.652993988833	0.695398456686	0.645958654261	0.61500778455	0.655624653377	0.593493751408	0.684868211098	0.683343747902	0.665061923544	0.709915295112	0.602706429179	0.587426103903	0.640686665609	0.678793406496	0.712063137004	0.613202367315	0.779107459978	0.694601478764	0.789587030533	0.566747896611	0.675354019264	0.622330555921	0.62054539779	0.672338435479	0.617255196138	0.721671558201	0.668899684752	0.688170547681	0.663588797632	0.617278145984	0.703196532457	0.618978984255	0.526778367554	0.620642862626	0.538721572488	0.69046480528	0.731156729295	0.651571936485	0.533607678267	0.659787586309	0.556482400771	0.597739496367	0.629217257793	0.575846798215	0.542670786413	0.549419509684	0.590435027623	0.646101910726	0.649941842511	0.598338873548	0.592840224041	0.587925061541	0.530421671606
CS.277	0.56828601899	0	0.502774909904	0.559097488548	0.566028080476	0.577827214163	0.591344643138	0.53221635144	0.610231378842	0.597874445257	0.551858395992	0.564167900018	0.577538263745	0.560632759099	0.547217941778	0.534060505291	0.535807163907	0.565515680615	0.651958461053	0.611262781113	0.607408315003	0.583678682624	0.520483537906	0.596824416561	0.565399099399	0.584830934008	0.626383911026	0.612284619267	0.603247584162	0.573004388412	0.613300347629	0.532268509225	0.584919355006	0.559586474176	0.623499069442	0.558074300614	0.648543060377	0.630658886471	0.603718134947	0.585957608356	0.645876981014	0.514135323666	0.668029977954	0.562904852679	0.563574360849	0.546562678686	0.593016911055	0.670859047153	0.598675691834	0.584541687076	0.559475619519	0.685138153761	0.640756017852	0.578035281378	0.587438667243	0.630072909511	0.677792776556	0.598220062507	0.565239566507	0.584108381947	0.595120974683	0.628727933206	0.524074924871	0.534584422679	0.525034861763	0.522319329346	0.517807718759	0.546276077097	0.571445582722	0.613154219584	0.595125674225	0.545877150968	0.51172327791	0.525426603299	0.574910779726	0.57911451868	0.536700059945	0.516629758456	0.510082807785	0.538285373031	0.500809656953	0.548268463804	0.516924349065	0.559638732899	0.555176959543	0.562676462208	0.559166920328	0.515458656224	0.550601372423	0.520900390849	0.497638550069	0.563029336414	0.632514785632	0.652381507646	0.582431471279	0.604249277624	0.527957093835	0.554386930833	0.568089407681	0.619890262903	0.546963327716	0.612861966252	0.532822698908	0.614601492921	0.582710932669	0.577700785403	0.63286555924	0.57098519053	0.696408199807	0.538911926761	0.583273735875	0.58387975149	0.596755143421	0.531838424406	0.605453571538	0.545429518199	0.635031984544	0.581083455097	0.558312326559	0.639187546735	0.56973001322	0.627689992089	0.586341173095	0.568369321582	0.621877898368	0.583219840375	0.610145455179	0.548735521453	0.57104404004	0.661388677395	0.621603845942	0.678860535518	0.605002908909	0.717717108048	0.515873872841	0.587222210212	0.551463980764	0.579034695677	0.597320329243	0.558698228567	0.676458175407	0.634589230664	0.580975179464	0.607826016607	0.536357689646	0.570907884875	0.532866576379	0.547844955518	0.548458606343	0.52560011287	0.586165520802	0.646643624081	0.551247929794	0.533349300952	0.544048305064	0.5526709497	0.552531310198	0.558804406986	0.52759099807	0.517770450593	0.547813264553	0.557570240897	0.570727332206	0.585435077919	0.541752481102	0.548996742122	0.53402855047	0.541923630159
CS.261	0.513355616191	0.502774909904	0	0.52734934099	0.481881441163	0.535509284638	0.645967692557	0.461047239753	0.64303205924	0.612825127411	0.511914764535	0.586866462009	0.579143173683	0.565289144421	0.511713935087	0.520832199168	0.593980025077	0.536100820788	0.722408904058	0.676207719951	0.665571445009	0.571915753306	0.508148490018	0.658147435232	0.578290793189	0.615095107133	0.673891596353	0.667449923004	0.649745622498	0.570375378954	0.666914643421	0.567020928698	0.626186940475	0.535440492768	0.681815818634	0.524849026376	0.701281427711	0.671419355701	0.650026751358	0.641578027766	0.731915718775	0.487904683179	0.692364716699	0.62281200844	0.594010887952	0.569290490125	0.637339265557	0.737150772867	0.64193212862	0.599551028499	0.601244157722	0.728978411938	0.665096169895	0.615404201146	0.623175470803	0.668572470474	0.743128702745	0.644757943952	0.565064555089	0.625290439736	0.609551693587	0.675600408771	0.436501622375	0.508630729064	0.514102576173	0.51689788211	0.500196784484	0.541701877717	0.560036914406	0.630844195854	0.681844019712	0.564125103901	0.440821572701	0.488040411088	0.469305563285	0.523572501597	0.44727669084	0.469605052867	0.519093642702	0.440553721435	0.53265781029	0.416199582634	0.450902930454	0.45428585335	0.447522667481	0.445954239253	0.403576623605	0.472578257456	0.430840598506	0.45394502623	0.450719724763	0.56682795362	0.654520868128	0.695474227463	0.543752577749	0.668350809315	0.484684838303	0.526180203405	0.54529703333	0.614294025458	0.467918305707	0.57550605518	0.537829684745	0.637530738902	0.531190047929	0.631250337202	0.661804593217	0.614775919441	0.743357125159	0.559225941692	0.641986873397	0.631467774094	0.59654357319	0.579490316576	0.684998164424	0.583448369764	0.711211928613	0.572805691475	0.535824649219	0.700621603641	0.518640259921	0.636621345053	0.652424802453	0.641023755058	0.676978940658	0.649687824802	0.65820840283	0.575593951751	0.648895764802	0.745832673254	0.663268758166	0.744904334743	0.642082717249	0.794261194978	0.549974958651	0.649763299232	0.571597340837	0.612955946508	0.633697705337	0.562510996776	0.745963036413	0.670767440846	0.657402000411	0.650438168035	0.489212081618	0.569280197451	0.511280034602	0.540943416318	0.523484910655	0.446366446324	0.65264670944	0.713482224678	0.56380664533	0.445898776696	0.569631745288	0.474622634249	0.506820680179	0.54525751286	0.47104285723	0.437324063138	0.459838475378	0.482145120634	0.535310198058	0.55424064956	0.48703014761	0.520367834134	0.495062000328	0.445667995597
CS.104	0.528998098183	0.559097488548	0.52734934099	0	0.567973024709	0.57707501261	0.554136854994	0.5835314258	0.651515854376	0.600605907614	0.550362591526	0.562252794008	0.542812590884	0.571799890774	0.579704817141	0.501992534981	0.575390277323	0.529120735251	0.6452527748	0.625861815716	0.619714140606	0.537445494589	0.570436036956	0.56519670559	0.568103315446	0.575258997306	0.631737347299	0.621841120239	0.601528348002	0.535084869012	0.619643560331	0.536969229524	0.546277378539	0.540166800314	0.640699516128	0.533854423721	0.653514594952	0.607712261333	0.614296060449	0.604793507429	0.690383114291	0.53733755415	0.619315323724	0.565062115136	0.542254403395	0.591763468241	0.625712606154	0.690233997907	0.623402333309	0.601399267084	0.602797307168	0.685199623362	0.619770942561	0.602492942391	0.607561542662	0.656798362649	0.704303854667	0.608055447628	0.591308122865	0.606117758215	0.57920726439	0.672590263902	0.540363236525	0.554067875047	0.565240993905	0.545250266757	0.54461703484	0.571425887415	0.578944814187	0.609685810186	0.650690971457	0.55015509643	0.521949238319	0.524936115163	0.587500888611	0.576140047242	0.552582309225	0.542874587299	0.567254687604	0.543713124467	0.5866918384	0.582626040898	0.529545914351	0.574193838661	0.602423822896	0.563915618514	0.58686975656	0.549793695456	0.576295588138	0.523875855306	0.535499214573	0.555768990376	0.592113394636	0.647033262825	0.575109997849	0.585713038944	0.542225308562	0.523258399037	0.534515225628	0.538232398926	0.523528787625	0.558776782218	0.511456600884	0.589614623974	0.536394659477	0.624700981577	0.631696411533	0.591700278953	0.67596558901	0.572933293278	0.617333641405	0.615911886785	0.571618197333	0.586129668772	0.650852967738	0.560458318685	0.63331731047	0.543710360389	0.499290442548	0.611035628961	0.511641097573	0.636822426172	0.614827097757	0.622977153599	0.663728113031	0.575076773746	0.571482883887	0.57227713251	0.605091491961	0.63602198442	0.574708235268	0.723154900087	0.609383904107	0.728552164422	0.565848693874	0.634022430258	0.589918219432	0.61116830764	0.610444092809	0.553479008705	0.706087460489	0.606200688848	0.639063534905	0.601408479458	0.543798436209	0.600180740071	0.562909051102	0.564652055616	0.548950426477	0.547024486173	0.635700398837	0.699852243296	0.562418081519	0.551256972999	0.564662769002	0.558874619904	0.539242227706	0.566031329661	0.527451867293	0.532025591414	0.587214978246	0.541180998539	0.575343796878	0.578241396669	0.572793305878	0.567445680912	0.526553287032	0.556559580248
L.005.M1	0.604052280087	0.566028080476	0.481881441163	0.567973024709	0	0.59810173766	0.657737122929	0.390179823011	0.675179688168	0.587798398481	0.526263023648	0.614815189057	0.624091561468	0.615322327666	0.505859712232	0.548070652902	0.64406955169	0.554344263493	0.742227511095	0.732480407004	0.696426182491	0.640934617072	0.591619459299	0.69515970119	0.568041051563	0.637998572239	0.691398482127	0.737236406007	0.675895389471	0.591693647413	0.681641501422	0.625487975842	0.675692280642	0.59519432061	0.712623033209	0.526836728016	0.708192684742	0.692308028819	0.686516945681	0.685877483267	0.74041744101	0.535622026526	0.744792293265	0.650391110156	0.651307222477	0.641920162799	0.685941102076	0.766436870091	0.701113207025	0.67689599835	0.673476808581	0.755347404345	0.722754640557	0.680689374552	0.682837467657	0.713724501397	0.785473788529	0.704104460495	0.662770196832	0.685344732182	0.663331239829	0.697028782512	0.431574043543	0.527970276964	0.589722162061	0.511667206266	0.554658608529	0.568684878586	0.591363220899	0.6389553038	0.704889506414	0.618684304682	0.492524064042	0.517154344484	0.537724169921	0.505624223441	0.435755963209	0.464224608733	0.511145165826	0.452051626311	0.582012836704	0.441025011646	0.488874684048	0.451414719047	0.540219938427	0.521855138932	0.474725234737	0.436331858179	0.496959810678	0.507167370595	0.494078019527	0.572105888982	0.638883089851	0.698888779602	0.471278020676	0.684707001766	0.542594482881	0.58409982225	0.582598411405	0.577212735983	0.504683457533	0.524220739841	0.504323281988	0.67101029769	0.601019477842	0.674535072821	0.668844443936	0.675227797379	0.760165656616	0.625326196061	0.692293813765	0.667383558671	0.614566644201	0.628924779981	0.716417680359	0.627715936453	0.714039338831	0.576893186666	0.554234616297	0.740974434229	0.507640628692	0.671571088424	0.681181878438	0.693017522699	0.697775806925	0.682020850575	0.679875455723	0.614729260928	0.678361294693	0.761482585962	0.691526483151	0.750748882668	0.654273895355	0.792147233638	0.610825495844	0.686525249642	0.643211384456	0.65134385365	0.686355730364	0.601397742644	0.76676564922	0.706757760937	0.691202929228	0.690025223791	0.472391318473	0.578107236944	0.535250406912	0.582138999721	0.46994096677	0.479621899557	0.645037256654	0.730532675148	0.58497637267	0.47710349953	0.556318030343	0.473383576922	0.512929170719	0.557244613298	0.507561113869	0.469561376123	0.421791601287	0.484597992573	0.458748057708	0.457786125003	0.431406468203	0.492204678617	0.506951699452	0.449416991553
L.001.M1	0.514232257091	0.577827214163	0.535509284638	0.57707501261	0.59810173766	0	0.634423624686	0.59519049569	0.667634445798	0.640615829774	0.559347156723	0.653416660383	0.534929036121	0.622014933503	0.57462813063	0.560491373617	0.608989206843	0.551539183712	0.70727731203	0.680619897155	0.680005942075	0.556580407322	0.591845377509	0.641572007401	0.609683838427	0.637066708953	0.631621089186	0.655524395035	0.62568223859	0.566927311544	0.660939171832	0.623262286791	0.60560327603	0.544775225116	0.692350143051	0.587038440064	0.658037549506	0.60688189381	0.674023452252	0.670727978769	0.740557986723	0.568072988554	0.648849286425	0.639977047506	0.608106307554	0.613699777935	0.67385979108	0.718877020999	0.665222855706	0.657975131905	0.629254031008	0.732784993023	0.644374323124	0.644883717078	0.664871236273	0.691014450357	0.711287149179	0.654817647123	0.61053251134	0.683448605071	0.57744976321	0.711372455112	0.57490373919	0.585147259749	0.586175831798	0.572412157958	0.583712964189	0.566249696634	0.600029659415	0.605407514968	0.693764444963	0.614832067322	0.56147414716	0.574882876042	0.546837842529	0.565852308743	0.59142691884	0.59054228902	0.59899951418	0.576219102747	0.597584997487	0.58319603539	0.574548963408	0.572303878399	0.573635256822	0.525791786709	0.5508312393	0.58482676496	0.540373204813	0.567259294841	0.53354295873	0.616225301061	0.689629663299	0.711752532283	0.618568900937	0.634837241272	0.550884137829	0.52084851022	0.562166974944	0.621401851026	0.605593563603	0.618992973152	0.593881515155	0.62384332867	0.532562433426	0.631833017493	0.71224633767	0.644620792205	0.691187746003	0.571477958814	0.648898051517	0.659470906115	0.570041910648	0.614914292695	0.678663242788	0.627674792088	0.698737926064	0.640180052221	0.620811743212	0.667278020586	0.586906489548	0.646991341443	0.667758493996	0.665172590416	0.692730994377	0.611083808143	0.601868770485	0.619548115303	0.69013396361	0.728170850353	0.627655975878	0.751941519834	0.681960193853	0.796572635457	0.581509345828	0.663200343147	0.608917291121	0.624858333167	0.663127984644	0.631978897485	0.693526335938	0.650368906401	0.681622414666	0.665326649783	0.597643568172	0.634672491922	0.593661989089	0.531063606562	0.595403697364	0.561507829211	0.658213717343	0.695850256277	0.632585997283	0.561215806274	0.645560539223	0.578663832347	0.602948114375	0.604014592326	0.582714582268	0.573155563955	0.574499206362	0.589199915581	0.612368927687	0.63109955491	0.605413279214	0.592583274391	0.566536613092	0.578170085755
CS.022	0.606014618036	0.591344643138	0.645967692557	0.554136854994	0.657737122929	0.634423624686	0	0.666766983805	0.635292627312	0.611422585713	0.63585081353	0.633019077639	0.56890810782	0.602604453637	0.626768891873	0.582809169606	0.57337539341	0.584913998349	0.608726742535	0.583240897682	0.591639492802	0.604184550968	0.636122266966	0.552648850876	0.611364184351	0.552160460106	0.566497850265	0.619145995559	0.591873413231	0.594783601292	0.613983948731	0.612907595362	0.558689448035	0.594864098165	0.61239570935	0.646848674873	0.614159088793	0.568220709184	0.585984533724	0.577091005504	0.648033340875	0.648821049531	0.619273867248	0.609839890046	0.574163264533	0.606566289372	0.624886412284	0.645308023248	0.604253019289	0.632898974706	0.624116834871	0.646189622881	0.61894292415	0.594914465917	0.602758052962	0.635787611748	0.638540376299	0.61083889927	0.608773552402	0.619732740272	0.607409744062	0.679111860427	0.656980073505	0.651933260497	0.639343609514	0.620801917085	0.628207793843	0.613568460865	0.626612278362	0.62118339274	0.596980641434	0.624687392836	0.607925410832	0.639748392177	0.672054857535	0.656848354634	0.660860085571	0.620838667369	0.60897420302	0.655159432857	0.596028357666	0.681777857073	0.63642308433	0.670792325762	0.675788729406	0.645360503792	0.676268164509	0.635524935653	0.669983602088	0.637552959142	0.612128829327	0.597591049719	0.611712921903	0.655367252122	0.635123900237	0.5379488735	0.62066330419	0.592437292746	0.594418388731	0.583999229177	0.645448233253	0.632699957516	0.53067302263	0.551676843701	0.615625999823	0.580961440927	0.645427774159	0.587207522609	0.602590250386	0.579027211182	0.596263529435	0.600786895567	0.616023276955	0.620601334686	0.614987799144	0.593004168414	0.593546080171	0.608425594177	0.594822072189	0.588273428462	0.62084462199	0.666463146207	0.604307348665	0.592144540092	0.622104037818	0.550515832275	0.540395645564	0.589637515168	0.60497773504	0.601035398755	0.554623407844	0.673446226108	0.627405947588	0.66660331915	0.604016710535	0.608659994552	0.60644131432	0.599299827097	0.614347343822	0.633603003377	0.672500162501	0.62603638954	0.610254372293	0.583541872375	0.64167038883	0.653412500667	0.605726953292	0.610628506623	0.636575541286	0.675035895484	0.612272195861	0.64702105753	0.62870366734	0.652137160449	0.634681766288	0.665984863019	0.595657130594	0.628260289891	0.627187009162	0.652638997502	0.676137728946	0.639781519361	0.637667329649	0.638372419471	0.652529493766	0.604730322435	0.630532878195	0.664877427817
L.007.M1	0.576715307701	0.53221635144	0.461047239753	0.5835314258	0.390179823011	0.59519049569	0.666766983805	0	0.678176508569	0.603215056619	0.540316090503	0.609530764952	0.619642887782	0.588502196181	0.481237459548	0.5522904834	0.626747751441	0.561989271637	0.738225195942	0.726163561593	0.688284031189	0.642685754562	0.56640158175	0.687725595593	0.575757314909	0.634890117881	0.686957715379	0.725548132765	0.680658673526	0.590905351708	0.693614053037	0.607480373744	0.676522108846	0.581787033122	0.706105937859	0.553595181158	0.716479311647	0.706629850308	0.681689476281	0.6925308795	0.7339052004	0.53259396906	0.758395818396	0.640909509367	0.647782059548	0.619972490419	0.682134682509	0.772432776294	0.68282164575	0.667302810532	0.668661341423	0.748581178042	0.716186373389	0.649374391457	0.671431711264	0.702814232151	0.78246085794	0.68475543604	0.637548797705	0.657750584023	0.663707363429	0.688921652701	0.427024412832	0.528044516248	0.580355068442	0.49992632092	0.541546756048	0.576151208177	0.585884190251	0.625634930035	0.696967014048	0.606043331886	0.480424948199	0.514785511931	0.494311948345	0.533144364835	0.444914276349	0.461941409851	0.497801457602	0.455186232454	0.548061451488	0.399727321149	0.488771617151	0.417140132387	0.509775748212	0.500322070055	0.42782775616	0.412530392245	0.454317981711	0.507079316074	0.496725621972	0.590125228343	0.641132511823	0.690196023402	0.463497652414	0.694311366777	0.543864862551	0.560527903129	0.576364508964	0.580752783646	0.510469791654	0.532166439893	0.504436781698	0.678061650087	0.583642372233	0.643508456876	0.661759201477	0.664315306757	0.763883740396	0.610255332332	0.684061188744	0.649440236481	0.608040949165	0.606476025441	0.68865858745	0.615935844951	0.70510473015	0.585465794761	0.550463332942	0.731522998996	0.531140969403	0.655046335092	0.676116413309	0.675526342108	0.698207187851	0.684262007527	0.682244511081	0.603410016351	0.678991685373	0.757073694419	0.701288125035	0.755519639716	0.654790186716	0.796834452538	0.607843863865	0.678532079543	0.632083792289	0.632739344755	0.682225190734	0.584283872612	0.760020822351	0.716182195783	0.664676253032	0.683621648345	0.483049011517	0.573898279435	0.529202791136	0.554065883977	0.499992378041	0.467141923938	0.623841135005	0.725886382178	0.571983377287	0.444375160249	0.545729594426	0.457678339545	0.507962536436	0.54344389198	0.493493868934	0.476293811267	0.418192586608	0.489240625651	0.448949725444	0.456168119419	0.411694547742	0.489198228167	0.503498008019	0.428106593784
L.002.M1	0.68047173481	0.610231378842	0.64303205924	0.651515854376	0.675179688168	0.667634445798	0.635292627312	0.678176508569	0	0.611351362165	0.640790893311	0.644224206602	0.656245096721	0.551197915537	0.670431794866	0.652662355273	0.627278740796	0.66857034212	0.667982325606	0.648894021081	0.618120276963	0.657720455612	0.611268791404	0.644254594747	0.660604688885	0.626985078395	0.636708237572	0.663023807162	0.624199703776	0.661632175366	0.61263531232	0.627460468284	0.656829641241	0.660060469605	0.645048195323	0.649426479408	0.668649384503	0.677281846309	0.625286933451	0.595402019799	0.692543865418	0.632347201719	0.663653035767	0.605227990404	0.631015426765	0.626083861953	0.603756399223	0.642472842789	0.620066901835	0.640632675747	0.627492753535	0.694253640304	0.642334312856	0.6411865235	0.600187268633	0.592205369794	0.689448663976	0.627674558807	0.653036746794	0.641463448744	0.645538620397	0.681119282431	0.642362376666	0.681490016915	0.625308724245	0.628898393709	0.65549328434	0.647108077942	0.649056445337	0.643808139875	0.575782281006	0.660555895927	0.628153123429	0.658169390575	0.679746059587	0.673305686464	0.674820468269	0.61683747971	0.636424361083	0.655726717001	0.598090230991	0.692691567104	0.645761674494	0.684871667176	0.672840122591	0.685027095685	0.681593509513	0.64357273898	0.676748580476	0.653074081201	0.63240610701	0.609139330676	0.680883638997	0.685974201292	0.669342091192	0.63608688284	0.658057015255	0.652092154566	0.651376848816	0.669309235997	0.654705589318	0.673718068711	0.654592287303	0.626346308969	0.688988205826	0.658090750314	0.696565059859	0.611172204016	0.692815276661	0.600339825298	0.605450035357	0.621569613263	0.673579898836	0.656050904689	0.642704538017	0.600041185168	0.633209292984	0.640172299091	0.633305799625	0.650760700197	0.670803793674	0.700911555468	0.628738905138	0.642696973786	0.624896649371	0.630579140837	0.632064889698	0.629006583713	0.62248912794	0.678929621301	0.666151586056	0.66890271868	0.654380697792	0.682323095543	0.611100494056	0.621261194884	0.59399752945	0.624420203544	0.607460599751	0.609350066976	0.68842637361	0.664634394526	0.590144173374	0.614996484573	0.658316830372	0.642311683672	0.617187138622	0.643016220285	0.652348041924	0.662637885097	0.6149431342	0.673211586848	0.651429312163	0.65827828182	0.638274418151	0.656638362842	0.642904023858	0.639474883835	0.609330401046	0.646087781856	0.684397602752	0.639852245717	0.639871154744	0.672530037508	0.642689344503	0.663003302937	0.645188187333	0.674553341995
L.033.M1	0.653078651546	0.597874445257	0.612825127411	0.600605907614	0.587798398481	0.640615829774	0.611422585713	0.603215056619	0.611351362165	0	0.636772558038	0.625833156696	0.638881571595	0.594217378528	0.63767628844	0.587951532	0.625978699077	0.594634946892	0.647614521952	0.687029903032	0.660840941546	0.638128154748	0.647892330278	0.636329134115	0.592672992289	0.597974392496	0.632860158227	0.663211601371	0.605752859176	0.604215912631	0.642255709305	0.611394005727	0.629414744247	0.632688183318	0.6694046672	0.589596588117	0.652510946328	0.648548149516	0.647463072828	0.636801906248	0.669290652885	0.616129696245	0.677925971436	0.588219030847	0.646284360706	0.653453970284	0.671116166293	0.695945559898	0.651818876546	0.673493074591	0.665632839199	0.726085077036	0.666111138645	0.652334820371	0.67479643343	0.64961672195	0.716108063274	0.675246085569	0.65742082698	0.623042853726	0.641399144787	0.663760673014	0.583090583128	0.646191256309	0.622919574195	0.581434993413	0.611193783962	0.621891295432	0.652667291738	0.624293878097	0.632366877222	0.640045795421	0.566652434412	0.574044647281	0.664329241052	0.639914236601	0.611807253902	0.544545132036	0.583021020508	0.59553780298	0.630392672161	0.642224155531	0.616003627786	0.645337072557	0.645847090662	0.640086067921	0.633608747018	0.578340806485	0.63600487623	0.614346320071	0.604303735233	0.583022344761	0.571966134267	0.660823346163	0.577163095707	0.637846692239	0.60604171083	0.644229685512	0.632291990336	0.569572183505	0.614378425365	0.587719845614	0.563336891759	0.644802060878	0.647215273118	0.635345855457	0.651713945671	0.617384267157	0.691295506795	0.619545296671	0.63516533792	0.64189604126	0.640033435434	0.592748606001	0.655718156523	0.607379041966	0.659235152275	0.563064950837	0.561922828939	0.641074968685	0.561192951797	0.588933817418	0.666309907656	0.650311329196	0.671318003434	0.623095301277	0.636033502238	0.632723556652	0.669453216098	0.684889519182	0.619345830093	0.733234210835	0.587037578913	0.717831645218	0.642900847	0.663337393206	0.656069551725	0.626037401357	0.663423519219	0.604492497451	0.69844000747	0.648123805562	0.612715903516	0.671957603793	0.576213730253	0.587409324249	0.569545348403	0.623759781508	0.567210530288	0.613127530613	0.648232250456	0.671893051144	0.631167886269	0.611320738635	0.593321980575	0.585216014555	0.576034604486	0.59224898423	0.582129795193	0.592235965516	0.613180999022	0.580874022224	0.587510285908	0.581257121996	0.577281222701	0.556913182734	0.58068482385	0.615974225445
