CS.035	CS.084	CS.217	CS.172	CS.143	CS.313	CS.009	L.033.M1	CS.038	CS.001	CS.021	CS.104	CS.260	CS.295	CS.022	CS.301	CS.066	CS.377	CS.373	CS.067	CS.367	CS.368	CS.042	CS.072	CS.155	CS.064	CS.115	CS.388	CS.137	CS.056	CS.375	CS.292	CS.376	CS.136	CS.125	CS.205	CS.374	CS.224	CS.213	CS.282	CS.128	CS.302	CS.378	CS.203	CS.041	CS.182	CS.183	CS.177	CS.349	CS.268	CS.166	CS.129	CS.323	CS.385	CS.359	CS.369	CS.178	CS.254	CS.348	CS.147	T.CS.071	T.CS.058	T.CS.004	T.CS.076	T.CS.059	T.CS.056	T.CS.052	T.CS.085	T.CS.023	T.CS.035	T.CS.048	T.CS.012	T.CS.007	T.CS.072	T.CS.067	T.CS.110	T.CS.177	T.CS.097	T.CS.147	T.CS.129	T.CS.120	T.CS.124	T.CS.119	T.CS.178	T.CS.128	T.CS.115	T.CS.111	T.CS.125	T.CS.108	T.CS.122	CS.241	L.034.M1	CS.082	L.024.M1	CS.103	CS.238	CS.246	CS.006	CS.237	CS.015	CS.242	CS.085	CS.087	CS.356	CS.088	CS.311	CS.188	CS.187	CS.191	CS.189	CS.364	CS.207	CS.347.0	CS.338	CS.325	CS.346	CS.274	CS.044	CS.164	CS.228	CS.285	CS.194	CS.202	CS.319	CS.343	CS.322	CS.163	CS.227	CS.112	CS.080	CS.321	CS.152	CS.158	CS.331	CS.361	CS.270	CS.326	CS.255	CS.393	CS.253	CS.390	CS.262	CS.370	CS.145	T.CS.045	T.CS.061	T.CS.066	TFS.025	TFS.021	TFS.020	TFS.027	T.CS.049	T.CS.036	T.CS.064	T.CS.008	T.CS.055	T.CS.026	T.CS.043	T.CS.031	T.CS.151	T.CS.157	T.CS.109	T.CS.152	T.CS.142	T.CS.166	T.CS.141	T.CS.158	T.CS.095
CS.035	0	0.546553755128	0.516882224369	0.521990006096	0.579242241021	0.536466304914	0.642159882769	0.595553275387	0.590233451094	0.559237945816	0.616290049813	0.53455355057	0.635692807271	0.638614782107	0.601824257397	0.61777191343	0.539305840972	0.640958282292	0.610637286175	0.721897786187	0.728329646749	0.561687620222	0.586304639209	0.521156398152	0.597157450599	0.546378791906	0.617025019348	0.675517675062	0.578240492211	0.66224770691	0.58971409722	0.548314762985	0.648086914977	0.548350623564	0.660620534074	0.713736626953	0.632917191837	0.747877366478	0.670800575675	0.67212839535	0.596294021449	0.702336543017	0.658141725416	0.583941770649	0.590388477158	0.612805299468	0.709142104297	0.683010719228	0.63992219799	0.648435722599	0.668420545878	0.586452975456	0.6522940409	0.640403213388	0.715514519971	0.70783091667	0.60101961533	0.647966089055	0.608271919801	0.662580882956	0.56800767802	0.575971365562	0.575983491654	0.616429452965	0.574784945929	0.595237809165	0.623756181167	0.564196753032	0.710432937363	0.582673296882	0.591487201531	0.666413229027	0.6354423078	0.557486775984	0.561872925661	0.563737699553	0.59161936256	0.561822170072	0.568788991186	0.573983694035	0.582059142153	0.529239696313	0.616179412273	0.559634156985	0.619827447247	0.578519041869	0.574006835423	0.582806797794	0.576977665059	0.554016531421	0.547564754737	0.601485809436	0.534680830275	0.594638949192	0.526375929292	0.584297455783	0.559874182059	0.528613002027	0.585570085335	0.550686334848	0.541929453289	0.519633458712	0.575327219738	0.670775971652	0.636671376179	0.552791627704	0.6411754443	0.61113925433	0.536094582609	0.615780659285	0.706488296086	0.66707810968	0.658633818403	0.617864961447	0.74082872352	0.723649775409	0.665707576627	0.526327301585	0.670779021461	0.573476167053	0.691696640646	0.746895122853	0.608302669126	0.655064552921	0.662144283877	0.673325620109	0.580431192962	0.759162325558	0.571048007016	0.562231375134	0.557251779465	0.552893623168	0.59691795459	0.595323215392	0.64475803762	0.636689088356	0.63106618925	0.621918376958	0.628711760532	0.704437279678	0.646956021376	0.647378385283	0.654030340508	0.595619890681	0.571249995377	0.601442370274	0.564453403721	0.59190265617	0.587422791822	0.542076566219	0.566171793169	0.645685693245	0.567733467329	0.552642297014	0.618030642288	0.576229916307	0.71810566686	0.556418901102	0.563545502311	0.575722877378	0.571197358074	0.566461362685	0.540197982585	0.605154529572	0.548485539773	0.580254792617	0.564063948001	0.561156686757
CS.084	0.546553755128	0	0.529855767396	0.541595002959	0.584073067729	0.546049058943	0.654542103788	0.65264534353	0.625623478967	0.518740537919	0.623424002569	0.565613824216	0.627975458236	0.652127965308	0.607564394604	0.595314580587	0.582299591016	0.644782589735	0.594196617241	0.712504894138	0.732633031378	0.561739927889	0.647222341448	0.517139635591	0.581631909214	0.55013870904	0.610684639184	0.727125033744	0.614455626102	0.653787631037	0.647502538598	0.569490160431	0.669425020405	0.567376407168	0.683980655451	0.724500135555	0.659568335551	0.763697357741	0.67952526059	0.6902974964	0.637486230106	0.731043991296	0.672961459278	0.622969362187	0.589116664715	0.615046469123	0.719482745668	0.698878347195	0.625991060469	0.64634578824	0.669633656982	0.60291796041	0.634459123043	0.631723906979	0.738262301565	0.701184253991	0.621420840868	0.649605736007	0.600800318121	0.676552600617	0.583649562935	0.587482996104	0.626195267913	0.598763595907	0.549793860022	0.620307923382	0.652137435487	0.609974036152	0.730450949639	0.59764719851	0.611494672366	0.715645642745	0.66056715607	0.555368429243	0.596012447699	0.561603750836	0.557039476574	0.578404589669	0.57383883095	0.587552781419	0.593202024719	0.515075698286	0.52536710373	0.551324504031	0.552316814101	0.551646465764	0.609444293277	0.62171891541	0.568214339489	0.570667641872	0.566346601495	0.598294703109	0.486500095304	0.635089004629	0.54376959644	0.568822182243	0.577317706889	0.555213030262	0.587137778649	0.625111355851	0.540476812934	0.444795197456	0.617506501665	0.699212608761	0.686400214127	0.622907103714	0.720043494677	0.642670107848	0.562023676128	0.629639957168	0.720013008021	0.680095763524	0.670411087539	0.60494357505	0.757749262161	0.720949380679	0.70177504253	0.575072379782	0.654905628263	0.547602227686	0.71828627866	0.749124792842	0.66903960477	0.685972940802	0.695215348871	0.696855760825	0.596922650017	0.769445982722	0.554057422326	0.558794373231	0.609410411058	0.56190335014	0.579848512644	0.574835194211	0.683389969946	0.671442616619	0.622384824982	0.616164350806	0.650969883678	0.712118241538	0.663826941397	0.66410167126	0.650973166672	0.620400596764	0.615272875695	0.632296274538	0.575882382483	0.651937793673	0.630612281233	0.546366769113	0.612464907588	0.672665397661	0.512705726273	0.590242180563	0.663916724868	0.598172851204	0.703646801208	0.623291115371	0.587047124815	0.630143196237	0.594863881964	0.568042455588	0.588142286733	0.666945802962	0.603552411521	0.643545835095	0.580878564234	0.584767832027
CS.217	0.516882224369	0.529855767396	0	0.530899883107	0.573318425945	0.500740606688	0.665905012896	0.600900475639	0.56907921276	0.530499198269	0.621484921124	0.528391535409	0.645403845119	0.632779620312	0.624222000043	0.614874023707	0.551449887258	0.664273054799	0.613221754799	0.737039473576	0.724108695217	0.55760965908	0.647118562162	0.512496718857	0.612156919916	0.577675834983	0.638727784514	0.705480388562	0.596275115307	0.681611370972	0.64008531949	0.598256097982	0.677614598685	0.601588634576	0.686763767164	0.726369093964	0.672820019094	0.762311937857	0.707980770977	0.714869415948	0.618315974346	0.724282935123	0.696663314325	0.574045429475	0.64348543488	0.619775586139	0.74157681316	0.703283320648	0.646738163349	0.676349773363	0.692100013622	0.591195156831	0.65992631497	0.666224845784	0.723623882142	0.738382034251	0.613458555002	0.681149326521	0.637218659092	0.686398358235	0.557306519523	0.566498175594	0.59629120139	0.587438844403	0.58393066346	0.596593735457	0.653678680244	0.551780332969	0.720611629042	0.554008217548	0.581310364292	0.685788895545	0.660650200148	0.564181990175	0.552262045333	0.517909643546	0.538588167748	0.52766933591	0.507358068004	0.537761858459	0.546990131026	0.49637093994	0.569712152492	0.528426222022	0.596484570898	0.542259814043	0.517820915461	0.540623960872	0.52655871548	0.539517399654	0.512884039975	0.57908798214	0.539187915015	0.529126719637	0.55186739406	0.519700124705	0.532187496277	0.48779851908	0.624501303809	0.539523676672	0.526938236942	0.512015824624	0.568841199359	0.670319614722	0.621504875865	0.594582697206	0.683064305189	0.633106353267	0.52529597289	0.640995738436	0.7188970633	0.680502219214	0.669845212596	0.63923048297	0.76825212929	0.748266026438	0.684164019276	0.514525034831	0.676021267747	0.602617183368	0.723361869859	0.768205798945	0.655586363192	0.685989333421	0.69108661988	0.698719049804	0.60937100243	0.770456653224	0.617783878535	0.597513623718	0.538965276744	0.555343902368	0.627947029436	0.59436468186	0.675590235923	0.658490977465	0.645988968932	0.62574698903	0.664872520576	0.722978383611	0.681081317258	0.676666231699	0.675659507073	0.60366987153	0.565536474752	0.619157800663	0.488025242518	0.602173483554	0.565151167708	0.505120371103	0.543184033822	0.657060890861	0.548096732491	0.525558353292	0.630054108766	0.529167413192	0.705183593827	0.55921113146	0.558656797313	0.516388142835	0.531333839386	0.50396192622	0.529941530866	0.552097118346	0.53341356528	0.555520660971	0.504266553707	0.489802455242
CS.172	0.521990006096	0.541595002959	0.530899883107	0	0.572597852281	0.574857412449	0.586643651181	0.588072080217	0.525980772183	0.595280510619	0.595124650627	0.541043908796	0.609712426183	0.639798686566	0.57771664861	0.627952126383	0.492257498769	0.657281343081	0.584203966573	0.668912926233	0.676035171242	0.583788870703	0.583052408348	0.55520303548	0.622758668492	0.568936217449	0.626443045992	0.654907255086	0.613584421297	0.6545723806	0.579211249222	0.589162328956	0.624908303212	0.574044507665	0.65004367078	0.68016731229	0.639101897075	0.723646079202	0.643934073198	0.656421076861	0.632935224972	0.696327207378	0.617991478876	0.578339723152	0.594283866927	0.633013533673	0.698246590131	0.684215306265	0.654676975275	0.64985509166	0.683286212139	0.590176008943	0.661528944187	0.654398048907	0.685982030547	0.687923532862	0.62358034509	0.658736921109	0.641261798424	0.640799625297	0.607469846062	0.580246877175	0.593838566945	0.632444686449	0.561378346369	0.579999444004	0.653764171695	0.573012489112	0.68852419456	0.565683966157	0.586104457136	0.645643019925	0.637371133004	0.592180227419	0.567587010063	0.576905350747	0.594341343877	0.591400734257	0.610917816936	0.611153575765	0.593290271892	0.546992323725	0.615785803492	0.584030514314	0.620066266501	0.598550689485	0.57352570008	0.572715492435	0.616414271055	0.587034774798	0.576781465056	0.574018875464	0.544736335762	0.585408095356	0.557543087981	0.554135609864	0.559991396246	0.506917118132	0.570553039206	0.549137438336	0.558321575599	0.515128710231	0.526599599824	0.639385135601	0.602821868557	0.542507003716	0.64443244775	0.622036726196	0.565349767607	0.621269688846	0.678893003052	0.612763428467	0.605507544221	0.606342811692	0.7014748687	0.660338082127	0.638789123921	0.513741755149	0.639071833369	0.543655325079	0.66999378663	0.711696559684	0.609350693236	0.659800216627	0.638984744636	0.664394902586	0.546491194019	0.715605625093	0.535602029024	0.549947465411	0.542872794291	0.593955781009	0.546481638775	0.608560799903	0.62368115986	0.658273762444	0.606682196552	0.62173672142	0.635789718036	0.682630239837	0.646954720436	0.634268439543	0.663617475241	0.616452054451	0.56252545814	0.600036642142	0.567485777567	0.575191743065	0.611659819685	0.59194584183	0.58039701297	0.626534720581	0.566797452895	0.565322425288	0.605888037861	0.588061431436	0.67757068702	0.570747848038	0.548778842758	0.576570115419	0.545778703057	0.599845342429	0.578406772852	0.590544566493	0.586092441661	0.577179748107	0.57576324875	0.592031997594
CS.143	0.579242241021	0.584073067729	0.573318425945	0.572597852281	0	0.560217326799	0.596059599709	0.649568175796	0.605288947404	0.559796002101	0.569093861881	0.561109217517	0.60829989864	0.612501681873	0.589405483728	0.588263975392	0.613622878137	0.645088118575	0.569686369973	0.702316601804	0.685582437149	0.573987245308	0.613091290571	0.564172245	0.565967354326	0.579824208086	0.632283913412	0.712775827604	0.593949321687	0.605303668748	0.608652726269	0.562790278278	0.609236318858	0.585470116585	0.624732721354	0.670342992597	0.626716135258	0.719400910477	0.643759330851	0.647320485904	0.578152075919	0.685035377224	0.676179837869	0.600707330073	0.619968087739	0.59224960337	0.69262745573	0.638739508423	0.613649476998	0.636832258347	0.676382016283	0.604223414176	0.605514810165	0.621861062415	0.68487298148	0.684439933499	0.59934528554	0.621679407797	0.590275775142	0.625086494529	0.594675854066	0.595208360334	0.601397133226	0.56427960364	0.620157855942	0.642231779563	0.618779559394	0.600277603911	0.719158352777	0.578476529229	0.566787512192	0.693025447573	0.635240970812	0.578950872793	0.597651233435	0.572196252163	0.592459806806	0.600596770785	0.613788448129	0.606805365433	0.556871975907	0.592557411455	0.588622371902	0.584017647638	0.561292153833	0.587497547893	0.596244034562	0.559810506525	0.608548781008	0.567693689041	0.568205575416	0.552814781555	0.586364204813	0.611255107138	0.55224460121	0.537264167648	0.573848275574	0.538704225787	0.592484913242	0.613372020575	0.558918045956	0.469716208634	0.615632607843	0.656414022342	0.642079040353	0.597309190323	0.668315977763	0.612095399474	0.609132006185	0.633109733668	0.676152968654	0.657277086301	0.624830092407	0.609470840566	0.734302798865	0.681443395152	0.643033461572	0.564971520209	0.660193755251	0.579878656792	0.657668875437	0.715803066207	0.654794334969	0.61096026738	0.628123749198	0.653753700682	0.610142036691	0.733400099999	0.602192044735	0.578221973394	0.59577743412	0.566251623708	0.583650997317	0.566961074925	0.64582797245	0.622025465529	0.623392361507	0.595721656854	0.654504711957	0.708885957662	0.632712446651	0.624936023256	0.608451182222	0.607470893604	0.613656019243	0.594320053734	0.592396219901	0.606461903207	0.616572747009	0.583994077303	0.591252171354	0.621304215482	0.581260407171	0.565169085275	0.624466484115	0.589885428396	0.689277455945	0.62282093762	0.595766606447	0.605284267555	0.606844014458	0.5967031761	0.59071812923	0.635306717067	0.568942947461	0.62502585565	0.577155158703	0.608526341551
CS.313	0.536466304914	0.546049058943	0.500740606688	0.574857412449	0.560217326799	0	0.665949221892	0.612511172246	0.632755214689	0.509692461169	0.644722283651	0.565319041751	0.623578240713	0.613977183535	0.639582939838	0.596983117306	0.586472217767	0.682330468638	0.598983639998	0.763751569231	0.746037654194	0.537812156665	0.655765593421	0.500588584403	0.543456350707	0.584949294432	0.680488946313	0.718574318148	0.560486156908	0.705161462622	0.64597125113	0.591694676492	0.681835677209	0.634855015627	0.658722126859	0.71358531448	0.670260835993	0.76374399537	0.687466091374	0.691718754956	0.592316118378	0.739901133994	0.701442878598	0.564630661321	0.6674995311	0.582671170378	0.7599803275	0.698594557715	0.643098722494	0.683537881184	0.691307777702	0.59627028041	0.654950268911	0.661040140784	0.737695658436	0.753933956078	0.605056525768	0.66133099871	0.616887834408	0.67403022959	0.540638989109	0.567657120218	0.584300045877	0.569339460032	0.581471461987	0.631467123919	0.656645967387	0.542910203324	0.743453077251	0.572906309316	0.559003340156	0.693840308009	0.64575994572	0.529717828424	0.550878288566	0.462845811254	0.491605236328	0.493337576226	0.468035313057	0.508887291054	0.519427110064	0.483658191623	0.524933127494	0.481293143777	0.547376383807	0.465237809107	0.518511884306	0.53364736951	0.487499915534	0.491257673333	0.507771044761	0.565093007769	0.519289022392	0.52986100434	0.560390852785	0.555225200205	0.504593259246	0.546624774453	0.649306482988	0.564461276063	0.483635617193	0.525880026631	0.604767809151	0.693809934226	0.658235369826	0.616132413776	0.657864863586	0.635636272917	0.498577624028	0.638775981878	0.743915992572	0.679035518396	0.694427542231	0.620829716024	0.76259378724	0.763113375951	0.693102053761	0.559116316309	0.724935750116	0.618926740753	0.738746008629	0.759833138129	0.664969656072	0.661713932469	0.67433403683	0.695594991012	0.658638772941	0.790029320957	0.65846271487	0.611903352758	0.540508356141	0.521563086615	0.640434508291	0.551645181564	0.68054506525	0.671558142555	0.615091081697	0.613001909877	0.672463924333	0.734025716213	0.666602117711	0.670708322128	0.67680637691	0.598930983647	0.573268972662	0.59925395294	0.494640267241	0.591909949675	0.590995133126	0.482307704799	0.536637777444	0.643153646101	0.528484620755	0.524168666287	0.619134021488	0.535203897784	0.72286326063	0.542558460426	0.546131428732	0.500649630805	0.524760276271	0.435871775913	0.516917858569	0.54990906906	0.4828922518	0.550013016297	0.471813178089	0.447983560632
CS.009	0.642159882769	0.654542103788	0.665905012896	0.586643651181	0.596059599709	0.665949221892	0	0.630503815022	0.611103790288	0.663319865099	0.526763994828	0.590010450043	0.536950806256	0.634030001224	0.526145932054	0.601952673615	0.624712054855	0.606428113755	0.540512996769	0.615111736164	0.59473305734	0.62181058149	0.608537021503	0.643821507265	0.602699004704	0.645863894124	0.59578216406	0.664033418564	0.638617038703	0.597147419225	0.602487294767	0.578433419139	0.541918766906	0.560559363159	0.531801221913	0.58475121132	0.56145435054	0.642796401354	0.558015245483	0.581994844945	0.614979641279	0.603493442011	0.613109928489	0.639078787786	0.595514291737	0.595569404944	0.609839805315	0.60418926753	0.60544370226	0.639776321855	0.618463534988	0.612401384492	0.609215514712	0.602422238962	0.634202952391	0.627277305063	0.632850117688	0.592226084426	0.607911464799	0.55730589417	0.645113912396	0.638503144643	0.605923810631	0.617269541058	0.625656368166	0.631880405706	0.593618080939	0.64032544995	0.70521276582	0.641601410441	0.586708481215	0.660981209341	0.582675652413	0.654079071398	0.609987505276	0.652440722394	0.669553430455	0.689741177439	0.693221968001	0.674367504123	0.628146621735	0.649061504312	0.676946257309	0.657051516597	0.646083085965	0.680989404916	0.653106358779	0.618972179459	0.704632824532	0.645923813437	0.659568435171	0.579558938691	0.655688634315	0.661637953451	0.632411675115	0.620274437303	0.634799909827	0.59613992055	0.582546974503	0.664500505875	0.63281639909	0.621544069523	0.61471763074	0.627426857181	0.642821720241	0.603174440501	0.627948506657	0.552241030794	0.675253478718	0.58056765455	0.585165972695	0.597112595729	0.571883797979	0.586029867766	0.625164324812	0.613074342148	0.586271542679	0.612228111398	0.647220213558	0.577550430449	0.565940648244	0.580142356305	0.656777799921	0.56008943728	0.578799445241	0.554743040961	0.575734900148	0.632000894953	0.556702691127	0.577058096068	0.639040481081	0.635730578186	0.548960809737	0.593051098241	0.60242964483	0.592650881523	0.560966726213	0.57862009549	0.633567218902	0.647751538432	0.604833024523	0.5860174377	0.578349923625	0.61317226882	0.635024891151	0.614722126282	0.680959881044	0.606689432759	0.634291971661	0.667571069175	0.631320323359	0.565432275096	0.627140839535	0.635783302765	0.607836978109	0.632012233495	0.611766401303	0.659118007618	0.617434212085	0.659973354986	0.639711681707	0.691572907621	0.61774321497	0.642320277559	0.646819993239	0.656939960711	0.668117907362	0.700229509335
L.033.M1	0.595553275387	0.65264534353	0.600900475639	0.588072080217	0.649568175796	0.612511172246	0.630503815022	0	0.592481719496	0.65913656631	0.620160160281	0.600605907614	0.62180847536	0.625833156696	0.611422585713	0.662811464837	0.588509466821	0.663211601371	0.625978699077	0.683776960293	0.696074128316	0.616464552354	0.611913409248	0.607440727226	0.647892330278	0.638128154748	0.649141997596	0.688585840217	0.650585161993	0.687029903032	0.588219030847	0.646284360706	0.636801906248	0.629414744247	0.647463072828	0.692555840571	0.642255709305	0.725434829208	0.65548503029	0.6694046672	0.611394005727	0.669290652885	0.652510946328	0.589596588117	0.648548149516	0.653453970284	0.695945559898	0.64961672195	0.665632839199	0.666111138645	0.675629532597	0.636806592139	0.673493074591	0.663383194736	0.726085077036	0.716108063274	0.619565449095	0.651818876546	0.65742082698	0.639105889803	0.646191256309	0.594277304662	0.591246886497	0.637227213062	0.645272556589	0.624293878097	0.628145918561	0.573882257179	0.705367455346	0.611193783962	0.604722994606	0.663760673014	0.646427017957	0.634877509049	0.581434993413	0.618487895818	0.618029619261	0.630210899617	0.61617877497	0.605394972427	0.589951714081	0.599223458267	0.676821713608	0.63007274236	0.639743646869	0.63600487623	0.544545132036	0.583021020508	0.633608747018	0.616003627786	0.614378425365	0.583022344761	0.647215273118	0.577163095707	0.632291990336	0.599872468018	0.60604171083	0.563336891759	0.637846692239	0.587719845614	0.604303735233	0.644229685512	0.569572183505	0.660823346163	0.571966134267	0.579869917198	0.632165124616	0.617384267157	0.607204656575	0.635345855457	0.66335719356	0.655718156523	0.659235152275	0.661818979383	0.719401098233	0.729053336763	0.65203553755	0.587608976939	0.691295506795	0.628964320818	0.684889519182	0.733234210835	0.588933817418	0.669453216098	0.652450087859	0.671318003434	0.619345830093	0.717831645218	0.623095301277	0.605166703903	0.561192951797	0.60031583782	0.636033502238	0.642900847	0.620794342109	0.663337393206	0.626037401357	0.656069551725	0.648123805562	0.69844000747	0.671957603793	0.612715903516	0.663423519219	0.604492497451	0.59224898423	0.631167886269	0.585216014555	0.593321980575	0.563847231018	0.611320738635	0.576213730253	0.648232250456	0.623759781508	0.582129795193	0.587409324249	0.576034604486	0.671893051144	0.567210530288	0.569545348403	0.577281222701	0.556913182734	0.615974225445	0.58068482385	0.581257121996	0.580874022224	0.587510285908	0.592235965516	0.613180999022
CS.038	0.590233451094	0.625623478967	0.56907921276	0.525980772183	0.605288947404	0.632755214689	0.611103790288	0.592481719496	0	0.673444605356	0.622052923168	0.56420632761	0.647031125402	0.627774478202	0.591090879273	0.688915056836	0.518164327775	0.701256403874	0.651770043949	0.685931146157	0.700298394329	0.628081283172	0.562719369479	0.616477609396	0.680981366874	0.628022917876	0.653759498641	0.652275917518	0.636136088519	0.658666633891	0.58717103376	0.647880252351	0.644378016819	0.635921181515	0.664624441451	0.71307370828	0.667886428206	0.727361790971	0.647259120987	0.709110439488	0.623604274623	0.699804608311	0.649792805929	0.559526837153	0.621293085833	0.666298486257	0.716447156377	0.670968508571	0.6830024052	0.691776302697	0.699967761264	0.621706734676	0.693665510885	0.69073406795	0.709503628504	0.718540965444	0.652036692453	0.69045877889	0.681694081424	0.648355647868	0.621713062323	0.589121244743	0.61486810622	0.679331070204	0.617924933343	0.573687294354	0.677208857157	0.593301557505	0.707816879163	0.588533657448	0.589320241801	0.657734112785	0.653778122253	0.635790581538	0.579106865558	0.625236409246	0.626120439902	0.617062076067	0.642572758094	0.648040569934	0.590384698921	0.612341748537	0.680117085682	0.644061935739	0.679750373278	0.649672312791	0.58148529019	0.60571716084	0.653527574325	0.628943884537	0.577303333726	0.587356132069	0.64229029331	0.610899385332	0.608201808958	0.563787294469	0.60129251927	0.552378418456	0.642717331999	0.554297736683	0.601892678024	0.62554840771	0.513678521256	0.660184134078	0.553756264671	0.56414662081	0.651470506156	0.662765689562	0.596764367122	0.669250898525	0.697966424612	0.668944361581	0.656951753789	0.664982109838	0.726712721085	0.696506411851	0.668049603374	0.524361891273	0.655759885956	0.604136200704	0.684674597611	0.7254713469	0.60910517548	0.66863967781	0.682554257443	0.684369578176	0.610836862277	0.736159831281	0.602645670735	0.59265040114	0.551536066465	0.636923642873	0.620506773932	0.675882631422	0.622936140405	0.683841832175	0.672465608123	0.671428931235	0.633525566314	0.718015823226	0.678276907978	0.64291908768	0.658407476175	0.625390690353	0.595695275287	0.581749985932	0.62869902613	0.600082309319	0.611459476627	0.636949472211	0.577030482367	0.648635331824	0.643356068203	0.577889420402	0.578118425602	0.609807009013	0.706325063604	0.594358706501	0.577076064037	0.579503387823	0.550469752086	0.635168121496	0.609227033845	0.564196286073	0.628072452648	0.566086657375	0.619464719541	0.634895553445
CS.001	0.559237945816	0.518740537919	0.530499198269	0.595280510619	0.559796002101	0.509692461169	0.663319865099	0.65913656631	0.673444605356	0	0.626531899909	0.560978325139	0.623623194281	0.632974915989	0.628206935877	0.573214786651	0.614083384647	0.634781082251	0.608097441796	0.762299403502	0.763447242571	0.54256589464	0.668172092855	0.540151228936	0.544829511393	0.560523708453	0.664034325642	0.766126301954	0.580419171157	0.653889655734	0.677881237474	0.578050804428	0.681829427634	0.60570911331	0.674030764903	0.720868313458	0.666145578132	0.781933689226	0.698115576217	0.678343654841	0.603789707674	0.751380382352	0.706983464557	0.588698324667	0.648006178704	0.592396185804	0.726649646696	0.714100426761	0.611499453045	0.65317907594	0.673811957398	0.615491669562	0.608148162964	0.614929477718	0.737607201679	0.722290235907	0.628088440294	0.657908238177	0.563412322756	0.665007533604	0.584135119219	0.595914937406	0.643634213703	0.563521657109	0.59527985664	0.684154710412	0.654490830514	0.585480766726	0.795987320252	0.585425731149	0.618035757692	0.75046216034	0.690624951735	0.538334131997	0.612729679255	0.524699212856	0.514926683767	0.539756612218	0.517680658652	0.511859953556	0.594948212661	0.503539389608	0.476241768319	0.475121553982	0.486976825362	0.484830163937	0.603022492955	0.605395531839	0.509825344102	0.516239881799	0.530406374724	0.579029659441	0.511853520974	0.625865526517	0.541435139775	0.590820253969	0.532325036934	0.546823038876	0.626996643004	0.604748749103	0.524988322665	0.500663375622	0.633441404658	0.744975457408	0.708901731401	0.647734114	0.717621422212	0.636260981797	0.55448851716	0.645745114358	0.727202580642	0.665547643926	0.699114678686	0.598412787554	0.781197737009	0.766615257341	0.718999181385	0.598036219785	0.716537839635	0.599908917708	0.719799406415	0.783076124428	0.711928567775	0.664529306699	0.680549309794	0.702464619582	0.641367432177	0.796606999685	0.631944433135	0.593372050134	0.598445293983	0.527316994945	0.622501419917	0.512947997101	0.716023683297	0.666546232366	0.625906094122	0.585500288331	0.670982744894	0.739141813304	0.645624008961	0.688906979566	0.645448800794	0.61555273439	0.642078099773	0.666240023652	0.541796077957	0.66109902598	0.641163077382	0.511883602289	0.625574870913	0.68770499249	0.54570337512	0.593839307725	0.691342967162	0.577531245963	0.753683072977	0.620593353502	0.608618462787	0.602890441718	0.618130160211	0.508698060087	0.582849508655	0.673635543699	0.55676545111	0.655033665118	0.527751086407	0.540938154935
