CS.037	L.002.M1	CS.021	CS.101	CS.099	CS.257	CS.260	CS.297	L.031.M1	CS.277	L.035.M1	CS.019	CS.084	CS.199	CS.357	CS.058	CS.305	CS.248	CS.062	CS.301	CS.382	CS.341	CS.040	CS.368	CS.381	CS.388	CS.115	CS.154	CS.367	CS.063	CS.205	CS.378	CS.236	CS.125	CS.374	CS.282	CS.376	CS.302	CS.380	CS.041	CS.224	CS.128	CS.232	CS.136	CS.203	CS.369	CS.372	CS.181	CS.254	CS.148	CS.166	CS.349	CS.178	CS.385	CS.147	CS.359	CS.129	CS.177	CS.395	CS.183	T.CS.058	TFS.024	T.CS.023	T.CS.057	T.CS.069	T.CS.012	T.CS.040	T.CS.050	T.CS.029	T.CS.082	T.CS.085	T.CS.001	T.CS.080	T.CS.067	T.CS.024	T.CS.159	T.CS.139	T.CS.112	T.CS.144	T.CS.161	T.CS.122	T.CS.153	T.CS.167	T.CS.105	T.CS.108	T.CS.131	T.CS.130	T.CS.098	T.CS.110	T.CS.180	L.034.M1	CS.246	CS.087	CS.241	CS.015	CS.082	CS.110	CS.085	L.024.M1	CS.238	CS.237	CS.356	CS.088	CS.103	CS.242	CS.338	CS.113	CS.364	CS.308.0	CS.044	CS.188	CS.336	CS.189	CS.387	CS.274	CS.346	CS.311	CS.304	CS.234	CS.151	CS.343	CS.322	CS.112	CS.158	CS.080	CS.321	CS.318	CS.320	CS.227	CS.223	CS.202	CS.194	CS.339	CS.361	CS.163	CS.370	CS.262	CS.390	CS.393	CS.145	CS.255	CS.270	CS.253	CS.326	T.CS.026	T.CS.036	T.CS.064	TFS.020	T.CS.049	T.CS.055	TFS.027	T.CS.008	TFS.025	T.CS.031	T.CS.066	TFS.021	T.CS.045	T.CS.043	T.CS.061	T.CS.158	T.CS.166	T.CS.152	T.CS.141	T.CS.095	T.CS.109	T.CS.142	T.CS.151	T.CS.157
CS.037	0	0.618600558672	0.584125142059	0.697495738143	0.668004595867	0.651792381247	0.611152043815	0.674835363372	0.665356315068	0.624666476675	0.622375590876	0.631533654287	0.653404597025	0.623075289531	0.698689908115	0.608297031262	0.685582084987	0.595947654706	0.656628404502	0.631315950738	0.644214247572	0.64351608673	0.661673858188	0.687385237304	0.650427197487	0.733395620463	0.624800647792	0.666840388928	0.640520332177	0.632092822677	0.670679276752	0.669173180076	0.644270507782	0.643943756719	0.644844505024	0.651809627143	0.60454176879	0.686083084576	0.661246333348	0.619985975007	0.71284078844	0.638965258772	0.648191639415	0.616369035924	0.65303853785	0.674115135316	0.62272724815	0.645512648651	0.637032775928	0.636254447384	0.634641851176	0.597935201422	0.665498074191	0.645836923691	0.65915554456	0.726985763161	0.644195330111	0.65424558697	0.631771689446	0.660072678838	0.665996447966	0.650332164165	0.727555609909	0.665162248528	0.676544019758	0.698576712578	0.668142129818	0.656027402464	0.654134497878	0.669255841249	0.668800612172	0.623682678802	0.642095354951	0.672324237833	0.636143152758	0.708305131434	0.717308406681	0.639463120003	0.682677610228	0.667753245587	0.685994773352	0.69385866534	0.685633590029	0.698814321486	0.723290178733	0.687596265192	0.68415473385	0.703005567918	0.660109218233	0.65643734435	0.593089304982	0.67067032035	0.652347922881	0.683189794636	0.636241872116	0.672215069691	0.649659115783	0.633490735288	0.725304213636	0.648867121969	0.619862781771	0.697076265471	0.671657265805	0.658423580927	0.662201858182	0.62458840362	0.627044957212	0.637956618865	0.618095245137	0.602887095861	0.683913981643	0.660673985075	0.673235686728	0.619121517699	0.672238585084	0.682562549193	0.631240374802	0.695323793779	0.652073586862	0.661821064333	0.641716080154	0.643003916194	0.585505176461	0.594239702565	0.625870687509	0.680606399504	0.623036644657	0.644752939865	0.693942283103	0.639475121557	0.69235475205	0.701943295624	0.650463811568	0.641028798695	0.626592586088	0.605952250833	0.593486733619	0.635723121035	0.639090915404	0.642172852496	0.636994868576	0.651136197964	0.7169276946	0.644548781508	0.668300788979	0.667225092976	0.651001971315	0.701919660693	0.616148655006	0.675850129334	0.647497001997	0.629281373647	0.655004838693	0.663788998295	0.720454437969	0.659225020404	0.667328289577	0.686869837876	0.634166431323	0.69559357657	0.697467452467	0.678117686786	0.676240359055	0.719462007047	0.708299661409	0.690537125466	0.686005089774	0.678767987184
L.002.M1	0.618600558672	0	0.612108804234	0.675925205133	0.690540966204	0.657959232382	0.61443040226	0.635430504969	0.642561656954	0.610231378842	0.551197915537	0.596523237746	0.66592512493	0.634845943741	0.647882636849	0.634856585811	0.644598495065	0.601649140336	0.652662355273	0.626277223934	0.611360179988	0.608010771088	0.672731926759	0.636237513032	0.635664164691	0.723647249059	0.654950938403	0.684254889278	0.669447892997	0.650837667082	0.667111228695	0.668649384503	0.663653035767	0.625286933451	0.61263531232	0.645048195323	0.595402019799	0.692543865418	0.632347201719	0.677281846309	0.681312303302	0.627460468284	0.660060469605	0.656829641241	0.649426479408	0.689448663976	0.600187268633	0.6411865235	0.620066901835	0.617879589789	0.63502583263	0.627492753535	0.650942795455	0.665053998903	0.625095818803	0.694253640304	0.594674643484	0.592205369794	0.628542007396	0.642472842789	0.625540681	0.628297260009	0.738617101436	0.655121105394	0.654841104832	0.681119282431	0.628153123429	0.622453366028	0.645538620397	0.635257698914	0.641143381002	0.637109265104	0.600688647422	0.628898393709	0.633098227551	0.701885883515	0.684871667176	0.631209890083	0.674820468269	0.66432848754	0.645761674494	0.685027095685	0.64357273898	0.669518862014	0.681593509513	0.647210330931	0.624993532973	0.685336488981	0.66264127226	0.646575488717	0.609139330676	0.658057015255	0.669309235997	0.654705589318	0.673718068711	0.688988205826	0.626346308969	0.652092154566	0.669342091192	0.638358458114	0.63608688284	0.685974201292	0.680883638997	0.651376848816	0.63240610701	0.620436629492	0.633305799625	0.66946222268	0.650760700197	0.640280221493	0.668123749005	0.656050904689	0.658090750314	0.600041185168	0.633344367292	0.680903635672	0.639956134443	0.687789556883	0.641087463008	0.662039018113	0.566700185491	0.624896649371	0.630579140837	0.632064889698	0.625918486233	0.670803793674	0.628738905138	0.629006583713	0.682323095543	0.642696973786	0.700911555468	0.66890271868	0.654380697792	0.658354971808	0.666151586056	0.607460599751	0.590144173374	0.614996484573	0.664634394526	0.609350066976	0.59399752945	0.621261194884	0.68842637361	0.624420203544	0.673211586848	0.643016220285	0.609330401046	0.65827828182	0.6149431342	0.642904023858	0.658316830372	0.642311683672	0.638274418151	0.617187138622	0.656638362842	0.626875937459	0.639474883835	0.652348041924	0.651429312163	0.646087781856	0.639852245717	0.645188187333	0.639871154744	0.684397602752	0.674553341995	0.672530037508	0.642689344503	0.663003302937
CS.021	0.584125142059	0.612108804234	0	0.659330223576	0.647807693572	0.648691883339	0.531167074658	0.59436082462	0.591678639482	0.556462007789	0.556706618031	0.579399948573	0.623424002569	0.572260010052	0.615024471791	0.542789138155	0.627049860512	0.549051750231	0.614856395353	0.535190153846	0.562109415033	0.552065574468	0.627391748006	0.59424352506	0.588028169185	0.652980286477	0.60641779954	0.665260682278	0.61523710139	0.586354522807	0.587033114654	0.647843704744	0.642304140867	0.532094176665	0.574881927048	0.581361826243	0.525609261062	0.582362653268	0.608564359007	0.577495815264	0.672671517811	0.586573116714	0.610797576035	0.556096056637	0.618335848782	0.65460099371	0.577687597864	0.585540510191	0.575114166813	0.630088339871	0.629425717061	0.581546382353	0.614240372031	0.566002368602	0.55770158467	0.631083565988	0.624661583611	0.623849873602	0.617552705526	0.637184569475	0.621364234257	0.573916594638	0.688282340309	0.607254908633	0.564556613804	0.662871695807	0.598028476155	0.624299924597	0.613248825604	0.620009554564	0.588395709238	0.582643239531	0.588728168644	0.586990989086	0.555157040741	0.680587767982	0.669609827864	0.578509698048	0.655466329579	0.612907753946	0.596221476763	0.665014210734	0.61914072648	0.660194066808	0.673303268248	0.636938297651	0.604904410468	0.663957116374	0.636020613058	0.638063646182	0.585318806827	0.609628407066	0.608142966288	0.652187158371	0.657258351914	0.621246092362	0.586823515648	0.592064479314	0.651659711188	0.587964718335	0.575812929821	0.63483616274	0.667744611581	0.622176840054	0.604084494233	0.605319253106	0.603848569312	0.603149804154	0.592505088846	0.56929937245	0.605009832459	0.579765371699	0.593585985564	0.526117261821	0.584572440047	0.622618655324	0.60902543482	0.671348508968	0.617126788332	0.601338818051	0.557624021802	0.567411973052	0.566290090885	0.575320119532	0.563424235547	0.621371230817	0.530326181564	0.55257694664	0.652206794462	0.582572194101	0.643914709466	0.632392882677	0.604573191152	0.606501374579	0.570838566199	0.582139917764	0.568561499512	0.599533188166	0.635467662985	0.585323979723	0.547419900186	0.592613365268	0.659145350691	0.563407249698	0.601086405771	0.617738131898	0.61202618972	0.635275576625	0.557609203962	0.590362665147	0.597660819169	0.590489904464	0.561345788536	0.585342102589	0.638834221441	0.607493184412	0.602426088195	0.616201227979	0.590481990552	0.617045821563	0.608869204399	0.578433579513	0.65093298383	0.672039708765	0.652267572482	0.654748960879	0.648137562074	0.62925814202
CS.101	0.697495738143	0.675925205133	0.659330223576	0	0.534092502527	0.601477713111	0.67014894103	0.500174181721	0.581891506571	0.568006417662	0.648100346577	0.520310470162	0.556077170399	0.611712684501	0.507196336474	0.620586236908	0.525219854228	0.653062268608	0.501805887108	0.637263567523	0.601813274934	0.701555793704	0.538000286545	0.557767552143	0.580777689395	0.734402889984	0.685018793774	0.783875917591	0.774653954044	0.706988816884	0.729099038913	0.718858641745	0.697160563556	0.714385370652	0.691646010133	0.73336312711	0.697425432545	0.762619452482	0.554366974215	0.669028435861	0.785651514839	0.626433665755	0.543968919264	0.638520945649	0.554241327428	0.765897504552	0.675221876152	0.663431543493	0.694591050041	0.727333291239	0.709112391928	0.667428603494	0.617541395681	0.686313771305	0.696471874484	0.739516144242	0.615304426852	0.70323142394	0.660887044736	0.769111583243	0.576562352168	0.60365448753	0.780814636091	0.737434855673	0.611483333093	0.710528773428	0.515889433699	0.624291794123	0.654716062954	0.55829839478	0.574536246916	0.724544863698	0.653986440794	0.569161079075	0.601990093769	0.552749908824	0.51803065745	0.586075013817	0.544615102283	0.590252654935	0.545601548809	0.531753419634	0.532435980402	0.572375267883	0.507605493107	0.546589708802	0.502479870376	0.526163001238	0.535821725191	0.577286533165	0.607081981328	0.556327557825	0.610534496744	0.458854116669	0.537296797237	0.55965210266	0.659809788386	0.553630111569	0.543868277663	0.546692162446	0.682788076794	0.70410288664	0.6281797007	0.459140300821	0.538138756932	0.663093136712	0.527037328314	0.749904684593	0.707274510991	0.54257899539	0.698275485716	0.646412902946	0.672481854105	0.655782242189	0.714488799603	0.766650063743	0.599442175301	0.711106805602	0.687682868638	0.604284653386	0.704863349963	0.729157006238	0.650019142581	0.64912600768	0.611367904935	0.542899674895	0.701349152328	0.644522495428	0.809901390006	0.689942090598	0.659059168303	0.791198248232	0.668225792545	0.691674781378	0.673432855978	0.684245976754	0.697668412701	0.688034331605	0.68637346069	0.606790952334	0.633709922516	0.698598420203	0.754830765828	0.677394514618	0.74361117429	0.57148449537	0.553124084512	0.520937666453	0.69601401026	0.558343268478	0.565219140433	0.645755028975	0.625030471804	0.555128199744	0.526573181135	0.5918024782	0.594053208213	0.575798552574	0.636421476893	0.531276232424	0.55709282727	0.556836508526	0.568426080275	0.509942576893	0.52129418416	0.590793413964	0.559198925113	0.569511529441
CS.099	0.668004595867	0.690540966204	0.647807693572	0.534092502527	0	0.55023947559	0.659603041616	0.562038279375	0.575895620759	0.574854977105	0.644533927934	0.554616265163	0.522261004018	0.597666901641	0.536326623214	0.589757940653	0.564451881765	0.649908121412	0.511966599142	0.648035274238	0.632414166654	0.725678886531	0.574959027329	0.576402334033	0.612605888473	0.731771639282	0.655767593253	0.775181108611	0.739700494553	0.669739492698	0.737596370123	0.678788547863	0.687734524285	0.71067518382	0.691865659601	0.72308628535	0.697131763154	0.759870738748	0.604077217103	0.666792671398	0.77702877056	0.640879887104	0.551244960605	0.629563827483	0.587319217154	0.744142086301	0.691862272234	0.674331396128	0.702583847813	0.712573461842	0.720075173445	0.669834755977	0.640340622355	0.680232585306	0.686072827458	0.736644613537	0.606380860117	0.708954902525	0.663010394213	0.752511289894	0.593205283506	0.609160447887	0.74663094933	0.729837358017	0.632762957057	0.712931530722	0.514472845165	0.605269853479	0.602229690301	0.563887080871	0.575947270764	0.721561161894	0.664897830501	0.581486578944	0.610064009766	0.558968035154	0.53917879661	0.590931025886	0.540748606318	0.546169662556	0.553899798896	0.509163023967	0.511088004829	0.556224910453	0.536552431824	0.56092837315	0.546602369436	0.539280860485	0.55526137616	0.557717708846	0.592572033165	0.545136209198	0.54983239349	0.53454486903	0.550085019733	0.525681857172	0.62874310945	0.520498178305	0.541158440459	0.530728841462	0.634547939294	0.688389134099	0.636526086958	0.532886639847	0.532982363623	0.648981744559	0.561762425936	0.733997994253	0.68154181343	0.549316864354	0.700609460755	0.647211843952	0.655837924375	0.654609720366	0.716181561962	0.752890571725	0.601570792381	0.692967647276	0.696855813933	0.643868110951	0.695858867759	0.720722939111	0.622548505134	0.62378272271	0.603121778191	0.559301543709	0.696716269582	0.65203450018	0.786873418888	0.698821845766	0.666219160689	0.771440425484	0.663344891469	0.685491673436	0.630265968756	0.687139933277	0.702030078971	0.694346355318	0.69532163593	0.644252844018	0.64406335018	0.70247758175	0.726911899571	0.646430881411	0.731142326403	0.544506234598	0.55387672997	0.539003298739	0.683654037456	0.556356185403	0.568524919889	0.658941824956	0.635440095435	0.575748137173	0.522838897998	0.596478776344	0.603512051571	0.595394338363	0.636061907871	0.547772665504	0.558505261911	0.562759430358	0.582165186773	0.524555143634	0.511840399758	0.589888248758	0.555895533752	0.541076276267
CS.257	0.651792381247	0.657959232382	0.648691883339	0.601477713111	0.55023947559	0	0.645758504418	0.588354801408	0.606769662051	0.60036647642	0.620831568095	0.576275720941	0.565175475719	0.59193034328	0.56341854553	0.611179500299	0.603991429643	0.65711234594	0.57035699212	0.670218582894	0.629046431419	0.683740538772	0.598501231434	0.608359161843	0.627077482134	0.723092920652	0.642346556916	0.714853016104	0.692838388149	0.66616105292	0.706015462615	0.646542925896	0.667032001088	0.66597921277	0.657079042212	0.707886251963	0.661523354279	0.721614533808	0.62933262169	0.635337991789	0.724118154691	0.618077797979	0.597625536921	0.609989367879	0.603010392888	0.705579161521	0.66732338331	0.674182741062	0.667803169244	0.663106942051	0.696879937898	0.67746793757	0.64246961159	0.675779308509	0.677120753673	0.726438231947	0.579842546963	0.675242613766	0.657689536875	0.712715445918	0.597258416682	0.618775298397	0.738695508799	0.69100773528	0.659932144034	0.69826789337	0.545285650397	0.595372996598	0.592301852524	0.606703943171	0.59970158069	0.673950704309	0.644450717772	0.606126204667	0.62715810151	0.612845479669	0.596210379806	0.577130831423	0.559113759298	0.563390825051	0.610125905826	0.557653336351	0.561582738337	0.598656047788	0.604857120335	0.58716506149	0.567803857677	0.560467115967	0.557629924209	0.546393218991	0.545160737023	0.565376535847	0.557560840914	0.582594892475	0.590102981281	0.586367880088	0.606347505856	0.55671655141	0.569840606645	0.593047114125	0.609821576093	0.676566963988	0.612052854074	0.591589105153	0.564726952726	0.625493397243	0.584709082639	0.707712290452	0.664197865024	0.595494186869	0.697566239163	0.641896699977	0.654491300778	0.644281824844	0.685416540411	0.711318870222	0.612004199906	0.694169093874	0.666542101471	0.647631787969	0.665737253071	0.691036550117	0.601581358496	0.59209289659	0.603479423715	0.582821952672	0.677072340007	0.63594887467	0.753195122602	0.660818300534	0.649229131108	0.735340631457	0.65881742703	0.667416967118	0.612099132449	0.673956583745	0.659313680397	0.677606143492	0.641780678641	0.653776816168	0.63594375857	0.673156712256	0.702532078021	0.638374842827	0.703687383274	0.582992167879	0.587869542268	0.608569323764	0.673465047909	0.58614635618	0.605733379461	0.665049426701	0.623268608588	0.592110893375	0.56157932779	0.62437299807	0.625571539587	0.604870451913	0.639280992835	0.572126200976	0.60284395499	0.56810088932	0.567655059719	0.589798290906	0.57963976751	0.597041226958	0.569621646788	0.544640947713
CS.260	0.611152043815	0.61443040226	0.531167074658	0.67014894103	0.659603041616	0.645758504418	0	0.614849262684	0.584167238552	0.570362153166	0.560217206396	0.616917280882	0.627975458236	0.608552279871	0.61822096267	0.560055449851	0.596702289074	0.559823886178	0.616199901071	0.530641656249	0.56368817311	0.537415081117	0.649834337467	0.581277048076	0.565356734692	0.663594411161	0.620323054552	0.66787594738	0.632318131271	0.63172811031	0.548901749385	0.632727743391	0.642787042628	0.510997819574	0.563997530404	0.54621365826	0.506692760779	0.619158937072	0.59841714433	0.568762011586	0.660942984601	0.580398814682	0.590410870465	0.548223909469	0.611274157219	0.60856775813	0.554434292844	0.542942465755	0.535123902101	0.587369997801	0.587879664153	0.551645824872	0.583755759492	0.548239945256	0.532444453035	0.631398362065	0.605256689911	0.591001557847	0.598202799552	0.621241107301	0.616544785124	0.577625314218	0.684513790612	0.610571346853	0.544911983371	0.64565138156	0.628770299544	0.622901399759	0.590719603475	0.624638812578	0.582597809829	0.56366604624	0.594138981954	0.575366695889	0.582569225236	0.660803163935	0.642022371319	0.587961271146	0.642617558876	0.599244652998	0.584594999338	0.626563125632	0.638092401515	0.655952939558	0.66529833047	0.613827922977	0.609241952201	0.633217473664	0.616086288636	0.639167052927	0.60278054373	0.606537215707	0.632613634289	0.653920030758	0.675427195555	0.613148668724	0.593148022039	0.605680199194	0.665685254847	0.62189834586	0.601885963987	0.620327298176	0.673730294405	0.624252523422	0.597248380922	0.568042260964	0.645112638473	0.591648763464	0.600762102634	0.609129703139	0.604719084126	0.544085411905	0.599867695835	0.542404000448	0.554810451069	0.65945858296	0.620850907243	0.633046560048	0.597622066409	0.57856744201	0.571655220142	0.531514026873	0.571581240713	0.577516835934	0.590126704134	0.616510182546	0.514035351848	0.538342757866	0.68947204099	0.547673751741	0.650434920838	0.591354057865	0.593827058816	0.609731391189	0.596392235014	0.544788568389	0.574274137475	0.560016790122	0.62237146505	0.559218159724	0.557549657894	0.547630770139	0.616630543067	0.540837468473	0.613396036904	0.629487665467	0.604543651466	0.618957307215	0.564377548882	0.601777835082	0.606427072807	0.567658933388	0.572974953956	0.603386472479	0.663574142647	0.617085916196	0.596806180569	0.620662342198	0.578866318016	0.613325477607	0.590299476357	0.592947726278	0.651835461773	0.654895262054	0.639427594239	0.639487946026	0.63319713624	0.63192404025
CS.297	0.674835363372	0.635430504969	0.59436082462	0.500174181721	0.562038279375	0.588354801408	0.614849262684	0	0.580801477228	0.497046024961	0.548231515164	0.48424480956	0.599335585164	0.598582352654	0.419976283654	0.620646854995	0.458651354394	0.644703289191	0.517602309171	0.549542896589	0.452536050943	0.602828176839	0.574717394996	0.482322921577	0.52092769596	0.642049386827	0.673686042755	0.770297163066	0.738833079718	0.707380802743	0.667130920372	0.696518735258	0.706219436147	0.629382453734	0.653187831722	0.658341846185	0.638206780558	0.691328776735	0.468301628924	0.643421220126	0.748484020419	0.556055804079	0.562559175912	0.619520296508	0.465647337836	0.756136329912	0.63589330088	0.62522144178	0.646650388618	0.671715404221	0.676125901031	0.628250178467	0.56466320359	0.65675932153	0.640423252148	0.71983861198	0.591095744111	0.670290809276	0.647474767446	0.730328110709	0.504958587512	0.489473038724	0.720263111347	0.672698543608	0.483691531878	0.652053235517	0.463174810995	0.575894472861	0.620730320372	0.47845676278	0.46720656761	0.69623776556	0.550681046294	0.441184283756	0.497885541356	0.584111313872	0.473163703184	0.491035967385	0.437954238073	0.569294738309	0.453245764981	0.541819274551	0.440211594682	0.627848149591	0.507765585117	0.481342212374	0.466090438785	0.495055866218	0.512547971693	0.572520592607	0.560047087073	0.498467871564	0.575118328972	0.492339429683	0.554988985322	0.562736715163	0.63350656851	0.564636854875	0.51238675758	0.549921117073	0.647974938892	0.659768430425	0.60145127061	0.573163907721	0.468394313953	0.645537882973	0.486472970113	0.713063451694	0.683618172799	0.499642995314	0.579128580723	0.56168047043	0.64520318262	0.553047748196	0.631163269021	0.751227805564	0.575199329585	0.702369529588	0.66199100338	0.578495536189	0.622042165869	0.660064770987	0.634879483911	0.64385221043	0.596229911074	0.449648215147	0.626530772156	0.560334946445	0.766698643433	0.625299534379	0.617021652853	0.717063238287	0.600039926215	0.634901394302	0.648190534431	0.631978529724	0.644115332882	0.649343754868	0.660815760224	0.525358689343	0.599394092462	0.646713810949	0.752649757137	0.619020629874	0.68555353447	0.559739890909	0.447927676746	0.462118770498	0.60709115319	0.488232419012	0.433367431061	0.492733506789	0.499367445931	0.501922868956	0.470136380202	0.503739117186	0.489328915437	0.438819072923	0.509955889234	0.429976625042	0.454952627818	0.483976743749	0.46425536727	0.471237142597	0.471949446114	0.449965764194	0.429649980822	0.495258398065
L.031.M1	0.665356315068	0.642561656954	0.591678639482	0.581891506571	0.575895620759	0.606769662051	0.584167238552	0.580801477228	0	0.536154014012	0.593731601606	0.593799162213	0.544964406157	0.616888113512	0.578649067292	0.586437059924	0.508874601025	0.569801797461	0.576534639225	0.526301882114	0.614446715621	0.641900967871	0.605889956161	0.522257467259	0.540518766111	0.727775951566	0.629241118449	0.756930216418	0.716233164084	0.64489076908	0.669743250299	0.688207217129	0.660309836803	0.617950487844	0.62429646539	0.634178709882	0.612397676664	0.695477706579	0.574044049544	0.645668080201	0.7340797471	0.58799290494	0.541004993304	0.598119056498	0.598919146166	0.700718599015	0.606951183011	0.599497505674	0.605283001455	0.693009489853	0.643397718737	0.583324663164	0.602873341439	0.580967101991	0.637054233001	0.684820924247	0.596273978887	0.67165619102	0.581639957505	0.696950647823	0.6018309197	0.599712265947	0.739924319312	0.712756164608	0.582459116003	0.691032045161	0.549695802236	0.618940497953	0.594431545677	0.591443919492	0.584000684642	0.692219111637	0.675416074178	0.583146179443	0.585320185297	0.529103265485	0.53929754354	0.588068025712	0.591751942622	0.527456184948	0.503256891689	0.502115952917	0.568356299818	0.486920909774	0.537542730298	0.521555472608	0.496414015963	0.536290373788	0.523134525889	0.543045757002	0.611864326653	0.528330200269	0.659468131932	0.583715368849	0.662770017004	0.519300052964	0.637754980786	0.526167990035	0.628407235172	0.606813642919	0.620337923218	0.687883710802	0.716845778915	0.575609343217	0.507588013047	0.573012027996	0.658772410929	0.685828223075	0.661542033807	0.623363929525	0.682534761636	0.601079409002	0.59883020199	0.610027695742	0.658209241529	0.718121377148	0.651916462232	0.677980408066	0.630056563455	0.556741425942	0.628012729718	0.672630632564	0.622570284186	0.627494978631	0.599003459214	0.608755587436	0.625964995845	0.586961569705	0.7702824753	0.593564658834	0.676598635382	0.736038038009	0.670146915635	0.664728918181	0.626749338211	0.624438547934	0.672325183015	0.639060949819	0.653214793683	0.571908078567	0.568936692217	0.633051998095	0.701495978527	0.580237507582	0.713801010643	0.543262037255	0.590385882025	0.525536945391	0.628745245278	0.608455123005	0.620418948166	0.667292663502	0.627586843343	0.597382281016	0.554071549009	0.643722827803	0.621932941045	0.621834185137	0.620288707949	0.508388949929	0.537372321605	0.552338675826	0.664582789338	0.5702968137	0.533714892148	0.66968169574	0.627246962057	0.609213032821
CS.277	0.624666476675	0.610231378842	0.556462007789	0.568006417662	0.574854977105	0.60036647642	0.570362153166	0.497046024961	0.536154014012	0	0.560632759099	0.557649054148	0.579082033691	0.599798021575	0.541005199184	0.556695598647	0.5458797488	0.579983613517	0.534060505291	0.540818332645	0.528429095202	0.582783621136	0.584609430767	0.524215840438	0.524430406918	0.661201491137	0.637989850871	0.710820007931	0.676023091437	0.657433442402	0.625969755387	0.648543060377	0.668029977954	0.603718134947	0.613300347629	0.623499069442	0.585957608356	0.645876981014	0.514135323666	0.630658886471	0.70661730477	0.532268509225	0.559586474176	0.584919355006	0.558074300614	0.677792776556	0.587438667243	0.578035281378	0.598675691834	0.641680623278	0.622982769071	0.559475619519	0.552574152741	0.5995731916	0.596222944799	0.685138153761	0.590995120681	0.630072909511	0.592108635051	0.670859047153	0.550764778549	0.553366748695	0.712866341564	0.638991066427	0.54451649237	0.628727933206	0.51172327791	0.590333400415	0.595120974683	0.557575770065	0.538693983671	0.641288707308	0.534724189836	0.522319329346	0.529560891399	0.581399882709	0.559638732899	0.538421980924	0.536700059945	0.535027912708	0.516924349065	0.562676462208	0.515458656224	0.594003843722	0.559166920328	0.546339391586	0.512803258271	0.565224819786	0.529965580301	0.585271561085	0.563029336414	0.527957093835	0.619890262903	0.546963327716	0.612861966252	0.582710932669	0.614601492921	0.554386930833	0.582431471279	0.5454758869	0.604249277624	0.652381507646	0.632514785632	0.568089407681	0.497638550069	0.579743030695	0.558312326559	0.65686175321	0.639187546735	0.543665251965	0.599795352151	0.531838424406	0.577700785403	0.545429518199	0.601847215767	0.704356640407	0.588387805503	0.661262977485	0.613577473342	0.564421676306	0.606835428081	0.621877898368	0.583219840375	0.610145455179	0.57814679057	0.56973001322	0.586341173095	0.548735521453	0.717717108048	0.568369321582	0.627689992089	0.678860535518	0.605002908909	0.613534042583	0.621603845942	0.597320329243	0.580975179464	0.607826016607	0.634589230664	0.558698228567	0.551463980764	0.587222210212	0.676458175407	0.579034695677	0.646643624081	0.547844955518	0.52759099807	0.533349300952	0.586165520802	0.552531310198	0.536357689646	0.570907884875	0.544048305064	0.532866576379	0.5526709497	0.537494380448	0.558804406986	0.548458606343	0.551247929794	0.517770450593	0.557570240897	0.53402855047	0.570727332206	0.547813264553	0.541923630159	0.585435077919	0.541752481102	0.548996742122
