CS.277	CS.021	L.033.M1	CS.022	CS.259	CS.281	CS.264	CS.043	CS.354	L.022.M1	L.025.M1	CS.099	CS.104	L.007.M1	CS.357	CS.161	CS.381	CS.073	CS.077	CS.115	CS.062	CS.171	CS.063	CS.040	CS.060	CS.127	CS.064	CS.065	CS.371.1	CS.067	CS.302	CS.125	CS.380	CS.224	CS.378	CS.205	CS.126	CS.375	CS.041	CS.236	CS.203	CS.232	CS.136	CS.376	CS.292	CS.385	CS.372	CS.183	CS.148	CS.349	CS.182	CS.389	CS.181	CS.359	CS.177	CS.268	CS.178	CS.256	CS.214	CS.369	TFS.024	T.CS.058	T.CS.042	T.CS.028	T.CS.057	T.CS.052	T.CS.022	T.CS.016	T.CS.004	T.CS.040	T.CS.079	T.CS.029	T.CS.050	T.CS.035	T.CS.085	T.CS.106	T.CS.161	T.CS.128	T.CS.116	T.CS.147	T.CS.104	T.CS.098	T.CS.102	T.CS.100	T.CS.108	T.CS.123	T.CS.112	T.CS.122	T.CS.153	T.CS.092	L.034.M1	CS.082	CS.006	CS.246	CS.103	CS.085	CS.356	CS.242	CS.241	CS.088	CS.237	CS.238	CS.110	CS.015	CS.087	CS.345.0	CS.338	CS.233	CS.308.0	CS.164	CS.044	CS.336	CS.191	CS.228	CS.364	CS.274	CS.151	CS.325	CS.207	CS.234	CS.163	CS.152	CS.112	CS.318	CS.285	CS.158	CS.319	CS.322	CS.223	CS.320	CS.202	CS.080	CS.339	CS.194	CS.343	CS.253	CS.370	CS.326	CS.255	CS.270	CS.145	CS.390	CS.393	CS.262	T.CS.045	T.CS.055	T.CS.026	T.CS.049	TFS.022	TFS.027	TFS.025	TFS.020	T.CS.064	T.CS.008	T.CS.031	T.CS.061	TFS.021	T.CS.036	T.CS.043	T.CS.152	T.CS.141	T.CS.158	T.CS.157	T.CS.151	T.CS.142	T.CS.109	T.CS.095	T.CS.166
CS.277	0	0.556462007789	0.597874445257	0.591344643138	0.504268421284	0.502005636684	0.600845648968	0.57161341225	0.58956424868	0.573140377887	0.62077060726	0.574854977105	0.559097488548	0.53221635144	0.541005199184	0.604975259276	0.524430406918	0.603247584162	0.572361182536	0.637989850871	0.534060505291	0.60318008355	0.657433442402	0.584609430767	0.584830934008	0.49745447062	0.583678682624	0.572109365042	0.555835671362	0.690094853475	0.645876981014	0.603718134947	0.514135323666	0.70661730477	0.648543060377	0.625969755387	0.5177324461	0.562904852679	0.630658886471	0.668029977954	0.558074300614	0.559586474176	0.584919355006	0.585957608356	0.563574360849	0.5995731916	0.587438667243	0.670859047153	0.641680623278	0.559475619519	0.546562678686	0.598220062507	0.578035281378	0.685138153761	0.630072909511	0.640756017852	0.552574152741	0.593016911055	0.584108381947	0.677792776556	0.553366748695	0.550764778549	0.545428609711	0.526607652018	0.638991066427	0.571009777237	0.545877150968	0.525034861763	0.543317429907	0.51172327791	0.595125674225	0.595120974683	0.590333400415	0.517807718759	0.538693983671	0.548268463804	0.535027912708	0.529991541734	0.583240607954	0.53821740861	0.554674753384	0.565224819786	0.593312287071	0.57911451868	0.559166920328	0.530367474178	0.538421980924	0.516924349065	0.562676462208	0.576788218838	0.563029336414	0.582710932669	0.532822698908	0.527957093835	0.568089407681	0.554386930833	0.652381507646	0.497638550069	0.546963327716	0.632514785632	0.604249277624	0.5454758869	0.614601492921	0.612861966252	0.619890262903	0.710745381113	0.579743030695	0.596755143421	0.639187546735	0.696408199807	0.543665251965	0.531838424406	0.521564255144	0.605100703037	0.65686175321	0.601847215767	0.564421676306	0.714857493143	0.605453571538	0.613577473342	0.621603845942	0.508118608873	0.583219840375	0.586341173095	0.661388677395	0.610145455179	0.57104404004	0.621877898368	0.568369321582	0.548735521453	0.627689992089	0.57814679057	0.605002908909	0.678860535518	0.606835428081	0.676458175407	0.597320329243	0.579034695677	0.551463980764	0.587222210212	0.558698228567	0.607826016607	0.634589230664	0.580975179464	0.558804406986	0.552531310198	0.646643624081	0.586165520802	0.52560011287	0.536357689646	0.544048305064	0.533349300952	0.52759099807	0.570907884875	0.532866576379	0.551247929794	0.537494380448	0.547844955518	0.548458606343	0.53402855047	0.570727332206	0.517770450593	0.548996742122	0.541752481102	0.585435077919	0.541923630159	0.547813264553	0.557570240897
CS.021	0.556462007789	0	0.620160160281	0.506394992111	0.624125854273	0.611344938775	0.631896413463	0.576012354084	0.64455818742	0.677235016719	0.663791750308	0.647807693572	0.563392646951	0.661866414111	0.615024471791	0.529775322819	0.588028169185	0.613607039996	0.584974126865	0.60641779954	0.614856395353	0.615770590697	0.586354522807	0.627391748006	0.608947688213	0.542290796714	0.585295322672	0.553156030902	0.59550473358	0.647212157624	0.582362653268	0.532094176665	0.608564359007	0.672671517811	0.647843704744	0.587033114654	0.571149258636	0.572991464209	0.577495815264	0.642304140867	0.618335848782	0.610797576035	0.556096056637	0.525609261062	0.575977297541	0.566002368602	0.577687597864	0.637184569475	0.630088339871	0.581546382353	0.54540483404	0.540717622962	0.585540510191	0.631083565988	0.623849873602	0.636280192071	0.614240372031	0.589083439413	0.590004309718	0.65460099371	0.573916594638	0.621364234257	0.638821180212	0.564842191839	0.607254908633	0.529836341658	0.592542859551	0.570610600108	0.564892223708	0.598028476155	0.56751094323	0.613248825604	0.624299924597	0.589766755681	0.588395709238	0.677275625143	0.612907753946	0.593740248454	0.642310301562	0.664450257698	0.659886874679	0.663957116374	0.667740354179	0.659140502081	0.673303268248	0.589054924505	0.578509698048	0.596221476763	0.665014210734	0.681057007324	0.585318806827	0.621246092362	0.557381035231	0.609628407066	0.622176840054	0.592064479314	0.63483616274	0.604084494233	0.652187158371	0.667744611581	0.575812929821	0.587964718335	0.586823515648	0.657258351914	0.608142966288	0.623373310986	0.605319253106	0.642671688345	0.592505088846	0.662760529262	0.56929937245	0.579765371699	0.631430462489	0.605169662497	0.603149804154	0.584572440047	0.601338818051	0.66229639167	0.604449872003	0.617126788332	0.570838566199	0.586780728685	0.566290090885	0.530326181564	0.594546341044	0.575320119532	0.555064208697	0.567411973052	0.582572194101	0.55257694664	0.643914709466	0.563424235547	0.604573191152	0.632392882677	0.557624021802	0.659145350691	0.582139917764	0.563407249698	0.547419900186	0.592613365268	0.585323979723	0.599533188166	0.635467662985	0.568561499512	0.602426088195	0.590362665147	0.601086405771	0.557609203962	0.642465821414	0.597660819169	0.561345788536	0.635275576625	0.61202618972	0.590489904464	0.585342102589	0.590481990552	0.607493184412	0.617738131898	0.616201227979	0.578433579513	0.65093298383	0.617045821563	0.62925814202	0.648137562074	0.654748960879	0.652267572482	0.672039708765	0.608869204399
L.033.M1	0.597874445257	0.620160160281	0	0.611422585713	0.573959280222	0.593398560704	0.637539086239	0.636659667297	0.576118432953	0.647268565593	0.621795168464	0.622267666624	0.600605907614	0.603215056619	0.563335429036	0.647323923258	0.613788765524	0.605752859176	0.608454482379	0.649141997596	0.587951532	0.644107134271	0.673204462095	0.630341699506	0.597974392496	0.602484575992	0.638128154748	0.631598605094	0.597694178007	0.683776960293	0.669290652885	0.647463072828	0.616129696245	0.725434829208	0.652510946328	0.692555840571	0.59137361446	0.588219030847	0.648548149516	0.677925971436	0.589596588117	0.632688183318	0.629414744247	0.636801906248	0.646284360706	0.663383194736	0.67479643343	0.695945559898	0.684927872572	0.665632839199	0.653453970284	0.675246085569	0.652334820371	0.726085077036	0.64961672195	0.666111138645	0.619565449095	0.671116166293	0.623042853726	0.716108063274	0.59375156033	0.594277304662	0.60917827012	0.630021423236	0.652764261308	0.628145918561	0.640045795421	0.622919574195	0.591246886497	0.566652434412	0.632366877222	0.641399144787	0.616303158764	0.611193783962	0.573882257179	0.642224155531	0.639642905266	0.639743646869	0.62425638218	0.61617877497	0.627388678409	0.630744287606	0.609551926535	0.639914236601	0.633608747018	0.580174999979	0.587313392159	0.616003627786	0.640086067921	0.653420594038	0.583022344761	0.647215273118	0.563336891759	0.60604171083	0.632291990336	0.644229685512	0.660823346163	0.604303735233	0.614378425365	0.571966134267	0.637846692239	0.599872468018	0.644802060878	0.587719845614	0.569572183505	0.708942313648	0.661818979383	0.640033435434	0.641074968685	0.691295506795	0.587608976939	0.592748606001	0.607204656575	0.628964320818	0.66335719356	0.65203553755	0.655192741542	0.719401098233	0.655718156523	0.662717663123	0.619345830093	0.60031583782	0.623095301277	0.666309907656	0.684889519182	0.636033502238	0.669453216098	0.671318003434	0.650311329196	0.632723556652	0.588933817418	0.605166703903	0.587037578913	0.733234210835	0.652450087859	0.69844000747	0.663423519219	0.626037401357	0.656069551725	0.663337393206	0.604492497451	0.671957603793	0.648123805562	0.612715903516	0.59224898423	0.576034604486	0.671893051144	0.648232250456	0.613127530613	0.576213730253	0.593321980575	0.611320738635	0.582129795193	0.587409324249	0.569545348403	0.631167886269	0.563847231018	0.623759781508	0.567210530288	0.58068482385	0.587510285908	0.592235965516	0.556913182734	0.577281222701	0.581257121996	0.615974225445	0.613180999022	0.580874022224
CS.022	0.591344643138	0.506394992111	0.611422585713	0	0.644679289801	0.629225527916	0.633375630854	0.591072619937	0.593414236962	0.657857719336	0.621810510383	0.61394469245	0.554136854994	0.666766983805	0.626357666655	0.560102932306	0.640105829749	0.591873413231	0.611046807119	0.601455603129	0.582809169606	0.587062248427	0.573115709926	0.624152157441	0.552160460106	0.608349471896	0.604184550968	0.592347175794	0.598300709926	0.658052133581	0.648033340875	0.585984533724	0.648821049531	0.670718688665	0.614159088793	0.628336306744	0.632593215212	0.609839890046	0.568220709184	0.619273867248	0.646848674873	0.594864098165	0.558689448035	0.577091005504	0.574163264533	0.612116136341	0.602758052962	0.645308023248	0.628780023721	0.624116834871	0.606566289372	0.61083889927	0.594914465917	0.646189622881	0.635787611748	0.61894292415	0.639337676124	0.624886412284	0.619732740272	0.638540376299	0.608691410878	0.633217988127	0.654241429772	0.626805105474	0.638866026831	0.615535893778	0.624687392836	0.639343609514	0.620762643724	0.607925410832	0.596980641434	0.607409744062	0.598717632658	0.628207793843	0.623320990966	0.681777857073	0.612228567236	0.630174270124	0.609651578809	0.675535752921	0.665312519816	0.65435402238	0.678626121852	0.656848354634	0.676268164509	0.608950409851	0.590172077671	0.63642308433	0.645360503792	0.688175499625	0.597591049719	0.615625999823	0.53067302263	0.62066330419	0.594418388731	0.592437292746	0.655367252122	0.612128829327	0.645448233253	0.611712921903	0.5379488735	0.593261899107	0.551676843701	0.632699957516	0.583999229177	0.630129319968	0.612253745411	0.616023276955	0.588273428462	0.602590250386	0.603139126687	0.620601334686	0.65664947094	0.55837949977	0.629963302075	0.622045518363	0.641779257017	0.702431443739	0.614987799144	0.630778654683	0.554623407844	0.622312250478	0.550515832275	0.604307348665	0.601035398755	0.540395645564	0.60497773504	0.622104037818	0.592144540092	0.589637515168	0.666463146207	0.546699805586	0.627405947588	0.673446226108	0.595190995909	0.672500162501	0.614347343822	0.599299827097	0.60644131432	0.608659994552	0.633603003377	0.583541872375	0.62603638954	0.610254372293	0.628260289891	0.595657130594	0.64702105753	0.612272195861	0.675035895484	0.64167038883	0.634681766288	0.652137160449	0.627187009162	0.653412500667	0.605726953292	0.62870366734	0.635512247442	0.610628506623	0.636575541286	0.630532878195	0.637667329649	0.652638997502	0.604730322435	0.652529493766	0.638372419471	0.664877427817	0.676137728946	0.639781519361
CS.259	0.504268421284	0.624125854273	0.573959280222	0.644679289801	0	0.502893569639	0.614055530246	0.602548891192	0.598831067724	0.548523678674	0.594028847653	0.548294247393	0.540233130062	0.424739722273	0.460420785028	0.694395577888	0.529598350887	0.652990528709	0.545643391289	0.682485534719	0.539567531996	0.602637694981	0.70597175228	0.571118349047	0.607335059711	0.53778273014	0.59814547041	0.596981102394	0.566914081456	0.745958776925	0.708260659977	0.652660558006	0.469753210673	0.753951960916	0.689656095462	0.678307828306	0.495321590566	0.607795585281	0.663641789472	0.715249928418	0.534160375004	0.562125351538	0.627198358804	0.646007030729	0.626083822604	0.660916616498	0.63963334045	0.730516164689	0.682611312958	0.620563707102	0.589094822333	0.649682017536	0.631133769864	0.718882293262	0.6879333355	0.688265691436	0.569829563382	0.664769469104	0.635472988688	0.74459764694	0.534106666321	0.531931785541	0.466519881813	0.509111713368	0.698387453225	0.626352616194	0.574093534505	0.536561868624	0.51628911064	0.487822862582	0.673400406941	0.632118041307	0.583312960463	0.51368108423	0.507581007395	0.457869816399	0.547277829627	0.551383029911	0.584759090563	0.456692572904	0.48725192736	0.489747957587	0.513050076397	0.531933842338	0.48347997884	0.505776935014	0.525579950894	0.46377480414	0.511647957132	0.543594105354	0.572840851721	0.557246303986	0.520745344902	0.515664571901	0.563109951163	0.551822380851	0.675496017279	0.470631985959	0.530888694688	0.63304933174	0.66641813033	0.559654750858	0.65679625249	0.554888657435	0.577905848068	0.774484529482	0.639401022611	0.605900461497	0.695864847802	0.742731064035	0.516548478737	0.572637078842	0.461411934681	0.633651409582	0.71437612286	0.649943061192	0.582974492961	0.750775019989	0.682719622179	0.662759583503	0.647604274254	0.529432725493	0.643361837387	0.638019457544	0.72758461425	0.654761567805	0.638569567436	0.679401396401	0.633739844272	0.593664903197	0.641124647702	0.599621348378	0.612832949511	0.731845487908	0.66094230957	0.734104648151	0.635459983023	0.617899625141	0.613743460007	0.645513768193	0.550554636321	0.652326138088	0.671805190317	0.631220257338	0.522203863603	0.519619482044	0.702162720764	0.632475907819	0.471521875104	0.491092508396	0.529186995337	0.446846556424	0.475284558907	0.551228364421	0.525834676595	0.543402707636	0.541131324771	0.558344737574	0.460098041644	0.478005637288	0.489515160373	0.479599498093	0.51703901961	0.435962724149	0.471359420064	0.469096254859	0.469530958135	0.505714589185
CS.281	0.502005636684	0.611344938775	0.593398560704	0.629225527916	0.502893569639	0	0.580281198483	0.557546513514	0.594514531765	0.549399191066	0.613307185795	0.556553752681	0.52881589736	0.517014567255	0.495445259315	0.655748779622	0.497168394876	0.63425455926	0.578203584305	0.640850639453	0.508311110675	0.583496160544	0.675010623494	0.582944766791	0.580039763391	0.507757070559	0.569318195781	0.585572122792	0.547952374606	0.715736587235	0.696388154408	0.614844178843	0.511323394503	0.736381478482	0.647887617619	0.670071021415	0.479982742081	0.5793117453	0.607197101563	0.674562239773	0.518311342749	0.488704147231	0.590983259179	0.62917641436	0.559597073809	0.605235430478	0.597386227616	0.685616805334	0.629573287324	0.588600549428	0.557543479366	0.620268022236	0.578459489922	0.722814564498	0.650003967038	0.629181951473	0.535659454777	0.612336284681	0.602105332541	0.691456744996	0.521505876165	0.517284470974	0.491296956338	0.544955664609	0.669956504154	0.60750640186	0.534816088051	0.519828718116	0.527138248591	0.509201059479	0.657166668023	0.567243421728	0.561487031788	0.514736674616	0.498036743607	0.509572196397	0.54263213764	0.551979454657	0.562702595289	0.49828486432	0.515447585601	0.495486778687	0.533932022608	0.539477033231	0.519516557201	0.523639057989	0.526552034972	0.485647739583	0.517112029269	0.563754164467	0.562963262709	0.523846725387	0.528579216282	0.471120323828	0.562510522933	0.518375243083	0.664814491854	0.479221945509	0.525435646322	0.654026961684	0.605157519671	0.558900637016	0.610139754377	0.586052394396	0.585574861691	0.750203058964	0.586159107303	0.573134283076	0.673184857058	0.715414237072	0.535910848263	0.53384364776	0.468806242656	0.597451592263	0.690479431468	0.63857940387	0.570921762645	0.722847009339	0.651648705332	0.646434201534	0.617434395213	0.474493278743	0.603681459926	0.607008615349	0.69941391238	0.616806854221	0.630661618195	0.641285106824	0.610120082895	0.555958715701	0.617931039433	0.566802495523	0.611268823274	0.714351663301	0.634301648253	0.698291150978	0.607403429633	0.572707174209	0.573026510433	0.597302265668	0.547231088306	0.610116962331	0.605052566259	0.641971744798	0.553175655675	0.529867939507	0.690358821474	0.634194725794	0.482067595512	0.498314497628	0.518654701106	0.48776319949	0.501910013969	0.574913487532	0.528992603543	0.556753711392	0.552647062171	0.561615488111	0.515995416652	0.512247025524	0.543441306173	0.427421362438	0.535016910555	0.517447492168	0.561100210543	0.488329398088	0.512749965279	0.482170930875
CS.264	0.600845648968	0.631896413463	0.637539086239	0.633375630854	0.614055530246	0.580281198483	0	0.606533057198	0.615709709146	0.616075642236	0.652614882726	0.600898073281	0.591385435245	0.632257986267	0.606670310411	0.64662525729	0.606131423974	0.619381390109	0.581962807842	0.603351176443	0.587490829072	0.585847799372	0.626153549015	0.58744107571	0.604618617164	0.608940704629	0.578320855354	0.609104175043	0.657001447	0.697901324844	0.683133024133	0.639306627776	0.639497792752	0.730727045512	0.643687364684	0.690864016917	0.602906285471	0.608672978971	0.612992922025	0.658149700027	0.631911497406	0.563393546149	0.601444024053	0.661114322536	0.585213868789	0.647924123418	0.657973179573	0.691712788412	0.654545081737	0.636097041311	0.614904395897	0.633865993875	0.644720258728	0.690339002316	0.642700807793	0.62213585396	0.62526603578	0.653565477402	0.64205610826	0.667365529482	0.64542411771	0.593777827751	0.597955674202	0.609243292191	0.688282991289	0.650565391191	0.619841874823	0.615435685098	0.638667968031	0.585958019934	0.645772330588	0.584612313412	0.606686885049	0.600703465769	0.612835362399	0.639589062577	0.5760445727	0.585248878283	0.551639729171	0.623519730118	0.603944047266	0.591881436567	0.625591588675	0.598450196501	0.637185347947	0.622911832105	0.625641307832	0.588064215191	0.560775295132	0.606039146226	0.602288386733	0.538528217006	0.597047948682	0.549247387017	0.585902740159	0.56106033896	0.669863796244	0.581431920693	0.621847566204	0.673656690791	0.600892144912	0.608798791093	0.596245919254	0.653499960071	0.594484787368	0.686942899948	0.59684634545	0.563287238702	0.641374498907	0.636401912018	0.594924020914	0.627009325324	0.619275040273	0.588008155692	0.672195034528	0.638900218921	0.605158058178	0.714038827873	0.635872410443	0.635146167912	0.58006726838	0.623435090073	0.594461941378	0.650154912849	0.673704024173	0.604744455635	0.661432045538	0.659939544304	0.64044702656	0.605167774893	0.656363269492	0.590307881918	0.647221428036	0.705595968146	0.651212774356	0.665106246122	0.648911645375	0.603569736656	0.624652382739	0.646248102024	0.639848129491	0.662644490537	0.631399520823	0.65596240856	0.624910082569	0.626873865745	0.684436041813	0.666164322234	0.607008277997	0.639979953071	0.6418489215	0.616738167892	0.597731095367	0.670735648361	0.623375752486	0.645948985333	0.649004210239	0.584392773333	0.626236725933	0.584522855386	0.661616810947	0.574511113444	0.603498039907	0.647974716958	0.660667648686	0.607248428682	0.621892961766	0.594698871736
CS.043	0.57161341225	0.576012354084	0.636659667297	0.591072619937	0.602548891192	0.557546513514	0.606533057198	0	0.6371950783	0.627679252423	0.654180063002	0.606764485424	0.561468030658	0.640247839278	0.604990020467	0.603718196606	0.557606912477	0.605621307005	0.583031507963	0.608912270014	0.562688246611	0.571820183221	0.609651357014	0.575623790459	0.590998715603	0.546727173437	0.574838407555	0.573373962621	0.621238149553	0.647245438854	0.661008719449	0.604635058214	0.59134288251	0.694162157051	0.626122699477	0.649485133895	0.553991775959	0.587734119702	0.559246824153	0.642120672698	0.611064425005	0.537413975052	0.562038652241	0.583858847292	0.552590362402	0.607713379728	0.592993216834	0.658377859417	0.653008086257	0.611390775018	0.563538026936	0.578189369999	0.59168055629	0.655626031386	0.638559454043	0.626815783534	0.594623401902	0.605057286058	0.62476684859	0.658978590085	0.573382272715	0.593906994589	0.606823033636	0.584960443245	0.637360444996	0.595309225451	0.59693990049	0.569497643616	0.577230508007	0.580428552707	0.629969221529	0.59923658771	0.594632836576	0.589084963887	0.594050464371	0.643823254272	0.606999559888	0.590690619113	0.588536365482	0.624560662142	0.616859898791	0.614933070144	0.639644928823	0.626171456034	0.64914592586	0.59824128601	0.610007571118	0.588929252841	0.610941754924	0.644504566978	0.609356429925	0.571463990298	0.569168860646	0.597258282812	0.570706705656	0.540865711716	0.650736051783	0.575153632072	0.583010870301	0.657552193074	0.57269112897	0.536649405684	0.577697913374	0.639762375211	0.588181704496	0.673581636619	0.600352779281	0.59424424025	0.60830316261	0.661279640202	0.557594425692	0.586060180389	0.583798720349	0.579326738752	0.658259597549	0.623879792908	0.580465606055	0.705079474977	0.647069611643	0.616643371195	0.613051422215	0.57754829322	0.551782763877	0.590798931761	0.638458277806	0.555322425442	0.611118727464	0.628754092822	0.593016433656	0.568030536542	0.620847538098	0.556067348453	0.625200933239	0.692429932445	0.606149692087	0.663216338285	0.607504513893	0.597035273823	0.592823870579	0.614362678631	0.611842338457	0.601966878273	0.637528772504	0.622845785126	0.597915197669	0.619318423443	0.674215400342	0.628069358924	0.61609238441	0.596087468686	0.602013083405	0.601113706012	0.58384085919	0.589734450392	0.580287403252	0.595770410951	0.612920201705	0.600913958647	0.607461266268	0.584288706793	0.647417765842	0.601180818808	0.612564393844	0.634238589604	0.647607188724	0.618768856705	0.636071988256	0.585065070102
CS.354	0.58956424868	0.64455818742	0.576118432953	0.593414236962	0.598831067724	0.594514531765	0.615709709146	0.6371950783	0	0.647676056355	0.561263681429	0.601142249503	0.581100538416	0.605641675994	0.573489552445	0.647193276414	0.626171821008	0.588183914686	0.61249449952	0.648545335138	0.571364179011	0.5933577676	0.648377448829	0.605505123885	0.608442442952	0.627232255857	0.639674768387	0.655815954825	0.563717722857	0.684283581475	0.700476670249	0.664188001184	0.645404485702	0.71441340937	0.62513711069	0.707602223812	0.62123519222	0.610969599277	0.622548580848	0.683876270398	0.607500225536	0.631419655243	0.628486586621	0.638991386262	0.629601118785	0.695961784704	0.659154816831	0.700134616835	0.657563115435	0.679260123098	0.653053773984	0.679006331474	0.649691031141	0.707350221522	0.66471286166	0.665886160356	0.648855147057	0.662934318616	0.639859464406	0.693456193813	0.59776535067	0.597723582979	0.633280833727	0.621496144405	0.664564684573	0.673304943415	0.618013966318	0.624824765026	0.642861368984	0.575119400004	0.636874029669	0.626846615504	0.579399200364	0.624666947165	0.614526239402	0.654396176849	0.616338497369	0.662346604299	0.572235744204	0.630752032106	0.641981149714	0.638123361678	0.61931554565	0.62789907451	0.649535483329	0.607409025657	0.580956750393	0.624526919998	0.624479459381	0.66713869692	0.58362326001	0.633087026233	0.575246591332	0.60948733681	0.611858978652	0.607807980341	0.660598882752	0.591580368853	0.606679723849	0.582284708394	0.619582184048	0.6091560555	0.626442701598	0.576286332233	0.576796328844	0.712048522861	0.636900050313	0.601406734027	0.649094052454	0.659911372161	0.577660675983	0.626535928981	0.607063201449	0.58812485099	0.699668480818	0.675925803598	0.642545685567	0.719547474116	0.66961302458	0.679171549801	0.61632334387	0.629603395452	0.590492416385	0.676523953637	0.697097928971	0.59506746127	0.680775181102	0.671459826888	0.669646188822	0.632482658515	0.623806567275	0.60837384776	0.630055469344	0.717935496797	0.669168626075	0.709386524697	0.671229081184	0.642005181373	0.640455450353	0.649356400935	0.636266092348	0.663612534486	0.618719868104	0.609742909627	0.609126070264	0.581757623161	0.688903440097	0.640233668481	0.646441656039	0.609513652465	0.623403804608	0.638877662758	0.568992445916	0.601977568725	0.550190562508	0.635342610559	0.592958020235	0.605859224523	0.610197420244	0.622182186948	0.542552361799	0.620005083104	0.540771212984	0.580955888537	0.5746362591	0.635634150854	0.630133929382	0.611697497904
L.022.M1	0.573140377887	0.677235016719	0.647268565593	0.657857719336	0.548523678674	0.549399191066	0.616075642236	0.627679252423	0.647676056355	0	0.642077662064	0.536779066029	0.579611517554	0.524549181203	0.574160754403	0.70515121593	0.569797546305	0.659756020379	0.621823745869	0.692402098559	0.569909327788	0.612049517136	0.712472753005	0.613833280802	0.641582127878	0.614780883047	0.600379333192	0.672434510164	0.66714679402	0.766977349485	0.760291198629	0.690580701214	0.553601719171	0.78102147042	0.713735304579	0.748240360492	0.587939422871	0.688172906775	0.684532123568	0.71885599733	0.604826102011	0.554591784444	0.648641747406	0.700829529742	0.618668667759	0.678645479325	0.676445651943	0.771811777655	0.703396571824	0.651876250789	0.63024437966	0.685229167628	0.664021036002	0.750431867268	0.721093439868	0.690232546568	0.626547133371	0.67913656023	0.68807195703	0.764207737108	0.635649987122	0.606329122273	0.526299645861	0.60326905077	0.741973719195	0.663662914691	0.645293357923	0.625945667181	0.637021914261	0.553987808047	0.721021781298	0.638540287173	0.627120711652	0.601672535877	0.593113167833	0.472517415988	0.494868349982	0.539432625214	0.589800030378	0.464987225491	0.467753028495	0.504419840899	0.540626682701	0.518523058667	0.43488964027	0.588365692246	0.591095232826	0.5428431387	0.451157602879	0.519413519614	0.621663090153	0.529803978523	0.58024234599	0.543332090276	0.560202633145	0.545921341627	0.743302551413	0.531223978351	0.555422248917	0.70441150144	0.674570898263	0.607724612957	0.670212054049	0.615352006269	0.652901685036	0.785575789652	0.643338264531	0.585064325026	0.714779251906	0.741745716452	0.615667992214	0.641067147071	0.542739803427	0.644908320986	0.754068361455	0.730541974562	0.629618785265	0.778867860706	0.694153850748	0.693661829424	0.670886936581	0.567031284858	0.668725127664	0.702097462813	0.752058767053	0.672376220059	0.707659556967	0.723771651951	0.700547526706	0.630441176336	0.685454346967	0.635383884201	0.695683468109	0.787955389927	0.698874980462	0.759619425135	0.68751633618	0.626651667938	0.621926287958	0.687938807284	0.628628794954	0.687254258769	0.707541771943	0.702838630589	0.632050098898	0.60146759115	0.746609601283	0.687638673699	0.520159734598	0.605409598308	0.65563529375	0.510454899783	0.578522780656	0.67118688274	0.603459124291	0.656316372895	0.628422171633	0.539305326347	0.610951910913	0.566037869075	0.621401219994	0.53967794552	0.578961994658	0.569730373504	0.63838943088	0.483264886045	0.497500826336	0.582928573301
