CS.007	CS.265	L.007.M1	CS.176	CS.038	CS.217	CS.086	L.022.M1	CS.261	CS.043	CS.010	CS.259	CS.039	CS.101	CS.219	CS.153	CS.360	CS.076	CS.377	CS.366	CS.127	CS.248	CS.229	CS.287	CS.064	CS.117	CS.367	CS.155	CS.230	CS.341	CS.136	CS.302	CS.126	CS.292	CS.128	CS.203	CS.213	CS.224	CS.375	CS.376	CS.232	CS.205	CS.041	CS.374	CS.236	CS.147	CS.372	CS.182	CS.214	CS.369	CS.166	CS.349	CS.323	CS.389	CS.148	CS.348	CS.359	CS.183	CS.386	CS.254	T.CS.050	T.CS.072	T.CS.028	T.CS.022	T.CS.034	T.CS.085	T.CS.038	T.CS.080	T.CS.020	T.CS.069	T.CS.040	TFS.024	T.CS.082	T.CS.016	T.CS.012	T.CS.126	T.CS.114	T.CS.118	T.CS.110	T.CS.120	T.CS.117	T.CS.180	T.CS.122	T.CS.107	T.CS.100	T.CS.092	T.CS.134	T.CS.132	T.CS.129	T.CS.116	CS.242	CS.087	L.034.M1	CS.082	CS.103	CS.241	CS.088	CS.015	CS.085	L.024.M1	CS.246	CS.356	CS.006	CS.237	CS.110	CS.345.0	CS.228	CS.304	CS.187	CS.044	CS.311	CS.325	CS.338	CS.234	CS.330	CS.274	CS.347.0	CS.364	CS.233	CS.363	CS.285	CS.227	CS.331	CS.202	CS.321	CS.223	CS.319	CS.152	CS.163	CS.080	CS.112	CS.194	CS.343	CS.158	CS.339	CS.145	CS.270	CS.370	CS.393	CS.253	CS.262	CS.390	CS.326	CS.255	TFS.020	TFS.022	TFS.021	T.CS.064	T.CS.008	T.CS.026	T.CS.049	T.CS.055	T.CS.036	T.CS.061	T.CS.043	T.CS.066	T.CS.045	TFS.027	TFS.025	T.CS.141	T.CS.157	T.CS.158	T.CS.109	T.CS.095	T.CS.142	T.CS.152	T.CS.166	T.CS.151
CS.007	0	0.592688681391	0.518233487227	0.561930191386	0.575441390213	0.530298080949	0.565554732811	0.582372295784	0.476045206743	0.560953257977	0.712122087476	0.498712539994	0.589929510699	0.513203815115	0.598515612189	0.585650182629	0.611454323103	0.64140539965	0.666049219358	0.717429887289	0.513819496994	0.608634577409	0.608974661385	0.621421275346	0.584774580926	0.563402309668	0.741899009227	0.571356670362	0.702483449855	0.644180689045	0.60652465219	0.721672300385	0.501016001939	0.571505744732	0.55587296215	0.505717753422	0.65136526046	0.741322953341	0.588339421429	0.640608598568	0.542848365897	0.684155510239	0.648220091819	0.657946337735	0.695452690664	0.626326783596	0.607717177821	0.573350389788	0.604911810605	0.727971421239	0.651137000249	0.617114720103	0.60792283562	0.616439585113	0.672312285008	0.604309544858	0.718356702364	0.728862346169	0.680693140355	0.626027096836	0.58309130354	0.537081192743	0.525218118277	0.564141643939	0.519778194929	0.536716287906	0.568983515644	0.582509303642	0.568047318813	0.55620837324	0.523965108344	0.543555393939	0.519585102544	0.557233313386	0.665338749994	0.492835281628	0.596078894283	0.559341243751	0.538836359997	0.528562652653	0.502038645566	0.584563107625	0.52086816548	0.495956221144	0.590728622958	0.608677668112	0.524733796056	0.567811461523	0.549124707696	0.580124074895	0.524773465153	0.607073102699	0.577121229512	0.577314292953	0.568888894381	0.479225241861	0.655171746864	0.563218278814	0.574315222843	0.551785743977	0.519934664006	0.69781230106	0.529429559267	0.637114946742	0.638289162782	0.763282072617	0.631948665782	0.694594623546	0.599024650938	0.518028658757	0.555032798282	0.756428420335	0.623325731687	0.665631177835	0.632176840549	0.645075709096	0.684616450047	0.714629570505	0.601839793763	0.626560021876	0.708227083503	0.7680653925	0.561050387833	0.612385010568	0.51596391915	0.620231805536	0.638477794599	0.518820171209	0.650674663718	0.608558425232	0.639670000518	0.723213718306	0.635200399663	0.643007438184	0.62510765387	0.532828653831	0.636336881561	0.624850082562	0.665015575722	0.748459047354	0.639897190363	0.611215817885	0.628710488623	0.60910202022	0.513313530423	0.509995842719	0.557862880099	0.500098085443	0.571738839604	0.724973671837	0.65162898048	0.538931397269	0.591500324277	0.54883920245	0.549707025935	0.508808691294	0.566168931349	0.515248724403	0.553650773511	0.55485441433	0.561155426072	0.508980346719	0.506477729019	0.537464600821	0.57166113499	0.516844761327	0.499328627579	0.505378809821
CS.265	0.592688681391	0	0.539931091215	0.634261381849	0.690933308444	0.565682626684	0.521007034313	0.442208396701	0.492308334815	0.64159059838	0.723898799176	0.537520740585	0.636091066038	0.569231191495	0.567307322291	0.604731373851	0.647049118271	0.664119184034	0.654523302108	0.745203573034	0.599106576379	0.639812603859	0.703933355198	0.61780145226	0.606190006882	0.622520509589	0.773420678678	0.560364302225	0.736645026625	0.693425666571	0.656820731655	0.768225495058	0.577610978374	0.623203923948	0.602932965594	0.590726276457	0.712957457918	0.782217770551	0.684532601052	0.696822014035	0.552531139558	0.730830094843	0.688949008475	0.685554477987	0.716739709643	0.696249868933	0.65386619247	0.601330962779	0.692197656827	0.741235439601	0.67993284431	0.622830151047	0.643768481077	0.677836900152	0.68499099083	0.591512541078	0.753218472844	0.746438636878	0.723669420031	0.655680617617	0.642110465277	0.548560396774	0.599202384888	0.627815880713	0.587474976604	0.581696729422	0.48446490993	0.678806907582	0.502816371107	0.609743335538	0.540387714828	0.64299117721	0.603410740492	0.605491872574	0.7301431594	0.522941258147	0.516337358297	0.584941031515	0.495054666716	0.572775635351	0.542501066356	0.556812571179	0.518129713748	0.50384373438	0.499498683213	0.479424182499	0.57614843885	0.27422986446	0.476855503449	0.609177914785	0.513637299664	0.650916149509	0.584241178575	0.511741759423	0.582547438837	0.575195447001	0.719109511033	0.630303817112	0.526054929374	0.614122600618	0.535626561125	0.750851270923	0.596801877806	0.664682796926	0.641662639619	0.79096705924	0.639854187179	0.728938835092	0.643066028869	0.629788574857	0.669657037636	0.772974253	0.629400824494	0.684654596021	0.667443372266	0.720338647856	0.725787056164	0.748497016191	0.589177803555	0.676195392171	0.750826884491	0.811513998632	0.546744710971	0.716098726716	0.623322019942	0.665247077851	0.696908332727	0.541034133798	0.673949482664	0.652606925928	0.663662864014	0.77151346117	0.702224179748	0.670768326636	0.714534723984	0.615078073845	0.677284177744	0.675644809833	0.6928871714	0.753436441053	0.695987241037	0.684745293575	0.645779981715	0.623070762748	0.51052594462	0.49675472575	0.647299772177	0.576030789062	0.684785023821	0.740288399448	0.693307578703	0.592035914141	0.547374016214	0.668011649939	0.612122353044	0.530979346262	0.63593972645	0.607737810048	0.664098977304	0.638609272265	0.617240491992	0.512250764839	0.471312210241	0.483326994976	0.642196703452	0.57159594321	0.556340680986	0.574332177008
L.007.M1	0.518233487227	0.539931091215	0	0.634752648453	0.608954941396	0.521973216628	0.54387848005	0.524549181203	0.461047239753	0.640247839278	0.742164925754	0.424739722273	0.627449511268	0.504229383993	0.636208371765	0.626669446118	0.650077744742	0.687725595593	0.725548132765	0.733445108465	0.591456349328	0.676783920749	0.689765813651	0.655941072209	0.642685754562	0.590905351708	0.763819935828	0.56640158175	0.738225195942	0.67003040676	0.676522108846	0.7339052004	0.526303007971	0.647782059548	0.607480373744	0.553595181158	0.707530274403	0.765149821763	0.640909509367	0.6925308795	0.581787033122	0.706082553422	0.706629850308	0.693614053037	0.758395818396	0.683251690489	0.671431711264	0.619972490419	0.657750584023	0.78246085794	0.715190320654	0.668661341423	0.667302810532	0.68475543604	0.709334201393	0.637548797705	0.748581178042	0.772432776294	0.728517309175	0.68282164575	0.603558671465	0.562834630091	0.554109793896	0.606043331886	0.514785511931	0.505489115909	0.583703938516	0.615558146995	0.494311948345	0.560362891563	0.480424948199	0.57299509499	0.519250356678	0.580355068442	0.688921652701	0.507079316074	0.53747032825	0.548061451488	0.500786584398	0.514680451596	0.479399694239	0.604067988855	0.488771617151	0.455186232454	0.533144364835	0.56989883369	0.489889735939	0.509775748212	0.508472259668	0.599611072468	0.496725621972	0.580752783646	0.590125228343	0.583642372233	0.576364508964	0.510469791654	0.641132511823	0.532166439893	0.560527903129	0.463497652414	0.543864862551	0.690196023402	0.504436781698	0.694311366777	0.678061650087	0.796863385776	0.661538125512	0.734611165716	0.664315306757	0.56104966849	0.615001655719	0.75426155296	0.676761000489	0.685044386387	0.649440236481	0.665020353831	0.70510473015	0.756816894385	0.608040949165	0.684061188744	0.757073694419	0.796834452538	0.607843863865	0.655046335092	0.531140969403	0.675526342108	0.678991685373	0.539361331	0.701288125035	0.638914645929	0.684262007527	0.755519639716	0.669367217441	0.682244511081	0.654790186716	0.584283872612	0.678532079543	0.682225190734	0.716182195783	0.760020822351	0.664676253032	0.683621648345	0.632739344755	0.632083792289	0.444375160249	0.467141923938	0.558585697416	0.493493868934	0.573898279435	0.725886382178	0.623841135005	0.507962536436	0.554065883977	0.571983377287	0.499992378041	0.457678339545	0.54344389198	0.483049011517	0.545729594426	0.448949725444	0.489198228167	0.476293811267	0.428106593784	0.418192586608	0.456168119419	0.503498008019	0.489240625651	0.411694547742
CS.176	0.561930191386	0.634261381849	0.634752648453	0	0.620266286757	0.610739147388	0.593191294886	0.656367807899	0.58211747603	0.579978382841	0.723235488641	0.595501468488	0.618580392814	0.608930008618	0.575426464364	0.576036252278	0.552690184212	0.609026869072	0.56882302484	0.644696489084	0.537984961112	0.527093897473	0.550021365411	0.594593285108	0.579573075403	0.608562749667	0.681813823219	0.579336913105	0.628965016411	0.648867794487	0.561879331367	0.656333489588	0.52032531896	0.575439320352	0.521197464821	0.552781902517	0.626805424677	0.69910548119	0.541682909639	0.575577352324	0.577509430928	0.616374698028	0.616182395763	0.591092001491	0.646137465088	0.601183682989	0.550113030436	0.548651688859	0.563848325139	0.673147470738	0.621384222216	0.573350421018	0.523780408522	0.5888312158	0.658042634182	0.564248488174	0.67066443816	0.643401647924	0.682685991432	0.540245943934	0.619526469145	0.564571908078	0.537377148296	0.558250542284	0.565389922503	0.564660161398	0.616989062786	0.631841686332	0.65416430917	0.53821147621	0.575585780613	0.591339198317	0.574209264024	0.536361219826	0.642624995049	0.523059636343	0.655933458158	0.587439817382	0.611983609394	0.560976907556	0.609300147779	0.601213276752	0.545728749026	0.571278007273	0.633616354005	0.6135927802	0.591732440333	0.609707542223	0.60258723837	0.623052739923	0.569393940022	0.61280732567	0.59947753294	0.569922684816	0.577222123054	0.602472060663	0.65500374691	0.645265271163	0.597233423149	0.666178011488	0.555432931245	0.66340510581	0.578935189087	0.598127640375	0.620025202428	0.695384102202	0.543545855206	0.640542130718	0.561779195249	0.544668715962	0.595261597226	0.743117978638	0.585252300355	0.662333175706	0.586535798321	0.60684077719	0.634296666673	0.636535260367	0.635460330638	0.589709961099	0.628075019517	0.698006980674	0.533966082647	0.638297364439	0.554338031054	0.561962622688	0.559553122949	0.505557579782	0.579016808335	0.596751428157	0.612091406155	0.691599177451	0.605819634101	0.595397047232	0.634621726045	0.485874913979	0.617122875556	0.547244156585	0.577497790174	0.70470994705	0.639637939046	0.588988503485	0.594967079581	0.546945519018	0.592570374072	0.590030963742	0.628477421267	0.582043328559	0.571119507646	0.703677228806	0.630866248846	0.605703310503	0.620960228981	0.562225618837	0.590103258723	0.609777949623	0.578160126482	0.575808057311	0.561197858264	0.648425564441	0.64494853825	0.559038698606	0.610697844997	0.641585231197	0.651023511989	0.575013517629	0.553291172013	0.613573262546
CS.038	0.575441390213	0.690933308444	0.608954941396	0.620266286757	0	0.56907921276	0.593135956974	0.671036881063	0.616950017279	0.618687118502	0.65670454116	0.593334467656	0.543615562025	0.583338900864	0.653947345237	0.599147489855	0.643901864536	0.653427261648	0.701256403874	0.692658365488	0.621952688564	0.661030143115	0.632217918578	0.693763540024	0.628022917876	0.576372991179	0.700298394329	0.680981366874	0.654003572904	0.689102616205	0.635921181515	0.699804608311	0.604022038325	0.647880252351	0.623604274623	0.559526837153	0.647259120987	0.727361790971	0.58717103376	0.644378016819	0.627277032589	0.71307370828	0.621293085833	0.667886428206	0.692224244828	0.648355647868	0.684632899832	0.666298486257	0.641379084465	0.718540965444	0.699967761264	0.6830024052	0.693665510885	0.665969866199	0.681129084946	0.681694081424	0.709503628504	0.716447156377	0.689683689632	0.69045877889	0.586312935839	0.635790581538	0.600283210266	0.583993096332	0.606985167712	0.593301557505	0.662288575209	0.610986589727	0.666977860205	0.651676320806	0.599811477934	0.606374199727	0.577656504225	0.620133786542	0.657734112785	0.614924572479	0.629359695708	0.648231547395	0.625236409246	0.590384698921	0.59834186147	0.617116178072	0.628943884537	0.603109274675	0.637713682316	0.664569361701	0.587906420142	0.687327956487	0.648040569934	0.572150389543	0.601892678024	0.513678521256	0.587356132069	0.64229029331	0.608201808958	0.577303333726	0.553756264671	0.554297736683	0.62554840771	0.610899385332	0.60129251927	0.660184134078	0.552378418456	0.642717331999	0.633353692525	0.69474465856	0.604136200704	0.683970796742	0.662765689562	0.524361891273	0.56414662081	0.726712721085	0.664982109838	0.675679908478	0.640644415264	0.668049603374	0.656951753789	0.697966424612	0.623120865059	0.670067336548	0.684674597611	0.736159831281	0.675882631422	0.60910517548	0.551536066465	0.69464012841	0.66863967781	0.636923642873	0.610836862277	0.59265040114	0.602645670735	0.7254713469	0.682554257443	0.620506773932	0.602455719329	0.625390690353	0.683841832175	0.658407476175	0.633525566314	0.718015823226	0.64291908768	0.678276907978	0.672465608123	0.671428931235	0.636949472211	0.64229982795	0.611459476627	0.577889420402	0.578118425602	0.706325063604	0.648635331824	0.609807009013	0.643356068203	0.581749985932	0.594358706501	0.62869902613	0.595695275287	0.577030482367	0.600082309319	0.566086657375	0.550469752086	0.619464719541	0.635168121496	0.634895553445	0.564196286073	0.609227033845	0.628072452648	0.579503387823
CS.217	0.530298080949	0.565682626684	0.521973216628	0.610739147388	0.56907921276	0	0.513102124008	0.548856982974	0.504044236519	0.589088764461	0.669317564714	0.509930169318	0.557993688081	0.501911358983	0.587701763673	0.555751924141	0.637463537967	0.629014575263	0.664273054799	0.740498999575	0.597182165603	0.647099773089	0.653862373447	0.652894415723	0.577675834983	0.550056310172	0.724108695217	0.612156919916	0.694720895263	0.708984344507	0.601588634576	0.724282935123	0.57363188255	0.598256097982	0.618315974346	0.574045429475	0.707980770977	0.762311937857	0.64008531949	0.677614598685	0.506249135085	0.726369093964	0.64348543488	0.672820019094	0.691478160348	0.686398358235	0.676139185879	0.619775586139	0.657769126386	0.738382034251	0.692100013622	0.646738163349	0.65992631497	0.677762697136	0.689970591652	0.637218659092	0.723623882142	0.74157681316	0.721049429527	0.681149326521	0.594614885642	0.564181990175	0.581793728513	0.600452292596	0.539549832023	0.551780332969	0.559005857354	0.638716183916	0.541356827134	0.600540248501	0.498729492329	0.583523694185	0.543229502555	0.605591207019	0.685788895545	0.524673765559	0.529817281145	0.593014507753	0.517909643546	0.546990131026	0.518903068167	0.57108929458	0.539517399654	0.516506308584	0.546487224942	0.5693260234	0.535117914973	0.553201888411	0.537761858459	0.569192994104	0.526938236942	0.568841199359	0.57908798214	0.539187915015	0.55186739406	0.512884039975	0.621504875865	0.539523676672	0.512015824624	0.529126719637	0.532187496277	0.670319614722	0.48779851908	0.624501303809	0.631971984498	0.753595020373	0.602617183368	0.68003830482	0.633106353267	0.514525034831	0.594582697206	0.76825212929	0.63923048297	0.663206087726	0.668976668519	0.684164019276	0.669845212596	0.7188970633	0.536778325349	0.664655588499	0.723361869859	0.770456653224	0.59436468186	0.655586363192	0.538965276744	0.682546715459	0.685989333421	0.555343902368	0.60937100243	0.597513623718	0.617783878535	0.768205798945	0.69108661988	0.627947029436	0.654859046154	0.60366987153	0.658490977465	0.675659507073	0.664872520576	0.722978383611	0.676666231699	0.681081317258	0.645988968932	0.62574698903	0.505120371103	0.517961349164	0.565151167708	0.525558353292	0.630054108766	0.705183593827	0.657060890861	0.529167413192	0.548096732491	0.619157800663	0.55921113146	0.488025242518	0.565536474752	0.543184033822	0.602173483554	0.555520660971	0.531333839386	0.504266553707	0.50396192622	0.489802455242	0.552097118346	0.529941530866	0.53341356528	0.516388142835
CS.086	0.565554732811	0.521007034313	0.54387848005	0.593191294886	0.593135956974	0.513102124008	0	0.508361588856	0.510602453324	0.593038629224	0.676649577179	0.537628827413	0.563448283501	0.509837069253	0.554875855505	0.523595357784	0.651112468609	0.605441448669	0.671679674879	0.730708041398	0.606493015986	0.629818914881	0.665640746658	0.653989470705	0.555579833929	0.518425592464	0.734893710168	0.591911736805	0.703960563452	0.709288182167	0.604184764086	0.745879994627	0.583906224696	0.594976128901	0.612451370461	0.569358819858	0.69236314118	0.76369204768	0.63865644663	0.679198388644	0.526232234492	0.735397539445	0.638026144543	0.668536737092	0.664294053687	0.692337098908	0.670021003699	0.631877999222	0.674023396434	0.730577168744	0.702784163104	0.653002263742	0.676099969792	0.6655109071	0.690338994949	0.621399171679	0.734178778299	0.740566528964	0.730554647815	0.670567084692	0.597246723272	0.55472811621	0.585665612927	0.613663363068	0.581209319438	0.576352619798	0.549770301471	0.671427407802	0.533946898865	0.636052544	0.537154642688	0.602335432226	0.572814475059	0.600545173231	0.712895008135	0.526576235332	0.544937253354	0.621315576324	0.517496509946	0.547079384956	0.551672535733	0.51661468649	0.551214768157	0.534902765848	0.52694072091	0.535631190158	0.568854747285	0.544854408123	0.556921676298	0.558415628946	0.539134219059	0.567876851718	0.572085873259	0.483290250924	0.520446429077	0.544992234328	0.646213648655	0.564733421101	0.489791946056	0.573220780729	0.519898802274	0.711377032904	0.529431370815	0.623706958118	0.617203091783	0.734467004582	0.595243406669	0.699839150941	0.657283617294	0.559175330894	0.59014281867	0.766271951252	0.630216425805	0.662379951925	0.657448286406	0.705612390896	0.686278605304	0.719571552886	0.51940719461	0.677143865029	0.711984027569	0.775913785442	0.587018608368	0.666360710184	0.560804661621	0.651892330973	0.682462913877	0.575042418937	0.5996781099	0.571305582355	0.605052331695	0.764665159578	0.684538497174	0.60062166618	0.660729721678	0.628057286863	0.691304814317	0.663156341318	0.659364944149	0.726306519486	0.703989776217	0.678920161742	0.642829565642	0.638272801601	0.552207002545	0.55020283177	0.611824007189	0.565368842618	0.658558078573	0.746232928835	0.685837643336	0.58711156902	0.546538874948	0.630447143777	0.602504400328	0.521606673915	0.610269273693	0.584644193861	0.629187248806	0.601263513517	0.567767203265	0.532388376154	0.523729294557	0.529573825749	0.622822193251	0.562682323666	0.58087018534	0.550317297442
L.022.M1	0.582372295784	0.442208396701	0.524549181203	0.656367807899	0.671036881063	0.548856982974	0.508361588856	0	0.469887867868	0.627679252423	0.693344348193	0.548523678674	0.633655580693	0.539840106051	0.579056449469	0.608700487295	0.670208080899	0.670883170995	0.679041839632	0.752190128063	0.614780883047	0.655136669639	0.70792357221	0.647305323486	0.600379333192	0.596406296003	0.766885419433	0.577989573941	0.742295545333	0.716960796492	0.648641747406	0.760291198629	0.587939422871	0.618668667759	0.636640207773	0.604826102011	0.73237852854	0.78102147042	0.688172906775	0.700829529742	0.554591784444	0.748240360492	0.684532123568	0.688577000155	0.71885599733	0.696976847786	0.676445651943	0.63024437966	0.68807195703	0.764207737108	0.705941863782	0.651876250789	0.669787203695	0.685229167628	0.703396571824	0.614746956294	0.750431867268	0.771811777655	0.723148177573	0.690353049928	0.627120711652	0.550158470851	0.60326905077	0.645293357923	0.590331730284	0.593113167833	0.519623301276	0.683214590546	0.495896490959	0.624254025397	0.553987808047	0.635649987122	0.60239709576	0.625945667181	0.737430836138	0.540459705072	0.497046782296	0.609584040566	0.476651237528	0.584858065576	0.525883712118	0.566242506591	0.5428431387	0.5330614317	0.518523058667	0.519413519614	0.590236681951	0.449052616643	0.52050929479	0.589800030378	0.531223978351	0.652901685036	0.621663090153	0.529803978523	0.560202633145	0.555422248917	0.70441150144	0.615352006269	0.545921341627	0.576603520763	0.543332090276	0.743302551413	0.58024234599	0.674570898263	0.670212054049	0.785575789652	0.644908320986	0.721278591252	0.660350535671	0.615667992214	0.669456069792	0.778867860706	0.643338264531	0.693661829424	0.674892235412	0.730541974562	0.720805981712	0.754068361455	0.585064325026	0.680607514635	0.752058767053	0.809876289334	0.572679639356	0.685454346967	0.604784791153	0.700547526706	0.707659556967	0.567031284858	0.670886936581	0.635383884201	0.668725127664	0.787955389927	0.698874980462	0.672376220059	0.695683468109	0.628628794954	0.687938807284	0.68751633618	0.707541771943	0.759619425135	0.702838630589	0.687254258769	0.626651667938	0.621926287958	0.510454899783	0.520159734598	0.628422171633	0.578522780656	0.67118688274	0.746609601283	0.687638673699	0.60146759115	0.539305326347	0.656316372895	0.610951910913	0.525080711999	0.632050098898	0.605409598308	0.65563529375	0.621401219994	0.578961994658	0.53967794552	0.483264886045	0.497500826336	0.63838943088	0.566037869075	0.582928573301	0.569730373504
CS.261	0.476045206743	0.492308334815	0.461047239753	0.58211747603	0.616950017279	0.504044236519	0.510602453324	0.469887867868	0	0.591763057702	0.719803577539	0.461411330678	0.611789073722	0.476041860176	0.576598908663	0.579466250806	0.60465908167	0.658147435232	0.667449923004	0.725530799689	0.533128542702	0.632495694661	0.640073786525	0.607186575873	0.571915753306	0.570375378954	0.752069688268	0.508148490018	0.722408904058	0.647132170635	0.626186940475	0.731915718775	0.497575250761	0.594010887952	0.567020928698	0.524849026376	0.686882116975	0.75095069792	0.62281200844	0.641578027766	0.535440492768	0.681142434172	0.671419355701	0.666914643421	0.692364716699	0.643900155678	0.623175470803	0.569290490125	0.625290439736	0.743128702745	0.670463599372	0.601244157722	0.599551028499	0.644757943952	0.67130549369	0.565064555089	0.728978411938	0.737150772867	0.688117584807	0.64193212862	0.574550021134	0.489681068701	0.516178022913	0.564125103901	0.488040411088	0.511933562852	0.493267311927	0.589761642936	0.469305563285	0.535891513004	0.440821572701	0.550525858478	0.519484974711	0.514102576173	0.675600408771	0.45394502623	0.513930150427	0.53265781029	0.447469264463	0.493854079728	0.469934545501	0.538055381759	0.450902930454	0.440553721435	0.523572501597	0.547385337577	0.491342699536	0.447522667481	0.432895156254	0.559066013433	0.450719724763	0.614294025458	0.56682795362	0.531190047929	0.54529703333	0.467918305707	0.654520868128	0.57550605518	0.526180203405	0.543752577749	0.484684838303	0.695474227463	0.537829684745	0.668350809315	0.637530738902	0.779659997091	0.625225449576	0.694101220701	0.614775919441	0.537831703384	0.598903984563	0.759168650549	0.624275370722	0.670652982433	0.631467774094	0.669337536288	0.711211928613	0.723881862366	0.59654357319	0.641986873397	0.745832673254	0.794261194978	0.549974958651	0.636621345053	0.518640259921	0.641023755058	0.648895764802	0.489940977743	0.663268758166	0.605505609708	0.649687824802	0.744904334743	0.650856605647	0.65820840283	0.642082717249	0.562510996776	0.649763299232	0.633697705337	0.670767440846	0.745963036413	0.657402000411	0.650438168035	0.612955946508	0.571597340837	0.445898776696	0.446366446324	0.547592859635	0.47104285723	0.569280197451	0.713482224678	0.65264670944	0.506820680179	0.540943416318	0.56380664533	0.523484910655	0.474622634249	0.54525751286	0.489212081618	0.569631745288	0.535310198058	0.520367834134	0.437324063138	0.445667995597	0.459838475378	0.55424064956	0.495062000328	0.482145120634	0.48703014761
CS.043	0.560953257977	0.64159059838	0.640247839278	0.579978382841	0.618687118502	0.589088764461	0.593038629224	0.627679252423	0.591763057702	0	0.667620454651	0.602548891192	0.576811766066	0.609131004942	0.569304883275	0.561962425766	0.58693200314	0.587355451402	0.607117908239	0.654094619178	0.546727173437	0.565043157121	0.569501442807	0.586445500283	0.574838407555	0.566241845324	0.65505930952	0.584915140885	0.630900511082	0.615816205581	0.562038652241	0.661008719449	0.553991775959	0.552590362402	0.580309996593	0.611064425005	0.603663016392	0.694162157051	0.587734119702	0.583858847292	0.537413975052	0.649485133895	0.559246824153	0.603671577464	0.642120672698	0.595570659062	0.592993216834	0.563538026936	0.62476684859	0.658978590085	0.631565860364	0.611390775018	0.591796760315	0.578189369999	0.653008086257	0.585425689758	0.655626031386	0.658377859417	0.650597784411	0.598770869798	0.594632836576	0.581426331955	0.584960443245	0.59693990049	0.591019938617	0.594050464371	0.611907650095	0.610541882997	0.630849229219	0.585431555334	0.580428552707	0.573382272715	0.610584723079	0.569497643616	0.681703726485	0.587485521818	0.610301736113	0.579057629539	0.592086913977	0.606900840427	0.614830393554	0.616922901757	0.588929252841	0.626356447583	0.626171456034	0.644504566978	0.60608510595	0.638634971405	0.611711768703	0.588536365482	0.575153632072	0.588181704496	0.609356429925	0.571463990298	0.570706705656	0.583010870301	0.657552193074	0.639762375211	0.540865711716	0.646459529642	0.597258282812	0.650736051783	0.569168860646	0.57269112897	0.577697913374	0.673581636619	0.579326738752	0.644832900137	0.591077285573	0.557594425692	0.581177460484	0.705079474977	0.600352779281	0.616643371195	0.59769282638	0.623879792908	0.603168007813	0.658259597549	0.59424424025	0.595271920333	0.638458277806	0.704694747844	0.567850340657	0.620847538098	0.594701358637	0.593016433656	0.611118727464	0.57754829322	0.613051422215	0.556067348453	0.551782763877	0.692429932445	0.606149692087	0.555322425442	0.625200933239	0.611842338457	0.614362678631	0.607504513893	0.637528772504	0.663216338285	0.622845785126	0.601966878273	0.597035273823	0.592823870579	0.601113706012	0.61609238441	0.612920201705	0.58384085919	0.589734450392	0.674215400342	0.628069358924	0.619318423443	0.600913958647	0.595770410951	0.607461266268	0.615884723359	0.597915197669	0.596087468686	0.602013083405	0.647417765842	0.612564393844	0.601180818808	0.618768856705	0.636071988256	0.647607188724	0.584288706793	0.585065070102	0.634238589604
