L.012.M1	CS.176	CS.313	CS.022	CS.280	CS.105	CS.043	CS.094	CS.038	L.031.M1	CS.019	CS.093	CS.009	L.001.M1	CS.199	CS.155	CS.118	CS.171	CS.060	CS.290	CS.153	CS.382	CS.062	CS.058	CS.076	CS.077	CS.137	CS.341	CS.366	CS.269	CS.125	CS.136	CS.282	CS.380	CS.375	CS.374	CS.224	CS.041	CS.302	CS.236	CS.232	CS.378	CS.203	CS.126	CS.213	CS.147	CS.181	CS.177	CS.129	CS.389	CS.372	CS.348	CS.182	CS.183	CS.369	CS.166	CS.359	CS.386	CS.256	CS.214	T.CS.007	T.CS.069	T.CS.041	T.CS.072	T.CS.059	T.CS.022	T.CS.062	T.CS.085	T.CS.076	T.CS.014	T.CS.029	T.CS.038	T.CS.012	T.CS.067	T.CS.025	T.CS.092	T.CS.161	T.CS.124	T.CS.156	T.CS.178	T.CS.100	T.CS.147	T.CS.130	T.CS.167	T.CS.118	T.CS.098	T.CS.121	T.CS.125	T.CS.160	T.CS.159	CS.088	CS.356	CS.087	CS.085	L.034.M1	CS.241	L.024.M1	CS.103	CS.238	CS.006	CS.242	CS.082	CS.015	CS.110	CS.246	CS.304	CS.308.0	CS.358	CS.347.0	CS.164	CS.078	CS.346	CS.363	CS.345.0	CS.207	CS.187	CS.233	CS.234	CS.325	CS.338	CS.319	CS.361	CS.320	CS.227	CS.331	CS.339	CS.194	CS.152	CS.285	CS.112	CS.163	CS.343	CS.080	CS.223	CS.321	CS.255	CS.390	CS.270	CS.326	CS.262	CS.370	CS.253	CS.393	CS.145	T.CS.055	TFS.022	TFS.020	T.CS.043	T.CS.045	T.CS.064	T.CS.049	T.CS.031	T.CS.036	TFS.021	T.CS.008	T.CS.026	T.CS.066	TFS.027	T.CS.061	T.CS.158	T.CS.142	T.CS.095	T.CS.109	T.CS.152	T.CS.141	T.CS.151	T.CS.157	T.CS.166
L.012.M1	0	0.630680427302	0.49647862964	0.626768891873	0.541865632983	0.564092548566	0.618239235991	0.66497793859	0.619240584233	0.574549383498	0.566964116461	0.542461588245	0.641718117596	0.57462813063	0.595611215466	0.555489731941	0.599829684353	0.606827090493	0.643592491782	0.673125966867	0.61921447597	0.569319646912	0.563253360962	0.638391052195	0.678399052864	0.589180192599	0.564282780754	0.673049530055	0.725659107817	0.75073973746	0.672771753537	0.647370139801	0.680431249574	0.54181943658	0.647230063727	0.68712316321	0.756203149985	0.669456719364	0.730883906043	0.71642804466	0.604515817185	0.708666244291	0.552428890958	0.567923830373	0.690136103182	0.677666807978	0.652076936578	0.704461534636	0.638974595769	0.679274289881	0.675414447663	0.61295453849	0.628050768899	0.745628614858	0.758414203614	0.69969629107	0.76500890322	0.724605902946	0.676477553977	0.689990406363	0.637392151458	0.557435734655	0.552833992926	0.558866851917	0.619203560454	0.603401777472	0.553429452615	0.55994808645	0.58200041944	0.586743970911	0.652992528428	0.568856019707	0.715190025782	0.554491317831	0.558372931347	0.588105281783	0.564914009947	0.54913468356	0.571215879502	0.538867563993	0.553278350504	0.503682342489	0.53935507465	0.529114024567	0.57791922977	0.519519202504	0.565830738571	0.562940062658	0.541930118272	0.540552641657	0.662423900481	0.702075729715	0.626447567036	0.566733335716	0.5711603283	0.531999760615	0.576925594436	0.584654805876	0.600803146745	0.562688258187	0.535210368912	0.584452547823	0.591318282757	0.661426972393	0.578213017108	0.724576623462	0.704490086107	0.756363772232	0.700843573253	0.735149889842	0.584618825428	0.753928814788	0.664476517415	0.772388736566	0.701214264402	0.646401459575	0.615565761089	0.695906684322	0.753549341672	0.654391467233	0.655754542656	0.686198596859	0.603796692243	0.786153906739	0.590631271668	0.667627203055	0.75347123477	0.575868874654	0.733409833133	0.665155020735	0.671296307335	0.675451711835	0.624252231056	0.674926194589	0.568662640382	0.629699354037	0.675817036163	0.692684273835	0.645003423525	0.673656058681	0.66963516151	0.754244178332	0.692391600978	0.607534140738	0.551538130633	0.530086299451	0.506931719812	0.562389534488	0.569333674914	0.546158062523	0.628720874688	0.567434852243	0.577344652553	0.565796978908	0.587063332828	0.70596108325	0.547828598156	0.522296923685	0.581799400258	0.553558593829	0.5581884894	0.508880045579	0.515976392039	0.554724537571	0.548892525272	0.552224429848	0.546844535029	0.580914757916
CS.176	0.630680427302	0	0.621136934878	0.607471367678	0.61076666346	0.554438342197	0.579978382841	0.621398475208	0.620266286757	0.586148131988	0.554528489893	0.616159976208	0.598603397141	0.638548382738	0.552829879848	0.579336913105	0.608270237946	0.595748806427	0.635889508149	0.579852966092	0.576036252278	0.53670735028	0.5669632098	0.567328835962	0.609026869072	0.534879610009	0.539266594178	0.648867794487	0.644696489084	0.700349315485	0.576773681589	0.561879331367	0.593846086623	0.580833019238	0.541682909639	0.591092001491	0.69910548119	0.616182395763	0.656333489588	0.646137465088	0.577509430928	0.689550781244	0.552781902517	0.52032531896	0.626805424677	0.601183682989	0.573872789941	0.634671206313	0.606336378299	0.5888312158	0.550113030436	0.564248488174	0.548651688859	0.643401647924	0.673147470738	0.621384222216	0.67066443816	0.682685991432	0.611275161402	0.563848325139	0.630561122874	0.53821147621	0.548673820235	0.564571908078	0.661759232044	0.558250542284	0.586812613246	0.564660161398	0.568028847991	0.594602175166	0.585381979693	0.616989062786	0.642624995049	0.578959333611	0.548723258224	0.6135927802	0.630242128252	0.612121360374	0.575466717209	0.593401361642	0.633616354005	0.630066475693	0.551740202188	0.616380511059	0.587439817382	0.625663844204	0.552766019976	0.588158642068	0.624390206406	0.65973821661	0.65500374691	0.66340510581	0.61280732567	0.597233423149	0.59947753294	0.602472060663	0.666178011488	0.577222123054	0.586402626764	0.578935189087	0.569393940022	0.569922684816	0.645265271163	0.620025202428	0.555432931245	0.640542130718	0.645202742068	0.690649047224	0.634296666673	0.703292007021	0.60109079879	0.669637080565	0.589709961099	0.695384102202	0.641285233645	0.561779195249	0.635460330638	0.662333175706	0.743117978638	0.585252300355	0.559553122949	0.591303029721	0.573760841616	0.698006980674	0.533966082647	0.634621726045	0.691599177451	0.505557579782	0.628075019517	0.612091406155	0.579016808335	0.605819634101	0.596751428157	0.561962622688	0.554338031054	0.546945519018	0.588988503485	0.617122875556	0.594967079581	0.639637939046	0.547244156585	0.70470994705	0.577497790174	0.485874913979	0.605703310503	0.590030963742	0.592570374072	0.590103258723	0.578160126482	0.582043328559	0.630866248846	0.594747683409	0.620960228981	0.628477421267	0.571119507646	0.703677228806	0.609777949623	0.575808057311	0.562225618837	0.559038698606	0.651023511989	0.641585231197	0.610697844997	0.575013517629	0.648425564441	0.613573262546	0.64494853825	0.553291172013
CS.313	0.49647862964	0.621136934878	0	0.639582939838	0.484532350295	0.548233114604	0.592944135784	0.656035239033	0.632755214689	0.529523918906	0.557642880797	0.509144838872	0.665949221892	0.549658390378	0.591181136292	0.543456350707	0.59208425213	0.576821199844	0.627936039597	0.685288932273	0.597987903879	0.569788771296	0.527584472834	0.618339565596	0.649001820514	0.58441308908	0.560486156908	0.696445030162	0.732303612089	0.766016764489	0.658722126859	0.634855015627	0.691718754956	0.546801281114	0.64597125113	0.670260835993	0.76374399537	0.6674995311	0.739901133994	0.700617456038	0.533426395635	0.701442878598	0.564630661321	0.544803411308	0.687466091374	0.67403022959	0.63559195288	0.698594557715	0.59627028041	0.656232096453	0.664464781426	0.616887834408	0.582671170378	0.7599803275	0.753933956078	0.691307777702	0.737695658436	0.72116040802	0.673698137899	0.667614848209	0.64575994572	0.576447786035	0.550294616284	0.529717828424	0.581471461987	0.601697678801	0.485516361536	0.542910203324	0.569339460032	0.54184742876	0.623980580336	0.528366264063	0.693840308009	0.550878288566	0.552431192042	0.557138113344	0.494499793947	0.483658191623	0.50229153928	0.481293143777	0.502212753952	0.468035313057	0.500708726509	0.486708760449	0.547603454146	0.466952325047	0.557014706409	0.53364736951	0.479542720799	0.507517525617	0.658235369826	0.693809934226	0.604767809151	0.525880026631	0.565093007769	0.507771044761	0.52986100434	0.560390852785	0.555225200205	0.546624774453	0.483635617193	0.519289022392	0.564461276063	0.651061773497	0.504593259246	0.697775502146	0.709527804166	0.773837345756	0.694427542231	0.724935750116	0.603546222	0.763113375951	0.659137808815	0.778677596866	0.679035518396	0.635636272917	0.555822729391	0.669654824309	0.76259378724	0.620829716024	0.661713932469	0.68054506525	0.604808406059	0.790029320957	0.551645181564	0.669707524702	0.759833138129	0.521563086615	0.738746008629	0.65846271487	0.658638772941	0.67433403683	0.611903352758	0.667208278039	0.540508356141	0.613001909877	0.666602117711	0.671558142555	0.615091081697	0.670708322128	0.67680637691	0.734025716213	0.672463924333	0.598930983647	0.535203897784	0.483453173245	0.482307704799	0.542558460426	0.573268972662	0.524168666287	0.643153646101	0.546131428732	0.528484620755	0.590995133126	0.619134021488	0.72286326063	0.494640267241	0.536637777444	0.59925395294	0.471813178089	0.54990906906	0.447983560632	0.435871775913	0.516917858569	0.550013016297	0.500649630805	0.524760276271	0.4828922518
CS.022	0.626768891873	0.607471367678	0.639582939838	0	0.651866793549	0.628333765499	0.591072619937	0.592777666771	0.591090879273	0.624249139567	0.591894016826	0.62615017405	0.526145932054	0.634423624686	0.571641234571	0.636122266966	0.581444225224	0.587062248427	0.552160460106	0.591639492802	0.590191558529	0.624074545116	0.582809169606	0.546564747514	0.552648850876	0.611046807119	0.64979784853	0.617303828237	0.623764551062	0.642368742862	0.585984533724	0.558689448035	0.61239570935	0.648821049531	0.609839890046	0.613983948731	0.670718688665	0.568220709184	0.648033340875	0.619273867248	0.594864098165	0.614159088793	0.646848674873	0.632593215212	0.616018801584	0.5851334704	0.594914465917	0.635787611748	0.611096617092	0.61083889927	0.602758052962	0.608773552402	0.606566289372	0.645308023248	0.638540376299	0.642166226961	0.646189622881	0.652178583577	0.624886412284	0.619732740272	0.603568527759	0.625040993463	0.615684440087	0.648994576979	0.588318505249	0.624687392836	0.643832195821	0.623320990966	0.635824654816	0.613568460865	0.607409744062	0.645542364624	0.679111860427	0.620801917085	0.647523488012	0.688175499625	0.612228567236	0.630488144344	0.637487720788	0.648802063257	0.656848354634	0.675535752921	0.647830396282	0.635524935653	0.596028357666	0.65435402238	0.65168019137	0.60897420302	0.674430761363	0.667908480096	0.611712921903	0.655367252122	0.583999229177	0.592437292746	0.597591049719	0.645448233253	0.635123900237	0.594418388731	0.593261899107	0.53067302263	0.612128829327	0.615625999823	0.632699957516	0.551676843701	0.62066330419	0.640083209302	0.588273428462	0.682417849954	0.593546080171	0.602590250386	0.608425594177	0.636511536501	0.596263529435	0.630129319968	0.614987799144	0.587207522609	0.616023276955	0.630778654683	0.702431443739	0.612253745411	0.60497773504	0.63692585761	0.589637515168	0.66660331915	0.604016710535	0.627405947588	0.673446226108	0.622312250478	0.601035398755	0.550515832275	0.554623407844	0.595190995909	0.546699805586	0.592144540092	0.62084462199	0.60644131432	0.583541872375	0.608659994552	0.599299827097	0.610254372293	0.614347343822	0.672500162501	0.62603638954	0.633603003377	0.595657130594	0.675035895484	0.652137160449	0.636575541286	0.628260289891	0.627187009162	0.612272195861	0.605726953292	0.610628506623	0.635512247442	0.653412500667	0.64702105753	0.665984863019	0.64167038883	0.62870366734	0.652638997502	0.638372419471	0.676137728946	0.664877427817	0.630532878195	0.637667329649	0.652529493766	0.604730322435	0.639781519361
CS.280	0.541865632983	0.61076666346	0.484532350295	0.651866793549	0	0.52707639675	0.627427192132	0.648210785913	0.615355504239	0.55917739607	0.530244979555	0.503930090097	0.681022496639	0.569357679154	0.634016795129	0.573505975909	0.604360377921	0.60535487331	0.632023679109	0.683872867359	0.592919050064	0.560696645692	0.529324207993	0.628366039161	0.666284704389	0.573165029148	0.561293073161	0.686932901756	0.736494095672	0.776318826047	0.668315097551	0.670300121084	0.702110579932	0.545480431433	0.647176941288	0.677191558095	0.755003291566	0.688477680879	0.731263231311	0.719511470885	0.554528129687	0.706029949544	0.547864394752	0.550837177249	0.704310659898	0.66990029022	0.643882235798	0.689051650517	0.600981538607	0.686220476512	0.655362750828	0.621268593738	0.610717754627	0.762900913484	0.769965886015	0.706826340424	0.726781112277	0.714025187124	0.661719424046	0.650775460045	0.657471928385	0.581245781562	0.543023406629	0.545197110376	0.634925914248	0.599623789067	0.502608708107	0.524497056148	0.572354524775	0.578885343142	0.634902690612	0.51967542425	0.697464290406	0.556692776611	0.562467064124	0.540324218134	0.535036913122	0.498751141956	0.477693635112	0.468823207182	0.492666156967	0.456955410724	0.463983642174	0.472717562004	0.564435077772	0.476461596399	0.508967963649	0.53160817472	0.469490106895	0.523034859336	0.64935691803	0.702067763834	0.588412205483	0.562269529028	0.586423625843	0.495306638857	0.53338649497	0.579906082556	0.562714857254	0.518542852975	0.482841361174	0.561705667993	0.562769236677	0.650237232432	0.509548550178	0.713497282386	0.714283458227	0.765409975335	0.721631983477	0.748444856084	0.6061904357	0.764782490633	0.687318178222	0.786993369634	0.708202453792	0.651746062106	0.604880870034	0.682010669294	0.769484429833	0.657955214685	0.672617721329	0.682985179559	0.598456186404	0.788970634908	0.592938306462	0.683113425422	0.75382051263	0.526069377314	0.755422237078	0.684947815559	0.67791615382	0.664365922501	0.626050834909	0.67526973762	0.547670078654	0.618084880735	0.66472178472	0.672385334812	0.63799138223	0.684852840419	0.66959556546	0.753098372429	0.688645749424	0.585169449734	0.511096721741	0.468897721871	0.471674188621	0.529904197644	0.585903193743	0.526575327799	0.652196854494	0.549014724262	0.538112879025	0.606599416376	0.610284068336	0.741336787612	0.481259994081	0.525567264275	0.593417274613	0.451949466708	0.542652411111	0.457050701988	0.432423887436	0.518061260155	0.522334794575	0.455740873916	0.523524988416	0.494252711599
CS.105	0.564092548566	0.554438342197	0.548233114604	0.628333765499	0.52707639675	0	0.558759654256	0.640933164474	0.56703168835	0.546507352569	0.500541451318	0.546842199217	0.635234835821	0.563123977192	0.593538923976	0.530912040395	0.534937377151	0.570012057508	0.602370479271	0.643094179553	0.535379735617	0.531191417548	0.497645121829	0.565565598652	0.608294293394	0.524034615599	0.481812176273	0.637177848472	0.704395070815	0.738669579257	0.636985678069	0.575927281996	0.665825426797	0.504287495929	0.592921740662	0.658925628615	0.743887713028	0.577182816994	0.697522992174	0.670347758728	0.50900916494	0.685306476767	0.502218768351	0.490116273839	0.670449632269	0.635293174066	0.619187578188	0.682129503878	0.61371469936	0.616161706884	0.617045353459	0.571678411473	0.559336519399	0.723707845734	0.719397390628	0.659179706552	0.697717907411	0.704923492992	0.653240683498	0.617321092077	0.620176347688	0.537574109011	0.511586288337	0.491666869218	0.61648260595	0.564144293752	0.479814774401	0.501592823599	0.544092827634	0.563483521944	0.576117954151	0.538590576889	0.67483947551	0.494983726938	0.520585359246	0.569995943659	0.576078267304	0.525775793425	0.514388645889	0.524058974651	0.569661724971	0.534938214041	0.506537771508	0.511563173256	0.541422957992	0.543260315184	0.540942721476	0.522218143288	0.52893173417	0.574448919731	0.639049811819	0.671659401298	0.588447723777	0.521244560059	0.576653810095	0.514188473219	0.58336312233	0.573535730677	0.546996050393	0.525610277988	0.485305202248	0.531759726275	0.602241015052	0.626505074482	0.510859757177	0.685152762495	0.654049158293	0.745093057295	0.661068959695	0.70474167645	0.562230467249	0.718970430339	0.630640009185	0.741923841149	0.675947052139	0.61335638208	0.576570477138	0.6547065468	0.744214256754	0.60589259224	0.627692881571	0.655710292017	0.579903070213	0.770987335059	0.577462906023	0.610070344752	0.729525549794	0.484009601765	0.70305381986	0.624431715348	0.619953405293	0.642603261872	0.492381881941	0.638514994768	0.517106244618	0.597702067078	0.638884610596	0.630858727556	0.602860337722	0.65416465774	0.609135489762	0.7291730326	0.653473096151	0.550924740866	0.551335593914	0.489559145706	0.495197674914	0.531002669371	0.523688568715	0.503337592185	0.628999962872	0.518366789954	0.55231373003	0.556721874214	0.556448308545	0.693399416437	0.521044908075	0.523570040727	0.54141000321	0.49011994429	0.585881454423	0.549570959278	0.525296035115	0.499027248907	0.591905270276	0.533193281311	0.556822019886	0.511390589083
CS.043	0.618239235991	0.579978382841	0.592944135784	0.591072619937	0.627427192132	0.558759654256	0	0.649743118028	0.618687118502	0.590857481627	0.579596197392	0.596965960463	0.598284012542	0.594447782271	0.576119881481	0.584915140885	0.605530891862	0.571820183221	0.590998715603	0.600977330848	0.561962425766	0.587752085569	0.562688246611	0.548667460838	0.587355451402	0.583031507963	0.561287267275	0.615816205581	0.654094619178	0.702814682197	0.604635058214	0.562038652241	0.625010414174	0.59134288251	0.587734119702	0.603671577464	0.694162157051	0.559246824153	0.661008719449	0.642120672698	0.537413975052	0.626122699477	0.611064425005	0.553991775959	0.603663016392	0.595570659062	0.59168055629	0.638559454043	0.602135172901	0.578189369999	0.592993216834	0.585425689758	0.563538026936	0.658377859417	0.658978590085	0.631565860364	0.655626031386	0.650597784411	0.605057286058	0.62476684859	0.626815039104	0.585431555334	0.609111682494	0.581426331955	0.619894286985	0.59693990049	0.584893471136	0.594050464371	0.578166306082	0.5720542809	0.59923658771	0.611907650095	0.681703726485	0.600436685422	0.576197362523	0.644504566978	0.606999559888	0.599747883347	0.615160651673	0.602013482199	0.626171456034	0.624560662142	0.611095766163	0.63229659838	0.579057629539	0.614933070144	0.602559678583	0.584799333879	0.635173661049	0.640126069737	0.657552193074	0.650736051783	0.588181704496	0.540865711716	0.609356429925	0.583010870301	0.646459529642	0.570706705656	0.536649405684	0.569168860646	0.575153632072	0.571463990298	0.639762375211	0.577697913374	0.597258282812	0.644832900137	0.60830316261	0.707862799337	0.603168007813	0.661279640202	0.610367363909	0.665953909231	0.595271920333	0.673581636619	0.647069611643	0.591077285573	0.59424424025	0.616643371195	0.705079474977	0.600352779281	0.611118727464	0.633047943855	0.568030536542	0.704694747844	0.567850340657	0.625200933239	0.692429932445	0.57754829322	0.638458277806	0.551782763877	0.613051422215	0.606149692087	0.556067348453	0.593016433656	0.594701358637	0.592823870579	0.601966878273	0.614362678631	0.597035273823	0.622845785126	0.607504513893	0.663216338285	0.637528772504	0.611842338457	0.619318423443	0.61609238441	0.601113706012	0.607461266268	0.597915197669	0.58384085919	0.628069358924	0.580287403252	0.600913958647	0.612920201705	0.589734450392	0.674215400342	0.615884723359	0.596087468686	0.595770410951	0.601180818808	0.647607188724	0.636071988256	0.618768856705	0.584288706793	0.647417765842	0.634238589604	0.612564393844	0.585065070102
CS.094	0.66497793859	0.621398475208	0.656035239033	0.592777666771	0.648210785913	0.640933164474	0.649743118028	0	0.572543264032	0.709066652079	0.571437801943	0.673241920678	0.628214409856	0.7034771521	0.620396210349	0.691964152643	0.640255039309	0.652398318375	0.651494852432	0.645106224154	0.667282539599	0.595048209096	0.61178389742	0.682638033574	0.679326832663	0.635305565789	0.630772940692	0.696450610562	0.663054804889	0.686233842672	0.648964509812	0.65153170828	0.663474742632	0.66126224301	0.595992968479	0.671919182107	0.73637959405	0.638433081308	0.699710243012	0.709050529908	0.689577563285	0.69208915245	0.600366891436	0.624827092384	0.66750181967	0.673774444846	0.681304633077	0.686435250392	0.685528505866	0.674622301236	0.688541846359	0.701689954593	0.678495197925	0.715709210008	0.731101878123	0.731190675862	0.728574839404	0.726171971366	0.699665339932	0.63454070857	0.658010484469	0.642406625136	0.623249707471	0.669167487946	0.697171141157	0.629791178421	0.64495098135	0.585121831622	0.688869539538	0.639381085153	0.699254261282	0.700476015223	0.666893794412	0.606749048783	0.65255651829	0.680126397135	0.698443409572	0.687576961431	0.580291801528	0.681494150631	0.680114531444	0.677271786607	0.658591444504	0.617367517955	0.669182997054	0.660898066828	0.653194143434	0.595795650509	0.701020208377	0.737589889848	0.587847016746	0.649004495617	0.56576734959	0.685929345243	0.607325158115	0.645541331247	0.631671604632	0.659233127527	0.640455745596	0.570330486981	0.629743226837	0.69960818966	0.576589014999	0.67683794803	0.643910919064	0.681989381408	0.636642158832	0.736783144101	0.656294072996	0.714726950838	0.557996597806	0.710812484546	0.672038128811	0.702826422991	0.698551133758	0.643371085053	0.709214911758	0.690341513476	0.730746562032	0.702413298026	0.659633366241	0.612454054987	0.658581777757	0.724550773186	0.689297789226	0.615543505847	0.721033248542	0.636079613252	0.667728706664	0.636177635468	0.64160218117	0.655395277987	0.613716720355	0.663495170553	0.58887942626	0.678336651516	0.676394105583	0.695670079916	0.665707245144	0.659390828302	0.685389182679	0.751593280515	0.655252835271	0.625220480496	0.592966014364	0.648879072203	0.636758792643	0.582827238956	0.635268999012	0.626213689327	0.652498203789	0.619603388946	0.684992710962	0.635541679384	0.578654240333	0.716127494452	0.652355070831	0.620624999644	0.611465784927	0.630089968742	0.560233191292	0.670370107836	0.654593435604	0.606083491743	0.593560855512	0.606211123892	0.604560852798	0.606541579052
CS.038	0.619240584233	0.620266286757	0.632755214689	0.591090879273	0.615355504239	0.56703168835	0.618687118502	0.572543264032	0	0.694434872937	0.528124974273	0.605829642412	0.611103790288	0.644219604612	0.583493176767	0.680981366874	0.547945011939	0.582368666199	0.607455937543	0.668624869656	0.599147489855	0.584497118696	0.5512601732	0.623662226201	0.653427261648	0.591366515965	0.636136088519	0.689102616205	0.692658365488	0.716077794656	0.664624441451	0.635921181515	0.709110439488	0.625560050723	0.58717103376	0.667886428206	0.727361790971	0.621293085833	0.699804608311	0.692224244828	0.627277032589	0.649792805929	0.559526837153	0.604022038325	0.647259120987	0.648355647868	0.679910419302	0.670968508571	0.621706734676	0.665969866199	0.684632899832	0.681694081424	0.666298486257	0.716447156377	0.718540965444	0.699967761264	0.709503628504	0.689683689632	0.677616082149	0.641379084465	0.653778122253	0.651676320806	0.589017808646	0.635790581538	0.617924933343	0.583993096332	0.587341446789	0.593301557505	0.679331070204	0.659184151803	0.642228007355	0.662288575209	0.657734112785	0.579106865558	0.628218554595	0.664569361701	0.66186909846	0.612341748537	0.593131289368	0.644061935739	0.637713682316	0.642572758094	0.610498720484	0.600391110286	0.648231547395	0.642428649267	0.637363711287	0.60571716084	0.662883579358	0.669355206369	0.553756264671	0.660184134078	0.513678521256	0.62554840771	0.587356132069	0.577303333726	0.610899385332	0.608201808958	0.563787294469	0.552378418456	0.601892678024	0.64229029331	0.554297736683	0.633353692525	0.60129251927	0.683970796742	0.636834536981	0.733849947628	0.656951753789	0.655759885956	0.569976032347	0.696506411851	0.670067336548	0.69474465856	0.668944361581	0.662765689562	0.623120865059	0.675679908478	0.726712721085	0.664982109838	0.66863967781	0.622936140405	0.643631490777	0.736159831281	0.675882631422	0.602455719329	0.7254713469	0.636923642873	0.684674597611	0.602645670735	0.610836862277	0.682554257443	0.59265040114	0.69464012841	0.551536066465	0.671428931235	0.678276907978	0.683841832175	0.672465608123	0.64291908768	0.658407476175	0.718015823226	0.633525566314	0.625390690353	0.609807009013	0.64229982795	0.636949472211	0.594358706501	0.595695275287	0.577889420402	0.648635331824	0.577076064037	0.643356068203	0.611459476627	0.578118425602	0.706325063604	0.62869902613	0.577030482367	0.581749985932	0.619464719541	0.564196286073	0.634895553445	0.635168121496	0.609227033845	0.566086657375	0.579503387823	0.550469752086	0.628072452648
L.031.M1	0.574549383498	0.586148131988	0.529523918906	0.624249139567	0.55917739607	0.546507352569	0.590857481627	0.709066652079	0.694434872937	0	0.593799162213	0.54423326263	0.628704315216	0.546328872036	0.616888113512	0.517935065578	0.614125698356	0.610339796877	0.629459926806	0.630623890981	0.570518788531	0.614446715621	0.576534639225	0.586437059924	0.61171582377	0.587787925078	0.563852348726	0.641900967871	0.695076648183	0.719743583383	0.617950487844	0.598119056498	0.634178709882	0.574044049544	0.627759379439	0.62429646539	0.7340797471	0.645668080201	0.695477706579	0.660309836803	0.541004993304	0.688207217129	0.598919146166	0.549905150049	0.663859799681	0.637054233001	0.599497505674	0.67165619102	0.596273978887	0.594473169574	0.606951183011	0.528207584291	0.539240374613	0.696950647823	0.700718599015	0.643397718737	0.684820924247	0.700742306593	0.628997490388	0.628128140792	0.659588406918	0.582459116003	0.585392484059	0.5288325097	0.609857187069	0.610445836641	0.555638182802	0.584000684642	0.51811824864	0.541873649939	0.594431545677	0.499653866107	0.691032045161	0.583146179443	0.580525387084	0.537464542603	0.527456184948	0.5318715671	0.575172642909	0.498124707162	0.561216468136	0.552563378747	0.496414015963	0.568356299818	0.541618952174	0.536290373788	0.524561180216	0.586109600916	0.504307447913	0.529103265485	0.716845778915	0.687883710802	0.659468131932	0.526167990035	0.611864326653	0.583715368849	0.628407235172	0.575609343217	0.606813642919	0.583661209211	0.507588013047	0.519300052964	0.662770017004	0.637754980786	0.528330200269	0.677980408066	0.661542033807	0.735601746868	0.679521294753	0.714527354162	0.646504028555	0.718121377148	0.621049007334	0.738342004102	0.638179856948	0.59013964895	0.589643586555	0.630056563455	0.743882539703	0.573012027996	0.61920519999	0.664728918181	0.586961569705	0.7702824753	0.491780929858	0.670146915635	0.736038038009	0.517715808445	0.69872901162	0.622570284186	0.626749338211	0.628012729718	0.599003459214	0.593564658834	0.608755587436	0.568936692217	0.639060949819	0.633051998095	0.580237507582	0.672325183015	0.624438547934	0.701495978527	0.653214793683	0.571908078567	0.608455123005	0.517070807789	0.525536945391	0.621834185137	0.621932941045	0.590385882025	0.628745245278	0.597382281016	0.543262037255	0.643722827803	0.667292663502	0.713801010643	0.554071549009	0.620418948166	0.620288707949	0.508388949929	0.66968169574	0.5702968137	0.533714892148	0.552338675826	0.664582789338	0.627246962057	0.609213032821	0.537372321605
