CS.257	CS.007	CS.280	L.005.M1	CS.277	CS.094	CS.037	CS.108	CS.016	CS.010	CS.295	L.033.M1	CS.011	L.022.M1	CS.105	CS.115	CS.229	CS.117	CS.064	CS.062	CS.161	CS.371.1	CS.040	CS.076	CS.388	CS.127	CS.066	CS.366	CS.382	CS.171	CS.126	CS.380	CS.125	CS.302	CS.213	CS.205	CS.292	CS.374	CS.282	CS.224	CS.128	CS.232	CS.236	CS.376	CS.378	CS.166	CS.147	CS.369	CS.214	CS.385	CS.389	CS.268	CS.183	CS.349	CS.372	CS.323	CS.348	CS.177	CS.148	CS.256	T.CS.014	T.CS.019	T.CS.046	T.CS.024	T.CS.023	T.CS.067	T.CS.012	T.CS.080	T.CS.038	T.CS.004	T.CS.069	T.CS.058	T.CS.007	T.CS.016	T.CS.020	T.CS.147	T.CS.144	T.CS.160	T.CS.139	T.CS.120	T.CS.123	T.CS.110	T.CS.106	T.CS.134	T.CS.156	T.CS.117	T.CS.118	T.CS.108	T.CS.119	T.CS.131	CS.082	CS.356	CS.088	CS.085	CS.103	L.024.M1	CS.006	CS.241	CS.238	CS.087	CS.242	CS.246	CS.237	CS.015	CS.110	CS.364	CS.165	CS.188	CS.164	CS.150	CS.347.0	CS.308.0	CS.228	CS.387	CS.304	CS.274	CS.336	CS.311	CS.363	CS.358	CS.223	CS.322	CS.112	CS.080	CS.361	CS.285	CS.319	CS.320	CS.227	CS.339	CS.152	CS.343	CS.321	CS.163	CS.194	CS.270	CS.255	CS.145	CS.326	CS.253	CS.262	CS.370	CS.390	CS.393	T.CS.031	T.CS.066	TFS.027	T.CS.026	T.CS.036	TFS.025	TFS.021	T.CS.045	T.CS.049	T.CS.008	T.CS.055	T.CS.064	TFS.020	TFS.022	T.CS.061	T.CS.109	T.CS.095	T.CS.141	T.CS.166	T.CS.142	T.CS.158	T.CS.151	T.CS.152	T.CS.157
CS.257	0	0.618126741281	0.586600434814	0.572046762688	0.60036647642	0.640475933525	0.651792381247	0.618188283886	0.604858817878	0.64143640933	0.645229758252	0.586014909649	0.594053488332	0.582425893733	0.598153400299	0.642346556916	0.654570497458	0.562692800617	0.608284368104	0.57035699212	0.665171785782	0.628419608277	0.598501231434	0.603258945694	0.723092920652	0.63640658852	0.56142034804	0.712183589625	0.629046431419	0.558341042073	0.622596766941	0.62933262169	0.66597921277	0.721614533808	0.653234439105	0.706015462615	0.635133373254	0.657079042212	0.707886251963	0.724118154691	0.618077797979	0.597625536921	0.667032001088	0.661523354279	0.646542925896	0.696879937898	0.677120753673	0.705579161521	0.673171045756	0.675779308509	0.660976255966	0.64679410016	0.712715445918	0.67746793757	0.66732338331	0.681686086323	0.671327606894	0.675242613766	0.663106942051	0.668875486062	0.624276922967	0.601140928791	0.633697437964	0.62715810151	0.738695508799	0.606126204667	0.69826789337	0.644450717772	0.609705303003	0.647461419416	0.659932144034	0.597258416682	0.670604159624	0.647162384012	0.613964276703	0.590444282793	0.559113759298	0.602097594177	0.596210379806	0.587367604113	0.577177159747	0.557629924209	0.608313141895	0.594602908763	0.549519913745	0.571198658598	0.624958836066	0.604857120335	0.578597737206	0.58716506149	0.586367880088	0.676566963988	0.612052854074	0.55671655141	0.591589105153	0.569840606645	0.548212507918	0.582594892475	0.593047114125	0.557560840914	0.564726952726	0.565376535847	0.609821576093	0.590102981281	0.606347505856	0.707712290452	0.67310070446	0.697566239163	0.650835953789	0.578552144724	0.668994103837	0.664197865024	0.580522125459	0.644281824844	0.694169093874	0.685416540411	0.641896699977	0.612004199906	0.663199126443	0.740224268234	0.660818300534	0.691036550117	0.601581358496	0.603479423715	0.667416967118	0.70964263899	0.679715643257	0.63594887467	0.753195122602	0.65881742703	0.634077495452	0.665737253071	0.582821952672	0.612099132449	0.735340631457	0.673156712256	0.63594375857	0.653776816168	0.638374842827	0.702532078021	0.659313680397	0.673956583745	0.677606143492	0.641780678641	0.592110893375	0.56157932779	0.605733379461	0.703687383274	0.582992167879	0.623268608588	0.62437299807	0.625571539587	0.673465047909	0.665049426701	0.58614635618	0.587869542268	0.608569323764	0.608443853105	0.639280992835	0.57963976751	0.589798290906	0.567655059719	0.60284395499	0.597041226958	0.572126200976	0.569621646788	0.56810088932	0.544640947713
CS.007	0.618126741281	0	0.5188942905	0.530365088283	0.555073720005	0.626752386627	0.677832952758	0.611684113198	0.558161079062	0.712122087476	0.560265011697	0.610723065714	0.554071951128	0.582372295784	0.504734815642	0.696445585415	0.608974661385	0.563402309668	0.584774580926	0.504928923697	0.664735733513	0.569618229123	0.541861068312	0.64140539965	0.699968888096	0.513819496994	0.580093075487	0.717429887289	0.507789788995	0.588028920439	0.501016001939	0.514745281083	0.625691803084	0.721672300385	0.65136526046	0.684155510239	0.571505744732	0.657946337735	0.655647334921	0.741322953341	0.55587296215	0.542848365897	0.695452690664	0.640608598568	0.690087169011	0.651137000249	0.626326783596	0.727971421239	0.604911810605	0.636710964559	0.616439585113	0.649469552683	0.728862346169	0.617114720103	0.607717177821	0.60792283562	0.604309544858	0.653545177325	0.672312285008	0.623020847051	0.598189149192	0.613700208564	0.611885101703	0.547867577141	0.755378006104	0.535036116213	0.665338749994	0.582509303642	0.568983515644	0.547734694665	0.55620837324	0.533613114217	0.651672299298	0.557233313386	0.568047318813	0.51268557916	0.526810003757	0.542253032528	0.541060138403	0.528562652653	0.506647851871	0.538836359997	0.510106452662	0.524733796056	0.52219896333	0.502038645566	0.559341243751	0.527329880567	0.594771839883	0.512657049702	0.577314292953	0.69781230106	0.655171746864	0.574315222843	0.568888894381	0.551785743977	0.529429559267	0.479225241861	0.513028745123	0.607073102699	0.524773465153	0.519934664006	0.637114946742	0.563218278814	0.638289162782	0.714629570505	0.667780908135	0.624955816467	0.746374988466	0.582973035218	0.684616450047	0.671659559941	0.631948665782	0.561112783748	0.694594623546	0.645075709096	0.569786047611	0.555032798282	0.626560021876	0.750225351122	0.620231805536	0.662264751486	0.639670000518	0.608558425232	0.643073301446	0.708227083503	0.638477794599	0.563914795289	0.7680653925	0.62510765387	0.518820171209	0.635200399663	0.51596391915	0.650674663718	0.723213718306	0.636336881561	0.60910202022	0.532828653831	0.628710488623	0.748459047354	0.639897190363	0.624850082562	0.611215817885	0.665015575722	0.526599032163	0.508808691294	0.515248724403	0.724973671837	0.591500324277	0.553650773511	0.557862880099	0.566168931349	0.65162898048	0.571738839604	0.538931397269	0.500098085443	0.513313530423	0.509995842719	0.54883920245	0.506477729019	0.537464600821	0.55485441433	0.499328627579	0.57166113499	0.508980346719	0.505378809821	0.516844761327	0.561155426072
CS.280	0.586600434814	0.5188942905	0	0.460351368344	0.554385426497	0.648210785913	0.708713952422	0.607023202272	0.606935313467	0.737770687083	0.619067000592	0.624808440109	0.512198556434	0.517045158387	0.52707639675	0.694486762642	0.675135677279	0.585023510485	0.612856101669	0.529324207993	0.705525928084	0.610240927477	0.578393000681	0.666284704389	0.709420148344	0.596999642727	0.606970022211	0.736494095672	0.560696645692	0.60535487331	0.550837177249	0.545480431433	0.668315097551	0.731263231311	0.704310659898	0.712662869223	0.629496186629	0.677191558095	0.702110579932	0.755003291566	0.599817325163	0.554528129687	0.719511470885	0.686518119572	0.706029949544	0.706826340424	0.66990029022	0.769965886015	0.650775460045	0.676175358319	0.686220476512	0.706978549682	0.762900913484	0.661795399528	0.655362750828	0.646941198934	0.621268593738	0.689051650517	0.710514499742	0.661719424046	0.578885343142	0.669349096341	0.63070458012	0.563018648345	0.764501041503	0.556692776611	0.697464290406	0.638115455534	0.51967542425	0.5954584561	0.581245781562	0.569785530876	0.657471928385	0.585981043615	0.5096499244	0.456955410724	0.452806231356	0.469490106895	0.4437835775	0.496503969839	0.54110445701	0.493971709438	0.430473498779	0.4997138413	0.477693635112	0.494510142361	0.564435077772	0.431215999968	0.538502086967	0.452190767864	0.561705667993	0.702067763834	0.64935691803	0.562269529028	0.579906082556	0.53338649497	0.518542852975	0.495306638857	0.562714857254	0.588412205483	0.482841361174	0.509548550178	0.671130442555	0.562769236677	0.650237232432	0.748025288931	0.699328441869	0.662456554884	0.748444856084	0.599081810626	0.721631983477	0.714283458227	0.637981429162	0.613425400906	0.713497282386	0.695071542771	0.630815593729	0.615349164241	0.687318178222	0.765409975335	0.67526973762	0.712436220487	0.684947815559	0.626050834909	0.682985179559	0.755422237078	0.672617721329	0.598456186404	0.788970634908	0.683113425422	0.526069377314	0.664365922501	0.547670078654	0.67791615382	0.75382051263	0.672385334812	0.618084880735	0.585169449734	0.63799138223	0.753098372429	0.684852840419	0.66959556546	0.66472178472	0.688645749424	0.549014724262	0.481259994081	0.525567264275	0.741336787612	0.538112879025	0.580632245661	0.606599416376	0.585903193743	0.652196854494	0.610284068336	0.511096721741	0.526575327799	0.471674188621	0.468897721871	0.593417274613	0.432423887436	0.457050701988	0.522334794575	0.494252711599	0.542652411111	0.451949466708	0.455740873916	0.518061260155	0.523524988416
L.005.M1	0.572046762688	0.530365088283	0.460351368344	0	0.566028080476	0.633085207976	0.704622683587	0.642677558933	0.614063641522	0.744101539156	0.614815189057	0.587798398481	0.58271350641	0.55579056063	0.561084449413	0.711977476905	0.688985122409	0.591693647413	0.640934617072	0.548070652902	0.715861790922	0.614667746713	0.617766318791	0.69515970119	0.703353026357	0.600027649519	0.586420253924	0.731348268448	0.526274020237	0.615764480686	0.557980950747	0.535622026526	0.686516945681	0.74041744101	0.702125453944	0.702912691442	0.651307222477	0.681641501422	0.712623033209	0.763750922127	0.625487975842	0.59519432061	0.744792293265	0.685877483267	0.708192684742	0.735598026088	0.690471711933	0.785473788529	0.685344732182	0.704842100459	0.704104460495	0.722754640557	0.766436870091	0.673476808581	0.682837467657	0.67689599835	0.662770196832	0.713724501397	0.70452241836	0.685941102076	0.568684878586	0.645957400638	0.634383400801	0.564008090814	0.763111770477	0.511667206266	0.697028782512	0.628238771491	0.603068045182	0.557301401005	0.574711235494	0.56970892445	0.661836946406	0.589722162061	0.537724169921	0.436469031332	0.435755963209	0.519405410017	0.451414719047	0.506002202313	0.536545584177	0.513947963627	0.441025011646	0.485705978929	0.459476618477	0.512081381094	0.582012836704	0.474725234737	0.607556837466	0.510191439816	0.601019477842	0.698888779602	0.638883089851	0.58409982225	0.582598411405	0.471278020676	0.504323281988	0.504683457533	0.564221027642	0.577212735983	0.494078019527	0.542594482881	0.684707001766	0.524220739841	0.67101029769	0.751547696892	0.694642115662	0.645079439837	0.760165656616	0.625326196061	0.714039338831	0.740974434229	0.650889381143	0.627715936453	0.726377929425	0.696105091614	0.628924779981	0.624527211316	0.692293813765	0.786375944083	0.693017522699	0.697775806925	0.682020850575	0.641494378643	0.70345846165	0.761482585962	0.678361294693	0.614729260928	0.792147233638	0.654273895355	0.557735864632	0.666747138555	0.507640628692	0.691526483151	0.750748882668	0.686525249642	0.643211384456	0.601397742644	0.65134385365	0.76676564922	0.691202929228	0.686355730364	0.690025223791	0.706757760937	0.535250406912	0.473383576922	0.472391318473	0.730532675148	0.582138999721	0.556318030343	0.540659495886	0.557244613298	0.645037256654	0.578107236944	0.512929170719	0.507561113869	0.47710349953	0.479621899557	0.58497637267	0.449416991553	0.421791601287	0.458748057708	0.484597992573	0.457786125003	0.469561376123	0.431406468203	0.506951699452	0.492204678617
CS.277	0.60036647642	0.555073720005	0.554385426497	0.566028080476	0	0.636739485538	0.624666476675	0.606728181419	0.562466134303	0.701124962192	0.564167900018	0.597874445257	0.553544322245	0.573140377887	0.527375500525	0.637989850871	0.581196564353	0.573004388412	0.583678682624	0.534060505291	0.604975259276	0.555835671362	0.584609430767	0.596824416561	0.661201491137	0.49745447062	0.5871232582	0.658122914234	0.528429095202	0.60318008355	0.5177324461	0.514135323666	0.603718134947	0.645876981014	0.618335122012	0.625969755387	0.563574360849	0.613300347629	0.623499069442	0.70661730477	0.532268509225	0.559586474176	0.668029977954	0.585957608356	0.648543060377	0.622982769071	0.596222944799	0.677792776556	0.584108381947	0.5995731916	0.598220062507	0.640756017852	0.670859047153	0.559475619519	0.587438667243	0.584541687076	0.565239566507	0.630072909511	0.641680623278	0.593016911055	0.546276077097	0.58780568237	0.561488610834	0.529560891399	0.712866341564	0.522319329346	0.628727933206	0.534724189836	0.565347075268	0.543317429907	0.54451649237	0.550764778549	0.58332765285	0.525034861763	0.574910779726	0.53821740861	0.536700059945	0.545972413598	0.559638732899	0.523331241634	0.530367474178	0.529965580301	0.548268463804	0.544213729992	0.531668318148	0.526899387482	0.500809656953	0.559166920328	0.579682708098	0.546339391586	0.582710932669	0.652381507646	0.632514785632	0.554386930833	0.568089407681	0.582431471279	0.532822698908	0.546963327716	0.5454758869	0.619890262903	0.497638550069	0.527957093835	0.604249277624	0.612861966252	0.614601492921	0.65686175321	0.656769345762	0.599795352151	0.696408199807	0.538911926761	0.635031984544	0.639187546735	0.605100703037	0.545429518199	0.661262977485	0.601847215767	0.531838424406	0.588387805503	0.583273735875	0.680267861408	0.568369321582	0.621877898368	0.583219840375	0.57814679057	0.613534042583	0.661388677395	0.57104404004	0.548735521453	0.717717108048	0.605002908909	0.508118608873	0.606835428081	0.56973001322	0.621603845942	0.678860535518	0.587222210212	0.551463980764	0.558698228567	0.579034695677	0.676458175407	0.580975179464	0.597320329243	0.607826016607	0.634589230664	0.532866576379	0.5526709497	0.536357689646	0.646643624081	0.547844955518	0.544048305064	0.537494380448	0.558804406986	0.586165520802	0.570907884875	0.552531310198	0.52759099807	0.533349300952	0.52560011287	0.551247929794	0.541923630159	0.547813264553	0.570727332206	0.557570240897	0.585435077919	0.517770450593	0.541752481102	0.53402855047	0.548996742122
CS.094	0.640475933525	0.626752386627	0.648210785913	0.633085207976	0.636739485538	0	0.665698666054	0.736193580091	0.603317395209	0.711886034243	0.619765224374	0.5706063985	0.682962148776	0.722393982866	0.640933164474	0.694003130639	0.641729185799	0.649127375058	0.663912035691	0.61178389742	0.635172999158	0.58858538655	0.65266131177	0.679326832663	0.636845113345	0.617650477209	0.617433383899	0.663054804889	0.595048209096	0.652398318375	0.624827092384	0.66126224301	0.648964509812	0.699710243012	0.66750181967	0.669008277823	0.673059660911	0.671919182107	0.663474742632	0.73637959405	0.633698024605	0.689577563285	0.709050529908	0.647691686767	0.69208915245	0.731190675862	0.673774444846	0.731101878123	0.63454070857	0.697260427558	0.674622301236	0.71641370938	0.715709210008	0.694756250742	0.688541846359	0.697057002491	0.701689954593	0.686435250392	0.702379009569	0.699665339932	0.639381085153	0.629053675561	0.628381579912	0.618497505126	0.720433260271	0.606749048783	0.666893794412	0.6287089053	0.700476015223	0.617621811185	0.642406625136	0.631067931458	0.658010484469	0.636907821563	0.719721268248	0.677271786607	0.63222810746	0.701020208377	0.665071916074	0.608632163091	0.612200192875	0.667382928312	0.682319993306	0.630353018816	0.580291801528	0.639431645825	0.669182997054	0.68536978773	0.72950260814	0.640241441544	0.69960818966	0.649004495617	0.587847016746	0.685929345243	0.659233127527	0.631671604632	0.570330486981	0.645541331247	0.640455745596	0.56576734959	0.629743226837	0.643910919064	0.674535363916	0.576589014999	0.67683794803	0.69130859948	0.614661764613	0.580591016966	0.714726950838	0.672348530642	0.656294072996	0.636642158832	0.667734080046	0.606141945158	0.681989381408	0.659483734804	0.630800613602	0.548261390325	0.672038128811	0.736783144101	0.663495170553	0.685140244369	0.636177635468	0.613716720355	0.612454054987	0.667728706664	0.659633366241	0.658581777757	0.724550773186	0.615543505847	0.636079613252	0.655395277987	0.58887942626	0.64160218117	0.721033248542	0.695670079916	0.678336651516	0.625220480496	0.665707245144	0.751593280515	0.659390828302	0.685389182679	0.676394105583	0.655252835271	0.619603388946	0.652355070831	0.620624999644	0.716127494452	0.684992710962	0.600089091675	0.635541679384	0.635268999012	0.652498203789	0.578654240333	0.592966014364	0.626213689327	0.636758792643	0.648879072203	0.611465784927	0.654593435604	0.670370107836	0.593560855512	0.606541579052	0.560233191292	0.630089968742	0.606211123892	0.606083491743	0.604560852798
CS.037	0.651792381247	0.677832952758	0.708713952422	0.704622683587	0.624666476675	0.665698666054	0	0.682686958578	0.605509369512	0.634945809297	0.660207828758	0.64939100941	0.68515710779	0.698730840704	0.65494759432	0.624800647792	0.574986703909	0.649554947116	0.651639107498	0.656628404502	0.598913505693	0.638381586525	0.661673858188	0.64115457649	0.733395620463	0.656207089964	0.639781491413	0.642268280096	0.644214247572	0.646299714605	0.653132313713	0.661246333348	0.643943756719	0.686083084576	0.595857018938	0.670679276752	0.630194124679	0.644844505024	0.651809627143	0.71284078844	0.638965258772	0.648191639415	0.644270507782	0.60454176879	0.669173180076	0.634641851176	0.65915554456	0.674115135316	0.690158274116	0.645836923691	0.63593515032	0.665365031239	0.660072678838	0.597935201422	0.62272724815	0.634716420851	0.625684054675	0.65424558697	0.636254447384	0.655626671446	0.670434963244	0.643788622207	0.613269874052	0.636143152758	0.727555609909	0.672324237833	0.698576712578	0.642095354951	0.67884389172	0.651472452296	0.676544019758	0.665996447966	0.670614108257	0.646757741143	0.731421474678	0.71373853372	0.682677610228	0.715737853125	0.717308406681	0.658245182071	0.667893498428	0.660109218233	0.726785548149	0.684881921124	0.683794915608	0.69050840889	0.607911572189	0.723290178733	0.696723027186	0.687596265192	0.672215069691	0.697076265471	0.671657265805	0.633490735288	0.658423580927	0.725304213636	0.658219791957	0.683189794636	0.648867121969	0.652347922881	0.662201858182	0.67067032035	0.619862781771	0.636241872116	0.649659115783	0.637956618865	0.682459050231	0.683913981643	0.659962728873	0.630718478798	0.63145047229	0.618095245137	0.606774328853	0.619121517699	0.695323793779	0.672238585084	0.660673985075	0.631240374802	0.612748185838	0.691737827552	0.639475121557	0.643003916194	0.585505176461	0.625870687509	0.641028798695	0.638352479873	0.601571125	0.644752939865	0.693942283103	0.650463811568	0.670884632487	0.641716080154	0.680606399504	0.626592586088	0.701943295624	0.651136197964	0.636994868576	0.642172852496	0.644548781508	0.7169276946	0.593486733619	0.605952250833	0.635723121035	0.639090915404	0.663788998295	0.720454437969	0.647497001997	0.668300788979	0.667225092976	0.655004838693	0.659225020404	0.667328289577	0.616148655006	0.629281373647	0.675850129334	0.651001971315	0.701919660693	0.696772016363	0.634166431323	0.708299661409	0.719462007047	0.676240359055	0.697467452467	0.690537125466	0.69559357657	0.686005089774	0.678117686786	0.678767987184
CS.108	0.618188283886	0.611684113198	0.607023202272	0.642677558933	0.606728181419	0.736193580091	0.682686958578	0	0.625565684353	0.665137615328	0.686592421026	0.675802790769	0.466918991188	0.542712455264	0.591091124193	0.658604149208	0.676408297827	0.602414874359	0.566606949398	0.578134446965	0.670039984783	0.710982304498	0.58087556987	0.612680270982	0.780339304391	0.638352542887	0.602611736653	0.744366970328	0.689264196917	0.589072775317	0.621742091082	0.635784201329	0.700308803771	0.74413600824	0.7034105504	0.754435078122	0.601060523443	0.688588316297	0.706344858219	0.780521028466	0.636381270632	0.563858788711	0.615258462161	0.689459800679	0.69643164077	0.698627277077	0.690989720148	0.718455294008	0.685027327692	0.646633553129	0.664662186136	0.661103653651	0.745671603289	0.653229826896	0.657242393122	0.656151172534	0.590171914128	0.713517870944	0.721245348025	0.711775704714	0.608684167898	0.672978256363	0.6941942768	0.656620508983	0.784799358299	0.642001342918	0.764606170791	0.745403394436	0.556968652646	0.699312172277	0.666092221257	0.63785689231	0.724425914109	0.654493832772	0.527876846947	0.584948290166	0.641650161272	0.573778040287	0.599167503362	0.645051942006	0.641619313975	0.570260882266	0.591985596448	0.649324740481	0.640265015279	0.608922012598	0.64741878088	0.579694273806	0.537091790014	0.620124607003	0.557750966523	0.744868203239	0.707689012166	0.539053443715	0.541489440763	0.648391242419	0.59855774507	0.56261165017	0.612874635896	0.656863651879	0.58212073651	0.597846485898	0.638700342033	0.629769912551	0.656434132582	0.749798421631	0.753827902935	0.741246304081	0.692144184932	0.616056991013	0.706839967616	0.666008899174	0.617742505365	0.692764869719	0.703149294509	0.73789037129	0.679130032663	0.670009493625	0.68214514024	0.794460974319	0.68316904869	0.735841279714	0.633456291713	0.616123529981	0.727123513557	0.722404976855	0.689535647975	0.659010531098	0.791148019637	0.700599722406	0.593871496403	0.700565052191	0.621056109912	0.626054485675	0.794081890016	0.693527965942	0.634953383515	0.655851877472	0.643846218538	0.732181433534	0.713799002089	0.684903895609	0.670546137065	0.685806889258	0.644496561173	0.599751102397	0.681137539211	0.747437092106	0.532379150975	0.717202328437	0.682027830075	0.666140650246	0.721349586171	0.734897893353	0.621592454437	0.632346042665	0.572256751006	0.597133875974	0.704235520283	0.601302677232	0.608237505542	0.686151559378	0.634117877209	0.719891352164	0.610255465434	0.679283028435	0.616854368196	0.641204845789
CS.016	0.604858817878	0.558161079062	0.606935313467	0.614063641522	0.562466134303	0.603317395209	0.605509369512	0.625565684353	0	0.659336305378	0.613230056425	0.624385376828	0.606391709925	0.622925012682	0.552754052066	0.641161433029	0.592573502945	0.558885535326	0.59145049721	0.540584438534	0.631213633954	0.585531454575	0.536009732701	0.611327782342	0.659688386816	0.582017422099	0.567780720783	0.677731921163	0.57493547516	0.572889826081	0.586985625194	0.568766112655	0.642208843528	0.700451761572	0.652221308205	0.664083259894	0.600109296004	0.66210547502	0.649316419356	0.733857599994	0.578482592248	0.577683630944	0.654540626713	0.615957443602	0.6516505002	0.662751349075	0.634296081767	0.697259561596	0.616847506991	0.637387693809	0.642763537698	0.651666289374	0.681871742023	0.622183483795	0.645542449714	0.627039409111	0.625327046494	0.657099908939	0.679243907277	0.661134024333	0.611279525759	0.58340748745	0.610053452696	0.588496190906	0.709305782959	0.56973970072	0.669102602623	0.604060870855	0.618272466284	0.59267818127	0.628525431611	0.574172264343	0.652895544703	0.583629085775	0.644806057013	0.622200060493	0.601663984571	0.617520556612	0.609133699384	0.585602518772	0.561558512228	0.603943657154	0.619051762553	0.591045585036	0.561839989105	0.589041157706	0.593836195875	0.630100956536	0.63963723807	0.578633285819	0.584033411311	0.664208183816	0.620104322853	0.568838199264	0.573992798115	0.616913611921	0.526456701981	0.57312613984	0.548382705401	0.556098067152	0.557291061649	0.559643371243	0.604645279337	0.572508006018	0.6262359821	0.663871208298	0.628730640548	0.642796858737	0.685105404903	0.602078227855	0.638636432343	0.636364435056	0.58006202885	0.58187156936	0.631828000674	0.648598677193	0.60460102406	0.557853879011	0.64623083406	0.723657631673	0.64142626271	0.679071130376	0.584129128738	0.561099281106	0.61930981213	0.6721062133	0.62670967639	0.615818567992	0.728673013442	0.599623705811	0.568556846117	0.637243254236	0.553109976975	0.598624495691	0.72573043505	0.656417443786	0.614726066194	0.60407462197	0.617308767954	0.719836460814	0.637807815075	0.621986977534	0.622966673366	0.634565680118	0.574159577417	0.614542965345	0.564780411193	0.71010353854	0.609435069697	0.58311191913	0.603885833483	0.583440196104	0.645927960491	0.595997197153	0.607918741027	0.559554523557	0.601554701271	0.614235348648	0.578774242038	0.604866346076	0.622723540943	0.62227547601	0.595448015492	0.620612954388	0.583365120751	0.610168879025	0.595484950372	0.580755380903
CS.010	0.64143640933	0.712122087476	0.737770687083	0.744101539156	0.701124962192	0.711886034243	0.634945809297	0.665137615328	0.659336305378	0	0.749969104809	0.679743675043	0.704894875154	0.693344348193	0.707910767653	0.624640925583	0.704298156634	0.644512421418	0.659976846218	0.681384211543	0.648858501425	0.72123777713	0.663796825723	0.638245935171	0.759111247315	0.723876104144	0.615397033191	0.742464949791	0.758768119098	0.635140555939	0.729489364671	0.740528345123	0.722539153965	0.746068113904	0.709781505253	0.774254989731	0.672898946199	0.704026580518	0.760004287707	0.763915162819	0.713894447847	0.681319612392	0.650635568788	0.715322726509	0.656238504388	0.732534269775	0.721932519848	0.700698312755	0.727064223982	0.739988401873	0.718776334957	0.66253997807	0.735871994772	0.722096965006	0.727837120321	0.7546039116	0.705901598761	0.72062626453	0.720188347202	0.735538454313	0.706981465183	0.679483906641	0.714644824743	0.729277406198	0.726588240685	0.726334117532	0.750515829399	0.716720953251	0.700063176639	0.726539563514	0.768499382802	0.697819383038	0.733456973913	0.726646256175	0.716920961187	0.737574981049	0.735557071454	0.750342642594	0.759459390904	0.726993313299	0.720563612945	0.693573738251	0.755363534784	0.726052287468	0.722813597959	0.738706261832	0.722718925302	0.747519273087	0.709251877702	0.749917038992	0.691480561414	0.725482766482	0.694268231333	0.649639377231	0.644897393736	0.714487374118	0.666550058343	0.70799522807	0.702618059443	0.653211408262	0.695789887654	0.716318379189	0.645522176005	0.658290100556	0.660251624778	0.732595270983	0.726309874495	0.758863817797	0.605053155389	0.669916933838	0.693308595713	0.661904536249	0.61560313011	0.713786010478	0.686122049625	0.744994235127	0.728291918374	0.688522902692	0.708326103132	0.756256365198	0.737236627013	0.73990274008	0.603285553031	0.650056715748	0.70345616368	0.705168478982	0.746233768818	0.712501468626	0.757080428721	0.707317847651	0.718668987539	0.740330985749	0.706667188314	0.628939177356	0.764107525742	0.706609288239	0.718507978108	0.736178615085	0.710977709243	0.709458877554	0.682007728795	0.724604595917	0.719789980592	0.674930918859	0.70642163171	0.725899080493	0.736886177694	0.719089503566	0.690678254685	0.750304589753	0.706699975538	0.709302552849	0.742019610812	0.738203872448	0.716749976876	0.700132590961	0.738354472716	0.746763530897	0.751142777761	0.748115100135	0.739896432816	0.711356257375	0.730824612613	0.728521535125	0.739843621003	0.748393555756	0.722258937926	0.704547181001
