CS.094	CS.092	CS.264	CS.313	L.025.M1	CS.261	CS.243	CS.017	L.022.M1	CS.099	CS.003	CS.172	CS.037	CS.091	CS.296	CS.066	CS.076	CS.115	CS.366	CS.377	CS.127	CS.229	CS.065	CS.381	CS.305	CS.334	CS.186	CS.040	CS.382	CS.367	CS.224	CS.136	CS.232	CS.378	CS.282	CS.126	CS.236	CS.041	CS.375	CS.125	CS.380	CS.292	CS.376	CS.205	CS.213	CS.182	CS.359	CS.148	CS.129	CS.181	CS.385	CS.386	CS.214	CS.183	CS.323	CS.177	CS.395	CS.349	CS.178	CS.348	T.CS.025	T.CS.062	T.CS.040	T.CS.020	T.CS.082	T.CS.019	T.CS.046	T.CS.024	T.CS.080	T.CS.067	T.CS.038	T.CS.050	T.CS.042	T.CS.014	T.CS.058	T.CS.117	T.CS.112	T.CS.091	T.CS.114	T.CS.111	T.CS.097	T.CS.156	T.CS.147	T.CS.123	T.CS.102	T.CS.167	T.CS.178	T.CS.177	T.CS.180	T.CS.160	CS.088	CS.237	CS.015	CS.246	L.024.M1	CS.006	CS.356	CS.087	CS.085	CS.082	CS.241	CS.242	CS.103	L.034.M1	CS.110	CS.345.0	CS.151	CS.346	CS.364	CS.113	CS.188	CS.164	CS.044	CS.347.0	CS.336	CS.358	CS.338	CS.189	CS.363	CS.233	CS.318	CS.202	CS.227	CS.361	CS.320	CS.158	CS.163	CS.321	CS.080	CS.331	CS.223	CS.112	CS.322	CS.285	CS.343	CS.253	CS.393	CS.390	CS.270	CS.262	CS.370	CS.326	CS.145	CS.255	T.CS.045	TFS.022	TFS.027	TFS.021	T.CS.049	T.CS.066	TFS.020	T.CS.031	T.CS.061	T.CS.064	T.CS.008	T.CS.043	T.CS.036	T.CS.055	TFS.025	T.CS.142	T.CS.151	T.CS.095	T.CS.109	T.CS.141	T.CS.166	T.CS.157	T.CS.152	T.CS.158
CS.094	0	0.69815246227	0.673980423032	0.656035239033	0.642112185253	0.670371614834	0.642592223449	0.638534433458	0.722393982866	0.660030199197	0.663517075213	0.60963247294	0.665698666054	0.686450805216	0.628298027788	0.617433383899	0.679326832663	0.694003130639	0.663054804889	0.713170064618	0.617650477209	0.641729185799	0.610145718928	0.661809161096	0.642503852177	0.710180935301	0.706304840412	0.65266131177	0.595048209096	0.712748617956	0.73637959405	0.65153170828	0.689577563285	0.69208915245	0.663474742632	0.624827092384	0.709050529908	0.638433081308	0.595992968479	0.648964509812	0.66126224301	0.673059660911	0.647691686767	0.669008277823	0.66750181967	0.678495197925	0.728574839404	0.702379009569	0.685528505866	0.681304633077	0.697260427558	0.726171971366	0.63454070857	0.715709210008	0.697057002491	0.686435250392	0.705809655263	0.694756250742	0.664086434671	0.701689954593	0.65255651829	0.64495098135	0.603522610395	0.719721268248	0.617892709005	0.629053675561	0.628381579912	0.618497505126	0.6287089053	0.606749048783	0.700476015223	0.626702084207	0.636819260906	0.639381085153	0.631067931458	0.639431645825	0.570204090398	0.67058331158	0.691179117108	0.570510224462	0.653625954609	0.580291801528	0.677271786607	0.612200192875	0.65718696277	0.617367517955	0.681494150631	0.675749082542	0.681874056747	0.701020208377	0.587847016746	0.674535363916	0.576589014999	0.643910919064	0.631671604632	0.570330486981	0.649004495617	0.56576734959	0.685929345243	0.69960818966	0.645541331247	0.629743226837	0.659233127527	0.607325158115	0.67683794803	0.702826422991	0.639543953954	0.710812484546	0.69130859948	0.588795701507	0.580591016966	0.714726950838	0.586080492541	0.656294072996	0.630800613602	0.736783144101	0.702413298026	0.698393515296	0.672038128811	0.709214911758	0.65970920425	0.638949107739	0.724550773186	0.612454054987	0.658581777757	0.635653213233	0.64160218117	0.58887942626	0.613716720355	0.689297789226	0.663495170553	0.636177635468	0.685140244369	0.667728706664	0.655395277987	0.751593280515	0.655252835271	0.676394105583	0.695670079916	0.659390828302	0.685389182679	0.665707245144	0.625220480496	0.678336651516	0.635268999012	0.648879072203	0.620624999644	0.635541679384	0.652498203789	0.652355070831	0.636758792643	0.619603388946	0.611465784927	0.626213689327	0.578654240333	0.582827238956	0.684992710962	0.592966014364	0.600089091675	0.560233191292	0.606211123892	0.670370107836	0.654593435604	0.593560855512	0.606541579052	0.604560852798	0.606083491743	0.630089968742
CS.092	0.69815246227	0	0.549589847045	0.509906655239	0.646523212821	0.513355616191	0.598092128363	0.574743449102	0.489774915473	0.510699645666	0.490341530225	0.557990461437	0.661594813841	0.614529808564	0.553060964771	0.575383019824	0.567070069444	0.613115964945	0.743659506162	0.643287342892	0.612819034897	0.670407399634	0.642427520242	0.575743743194	0.532946355319	0.704829707217	0.537451388149	0.572090985393	0.655001249073	0.739161660009	0.770399667719	0.591113103636	0.49515727799	0.676799218342	0.697221577942	0.589857323688	0.663355643246	0.64321252036	0.660263885471	0.679071408911	0.578036983713	0.584947725009	0.685802576893	0.736464834272	0.715331856986	0.593766486815	0.716917786465	0.685192383867	0.587057602609	0.623345242799	0.639650532032	0.718502326408	0.670444852633	0.735375067333	0.646964646825	0.695415654199	0.627876388492	0.626331686427	0.620158860801	0.591738472776	0.599679156664	0.564045190527	0.531479062685	0.533425738196	0.584501872194	0.640272647778	0.640592359344	0.606118490411	0.691289640515	0.608119981718	0.520842623527	0.613142884528	0.517665974095	0.586035883882	0.598035550473	0.558700686553	0.597025195633	0.541666951281	0.525568495174	0.602159750448	0.53821584134	0.590262609286	0.537771503606	0.603289025383	0.587325087699	0.574525143	0.49141186931	0.540141597419	0.537063803954	0.511806524132	0.688460773909	0.592659250223	0.603814736337	0.541748672278	0.622919932144	0.553460313781	0.720201543958	0.600879771105	0.463482779866	0.381231409451	0.558792700511	0.52653904146	0.523633132035	0.593984568236	0.609555129019	0.733275932225	0.602361589321	0.736445880973	0.722267840425	0.61500778455	0.702957880501	0.669766315616	0.58460746904	0.695398456686	0.656732505455	0.780706084982	0.610296619135	0.637626466807	0.67326568105	0.501828490837	0.683343747902	0.684868211098	0.789587030533	0.693472866558	0.640686665609	0.587426103903	0.613202367315	0.593493751408	0.584937837743	0.566747896611	0.665061923544	0.602706429179	0.709915295112	0.712063137004	0.704576460786	0.721671558201	0.668899684752	0.663588797632	0.675354019264	0.688170547681	0.672338435479	0.62054539779	0.617255196138	0.622330555921	0.629217257793	0.538721572488	0.617278145984	0.645291837008	0.69046480528	0.556482400771	0.533607678267	0.618978984255	0.651571936485	0.575846798215	0.703196532457	0.620642862626	0.526778367554	0.597739496367	0.659787586309	0.649941842511	0.598338873548	0.549419509684	0.530421671606	0.646101910726	0.590435027623	0.592840224041	0.587925061541	0.542670786413
CS.264	0.673980423032	0.549589847045	0	0.583543929342	0.652614882726	0.598798308051	0.573092946627	0.61793774764	0.616075642236	0.600898073281	0.574805010829	0.588336870537	0.665806338705	0.654088177573	0.593941666459	0.609100161509	0.598577392168	0.603351176443	0.69675731919	0.629634997144	0.608940704629	0.658835801163	0.609104175043	0.606131423974	0.609554537079	0.669492037073	0.593446030601	0.58744107571	0.648781283225	0.664560660629	0.730727045512	0.601444024053	0.563393546149	0.643687364684	0.669192016515	0.602906285471	0.658149700027	0.612992922025	0.608672978971	0.639306627776	0.639497792752	0.585213868789	0.661114322536	0.690864016917	0.652483074253	0.614904395897	0.690339002316	0.654545081737	0.585149585674	0.644720258728	0.647924123418	0.656884077679	0.64205610826	0.691712788412	0.639175746746	0.642700807793	0.623372428348	0.636097041311	0.62526603578	0.624918003153	0.6094495584	0.584058900601	0.585958019934	0.614262843801	0.58289496943	0.593267455279	0.611535362894	0.615666353923	0.643103946881	0.616037865644	0.567259817185	0.606686885049	0.597955674202	0.608485429545	0.593777827751	0.605254934803	0.625641307832	0.629052216798	0.605412468191	0.613552182491	0.601865624341	0.601561518547	0.623519730118	0.622911832105	0.625591588675	0.613262009977	0.569361956196	0.590108797001	0.565492583118	0.615126208706	0.673656690791	0.600892144912	0.653499960071	0.549247387017	0.633420159862	0.597047948682	0.669863796244	0.594484787368	0.56106033896	0.538528217006	0.621847566204	0.581431920693	0.585902740159	0.602288386733	0.596245919254	0.686942899948	0.605158058178	0.703575070355	0.672195034528	0.620561392449	0.664081880031	0.636401912018	0.594924020914	0.66542819359	0.627009325324	0.711432367538	0.59684634545	0.616115460378	0.652630048172	0.563287238702	0.650154912849	0.656363269492	0.727309405492	0.630037423386	0.605167774893	0.604744455635	0.58006726838	0.609233170617	0.590307881918	0.601521614417	0.64044702656	0.594461941378	0.659939544304	0.673704024173	0.651212774356	0.665106246122	0.631399520823	0.662644490537	0.646248102024	0.65596240856	0.648911645375	0.603569736656	0.639848129491	0.624652382739	0.624910082569	0.607008277997	0.639979953071	0.649004210239	0.666164322234	0.607360602723	0.616738167892	0.623375752486	0.645948985333	0.597731095367	0.670735648361	0.626236725933	0.584392773333	0.626873865745	0.6418489215	0.660667648686	0.647974716958	0.621892961766	0.607248428682	0.661616810947	0.594698871736	0.603498039907	0.584522855386	0.574511113444
CS.313	0.656035239033	0.509906655239	0.583543929342	0	0.599157404198	0.477093861612	0.538045404498	0.568729036935	0.506265299261	0.523021076491	0.533158025372	0.574857412449	0.684346011832	0.671904410655	0.486681820138	0.586472217767	0.649001820514	0.680488946313	0.732303612089	0.682330468638	0.568934409804	0.663555582928	0.657442861278	0.572219636794	0.524206214005	0.711109775994	0.518179813874	0.605395689474	0.569788771296	0.746037654194	0.76374399537	0.634855015627	0.533426395635	0.701442878598	0.691718754956	0.544803411308	0.700617456038	0.6674995311	0.64597125113	0.658722126859	0.546801281114	0.591694676492	0.681835677209	0.71358531448	0.687466091374	0.582671170378	0.737695658436	0.697910802931	0.59627028041	0.63559195288	0.661040140784	0.72116040802	0.667614848209	0.7599803275	0.654950268911	0.698594557715	0.663915555852	0.643098722494	0.605056525768	0.616887834408	0.552431192042	0.485516361536	0.494272357769	0.506850009999	0.545279649897	0.609463377007	0.623356628054	0.570915508565	0.626149781155	0.550878288566	0.528366264063	0.601806274097	0.499829032443	0.54184742876	0.567657120218	0.502846644801	0.546138323034	0.45736507896	0.518257747361	0.518511884306	0.493337576226	0.50229153928	0.468035313057	0.516321570938	0.486882869793	0.486708760449	0.481293143777	0.491605236328	0.565104874074	0.479542720799	0.658235369826	0.649306482988	0.564461276063	0.504593259246	0.52986100434	0.546624774453	0.693809934226	0.604767809151	0.525880026631	0.519289022392	0.507771044761	0.483635617193	0.560390852785	0.565093007769	0.651061773497	0.778677596866	0.599669722412	0.763113375951	0.743915992572	0.579314076834	0.657864863586	0.724935750116	0.559116316309	0.694427542231	0.597076176144	0.773837345756	0.620829716024	0.638775981878	0.659137808815	0.555822729391	0.660154415821	0.664969656072	0.790029320957	0.68054506525	0.604808406059	0.640434508291	0.658638772941	0.540508356141	0.611903352758	0.551645181564	0.667208278039	0.65846271487	0.695594991012	0.738746008629	0.67433403683	0.734025716213	0.672463924333	0.666602117711	0.671558142555	0.670708322128	0.67680637691	0.615091081697	0.598930983647	0.613001909877	0.573268972662	0.483453173245	0.536637777444	0.590995133126	0.643153646101	0.494640267241	0.482307704799	0.546131428732	0.59925395294	0.524168666287	0.619134021488	0.542558460426	0.528484620755	0.535203897784	0.591909949675	0.54990906906	0.500649630805	0.447983560632	0.435871775913	0.550013016297	0.4828922518	0.524760276271	0.516917858569	0.471813178089
L.025.M1	0.642112185253	0.646523212821	0.652614882726	0.599157404198	0	0.635327398274	0.620487191917	0.604983414988	0.642077662064	0.620354744339	0.623995360004	0.580496548554	0.645342860923	0.703186898725	0.606028268635	0.573209177757	0.67336205619	0.685827499698	0.707160959093	0.721117400484	0.652101946273	0.690180260331	0.672258697759	0.657324403094	0.64333384778	0.705814943291	0.627742399563	0.630259385218	0.630595528455	0.72562092471	0.711613821306	0.655755727572	0.644645692565	0.65863660477	0.695150186062	0.649892388305	0.720213638588	0.688003574134	0.646116000131	0.697384807972	0.655892705497	0.679147219062	0.681863656974	0.710186739435	0.671816743241	0.666695501127	0.719781038641	0.671458164944	0.635859639263	0.67695916697	0.714714073853	0.698793819603	0.679750152487	0.734640152357	0.707690487154	0.682851926875	0.711761457097	0.705578112434	0.66875355382	0.69297972002	0.634891897465	0.603870750696	0.611437868272	0.635407786731	0.624683985397	0.633761573599	0.657337902479	0.620420255967	0.655910251409	0.610352856204	0.665136345758	0.625775339381	0.652426891724	0.654653625056	0.63675537214	0.624697491573	0.621137976201	0.626806671129	0.626489276448	0.635425395746	0.643776887425	0.621049389617	0.647900221208	0.614664538646	0.633745103764	0.613808591058	0.647159078681	0.655142279773	0.634635988535	0.674962805966	0.598084268966	0.621948682897	0.5899486726	0.626891917903	0.604592884367	0.594400664893	0.679829559443	0.584576986519	0.61762848901	0.654725032974	0.634535071686	0.629422764309	0.621214883561	0.612216307981	0.643437566054	0.724179745724	0.664781753688	0.693967240154	0.730050430363	0.58442289338	0.681021962787	0.700126956553	0.596276251248	0.667842447691	0.660055939688	0.749205190028	0.683403949078	0.678706747576	0.685955697982	0.642598734953	0.674277640786	0.668546517249	0.747494306338	0.6726282248	0.660943326796	0.632488352955	0.64734381323	0.603705137976	0.631533084197	0.684429566746	0.688551355923	0.651940899633	0.673010893123	0.706512672938	0.669714475327	0.744549819097	0.683227713081	0.686226801726	0.697641793696	0.669138638277	0.688216132213	0.678674121872	0.658280264678	0.668658279523	0.620968333918	0.657775800938	0.5985971223	0.602031191749	0.608670320673	0.633030405566	0.63278257573	0.603649795341	0.614149807387	0.603645917496	0.62902180647	0.610497241382	0.621252443448	0.617746738112	0.619588871036	0.550040281011	0.601148475979	0.632312832438	0.639437336972	0.559124426077	0.635935600866	0.573855307504	0.627229420408	0.644354247083
CS.261	0.670371614834	0.513355616191	0.598798308051	0.477093861612	0.635327398274	0	0.524094662758	0.558786984176	0.469887867868	0.536340598092	0.524317160492	0.580008272843	0.691436888592	0.655207591789	0.441485561616	0.587918746711	0.658147435232	0.688005332111	0.725530799689	0.667449923004	0.533128542702	0.640073786525	0.59280404156	0.513253015398	0.437250185134	0.690708334465	0.523253606286	0.561525138103	0.530871275056	0.752069688268	0.75095069792	0.626186940475	0.535440492768	0.701281427711	0.681815818634	0.497575250761	0.692364716699	0.671419355701	0.62281200844	0.650026751358	0.487904683179	0.594010887952	0.641578027766	0.681142434172	0.686882116975	0.569290490125	0.728978411938	0.67130549369	0.58826191901	0.615404201146	0.642754857581	0.688117584807	0.625290439736	0.737150772867	0.599551028499	0.668572470474	0.62938406921	0.601244157722	0.562694379427	0.565064555089	0.522790314397	0.455695061488	0.440821572701	0.469305563285	0.519484974711	0.623826914315	0.617296621497	0.539384054792	0.589761642936	0.51689788211	0.493267311927	0.574550021134	0.459211390256	0.541701877717	0.531371613687	0.469934545501	0.512139152001	0.40516835291	0.513930150427	0.469605052867	0.446134072207	0.47946304849	0.435000980272	0.509244326311	0.498751294319	0.472578257456	0.424795819778	0.429063171286	0.538055381759	0.426603584821	0.654520868128	0.668350809315	0.57550605518	0.484684838303	0.543752577749	0.537829684745	0.695474227463	0.614294025458	0.526180203405	0.531190047929	0.467918305707	0.450719724763	0.54529703333	0.56682795362	0.637530738902	0.779659997091	0.586385535566	0.769127088281	0.723881862366	0.535824649219	0.644775713206	0.743357125159	0.537831703384	0.711211928613	0.579490316576	0.774488044235	0.624275370722	0.631250337202	0.641986873397	0.59654357319	0.652424802453	0.636621345053	0.794261194978	0.671942001461	0.575593951751	0.65820840283	0.663268758166	0.518640259921	0.605505609708	0.549974958651	0.641023755058	0.649687824802	0.676978940658	0.745832673254	0.650856605647	0.745963036413	0.670767440846	0.650438168035	0.649763299232	0.657402000411	0.633697705337	0.612955946508	0.562510996776	0.571597340837	0.54525751286	0.446366446324	0.489212081618	0.547592859635	0.65264670944	0.474622634249	0.445898776696	0.511280034602	0.56380664533	0.47104285723	0.569280197451	0.523484910655	0.540943416318	0.506820680179	0.569631745288	0.55424064956	0.48703014761	0.459838475378	0.445667995597	0.535310198058	0.482145120634	0.520367834134	0.495062000328	0.437324063138
CS.243	0.642592223449	0.598092128363	0.573092946627	0.538045404498	0.620487191917	0.524094662758	0	0.58352107759	0.58186165057	0.549887113128	0.576284687549	0.576954121628	0.662210223882	0.655039950554	0.541833328919	0.566689098258	0.635329019121	0.651335292861	0.673069125076	0.669377125482	0.555697055555	0.634651087557	0.612371752416	0.557346374019	0.568317723306	0.669683780638	0.55433688871	0.591613162741	0.550504082747	0.690857762052	0.734580363869	0.623401262137	0.575352334073	0.639396512931	0.654454650526	0.559629640345	0.657047131932	0.646952916119	0.598402562432	0.638273508263	0.593753715784	0.589538635647	0.640106784552	0.684600143918	0.625447844485	0.610655685979	0.703548339388	0.675194154338	0.582579365888	0.626283670897	0.633418741287	0.679266983973	0.637697094099	0.708805514963	0.642733234523	0.637525537954	0.637269434615	0.640269245247	0.59995918107	0.642391016926	0.542168028597	0.521057529653	0.524512812824	0.609141081076	0.543484450189	0.590058757773	0.58796019276	0.570495680017	0.607523965045	0.559542098002	0.582734778824	0.593482668672	0.556403423225	0.586879502399	0.558487219203	0.542647039777	0.578766371904	0.545136185756	0.587134559211	0.538432386351	0.563794652363	0.522721859815	0.548361756373	0.518725006253	0.525037989945	0.538715604174	0.552422983398	0.553987177429	0.563193651488	0.56045165391	0.633639960517	0.621521582348	0.554087060257	0.537730477847	0.545368199487	0.522095617021	0.663489435318	0.595735468957	0.575718753976	0.601957541238	0.550783467335	0.540314872793	0.568128744849	0.562137819331	0.609932599537	0.725846841189	0.613250428655	0.736078254108	0.680051907556	0.57129172705	0.639494025871	0.706243647033	0.563962214982	0.686026310841	0.610993831413	0.726778022133	0.611870595388	0.633450786381	0.636205311881	0.575110206741	0.631064070685	0.635445566936	0.757450992911	0.624836244042	0.585121052973	0.623934423368	0.622553323219	0.555620647937	0.591199344684	0.58054051612	0.620693771805	0.590938377984	0.645131060686	0.70093365714	0.627117443931	0.701077909428	0.630045465375	0.663551260461	0.643606974715	0.648091608909	0.633758092661	0.610180199035	0.597832289089	0.624620188548	0.602442324735	0.565216914738	0.55817496662	0.571604566549	0.651262869606	0.542969460972	0.56137414708	0.567615889566	0.604731937989	0.555467503602	0.613645284648	0.563200873711	0.567759968746	0.558398356328	0.609021213907	0.576540270579	0.549393925748	0.547799584473	0.530988553847	0.562179754789	0.54075512242	0.556171179338	0.550337750535	0.539485664655
CS.017	0.638534433458	0.574743449102	0.61793774764	0.568729036935	0.604983414988	0.558786984176	0.58352107759	0	0.620632819903	0.533471986288	0.571593227477	0.547083725898	0.61691615033	0.673321114691	0.581202404032	0.539872448776	0.654215317485	0.658167404885	0.720480257764	0.703313009649	0.622457841714	0.651165520654	0.613376845257	0.60025420091	0.592920016077	0.687137645118	0.592479936995	0.568322302189	0.601405771371	0.740258655223	0.747324431172	0.626154189295	0.601261327705	0.679278419909	0.698515197329	0.616688159801	0.658846170682	0.638533562216	0.629816947481	0.697719758912	0.60753043162	0.616265031303	0.678211234635	0.706554622154	0.667324729668	0.646849261636	0.75004574791	0.695893617351	0.618640819644	0.666733727468	0.683758924307	0.711584821749	0.666766157525	0.73670031594	0.669255165928	0.701796249829	0.666953199544	0.66574605727	0.657107098251	0.644520790178	0.622564518377	0.55808403189	0.553677338642	0.589685712447	0.583210464378	0.652039192922	0.647542695219	0.584427940735	0.654852801863	0.620361654901	0.608784010974	0.600216779043	0.570117479587	0.636680065514	0.590984337176	0.578331215081	0.576108181662	0.575439732308	0.589356717947	0.576483384348	0.570667600188	0.582428812103	0.570222692173	0.596281215556	0.566647259221	0.561688623729	0.56585865925	0.583681188502	0.604419841891	0.595449692005	0.622786952726	0.635249239923	0.519716555685	0.604361680555	0.607980277866	0.549883311659	0.692809305267	0.586749348162	0.564123531781	0.598148545343	0.527692841086	0.585040179589	0.563194579104	0.554696606714	0.619765786787	0.746023015305	0.634989612571	0.737552622355	0.718412956795	0.523079274711	0.693131299841	0.692954228618	0.536008057993	0.684751849787	0.663292933897	0.755791890969	0.644167796556	0.671555972976	0.674484226736	0.594617734977	0.662216743628	0.675926317296	0.766260678054	0.657588347411	0.627000515986	0.615457128658	0.646967951573	0.563644237861	0.607744974441	0.617215002737	0.690800986053	0.60934894568	0.699390248794	0.720722839622	0.671459651272	0.741795861636	0.649032395829	0.678471048035	0.676835048396	0.648155543064	0.649764726646	0.668096661141	0.62154530346	0.641863662453	0.578542765812	0.602182699356	0.578562893219	0.63281555338	0.663277449773	0.570281200017	0.594504770108	0.571661614606	0.62864266103	0.569949757736	0.623557435708	0.600419660955	0.585365020391	0.565728936659	0.629441812964	0.597032296264	0.57432779352	0.56649420418	0.570271771389	0.570805381951	0.610119176748	0.576595259544	0.599583664275	0.593350573708
L.022.M1	0.722393982866	0.489774915473	0.616075642236	0.506265299261	0.642077662064	0.469887867868	0.58186165057	0.620632819903	0	0.536779066029	0.525630702391	0.604300689195	0.698730840704	0.704123589374	0.539502062063	0.613991608014	0.670883170995	0.692402098559	0.752190128063	0.679041839632	0.614780883047	0.70792357221	0.672434510164	0.569797546305	0.532793650509	0.748046907958	0.507469616374	0.613833280802	0.637587108301	0.766885419433	0.78102147042	0.648641747406	0.554591784444	0.713735304579	0.7154756578	0.587939422871	0.71885599733	0.684532123568	0.688172906775	0.690580701214	0.553601719171	0.618668667759	0.700829529742	0.748240360492	0.73237852854	0.63024437966	0.750431867268	0.703396571824	0.619543992139	0.664021036002	0.678645479325	0.723148177573	0.68807195703	0.771811777655	0.669787203695	0.721093439868	0.669852657864	0.651876250789	0.626547133371	0.614746956294	0.593796644803	0.555159940528	0.553987808047	0.495896490959	0.60239709576	0.65421524136	0.661792532953	0.621528541164	0.683214590546	0.599099732127	0.519623301276	0.627120711652	0.526299645861	0.590706405711	0.606329122273	0.525883712118	0.591095232826	0.491894281029	0.497046782296	0.579302532787	0.500308343603	0.566540282561	0.464987225491	0.588365692246	0.540626682701	0.550309557645	0.496807583652	0.489758781645	0.566242506591	0.468498657787	0.70441150144	0.674570898263	0.615352006269	0.543332090276	0.576603520763	0.58024234599	0.743302551413	0.652901685036	0.545921341627	0.529803978523	0.555422248917	0.531223978351	0.560202633145	0.621663090153	0.670212054049	0.785575789652	0.629618785265	0.782604926874	0.754068361455	0.62496939429	0.719060838354	0.741745716452	0.615667992214	0.720805981712	0.641067147071	0.805216216586	0.643338264531	0.642346473615	0.680607514635	0.585064325026	0.702097462813	0.685454346967	0.809876289334	0.727820601841	0.630441176336	0.672376220059	0.670886936581	0.604784791153	0.635383884201	0.572679639356	0.700547526706	0.668725127664	0.723771651951	0.752058767053	0.698874980462	0.759619425135	0.707541771943	0.687254258769	0.687938807284	0.702838630589	0.68751633618	0.626651667938	0.628628794954	0.621926287958	0.632050098898	0.520159734598	0.605409598308	0.628422171633	0.687638673699	0.525080711999	0.510454899783	0.603459124291	0.656316372895	0.578522780656	0.67118688274	0.610951910913	0.539305326347	0.60146759115	0.65563529375	0.63838943088	0.569730373504	0.497500826336	0.483264886045	0.621401219994	0.582928573301	0.578961994658	0.566037869075	0.53967794552
CS.099	0.660030199197	0.510699645666	0.600898073281	0.523021076491	0.620354744339	0.536340598092	0.549887113128	0.533471986288	0.536779066029	0	0.501861339058	0.521823403032	0.668004595867	0.6791670895	0.527075964019	0.545412544987	0.629580033607	0.655767593253	0.75349818811	0.696897009995	0.628229145906	0.674034471962	0.656122062255	0.612605888473	0.564451881765	0.734175336188	0.523833025556	0.574959027329	0.632414166654	0.739700494553	0.77702877056	0.629563827483	0.551244960605	0.678788547863	0.72308628535	0.615095492067	0.687734524285	0.666792671398	0.659370161235	0.71067518382	0.604077217103	0.615669406604	0.697131763154	0.737596370123	0.701791088695	0.644927917677	0.736644613537	0.712573461842	0.606380860117	0.674331396128	0.680232585306	0.727121189185	0.670786719856	0.752511289894	0.68014116828	0.708954902525	0.663010394213	0.669834755977	0.640340622355	0.668074837711	0.5828071852	0.538028522431	0.514472845165	0.538954912888	0.563887080871	0.645673727291	0.649669939016	0.610064009766	0.664897830501	0.581486578944	0.582141723665	0.605269853479	0.550162018676	0.599958710461	0.593205283506	0.561110027568	0.590931025886	0.531921357711	0.511871850444	0.550447539445	0.531069061278	0.532232318957	0.511187009077	0.572905845448	0.530423016261	0.511088004829	0.544031266346	0.552177679039	0.557717708846	0.543709195756	0.636526086958	0.634547939294	0.550085019733	0.545136209198	0.541158440459	0.485995529663	0.688389134099	0.54983239349	0.520498178305	0.525681857172	0.53454486903	0.532982363623	0.532886639847	0.592572033165	0.62874310945	0.763702891748	0.643868110951	0.752890571725	0.733997994253	0.561762425936	0.700609460755	0.695765559767	0.549316864354	0.689907488913	0.647211843952	0.787111361294	0.648981744559	0.655837924375	0.692489653448	0.546643850307	0.696716269582	0.666219160689	0.786873418888	0.685491673436	0.65203450018	0.62378272271	0.630265968756	0.559301543709	0.603121778191	0.601709516069	0.698821845766	0.622548505134	0.720722939111	0.7403327616	0.695858867759	0.726911899571	0.69532163593	0.694346355318	0.70247758175	0.702030078971	0.687139933277	0.646430881411	0.644252844018	0.64406335018	0.603512051571	0.534375669926	0.568524919889	0.596478776344	0.683654037456	0.522838897998	0.539003298739	0.575748137173	0.636061907871	0.55387672997	0.658941824956	0.595394338363	0.544506234598	0.556356185403	0.635440095435	0.589888248758	0.555895533752	0.524555143634	0.511840399758	0.582165186773	0.558505261911	0.541076276267	0.562759430358	0.547772665504
