CS.297	L.011.M1	L.005.M1	CS.172	CS.259	CS.098	CS.313	CS.174	CS.002	CS.017	L.022.M1	CS.257	CS.059	CS.280	L.036.M1	CS.371.1	CS.161	CS.269	CS.155	CS.334	CS.305	CS.229	CS.062	CS.171	CS.377	CS.076	CS.290	CS.050	CS.381	CS.366	CS.136	CS.232	CS.282	CS.374	CS.126	CS.213	CS.236	CS.292	CS.376	CS.378	CS.128	CS.380	CS.041	CS.375	CS.205	CS.359	CS.182	CS.385	CS.323	CS.178	CS.372	CS.395	CS.181	CS.254	CS.256	CS.148	CS.183	CS.177	CS.166	CS.389	T.CS.082	T.CS.007	T.CS.089	T.CS.080	T.CS.076	T.CS.069	T.CS.035	T.CS.085	TFS.024	T.CS.071	T.CS.041	T.CS.023	T.CS.012	T.CS.056	T.CS.052	T.CS.160	T.CS.147	T.CS.139	T.CS.178	T.CS.180	T.CS.129	T.CS.097	T.CS.124	T.CS.153	T.CS.118	T.CS.144	T.CS.121	T.CS.100	T.CS.119	T.CS.114	CS.088	CS.242	CS.087	CS.082	CS.356	CS.015	CS.006	CS.238	CS.246	L.034.M1	CS.103	CS.085	CS.110	CS.241	L.024.M1	CS.044	CS.151	CS.330	CS.113	CS.189	CS.358	CS.311	CS.304	CS.207	CS.338	CS.325	CS.078	CS.150	CS.336	CS.234	CS.320	CS.339	CS.318	CS.361	CS.223	CS.227	CS.163	CS.080	CS.331	CS.194	CS.321	CS.319	CS.343	CS.112	CS.158	CS.370	CS.270	CS.145	CS.262	CS.390	CS.253	CS.393	CS.326	CS.255	T.CS.055	TFS.022	TFS.025	T.CS.031	T.CS.049	T.CS.045	T.CS.061	TFS.020	T.CS.064	T.CS.036	T.CS.026	TFS.021	T.CS.066	TFS.027	T.CS.008	T.CS.142	T.CS.141	T.CS.157	T.CS.095	T.CS.158	T.CS.109	T.CS.151	T.CS.166	T.CS.152
CS.297	0	0.535422121683	0.420693078178	0.556825301411	0.431896161505	0.52035663351	0.503896104774	0.425440054009	0.601725757966	0.539650926084	0.575960105204	0.588354801408	0.51524445161	0.48007680123	0.493502158387	0.538617712392	0.682168998658	0.749544583876	0.512788184423	0.685688578975	0.458651354394	0.630900061292	0.517602309171	0.582703727906	0.677573591515	0.679817438371	0.646148179571	0.672255797339	0.52092769596	0.696840661515	0.619520296508	0.562559175912	0.658341846185	0.653187831722	0.474225906441	0.658513010114	0.706219436147	0.621687327516	0.638206780558	0.696518735258	0.556055804079	0.468301628924	0.643421220126	0.588200608711	0.667130920372	0.71983861198	0.57780999529	0.65675932153	0.624108407223	0.56466320359	0.63589330088	0.647474767446	0.62522144178	0.646650388618	0.644057282619	0.671715404221	0.730328110709	0.670290809276	0.676125901031	0.63195038549	0.47845676278	0.594330604701	0.543136608404	0.550681046294	0.551618524893	0.483691531878	0.489138533954	0.46720656761	0.489473038724	0.456029946117	0.490021164048	0.720263111347	0.652053235517	0.599383245118	0.606786406426	0.514689800024	0.463768343229	0.473163703184	0.491947938183	0.572520592607	0.50020685722	0.478325090505	0.525289328632	0.541819274551	0.524180693533	0.437954238073	0.500306637957	0.550539958181	0.609856757066	0.565549635157	0.60145127061	0.468394313953	0.575118328972	0.562736715163	0.659768430425	0.554988985322	0.501382704965	0.549921117073	0.498467871564	0.560047087073	0.573163907721	0.564636854875	0.63350656851	0.492339429683	0.51238675758	0.499642995314	0.578495536189	0.626185658062	0.486472970113	0.64520318262	0.745801882064	0.575199329585	0.702369529588	0.68627146826	0.645537882973	0.726573660762	0.533560473291	0.588129328162	0.56168047043	0.66199100338	0.560334946445	0.600039926215	0.626530772156	0.634901394302	0.625299534379	0.766698643433	0.648190534431	0.596229911074	0.578611379294	0.717063238287	0.449648215147	0.617320651405	0.622042165869	0.634879483911	0.64385221043	0.631978529724	0.646713810949	0.525358689343	0.644115332882	0.649343754868	0.752649757137	0.660815760224	0.619020629874	0.599394092462	0.488232419012	0.463552911363	0.499367445931	0.501922868956	0.60709115319	0.489328915437	0.509955889234	0.462118770498	0.447927676746	0.559739890909	0.68555353447	0.503739117186	0.470136380202	0.433367431061	0.492733506789	0.449965764194	0.46425536727	0.495258398065	0.471237142597	0.429976625042	0.471949446114	0.429649980822	0.454952627818	0.483976743749
L.011.M1	0.535422121683	0	0.557969342183	0.562036454935	0.539131553005	0.554173223137	0.524862534258	0.522792056134	0.616077551056	0.557677651432	0.570719687825	0.567610181279	0.567985298779	0.546236670922	0.557407994522	0.58145275677	0.632792742122	0.729333129585	0.584232851242	0.673746194264	0.515392412661	0.605570981756	0.523784084735	0.598823593453	0.639777058159	0.625793699246	0.622563349697	0.649964284096	0.56246498923	0.685224818629	0.603243593865	0.575735591339	0.644474272758	0.630053133342	0.552947392621	0.652469410487	0.662444703589	0.599678016148	0.632732732812	0.663222928449	0.545348714909	0.538804515019	0.637035745726	0.594840166903	0.661169181163	0.711875116877	0.57604000829	0.605058088593	0.598803870453	0.607194354674	0.613464924256	0.640414010088	0.604757228526	0.612791627984	0.621505076648	0.671120911291	0.722526637025	0.644660705363	0.66351892512	0.6325720389	0.527267986651	0.64094183056	0.564475271466	0.568844438711	0.567995843871	0.573573418531	0.538041071186	0.537018200595	0.53444155585	0.553250198667	0.545808257869	0.725126607773	0.664483436994	0.631219407178	0.629191641126	0.542602854781	0.552287886587	0.54800286623	0.53513671689	0.563478986711	0.572005275252	0.553931610026	0.550772616754	0.570479484945	0.555365694497	0.556206966745	0.551666926058	0.580069580962	0.583989905546	0.58979040363	0.627452877839	0.527157132672	0.595770286554	0.573934387941	0.659959225341	0.570821073325	0.510871396655	0.563951096746	0.526297869501	0.550525132271	0.570927537857	0.573102356049	0.633132630708	0.52334781628	0.573718910253	0.532567879374	0.605059292134	0.621611801918	0.541108043152	0.649532909615	0.721443911763	0.565040501739	0.691108709008	0.671851103485	0.605189785485	0.738487389569	0.560609834652	0.580826799389	0.58774703606	0.661868612535	0.588046874319	0.622975591238	0.611988605332	0.611656071137	0.611032687177	0.747300513445	0.619658703346	0.582284946899	0.56277706058	0.716796302117	0.529241419778	0.614414251974	0.625288155943	0.610672221374	0.627791590479	0.625863132464	0.631098987612	0.534089740892	0.620981770163	0.6119968543	0.727447416651	0.638177137999	0.595876864274	0.59308636473	0.549572459152	0.538737228948	0.564268674148	0.565848854384	0.623438330643	0.579158076987	0.565804478862	0.537390651423	0.518633824746	0.605508970774	0.697027832768	0.564696470067	0.545817175949	0.525852468982	0.575889051779	0.588226520099	0.57314811745	0.553027448413	0.556760258447	0.510684599643	0.521722690412	0.540374973543	0.522049317439	0.54802101018
L.005.M1	0.420693078178	0.557969342183	0	0.586398479786	0.449527879233	0.558717803186	0.46882909622	0.433254519501	0.656285912941	0.576144335769	0.55579056063	0.572046762688	0.577105425758	0.460351368344	0.508646658323	0.614667746713	0.715861790922	0.77940550366	0.591619459299	0.731511898345	0.521501040895	0.688985122409	0.548070652902	0.615764480686	0.737236406007	0.69515970119	0.696426182491	0.691398482127	0.593210868607	0.731348268448	0.675692280642	0.59519432061	0.712623033209	0.681641501422	0.557980950747	0.702125453944	0.744792293265	0.651307222477	0.685877483267	0.708192684742	0.625487975842	0.535622026526	0.692308028819	0.650391110156	0.702912691442	0.755347404345	0.641920162799	0.704842100459	0.67689599835	0.622157450099	0.682837467657	0.6989052353	0.680689374552	0.701113207025	0.685941102076	0.70452241836	0.766436870091	0.713724501397	0.735598026088	0.704104460495	0.536125148273	0.661836946406	0.591363220899	0.628238771491	0.59332970331	0.574711235494	0.554658608529	0.493727361141	0.537808276725	0.527970276964	0.569256814073	0.763111770477	0.697028782512	0.6389553038	0.681738554842	0.519405410017	0.436469031332	0.451414719047	0.533885018291	0.586791719791	0.519127341676	0.481270664274	0.511230072281	0.521855138932	0.582012836704	0.435755963209	0.571195684426	0.505624223441	0.607556837466	0.562288624872	0.638883089851	0.494078019527	0.577212735983	0.601019477842	0.698888779602	0.524220739841	0.504323281988	0.564221027642	0.542594482881	0.572105888982	0.582598411405	0.58409982225	0.67101029769	0.504683457533	0.471278020676	0.553077827232	0.640436177264	0.667383558671	0.554234616297	0.674535072821	0.786375944083	0.624527211316	0.726377929425	0.716417680359	0.683715312595	0.750373212173	0.576893186666	0.625326196061	0.628924779981	0.706474031173	0.614729260928	0.654273895355	0.681181878438	0.70345846165	0.693017522699	0.792147233638	0.691526483151	0.641494378643	0.610825495844	0.750748882668	0.507640628692	0.678361294693	0.666747138555	0.682020850575	0.679875455723	0.686355730364	0.686525249642	0.601397742644	0.691202929228	0.690025223791	0.76676564922	0.706757760937	0.65134385365	0.643211384456	0.512929170719	0.479621899557	0.556318030343	0.535250406912	0.645037256654	0.557244613298	0.58497637267	0.47710349953	0.507561113869	0.582138999721	0.730532675148	0.540659495886	0.473383576922	0.472391318473	0.578107236944	0.457786125003	0.458748057708	0.492204678617	0.421791601287	0.469561376123	0.449416991553	0.431406468203	0.484597992573	0.506951699452
CS.172	0.556825301411	0.562036454935	0.586398479786	0	0.568263715411	0.581496610056	0.574857412449	0.58685217723	0.574874170211	0.547083725898	0.604300689195	0.542166407597	0.572998041843	0.593808588915	0.565471310092	0.596175847832	0.618969198409	0.697279256246	0.622758668492	0.690267008961	0.579534872653	0.63893008012	0.498284319362	0.513619373284	0.657281343081	0.58562479124	0.650251156158	0.580924714698	0.593614528076	0.691183795491	0.574044507665	0.541456334083	0.656421076861	0.639101897075	0.581237651854	0.643934073198	0.642707711224	0.589162328956	0.624908303212	0.617991478876	0.632935224972	0.610496698577	0.594283866927	0.579211249222	0.68016731229	0.685982030547	0.633013533673	0.654398048907	0.661528944187	0.62358034509	0.660132319064	0.654624396648	0.639959050731	0.658736921109	0.673713364983	0.658815536076	0.698246590131	0.684215306265	0.683286212139	0.618283390327	0.551526907982	0.637371133004	0.608633381795	0.628775528179	0.632444686449	0.620370649499	0.565683966157	0.573012489112	0.592972040973	0.607469846062	0.559373515202	0.68852419456	0.645643019925	0.579999444004	0.653764171695	0.616161993519	0.610917816936	0.604686394596	0.584030514314	0.553386437362	0.611153575765	0.591400734257	0.546992323725	0.565872327435	0.601691080304	0.60146445082	0.62103479592	0.596987340632	0.615785803492	0.567068883212	0.602821868557	0.558321575599	0.526599599824	0.544736335762	0.639385135601	0.549137438336	0.506917118132	0.554135609864	0.559991396246	0.574018875464	0.557543087981	0.515128710231	0.598581971135	0.576781465056	0.585408095356	0.513741755149	0.614582942588	0.633903733083	0.519317971154	0.621269688846	0.718048903392	0.542507003716	0.659838073926	0.612763428467	0.606342811692	0.7014748687	0.576522536975	0.563554331051	0.594372528236	0.609361948929	0.619182432667	0.611362749086	0.635846177193	0.62368115986	0.649103427798	0.715605625093	0.546491194019	0.549947465411	0.608560799903	0.711696559684	0.542872794291	0.659800216627	0.638984744636	0.535602029024	0.546481638775	0.663617475241	0.658273762444	0.616452054451	0.634268439543	0.646954720436	0.682630239837	0.635789718036	0.606682196552	0.62173672142	0.588061431436	0.600445615074	0.575191743065	0.548778842758	0.626534720581	0.56252545814	0.600036642142	0.59194584183	0.565322425288	0.566797452895	0.67757068702	0.611659819685	0.567485777567	0.58039701297	0.605888037861	0.590544566493	0.577179748107	0.545778703057	0.592031997594	0.57576324875	0.599845342429	0.576570115419	0.586092441661	0.578406772852
CS.259	0.431896161505	0.539131553005	0.449527879233	0.568263715411	0	0.505892151677	0.49192420117	0.417334181086	0.616419579683	0.562955199547	0.548523678674	0.580290178405	0.546146802757	0.483008122715	0.487752169894	0.566914081456	0.694395577888	0.733821941218	0.530134284332	0.689403077017	0.482894900183	0.649973804888	0.539567531996	0.602637694981	0.668122409476	0.654521199325	0.660401453121	0.673387781194	0.529598350887	0.700679570797	0.627198358804	0.562125351538	0.671507234407	0.680394144006	0.495321590566	0.670624302113	0.715249928418	0.626083822604	0.646007030729	0.689656095462	0.584768262467	0.469753210673	0.663641789472	0.607795585281	0.678307828306	0.718882293262	0.589094822333	0.660916616498	0.637075714638	0.569829563382	0.63963334045	0.640587610573	0.631133769864	0.642491771328	0.664769469104	0.682611312958	0.730516164689	0.6879333355	0.665184696727	0.649682017536	0.524661539518	0.607503817547	0.555960052586	0.569460382752	0.551354873595	0.53283597328	0.51368108423	0.507581007395	0.534106666321	0.494740704913	0.528213218784	0.720861288026	0.660910427606	0.619177305987	0.626352616194	0.516037596823	0.456692572904	0.462187930092	0.529864147346	0.585471237002	0.475968278134	0.461448896021	0.498406356455	0.511647957132	0.538473947291	0.455875237865	0.535351454293	0.531933842338	0.570950136417	0.553477956972	0.63304933174	0.470631985959	0.577905848068	0.557246303986	0.675496017279	0.554888657435	0.520745344902	0.559654750858	0.515664571901	0.572840851721	0.563109951163	0.551822380851	0.65679625249	0.530888694688	0.527411454417	0.516548478737	0.582974492961	0.650575950448	0.531848168371	0.643569046156	0.741145320254	0.592012539392	0.701150384379	0.682719622179	0.639401022611	0.750775019989	0.583152544966	0.577436155229	0.572637078842	0.662759583503	0.593664903197	0.612832949511	0.638019457544	0.662357768254	0.633739844272	0.776455105728	0.647604274254	0.599621348378	0.582954242005	0.731845487908	0.510768768465	0.638569567436	0.66094230957	0.643361837387	0.654761567805	0.635459983023	0.645513768193	0.550554636321	0.631220257338	0.652326138088	0.734104648151	0.671805190317	0.617899625141	0.613743460007	0.519619482044	0.471521875104	0.529186995337	0.525834676595	0.632475907819	0.522203863603	0.543402707636	0.446846556424	0.475284558907	0.558344737574	0.702162720764	0.541131324771	0.463650436291	0.491092508396	0.551228364421	0.471359420064	0.489515160373	0.51703901961	0.469530958135	0.479599498093	0.469096254859	0.435962724149	0.505714589185	0.478005637288
CS.098	0.52035663351	0.554173223137	0.558717803186	0.581496610056	0.505892151677	0	0.494381524978	0.487263513084	0.59861049476	0.527114184494	0.528778423888	0.617147267394	0.490342875384	0.500086409019	0.544331286248	0.639545959036	0.698726027196	0.78838680003	0.550251053505	0.718932526326	0.514666582825	0.660964417777	0.540597530216	0.597213225069	0.680640990097	0.665207035971	0.690122629769	0.672337452782	0.550466457039	0.739038899252	0.632040770438	0.535049733571	0.713393169076	0.684875737711	0.55428340257	0.713373783195	0.698631898389	0.582706999288	0.68774603669	0.729605400163	0.612406692772	0.528149337649	0.642084985517	0.654281375279	0.734275780706	0.766046729035	0.60339492013	0.656857172632	0.656699719792	0.603463154071	0.656219396809	0.647579101368	0.65083577459	0.672919000575	0.680038941345	0.707824898587	0.757410251188	0.701027179807	0.692169160514	0.665461920099	0.581242881547	0.673626382491	0.604238901339	0.635690719061	0.590612823622	0.588584795462	0.571660744362	0.585400496768	0.583981003614	0.5620350076	0.577681422124	0.779034967747	0.717487527562	0.645868230335	0.654363089068	0.490457946649	0.490255101397	0.521486393101	0.496182901395	0.580565225222	0.509830767146	0.513686072607	0.518252321423	0.509288763604	0.584047656158	0.527668682524	0.559908742416	0.570383069067	0.537230931024	0.548075708513	0.660356511613	0.518566531259	0.644395115834	0.550209112066	0.724575936055	0.570692043632	0.575952781726	0.577726921497	0.562926540251	0.605206742726	0.524155403145	0.534482434208	0.655212714049	0.476239139471	0.605835666976	0.55711872875	0.601774187257	0.674630702152	0.561756804129	0.652196206031	0.78703808193	0.615772308298	0.721256120125	0.710305363885	0.641454990196	0.772080796377	0.594146030588	0.599272425443	0.641913565551	0.703497222239	0.60851567208	0.689343883326	0.687776215423	0.706679484822	0.67484754918	0.804836698449	0.676045422133	0.597440707781	0.576751088079	0.768949100578	0.57436105276	0.684143961202	0.699677469387	0.654325403681	0.665600787704	0.65076134323	0.67101558754	0.611253501839	0.665655415963	0.663431830261	0.756540727757	0.679446276804	0.65022129682	0.610067092413	0.555733816695	0.516285433209	0.632970250778	0.552503176518	0.678423929681	0.599633839588	0.638972155219	0.498681432676	0.532274506326	0.548872449824	0.734120867344	0.597391584078	0.533172212163	0.563592837153	0.629418902764	0.603048300777	0.582476181342	0.582519315432	0.496486578723	0.532273513359	0.521757162059	0.556268204784	0.582637860574	0.554513081022
CS.313	0.503896104774	0.524862534258	0.46882909622	0.574857412449	0.49192420117	0.494381524978	0	0.464157409882	0.589045809094	0.568729036935	0.506265299261	0.549053596329	0.526235558932	0.484532350295	0.512543763495	0.615155598457	0.682191563258	0.766016764489	0.543456350707	0.711109775994	0.524206214005	0.663555582928	0.527584472834	0.576821199844	0.682330468638	0.649001820514	0.685288932273	0.655628200101	0.572219636794	0.732303612089	0.634855015627	0.533426395635	0.691718754956	0.670260835993	0.544803411308	0.687466091374	0.700617456038	0.591694676492	0.681835677209	0.701442878598	0.592316118378	0.546801281114	0.6674995311	0.64597125113	0.71358531448	0.737695658436	0.582671170378	0.661040140784	0.654950268911	0.605056525768	0.664464781426	0.663915555852	0.63559195288	0.66133099871	0.673698137899	0.697910802931	0.7599803275	0.698594557715	0.691307777702	0.656232096453	0.545279649897	0.64575994572	0.587412206275	0.626149781155	0.569339460032	0.576447786035	0.572906309316	0.542910203324	0.567672596528	0.540638989109	0.550294616284	0.743453077251	0.693840308009	0.631467123919	0.656645967387	0.479542720799	0.468035313057	0.469591047893	0.481293143777	0.565104874074	0.508887291054	0.493337576226	0.483658191623	0.464943100286	0.547603454146	0.505546736846	0.557014706409	0.502212753952	0.524933127494	0.518257747361	0.658235369826	0.483635617193	0.604767809151	0.519289022392	0.693809934226	0.564461276063	0.546624774453	0.555225200205	0.504593259246	0.565093007769	0.560390852785	0.525880026631	0.651061773497	0.507771044761	0.52986100434	0.559116316309	0.599669722412	0.638876819953	0.579314076834	0.638775981878	0.773837345756	0.616132413776	0.697775502146	0.679035518396	0.620829716024	0.76259378724	0.603546222	0.566441027221	0.597076176144	0.669654824309	0.604808406059	0.669707524702	0.660154415821	0.68054506525	0.667208278039	0.790029320957	0.658638772941	0.611903352758	0.551645181564	0.759833138129	0.540508356141	0.661713932469	0.67433403683	0.65846271487	0.640434508291	0.67680637691	0.671558142555	0.598930983647	0.670708322128	0.666602117711	0.734025716213	0.672463924333	0.615091081697	0.613001909877	0.535203897784	0.483453173245	0.591909949675	0.546131428732	0.643153646101	0.573268972662	0.59925395294	0.482307704799	0.524168666287	0.528484620755	0.72286326063	0.590995133126	0.494640267241	0.536637777444	0.619134021488	0.54990906906	0.550013016297	0.524760276271	0.447983560632	0.471813178089	0.435871775913	0.500649630805	0.4828922518	0.516917858569
CS.174	0.425440054009	0.522792056134	0.433254519501	0.58685217723	0.417334181086	0.487263513084	0.464157409882	0	0.627742660021	0.547548431818	0.508331977951	0.60458637874	0.509454788409	0.429640906667	0.516275069294	0.58920684293	0.702034855925	0.771122665972	0.533627301415	0.717788624532	0.440370320454	0.677955757961	0.5268507816	0.625136020705	0.687655715997	0.684125070268	0.665093187827	0.701419826778	0.527612768878	0.735507858261	0.649746921392	0.559756856733	0.683614176905	0.669115601263	0.502940990295	0.686828375183	0.731071357909	0.612988071089	0.660822677036	0.700516648932	0.567276548996	0.474622455322	0.692858682342	0.621255789944	0.688377068182	0.738167456983	0.594428052272	0.65619451293	0.62139209323	0.582689748439	0.644969825908	0.658507250444	0.622410202247	0.648522793972	0.659248922344	0.69534638079	0.753503309194	0.675719448812	0.689187472504	0.646393509817	0.516286635127	0.624850976717	0.560172070718	0.594410232837	0.547807647205	0.529316882526	0.539498877916	0.487131026525	0.538335683427	0.501809563971	0.530648479792	0.771951361816	0.682286541852	0.647572406667	0.645876580317	0.470691992644	0.395444677609	0.432564281788	0.45686469845	0.574713439134	0.455459857644	0.442291171464	0.509357798437	0.513575361768	0.549240254956	0.440435995135	0.51430477581	0.522056513928	0.546729045551	0.556073309874	0.656226175621	0.474297965092	0.616494491122	0.566213276528	0.704762520744	0.54234331063	0.531452759724	0.560014394667	0.496716893563	0.557034615162	0.562140128837	0.566424983834	0.675040646667	0.481633528854	0.508427058311	0.534141660837	0.601034866508	0.648801258917	0.54802149147	0.645790171699	0.775569479908	0.598444693371	0.724766101604	0.705399510825	0.655320836733	0.770817045588	0.56760207044	0.596447294838	0.591004374	0.683487327672	0.592354293788	0.636069201196	0.659892268786	0.686914339728	0.653277533211	0.801673774674	0.683919005013	0.629677210791	0.555770753121	0.754777050165	0.502421451112	0.649577510924	0.648408754158	0.673848653824	0.677391107818	0.657983866145	0.659282936316	0.548137004201	0.65768081003	0.656520993064	0.757943825926	0.687562262187	0.633668147541	0.595404894974	0.501842421242	0.423932135072	0.534745748019	0.501716738103	0.65443684389	0.530558024718	0.568423259307	0.41584430248	0.484621522746	0.550723973815	0.726746000636	0.546608175414	0.451117543559	0.481272512473	0.566044453233	0.508626626581	0.481900689123	0.527807631175	0.419839325704	0.429306387983	0.424434679144	0.421678636179	0.447612474918	0.474453149089
CS.002	0.601725757966	0.616077551056	0.656285912941	0.574874170211	0.616419579683	0.59861049476	0.589045809094	0.627742660021	0	0.565846025259	0.629027700331	0.59101244944	0.594740617804	0.624847766963	0.593520600551	0.641624774497	0.633351745685	0.717865894023	0.616999018768	0.638969426162	0.613929686441	0.615364798466	0.565044965022	0.534312084318	0.618915373822	0.578335548247	0.638642517382	0.597087623626	0.571539139587	0.702011786461	0.540183713306	0.528161440537	0.648965770303	0.647874842138	0.597019873426	0.623215631076	0.601158777781	0.537537188135	0.638443965427	0.653121324605	0.587967992893	0.622422281919	0.550624870786	0.641772848935	0.705665213974	0.707150051703	0.589028554386	0.628321441104	0.619650916204	0.614545221616	0.593534434549	0.576960609249	0.599912939757	0.615882358761	0.612335028066	0.595539913685	0.653436634021	0.667717057486	0.612230742465	0.631228587903	0.620464104651	0.677351227823	0.619423751403	0.659293220362	0.622662416277	0.616405263849	0.606507314921	0.631318450507	0.630112425889	0.6114741378	0.601233465068	0.74427197322	0.730932497604	0.620825702152	0.627228926927	0.629468894622	0.640521922554	0.636830546119	0.596239511266	0.580454658117	0.638368994648	0.635153197971	0.589786042478	0.586310280205	0.611666371902	0.60963653995	0.613466973969	0.611670269871	0.606953320644	0.602143885553	0.673119645485	0.595850220489	0.623138484401	0.549525353994	0.712012447067	0.622822976329	0.581377398972	0.579576238892	0.570775162882	0.602510728987	0.532246825488	0.504923497184	0.566082384732	0.591141933146	0.669808094136	0.580657617912	0.593992530081	0.626391727431	0.599327349703	0.640073309681	0.732752362375	0.613505518155	0.673072076132	0.64617744221	0.570166033127	0.747644318769	0.645216205045	0.561293239314	0.617166514879	0.641564240858	0.592041344858	0.678322920088	0.630935443127	0.657582279953	0.617857735285	0.74497165279	0.581083598544	0.554946905397	0.548922731315	0.722115966978	0.616173501572	0.633312030066	0.656114242067	0.53746100743	0.542323342106	0.605682861714	0.624162794255	0.625993811116	0.661815994858	0.598180692888	0.694409050447	0.611944070507	0.637427156468	0.604550083115	0.604686385495	0.629540583368	0.665823532979	0.609607400625	0.662589599593	0.637087048222	0.619514177583	0.632694537478	0.611312029274	0.564393601562	0.71669450696	0.65580091013	0.639701328873	0.641819424945	0.66965463631	0.678370926429	0.653264828193	0.636414773522	0.632551417734	0.640995276117	0.623842209927	0.646214848989	0.61991504957	0.619531234336
CS.017	0.539650926084	0.557677651432	0.576144335769	0.547083725898	0.562955199547	0.527114184494	0.568729036935	0.547548431818	0.565846025259	0	0.620632819903	0.586321968735	0.588257943427	0.546508904973	0.549750236278	0.622072032087	0.671759867145	0.750826783137	0.635844266913	0.687137645118	0.592920016077	0.651165520654	0.542246241489	0.573477928677	0.703313009649	0.654215317485	0.679628333711	0.651055506572	0.60025420091	0.720480257764	0.626154189295	0.601261327705	0.698515197329	0.664223398401	0.616688159801	0.667324729668	0.658846170682	0.616265031303	0.678211234635	0.679278419909	0.621781504558	0.60753043162	0.638533562216	0.629816947481	0.706554622154	0.75004574791	0.646849261636	0.683758924307	0.669255165928	0.657107098251	0.663404901101	0.666953199544	0.666733727468	0.681957413265	0.672887166235	0.695893617351	0.73670031594	0.701796249829	0.695507232658	0.678874460107	0.583210464378	0.681289137407	0.595191526629	0.654852801863	0.642983953431	0.628067207509	0.580639532339	0.603396261739	0.614036896758	0.609178450932	0.572036604177	0.74327909388	0.713638646447	0.611209904501	0.691140312724	0.595449692005	0.570222692173	0.592288749253	0.56585865925	0.604419841891	0.594120546479	0.570667600188	0.567100525598	0.604474451276	0.613598816377	0.561086630669	0.599992524716	0.586622196485	0.616274092966	0.589356717947	0.622786952726	0.585040179589	0.586749348162	0.598148545343	0.692809305267	0.519716555685	0.549883311659	0.566945118105	0.604361680555	0.554696606714	0.563194579104	0.564123531781	0.619765786787	0.527692841086	0.607980277866	0.536008057993	0.634989612571	0.663563404456	0.523079274711	0.671555972976	0.755791890969	0.579895247806	0.696984274414	0.691877260437	0.644167796556	0.761126783924	0.610787220668	0.614972628856	0.663292933897	0.695606773459	0.627000515986	0.673391630047	0.662216743628	0.657588347411	0.690800986053	0.766260678054	0.646967951573	0.607744974441	0.617215002737	0.740201270532	0.563644237861	0.66188808918	0.671459651272	0.60934894568	0.615457128658	0.649764726646	0.676835048396	0.62154530346	0.648155543064	0.678471048035	0.741795861636	0.649032395829	0.668096661141	0.641863662453	0.565728936659	0.602182699356	0.629441812964	0.571661614606	0.663277449773	0.578542765812	0.62864266103	0.594504770108	0.569949757736	0.585365020391	0.726174287275	0.63281555338	0.570281200017	0.578562893219	0.623557435708	0.597032296264	0.570805381951	0.576595259544	0.56649420418	0.593350573708	0.570271771389	0.57432779352	0.610119176748	0.599583664275
