CS.172	CS.039	CS.028	CS.010	CS.297	CS.086	CS.022	CS.296	CS.217	CS.084	CS.280	L.001.M1	CS.313	CS.263	CS.106	CS.186	CS.040	CS.073	CS.137	CS.155	CS.290	CS.127	CS.067	CS.153	CS.122	CS.327	CS.077	CS.367	CS.335	CS.371.1	CS.375	CS.374	CS.376	CS.205	CS.125	CS.378	CS.236	CS.041	CS.292	CS.380	CS.302	CS.213	CS.282	CS.232	CS.136	CS.359	CS.369	CS.166	CS.349	CS.214	CS.254	CS.181	CS.395	CS.385	CS.182	CS.268	CS.129	CS.386	CS.147	CS.256	T.CS.028	T.CS.012	T.CS.046	T.CS.024	T.CS.048	T.CS.014	T.CS.089	T.CS.020	T.CS.071	T.CS.050	TFS.024	T.CS.035	T.CS.057	T.CS.001	T.CS.056	T.CS.107	T.CS.126	T.CS.180	T.CS.119	T.CS.177	T.CS.123	T.CS.129	T.CS.128	T.CS.139	T.CS.097	T.CS.125	T.CS.091	T.CS.117	T.CS.100	T.CS.178	CS.356	CS.238	CS.006	CS.241	L.024.M1	CS.246	CS.085	CS.237	CS.088	CS.087	CS.015	L.034.M1	CS.082	CS.103	CS.110	CS.358	CS.233	CS.228	CS.347.0	CS.234	CS.338	CS.151	CS.078	CS.387	CS.311	CS.274	CS.189	CS.187	CS.150	CS.325	CS.227	CS.194	CS.158	CS.322	CS.223	CS.285	CS.320	CS.202	CS.163	CS.321	CS.361	CS.343	CS.331	CS.112	CS.318	CS.253	CS.255	CS.370	CS.393	CS.270	CS.145	CS.262	CS.390	CS.326	T.CS.064	TFS.020	T.CS.008	T.CS.049	TFS.021	T.CS.066	TFS.027	TFS.025	T.CS.031	T.CS.043	T.CS.045	T.CS.055	T.CS.026	TFS.022	T.CS.061	T.CS.158	T.CS.141	T.CS.157	T.CS.095	T.CS.151	T.CS.166	T.CS.142	T.CS.109	T.CS.152
CS.172	0	0.559963810615	0.529979882692	0.625177623169	0.556825301411	0.516558586973	0.57771664861	0.570569095579	0.530899883107	0.541595002959	0.593808588915	0.570338686812	0.574857412449	0.544697179224	0.511519622321	0.588296962837	0.557718309993	0.557431790863	0.613584421297	0.622758668492	0.650251156158	0.589464595167	0.668912926233	0.548857057135	0.506283594781	0.561418917109	0.562084171239	0.676035171242	0.721868446792	0.596175847832	0.579211249222	0.639101897075	0.624908303212	0.68016731229	0.65004367078	0.617991478876	0.642707711224	0.594283866927	0.589162328956	0.610496698577	0.696327207378	0.643934073198	0.656421076861	0.541456334083	0.574044507665	0.685982030547	0.687923532862	0.683286212139	0.654676975275	0.635031342483	0.658736921109	0.639959050731	0.654624396648	0.654398048907	0.633013533673	0.64985509166	0.590176008943	0.689077820687	0.640799625297	0.673713364983	0.593488313618	0.645643019925	0.591273558234	0.585881532768	0.586104457136	0.600982200218	0.608633381795	0.600794178787	0.607469846062	0.562131506667	0.592972040973	0.565683966157	0.678869705459	0.660094647331	0.579999444004	0.580783196263	0.575784369155	0.553386437362	0.615785803492	0.594341343877	0.556202492732	0.611153575765	0.620066266501	0.604686394596	0.591400734257	0.572715492435	0.593645502237	0.572557017275	0.596987340632	0.584030514314	0.639385135601	0.554135609864	0.506917118132	0.576781465056	0.585408095356	0.559991396246	0.515128710231	0.570553039206	0.602821868557	0.526599599824	0.549137438336	0.574018875464	0.544736335762	0.557543087981	0.598581971135	0.718048903392	0.530759220567	0.543655325079	0.605507544221	0.609361948929	0.606342811692	0.614582942588	0.576522536975	0.611082077952	0.542507003716	0.638789123921	0.621269688846	0.622036726196	0.563554331051	0.7014748687	0.715605625093	0.711696559684	0.546481638775	0.664394902586	0.649103427798	0.66999378663	0.619182432667	0.609350693236	0.546491194019	0.542872794291	0.62368115986	0.638984744636	0.608560799903	0.535602029024	0.635846177193	0.682630239837	0.62173672142	0.663617475241	0.635789718036	0.658273762444	0.616452054451	0.634268439543	0.646954720436	0.606682196552	0.565322425288	0.59194584183	0.605888037861	0.626534720581	0.611659819685	0.567485777567	0.58039701297	0.575191743065	0.548778842758	0.570747848038	0.56252545814	0.588061431436	0.67757068702	0.600445615074	0.600036642142	0.57576324875	0.577179748107	0.545778703057	0.592031997594	0.576570115419	0.586092441661	0.590544566493	0.599845342429	0.578406772852
CS.039	0.559963810615	0	0.549589182713	0.621258680558	0.597204225516	0.563448283501	0.574535226023	0.612791928005	0.557993688081	0.552451263574	0.602369784776	0.602450957752	0.594849523993	0.577164703178	0.54716396755	0.59888281507	0.596691750534	0.557674788747	0.641826359956	0.638409430561	0.660501459354	0.619067238292	0.680992736035	0.550577020546	0.548709772036	0.605724868538	0.56864831925	0.68764155087	0.713146520059	0.614876748479	0.624627004369	0.629844703051	0.627333912961	0.682372128268	0.664345325942	0.626306254851	0.637429939829	0.609054806358	0.583116799241	0.633268673928	0.685251946767	0.631309818651	0.676308127227	0.567852318584	0.580193697938	0.711034194348	0.669519061732	0.66786986496	0.638233978466	0.648537695595	0.642941447647	0.634320092019	0.637743037642	0.661695952784	0.615402173002	0.645727980622	0.574808835396	0.669129183683	0.638657428699	0.645972699052	0.612912449088	0.677015462655	0.607906512485	0.601643739021	0.599538333575	0.619226627582	0.61231828074	0.640082143464	0.637594848791	0.586275952658	0.607345938271	0.610701704673	0.672775032	0.664326038061	0.593902116068	0.618960432865	0.630762198652	0.589609138282	0.626538286721	0.622422153856	0.60081442152	0.627449493907	0.633434229586	0.631103222135	0.614160374427	0.612782221393	0.628901771148	0.612741954972	0.604363398273	0.612408276882	0.674149947274	0.574729492828	0.545936640922	0.583624124907	0.638106994416	0.614766859098	0.550904459454	0.564788289409	0.623566418477	0.573118372378	0.575941439962	0.565793394042	0.587459539968	0.520356090524	0.580268951832	0.709510920818	0.569328875012	0.544364133157	0.65718331654	0.664406886692	0.613704255186	0.64110521829	0.578200520236	0.598227200636	0.566757634562	0.668711634567	0.646600323085	0.618437679613	0.57758522994	0.743030026051	0.734025752339	0.720584001545	0.567234620691	0.673390833508	0.655317480719	0.645642395615	0.619642023351	0.65601482199	0.584198058123	0.605310753059	0.637976015107	0.652816343861	0.607426195825	0.541305870032	0.634910507759	0.68242520039	0.638425751948	0.645905059742	0.634074922305	0.652608863894	0.62705440583	0.631312073376	0.646281608054	0.643141614314	0.582522673955	0.621956318647	0.629141944146	0.651475737951	0.628742941503	0.629196227398	0.599017938447	0.625343315433	0.589025586853	0.634230644324	0.603606677084	0.604207909807	0.697268751079	0.634179945916	0.618084024113	0.619441932983	0.609059680671	0.597710691319	0.619399996489	0.616116400342	0.63801201554	0.626156113001	0.602065543265	0.605870405054
CS.028	0.529979882692	0.549589182713	0	0.651186279057	0.555713274124	0.519621942773	0.60009833553	0.561771752046	0.518947360165	0.47732953131	0.543312305517	0.539063614409	0.530745130312	0.543323511868	0.501176018392	0.541111004116	0.548326186054	0.595350282915	0.586030618085	0.56651307135	0.668600871198	0.579105292388	0.7143527789	0.517800026495	0.506369638921	0.600578331232	0.568098052653	0.725416983493	0.743191943262	0.635077967658	0.64149443726	0.640737055671	0.655877670264	0.694094389771	0.656613767377	0.663006186937	0.664703161289	0.598103721576	0.537114088451	0.572436537746	0.709135206552	0.657539720186	0.671024243559	0.493182710793	0.56990554659	0.711969740445	0.70046337447	0.653316768471	0.614544521822	0.640384107395	0.640704209906	0.616322595162	0.620345000254	0.623910233016	0.595042279625	0.636903419521	0.595815477922	0.700870477755	0.648668196591	0.643485380717	0.573066418971	0.705869813788	0.630656580555	0.569923365637	0.577590945444	0.583699401771	0.6043963282	0.550635066851	0.591045837268	0.599793166501	0.600613846635	0.577930782974	0.706029494329	0.684447147174	0.633616492105	0.564097569009	0.547331144814	0.556231122404	0.543323541258	0.538828476368	0.575424545653	0.534970686337	0.529050914785	0.557721808098	0.534403020317	0.578527939165	0.534915054621	0.542582871049	0.553510163542	0.536054494535	0.683250416096	0.542925592837	0.529063272689	0.531343414408	0.612954830526	0.532958776384	0.464574936739	0.579187416847	0.658852426738	0.608419352033	0.577929754757	0.59245910861	0.477603043409	0.505812837269	0.60108517619	0.729057602125	0.50883306139	0.561531644811	0.653284401149	0.63614555672	0.595188599971	0.591558913721	0.617040592762	0.612305406569	0.590334210756	0.687183580287	0.610698020954	0.605500931433	0.526332675727	0.743264098257	0.769361696256	0.732819036974	0.570434005227	0.684129902519	0.647395890817	0.700224025347	0.58632381923	0.658767818462	0.594954374105	0.584090399431	0.676833095256	0.663389595264	0.539065795289	0.561316870275	0.642324628319	0.706458562808	0.596202217834	0.627484386929	0.639306742463	0.627301047232	0.609817431898	0.638544212243	0.64621372983	0.608290498367	0.559833856062	0.541678845313	0.653114537881	0.645684204209	0.627922986259	0.551539161973	0.596036563516	0.62383323587	0.564673913516	0.608376112398	0.601753581558	0.581132070601	0.708938805589	0.537870298529	0.633240772865	0.544497264057	0.610703674724	0.574706541185	0.546384161918	0.580705423426	0.565247241007	0.632411310734	0.538300734664	0.567588688638
CS.010	0.625177623169	0.621258680558	0.651186279057	0	0.738902956272	0.676649577179	0.63862556225	0.734957681867	0.669317564714	0.638017309949	0.737770687083	0.647190526875	0.707683182188	0.682013193074	0.623559702158	0.678108365705	0.663796825723	0.612702718383	0.769499522206	0.736725671194	0.72313888559	0.723876104144	0.686736998867	0.662603216243	0.634122551362	0.640519153662	0.685061593936	0.721630686662	0.756023854684	0.72123777713	0.699350273087	0.704026580518	0.715322726509	0.774254989731	0.722539153965	0.656238504388	0.650635568788	0.646526422808	0.672898946199	0.740528345123	0.746068113904	0.709781505253	0.760004287707	0.681319612392	0.644656162047	0.760701319344	0.700698312755	0.732534269775	0.722096965006	0.727064223982	0.717885673828	0.719256652158	0.716687102438	0.739988401873	0.725391906132	0.66253997807	0.662997581418	0.69203183873	0.721932519848	0.735538454313	0.7371708171	0.750515829399	0.714644824743	0.729277406198	0.700658154605	0.706981465183	0.733340686564	0.716920961187	0.745125707294	0.645183407464	0.721654650311	0.731726276092	0.732956171332	0.713678246659	0.661693044126	0.746587115199	0.742097140697	0.674775831329	0.709251877702	0.73392029403	0.720563612945	0.746868143576	0.731981177875	0.759459390904	0.722905758763	0.722991493822	0.761691834245	0.738706261832	0.720824848349	0.725797077593	0.725482766482	0.702618059443	0.666550058343	0.70799522807	0.714487374118	0.716318379189	0.649639377231	0.645522176005	0.694268231333	0.653211408262	0.658290100556	0.688215354581	0.691480561414	0.644897393736	0.660251624778	0.756256365198	0.61914079601	0.61560313011	0.693308595713	0.682174564822	0.672684999331	0.706588082323	0.685463196154	0.713786010478	0.688522902692	0.744994235127	0.680045640664	0.700166166131	0.669916933838	0.756051346392	0.757080428721	0.764107525742	0.621045463225	0.73990274008	0.737236627013	0.705168478982	0.712501468626	0.703979488699	0.628939177356	0.706667188314	0.70345616368	0.740330985749	0.70262556709	0.603285553031	0.731607822158	0.709458877554	0.718507978108	0.724604595917	0.674930918859	0.706609288239	0.736178615085	0.682007728795	0.719789980592	0.710977709243	0.700132590961	0.738354472716	0.738203872448	0.742019610812	0.706699975538	0.725899080493	0.736886177694	0.750304589753	0.70642163171	0.743444384152	0.709302552849	0.716749976876	0.719089503566	0.746763530897	0.751142777761	0.739843621003	0.711356257375	0.704547181001	0.739896432816	0.748393555756	0.730824612613	0.728521535125	0.748115100135	0.722258937926
CS.297	0.556825301411	0.597204225516	0.555713274124	0.738902956272	0	0.54859823964	0.623212288265	0.432071303643	0.506902219668	0.599335585164	0.48007680123	0.581185991191	0.503896104774	0.544873949808	0.590794279109	0.58071572056	0.574717394996	0.648018997467	0.47314645591	0.512788184423	0.646148179571	0.509817994538	0.738703409996	0.572386742901	0.530372545544	0.566733587942	0.561458609144	0.738833079718	0.742504865329	0.538617712392	0.588200608711	0.653187831722	0.638206780558	0.667130920372	0.629382453734	0.696518735258	0.706219436147	0.643421220126	0.621687327516	0.468301628924	0.691328776735	0.658513010114	0.658341846185	0.562559175912	0.619520296508	0.71983861198	0.756136329912	0.676125901031	0.628250178467	0.615827320827	0.646650388618	0.62522144178	0.647474767446	0.65675932153	0.57780999529	0.695241598701	0.591095744111	0.703311778795	0.640423252148	0.644057282619	0.485311803684	0.652053235517	0.58576814614	0.497885541356	0.490687002699	0.546720421998	0.543136608404	0.55041362756	0.456029946117	0.575894472861	0.489473038724	0.489138533954	0.672698543608	0.69623776556	0.599383245118	0.446764631455	0.444749207547	0.572520592607	0.609856757066	0.507111922493	0.484497646443	0.50020685722	0.560992520287	0.473163703184	0.478325090505	0.489971579654	0.45576842696	0.471042458227	0.550539958181	0.491947938183	0.659768430425	0.549921117073	0.501382704965	0.492339429683	0.51238675758	0.498467871564	0.564636854875	0.647974938892	0.60145127061	0.575118328972	0.554988985322	0.560047087073	0.562736715163	0.573163907721	0.63350656851	0.745801882064	0.615748010123	0.634019699412	0.692997058174	0.66199100338	0.645537882973	0.578495536189	0.533560473291	0.553047748196	0.575199329585	0.631163269021	0.64520318262	0.61309668823	0.588129328162	0.726573660762	0.766698643433	0.717063238287	0.64385221043	0.660064770987	0.625299534379	0.735573689394	0.560334946445	0.617021652853	0.648190534431	0.449648215147	0.634901394302	0.622042165869	0.578611379294	0.634879483911	0.626530772156	0.752649757137	0.599394092462	0.631978529724	0.660815760224	0.646713810949	0.525358689343	0.644115332882	0.649343754868	0.619020629874	0.447927676746	0.462118770498	0.492733506789	0.60709115319	0.503739117186	0.470136380202	0.433367431061	0.499367445931	0.501922868956	0.438819072923	0.489328915437	0.488232419012	0.68555353447	0.463552911363	0.509955889234	0.429976625042	0.46425536727	0.495258398065	0.471237142597	0.429649980822	0.454952627818	0.449965764194	0.471949446114	0.483976743749
CS.086	0.516558586973	0.563448283501	0.519621942773	0.676649577179	0.54859823964	0	0.611269930199	0.537185009355	0.513102124008	0.526524726848	0.512153505334	0.531194012807	0.518120325161	0.526467361417	0.517970297291	0.530713837766	0.565415832432	0.620794443815	0.597757696002	0.591911736805	0.690046610384	0.606493015986	0.746059356208	0.523595357784	0.498666073029	0.58838831666	0.548710128318	0.734893710168	0.772709523771	0.63571978559	0.63865644663	0.668536737092	0.679198388644	0.735397539445	0.666894454359	0.681239134827	0.664294053687	0.638026144543	0.594976128901	0.576354573881	0.745879994627	0.69236314118	0.692420589965	0.526232234492	0.604184764086	0.734178778299	0.730577168744	0.702784163104	0.653002263742	0.674023396434	0.670567084692	0.660836880239	0.656357623891	0.667501983125	0.631877999222	0.665578584082	0.602492048767	0.730554647815	0.692337098908	0.692097305275	0.585665612927	0.712895008135	0.649614696595	0.603194235539	0.577594311608	0.58903128114	0.623562156012	0.533946898865	0.587143795712	0.597246723272	0.602335432226	0.58737454941	0.727045022911	0.730996730791	0.612461612598	0.534902765848	0.526576235332	0.51661468649	0.53928073837	0.531417877406	0.581295124714	0.556921676298	0.557830254658	0.513633524541	0.520531711076	0.603600699053	0.529587924974	0.551672535733	0.52694072091	0.506422637277	0.711377032904	0.572556593248	0.529431370815	0.544992234328	0.573220780729	0.519898802274	0.489791946056	0.623706958118	0.646213648655	0.567876851718	0.564733421101	0.572085873259	0.483290250924	0.520446429077	0.617203091783	0.769407875436	0.51940719461	0.595243406669	0.686278605304	0.662379951925	0.630216425805	0.60331611947	0.599989983809	0.649892826226	0.59014281867	0.705612390896	0.642401556078	0.657283617294	0.578658340174	0.766271951252	0.775913785442	0.764665159578	0.60062166618	0.705854240708	0.651892330973	0.711984027569	0.633973373733	0.666360710184	0.5996781099	0.560804661621	0.676947330242	0.684538497174	0.587018608368	0.605052331695	0.677399204642	0.726306519486	0.638272801601	0.663156341318	0.659364944149	0.691304814317	0.628057286863	0.703989776217	0.678920161742	0.642829565642	0.565368842618	0.552207002545	0.658558078573	0.685837643336	0.611824007189	0.521606673915	0.584644193861	0.629187248806	0.595619608403	0.602504400328	0.610269273693	0.58711156902	0.746232928835	0.55020283177	0.630447143777	0.532388376154	0.601263513517	0.567767203265	0.529573825749	0.550317297442	0.58087018534	0.622822193251	0.523729294557	0.562682323666
CS.022	0.57771664861	0.574535226023	0.60009833553	0.63862556225	0.623212288265	0.611269930199	0	0.650027091025	0.624222000043	0.607564394604	0.651866793549	0.634423624686	0.639582939838	0.616166702603	0.56890810782	0.625646704106	0.624152157441	0.591873413231	0.64979784853	0.636122266966	0.591639492802	0.608349471896	0.658052133581	0.590191558529	0.584913998349	0.611364184351	0.611046807119	0.658019815243	0.673848436652	0.598300709926	0.609839890046	0.613983948731	0.577091005504	0.628336306744	0.585984533724	0.614159088793	0.619273867248	0.568220709184	0.574163264533	0.648821049531	0.648033340875	0.616018801584	0.61239570935	0.594864098165	0.558689448035	0.646189622881	0.638540376299	0.642166226961	0.624116834871	0.619732740272	0.604253019289	0.594914465917	0.627090506348	0.612116136341	0.606566289372	0.61894292415	0.611096617092	0.652178583577	0.5851334704	0.624886412284	0.626805105474	0.679111860427	0.584686390142	0.585785601639	0.609621496716	0.613568460865	0.626612278362	0.672054857535	0.651933260497	0.598717632658	0.608691410878	0.628207793843	0.638866026831	0.644318778012	0.62118339274	0.655159432857	0.637552959142	0.619866604965	0.653885609788	0.66017492335	0.608950409851	0.682917671174	0.630174270124	0.670792325762	0.663646012376	0.60897420302	0.674233260553	0.635760412155	0.656848354634	0.648802063257	0.655367252122	0.593261899107	0.53067302263	0.645448233253	0.635123900237	0.62066330419	0.592437292746	0.5379488735	0.611712921903	0.583999229177	0.632699957516	0.597591049719	0.615625999823	0.594418388731	0.551676843701	0.682417849954	0.616023276955	0.55837949977	0.593546080171	0.630778654683	0.612253745411	0.641779257017	0.608425594177	0.593004168414	0.586572464563	0.622045518363	0.580961440927	0.587207522609	0.579027211182	0.702431443739	0.66660331915	0.673446226108	0.540395645564	0.622104037818	0.592144540092	0.601035398755	0.589637515168	0.666463146207	0.554623407844	0.62084462199	0.63692585761	0.595190995909	0.604016710535	0.550515832275	0.604307348665	0.672500162501	0.60644131432	0.614347343822	0.62603638954	0.608659994552	0.633603003377	0.610254372293	0.583541872375	0.599299827097	0.627187009162	0.652137160449	0.653412500667	0.612272195861	0.635512247442	0.665984863019	0.64167038883	0.634681766288	0.605726953292	0.636575541286	0.628260289891	0.595657130594	0.64702105753	0.675035895484	0.62870366734	0.652638997502	0.637667329649	0.604730322435	0.676137728946	0.652529493766	0.639781519361	0.638372419471	0.664877427817	0.630532878195
CS.296	0.570569095579	0.612791928005	0.561771752046	0.734957681867	0.432071303643	0.537185009355	0.650027091025	0	0.51545542165	0.572409755481	0.4727615067	0.562977843309	0.486681820138	0.542825409629	0.593799546779	0.573255819942	0.586485101336	0.646038694191	0.521338513209	0.568085230826	0.658897534709	0.560141829599	0.759424359694	0.591811684903	0.542704698043	0.600587148274	0.575658659854	0.742697170516	0.751066575172	0.585658434283	0.60407534593	0.664233327853	0.654750475852	0.673695745352	0.649749492039	0.697974136534	0.711227821402	0.676382344598	0.628021018702	0.509238528948	0.736378614684	0.693319628628	0.671792501355	0.551060992625	0.63308309065	0.724814683381	0.745557608691	0.693561176088	0.632881655005	0.625953205621	0.655913058927	0.633090277232	0.635115993103	0.648390034951	0.605471260599	0.68716050226	0.60693829903	0.709236626876	0.670851462792	0.679528116837	0.549237055321	0.669180883976	0.60324857566	0.544462221336	0.547342522612	0.541032409908	0.556255741475	0.524512008852	0.502927672457	0.603915203866	0.547812190505	0.514477577492	0.715467539287	0.718522520213	0.632343169026	0.410682479677	0.453672254686	0.544674795463	0.556407398306	0.501116348801	0.523895713078	0.476250756416	0.527317075578	0.456413006329	0.477345244571	0.524677182534	0.461342672308	0.499374087684	0.52291518324	0.479704867813	0.694165211837	0.55795221932	0.520848834931	0.511253722515	0.514899931657	0.47684663343	0.542420985626	0.660838834232	0.622391765307	0.569237763831	0.576441196669	0.560700696478	0.538516492385	0.560478331429	0.657334927487	0.761303393192	0.613383390798	0.617780657358	0.696057907843	0.65302217346	0.632114706238	0.562837226481	0.575083114957	0.594021867728	0.587251839156	0.653478579603	0.657159723295	0.618622723184	0.582281853834	0.762088592158	0.788314719437	0.756470381823	0.654982459724	0.694833852154	0.648413760957	0.733814162604	0.625586021246	0.646584973022	0.643872048195	0.483159871838	0.654640162011	0.658829828524	0.579024701122	0.658603161491	0.654349625736	0.74383138195	0.600710863075	0.655965044676	0.662499677341	0.666896359237	0.541797246809	0.680865386512	0.668885626766	0.639898739843	0.513756468495	0.459627697948	0.582311183618	0.641829017862	0.563486695986	0.48125218332	0.496931035029	0.550133922006	0.534044337931	0.477488677948	0.551957523352	0.525201151606	0.732690309398	0.440842645949	0.549887856155	0.421449840699	0.533918385724	0.517359640827	0.470102819312	0.471241125226	0.453349418014	0.51677789434	0.441723834931	0.494237131917
CS.217	0.530899883107	0.557993688081	0.518947360165	0.669317564714	0.506902219668	0.513102124008	0.624222000043	0.51545542165	0	0.529855767396	0.50603777246	0.560641841931	0.500740606688	0.53392417293	0.556793885239	0.5571098011	0.56775803944	0.606210499099	0.596275115307	0.612156919916	0.694858753345	0.597182165603	0.737039473576	0.555751924141	0.491866242742	0.577158531404	0.561837946171	0.724108695217	0.762740179478	0.621515212729	0.64008531949	0.672820019094	0.677614598685	0.726369093964	0.686763767164	0.696663314325	0.691478160348	0.64348543488	0.598256097982	0.573661134545	0.724282935123	0.707980770977	0.714869415948	0.506249135085	0.601588634576	0.723623882142	0.738382034251	0.692100013622	0.646738163349	0.657769126386	0.681149326521	0.653620727223	0.662080873263	0.666224845784	0.619775586139	0.676349773363	0.591195156831	0.721049429527	0.686398358235	0.686794268237	0.581793728513	0.685788895545	0.634682617258	0.551013794454	0.581310364292	0.570452310156	0.600475526027	0.541356827134	0.557306519523	0.594614885642	0.583523694185	0.554008217548	0.69575813979	0.707622753577	0.596593735457	0.516506308584	0.524673765559	0.57108929458	0.569712152492	0.538588167748	0.556981471485	0.537761858459	0.596484570898	0.53992469913	0.52766933591	0.540623960872	0.50808052455	0.518903068167	0.546487224942	0.528426222022	0.670319614722	0.519700124705	0.48779851908	0.512884039975	0.529126719637	0.532187496277	0.512015824624	0.624501303809	0.621504875865	0.568841199359	0.539523676672	0.57908798214	0.539187915015	0.55186739406	0.631971984498	0.763130687931	0.536778325349	0.602617183368	0.669845212596	0.663206087726	0.63923048297	0.62869537863	0.580505764332	0.615369215091	0.594582697206	0.684164019276	0.640995738436	0.633106353267	0.575086372579	0.76825212929	0.770456653224	0.768205798945	0.627947029436	0.698719049804	0.682546715459	0.723361869859	0.640144041194	0.655586363192	0.60937100243	0.538965276744	0.675590235923	0.69108661988	0.59436468186	0.617783878535	0.670877071492	0.722978383611	0.62574698903	0.675659507073	0.664872520576	0.658490977465	0.60366987153	0.676666231699	0.681081317258	0.645988968932	0.525558353292	0.505120371103	0.630054108766	0.657060890861	0.565151167708	0.488025242518	0.543184033822	0.602173483554	0.558656797313	0.55921113146	0.565536474752	0.529167413192	0.705183593827	0.517961349164	0.619157800663	0.504266553707	0.555520660971	0.531333839386	0.489802455242	0.516388142835	0.53341356528	0.552097118346	0.50396192622	0.529941530866
CS.084	0.541595002959	0.552451263574	0.47732953131	0.638017309949	0.599335585164	0.526524726848	0.607564394604	0.572409755481	0.529855767396	0	0.581243113472	0.519360703485	0.546049058943	0.556637473975	0.423216785698	0.560791245262	0.57141463395	0.59677007148	0.614455626102	0.581631909214	0.670745180917	0.611103784034	0.712504894138	0.506401210238	0.515385555905	0.634150745311	0.581804936724	0.732633031378	0.756364365879	0.654000203888	0.647502538598	0.659568335551	0.669425020405	0.724500135555	0.683980655451	0.672961459278	0.647880881614	0.589116664715	0.569490160431	0.572055118949	0.731043991296	0.67952526059	0.6902974964	0.506160480301	0.567376407168	0.738262301565	0.701184253991	0.669633656982	0.625991060469	0.680782848066	0.649605736007	0.633573691732	0.606698800781	0.631723906979	0.615046469123	0.64634578824	0.60291796041	0.698330395713	0.676552600617	0.669136255634	0.617626604116	0.715645642745	0.644833831991	0.584660567786	0.611494672366	0.586399780305	0.601206974863	0.555075504414	0.583649562935	0.60780503358	0.61727307267	0.59764719851	0.711581766336	0.697497821876	0.620307923382	0.583638039545	0.581773871999	0.539481700768	0.52536710373	0.557039476574	0.619905323886	0.587552781419	0.552316814101	0.577475497715	0.578404589669	0.62171891541	0.589481166123	0.597192230627	0.566277104399	0.551324504031	0.699212608761	0.568822182243	0.555213030262	0.566346601495	0.635089004629	0.577317706889	0.444795197456	0.587137778649	0.686400214127	0.617506501665	0.625111355851	0.598294703109	0.486500095304	0.54376959644	0.594200319573	0.752445283814	0.498204377879	0.547602227686	0.670411087539	0.659353039573	0.60494357505	0.611020196463	0.643713235255	0.641624624982	0.622907103714	0.70177504253	0.629639957168	0.642670107848	0.555730559213	0.757749262161	0.769445982722	0.749124792842	0.579848512644	0.696855760825	0.658470370209	0.71828627866	0.62902862194	0.66903960477	0.596922650017	0.609410411058	0.683389969946	0.695215348871	0.574835194211	0.554057422326	0.666654605834	0.712118241538	0.616164350806	0.650973166672	0.650969883678	0.671442616619	0.620400596764	0.66410167126	0.663826941397	0.622384824982	0.590242180563	0.546366769113	0.663916724868	0.672665397661	0.630612281233	0.575882382483	0.612464907588	0.651937793673	0.587047124815	0.623291115371	0.615272875695	0.598172851204	0.703646801208	0.570137900911	0.632296274538	0.580878564234	0.643545835095	0.594863881964	0.584767832027	0.630143196237	0.603552411521	0.666945802962	0.568042455588	0.588142286733
