L.006.M1	CS.297	CS.313	L.033.M1	CS.039	CS.019	CS.003	CS.091	L.035.M1	CS.094	CS.035	CS.257	CS.001	CS.021	CS.016	CS.066	CS.186	CS.367	CS.335	CS.122	CS.149	CS.064	CS.137	CS.301	CS.153	CS.327	CS.341	CS.073	CS.305	CS.382	CS.374	CS.205	CS.378	CS.282	CS.136	CS.375	CS.125	CS.302	CS.232	CS.236	CS.128	CS.126	CS.224	CS.041	CS.213	CS.323	CS.183	CS.254	CS.369	CS.349	CS.177	CS.395	CS.256	CS.166	CS.182	CS.129	CS.214	CS.386	CS.389	CS.178	T.CS.007	T.CS.071	T.CS.067	T.CS.042	TFS.023	T.CS.082	T.CS.056	T.CS.069	T.CS.050	T.CS.020	T.CS.058	T.CS.048	T.CS.025	T.CS.012	T.CS.052	T.CS.126	T.CS.125	T.CS.178	T.CS.123	T.CS.159	T.CS.129	T.CS.128	T.CS.120	T.CS.110	T.CS.167	T.CS.106	T.CS.122	T.CS.116	T.CS.153	T.CS.144	CS.087	CS.082	CS.085	CS.088	CS.006	CS.238	CS.356	CS.246	CS.015	CS.237	CS.241	L.034.M1	CS.103	L.024.M1	CS.110	CS.165	CS.325	CS.233	CS.113	CS.150	CS.358	CS.234	CS.336	CS.212	CS.363	CS.191	CS.187	CS.188	CS.078	CS.364	CS.223	CS.112	CS.202	CS.152	CS.194	CS.320	CS.285	CS.227	CS.080	CS.343	CS.361	CS.321	CS.318	CS.322	CS.339	CS.370	CS.326	CS.393	CS.253	CS.255	CS.270	CS.145	CS.390	CS.262	T.CS.066	TFS.025	T.CS.055	TFS.020	T.CS.061	TFS.027	TFS.022	T.CS.031	T.CS.049	T.CS.036	TFS.021	T.CS.064	T.CS.045	T.CS.026	T.CS.008	T.CS.151	T.CS.109	T.CS.158	T.CS.157	T.CS.095	T.CS.152	T.CS.166	T.CS.142	T.CS.141
L.006.M1	0	0.50837250888	0.529930977548	0.636772558038	0.5972476572	0.553841494096	0.570369439964	0.679132403876	0.614606502851	0.652485395956	0.596188580807	0.577510595026	0.559802288813	0.643149160437	0.593020669065	0.582839496777	0.570943316596	0.743562697793	0.732387107444	0.566257729632	0.644171517557	0.576719487932	0.556999842352	0.616924634152	0.597371359828	0.591345755418	0.661876385683	0.639220924561	0.516455068373	0.574806528784	0.657484039625	0.707022680686	0.682550175276	0.687391473023	0.644963014206	0.6369345802	0.667537762002	0.736731826899	0.581900156508	0.669384259223	0.601187966795	0.581686930655	0.753623898891	0.644735391729	0.675333799009	0.645951672956	0.71140913004	0.668598170634	0.723038236337	0.62739406792	0.690941107108	0.660076927683	0.669872793823	0.68290827518	0.633829214253	0.602366658293	0.665461904375	0.697189586538	0.667265070164	0.596263760443	0.674380058722	0.561911209477	0.58718873815	0.506759304267	0.622661567893	0.571761039673	0.619705231162	0.596447969887	0.608756604202	0.565959154519	0.542124098975	0.552537135631	0.565837411478	0.706884634105	0.629690125381	0.533648441292	0.591684867532	0.528723172617	0.574138699144	0.578362511762	0.558256158409	0.580422262964	0.531604353639	0.50882894041	0.542882146732	0.552975569548	0.526989531702	0.580435815437	0.542582053461	0.504796718598	0.603943301413	0.558039269075	0.546154926991	0.622834677635	0.58125099269	0.581938432435	0.712206165918	0.544848622274	0.596381073521	0.647582251515	0.535511485355	0.559910232991	0.568132637211	0.618471363068	0.617316026997	0.700157880159	0.732952721889	0.61044665521	0.602653633284	0.591478884508	0.754373295955	0.686413038369	0.629488157712	0.709566949283	0.662459409289	0.536453877496	0.640383392762	0.669217531629	0.606285874171	0.70528704027	0.662443645633	0.634529460237	0.669774346021	0.563623127212	0.756183137417	0.612533800567	0.729726951314	0.770694654051	0.605423599255	0.67084937419	0.667799014615	0.537294726388	0.645842089467	0.67097727701	0.653315198067	0.640164666762	0.6301028626	0.670021987503	0.734998702929	0.610765642834	0.671529844301	0.603070953743	0.674322065468	0.672944901307	0.548613004428	0.609023514565	0.569037730458	0.540340889819	0.591122053997	0.544756245203	0.53915660019	0.575993364907	0.650211974477	0.562646938903	0.608658049667	0.549117064394	0.599491722036	0.722144512963	0.606359652416	0.551043772867	0.528122640414	0.529474889538	0.584609158596	0.540704601311	0.572236776728	0.57681291461	0.57675568069	0.577538327576
CS.297	0.50837250888	0	0.503896104774	0.574173533074	0.597204225516	0.48424480956	0.562376412658	0.66852764813	0.548231515164	0.605235860223	0.541501511816	0.588354801408	0.581153302717	0.59436082462	0.578939384606	0.563351067441	0.58071572056	0.738833079718	0.742504865329	0.530372545544	0.638888431405	0.580957445173	0.47314645591	0.549542896589	0.572386742901	0.566733587942	0.602828176839	0.648018997467	0.458651354394	0.452536050943	0.653187831722	0.667130920372	0.696518735258	0.658341846185	0.619520296508	0.588200608711	0.629382453734	0.691328776735	0.562559175912	0.706219436147	0.556055804079	0.474225906441	0.748484020419	0.643421220126	0.658513010114	0.624108407223	0.730328110709	0.646650388618	0.756136329912	0.628250178467	0.670290809276	0.647474767446	0.644057282619	0.676125901031	0.57780999529	0.591095744111	0.615827320827	0.703311778795	0.63195038549	0.56466320359	0.594330604701	0.456029946117	0.441184283756	0.464550017088	0.50731800426	0.47845676278	0.599383245118	0.483691531878	0.575894472861	0.55041362756	0.504958587512	0.490687002699	0.493486090058	0.652053235517	0.606786406426	0.444749207547	0.489971579654	0.491947938183	0.484497646443	0.584111313872	0.50020685722	0.560992520287	0.466178046972	0.512547971693	0.440211594682	0.481753771135	0.453245764981	0.566430520446	0.541819274551	0.437954238073	0.575118328972	0.562736715163	0.564636854875	0.60145127061	0.501382704965	0.549921117073	0.659768430425	0.498467871564	0.554988985322	0.647974938892	0.492339429683	0.560047087073	0.573163907721	0.51238675758	0.63350656851	0.656650164202	0.726573660762	0.615748010123	0.486472970113	0.588129328162	0.745801882064	0.66199100338	0.56168047043	0.613184516784	0.644151707199	0.430184718299	0.61309668823	0.579128580723	0.533560473291	0.713063451694	0.625299534379	0.634879483911	0.617021652853	0.496317208474	0.717063238287	0.560334946445	0.735573689394	0.766698643433	0.596229911074	0.622042165869	0.634901394302	0.449648215147	0.626530772156	0.660064770987	0.600039926215	0.631978529724	0.619020629874	0.660815760224	0.752649757137	0.599394092462	0.646713810949	0.525358689343	0.649343754868	0.644115332882	0.470136380202	0.499367445931	0.488232419012	0.462118770498	0.509955889234	0.433367431061	0.463552911363	0.501922868956	0.60709115319	0.559739890909	0.503739117186	0.447927676746	0.489328915437	0.68555353447	0.492733506789	0.429649980822	0.471949446114	0.429976625042	0.495258398065	0.471237142597	0.483976743749	0.454952627818	0.449965764194	0.46425536727
CS.313	0.529930977548	0.503896104774	0	0.612511172246	0.594849523993	0.557642880797	0.533158025372	0.671904410655	0.582216024226	0.656035239033	0.536466304914	0.549053596329	0.509692461169	0.644722283651	0.599430903199	0.586472217767	0.518179813874	0.746037654194	0.75749157889	0.533221577005	0.648233025326	0.584949294432	0.560486156908	0.596983117306	0.597987903879	0.565673292186	0.696445030162	0.642578526055	0.524206214005	0.569788771296	0.670260835993	0.71358531448	0.701442878598	0.691718754956	0.634855015627	0.64597125113	0.658722126859	0.739901133994	0.533426395635	0.700617456038	0.592316118378	0.544803411308	0.76374399537	0.6674995311	0.687466091374	0.654950268911	0.7599803275	0.66133099871	0.753933956078	0.643098722494	0.698594557715	0.663915555852	0.673698137899	0.691307777702	0.582671170378	0.59627028041	0.667614848209	0.72116040802	0.656232096453	0.605056525768	0.64575994572	0.540638989109	0.550878288566	0.499829032443	0.577623638392	0.545279649897	0.631467123919	0.576447786035	0.601806274097	0.506850009999	0.567657120218	0.559003340156	0.552431192042	0.693840308009	0.656645967387	0.488217750896	0.53364736951	0.481293143777	0.516321570938	0.507517525617	0.508887291054	0.547376383807	0.519427110064	0.462845811254	0.486708760449	0.451983924886	0.491257673333	0.560864089286	0.464943100286	0.505546736846	0.604767809151	0.519289022392	0.525880026631	0.658235369826	0.546624774453	0.555225200205	0.693809934226	0.504593259246	0.564461276063	0.649306482988	0.507771044761	0.565093007769	0.560390852785	0.52986100434	0.651061773497	0.70508269925	0.76259378724	0.555822729391	0.579314076834	0.566441027221	0.773837345756	0.669654824309	0.597076176144	0.679153343871	0.659137808815	0.498577624028	0.635636272917	0.657864863586	0.603546222	0.743915992572	0.667208278039	0.65846271487	0.664969656072	0.521563086615	0.759833138129	0.604808406059	0.738746008629	0.790029320957	0.611903352758	0.67433403683	0.68054506525	0.540508356141	0.660154415821	0.695594991012	0.669707524702	0.67680637691	0.615091081697	0.672463924333	0.734025716213	0.613001909877	0.671558142555	0.598930983647	0.666602117711	0.670708322128	0.494640267241	0.591909949675	0.535203897784	0.482307704799	0.59925395294	0.536637777444	0.483453173245	0.546131428732	0.643153646101	0.528484620755	0.590995133126	0.524168666287	0.573268972662	0.72286326063	0.619134021488	0.500649630805	0.435871775913	0.471813178089	0.524760276271	0.447983560632	0.516917858569	0.4828922518	0.54990906906	0.550013016297
L.033.M1	0.636772558038	0.574173533074	0.612511172246	0	0.633380890546	0.583300870393	0.633589866553	0.661997719792	0.594217378528	0.5706063985	0.595553275387	0.586014909649	0.65913656631	0.620160160281	0.624385376828	0.588509466821	0.634631858118	0.696074128316	0.708070685801	0.594634946892	0.628848039876	0.638128154748	0.650585161993	0.662811464837	0.637083456992	0.592672992289	0.633217719003	0.605752859176	0.6193579801	0.589625213021	0.642255709305	0.692555840571	0.652510946328	0.6694046672	0.629414744247	0.588219030847	0.647463072828	0.669290652885	0.632688183318	0.677925971436	0.611394005727	0.59137361446	0.725434829208	0.648548149516	0.65548503029	0.673493074591	0.695945559898	0.651818876546	0.716108063274	0.665632839199	0.64961672195	0.680670355602	0.671116166293	0.675629532597	0.653453970284	0.636806592139	0.623042853726	0.680294667536	0.675246085569	0.619565449095	0.646427017957	0.646191256309	0.581434993413	0.60917827012	0.566399087616	0.591150241535	0.624293878097	0.643719442883	0.616303158764	0.664329241052	0.594277304662	0.604722994606	0.606583722358	0.663760673014	0.628145918561	0.614346320071	0.583021020508	0.63007274236	0.580174999979	0.671616312086	0.605394972427	0.639743646869	0.589951714081	0.618487895818	0.578340806485	0.642224155531	0.616003627786	0.62425638218	0.640086067921	0.611807253902	0.569572183505	0.647215273118	0.644229685512	0.571966134267	0.563336891759	0.599872468018	0.660823346163	0.60604171083	0.587719845614	0.637846692239	0.614378425365	0.583022344761	0.632291990336	0.577163095707	0.644802060878	0.645956048928	0.719401098233	0.640033435434	0.561922828939	0.619545296671	0.715487508621	0.662717663123	0.592748606001	0.651713945671	0.63516533792	0.607204656575	0.617384267157	0.632165124616	0.563064950837	0.66335719356	0.650311329196	0.623095301277	0.588933817418	0.60031583782	0.733234210835	0.632723556652	0.684889519182	0.717831645218	0.605166703903	0.652450087859	0.620794342109	0.561192951797	0.666309907656	0.671318003434	0.587037578913	0.663423519219	0.626037401357	0.648123805562	0.69844000747	0.656069551725	0.663337393206	0.604492497451	0.671957603793	0.612715903516	0.585216014555	0.593321980575	0.576034604486	0.611320738635	0.631167886269	0.576213730253	0.613127530613	0.569545348403	0.648232250456	0.623759781508	0.563847231018	0.582129795193	0.59224898423	0.671893051144	0.587409324249	0.577281222701	0.615974225445	0.592235965516	0.556913182734	0.613180999022	0.58068482385	0.580874022224	0.581257121996	0.587510285908
CS.039	0.5972476572	0.597204225516	0.594849523993	0.633380890546	0	0.551769336475	0.582920548714	0.64803690025	0.612352628304	0.64632900459	0.556321908192	0.568218493056	0.609007356973	0.619454018525	0.563241945918	0.572399981599	0.59888281507	0.68764155087	0.713146520059	0.548709772036	0.616295904233	0.598959908595	0.641826359956	0.645817335344	0.550577020546	0.605724868538	0.656196374132	0.557674788747	0.623989030104	0.612293559225	0.629844703051	0.682372128268	0.626306254851	0.676308127227	0.580193697938	0.624627004369	0.664345325942	0.685251946767	0.567852318584	0.637429939829	0.622162500569	0.615131780952	0.729092615695	0.609054806358	0.631309818651	0.652399435472	0.68285612965	0.642941447647	0.669519061732	0.638233978466	0.657567015485	0.637743037642	0.645972699052	0.66786986496	0.615402173002	0.574808835396	0.648537695595	0.669129183683	0.635038691794	0.640711301753	0.6409945103	0.637594848791	0.613196427778	0.604388646728	0.644279826469	0.607614653762	0.593902116068	0.645283958118	0.586275952658	0.640082143464	0.612457778985	0.599538333575	0.616416772714	0.677015462655	0.647323367962	0.630762198652	0.612782221393	0.612408276882	0.60081442152	0.623554243175	0.627449493907	0.633434229586	0.592864795123	0.594042136424	0.597444555178	0.632684972627	0.628302682881	0.565429406181	0.599891987049	0.606354424317	0.573118372378	0.587459539968	0.550904459454	0.623566418477	0.545936640922	0.574729492828	0.674149947274	0.614766859098	0.575941439962	0.564788289409	0.583624124907	0.565793394042	0.520356090524	0.638106994416	0.580268951832	0.638558413576	0.743030026051	0.569328875012	0.560614736486	0.57758522994	0.709510920818	0.664406886692	0.644592894646	0.665909909177	0.632553240828	0.611059122742	0.618437679613	0.683894851719	0.578200520236	0.676243808404	0.655317480719	0.541305870032	0.65601482199	0.601728189431	0.720584001545	0.619642023351	0.645642395615	0.734025752339	0.580202639425	0.652816343861	0.637976015107	0.605310753059	0.634910507759	0.673390833508	0.656399799504	0.645905059742	0.643141614314	0.634074922305	0.68242520039	0.638425751948	0.652608863894	0.62705440583	0.646281608054	0.631312073376	0.629196227398	0.625343315433	0.604207909807	0.621956318647	0.618084024113	0.599017938447	0.634179945916	0.589025586853	0.651475737951	0.581321295328	0.628742941503	0.582522673955	0.603606677084	0.697268751079	0.629141944146	0.616116400342	0.602065543265	0.619441932983	0.597710691319	0.619399996489	0.605870405054	0.63801201554	0.626156113001	0.609059680671
CS.019	0.553841494096	0.48424480956	0.557642880797	0.583300870393	0.551769336475	0	0.550857039393	0.652853496906	0.568734568505	0.571437801943	0.550807168097	0.576275720941	0.588655891621	0.579399948573	0.547199836566	0.558534081626	0.600151201387	0.704612179752	0.727808550101	0.517875891762	0.608772636362	0.57133930904	0.53555878418	0.588321635071	0.550200714144	0.583913002448	0.656845100795	0.606666240414	0.519401076028	0.516700138753	0.6311921865	0.681576136246	0.671629680456	0.659407357316	0.593889143253	0.568930223115	0.624229417227	0.694883075206	0.560698537932	0.655627878915	0.558340495228	0.538408620813	0.73758629409	0.606276820194	0.648284775743	0.625662808847	0.697482935671	0.63453710431	0.714343191545	0.621254737354	0.653075747613	0.617049616236	0.644260017945	0.663900503698	0.594311639273	0.594786419393	0.628048608948	0.682898422096	0.634979612204	0.574115143506	0.630838451596	0.549390740996	0.537229722873	0.515174878642	0.563487411801	0.510460623232	0.582627277176	0.574960659703	0.571600556529	0.606514924148	0.532454888029	0.539388317568	0.541955631047	0.658456961499	0.629404834902	0.517248052854	0.549822310211	0.544691516042	0.529362558751	0.610593498619	0.557452258358	0.591881551526	0.489657672433	0.574721503328	0.521297059273	0.56564371654	0.525402056698	0.589110216588	0.58443724051	0.540659620973	0.559447018864	0.575465845119	0.558069176768	0.595124258312	0.508015395131	0.53107264243	0.674343880596	0.522954754439	0.565751176174	0.610598092493	0.525681999336	0.554810679572	0.554936010678	0.554797162494	0.611709229843	0.645277775626	0.754415501955	0.605667621201	0.508953891044	0.601172465132	0.719658590327	0.653270237603	0.599170929705	0.658874722395	0.631189744411	0.539039031845	0.592258225875	0.606543749188	0.532164282126	0.683467064523	0.633202927314	0.584372968623	0.635216317998	0.533061041115	0.727121730672	0.587708777339	0.68418758291	0.738646081871	0.554890016642	0.616485712307	0.624075885426	0.511112159713	0.635396963168	0.659082298322	0.621211009051	0.616667846911	0.63348189029	0.651328826263	0.732808055917	0.601993637432	0.65177387175	0.526043946432	0.632897313542	0.651505965019	0.538799573187	0.550633117515	0.545340708308	0.541295583131	0.565681226364	0.516024132792	0.540747971458	0.532485887945	0.63208914031	0.558785927662	0.57583481917	0.513299369971	0.544950546548	0.696156450474	0.575007550343	0.528183227511	0.550048047669	0.520318784681	0.550767853938	0.570124114215	0.53395252758	0.526337861131	0.570157730529	0.562244927263
CS.003	0.570369439964	0.562376412658	0.533158025372	0.633589866553	0.582920548714	0.550857039393	0	0.675066633415	0.625150305358	0.663517075213	0.534329137898	0.572767369457	0.45180972375	0.625863730439	0.562138048507	0.569602124632	0.564853586282	0.744798607407	0.778515799435	0.512595349563	0.638916480841	0.55732470104	0.599186080514	0.625917824982	0.541613932692	0.61682749863	0.69680265956	0.616402013224	0.542283711387	0.641931939988	0.672526981856	0.729588334138	0.695550293509	0.705566331492	0.604585725591	0.650135534011	0.687922129063	0.73057940855	0.518075282784	0.670408575607	0.63081414018	0.583071653433	0.767998083607	0.647059012151	0.685118265743	0.662203629369	0.738279503747	0.69265149239	0.723269167946	0.652205144691	0.710636548799	0.648911276274	0.685027088467	0.692529764123	0.622520471759	0.599722557275	0.66601798824	0.709246843381	0.659658730973	0.622641754617	0.689583557567	0.575023319961	0.596244150398	0.532310702463	0.660737125323	0.55958873409	0.62943422663	0.61607506074	0.612573005435	0.540228221339	0.598159088255	0.591354489639	0.583894924438	0.737807644621	0.656770574837	0.542508140807	0.588484812313	0.512928776916	0.601983238992	0.54108910448	0.542394950995	0.534950586454	0.583744624583	0.546160750533	0.557248510018	0.5521227068	0.542829472931	0.560405546467	0.491303262443	0.555209220944	0.591366295789	0.517674062073	0.508660474534	0.664044576234	0.530591105965	0.544891563927	0.721208949739	0.536261622241	0.591647264894	0.603032814413	0.534016786797	0.582326830006	0.53167407361	0.604728978697	0.617444814988	0.724667348819	0.775175349338	0.531766488957	0.585233690704	0.560233115128	0.780832584814	0.645523295758	0.64182112855	0.699626159575	0.688153325042	0.555962687023	0.652200520421	0.705496026091	0.629098857868	0.710279957843	0.672745904728	0.620959131028	0.65894625738	0.557190343869	0.767514840817	0.652045153956	0.718095959881	0.783070761044	0.60018079262	0.700451603644	0.683283539258	0.579706041135	0.688103314178	0.722462387821	0.681550518235	0.678119312007	0.646259720729	0.673673828825	0.721323172657	0.620550347548	0.705151517001	0.622385258617	0.672565321357	0.697519404703	0.538635645221	0.65529277869	0.587650488919	0.5434635709	0.63176486217	0.601841453407	0.54302356083	0.591253023688	0.684654757037	0.531107728069	0.637737476924	0.575285453571	0.615138177302	0.73710056888	0.664716573578	0.586354298571	0.544307025975	0.547640175215	0.570830607645	0.545213754865	0.54040903939	0.557386024163	0.633238088336	0.624806242254
CS.091	0.679132403876	0.66852764813	0.671904410655	0.661997719792	0.64803690025	0.652853496906	0.675066633415	0	0.595831114143	0.686450805216	0.646324224462	0.684295709462	0.646606278479	0.580968533127	0.640688183591	0.664692136991	0.692827556428	0.628851643452	0.655821836085	0.654330955198	0.586943876141	0.623769544503	0.639461188045	0.607424711716	0.617860921368	0.683835289017	0.59649705548	0.633442055633	0.671403533006	0.609874947715	0.590344513873	0.599934234823	0.633935496544	0.602440802764	0.574826880994	0.587707166895	0.599348945718	0.624189956138	0.615556587281	0.653057113892	0.60204215205	0.60254005793	0.657047273827	0.635168402225	0.592164775654	0.566864684007	0.642720142074	0.600084945964	0.622624559083	0.577915825452	0.585747745273	0.608489038794	0.580880283901	0.616915953548	0.583622127646	0.621799753081	0.584976202141	0.633642899238	0.557448403015	0.633870978415	0.645673138317	0.669965228225	0.650269319525	0.676308186444	0.648326974638	0.66500469759	0.695820782806	0.632988327529	0.665626541954	0.690649883975	0.657544984479	0.649687464517	0.631260264988	0.668253323106	0.635389310136	0.651683695052	0.632939558031	0.65428988242	0.619775332392	0.697685181822	0.668908401379	0.62319492326	0.643928442945	0.680256804817	0.673137505535	0.706720582659	0.648350252854	0.657220548117	0.676789890156	0.679360183706	0.653690740445	0.629815818598	0.616654416442	0.706770624454	0.636858825948	0.630638573349	0.653374104747	0.648002494769	0.68731094086	0.591414254023	0.668482059076	0.651363871708	0.625760274416	0.691066357893	0.60117876755	0.628673991923	0.657793190126	0.641427764585	0.646659980718	0.590744136999	0.655758409455	0.636885755825	0.612329709453	0.645389589067	0.593409827968	0.65158849238	0.591838672523	0.639897572555	0.651270385749	0.61254858206	0.575314251163	0.622108829513	0.653960598354	0.62545218816	0.664982165957	0.589657111457	0.614585299153	0.636678209721	0.584395620989	0.567247007776	0.620209294098	0.66000290009	0.588031831924	0.61093121022	0.634933759015	0.615450615685	0.584358624469	0.647181607244	0.644860979719	0.579821166252	0.579021189982	0.622386889263	0.562146185704	0.607573052032	0.680388415063	0.638798046486	0.662373043497	0.677055872543	0.650939940153	0.677966531408	0.674664145966	0.65924844437	0.635305462393	0.65629291823	0.659618910879	0.651786832661	0.661896879901	0.665394560387	0.660878115565	0.683121461201	0.672990442325	0.657891174495	0.675727722662	0.702469643689	0.650348332491	0.646999934028	0.695690330518	0.707000162821
L.035.M1	0.614606502851	0.548231515164	0.582216024226	0.594217378528	0.612352628304	0.568734568505	0.625150305358	0.595831114143	0	0.624923020222	0.615538681007	0.620831568095	0.646046385501	0.556706618031	0.59179214795	0.615849608059	0.628726623933	0.644500781336	0.635155678051	0.621135797128	0.555300571569	0.625412388607	0.530739858068	0.558563980965	0.6140242059	0.600690690398	0.535996926639	0.647608651727	0.568601809144	0.496280645712	0.593809143202	0.576072135376	0.633154145091	0.560857579334	0.600963934988	0.518944602303	0.531452972867	0.636383020495	0.600063632215	0.673899166384	0.587932013467	0.510404723745	0.662773056602	0.643512469659	0.571131686727	0.55654488458	0.662331494579	0.567029257795	0.681239483291	0.541462048113	0.574336299694	0.60017539342	0.566503467455	0.588391387789	0.511038899903	0.524037767155	0.559770905489	0.577787024799	0.532698244769	0.590928139018	0.550154343995	0.569787240524	0.517474060034	0.583755702347	0.505674706142	0.537122528583	0.630606884778	0.528555957444	0.573681282428	0.640811979872	0.541459040364	0.529202545611	0.511460393279	0.628070823941	0.570517852681	0.524089221857	0.516119150247	0.582737759639	0.486645623356	0.636417550895	0.61027256274	0.584505487964	0.544362304013	0.574495073939	0.556980619758	0.608321634719	0.542708448888	0.583673950622	0.615234985799	0.591556025718	0.592305957334	0.616491867922	0.596759023444	0.65153760666	0.571442442046	0.588162014917	0.631189994675	0.551793200619	0.643202594762	0.60777675923	0.612262973883	0.567385870938	0.623009384857	0.589506106706	0.610614438561	0.593938983069	0.659725418389	0.63938341366	0.57628893807	0.558836004382	0.655525266135	0.604519440144	0.539859501102	0.581265719439	0.545868862582	0.582270117282	0.54331518459	0.574109024303	0.571600805162	0.635839309684	0.540639306621	0.617415138351	0.607639411861	0.548589250197	0.618953183649	0.525601691339	0.644942734092	0.694307105031	0.575600739272	0.515634961501	0.600222769113	0.572849722872	0.551692522509	0.579764027763	0.576776116053	0.568109262301	0.527823828566	0.625360929384	0.667424411618	0.538082953671	0.57453061663	0.514285057356	0.555756370504	0.55582729737	0.582488480393	0.513866071554	0.565775259042	0.572096190909	0.521895303845	0.560405710731	0.5816382526	0.528232713024	0.540953601133	0.607159215806	0.555803302502	0.5161941375	0.527206866163	0.627964771582	0.531426994424	0.562334177817	0.59013188183	0.546472045246	0.566536905448	0.616842784813	0.540272998241	0.53325225904	0.561165953113	0.587256965681
CS.094	0.652485395956	0.605235860223	0.656035239033	0.5706063985	0.64632900459	0.571437801943	0.663517075213	0.686450805216	0.624923020222	0	0.627079111113	0.640475933525	0.704634040903	0.631095742046	0.603317395209	0.617433383899	0.706304840412	0.712748617956	0.716848517299	0.63752499685	0.639350336139	0.663912035691	0.630772940692	0.685018961773	0.667282539599	0.613075555093	0.696450610562	0.637395705995	0.642503852177	0.595048209096	0.671919182107	0.669008277823	0.69208915245	0.663474742632	0.65153170828	0.595992968479	0.648964509812	0.699710243012	0.689577563285	0.709050529908	0.633698024605	0.624827092384	0.73637959405	0.638433081308	0.66750181967	0.697057002491	0.715709210008	0.686141530124	0.731101878123	0.694756250742	0.686435250392	0.705809655263	0.699665339932	0.731190675862	0.678495197925	0.685528505866	0.63454070857	0.726171971366	0.674622301236	0.664086434671	0.658010484469	0.649272692233	0.606749048783	0.636819260906	0.607491313372	0.617892709005	0.634298674719	0.642406625136	0.626702084207	0.719721268248	0.631067931458	0.612925783979	0.65255651829	0.666893794412	0.662665623546	0.633998594793	0.595795650509	0.681494150631	0.612200192875	0.737589889848	0.657120561547	0.707047384335	0.608632163091	0.667382928312	0.617367517955	0.682319993306	0.62970262644	0.677903551147	0.689698195639	0.63222810746	0.56576734959	0.69960818966	0.685929345243	0.587847016746	0.570330486981	0.640455745596	0.649004495617	0.643910919064	0.576589014999	0.674535363916	0.645541331247	0.607325158115	0.659233127527	0.631671604632	0.67683794803	0.614661764613	0.730746562032	0.709214911758	0.588795701507	0.672348530642	0.736783144101	0.690341513476	0.630800613602	0.653539291721	0.672038128811	0.636282895127	0.643371085053	0.580591016966	0.557996597806	0.69130859948	0.663495170553	0.636177635468	0.638949107739	0.636079613252	0.721033248542	0.658581777757	0.667728706664	0.724550773186	0.613716720355	0.655395277987	0.612454054987	0.58887942626	0.65970920425	0.685140244369	0.615543505847	0.685389182679	0.665707245144	0.655252835271	0.751593280515	0.678336651516	0.695670079916	0.625220480496	0.676394105583	0.659390828302	0.652355070831	0.600089091675	0.592966014364	0.636758792643	0.611465784927	0.620624999644	0.648879072203	0.619603388946	0.652498203789	0.684992710962	0.635541679384	0.626213689327	0.635268999012	0.716127494452	0.578654240333	0.606211123892	0.654593435604	0.630089968742	0.604560852798	0.670370107836	0.606083491743	0.606541579052	0.560233191292	0.593560855512
