CS.037	L.036.M1	CS.093	L.005.M1	CS.099	CS.017	CS.313	CS.084	CS.021	CS.259	CS.265	CS.295	CS.086	CS.143	CS.098	CS.076	CS.161	CS.127	CS.377	CS.269	CS.368	CS.042	CS.373	CS.050	CS.058	CS.341	CS.171	CS.248	CS.155	CS.115	CS.232	CS.236	CS.380	CS.224	CS.292	CS.125	CS.203	CS.205	CS.126	CS.374	CS.128	CS.378	CS.136	CS.282	CS.302	CS.177	CS.389	CS.372	CS.214	CS.369	CS.386	CS.147	CS.148	CS.178	CS.129	CS.348	CS.349	CS.395	CS.182	CS.385	T.CS.072	T.CS.028	T.CS.057	T.CS.085	T.CS.069	TFS.024	T.CS.025	T.CS.040	T.CS.048	T.CS.003	T.CS.052	T.CS.089	T.CS.016	T.CS.082	T.CS.042	T.CS.144	T.CS.110	T.CS.177	T.CS.118	T.CS.097	T.CS.114	T.CS.117	T.CS.147	T.CS.159	T.CS.100	T.CS.167	T.CS.115	T.CS.098	T.CS.108	T.CS.121	CS.087	CS.110	CS.103	CS.246	CS.006	CS.241	CS.082	CS.238	CS.356	CS.085	CS.015	L.024.M1	L.034.M1	CS.088	CS.242	CS.336	CS.233	CS.304	CS.044	CS.330	CS.207	CS.187	CS.274	CS.363	CS.150	CS.346	CS.078	CS.338	CS.234	CS.164	CS.321	CS.227	CS.322	CS.331	CS.080	CS.194	CS.318	CS.158	CS.202	CS.112	CS.339	CS.163	CS.361	CS.152	CS.343	CS.326	CS.145	CS.270	CS.390	CS.253	CS.255	CS.370	CS.262	CS.393	TFS.025	TFS.027	T.CS.026	T.CS.061	T.CS.055	T.CS.036	T.CS.043	T.CS.045	TFS.022	T.CS.066	T.CS.064	T.CS.031	T.CS.049	T.CS.008	TFS.020	T.CS.141	T.CS.142	T.CS.157	T.CS.095	T.CS.151	T.CS.166	T.CS.109	T.CS.152	T.CS.158
CS.037	0	0.607796141425	0.681282630013	0.704622683587	0.668004595867	0.61691615033	0.684346011832	0.653404597025	0.584125142059	0.675161425932	0.703750991632	0.660207828758	0.670526594165	0.603085298097	0.663982724984	0.64115457649	0.598913505693	0.656207089964	0.65710194137	0.67465016683	0.687385237304	0.650054415988	0.620367056021	0.638303051693	0.608297031262	0.64351608673	0.646299714605	0.595947654706	0.622045581722	0.624800647792	0.648191639415	0.644270507782	0.661246333348	0.71284078844	0.630194124679	0.643943756719	0.65303853785	0.670679276752	0.653132313713	0.644844505024	0.638965258772	0.669173180076	0.616369035924	0.651809627143	0.686083084576	0.65424558697	0.63593515032	0.62272724815	0.690158274116	0.674115135316	0.660087780377	0.65915554456	0.636254447384	0.665498074191	0.644195330111	0.625684054675	0.597935201422	0.631771689446	0.631935637434	0.645836923691	0.679784077019	0.631894513086	0.665162248528	0.668800612172	0.676544019758	0.650332164165	0.660058489184	0.668142129818	0.629372764869	0.713044517712	0.60590471576	0.631934652773	0.646757741143	0.669255841249	0.690683445396	0.682677610228	0.660109218233	0.678763112754	0.607911572189	0.694957984334	0.673869072079	0.69050840889	0.71373853372	0.708305131434	0.667202500684	0.685633590029	0.724257336982	0.703005567918	0.723290178733	0.67827752151	0.652347922881	0.649659115783	0.658423580927	0.67067032035	0.658219791957	0.683189794636	0.672215069691	0.648867121969	0.697076265471	0.633490735288	0.636241872116	0.725304213636	0.593089304982	0.671657265805	0.662201858182	0.660673985075	0.673545639961	0.695323793779	0.602887095861	0.622064530587	0.66765620844	0.620542396417	0.672238585084	0.612748185838	0.630718478798	0.682562549193	0.646407106988	0.62458840362	0.652073586862	0.659962728873	0.680606399504	0.693942283103	0.643003916194	0.632193063683	0.625870687509	0.701943295624	0.623036644657	0.594239702565	0.69235475205	0.585505176461	0.650463811568	0.626592586088	0.641028798695	0.670884632487	0.641716080154	0.644548781508	0.642172852496	0.651136197964	0.635723121035	0.7169276946	0.636994868576	0.605952250833	0.593486733619	0.639090915404	0.655004838693	0.647497001997	0.668300788979	0.634166431323	0.675850129334	0.667225092976	0.686869837876	0.667328289577	0.696772016363	0.720454437969	0.651001971315	0.663788998295	0.616148655006	0.629281373647	0.701919660693	0.676240359055	0.690537125466	0.678767987184	0.719462007047	0.686005089774	0.697467452467	0.708299661409	0.678117686786	0.69559357657
L.036.M1	0.607796141425	0	0.547909163385	0.508646658323	0.568120987664	0.549750236278	0.512543763495	0.600367175696	0.615996787576	0.487752169894	0.555860597127	0.607536270948	0.571549867169	0.56277391652	0.544331286248	0.662706407422	0.682005985394	0.545552883099	0.679045760908	0.75511860322	0.544531022408	0.62491232548	0.592222750002	0.658544599457	0.617864590937	0.647960465599	0.597467928265	0.645076762921	0.576590160437	0.665232908883	0.583512629802	0.6896690477	0.542272417082	0.769770300886	0.609312522558	0.654566318707	0.526742286572	0.702895557865	0.524758275464	0.670336764816	0.572094633948	0.693782967234	0.627883314343	0.67817595589	0.72356204298	0.683468579879	0.661709771025	0.62828910804	0.634747537112	0.709493831982	0.716895847591	0.650187835902	0.671562910401	0.560034780815	0.6079734458	0.596925738003	0.608172623394	0.624507443707	0.599266858837	0.654519561402	0.544372889997	0.511843192804	0.679247722219	0.511305868441	0.554534571263	0.562947741574	0.558201434196	0.53914252299	0.521625733898	0.535804137921	0.605829348752	0.553508725004	0.544637912322	0.562634439941	0.512401058093	0.4856360988	0.496294106583	0.534266315634	0.54085574247	0.486838257697	0.556002757173	0.534684236737	0.525800355849	0.581725778515	0.540863948115	0.49279000183	0.541825663993	0.544419489896	0.540927698451	0.53213583887	0.595323308728	0.637370273797	0.592623178049	0.548666032605	0.551210330141	0.564649793596	0.591114398863	0.592475157538	0.691764267007	0.564179708488	0.554653728581	0.592929920271	0.527520530964	0.625110446501	0.492854289312	0.579747309335	0.627781181172	0.699360693643	0.529931829785	0.638654767717	0.689253317995	0.621620297277	0.67945648869	0.636758159923	0.591624892044	0.771804480691	0.601788757332	0.619767651908	0.687111437671	0.709684562773	0.573340817354	0.779841184931	0.670737910024	0.585396745433	0.628409313024	0.74044821777	0.649816892307	0.644088625647	0.636665318066	0.620539006941	0.647041186964	0.642947119433	0.648353361189	0.537278333144	0.673114271518	0.630707237971	0.574082733446	0.638757171951	0.655887518241	0.750035629418	0.626234527641	0.626736941878	0.633980215393	0.636096439851	0.569814950435	0.507677887176	0.70615887665	0.551454114614	0.525206511778	0.574398770253	0.507172769001	0.578257582603	0.511182683537	0.527024370154	0.521282460504	0.528902186264	0.629902054819	0.543943991263	0.527645259077	0.538707107074	0.548375896469	0.524567006214	0.504175435656	0.489533765232	0.547286955248	0.516339244908	0.540515522907	0.509061666858
CS.093	0.681282630013	0.547909163385	0	0.542755528247	0.493075490894	0.537698966525	0.509144838872	0.508937077341	0.639051202577	0.523678840926	0.502510774267	0.660887163982	0.456542675673	0.588625578211	0.4959631817	0.620298566082	0.678728926677	0.606665659299	0.670029109896	0.76519539718	0.564193445401	0.651591788965	0.628577483874	0.625309032118	0.596318505217	0.715543960275	0.54896850091	0.640897125364	0.618265256254	0.622581535729	0.529728813711	0.701612388524	0.572061102222	0.775823503213	0.600523112729	0.704236536191	0.580154498079	0.740610436104	0.573819721176	0.684294348461	0.6427383109	0.695866983798	0.614503560526	0.707297243978	0.75042288077	0.713817832874	0.67816004378	0.679218050776	0.668551179526	0.731970680842	0.730774493255	0.6926439805	0.699188852017	0.615658049486	0.601125002863	0.620961160039	0.654263379857	0.654910748377	0.632497366088	0.66774905668	0.539002425348	0.588619398603	0.73318566232	0.567027753357	0.615389590168	0.614479565044	0.588550576611	0.53365450307	0.589051424202	0.53868313239	0.667565591131	0.621865796535	0.608096351129	0.568832862566	0.504056104431	0.54510605368	0.489070194557	0.518117013792	0.611348405183	0.510216828004	0.512549289928	0.537525305873	0.490485713532	0.499487394282	0.511995866619	0.52866840433	0.506323062191	0.507307463374	0.486732050078	0.555470684724	0.575163221736	0.610751062034	0.529742914861	0.543155262385	0.527898319764	0.534547845778	0.474253455617	0.557027654112	0.70628813445	0.493133332099	0.563027883995	0.578787329484	0.60943285382	0.66097763812	0.511781879642	0.642987724978	0.529820071257	0.698152197633	0.553982950894	0.67073008342	0.677008802172	0.64639993699	0.711116424396	0.684712780994	0.566608008948	0.751505404849	0.617885347688	0.627701633957	0.668103809978	0.686985447431	0.580704680176	0.78818257126	0.700282918188	0.586557438897	0.603747678442	0.772562014955	0.691037304516	0.620773495954	0.653531494452	0.616083690469	0.678127376845	0.616498200365	0.690225216764	0.558222907644	0.704346484241	0.642800186071	0.6259311281	0.690691511727	0.687540312688	0.742820708354	0.624636683078	0.68096369645	0.709393396917	0.664407564803	0.643999233895	0.572267050662	0.726988593482	0.639851238394	0.567273748218	0.520746472906	0.576154051546	0.615300882009	0.528555865275	0.514347646537	0.577076445436	0.573351415394	0.673564362317	0.658802575805	0.505616869353	0.605387506183	0.594337332565	0.54848347744	0.509056975812	0.557658623022	0.568197041493	0.510557511102	0.554998887096	0.537334532118
L.005.M1	0.704622683587	0.508646658323	0.542755528247	0	0.528478141922	0.576144335769	0.46882909622	0.6099048282	0.652132628218	0.449527879233	0.564945715147	0.614815189057	0.558236182626	0.60738336334	0.558717803186	0.69515970119	0.715861790922	0.600027649519	0.737236406007	0.77940550366	0.542733555177	0.654833308496	0.64406955169	0.691398482127	0.654685784665	0.680949045799	0.615764480686	0.691460113468	0.591619459299	0.711977476905	0.59519432061	0.744792293265	0.535622026526	0.763750922127	0.651307222477	0.686516945681	0.526836728016	0.702912691442	0.557980950747	0.681641501422	0.625487975842	0.708192684742	0.675692280642	0.712623033209	0.74041744101	0.713724501397	0.704104460495	0.682837467657	0.685344732182	0.785473788529	0.735711963407	0.690471711933	0.70452241836	0.622157450099	0.638789429835	0.662770196832	0.673476808581	0.6989052353	0.641920162799	0.704842100459	0.590071135525	0.573304609411	0.711653600872	0.493727361141	0.574711235494	0.537808276725	0.552082213636	0.492524064042	0.549127105744	0.431574043543	0.681738554842	0.591363220899	0.589722162061	0.536125148273	0.496276819486	0.435755963209	0.513947963627	0.507507135287	0.582012836704	0.481270664274	0.562288624872	0.512081381094	0.436469031332	0.579115151841	0.505624223441	0.436331858179	0.496959810678	0.460195487276	0.474725234737	0.571195684426	0.577212735983	0.67101029769	0.582598411405	0.542594482881	0.504323281988	0.504683457533	0.601019477842	0.564221027642	0.698888779602	0.58409982225	0.524220739841	0.471278020676	0.572105888982	0.638883089851	0.494078019527	0.628924779981	0.614566644201	0.726377929425	0.553077827232	0.667383558671	0.716417680359	0.675227797379	0.696105091614	0.692293813765	0.625326196061	0.787322618622	0.576893186666	0.683715312595	0.706474031173	0.760165656616	0.507640628692	0.792147233638	0.697775806925	0.610825495844	0.641494378643	0.750748882668	0.681181878438	0.679875455723	0.671571088424	0.682020850575	0.654273895355	0.691526483151	0.70345846165	0.557735864632	0.666747138555	0.65134385365	0.601397742644	0.686525249642	0.690025223791	0.76676564922	0.643211384456	0.686355730364	0.691202929228	0.706757760937	0.556318030343	0.472391318473	0.730532675148	0.58497637267	0.512929170719	0.582138999721	0.46994096677	0.557244613298	0.479621899557	0.473383576922	0.507561113869	0.535250406912	0.645037256654	0.578107236944	0.47710349953	0.458748057708	0.457786125003	0.492204678617	0.421791601287	0.431406468203	0.484597992573	0.449416991553	0.506951699452	0.469561376123
CS.099	0.668004595867	0.568120987664	0.493075490894	0.528478141922	0	0.533471986288	0.523021076491	0.522261004018	0.647807693572	0.548294247393	0.557459912725	0.664372018914	0.5037760738	0.591898961664	0.542180684228	0.629580033607	0.682261831589	0.628229145906	0.696897009995	0.762310358085	0.576402334033	0.650991166807	0.626402449544	0.613412008743	0.589757940653	0.725678886531	0.546557357589	0.649908121412	0.642540094211	0.655767593253	0.551244960605	0.687734524285	0.604077217103	0.77702877056	0.615669406604	0.71067518382	0.587319217154	0.737596370123	0.615095492067	0.691865659601	0.640879887104	0.678788547863	0.629563827483	0.72308628535	0.759870738748	0.708954902525	0.689425005634	0.691862272234	0.670786719856	0.744142086301	0.727121189185	0.686072827458	0.712573461842	0.640340622355	0.606380860117	0.668074837711	0.669834755977	0.663010394213	0.644927917677	0.680232585306	0.584069063758	0.618110277804	0.729837358017	0.575947270764	0.632762957057	0.609160447887	0.5828071852	0.514472845165	0.621412628731	0.551220237224	0.691985001744	0.60620029557	0.613184167925	0.563887080871	0.550162018676	0.540748606318	0.55526137616	0.552177679039	0.620970238016	0.531069061278	0.511871850444	0.561110027568	0.511187009077	0.558968035154	0.568368262915	0.511088004829	0.536434650589	0.539280860485	0.536552431824	0.59895268797	0.54983239349	0.62874310945	0.532886639847	0.545136209198	0.485995529663	0.53454486903	0.525681857172	0.530728841462	0.688389134099	0.520498178305	0.550085019733	0.541158440459	0.592572033165	0.636526086958	0.532982363623	0.647211843952	0.546643850307	0.692967647276	0.549316864354	0.676266822413	0.690128366482	0.673322364039	0.716181561962	0.692489653448	0.59086484377	0.752890571725	0.607805211691	0.648981744559	0.696855813933	0.695765559767	0.559301543709	0.786873418888	0.720722939111	0.601709516069	0.603121778191	0.771440425484	0.696716269582	0.62378272271	0.666219160689	0.622548505134	0.663344891469	0.630265968756	0.685491673436	0.589701622218	0.695858867759	0.646430881411	0.644252844018	0.70247758175	0.694346355318	0.726911899571	0.64406335018	0.687139933277	0.702030078971	0.69532163593	0.635440095435	0.568524919889	0.731142326403	0.636061907871	0.556356185403	0.544506234598	0.595394338363	0.603512051571	0.534375669926	0.522838897998	0.55387672997	0.575748137173	0.683654037456	0.658941824956	0.539003298739	0.582165186773	0.589888248758	0.541076276267	0.524555143634	0.555895533752	0.558505261911	0.511840399758	0.562759430358	0.547772665504
CS.017	0.61691615033	0.549750236278	0.537698966525	0.576144335769	0.533471986288	0	0.568729036935	0.574436218742	0.632813267639	0.562955199547	0.622892961621	0.666357724927	0.546551631454	0.578436682274	0.527114184494	0.654215317485	0.671759867145	0.622457841714	0.703313009649	0.750826783137	0.596323859625	0.635267249636	0.633630616235	0.651055506572	0.615821240132	0.687615627539	0.573477928677	0.656345986549	0.635844266913	0.658167404885	0.601261327705	0.658846170682	0.60753043162	0.747324431172	0.616265031303	0.697719758912	0.556617545876	0.706554622154	0.616688159801	0.664223398401	0.621781504558	0.679278419909	0.626154189295	0.698515197329	0.722477341979	0.701796249829	0.678874460107	0.663404901101	0.666766157525	0.730640882304	0.711584821749	0.684138392878	0.695893617351	0.657107098251	0.618640819644	0.644520790178	0.66574605727	0.666953199544	0.646849261636	0.683758924307	0.593659676931	0.586393977998	0.723671779755	0.603396261739	0.628067207509	0.614036896758	0.622564518377	0.553677338642	0.592815613326	0.567961449477	0.691140312724	0.595191526629	0.599868674718	0.583210464378	0.570117479587	0.561086630669	0.579751338352	0.583681188502	0.613598816377	0.570667600188	0.589356717947	0.578331215081	0.570222692173	0.611211616788	0.586622196485	0.561688623729	0.587416221186	0.591273399322	0.580498679727	0.599992524716	0.586749348162	0.619765786787	0.563194579104	0.604361680555	0.549883311659	0.527692841086	0.598148545343	0.566945118105	0.692809305267	0.564123531781	0.519716555685	0.607980277866	0.554696606714	0.622786952726	0.585040179589	0.663292933897	0.594617734977	0.696984274414	0.536008057993	0.663563404456	0.691877260437	0.655830900626	0.701757052572	0.674484226736	0.614972628856	0.737552622355	0.610787220668	0.644167796556	0.695606773459	0.692954228618	0.563644237861	0.766260678054	0.699390248794	0.617215002737	0.607744974441	0.740201270532	0.662216743628	0.615457128658	0.675926317296	0.60934894568	0.673391630047	0.646967951573	0.657588347411	0.58874103118	0.671459651272	0.668096661141	0.62154530346	0.676835048396	0.678471048035	0.741795861636	0.641863662453	0.649764726646	0.648155543064	0.649032395829	0.629441812964	0.578562893219	0.726174287275	0.62864266103	0.565728936659	0.585365020391	0.600419660955	0.578542765812	0.602182699356	0.570281200017	0.569949757736	0.571661614606	0.663277449773	0.623557435708	0.594504770108	0.570805381951	0.597032296264	0.576595259544	0.56649420418	0.57432779352	0.610119176748	0.570271771389	0.599583664275	0.593350573708
CS.313	0.684346011832	0.512543763495	0.509144838872	0.46882909622	0.523021076491	0.568729036935	0	0.546049058943	0.644722283651	0.49192420117	0.508409455416	0.613977183535	0.518120325161	0.560217326799	0.494381524978	0.649001820514	0.682191563258	0.568934409804	0.682330468638	0.766016764489	0.537812156665	0.655765593421	0.598983639998	0.655628200101	0.618339565596	0.696445030162	0.576821199844	0.642146078873	0.543456350707	0.680488946313	0.533426395635	0.700617456038	0.546801281114	0.76374399537	0.591694676492	0.658722126859	0.564630661321	0.71358531448	0.544803411308	0.670260835993	0.592316118378	0.701442878598	0.634855015627	0.691718754956	0.739901133994	0.698594557715	0.656232096453	0.664464781426	0.667614848209	0.753933956078	0.72116040802	0.67403022959	0.697910802931	0.605056525768	0.59627028041	0.616887834408	0.643098722494	0.663915555852	0.582671170378	0.661040140784	0.529717828424	0.572423040068	0.707385754852	0.542910203324	0.576447786035	0.567672596528	0.552431192042	0.494272357769	0.559003340156	0.46929572842	0.656645967387	0.587412206275	0.590955736573	0.545279649897	0.499829032443	0.505546736846	0.462845811254	0.491605236328	0.547603454146	0.493337576226	0.518257747361	0.502846644801	0.468035313057	0.507517525617	0.502212753952	0.486708760449	0.465237809107	0.466952325047	0.487499915534	0.557014706409	0.604767809151	0.651061773497	0.560390852785	0.504593259246	0.546624774453	0.507771044761	0.519289022392	0.555225200205	0.693809934226	0.525880026631	0.564461276063	0.52986100434	0.565093007769	0.658235369826	0.483635617193	0.597076176144	0.555822729391	0.697775502146	0.559116316309	0.638876819953	0.679035518396	0.635636272917	0.693102053761	0.659137808815	0.566441027221	0.763113375951	0.603546222	0.620829716024	0.669654824309	0.724935750116	0.540508356141	0.790029320957	0.695594991012	0.551645181564	0.611903352758	0.759833138129	0.660154415821	0.640434508291	0.664969656072	0.65846271487	0.669707524702	0.658638772941	0.68054506525	0.521563086615	0.67433403683	0.615091081697	0.598930983647	0.671558142555	0.666602117711	0.734025716213	0.613001909877	0.67680637691	0.670708322128	0.672463924333	0.591909949675	0.536637777444	0.72286326063	0.59925395294	0.535203897784	0.528484620755	0.542558460426	0.573268972662	0.483453173245	0.494640267241	0.524168666287	0.546131428732	0.643153646101	0.619134021488	0.482307704799	0.550013016297	0.54990906906	0.524760276271	0.447983560632	0.500649630805	0.4828922518	0.435871775913	0.516917858569	0.471813178089
CS.084	0.653404597025	0.600367175696	0.508937077341	0.6099048282	0.522261004018	0.574436218742	0.546049058943	0	0.623424002569	0.570740716073	0.54664995503	0.652127965308	0.526524726848	0.584073067729	0.520880460563	0.592089834865	0.634756824735	0.611103784034	0.644782589735	0.747713386004	0.561739927889	0.647222341448	0.594196617241	0.598860098142	0.542510390362	0.675468402192	0.534773278675	0.606374728663	0.581631909214	0.610684639184	0.506160480301	0.647880881614	0.572055118949	0.763697357741	0.569490160431	0.683980655451	0.622969362187	0.724500135555	0.595129125479	0.659568335551	0.637486230106	0.672961459278	0.567376407168	0.6902974964	0.731043991296	0.698878347195	0.649772206105	0.652795367795	0.680782848066	0.701184253991	0.698330395713	0.676552600617	0.686966340717	0.621420840868	0.60291796041	0.600800318121	0.625991060469	0.606698800781	0.615046469123	0.631723906979	0.555368429243	0.617626604116	0.711581766336	0.609974036152	0.609090911312	0.61727307267	0.59733863519	0.549957484194	0.611494672366	0.585326126547	0.652137435487	0.601206974863	0.603420136527	0.59919113111	0.562924767193	0.615520304354	0.561603750836	0.557039476574	0.596688824096	0.578404589669	0.542172274445	0.597192230627	0.57383883095	0.563603931031	0.566277104399	0.587860211326	0.551646465764	0.55506879463	0.568214339489	0.600641774651	0.617506501665	0.594200319573	0.54376959644	0.577317706889	0.555213030262	0.566346601495	0.486500095304	0.568822182243	0.699212608761	0.444795197456	0.625111355851	0.635089004629	0.598294703109	0.686400214127	0.540476812934	0.630846543036	0.498204377879	0.702586561064	0.575072379782	0.658905914363	0.680095763524	0.642670107848	0.70177504253	0.666293741235	0.555730559213	0.720949380679	0.643713235255	0.60494357505	0.659353039573	0.654905628263	0.609410411058	0.769445982722	0.696855760825	0.574835194211	0.558794373231	0.749124792842	0.666654605834	0.579848512644	0.66903960477	0.554057422326	0.670511973763	0.596922650017	0.683389969946	0.56190335014	0.695215348871	0.622384824982	0.620400596764	0.671442616619	0.663826941397	0.712118241538	0.616164350806	0.650973166672	0.66410167126	0.650969883678	0.651937793673	0.612464907588	0.703646801208	0.632296274538	0.598172851204	0.512705726273	0.623291115371	0.615272875695	0.570137900911	0.575882382483	0.590242180563	0.587047124815	0.672665397661	0.663916724868	0.546366769113	0.643545835095	0.666945802962	0.594863881964	0.584767832027	0.630143196237	0.603552411521	0.568042455588	0.588142286733	0.580878564234
CS.021	0.584125142059	0.615996787576	0.639051202577	0.652132628218	0.647807693572	0.632813267639	0.644722283651	0.623424002569	0	0.624125854273	0.670182211781	0.597133233915	0.638858120132	0.569093861881	0.645163474759	0.578043142462	0.529775322819	0.542290796714	0.581924381494	0.649628793786	0.59424352506	0.573435432738	0.514638178844	0.65018839934	0.542789138155	0.552065574468	0.615770590697	0.549051750231	0.560072296949	0.60641779954	0.610797576035	0.642304140867	0.608564359007	0.672671517811	0.575977297541	0.532094176665	0.618335848782	0.587033114654	0.571149258636	0.574881927048	0.586573116714	0.647843704744	0.556096056637	0.581361826243	0.582362653268	0.623849873602	0.540717622962	0.577687597864	0.590004309718	0.65460099371	0.666066641105	0.55770158467	0.630088339871	0.614240372031	0.624661583611	0.573260596917	0.581546382353	0.617552705526	0.54540483404	0.566002368602	0.600744065774	0.564842191839	0.607254908633	0.588395709238	0.564556613804	0.573916594638	0.598237349865	0.598028476155	0.576748803226	0.622031545681	0.529836341658	0.579326258385	0.570610600108	0.620009554564	0.638821180212	0.655466329579	0.636020613058	0.654452976935	0.499436632705	0.650973563201	0.671579663642	0.62597529856	0.664450257698	0.680587767982	0.659140502081	0.61914072648	0.65204659716	0.663957116374	0.673303268248	0.606774502422	0.608142966288	0.586823515648	0.622176840054	0.609628407066	0.557381035231	0.652187158371	0.621246092362	0.587964718335	0.63483616274	0.592064479314	0.657258351914	0.651659711188	0.585318806827	0.667744611581	0.604084494233	0.579765371699	0.642671688345	0.671348508968	0.56929937245	0.573137506161	0.604449872003	0.543969977464	0.584572440047	0.546775466558	0.580708187993	0.622618655324	0.614393200288	0.605319253106	0.617126788332	0.662760529262	0.621371230817	0.652206794462	0.567411973052	0.560033075281	0.563424235547	0.632392882677	0.530326181564	0.575320119532	0.643914709466	0.566290090885	0.604573191152	0.570838566199	0.606501374579	0.586780728685	0.557624021802	0.563407249698	0.585323979723	0.592613365268	0.599533188166	0.659145350691	0.547419900186	0.582139917764	0.568561499512	0.635467662985	0.561345788536	0.597660819169	0.601086405771	0.590481990552	0.590362665147	0.617738131898	0.616201227979	0.602426088195	0.642465821414	0.638834221441	0.61202618972	0.585342102589	0.557609203962	0.590489904464	0.635275576625	0.65093298383	0.654748960879	0.62925814202	0.672039708765	0.648137562074	0.608869204399	0.652267572482	0.578433579513	0.617045821563
CS.259	0.675161425932	0.487752169894	0.523678840926	0.449527879233	0.548294247393	0.562955199547	0.49192420117	0.570740716073	0.624125854273	0	0.537520740585	0.587847799186	0.537628827413	0.596942498138	0.505892151677	0.654521199325	0.694395577888	0.53778273014	0.668122409476	0.733821941218	0.516517516511	0.650277658518	0.599385287102	0.673387781194	0.603644934715	0.642174855393	0.602637694981	0.642899481206	0.530134284332	0.682485534719	0.562125351538	0.715249928418	0.469753210673	0.753951960916	0.626083822604	0.652660558006	0.534160375004	0.678307828306	0.495321590566	0.680394144006	0.584768262467	0.689656095462	0.627198358804	0.671507234407	0.708260659977	0.6879333355	0.649682017536	0.63963334045	0.635472988688	0.74459764694	0.715820424235	0.657005277021	0.682611312958	0.569829563382	0.598696583839	0.599423693528	0.620563707102	0.640587610573	0.589094822333	0.660916616498	0.52044803816	0.509111713368	0.698387453225	0.507581007395	0.53283597328	0.534106666321	0.549705072108	0.487822862582	0.524483698678	0.454169951666	0.626352616194	0.555960052586	0.536561868624	0.524661539518	0.466519881813	0.455875237865	0.498165882429	0.51846702791	0.538473947291	0.461448896021	0.553477956972	0.525791172478	0.456692572904	0.562297324679	0.531933842338	0.473094839146	0.491088222436	0.489747957587	0.48347997884	0.535351454293	0.577905848068	0.65679625249	0.563109951163	0.515664571901	0.520745344902	0.530888694688	0.557246303986	0.559654750858	0.675496017279	0.551822380851	0.554888657435	0.527411454417	0.572840851721	0.63304933174	0.470631985959	0.572637078842	0.605900461497	0.701150384379	0.516548478737	0.650575950448	0.682719622179	0.616000022648	0.649943061192	0.637615585498	0.577436155229	0.751904769079	0.583152544966	0.639401022611	0.662759583503	0.742731064035	0.510768768465	0.776455105728	0.679401396401	0.582954242005	0.599621348378	0.731845487908	0.638019457544	0.654761567805	0.641124647702	0.643361837387	0.612832949511	0.647604274254	0.662357768254	0.529432725493	0.66094230957	0.617899625141	0.550554636321	0.645513768193	0.652326138088	0.734104648151	0.613743460007	0.635459983023	0.631220257338	0.671805190317	0.529186995337	0.491092508396	0.702162720764	0.543402707636	0.519619482044	0.558344737574	0.460098041644	0.522203863603	0.471521875104	0.463650436291	0.475284558907	0.525834676595	0.632475907819	0.551228364421	0.446846556424	0.489515160373	0.471359420064	0.51703901961	0.469530958135	0.435962724149	0.505714589185	0.469096254859	0.478005637288	0.479599498093
